tandus.siuisum	tandus . si uisum
noueruntcircumstantias	nouerunt circumstantias
temporumetlocorumsacroapprobanteconciliodiffininimus.ut	temporum et locorum sacro approbante concilio diffininimus . ut
itacrucesignatise	ita cruce signati se
preparent:quodinkalendis.iunii	preparent : quod in kalendis . iunii
sequentispostproximum.omnesquidisposuerunttransireper	sequentis post proximum . omnes qui disposuerunt transire per
mare:conueniantinregnum	mare : conueniant in regnum
siciliealiisicutopportuerit.etdecuerit.apudbrundusium	sicilie alii sicut opportuerit . et decuerit . apud brundusium
.etalii	. et alii
apudmessanam.etpartes	apud messanam . et partes
utrobiqueuicinas.ubietnos	utrobique uicinas . ubi et nos
disponentedomino	disponente domino
disposuimuspersonalitertuncadesse.quatinusconsilio	disposuimus personaliter tunc ad esse . quatinus consilio
etauxilio:exercituschristianus	et auxilio : exercitus christianus
salubriterordinetur.cumbenedictionediuinaetapostolica	salubriter ordinetur . cum benedictione diuina et apostolica
profecturus.ad	profecturus . ad
eundemquoqueterminumsestudeantpreparare:qui	eundem quoque terminum se studeant preparare : qui
proposueruntproficisciperterram	proposuerunt proficisci per terram
.significaturihoc	. significaturi hoc
interimnobis.uteisadauxiliumetconsiliumopportunum	interim nobis . ut eis ad auxilium et consilium opportunum
.legatumdenostrolatereidoneum	. legatum de nostro latere idoneum
concedamus.sacerdotesautemetclericiqui	concedamus . sacerdotes autem et clerici qui
fuerintinexercituchristianotamsubditiquamprelatiorationi	fuerint in exercitu christiano tam subditi quam prelati orationi
etexhortationidiligenterinsistantdocenteseosuerbopariteretexemplo	et exhortationi diligenter insistant docentes eos uerbo pariter et exemplo
.uttimoremetamoremdiuinumsemperhabeant	. ut timorem et amorem diuinum semper habeant
anteoculos.nequiddicant	ante oculos . ne quid dicant
autfaciant.quod	aut faciant . quod
diuinammaiestatemoffendat	diuinam maiestatem offendat
.Etsialiquandolapsifuerintinpeccatum	. Et si aliquando lapsi fuerint in peccatum
peruerampenitentiammoxresurgant	per ueram penitentiam mox resurgant
gerenteshumilitatemcordisetcorporis.et	gerentes humilitatem cordis et corporis . et
taminuictuquaminuestitu	tam in uictu quam in uestitu
:mediocritatemseruantes:dissensionesetemulationes	: mediocritatem seruantes : dissensiones et emulationes
omninouitando.liuore	omnino uitando . liuore
etrancore	et rancore
omninorelegatis.utsicspiritualibusetmaterialibusarmismuniti	omnino relegatis . ut sic spiritualibus et materialibus armis muniti
aduersushostesfideisecuriusprelientur.necdesua	aduersus hostes fidei securius prelientur . nec de sua
presumentes.seddediuina	presumentes . sed de diuina
uirtutesperantes	uirtute sperantes
.Ipsisautem	. Ipsis autem
clericisindulgemus.utbeneficiasuaintegrepercipiant	clericis indulgemus . ut beneficia sua integre percipiant
pertriennium.ac	per triennium . ac
siessentinecclesiaresidentes	si essent in ecclesia residentes
.etsinecesse	. et si necesse
fuerit:	fuerit :
eaperidemtempuspignori	ea per idem tempus pignori
ualeantobligare.ne	ualeant obligare . ne
autemhoc	autem hoc
sanctumpropositum	sanctum propositum
impediriueltardaricontingatuoniuersis	impediri uel tardari contingat uoniuersis
ecclesiarumprelatisdistricte	ecclesiarum prelatis districte
precipimus.ut	precipimus . ut
singuliperlocasuaillosquisignumcrucis	singuli per loca sua illos qui signum crucis
deposuerunt:resumere.actamillosquamalioscruce	deposuerunt : resumere . ac tam illos quam alios cruce
signatosetquosadhucsignari	signatos et quos adhuc signari
contingerit:adreddendumdomino	contingerit : ad reddendum domino
uotasua	uota sua
.diligentermoneantet	. diligenter moneant et
inducant.etsinecessefueritperexcomunicationisin	inducant . et si necesse fuerit per excomunicationis in
personas.	personas .
etinterdictisententiasin	et interdicti sententias in
terriseorum:omnitergiuersationecessante	terris eorum : omni tergiuersatione cessante
:compellant.illisdumtaxatexceptis.	: compellant . illis dumtaxat exceptis .
quibustaleimpedimentumoccurrerit.utsecundum	quibus tale impedimentum occurrerit . ut secundum
prouidentiamuotumeorummeritocommutaridebeatuel	prouidentiam uotum eorum merito commutari debeat uel
differri.ad	differri . ad
hecnequidinnegotiochristiiehsudecontingentibus	hec ne quid in negotio christi iehsu de contingentibus
omittatur.uolumus	omittatur . uolumus
etmandamus.utpatriache.archiepiscopi.episcopi.	et mandamus . ut patriache . archiepiscopi . episcopi .
abbates.etaliiquicuramobtinent	abbates . et alii qui curam obtinent
animarumstudiose	animarum studiose
proponantcommissis	proponant commissis
sibipopulisuerbumcrucis.obsecrantes	sibi populis uerbum crucis . obsecrantes
.per.patremet	. per . patrem et
filiumetspiritumsanctumunumsolumuerum	filium et spiritum sanctum unum solum uerum
eternumdeum.regesDuces.principes	eternum deum . reges Duces . principes
.marchiones.comites	. marchiones . comites
.etbarones.aliosquemagnates.	. et barones . aliosque magnates .
necnoncommuniaciuitatumuillarumqueetoppidumutquipersonaliter	nec non communia ciuitatum uillarumque et oppidum ut qui personaliter
etillucnon	et illuc non
accesserintinsubsidiumterresanctecompetentemconferant	accesserint in subsidium terre sancte competentem conferant
numerumbellatorum.cum	numerum bellatorum . cum
expensisusquead	expensis usque ad
trienniumnecessariissecundumpropriasfacultatesinremissionempeccatorum	triennium necessariis secundum proprias facultates in remissionem peccatorum
suorumproutingeneralibuslitterisest	suorum prout in generalibus litteris est
expressum.etadmaiorem	expressum . et ad maiorem
cautelametiaminferiusexprimetur.cuius	cautelam etiam inferius exprimetur . cuius
remissionisuolumusesseparticipes	remissionis uolumus esse participes
nonsolumeosquiadhocnauesproprias	non solum eos qui ad hoc naues proprias
exhibuerint:sedetillos	exhibuerint : sed et illos
quipropterhocopusstuduerintfabricare.renuentibus:autem	qui propter hoc opus studuerint fabricare . renuentibus : autem
siquifortetamingratifuerintdominodeonostro	si qui forte tam ingrati fuerint domino deo nostro
.exparte	. ex parte
apostolicafirmiterprotestentur.utsciant	apostolica firmiter protestentur . ut sciant
sesuperhocinnouissimodistrictiexaminisdie	se super hoc in nouissimo districti examinis die
:coramtremendoiudiceresponsuros.priustamenconsiderantesqua	: coram tremendo iudice responsuros . prius tamen considerantes qua
conscientiaquauesecuritatecomparerepoterint	conscientia quaue securitate comparere poterint
coramunigenitodeifilio	coram unigenito dei filio
iehsuchristo.cuiomnia	iehsu christo . cui omnia
deditpaterin	dedit pater in
manus.sieipropeccatoribus	manus . si ei pro peccatoribus
crucifixoseruirerenuerintinhoc	crucifixo seruire renuerint in hoc
negotio.quasipropriesibiproprio.cuius	negotio . quasi proprie sibi proprio . cuius
munereuiuunt.cuiusbeneficiosustentantur.	munere uiuunt . cuius beneficio sustentantur .
quinetiam	quin etiam
cuiussanguinesuntredempti.neergoin	cuius sanguine sunt redempti . ne ergo in
humeroshominumoneragrauiaetimportabiliaimponere	humeros hominum onera grauia et importabilia imponere
uideamurquedigitonostro	uideamur que digito nostro
mouerenolimus:similesillisquidicunt.	mouere nolimus : similes illis qui dicunt .
utiqueetnonfaciunt.Ecce	utique et non faciunt . Ecce
nosdehiisqueultranecessariasetmoderatasexpensaspotuimus	nos de hiis que ultra necessarias et moderatas expensas potuimus
reseruare.xxx.milialibraruminhocopusconcedimus	reseruare . xxx . milia librarum in hoc opus concedimus
.etdonamus	. et donamus
.preternauigiumquodcrucesignatisde	. preter nauigium quod cruce signa tis de
urbeatqueuicinispartibusconferemus.	urbe atque uicinis partibus conferemus .
assignaturinichilominusadhoc	assignaturi nichilominus ad hoc
opus.triamiliamarcharumargenti.	opus . tria milia marcharum argenti .
queapudnosde	que apud nos de
quorundamfideliumelemosinis	quorundam fidelium elemosinis
remanserunt.aliisinnecessitatesetutilitatespredicteterreper	remanserunt . aliis in necessitates et utilitates predicte terre per
manusfelicis	manus felicis
memorie.albertiIerosolimitanipatriarche.	memorie . alberti Ierosolimitani patriarche .
acmagistrorumtempliet	ac magistrorum templi et
hospitalisfideliterdistributis.cupientes	hospitalis fideliter distributis . cupientes
autemaliosecclesiarum	autem alios ecclesiarum
prelatosnecnonclericosuniuersosetinmeritoet	prelatos nec non clericos uniuersos et in merito et
inpremiohabereparticipesetconsortes.excommuni	in premio habere participes et consortes . ex communi
conciliiapprobationestatuimusutomnesomninoclericitamsubditi	concilii approbatione statuimus ut omnes omnino clerici tam subditi
quamprelati.uicesimamecclesiasticorum	quam prelati . uicesimam ecclesiasticorum
prouentuumusqueadtrienniumintegreconferant	prouentuum usque ad triennium integre conferant
insubsidium	in subsidium
terresancte.per	terre sancte . per
manuseorumquiadhocfuerint	manus eorum qui ad hoc fuerint
prouidentiaapostolicaordinati.quibusdamdumtaxat	prouidentia apostolica ordinati . quibusdam dum taxat
religiosisexceptisprestationemeritoeximendis.Iliisquesimiliter.qui	religiosis exceptis prestatione merito eximendis . Iliisque similiter . qui
assumpto.uelassumendocrucissignaculo.suntpersonaliterprofecturi	assumpto . uel assumendo crucis signaculo . sunt personaliter profecturi
.nosautemet	. nos autem et
fratresnostri.sancteecclesieromanecardinales	fratres nostri . sancte ecclesie romane cardinales
.plenariamdecimampersoluemus.	. plenariam decimam persoluemus .
sciantqueseomnesadhoc	sciantque se omnes ad hoc
fideliterobseruandumper	fideliter obseruandum per
excomunicationissententiamobligatos.Ita	excomunicationis sententiam obligatos . Ita
quodilliquisuperfraudemscienter	quod illi qui super fraudem scienter
commiserint:sententiamexcomunicationisincurrant	commiserint : sententiam excomunicationis incurrant
.sane.quia	. sane . quia
iustoiudiciocelestisimperatorisobsequiis	iusto iudicio celestis imperatoris obsequiis
inherentes.specialidecetprerogatiua	inherentes . speciali decet prerogatiua
gaudere.cumtempusproficiscendiannumexcedatinmodico.	gaudere . cum tempus proficiscendi annum excedat in modico .
crucesignaticollectis.ueltalliis	cruce signati collectis . uel talliis
.aliisquegrauaminibussint	. aliisque grauaminibus sint
immunes.quorum	immunes . quorum
personaset	personas et
bona.postcrucemsusceptam:subbeatipetri	bona . post crucem susceptam : sub beati petri
etnostraprotectionesuscepimus.statuentes	et nostra protectione suscepimus . statuentes
utsubarchiepiscoporumepiscoporum.atqueomniumprelatorum	ut sub archiepiscoporum episcoporum . atque omnium prelatorum
ecclesiedefensioneconsistant	ecclesie defensione consistant
.propriisnichilominus	. propriis nichilominus
protectoribusadhocspecialiterdeputatis.	protectoribus ad hoc specialiter deputatis .
Itautbonaeorum.donecdeipsorumobitu	Ita ut bona eorum . donec de ipsorum obitu
certissimereditucognoscatur:integra	certissime reditu cognoscatur : integra
maneantacquieta.etsi	maneant ac quieta . et si
quisquamcontrapresumpserit.cen.ecclesiecompescatur	quisquam contra presumpserit . cen . ecclesie compescatur
.siquiueroproficiscentium	. si qui uero proficiscentium
illuc.ad	illuc . ad
prestandasusurasiuramentotenenturastricti:creditoreseorum	prestandas usuras iuramento tenentur astricti : creditores eorum
.utremittanteis	. ut remittant eis
prestitumiuramentum.etabusurarumexactionedesistant:	prestitum iuramentum . et ab usurarum exactione desistant :
eademprecipimusdistrictionecompelli.Quidsiquiscreditorumeos	eadem precipimus districtione compelli . Quid siquis creditorum eos
adsolutionemcoegerintusurarum:eumad	ad solutionem coegerint usurarum : eum ad
restitutionemearumsimilicogianimaduersionemandamus	restitutionem earum simili cogi animaduersione mandamus
.Iudeosueroad	. Iudeos uero ad
remittendasusuraspersecularem	remittendas usuras per secularem
compelliprecipimuspotestatem	compelli precipimus potestatem
.etdonecillasremiserint	. et donec illas remiserint
:abuniuersischristifidelibusperexcomunicationissententiam	: ab uniuersis christi fidelibus per excomunicationis sententiam
eisomninocommuniodenegetur.	eis omnino communio denegetur .
hiisautemquiiudeis	hiis autem qui iudeis
debitasoluerenequierint.inpresentisic	debita soluere nequierint . in presenti sic
principesseculares	principes seculares
utilidilationeprouideant.quodpost	utili dilatione prouideant . quod post
iterarreptumusquequode	iter arreptum usquequo de
ipsorumobituuelreditucertissimecognoscatur.usurarumincommodanon	ipsorum obitu uel reditu certissime cognoscatur . usurarum incommoda non
incurrantperfecteconscendatactionis.Quodpre	incurrant perfecte conscendat actionis . Quod pre
pleniusdeclaratur.perhoc	plenius declaratur . per hoc
quodmonsiste.monsorebdicitur.orebenim	quod mons iste . mons oreb dicitur . oreb enim
ardorinterpretatur.Inmontemitaqueoreb	ardor interpretatur . In montem itaque oreb
ascendit.quicaritatis	ascendit . qui caritatis
ardoresuccensus	ardore succensus
.prerogatiuaconuersationisceterosantecellit.Inmonteisto	. prerogatiua conuersationis ceteros antecellit . In monte isto
dominus.in	dominus . in
flammaignismoysilegiturapparuisse.constattamenrubumin	flamma ignis moysi legitur apparuisse . constat tamen rubum in
quodominusapparuit:penitusille	quo dominus apparuit : penitus ille
sumpermansisse	sum permansisse
.Inquofactodaturintelligi.quiaignis	. In quo facto datur intelligi . quia ignis
caritatisnonconburit.sedilluminat.non	caritatis non conburit . sed illuminat . non
consumit.sedconseruat.quiauirtute	consumit . sed conseruat . quia uirtute
suaforisspinaspeccatorumexurit.etintusuiriditatem	sua foris spinas peccatorum exurit . et intus uiriditatem
uirtutumillibatamcustodit	uirtutum illibatam custodit
.ascendamusfratresinmontem	. ascendamus fratres in montem
istum.etabigneistocalefierisatagamus.	istum . et ab igne isto calefieri satagamus .
nonmaneamusinsegor.ciuitate	non maneamus insegor . ciuitate
parua.sed	parua . sed
inmonteistosaluosnosfaciamus	in monte isto saluos nos faciamus
.professionienimnostre	. professioni enim nostre
conuenit.ut	conuenit . ut
nonsolummandata.sed	non solum mandata . sed
etconsiliadiuina	et consilia diuina
studeamusadimplere.etin	studeamus adimplere . et in
tabernaculodominiseruientes	tabernaculo domini seruientes
.nontameninsancta.sedet	. non tamen in sancta . sed et
insanctasanctorumcontendamusintroire.maneamusinmonteisto	in sancta sanctorum contendamus introire . maneamus in monte isto
cummoyse.etceteradomino	cum moyse . etcetera domino
frequentercolloquamur.uttandemperuenireualeamusad	frequenter colloquamur . ut tandem peruenire ualeamus ad
montemillum:quipositusestinuerticemontium	montem illum : qui positus est in uertice montium
.adquemfluentomnesgentes.	. ad quem fluent omnes gentes .
