cilz quisceuent delalecture	---|--|------|-|-|------|
etdeuoure e	-|-------⌫|
et las o ur izsenest alee	-|-|-⌫-⌫--⌫-||-|--|---|
sie stdesueziez felons	-|-⌫-|--|-----|-----|
auront si bon scompaignon s	-----|-|---⌫|----------⌫|
tantl eur facentbie n	---|-⌫--|-----|---⌫|
nehonne ur	-|-----⌫-|
leurdo itcou sterduleur	---|--⌫-|---⌫---|-|---|
que durementnesoientliez	--|-------|-|-----|---|
eulxsoien tengagniez	---|-----⌫|--------|
maisilrau ientas s ez souuent	---|-|---⌫---|--⌫-⌫-|------|
meisme le conte	-----|-|----|
au tres ueulent pou rchacier	--⌫---|------|---⌫-------|
co nuientperil lier	--⌫-----|-----⌫---|
ci con t e dun chienmenteur	-|---⌫-⌫||-|----|------|
dema u uaistieetgrant tricheur	-|--⌫-⌫------|-|----|-------|
qui une brebiz	--|--|-----|
deuant iusti celamen a	-----|-----⌫-|-|---⌫|
u np ain demandé	-⌫|-⌫--|-------|
ditpresté	--|------|
labrebiz toutli	-|-----|---|-|
etditquerenne li pres ta	-|--|--|--|-|-|----⌫-|
liiuges au chie n demanda	-|----|-|----⌫|------|
tesmoi ngnesunena	------⌫-|----|-||
illi resp ondq uil en	-|-|----⌫--|-⌫|-|-|
ce st lie scoufle etce stli	|-⌫-|-|-⌫------|-||-⌫-|-|
cilfurentauant ame né	--|-----|----|---⌫--|
parserementontaffermé	--|-------|--|-------|
q ue ce f u	-⌫-|-|-⌫|
uoir que lech ien di t	---|--|-|--⌫--|--⌫|
sa uezpour	--⌫--|---|
quoy chascunlefist	---|------|-|---|
quilen attendoie ntpartie	-|-|-|---------⌫-|-----|
brebiz perdoit la uie	-----|------|-|--|
liiugesdonque s	-|----|------⌫|
br e bizqu ilappell a	--⌫-⌫--|-|-|------⌫|
po urquoyotlepainrenoié	--⌫-|---|-|-|---|------|
que lechien l iauo i tbaillié	--|-|----|-⌫|---⌫-⌫|-------|
m entyenot pour poydepri s	-⌫---|-|-|---|--|-|---⌫|
orlire ndist	-|-|--⌫----|
ains qu i l	---|-|-⌫|
la chetiuene l	-|------|-||
otd o ntr end re	-|-⌫-⌫-|-⌫---⌫-|
d onc liconuint s al aineuend re	-⌫--|-|------|-⌫|-⌫---|----⌫-|
yuerestoit	---|-----|
de f ro itfust	-|-⌫--⌫-|---|
lechienyuientsapartemporte	-|----||----|-|---|-|----|
et les coufled el au trepart	-||--⌫-----|-⌫||--⌫--|---|
etpuisleleutrop liesttart	-|---|-|--|---|-|--|---|
q uela char fustentre	-⌫-|-|---|---|----|
eulzdetraitté	---|---------|
carde ui andeorentsouffretté	--|-|--⌫---|----|----------|
n elabreb izplusneuesqui	-⌫|-|----⌫-|---|-|-----|
etsessireslet ou tpe rdi	-|--|----|-|-⌫--⌫|--⌫--|
cestexemple	---|------|
uou su u eilm onstrer	---⌫|-⌫-⌫--|-⌫------|
demainshom meslepuispro uuer	-|----|---⌫--|-|---|---⌫---|
qu i parment iretpartrichier	--⌫|--|----⌫-|-|--|-------|
fontlespoures souuentp laid ier	---|--|-----|------|-⌫----⌫--|
et faulxtesm oings	-|----|----⌫----|
au a nta ttr ai ent	--⌫-⌫-|-⌫---⌫--⌫--|
desauo irsauxpouure sles	--|---⌫--|--|------⌫|--|
neleur chaultq ue lauo ir deu ie ngne	-|---|-----|-⌫-||---⌫-|---⌫--⌫---|
m aisquechascun sa p art en	-⌫--|--|------|-|-⌫--|-|
au nefoizc eu ousracont	|-⌫-|---|-⌫|-⌫--|-----|
pa ssoit un ch iend essoubzun	--⌫----|-|--⌫--|-⌫------|-|
unf romageensagu eule tint	-|-⌫-----|-|-|--⌫---|---|
quantenmyleponce l paruint	----|---|-|-----⌫|------|
ombre d ufromage	----|-⌫|------|
pourp ensasoye n soncourage	-----⌫---|--|-⌫|--|------|
qua uoirle s uouloitembedeux	-|-⌫---|--⌫|------|-------|
illeu cquesfutro p	-----⌫----|-|---⌫|
conuoiteus	---------|
enl iaues aultlabouc heou ury	-||---|-⌫---|-|----⌫-|--⌫--|
etle fromage l uichey	-|-|------|-⌫-|---|
etumbreuit	-|----|--|
etu mbrefu	-|-⌫---|-|
et sonfr om ageotil p er du	-|--|--⌫--⌫--|-|-|-⌫--⌫-|
pourcese doiuent chasto ie r	---|-|-|------|------⌫--⌫|
cilzqui trop ueulent	---|--|---|------|
co nuoit ier	--⌫-----⌫--|
qu iplusconuoitequesondroit	--⌫|---|-------|--|--|----|
meisme sse decoit	------⌫|-|-----|
etde lautr uyn a il noyent	-|-||----⌫-|||-|-----|
pa re xemple faitcyentendre	--⌫|-⌫-----|---|-|-------|
quelisolauxuoult fe mmeprendre	--|-|-----|----|--⌫--|------|
creaturedit	-------|--|
quechascu nbien sep ouru ei st	--|------⌫|---|-|-⌫----⌫--⌫-|
l escreature s	-⌫-|--------⌫|
sassemble rent	|--------⌫---|
aladestineeen alerent	|-|-------|-|------|
s ilimons t rerentduso leil	-⌫|-|----⌫-⌫-----|-|--⌫---|
quidefemmequer oitconseil	--|-|----|----⌫--|------|
ladestinee leurdeman de	-|-------|---|-----⌫-|
qu e uoir dientdelade mande	--⌫|---|----|-|-|--⌫----|
etce quauis	-|-|-|---|
leurenest oi t	---|-|---⌫--⌫|
c ellep ar la queplus	-⌫---|-⌫--⌫-|--|---|
quan tle soleilfaitelleest	----⌫|-|-----|---|---|--|
et le temps de ste	-|-|----||-⌫--|
ests ichaut	--|-⌫|----|
qu enelaist rienfr uctiffier	--⌫|-|----|---|--⌫--------|
etter ree t	-|---⌫-|-⌫|
ets ilauoitesforceme nt	-||-|----|---------⌫-|
et compagniea son talent	-|--------||--|-----|
nulle r ienne lpourr oitsouffi r	----|-⌫--|-||-----⌫--|------⌫|
d essoubz luiu iur eneguerir	-⌫------|--|-⌫---⌫|-|-----|
la d e stinee r espondi	-|-⌫-⌫-----|-⌫------|
dit laissiez le	--|-------|-|
c omilaes tégrant tempsa	-⌫-|-||--⌫--|----|----||
car iaparmoynenfo rcer a	--|-|--|--||----⌫----⌫|
ici chastielespl useurs	--|------|--|--⌫-----|
quisureulx	--|--|---|
ontlesleursse igneurs	--|--|----|--⌫------|
doiuentes forcier	------|--⌫------|
naplusfortcompara gier	||---|---|-------⌫---|
parleu r s ens	--|---⌫|-⌫--|
neparleurauoir	-|--|---|----|
mais destourb er aleur pou oir	---|--------⌫-||---|---⌫--|
com p lusesf orce pisleurfait	--|-⌫--|---⌫---|--|---|---|
t ouziourslur	-⌫--|----|--|
est amal agait	--||--|----|
ainsiauintqunsleupsronga	----|----||--|----|----|
u no s quioucoll uiuola	-⌫|-⌫|--|-|--|-⌫-|---|
et quantoucolluifu	-|----|-|--|--|-|
moultduremen t en	----|-------⌫|-|
toutesles bes te sassembla	-----|--|---⌫--⌫|-------|
etles o ysiau xauecmanda	-|--|-⌫-----⌫|---|----|
puis afait	---||---|
sen u lz lescetmedici ner	-|-⌫-⌫-|-|---|------⌫--|
entreeu lx	----|--⌫-|
con seilpriis	---⌫---|----|
chascun endistle si enauis	------|-|---|-|--⌫-|---|
forslagruecedientbien	---|-|---|-|----|---|
de u l xquensa che r en	|-⌫-⌫-⌫|-|-|--⌫--|-⌫-|
lecolalongetle	-|--||---|-|-|
el leenpourro itbientraire lo s	--⌫-|-|------⌫-|---|-----||-⌫|
enpromist gran tlouie r	-|------|----⌫|-----⌫|
pou r tant quel	---⌫|---|--||
en uoulsistaidier	-|-------|-----|
lagrue la nce	-|---|--⌫--|
gueule au malfais ant	-----|-|-------⌫--|
los en atrait	|-|-||----|
puislire quist	---|-|--⌫----|
que sapromesseluire ndi st	--|-|-------|--|--⌫---⌫-|
leleuplu id istpar maltalent	-|---|--⌫|-⌫--|--|--------|
e tafferma par serement	-⌫|------|--|-------|
sembloitet ceuoi r fu	-------|-|-|---⌫|-|
q ue bonlo ierauo iteu	-⌫-|--|--⌫--|---⌫-|-|
qu a ntsatesteensagueulemist	--⌫-⌫-|-|----|-|-|-----|---|
q uil ne lestrangla etoccist	-⌫|-|-||--------|-|-----|
tue sfait il	-|-⌫|---|-|
fo leprouuee	--⌫-|------|
quantde moy esuiue esc h apee	----|-|--|-|---|---⌫-⌫---|
que turequiers autre	--|-|-------|----|
ch araygrantdesi ri er	--⌫-|-|----|----⌫--⌫-|
suileupstieniepou r fol	--|----|---|-|---⌫|--|
qua mesdens	-||--|---|
nestrangl a iton col	|--------⌫-⌫|--|--|
autress ie std emal	-------⌫|-⌫-|-⌫|--|
se i gne ur	--⌫-⌫---⌫-|
se poureshomsli f aithonneu r	-|-----|---|-|-⌫--|------⌫|
puis endeman deguerredon	---|-|-----⌫-|--------|
ianenaura sem algre	-||-|---|-|-⌫-|--|
pourtantqu	---|---|-|
ilsoit e nsabail l ie	-|---|-⌫|-|----⌫-⌫-|
doitde sauie	---|-|-|--|
dune lisse uousuueilcompter	|--|----|---|----|------|
qui pres teestoit dechae ller	--|----⌫-|-----|-|----⌫---|
mais nesotq ue fairepeust	---|-|--|-⌫-|----|----|
seschie nsauo ir	--|----⌫-|---⌫-|
aune autrelisse	|--|----|----|
queoluihostel lerlui	--||--|------⌫--|--|
tantcom e elleyeustcha ellé	---|---⌫|---||---|---⌫----|
moult lensauro itced it	----||-|-----⌫-|-|-⌫-|
tantlenare qu ist et prié	---||-||--⌫--⌫--|-|----|
quece lleo luil aherber gié	--|--⌫--||--|||------⌫---|
tantquelley ote u	---|-|---||-|-⌫|
quiesligniezfure nt	--|--------|----⌫-|
cellea q ui li	----||-⌫-|-|
ho ste z es toit	--⌫---⌫|--⌫---|
pou re ul zso uuentdommagea uoit	---⌫|-⌫--⌫|--⌫----|------|-⌫---|
de samaiso nles re u ueyssir	-|-|-----⌫|--|--⌫-⌫-|----|
ne lesyueultplus	-|--||----|---|
pristadementer	----||-------|
etditquene scetoualer	-|--|--|-|---|-|---|
yuere stoit pour la	---|-⌫----|---|-|
mour oitlahorsagrant	----⌫--|-|---||----|
donclirequistpa rcharite	---|-|------|--⌫|------|
quelherberg astiusqu	--||-------⌫--|----|
celleot delui	----|-|-|--|
moultgrant	----|----|
siluiaa insiottr oyé	-|--||-⌫---|----⌫---|
bel tempsuitre uenir	--|----|--|--⌫----|
don cles enreuue	---⌫|--|-|----|
tou zi ssir	---⌫|-⌫---|
lautre comm encaaiurer	|----|----⌫---||----|
seiamai s lenooitparler	-|-----⌫||-|---|-----|
quesi c haielledestrairoien t	--|-|-⌫----|-|------------⌫|
eth o rs a l	-|-⌫-⌫-|||
uislebouteroient	--|-|----------|
laforceertleurenleur maiso n	-|----|--|---|-|---|-----⌫|
h orsl enontmises anzraison	-⌫--||-|--|---|-⌫--|-----|
ces te xemplepouezsauoi r	---⌫|-⌫-----|----|-----⌫|
preudommemaintu eoir	--------|----|-⌫---|
et parbo nte de	-|--|--⌫--|-|
sonco urage	--|--⌫----|
estchacié deson heritage	--|------|-|--|-------|
quifelonhommealiaqueult	--|----|----||-|------|
nele lais tpassi	-|-|----⌫|--|-|
t ostquilueult	-⌫--|-|-|----|
s ourizconte	-⌫----|----|
uneuilleprouchaine	--|----|---------|
uoul oitaler pourdepo rte r	----⌫--|---|---|----⌫---⌫|
pa rmiun bois lesteut	--⌫--|-|---||-----|
d edans le	-⌫----|-|
b oi s lianuita	-⌫--⌫|-|-----|
u nefoss eteilleuc	-⌫-|----⌫--|-----|
cunesourizdebo isot fait	|--|-----|-|--⌫-|-|---|
et sa uiandeyot	-|-|-----||-|
la so uriz deuill edemande	-|--⌫---|-|----⌫|------|
seelleotilleuc poi nt deuiand e	-|---|-|-----|---⌫-|-|-----⌫|
c ellerespontien ay	-⌫---|------||-|-|
uenezaua nt	----|---⌫-|
auiezcomp agnie	----|----⌫----|
plusens er i ez uo us bien seruie	---|-|-⌫--⌫-⌫-|--⌫-|---|-----|
quantelleotp ieceilleuce sté	----|---|-|-⌫---|-----|-⌫---|
asacompaigne	|-|--------|
di stqueseses t res est mauuais	--⌫-|--|--|--⌫-⌫--|--|------|
etque nyueult demourer mais	-|--|||----|-------|---|
enuiengnesi aura	-|------|-|---|
richessa lesque	-----|--⌫--|--|
bel esdespenses biausc elier s	---⌫-|--------|----|-⌫-----⌫|
etbonsboir esetbons	-|---|----⌫-|-|---|
c elle la croito	-⌫---|-|----||
enbel es sales l	-|---⌫-|----||
siliamonstré s esso liers	-|-||-------|-⌫-|--⌫----|
ses despe nsesetses celiers	--|-----⌫---|-|--|------|
plante defar i neet demie l	-----|-|---⌫-⌫-|-|-|---⌫|
cellecuid a bienestreouciel	----|----⌫|---|----|-|---|
maisoruindrentliboutill ier	---|-|-------|-|-------⌫--|
quientrerdurentou celier	--|-----|-----|-|-----|
sitost comme ileuurire nt	-|---|----|-|-------⌫-|
less o urizfuientesp ertuis	--|-⌫-⌫---|-----|-|-⌫-----|
la bo scag efuesb ahie	-|--⌫----⌫|-|---⌫---|
quil eur e st renesauoit mie	--|-⌫--|-⌫--⌫-|-|-----|--|
quantc ilyssirentdu celier	----|-⌫-|-------|-|-----|
l essourizc oururent me ngier	-⌫-|-----|-⌫-------|--⌫----|
etendolour	-|-|-----|
etot demort	-|-|-|---|
tresgr antpaour	---|--⌫--|----|
sacompaignelaregar da	-|--------|-|-----⌫-|
pa rgran tdoubtelidemanda	--⌫|----⌫|-----|-|------|
quelsemblantfaitmadou lceamie	---|-------|---|-|---⌫--|---|
iesui faitelle	-|--|---|---|
malbaillie	---------|
paourqueiay	----|--||-|
mo ult me rep ens quet	--⌫--|-|---⌫--|--||
tu mecon t oiestou t tonbien	-|-|---⌫-⌫---|---⌫|--|---|
ma is dumalne medeizrien	--⌫-|-|--|-|-|---|---|
or ast u paour de la gent	-|-|-⌫|----|-|-|---|
de chazdoisiaux to utensement	-|---||------|--⌫-|-------|
on faitpou rtoy	-|---|---⌫|--|
m iexainsaubo isest rea pa r mo y	-⌫--|---|-|--⌫-|---⌫-||--⌫|--⌫|
aseurte et sa nz destresce	|-----|-|--⌫-|--------|
quentesgranssalesentr istesce	-|-|--|----|----|-|--⌫------|
cestefable d itsa nz	----|----|-⌫-|--⌫-|
chascunaimemi exsonpeti t	------|---|--⌫-|--|----⌫|
quilaenpaix et	-|-||-|---|-|
sanzd oubtance	---|-⌫-------|
quau truy riches ce en meschean ce	-|--⌫---|------⌫-|-|--------⌫-|
dungoupilc ontelam ate re	|-|-----|-⌫---|-|-⌫---⌫-|
quiestissuzde satesn iere	--|--|----|-|-|----⌫---|
ouse s f a onsdeuantio ua	-|--⌫|-⌫-⌫--|-----|--⌫-|
uintu n emporta	---|-⌫|------|
le go upiluaapres	-|--⌫---|-|----|
l irendistsonenfant	-⌫|------|--|-----|
ne luoultpas escout er	-||----|--|------⌫-|
silenconuint aretou rner	-||-|------||-----⌫---|
u n tison pr ist defeuarden t	-⌫|----|--⌫--|-|--|-----⌫|
etse chebu c heuaquerant	-|--⌫--|--⌫-⌫-|-|------|
entourle chesneslemett roit	-----|-|------|-|----⌫---|
ouliayglesson	-|-|-----|--|
liaigl e suilefeuespris	-|----⌫-⌫|-|-|--|-----|
au g o upilpri eetditamis	-|-⌫-⌫---|---⌫|-|--|---|
estainle f eu pourt on chael	-----|-|-⌫-|---|-⌫-|----|
ia serontmort	-|-----|---|
tuitmioysel	---|-|----|
icestexample ente ndons nous	----|------|----⌫----|---|
qu ainsyestduricheorgueillous	-|----|--|-|----|----------|
ia dupouren aura merci	-|-|----||---|----|
poursaplaintene pou rson cr i	---|-|------|-|---⌫|--|--⌫|
maisse cils	---|-|--||
enpeustu enchier	-|----|-⌫------|
don c leuerroito n suppli er	---⌫|-|------|-⌫|------⌫-|
iadis estoit	----|-----|
c ous tume et	-⌫---⌫---|-|
quelelyon dubt	--|-|---|---|
sur toute slesbestes quisont	--|-----⌫|--|-----|--|---|
nequiconuersent encestmont	-|--|---------|-|---|---|
dubu gleotfait	-|--⌫--|-|---|
son seneschal	--|--------|
ca r a preuzl e	--⌫||----|-⌫|
tin t e tloy a l	---⌫|-⌫|---⌫-⌫|
au leubail lasa p reuoste	-|--|----⌫-|-|-⌫------|
e n s ontouboi sentre ́	-⌫|-⌫--|-|---⌫|-----⌫|
u ncerf t reuuentsilechacere nt	-⌫|---|-⌫------|-|-|-------⌫-|
qua ntpri ns	---⌫-|---⌫-|
lor entsilescorchierent	|--⌫--|-||------------|
l e leuau bugledemanda	-⌫|--|-|----|------|
commentle cerf d epart ira	------|-|---|-⌫-----⌫--|
ceestfaitilenmonseign e ur	-|--|---|-|-|--|-----⌫-⌫-|
c ui nousd euons	-⌫-|---|-⌫----|
porterhonn eur	-----|----⌫--|
lelyonsaditet	-|----||--|-|
qu etuitsac hentparuerite	--⌫|---|---⌫---|--|-----|
que l apremierepart auroit	--|-⌫|-------|---|-----|
pourc equ estroise t dr oiz estoit	---|-⌫|-|--|---|-⌫|--⌫--|-----|
autr e pa rt	----⌫|--⌫-|
p our le guaaing	-⌫--|-|------|
tierscomp ai ng	----|----⌫--⌫-|
lautrepartieaurace dit	|----|-----|---|-|--|
raisonest oit	-----|---⌫--|
carilloc cist	--|-||--⌫---|
se n ullebestele	-|-⌫---|----|-|
