mout fu irie z	---|-|----⌫|
sot que le prodome fu	--|--|-|------|-|
corre ciezpor si poi	-----⌫---|--|-|--|
que s e illi pooi t	--|-⌫|-|-|----⌫|
grantdamaigefai reb ien	----|------|---⌫-|-⌫--|
sencorroceroi t	|-|----------⌫|
auroitplus a	-----|---||
sa uolente.s i	-|------||-⌫|
bestes etayybiaus	-----|-||-|----|
ch euausqueilauoit si	--⌫----|--|-|----|-|
lioci st touten une	-|---⌫-|---|-|--|
nu it.et quant	--⌫-||-|----|
souechos e aloitsia	---|----⌫|----|-||
malsisecorroca	--|-|-|------|
moltet dist une fole	---|-|---|--|---|
sa gra ntire	-|---⌫-|--|
lifistd ire que	-|---|-⌫--|--|
quanquei l liesto it	------|-⌫|-|----⌫-|
remes. quantl ideables	----||----|-⌫|------|
illi auoitc eld on	-|-|----|-⌫-|-⌫-|
fai tsien fu molt	---⌫|-|-|-|---|
liez etli recorut	---|-|-|------|
encoreporgrei ngno r do maige	-----|--|----⌫----⌫|--⌫----|
fairecar i lne li	----|--|-⌫|-|-|
onquesnule d e sesbestes.	-----|---|-⌫|--|-----||
molt iri ez	---|---⌫-|
et en sagrant	-|-|-|----|
com paigniede	---⌫------|-|
cure . etquantlideables	---||-|----|-|------|
l i a uo i t	-⌫|-⌫--⌫-⌫|
toluelacompaignie	----|-|---------|
delagentsis ot	-|-|---|-|-⌫-|
bien qu ilen	---|-|-|-|
sa uo lentecaril	-|--⌫----|--|-|
pooitalerenuirontant	----|---|------|---|
comil uoloit.l orsuint	--|-|-----||-⌫--|---|
l id eables a	-⌫|-⌫-----||
mout biaufillqu eil	---|---|---|--⌫|-|
auoitendo rma nt sil	----|-|--⌫---⌫-|-||
estrangla .et	--------||-|
li enfesf utroue zau	-|----|-⌫|-----⌫|-|
matin morz	----|---|
oi queil auoit	-|--|-|----|
perdusonfill si	----|--|---|-|
hom e irié quenluin	---⌫|----|-|-|--||
rec ouurierdesque	---⌫------|-----|
i l auoitso nfillperdu	-⌫|----|--⌫|---|----|
sisedesesperaet	-|-|--------|-|
meserradesa creance.e t	------|-|-|------||-⌫|
quantdeables sot que il	----|------|--|--|-|
auoits a creance	----|-⌫|------|
p erdue e tque	-⌫----|-⌫|--|
potretorn ersenfu	--|------⌫-||-|-|
et lorsal aalaf eme	-|---|--⌫||-|-⌫--|
po rquiil ot ce	--⌫|--|-|-|-|
g aa ingniési lafist	-⌫--⌫------|-|-|---|
m onter surune huichesor	-⌫----|--|--|-----|--|
soncelier .e t quantele	--|-----||-⌫|----|--|
i fumontee	|-|-----|
silifist une corde	-|-|---|--|----|
mestre aspla nch esdou	-----|-|---⌫---⌫-|--|
celier etenson	-----|-|-|--|
coleteinsiuolt	--|-|----|---|
descendre de sor la	--------|-|--|-|
h uichesiest ranglaet	-⌫----|-|---⌫-----|-|
quantelefu e stranglee	----|--|-|-⌫--------|
sifutrouee .etq uant	-|-|-----||-|-⌫---|
li prodo msot	-|-----⌫|--|
queil auoitperdus a	--|-|----|----|-⌫|
femmee tson filen	----|-⌫|--|--|-|
telmeniere sis	--|------|-||
deceduelliprist	-|-|---|-|----|
unegrantmal adie sil	--|----|---⌫---|-||
einsisfait	-----|---|
de ables decels	--⌫----|-|---|
puet e n gingnieretque	---|-⌫-⌫-------|-|--|
i ltr euue	-⌫|--⌫---|
asauolent e.	|-|------⌫||
quan tilotcefait	----⌫|-|-|-|---|
sifumoutliezet	-|-|---|---|-|
pensa comentil	----|-----|-|
eng ingne ro itlestro is	---⌫-----⌫--⌫-|--|---⌫-|
filles quiest oie ntrem e ses	-----|--|---⌫---⌫-|---⌫-⌫--|
deablessot	------|--|
que ilnelesp o rroit	--|-|-|--|-⌫-⌫----|
e ngingnier se iln e lor	-⌫--------|-|-|-⌫|--|
lor uol e n teet ce qu e	--|---⌫-⌫-⌫-|-|-|--⌫|
ell e s uo udro ient	---⌫-⌫|--⌫----⌫---|
unbachelerqui	-|-------|--|
mo ltouuroit	--⌫-|------|
uolentesilam enala	------|-||--⌫--|-|
oulespucelese s to ient	-|--|------|-⌫-⌫--⌫---|
sien pria lu neet	-|-|---||-⌫-|-|
tantliala e ntor par	---|-|--|-⌫---|--|
p lusorsf oiz	-⌫-----|-⌫--|
queillengingna.e t	--|-||-------||-⌫|
quantil lot engi ng niee	----|-||-|----⌫--⌫---|
senf utmoltlie z.	|-|-⌫-|---|---⌫||
et de able s n	-|--⌫----⌫||
d eceleedecedont	-⌫|----|-|-|---|
deseureain zuol tqueil	------|---⌫|---⌫|--|-|
soit ena per t deuan t	---|-|-⌫---⌫|-----⌫|
porpl ushonni r.	--|--⌫-|-----⌫||
fistdeables sauoir l	---|------|-----||
o urequecil	-⌫--|--|--|
faisoitpar sonporchaz	------|--|--|------|
tantquelesie clele	------|-|---⌫--|-|
etencetensestoit	-|-|-|---|-----|
quef emeq uiestoit	--|-⌫--|-⌫-|-----|
s elenesabandonoit	|--|-||---------|
p lenierement a t o zles	-⌫----------||-⌫-⌫|--|
hom es que lenen	---⌫-|--|--|-|
faisoitiostice.et deables	------|------||-|------|
porcequ e iluolt	--|-|--⌫|-|---|
le ss uenshonir	--⌫|-⌫---|----|
fis tceste	---⌫|----|
ouresa uoir.	---|--⌫---||
cilsenfou iet la	--||-----⌫|-|-|
femefuprise	---|-|----|
etmenee deuantlesiuges.	-|----|-----|--|----||
etqua ntliiugela	-|---⌫-|-|---|-|
uirentsien	-----|-|-|
molt grantpitiepor l	---|----|----|--||
amor douprodome	---|--|------|
fillee le fuet	----|-⌫-|-|-|
gr antmeruei llep oez	--⌫--|------⌫--|-⌫--|
ueo ir decestprodome	---⌫-|-|---|------|
cestefillefu	----|----|-|
est mescheoit	--|--------|
tenscarencor e s n a	---|--|-----⌫-⌫|||
g airesque	-⌫----|--|
i lest oit	-⌫|---⌫--|
pluspr odomesde	---|--⌫-----|-|
cest pais.	---|---||
einsiparolent	----|-------|
dientqu eiostiseloren	----|--⌫|------|--|-|
couient fa i re	------|--⌫-⌫-|
quei l lenterreront	--|-⌫||----------|
touteuiuedenui spor	----|---|-|---⌫|--|
de ses amis sile	-|--|---|-|-|
firent .ei nsis	-----||--⌫---|
ieue deables	---|------|
q ui consententsa u ole nte	-⌫-|---------|-|-⌫---⌫--|
en te rre .	-|--⌫--||
oupaisauoi tzz	-|---|----⌫|-|
pr od ome etmout bon	--⌫--⌫--|-|---|--|
confessoretoi	--------|-|-|
decelemeruei lle.si	-|---|------⌫--||-|
uint et pallaasyy	---|-|----|-|-|
serorsq ui estoie nt	-----|-⌫-|------⌫-|
rem e se sl	---⌫-⌫--⌫||
ai nznee etla	--⌫----|-|-|
mainsneesi lesconforta	-------|-|--|-------|
etlord is t	-|--|-⌫--⌫|
comen t est ceste	-----⌫|--|----|
mesauenture auenuede uos tre	----------|-----|-|---⌫--|
uostremere et	-----|---|-|
frere eteles	----|-|---|
nosnensauons	--||-|-----|
t antque noscuidonsque	-⌫--|--|--|------|--|
heesi nos sueffreces	--|-|--|------|--|
tormenz aauo ir.et	------||---⌫-||-|
respontuosned ite s	------|--|-|-⌫---⌫|
pas biendiexnehet	--|---|---|-|--|
ainz lip oise moltque	---|-|-⌫---|---|--|
li pechierresse het .	-|---------|-|--||
c esaic hie ́ s	-⌫|----⌫---⌫-⌫|
quetot ceq ui est	--|--|-|-⌫-|--|
a u enuestpar eu ure de	-⌫-⌫--|--|--|--⌫--|-|
deabl e.etdeuostre	-----⌫||-|-|-----|
s erorqueu os	-⌫---|--|-⌫-|
uilmentperduesa uoiez uos	------|-----|--⌫----|--|
q ueelefeist	-⌫-|--|----|
re spon nentsirese	--⌫----⌫---|---|-|
nosait nosn	--|--|--||
sauoiens r ien . e tli	-------|-⌫--||-⌫|-|
prodomlo rdist gardez	-----|--⌫|---|-----|
uo s d e mauuaise	--⌫|-⌫|-------|
euureca rla mauuaise	----|--⌫|-|-------|
euuremo ine l epecheor	----|--⌫--|-⌫|------|
etlapeche r ess e	-|-|-----⌫-⌫---⌫|
e n ma luaise finetpor	-⌫|--⌫-----|--|-|--|
ceuo seng ardezque	-|--⌫|-|-⌫----|--|
tostestper du	---|--|---⌫-|
qui maluaisefin	--|-------|--|
etquiadieuse	-|--||---|-|
nemalu aiseeuu re	-|----⌫---|---⌫-|
maluaisefin .m out	-------|--||-⌫--|
apr antbienetanseigne	---⌫--|---|-|-------|
seelesuousissententen d re.	-|---|---------|-----⌫-⌫-||
lainznee lentendim olt	|------||------|-⌫--|
liprodonliot	-|-----|-|-|
etliprodon	-|-|-----|
ens eignamoltsacr ean ce	---⌫----|---|-|--⌫---⌫-|
e t lesuertusdeihesu	-⌫|--|-----|-|----|
cris tacroire	----⌫||-----|
et aam er.	-||--⌫-||
mistmoltgrant cureet	---|---|----|---|-|
moltgrantpoine	---|----|----|
au fairee taudireet	-|----|-⌫|-|---|-|
asoic ontenir sicom	|--|-⌫------|-|--|
illienseingnoitet	-|-|----------|-|
illi dis tseuos	-|-|---⌫|-|--|
cr eezbien ce que i e	--⌫--|---|-|--|-⌫|
uosd ire et	--|-⌫--|-|
uo slamezgrans	--⌫||---|----|
uos enuen d rae tuos	--|-|---⌫-⌫-|-⌫|--|
serezmamie	----||---|
et ma filleendi eune	-|-|----|-|--⌫-|-|
aur oiziasi	---⌫--|-|-|
grantbesoingne	----|--------|
ne si grant disete de	-|-|----|-----|-|
nulech oseseuosen	---|--⌫--|-|--|-|
a co nseilqueiene	|--⌫----|--|-|-|
aieetcon se il le	--|-|---⌫--⌫--⌫-|
esm aiez pas carnostre	---⌫---|--|--|-----|
sir esuosconseill era	---⌫-|--|--------⌫--|
seu osu ost ene z	-|-⌫-|-⌫-|-⌫---⌫|
lui etuene zsouenta	--|-|----⌫|-----||
moi carienes ui	--|--|-|-|-⌫-|
gairesloing de cia	-----|----|-|-||
estaige.einsisot	------||-----|-|
prodomea s senee s	------|-⌫-⌫-----⌫|
puceleset mises en	------|-|----|-|
bonnesuoies.	-----|----||
l ainzn eecrutmol tl e	|-----⌫-|---|---⌫|-⌫|
prodome et ama	------|-|--|
b onconsoil et por	-⌫-|------|-|--|
lesbonnesparoles	--|-----|------|
li disoit.	-|-----||
etquant dea bleslesot	-|----|---⌫---|-|--|
si le npesamolt et	-||-⌫|---|---|-|
otpaorque il	-|---|--|-|
nelesperdistsise	-|--|------|-|-|
po rpens a queil neles	--⌫-----⌫|--|-|-|--|
porroitengingnierpar	------|---------|--|
homeseilneles	---|-|-|-|--|
engingn oitauantparfemme.	-------⌫--|----|--|----||
enauoitu ne	-|----|-⌫-|
qui main tesfoizauoit	--|----⌫--|---|----|
fait sauolente etses	---|-|------|-|--|
icelefemme pris tl	----|----|----⌫||
en nemisilenuo ia	--⌫---|-||----⌫-|
celeala mainsn ee d es	---||-|------⌫-|-⌫-|
ser orscar elen osa	---⌫--|--|--||--|
palleralautre	-----|||----|
p orce quele	-⌫-|-|-|--|
se cont enir humilieusement	-|----⌫---|-------------|
la ma i nsneet rais t	-|--⌫-⌫----|-⌫----⌫|
aune par tacon seil	|--|---⌫||---⌫---|
si lidemandamoltde	-|-|------|---|-|
sonestre et	--|----|-|
li dem anda	-|---⌫---|
m oineoreuostreseu r	-⌫---|--|-----|---⌫|
mo lt chier eetf ait	--⌫-|-----⌫|-|-⌫--|
grantioieetcele	----|---|-|---|
respon tmasuer	------⌫|-|---|
pe nsiuee tsi	--⌫----|-⌫|-|
cesmesaue n tu res	--|------⌫-⌫--⌫--|
quiaue nuesnos	--|---⌫---|--|
sont carelenefai t	---|--|--|-|---⌫|
belechiereneamo i	---|-----|-||--⌫|
etun s prodo mac ui	-|--⌫|-----⌫||-⌫-|
elepar o le dedieu l	--|---⌫-⌫-|-|---||
asi at or nee	|-|--⌫--⌫--|
asaguis eeta sa	|-|----⌫|-||-|
m enie re et elenef ait	-⌫----⌫-|-|--|-|-⌫--|
que il u iaut .et	--|-|-⌫---||-|
li dis tmarifu	-|---⌫|--||-|
uos tre biauscors	---⌫--|----|---|
q uiiamais	-⌫-|-----|
tantcomuossoiezen	---|--|--|----|-|
cestecompaigni e.	----|---------⌫||
diexbeleam ieseuos	---|---|--⌫-|-|--|
sauoiez qu elioieces	------|--⌫-|---|--|
a utres fenmes on t	-⌫----|-----|--⌫|
uos nep riserieznoia nt	--|-|-⌫-------|----⌫-|
quanqueuos auez. nos	------|--|---||--|
a uon s tel i oi e	-⌫---⌫|--|-⌫--⌫|
quantnos s ome sauecla	----|--|-⌫---⌫|---|-|
compaignien os	---------|-⌫-|
nauoi onscune	|----⌫--||--|
d epa insiseroiensnos	-⌫|--⌫-|-|-------|--|
etp luse nioie que	-|-⌫--|-⌫|---|--|
uos nieste s seuos	--|||----⌫|-|--|
auoiez tot	-----|--|
alaissié .diex	|-------||---|
queu au tione femme qui	--|-⌫--⌫|---|----|--|
domes era et	|--|-⌫--|-|
siuosdi raiporquoi.	-|--|--⌫--|--|---||
u ostresue r e sta inzne e	-⌫----|---⌫|-⌫-|-⌫-----⌫|
deuos sienaura	-|--|-|-|---|
ancois asonhues	-----||--|---|
qu eleia soffrir uoille	-|--|-|------|-----|
queuospointena iez	--|--|----|-|-⌫--|
etquant ele en	-|----|--|-|
aurasineli chau ra	---|-|-|-|----⌫-|
einsiaue zperd ue	----|---⌫|----⌫-|
toutelaioie	----|-|---|
biaucorsqui	---|---|--|
fu.et elle	-||-|---|
come n toseroieiefaire	----⌫-⌫|------|-|----|
cequeuosd itescar	-|--|--|-⌫---|--|
enfumorte et ele	-|-|----|-|--|
respontuostr esuer l e	------|-----⌫|---|-⌫|
folement et ma luais cons oil	-------|-|--⌫----|----⌫--|
crut. mais	---||---|
uos n enseroizia	--||-|-----|-|
prissea achoisonetsi	-----||-------|-|-|
auro is totle	----⌫-|--|-|
delitdeuo strecors.-ie	----|-|--⌫---|---|||-|
nesaifait ele	-|--|---|--|
comment neie	------|-|-|
no ser oieplus pal ler	|-⌫---⌫--|---|---⌫--|
uo spormaseror.-	--⌫|--|-|----|||
uosen et quantuos	--|-|-|----|--|
uouroiz uos	------|--|
porroizbien	------|---|
amo ip aller .etqu ant	|--⌫|-⌫----||-|--⌫--|
lideablesoi	-|------|-|
cesen f u moltliez	-||-|-⌫|---|---|
et so t bienqueill	-|--⌫|---|--|-||
sauolente .eteinsi	-|------||-|----|
femme .e tquant	----||-⌫|----|
l afemm esenfu	-⌫|----⌫||-|-|
aleeladamoisele pen sa	---|-|--------|---⌫-|
maintesfois aceque	------|---||-|--|
eleli otdit.	--|-|-|--||
et q u antlideablesla	-|-⌫-⌫--|-|------|-|
troua siesmeue	----|-|-----|
uole ntequeeleen	----⌫--|--|--|-|
palloitseul aseula	------|---||---||
soi meismes sili bouta	--|------|-|-|----|
il pottantq ueele	-|--|-----⌫-|--|
resg ard oitl anuitson	----⌫---⌫--|-⌫|---|--|
biau cor setdiso it	---|---⌫|-|----⌫-|
uo i rement me distuoir	--⌫-⌫-----|-|---|---|
laprodefemmequidit	-|----|----|--|--|
quei esu i	--|-⌫|--⌫|
p erduet antquezzi or	-⌫----|-⌫-----|-|-⌫-|
aui n tqu elelamanda	---⌫-⌫|-|--|-|----|
c ertes uos mede istes	-⌫----|--|-|--⌫----|
