orescotezpor	-|------|--|
ele re m aints ensai e	--|--⌫-⌫---|-⌫--|--⌫|
toteseradesconce illee	---|---|--------⌫----|
n estportei	|--|--|--|
te pripo r amorde	-|--|--⌫|---|-|
qu e deua it deteigr an t pitie	--⌫|--|-⌫-|-|--|--⌫--⌫|----|
que de liprenges bon	--|-|-|------|--|
en literemenbre deme i	-|-|-|-------|-|--⌫|
quantliuasles	----|-|-----|
s on pereentent	-⌫-|---|-----|
sienploramolttendrem ent	-|-|----|---|-------⌫--|
fisdistlipere laiest er	--|---|-|---|--|---⌫-|
tei nestoura mieplorer	--||------|--|-----|
quar tutendrasmagrantenor	---|-|------|-|----|---|
maisliduel s est de ta	---|-|----⌫|--|-|-|
qui rem aindra to te	--|---⌫-----|--⌫-|
marfu o nques	--|-|-⌫----|
demeren ee	-|---|-⌫-|
fille otquedi ssis sir e	----|-|--|--⌫|--|---⌫|
p loredes o ils del cue rsospire	-⌫---|--|-⌫--|--|---⌫|------|
laface quiertbel e	-|---|--|--|---⌫|
por leduelq u elle a	--|-|---|-⌫|---||
deson per e	-|--|---⌫|
de sacoloreamarie	-|-|----||-----|
par ladolorquele menot	--|-|----|-|--|----|
quarpar c onfortnese	---|--|-⌫-----|-|-|
ploroenttu it comunau ment	-------|--⌫-|-------⌫---|
liuauassor	-|-------|
elaut re gent	||---⌫-|---|
e le s dames	|--⌫|----|
q uilesgardoient	-⌫-||----------|
peresu itl apucelle	----|-⌫-|-⌫|------|
e safacequi moltiert b elle	|-|---|--|---|---|-⌫---|
asmainsse grate edescir e	-|----|-|----||------⌫|
au cuer pesanceeire	-|---|------||--|
p oing asa	-⌫---||-|
fillepris e	----|----⌫|
la enlama in m ise	||-|-|--⌫-|-⌫--|
silicomande	-|-|------|
en celefeit	-|---|---|
quiillar m esonp eredeit	--|-||--⌫-⌫|--|-⌫--|---|
q u e il lagarde	-⌫-⌫|-|-|----|
comf rer esdeitfaireseror	--|-⌫---⌫-|---|----|----|
quantlipere sot s i	----|-|----⌫|-|-⌫|
ileucdeuant	----|-----|
per e defeni	---⌫|-----|
libaro nlontenceueli	-|----⌫||--|-------|
agrantenor ag rant	|----|---||-⌫---|
co mprinc edesihaut lignage	--⌫|-----⌫|-|-|---|------|
remistoueuc so nfrere	-----|----|--⌫|----|
en apres la	-|----|-|
m ortdesonpere	-⌫--|-|--|---|
ecila bienlonctens	|--||---|---|---|
e atelenor demene e	||--|---|------⌫|
qu e tot lifai tetotli treuue	--⌫|--|-|---⌫||--|-|-----|
quan tquelle demandeereuue	----⌫--|---|------||----|
encemble uont	-------|---|
encem bleuien ent	-----⌫--|----⌫--|
agrantioieensembles et ie nent	|----|---|-------|-⌫|-⌫--⌫---|
lauesteure fucomu ne	-|-------|-|----⌫-|
el eurescuelet ote	|-⌫--|------|-⌫--|
ensemb leburentdun	------⌫-|-----||-|
esitaill erentd	|-|-----⌫----||
elo rdui li tfurentsi pres	|--⌫|--|--⌫|-----|-|---|
que il le sgardoientades	--|-||-⌫---------|---|
quant lidea ble u it cestplait	----|-|---⌫--|-⌫-|---|----|
quelifr eres tel enor fait	--|-|--⌫---|--|---|---|
q uetant percheris t saseror	-⌫-|---|---------⌫|-|----|
equelatiente ntel	|--|-|----|-⌫|--|
dont secomencea ent remet re	---|-|------||---⌫-----⌫-|
s ille speus t	|-|--⌫|----⌫|
entelle umetre	-|--|--⌫|----|
peustparsonart	----|--|--|--|
celeamisti ea ma le	---|------⌫||--⌫-|
achaison deaisement	-------|-|-------|
q uedemenoi enttro psouent	-⌫-|-------⌫--|---⌫|-----|
le frereli enem is	-|----|-|----⌫-|
desa s er orsifortmespris	-|-|-⌫--⌫-|-|---|------|
que il ne laira par nul	--|-|-|----|--|--|
nepo rpechenepo r m esfait	-|--⌫|----|-|--⌫|-⌫-----|
queilne facese loncs onaise	--|-|-|---|--⌫---|-⌫-|---|
sauolentemauuaise	-|------|-------|
lapuc elenensaueitrien	-|---⌫--||-|-----|---|
quidotq ueto t ce fust p ar	-----|-⌫-|--⌫|-|---|-⌫-|
f re res li co nioeit	-⌫--⌫--|-|--⌫-----|
ne tan tne qua ntnes	-|---⌫|-|---⌫-|-||
le feist par	-|----|--|
denule ma uuaisea mistie	-|---|--⌫-----|-⌫-----|
e n epor quantne lidefuit	|-⌫----⌫----|-|-|-----|
nedesabocheneson desd uit	-|-|-|----|-|--|----⌫--|
quant plusla be isee	----|---|-|--⌫--||
plusla ueit	---|-|---|
tant enesteit pl usendestreit	---|-|-----|--⌫-|-|-------|
elie n emis	|-|-⌫-⌫---|
de natur e	-|-----⌫|
qui dautrechose	--||----|----|
n aueitcure	|----|---|
egu ilonot e somoneit	---⌫-----||-------|
celuideceiu re uoleit	----|------⌫-|-----|
ta ntc unenuitel	--⌫-||--|---|-|
tensd e ste	---||-⌫--|
laciuencueesbracé	||-|----||-------|
quidesonl itouil esteit	--|-|--|-⌫-|-|-|-----|
quipr esde	--|--⌫-|-|
saserorgiseit	-|----|-----|
sestleue ́s	|--|----⌫-|
totde schausenus	--|--⌫-----||--|
el litsa serorestuenu s	-|--|-|----|--|----⌫|
puis sosleuale couertor	---|------|-|-------|
sia enbraciésa	-||--------|-|
elesest molt	--||--|---|
tostesuei lee	---|-----⌫--|
quante les entienbracee	----|-⌫-|-⌫---|-------|
sigranspoorslenestuenue	-|----|----||-|--|----|
quetotsigens	--|--|-|---|
corsl entressue	---||-|------|
saill iruoltsus	-----⌫-|---|--|
por f ai ren oise	--|-⌫--⌫-|-⌫---|
maissi labaise esila col e	---|-|-|----||-||-⌫---⌫|
lapucelees tformenth ontose	-|-----|--⌫|------|-⌫-----|
etre spenciueeangoic ose	|---⌫-------||------⌫--|
eleconcentl epeche	--|------|-⌫|----|
en f insontda mpnéeiugé	-|-⌫-|---|--⌫----||----|
s e elefetnoise	-⌫|--|--|----|
de t otason f rere hon i	-|-⌫-||--|-⌫---|---⌫|
oncmotanceis se tot	--|--|-----|-|--|
cefudelpisquefa irepot	-|-|--|--|--|--⌫--|--|
quaruue ile ounonla uiolee	---|---⌫--|-|--|||-----|
s isf reresedespucelee	-⌫-|-⌫----||---------|
doncfuioiosli	---|-|----|-|
quid autre chosen	--||----|----||
aueit quis	----|---|
tosles quidaaueirsorp ris	--|--|----|----|----⌫--|
e enliésa tosdis	|------||--|--|
q uenenfer lespeust lacier	-⌫|-|----|--|----|-----|
ense mbleoluitrabuch er	----⌫---||--|-------⌫-|
sic o m nostrouons en lesto ire	-|-⌫-⌫|--|------|-||----⌫--|
doncfu engendréssa in s gre goi re	---|-|---------|--⌫--⌫|---⌫---⌫-|
dequideufistpuis	-|--|--|---|---|
si sai ntho m e	-|---⌫-|--⌫-⌫|
queapost oile e nfistderome	--|-----⌫---|-⌫|---|-|---|
q uarcest pechees penei	-⌫--|---|----|--⌫----|
dontu os auési cioi	---|-⌫-|----|-⌫-|-|
lidiablesnen _	-|------||-||
de c estsaintismeen gendrement	-|-⌫--|--------|--⌫---------|
maistostenslesagu ilona	---|--|---|--|---⌫----|
epluseplus lesangoissa	|---||---|--|-------|
pechea mai n tenir	----||---⌫-⌫----|
neloruo sis tpasl ais sierguerpir	-|--|--⌫---⌫|--|-⌫---⌫---|------|
truesque ls eust deltot dampnés	-------|-|---|--|--|-------|
maisp uisi fu mal enginés	---|-⌫--||-|--|-------|
quantladamesesent e nceinte	----|-|---|-|---|-⌫------|
siestformentmueeeteinte	-|--|------|---||-----|
e ta n t enfusiscorspe n cis	|--⌫-⌫|-|-|--|---|--⌫-⌫--|
quo n ques niot	-|-⌫-⌫---|||-|
ne ioineris	-|--|-|--|
par fuensimarie	--|-|---|----|
quenelic hal eitde	--|-|-|-⌫---⌫--|-|
quant lifr e r esla ueitmuee	----|-|--⌫-⌫-⌫-|-|---|---|
s abia ute	-⌫|---⌫--|
tr espencee	--⌫-------|
doncdemandeasa seror	---|------||-|----|
por quoidemeneittieldolor	--|---|-------|---|----|
elerespontbienl aioup rendre	--|------|---||-|-|-⌫-----|
c ar ilmestoura	-⌫-|-||------|
parmi fendr e	----|-----⌫|
enceint esui	-------⌫|--|
deuifenfant	-|--|-----|
orestli duels aparissant	-|--|-|----|---------|
am i sbiau sfreredistla suer	--⌫-⌫|----⌫|----|---|-|---|
m oltpui saueirdole ntlecuer	-⌫--|---⌫|----|----⌫-|-|---|
moltpuisdirequemarfu nee	---|---|---|--|--|-|--|
qua rm oltpar	---⌫|-⌫--|--|
sui ma l euree	--|--⌫-⌫----|
qu ar onquesmaisnulechai tiue	--⌫-|-----|---|---|----⌫---|
necuitque fustenterre	-|---|--|---|-|----|
quitantourastcontrenatu re	--|---|-----|-----|----⌫-|
ep lusneust des arme	|-⌫--||---|-||---|
moltfutemtee en ce l	---|-|-----|-|--⌫|
e diable s me	|------⌫|-|
quantconcentiuos t r e folie	----|-------|---⌫-⌫-⌫|----|
porpoordemortou	--|---|-|---|-|
quantuos acemblastes	----|--|----------|
con treraisone contre	---⌫--|-----||-----|
tantcomp oons	---|--|-⌫---|
lauonsselé	|----|----|
mais orseradem ons tr é	---|-|---|---⌫---⌫--⌫-|
quar de sle fait bien apara istre	---|--⌫|-|---|---|-----⌫----|
quar fruit d emoicomanc ea	---|----|-⌫|--|------⌫||
grosse deuifenf ant	-----|-|--|---⌫--|
ne lplusor mai scelerauant	-||---|-|---⌫|----|----|
maisquanti lautre	---|----|-⌫|----|
por deuuosp rile	--|--|--|-⌫-|-|
reicelestre	--|-------|
queuos demeiprengie ́stielcure	--|--|-|--|-------⌫-|---|---|
ensembleoceste cr eature	-------||----|--⌫-----|
q u ar assesto s tdemeiistra	-⌫-⌫-|----|--⌫-⌫|-|--|----|
l iplaisirdeussera	-⌫|------|---|---|
qu els ieclene s eiehonie	-|-|-⌫----|-|-⌫--|----|
n elacreatur eper ie	-⌫|-|-------⌫|---⌫-|
e uos reprochenenaiés	|--|-------||-|----|
del siecle	--|-----|
honis neseiés	----|-|-----|
quantlifr eresl iot se dire	----|-|--⌫---|-⌫|-|-|---|
apoile cuer	|--|-|---|
nelipar t dire	-|-|---⌫||--|
enm il e l itdesaseror	---⌫|-⌫|-⌫-|-|-|----|
chai pasmés par gr a nt dolor	---|------|--|--⌫-⌫-|----|
doncsuosistmiaussaseurmortest r e	----|-----|----|-|---|---|---⌫-⌫|
leuapar lamaindestre	---|--|-|---|-----|
s i lreco m enssaapencer	-⌫||----⌫-⌫----||-----|
comentdeliporra	-----|-|-|----|
q uantlameschinelotdrecé	-⌫---|-|-------||-|-----|
eparparoleschast ié	|--|------|-----⌫--|
frerenepencés	----|-|------|
quarse s ach és pornule rien	---|-|-⌫---⌫--|--|---|---|
n e soffera i queseitmal mi s	-⌫|-------⌫|--|---|---⌫--⌫|
quedeuaenmei mis	--|--||-|--|--|
l iuas le s respont	-⌫|---⌫--⌫|------|
miesep e nssant	--|-|-⌫-⌫-----|
meill or con ceilai	-----⌫-|---⌫---|-|
le nosa destine ́	-|--||-------⌫|
unb ar on saien	-|-⌫--⌫-|--|-|
qui moltfua monp ere	--|---|-||--|-⌫--|
ecil laue it tos iors serui	|--||---⌫-|--|---|----|
esi medi stmi sperebien	|-|-|--⌫-|--⌫|---|---|
quantilgiseit el lit mo rtein	----|-|-----|-|--|--⌫----|
quecelbaronm oltonorasse	--|--|----|-⌫--|-------|
etos mesconceilsli	|--|--|-------|-|
m ostrasse	-⌫-------|
q uec el e c hosene	-⌫-|-⌫--⌫|-⌫---|-|
don tiec onceil ne	---⌫|-|-⌫-----|-|
li queisse	-|------|
iceestordem on	--|--|-|-|-⌫-|
un detos me s mei llorsa mi s	-|-|--|--⌫|---⌫----|-⌫--⌫|
mabe le s uerest a	-|--⌫-|-⌫--|---⌫|
esise letresbientonfais	|-|--⌫-|---|---|--|---|
eieprendrai unmessag ie r	|-|-------|-|------⌫--⌫|
sim anderaile c heualier	-|-⌫------|-|-⌫-------|
quantu enu s_iertsilidiro m	----|-⌫---⌫||---|-|-|----⌫|
icest conceilenconf e ssi on	----|------|-|----⌫-⌫---⌫-|
ele respontneuostar dés	--|------|-|--|---⌫---|
quarmis io rsest moltaprochés	---|--|--⌫-|--|---|--------|
lericheome mandé	-|----|--|-----|
messaige ebienhaste ́	-------||---|-----⌫|
queuiengea lui sans d emorer	--|-----||--|---|-⌫-----|
qua rdeluia molt grant mestie r	---⌫|-|--||---|----|------⌫|
quantiloi le comandement	----|-|-|-|----------|
a tornase isnelement	-⌫----|-|---------|
truesqua laco rten est alés	------||-|--⌫-|-|--|----|
quantel dessendiasdegres	----|-|-------|-|-----|
eliuas les uenirleuit	|-|---⌫--|----|-|--|
entreses br as le rec oil lit	----|--|--⌫-|-|---⌫---⌫--|
ill esaluegentem ent	-|-⌫|----|------⌫--|
puislebe isa e strei tement	---|-|--⌫--|-⌫-----⌫-----|
quantl otbeisénese	----||-|-----|-|-|
m ainlet int se	-⌫--|-|-⌫--|-|
lac hamb rea sas er or	-|-⌫----⌫-||-|-⌫--⌫-|
quilatendoitagrant	--||-------||----|
lachambr e sont entré	-|------⌫|---|-----|
empres eausontcelu i sfermé	-----|---|--|--|-⌫-⌫|-----|
a nduilisont	-⌫---|-|---|
cheu as pies	---|-|---|
silsontestr eitem entb aisiés	-|-|--|----⌫-----⌫--|-⌫------|
plorel ifr eresel a suer	----|-⌫|--⌫---||-⌫|---|
eliproudoma d uel al c uer	|-|------||-⌫--|-|-⌫--|
moltsemer ueil le	---|-|---⌫----⌫-|
neseit mie	-|---|--|
quesel e cho se	--|---⌫|---⌫-|
distil grant tortaue ́s	---|-|----|---|---⌫-|
queuos en ciuoscontenés	--|--|--⌫-|--|--------|
ie suiuostr eomne deucés	-|--|-----⌫|-|-|------|
ens iuos me tre a	---⌫|--|--⌫--||
moltaigrant irecepei s mei	---|-|----|--|-|---⌫|--|
t elduel que	-⌫-|---|--|
demener uosuei	------|--|--|
t ost queuo s	-⌫--|--|--⌫|
p or deuu ospr ineme sel és	-⌫-|--|-⌫-|--⌫|-|-|---⌫--|
riensnestel	----||--|-|
mo nquepui ssefaire	--⌫|--|---⌫--|----|
q uetantmetornastacontra ire	-⌫-|---|-|------||------⌫--|
qu eiepo ruosdeusne feisse	--⌫|-|--⌫|--|---|-|-----|
que c h iefquei	--|-⌫-⌫--|--||
ligent ils	-|----⌫--|
homsebais sa i us	--|-|----⌫-|-⌫-|
silse nleuaenbedeu ssus	-|-|-⌫|---|-------⌫|--|
des couertl iont eretra it	---⌫-----|-⌫|--||-----⌫-|
t ot lepecheele mesfait	-⌫-|-|----||-|------|
quantlifransh om lur ot	----|-|----|-⌫-|--|-|
s is cuersne partidire	-⌫-|----|-|----||--|
sosp iremoltsouent	----⌫--|---|-----|
sienplore molttendrement	-|-|----|---|---------|
ap resl urdi s t seiésenpais	--⌫--|-⌫-|--⌫-⌫|-----|-|---|
ie enprendraisur	-|-|-------|--|
mei le fais	--|-|---|
sem on conceilcreire u olés	-|-⌫-|------|-----|-⌫----|
nen serésdepa rl és	|-|-----|----⌫--⌫--|
monco r suose nmete n	--|--⌫-⌫|--|-⌫|--|-⌫|
que totsens	--|--|---|
honteesens damage	----||---|-----|
s e des nosuuetunpoi aidie r	-⌫|--|--|---|-|--|-----⌫|
passere ́sbien cestdestorbier	-------⌫-|---|---|---------|
lidamaiselselameschin e	-|--------||-|-------⌫|
en sospiran t deioieencline	-|--------⌫|-|---|------|
e liuaslet molt doucement	|-|-----|---|--------|
len abais é	|-||----⌫-|
estr eit e ment	----⌫---⌫-⌫---|
puis liaditensospirant	---|-||--|-|--------|
or estoura pen cer	-|------|---⌫--|
de lacouch ier	-||------⌫--|
q ua ntlitermine	-⌫--⌫-|-|------|
estaprochés	--|--------|
si cr eimque sele	-|--⌫--|--||--|
couche ici	-----|--|
seit ueuouo i	---|--|-|-⌫|
ouenaucuneautre	-|-|-----|----|
deuantou deriere	-----|-|------|
lige ntil somdist a lenfant	-|--⌫----⌫|-|---|||-----|
biau sir emaintenant	---|---⌫|---------|
tesom esmolthasti u ement	--|--⌫-|---|-----⌫-⌫----|
atacortuenir e npresent	|-|---|----|-⌫|------|
pl eistsilu r	--⌫---|-|--⌫|
queenierusalemiras	--|-|--------|---|
maisque primesu uesdet enor	---|--|-----|-⌫--|-||---|
se urte faire	--⌫---|----|
a t aser or	|-⌫|---⌫-|
quan t ilauro ntaseuré	----⌫|-|----⌫-|------|
e desorles sainsbieniuré	|----|--|----|---|----|
ladamemaintenantpr endras	-|---|---------|--⌫-----|
coman dera s	-----⌫----⌫|
laplacetosueiant	-|----|--|-----|
eenbaill ie eencoman t	|-|-----⌫-||-|-----⌫|
ieaibon chas telforte hau t	-|-|--|----⌫--|---||---⌫|
quemol t uaut	--|---⌫|---|
ladamiselleicondurai	-|--------||-------|
eicestco ncei lli	|----|--⌫----⌫|-|
puisgarder onsbien la	---|------⌫--|---|-|
chamb re asagesine	-----⌫-||-|-----|
queia nen _ ier t	--|-||-||---⌫|
irasrequerredeu	---|-------|--|
en ier usalemou	-|---⌫-----|-|
sai ntecrois let rauaillerent	---⌫--|----|-|-⌫-----------|
lanceleplaierent	----|-|--------|
setu reuiensta terre	-|-|------|-|----|
sauués se ras	------|--⌫--|
q uantchascund elsenf a nsen tent	-⌫---|------|-⌫--|---⌫-⌫-|--⌫---|
delbonconceilploreforment	--|--|------|----|------|
ba ronsmolttostman derent	--⌫---|---|---|---⌫-----|
eleurterrelurde uiserent	|---|----|--|--⌫-------|
seu rtefontala seror	---⌫--|---||-|----|
sil nere uientdi celenor	|-|-|--⌫----||-⌫--|---|
quantontfiné	----|--|----|
leu r seir ement	---⌫|----⌫----|
ladamepre n tisnellement	-|---|---⌫-⌫|----------|
silacom andeacelbar on	-|-|---⌫---||--|---⌫-|
que bienla g artensamaison	--|---|-|-⌫--|-|-|-----|
etrestotl et resor sonpere	|------|-⌫|-⌫----|--|---|
si aparti parmili frere	-||----|----|-|----|
aldepartir	-|-------|
desdeusenfan s	--|---|-----⌫|
fuliplo r se li duels moltgran s	-|-|---⌫-⌫||-|----|---|----⌫|
pasmerueille silplorerent	--|--------||-|--------|
ca ron q uespuisne	--⌫|--⌫-⌫--|---|-|
sasenbler ent	|--------⌫--|
l apuc el leapriscongie	-⌫|---⌫--⌫-||---|-----|
si a sonerreapa reill ie ́	-||--|---|---⌫-----⌫--⌫|
le baronsen	-|----||-|
qu isis f reresla coman dee	--⌫|--|-⌫----|||-----⌫--|
sill enaau eu c sei	--||-||--⌫--⌫|--|
quant fuuenusensencontree	----|-|----|-||--------|
quanten lasal ede sce ndirent	----|-|-|---⌫|--⌫---⌫------|
encontr eligr antioie firent	-------⌫|-|--⌫--|---|-----|
safemeestencontreuenue	-|---|--|-------|----|
desc endue	----⌫----|
ereceue agrantenor	|-----||----|---|
comlafillede leurseignor	--|-|----|-|---|------|
an ceisqueel le fusta cise	--⌫------|--⌫-|---|-⌫---|
lisires l ap ar la m ai n pri se	-|----|||-⌫-|-|-⌫--⌫|---⌫-|
ensenlac hanbrel amenee	--|-|-|-⌫-----|||----|
puis a sa fe m eape l ee	---||-|--⌫-⌫|---⌫-⌫-|
de chefenchefliaconté	-|---|-|---|-||-----|
coment ilaueient	-----|-|------|
p u islicoman de	-⌫-⌫-|-|-----⌫-|
e sorquanqueaen baillie	|--|------||-|------|
queellegartla	--|---|---|-|
ele fuioiosedel	--|-|-----|--|
de lameschi n eot	-|-|------⌫-⌫|-|
pi tie gr ant	--⌫--|--⌫--|
confortelaeaseure	-------|-||-----|
eliprome ttresbieneiure	|-|-----⌫|---|---||---|
que iaderi en n_iert	--|-|-|--⌫-|||---|
descouuerte	----------|
g rantgaingneporper te	-⌫---|----|-|--|---⌫-|
quantuintau	----|---|-|
ior quecedut es tre	--|--|-|--|--⌫--|
a d eu lerei	|-⌫-|-|--|
quela dameo tdeli ure men t	--|-|---|-⌫|----⌫---⌫---⌫|
doncfu nés totueirement	---|-|---|--|--------|
sains gregoir escilforspechere	----|-------⌫-|--|---|------|
dont auésoisae nariere	---|----|-|-|-⌫|-----|
lachambrefumoltser ree	-|------|-|---|---⌫--|
estdeliuree	--|-------|
onquesn io tautre el	-----|||-⌫|----|-|
forsla dameelcheualer	---|-|---|-|-------|
quant lienfesparfu n és	----|-|----|--|-|-⌫--|
dame faitilunfil a ués	---|---|-|-|--|-⌫---|
par est bia useco rtoi s	--|--|---⌫-||--⌫----⌫|
onquesplu sbiausniotcuens	-----|---⌫|----|||-|----|
la damefu leed e lfil	-|---|-|--|-⌫-⌫|--|
maisporit an t	---|--|--⌫--⌫|
leti nta u il	-|--⌫-||-⌫-|
quepar peche fuengendrés	--|--|----|-|---------|
quene _ estremostr e ́s	--|-||----|-----⌫-⌫-|
lorsdistladamemainte nant	---|---|-|---|------⌫---|
sinenefaites d ic estenfant	-|-|-|-----||--⌫--|-----|
iecomanderai	-|---------|
cer tesia mais nemainierai	---⌫--|-|---|-|--------|
q uan t ladameli	-⌫---⌫|-|---|-|
cuidaqu eleuo sis toci rre	----|--⌫|-|--⌫---⌫|---⌫--|
damef ait il pordeule gra nt	---|-⌫--|-|--|--|-|---⌫-|
p arestle aus tant	-⌫-|--|--⌫--|---|
queianen_ iert	--|-||-||---|
conteneplait	----|-|----|
queom icid espar luiseit fait	--|--⌫----⌫-|--|--|---|---|
ie cel eraien recel ee	-|---⌫---|-|-----⌫-|
n en serésencu se e	|-|-----|----⌫--⌫|
celer espont	---|-⌫-----|
l aicésmenpa is	-⌫-----||-|--⌫-|
nemanierai certesiamais	-|-------|-----|-|---|
ainsmelaira ienfi nm orir	---|-|-----⌫|----⌫|-⌫---|
monp laisir	--|-⌫-----|
la dame cortporson seignor	-|---|---|--|--|------|
sili reconte	-|-|------|
siluintali por confor ter	--|---||-|--|------⌫--|
mais ni_nulconfo rttrouer	---||||--|-----⌫-|-----|
grantiree gran t dol ordemein e	----|--||----⌫|---⌫-|------⌫|
dem eintemanieres epeine	-|-⌫----|------|-⌫|----|
acespri en t mai spoi	---|---⌫--⌫|---⌫|--|
c ar deprierenelichaut	-⌫-|-|-----|-|-|----|
quant ueientceautre	----|-----|-|----|
si icequelereq uiert	-|--|-|--|---⌫----|
cardechos e quiestredeit	--|-|----⌫|--|----|---|
ne puetmuer	-|---|---|
q uel ene seit	-⌫|--⌫|-|---|
elelurroeisnelement	--|--|--|---------|
be rssoilbel egen t	--⌫-----|--||---⌫|
