queuousconterai	--|---|-------|
sifete gen t ontdeniersgranz	-|---|---⌫|--|------|----|
d ausaaisier	|--|------|
fumolt engranz	-|---|------|
haut elogel e s main e	----⌫|---|-⌫-⌫|----⌫|
seig nor fetilun e semaine	----⌫--|--|-|--⌫|------|
porri ezciestrebien etbe l	-----⌫-|-|----|---|-|--⌫|
enlauilenabon	-|-|---|||--|
que u o us	--|-⌫-⌫-|
naiezseu ousuol e z	|---|-|-⌫--|---⌫-⌫|
sirefontilortost alez	---|---|-|-|---|---|
sino usfetes assez uen ir	-|--⌫-|----|----|---⌫-|
orm e nless iezdontcou uen ir	-||-⌫|----⌫--|---|---⌫---⌫-|
bor goispuissi s en	---⌫---|---|-||-|
mesplen iersl or atorne	--|----⌫---|-⌫-|-----|
painecharpastezechapon s	---||---|-----||------⌫|
euins mesquecefu	|---|-----|-|-|
puissilorfistlasustrametre	---|-|--|---|-|--|-------|
efist d u charbone l feumetre	|---|-⌫|------|-⌫|--|----|
ass iss e sont ah aut e table	---⌫-|-⌫|---||-⌫---⌫|----|
li uallesauclerc enlestable	-|-----|-|----|-||------|
tret s escheuauslost el	---|-⌫-|------||---⌫-|
liclers qui molt	-|----|--|---|
ertbi enapr is	--|--⌫-|---⌫-|
e bienuestu zecointement	|---|-----⌫||---------|
auoec lostemo lthauteme nt	----||---|--⌫-|-------⌫-|
sistaumengie rlamatinee	---|-|------⌫|-|------|
ausouperla	-|-----|-|
eliauugledu solier	|-|-----|-|-----|
furent seruicom che ualier	-----|----|--|---⌫-----|
chascuns grant paticlemenoit	-------|----|------|-----|
luns alautreleu in	|--|||----|-|-⌫-|
t i en i e	-⌫-⌫-|-⌫|
tendoingapres mendone	|-|----|----||-|---|
c iscrutsorun euingne bone	-⌫-|---|--|--⌫|-----|---|
pasqu il lor	--|-|-|--|
ainsii us qu	----|-⌫--⌫-|
ala mienu it	|-|-----⌫-|
furent en solaz	-----|-|----|
sanzdangier	---|------|
li litson tf etsi	-|--|---⌫|-⌫-|-|
uont couchie r	---|-------⌫|
iusqua demainquilfu	----||-----|-|-|-|
el i c lerstoutadesdemeur e	|-⌫|-⌫---|---|---|------⌫|
po rc equilu eutsauoirl orfin	--⌫--⌫--|-|-⌫--|-----|-⌫-|--|
elo stesfu	||-⌫---|-|
leuezm a tin	----|-⌫-⌫--|
esonualletpuissiconterent	|--|-----|---|-|--------|
combien charepoi sson	------|---||---⌫---|
cousterent	---------|
distl i uallesenuer it e	---|-⌫|-----|-|---⌫--⌫|
lipains l i uins	-|----|-⌫|---|
coustéplusde dissaus	------|---|-|--|---|
t antont il	-⌫--|--|-|
bien euent r eaus	---|-|---⌫-⌫|--|
licl ersenacincsaus parlui	-|--⌫--|-||---|---|--|--|
de luine puis auoir anu i	-|--|-|---|----|---⌫|
u a la suss i mefai pa ier	-⌫|-|--|-⌫|-|--|--⌫--|
eliuall e s s anz del aier	|-|----⌫-⌫|-⌫--|---⌫---|
auuglessilord ist	------|-|--|-⌫--|
que c hascu nserra ntse uestist	--|-⌫-----⌫-|----⌫-|-|------|
ses sir esueutestre	--|---⌫-|---|----|
fontilorn euousesmaiez	---|-|-|-⌫|---|------|
quar molttr esbienl i paierons	---|---|--⌫-|---|-⌫|-------|
sauezf ont	----|-⌫--|
nousdeuons	---|-----|
ildis s ausdeuez	-|--|-⌫--|----|
bien leuautchascun ss	---|-|---|-------⌫||
tuit troi s ontaua lde sc endu	---|---|-⌫--|---⌫|--⌫--⌫---|
licl e rsa	-|--⌫-⌫-||
tout ce entendu	---|-|------|
qui s echaucoitdeuantson	--|-⌫|-------|-----|--|
litr oi au ugleal osteont dit	-|--⌫-|--⌫---|||---|--|--|
s ire no usauons un besa nt	-⌫--|--⌫-|----|-|----⌫-|
i lestmoltbien	-⌫|--|---|---|
quarnousen rend ezlesorplus	---|---|-|----⌫-|-|------|
aincoisquedu uostre	---------|-|-----|
aio ns plus	---⌫-|---|
uolen tier slioste s res pont	-----⌫----⌫|-|----⌫|---⌫---|
fetliunsquarlibailledont	--|-|--|---|-|-----|---|
liquels labeien	-|----|||-|-||
ar obersbarbef lorie	|-⌫----|------⌫----|
non aimesuousl	--|-|--|---||
auez biensai	---|---|--|
pa rlecuerb ieumienen ai	--⌫|-|---|-⌫--|--||-|-|
liquels l a	-|----|||
fetes ouuousserezbatu	----|-|---|----|---|
dis tlios tesseignortruant	---⌫|-|--⌫--|------|-----|
emis en longai n g ne	|--|-|------⌫-⌫-⌫-|
ain coisqueu ouspar tez	---⌫------|-⌫--|---⌫--|
illicrientp o rdieumer c i	-|-|-----|-⌫-⌫|---|---⌫-⌫|
sire moltbien uouspa ierons	---|---|---|---|--⌫-----|
dontrecommencelor	---|---------|--|
rob ert fetlunsquarlidone z	---⌫--|--||--|---|-|----⌫|
lebesant deuant	-|-----|-----|
nousm enez	---|-⌫---|
uou sle r e custes premerains	---⌫|-|-⌫-⌫-----|---------|
me s uousquiuene z daarrains	--⌫|---|--|----⌫|--------|
libail liezquarie nen ai p oint	-|----⌫---|---|-||-|-|-⌫---|
or suiiebienuenuza	-|--|-|---|----||
fetli ostesqu ant	--|-|----|--⌫--|
on me truffe	-|-|-----|
lun ua d onerunegrant	|-|-|-⌫---|--|----|
puisfet aporterdeus	---|--|------|---|
li cl ers qui	-|--⌫--|--|
fua biauha rnas	-||---|--⌫---|
qui leco nt eformen tam oit	--|-|--⌫--⌫|------⌫|--⌫--|
deri sena i s e se pa s moit	-|--⌫|-|-⌫-⌫-⌫|-|--⌫-⌫---|
qua nt iluit l e	---⌫-|-|--|-⌫|
ledengem ent	--------⌫--|
alosteu intisnelement	||---|-⌫--|---------|
selidema nd equilauoit	-|-|----⌫--⌫|-|-|----|
q uelcho seces genzdemandoit	-⌫--|---⌫-|--|---|--------|
fetl ostes dum ienonteu	--||----|-|-⌫--|--|-|
dissauscont	--|---||--|
m engiée beu	-⌫-----||--|
fontfors e scha rn ir	---|---|-⌫----⌫--⌫-|
lesuuei l bien garnir	--|----⌫|---|-----|
chascunsaurad eson	-------|---|-⌫|--|
corsh onte	---|-⌫---|
aincois l emetez sormo nconte	------|-⌫|----|--|--⌫|----|
f etli clersquinzesa usuousdoi	-⌫-|-|----|-----|--⌫-|---|--|
pou re gent fereanoi	---⌫-|---|---|---|
loste sr espont	|----⌫|-⌫-----|
moltuolentiers	---|---------|
uaillanzclers	-------|----|
enuo ntt out	-|--⌫-|-⌫--|
oroiezcom fait e refuite	-|---|--|----⌫|------|
porpenssamaintena nt	--------|--------⌫-|
lamessesonant	-|----|-----|
a l ost e uin tsilaresone	||---⌫|---⌫|-||------|
ostes fet il	----|--|-|
uostre pe rsone	-----|--⌫----|
dumoust ierdontn e co n ni ssiez	-|-----⌫--|---|-⌫|--⌫-⌫--⌫----|
ces quinze saus	--|-----|---|
bienlicro ir iez	---|-|---⌫--⌫--|
sepormoilesuousuoloitrendre	-|--|--|--|---|-----|-----|
suimieaaprendre	--|--||-------|
fe tlib orgo i sparsaint	--⌫|-|-⌫----⌫-⌫|--|----|
queiecroiroie	--|-|-------|
nostreprestre	-----|------|
siluoloitplusde tr ente	|-|-----|---|-|--⌫---|
d ontditesi en soie d eliur es	-⌫--|----||-|---|-⌫-----⌫-|
e sraumentcom ier eue ndrai	-⌫-------|--|-|-⌫---⌫----|
aumoustierpaieruous ferai	-|-------|----|---|----|
lostes l e comm ande	|----|-⌫|----⌫---|
esraum ent	------⌫--|
eliclersainsifetemen t	|-|----|----|-------⌫|
garconquil	-----|-|-|
sonpal efroie qu il	--|---⌫----||-|-|
que to u t soi tprest qua ntilreuiegne	--|--⌫-⌫|---⌫|----|---⌫-|-|-------|
ditqu eilsenuiegne	--|--⌫|-||-|-----|
ambeduielm oustier	------|-|-⌫------|
dedenz lechancelentr éso nt	-----|-|------|----⌫-|--⌫-|
li clersquilesquinzesaus doit	-|----|--|--|-----|---|---|
apr issonosteparled oit	|--⌫-|--|---|--|-|-⌫--|
sila fetdele zluiassir	-|||--|----⌫|--|----|
puisdi s t ienaimieloi s ir	---|--⌫-⌫|-||-|--|---⌫-⌫-|
de demorer dusquap r e s messe	-|------|----|--⌫-⌫-⌫|----|
ferai uo promesse	----|-|-------|
iel i raidir equiluouspait	-||-⌫--|---⌫|-|-|---|---|
quinzesau s trestout entr esait	-----|---⌫|-------|----⌫----|
tantostqueilaura chanté	---------|-|---|------|
fetesen uostr e uolent e	----|-|-----⌫|------⌫|
fet lib orgoisquibie n l ecro it	--|-|-⌫-----|--|---⌫|-⌫|---⌫-|
liprestresr euestuz	-|-------|-⌫------|
qui maintenant deuoitchanter	--|---------|-----|------|
li clersuintdeuantluiester	-|----|---|-----|--|----|
qui biensotdire	--|---|--|---|
bien samblo it e stregentiz hom	---|------⌫-|-⌫---|-----|--|
n auoi tpaslachi e rereborse	|----⌫|--|-|---⌫-⌫-|------|
dozedenierstret	---|------|---|
desabor s e	-|-|---⌫-⌫|
leprestre lesm ete nl a main	-|------|--|-⌫-|-⌫|-⌫|---|
sirefetilporsa int	---|--|-|--|--⌫--|
e ntend ezcaun poi	-⌫-----⌫-|-|-|--|
tuitlicle rcdoiu entestreami	---|-|---⌫-|----⌫--|----|--|
porceuiengiepres	--|-|----|-|---|
ie giucanuitaunostel	-|---|----||-|----|
chiesaunbor goisqui molt	----||-|---⌫---|--|---|
lidouz iesucr izl e consaut	-|---|------⌫-|-⌫|------|
quarpreudon est e	---|------|--||
s anz b oi sdi e	-⌫--|-⌫--⌫---⌫|
m esunecruelmal adie	-⌫-|--|----|---⌫---|
s oi rdede nzsa	-⌫--⌫|----⌫-|-|
entrue sq uenous	------⌫--⌫-|---|
demeni e nsfeste	------⌫-⌫-|----|
siquilf utrestozmaruo ie z	---|-|-⌫|------|-----⌫--⌫|
die umerciorestrauoiez	---⌫|----|-|--|------|
me se nco reli de utli chie z	--⌫|-⌫---⌫-|-|--⌫-|-|----⌫|
siuous pri	-|---|--|
qu e uous li l isiez	--⌫|---|-|-⌫----|
a prescha nteruneeuang ille	-⌫---|---⌫---|--|-----⌫---|
des u ssonchi efepar saintgi lle	---⌫-⌫|--|---⌫-||--|----|--⌫--|
fetliprestres ieli	--|-|-------|-|-|
au bor goisdistie	-|---⌫---|---|-|
tantostcomiauraimes sed it e	------|--||----|---⌫-|-⌫--⌫|
leclerccuite	-|----|----|
fet liborgo is m i exnedemant	--|-|-----⌫-|-⌫-⌫-|-|-----|
sirepres trea	---|----⌫--||
dieu uous comant	---|---|-----|
fetli clersadieubiausdou zmest re	--|-|----||---|----|---⌫|----⌫-|
lipr estr es alau teluaestre	-|--⌫----⌫-|||--⌫--|-|----|
hautem entgrant messec ommence	------⌫--|----|----|-⌫------|
paru nio rfudediemenche	--|-⌫|--⌫|-|-|--------|
aumous tieruindrentmolt degenz	-|----⌫---|-------|---|-|---|
liclers quifu	-|----|--|-|
uint a sonoste cong ie prendre	---||--|---|----⌫-|------|
eliborgoissan zplusatend re	|-|------|---⌫|---|-----⌫-|
dusqu ason	----||--|
ostelleconuoie	----|-|------|
l icl ers m o ntesiuasauoie	-⌫|--⌫--|-⌫-⌫--|-|-|-|---|
eliborgoistantostapres	|-|------|------|----|
uintau mousti er moltfuengres	---|-|------⌫-|---|-|-----|
desesqu i nze	-|--|--⌫-⌫--|
sausrece uoir	---|----⌫---|
auoirlescuidetoutp oruoir	----|--|----|---|-⌫-|---|
chanceltantatendi	------|---|-----|
queliprestresse de u esti	--|-|-------|-|--⌫-⌫---|
eque lamessefu chantee	|--|-|----|-|------|
e liprestr essanzdemore e	|-|------⌫-|---|------⌫|
apris leliureep ui s	|---|-|----||-⌫--⌫|
siahuchié sirenichole	-||------|---|------|
ueneza uantagenoi l liez	----|-⌫---|------⌫-⌫---|
de ces pa rol esnest	-|--|--⌫---⌫-||--|
liborgoisains li respo n di	-|------|---|-|-----⌫-⌫-|
ie neuingmie	-|-|---|--|
mesm e squinze sau sme paiez	--|-⌫-⌫|-----|---⌫|-|----|
uoiremente st ilmaruoiez	--------|-⌫-|-|-------|
distlipres t resdame	---|-|----⌫-⌫--|---|
aidieza cestpreudo mme alam e	-----||---|------⌫--|||--⌫|
iesa ide uo ir qu	-|--⌫|-|--⌫-|-|
il es tderuez	-|--⌫|-----|
oezdis t libor g ois oez	--|---⌫|-|---⌫-⌫--|--|
comcis prestreso rmescharnist	--|--|-------|-⌫||---------|
q uemes cuersdusens n	-⌫-|--|----|-|---||
quantson liurem	----|--|----||
a citramis	|-|-----|
ieu o usdirai biausdouzamis	-|-⌫-⌫-|----|----|---|---|
prestr escommentqu i lpraing ne	------⌫-|--------|-⌫|------⌫-|
to utadesdedieu	--⌫-|---|-|---|
uous souiegne	---|-------|
sine poez au oirmeschi ef	-|-|---|--⌫--|------⌫-|
leliu relimistsorle chie f	-|---⌫-|-|---|--|-|----⌫|
leu an gilleli uol oitl ire	|--⌫--⌫----|-|---⌫--|-⌫--|
eli borgoiscommenceadire	|-|------|-------||---|
enmesonbesoing ne	-|----|-------⌫-|
ie n ai curedet el	-||-|---|-|-⌫-|
me s paiezmoitost ma	--⌫|----|--|---|-|
au pres tredurementanoie	-|----⌫--|-------|----|
tozsespar oschiens apele	--|--|---⌫-------|----|
ch ascuns ent or lui satr ope le	--⌫-----|---⌫-|--||---⌫---⌫-|
puisdistcesthomme metenez	---|---|---|----|-|----|
biensaide uoirquil e st	---|--|-|---|-|-|-⌫-|
non suife t ilpar	--|--|--⌫|-|--|
s aintcorn ille	-⌫---|----⌫---|
nepar la f oi quedoi maf ille	-|--|-|-⌫-|--|--|-|-⌫---|
mes quinzesaus	--|-----|---|
iaain sineme gab erez	-|---⌫-|-|-|---⌫---|
prenezleto stleprestre adit	-----|-|--⌫-|-|------||--|
liparo s chien sanz	-|----⌫-⌫----|---|
leuontt antostmolt fortprena nt	-|---|-⌫-----|---|---|-----⌫-|
lesm ains liuonttrestuitte nant	--|-⌫---|-|---|-------|--⌫---|
ch ascunsmolt	--⌫-----|---|
bellerecon for te	--|-|-----⌫---⌫-|
e liprestresle liure	|-|-------|-|----|
se lia mis	-|-||--|
de seursonchief	--⌫---|--|----|
leuangilledechiefenchief	|--------|-|----|-|----|
l ilutlestole entorle c ol	-⌫|--||-----|----|-|-⌫-|
tor t le teno itpor fol	---⌫|-|----⌫-|--|--|
puislesp roha d	---||---⌫---||
euebenoite	--|------|
e liborgoisforment couoite	|-|------|------|------|
quason ostelfustreuenu z	-||--|----|---|------⌫|
lessiezfunefuplu s	------|-|-|-|---⌫|
li prestres	-|-------|
desa m ainlesaine	-|-|-⌫--|-|----|
pu is dis t estéau ezenpaine	--⌫-|---⌫|----|--⌫-|-|----|
e liborgois sesttozco isteus	|-|------||--|--|--⌫-|---|
co ro uciezest emolthonteus	--⌫--⌫----|--||---|------|
de cequilfu siatrap ez	-|-|-|-|-|-|-----⌫-|
li ez fuquant	--⌫-|-|----|
ilfueschape z	-|-|-------⌫|
aso nos tel enuintt o utdroit	|--⌫|--⌫--|-|---|-⌫-⌫-|----|
co rt ebarbe d istorendro i t	--⌫--⌫-----|-⌫--|-------⌫-⌫|
a tortm aint hommehon te	|---|-⌫---|----|---⌫-|
at antdefiner ai	--⌫--|-------⌫-|
mo n con te	--⌫|---⌫-|
