f ormchdouai01 20Sacent	-⌫--|---------⌫-|-----|
detea-tous p ri u i liegesde crois	---|||---|-⌫--⌫-⌫-⌫-----|-|----|
keil aitneke ilporoit auo ir	-|-|--|-|-|-|-----|---⌫-|
et tout en- telema niere	-|---|-||---|--⌫----|
con ilestci deuantd euis etet conten ut l	--|-|--|-|-----|-⌫----⌫-|-|------⌫-||
en- couuentet fianci éparfoibienetloialment	-||------|-|------⌫-|--|--|---|-|--------|
a-tenireta-emplir .	||----|-|||-----||
ila uenoit cose	-|-⌫-----|---|
keIeh ansdouTrau	-|---⌫--|--|---|
na uoit cest ecou uenence f ai te en	|-⌫---|----⌫|---⌫------|-⌫--⌫-|-|
-teleman iere	|---|---⌫---|
com ilestdeuant de uis etaIeha n	--|-|--|-----|--⌫---⌫-||----⌫|
kideuant estn ou m e ́spar de uantles	-|-----|--|-⌫--⌫-⌫-⌫-|--|--⌫---|--|
eskieuinsdAnhie rsdeden s les octauesde	--------||-----⌫-|-----⌫|--|------|-|
leSaint-Andriu	-|----||-----|
ueutetotrie keIeha ns fius	---|-|----|-|----⌫-|---|
Huo nleBor si erkideuantestnoumés	---⌫|-|---⌫--⌫-|-|-----|--|------|
pui stpre ndr ea	---⌫-|---⌫---⌫||
lu i e tau	--⌫|-⌫|-|
siendusquesa .C.	---|------||--|
Eten tele mani ere laci lIeh ansdou Trau	-|-|---|----⌫--|||--⌫|---⌫--|--|---|
encouuent a-fai rec esti couuenence par	-|------|||---⌫-|-⌫---|---------|--|
de u a nt leseskie uins dErchi ns e-ilen	--⌫-⌫-⌫-|--|-----⌫---||-----⌫|-⌫||-|-|
IehanfilHuon	----|--|---|
Bo rsiern edemor oit.	--⌫----|-⌫|-----⌫--||
couuen en c efurentcomeskieuin	------⌫--⌫-⌫|-----|--|-------|
G herarsl i-Moranset Robiersli	-⌫-----|-⌫||-----|-|------|-|
Cefufaiten la ndelInca r nationNost reSegneur	-|-|---|-||-⌫|--|----⌫-⌫-----|----⌫-|------|
LuII. //el	---|-⌫-|-|
m oisde nou embre	-⌫--|-|---⌫----|
c hdouai0216Sacentt outcil	-⌫---------|-----|-⌫--|--|
kisu nt et	-|--⌫-|-|
ki auen ir suntkeBerna rsl i	-||---⌫-|---|-|-----⌫-|-⌫|
Barbe teres Watiers	-----⌫----|------|
deL espin eki	-|-⌫-----⌫|-|
baron sun tYsabiel etMargotles fil les	----|---⌫|------|-|-----|--|---⌫--|
da me Iehanainl e	--⌫-|-------|-⌫|
Saine res sele femeAmantdeSaint Amant et	-----⌫---⌫-|-|---|----|-|----|----|-|
Em meloslifille celiIeha n ainont	--⌫----|-|----|---|----⌫-⌫--|--|
werpiesa celui Amant	------||----|----|
tele spartie sk eila u oientenl e maisonet e n	----⌫|------⌫|-⌫|-|-⌫-⌫----|-|-⌫|-----|-|-⌫|
tout le ten ement	---|-|---⌫----|
entirem e ntkifu	-------⌫-⌫-|-|-|
Ie hanain deuantditeki	--⌫-----|-----|---|-|
sietenleruedelAubielentrelemaison	---|-|-|--|-||-----|----|-|-----|
Ieh anleToilier e t	---⌫-|-|------|-⌫|
lemaisonBa ude dele	-|-----|--⌫--|-|-|
Cambeliq uelemaisons et liquelstene menssi	----|-|-⌫---|------|-|------|----⌫---|-|
com il sietwis ethe bergiés	--|-|---|--|-|--⌫-------|
deuantetderrieredoit .III.	-----|-|-------|---|----|
ded oi s .	-|-⌫--⌫||
caponsde renteparansor t outes	-----|-|----|--|-|--|-⌫----|
rentesetto ut ens iont	-----|-|--⌫-|---⌫|--|
Bern ars e t Watie r sdeuan tdit et	----⌫--|-⌫|-----⌫-⌫|-----⌫---|-|
Emm elos deu a ntnoumee leur part iesde celimaison	---⌫---|---⌫-⌫-|-----|---|----⌫--|-|---|-----|
et d etout celuitenementwerpi eset	-|-⌫|---|----|-------|-----⌫-|-|
en-couuent aa quiter	-||------||-⌫-----|
Amant duskesaud i t	----|-----|-|-⌫-⌫|
deseskieuins .	--|--------||
Etauo ecçouBernarsWa tiers etEmmelosdeuant ditontq uiteis	-|---⌫-|---|------|--⌫----|-|------|------⌫--|--|-⌫-----|
et quitescl a meisc eluiAman t etIehana in	-|-----|--⌫-⌫---|-⌫---|----⌫|-|------⌫-|
sefe meetcilsAmanset Iehanese feme	-|--⌫-|-|---|----|-|-----|-|---|
BernartWatieret	------|-----|-|
Emmelotdeuantnoumeis detoutesc oses	------|-----|------|-|-----|-⌫---|
d etous markié s etd etoutescouenences	-⌫|---|-------⌫|-|-⌫|-----|---------|
ke ilont eutu fait liun e nuers	-|-|--|--||---|-|-|-⌫----|
lesautr esenquel con k eke	--|----⌫-|-|----⌫---⌫-⌫|-|
cefust iuske sauiourdehui.	-|---|-----⌫|-|---|-|--||
Toutçoufufait enle ha lepar	---|---|-|---|-|-|--⌫-|--|
deuanteskieuinsReniersMalés deleKeurbil lee tBernar s	-----|--------|------|-----|-|-|-------⌫-|-⌫|------⌫|
ande lIncarn a tionNos tre Signeu r	-|--⌫|------⌫-⌫---|---⌫--|------⌫|
L XI I.//elmoisdemarch.	-⌫--⌫|--|-|---|-|----||
c hdouai0271Sacenttoutcil ki	-⌫---------|-----|---|--|-|
-sun tet ki- a	|---⌫|-|-|||
- uenirsuntke Gontiersd e	|----|---|-|-------|-⌫|
Nauelicensiers Monsign eurHel lindeBiausartdoitet	---|-|-------|-------⌫--|---⌫--|-|-------|---|-|
-co uent a WilliaumeleLanu inbourgoisde Douay	|--⌫---||--------|-|----⌫-|-------|-|----|
deboi ne d etee tde loial a	-|---⌫-|-⌫--|-⌫|-|----||
rendreeta-paie rdedens leswi t	-----|-|||----⌫|-----|--|--⌫|
ioursproc h a insapriésl efieste	----|----⌫-⌫-⌫--|------|-⌫|-----|
Sa inteCroisel -moisde	--⌫---|----|-||---|-|
septemb re enl ansissant eciunc _ is me etsi l	-------⌫-|-||-|-------⌫|-----⌫-⌫--⌫-|-||-⌫|
au enoitkece sted ete ne stoitrendueetpaiee a u	--⌫----|-|--⌫--|-⌫--||-⌫----|-----|-|----|-⌫|
bourgoi s de uantditua-sen hoirsedelui	-------⌫|--⌫------||||--|---|-|-|--|
est o itde fal ituas enco nmanta	---⌫-⌫-|--⌫---⌫-|||-⌫-|--⌫----||
Douayde denslet erminedeuantdit Gontiers deuantdi s	----|--⌫---|-|-⌫-----|--------|-------|--------⌫|
li doit eta-en- couent	-|---|-|||-||-----|
a- rendretousl es co us	||-----|---|-⌫-|--⌫-|
touslesdespensettouslesd am ages	---|--|------|-|---|--|-⌫--⌫---|
k eili- aroit u - feroit	-⌫|-|||----|||-----|
parle d efa uted esen paiement en -	--|-|-⌫---⌫--|-⌫|--|-------|-||
quelconkemaniere kece	--------|------|-|-|
fustiuskesasenditu	---|-----||--|--||
iuskes a u-ditdesenho irsede	-----|-⌫||--|-|--|--⌫-|-|-|
luies toitdef alit	--|--⌫---|---⌫---|
sansautreprouancefaireauo ecledete deuantdite.	---|----|-------|----|---⌫-|-|---|---------||
EtauoecçouGontiers deuantdis	-|----|---|-------|--------|
ue utetotrie kelibourgoisde uant dis us es hoirs	--⌫-|-|----|-|-|-------|--⌫----⌫--||-⌫-|----|
puistdoner del sien au signeurdele tereu	----|----|--|---|-|------|-|-|---||
as bailliusu	-|-------||
a-quel eiustic e keiluolra	||----⌫|------⌫|-|-|----|
detedeuantdit e a re quereauo iriuskes a. XI I.	---|---------⌫||--⌫----|---⌫-|-----||-⌫--⌫-|
s ansles couenencesdeu a nt-dites ramenriretdetout	-⌫--|--|---------|---⌫-⌫-||----|-------|-|-|---|
çou fai re e t tenir ens icomci	---|---⌫-|-⌫|----|---⌫|--|-|
deuantestditenmetet a-misGontiers	-----|--|--|-|--|-|||--|-------|
de uantdisend roiten	--⌫------|-|-⌫---|-|
loieten a bandonenuerstous	--|-|-|-⌫-----|-----|---|
si gn eursetenuerstou tes i usticestous ses	--⌫--⌫---|-|-----|---⌫--|-⌫------|---|--|
b iensetluiettout	-⌫---|-|--|-|---|
sienuke ill ai t	---||-|-||--⌫|
en -tele maniere	-||---|------|
ke libourg oisde uant disu	-|-|-----⌫--|--⌫----⌫--||
lepuistprend r eet	-|----|-----⌫-⌫|-|
fai re-prend re a-lu i etau sienpar	---⌫-||-----⌫-|||--⌫|-|-|---|--|
tout uke- il laitc om	---||-||-||--|-⌫-|
le sieniu skies a -telecoue nenceki-	-|---|--⌫----|||---|----⌫----|-||
cideuantest d i te.	-|-----|--|-⌫-⌫-||
Etentoutes	-|-|-----|
cesc osesGont iersde uant dis	--|-⌫---|----⌫---|--⌫---|--|
renonceetarenonciet	------|-||--------|
a tous pr euiliegeskecroi sietontuporontauoir	|---|--⌫--------|-|----⌫---|--||-----|----|
e t atous-autrespreuiliegesa	-⌫||---||-----|----------||
toutesb a r esa toutesex ceptio nsatoutes	-----|-⌫-⌫-⌫-||-----|--⌫------⌫-||-----|
aiw e s deloideSainte	---⌫-⌫|-|--|-|-----|
E glisee tdeloimondaineatousrespis de	-⌫----|-⌫|-|--|-------||---|-----|-|
quelepers onekecesoit eta	----|----⌫--|-|-|---|-||
- toutesle scoseski d endr oitce s	|-----|--⌫|----|-||----⌫--|--⌫|
couenences li	---------|-|
-poroientaidier e tualo ir e t lebourgois	|-------|-----|-⌫|----⌫-|-⌫|-|-------|
deua n t dit usen hoirg reuer unuire.	----⌫-⌫-⌫--||--|---|-⌫----||----||
A cestecouenence	|----|--------|
furentcom eskieui nGer ars douMa rkietet Simons	-----|--|-------⌫|---⌫--|--|--⌫----|-|-----|
MalésenlandelIn carn ationNostre	-----|-||-|--|--⌫----⌫----|-----|
Signeurmil	------|--|
LXIIII .// el	-----|--|-|
moi sdeseptembre	---⌫|-|--------|
chdouai0456Sacent	----------|-----|
toutcil k isu nt et kia -uenirsunt	---|--|-⌫|--⌫-|-|-|||----|---|
queM aroie Moutons faitse deuise	--|-⌫----|------|---|-|-----|
et sen testam ententeleman ierecom -chi après	-|--|------⌫--|-|---|---⌫---|--||--|-----|
ertdeuiset.	--|------||
Tout auconm e ncemen tele uelt	---|-|----⌫-⌫------⌫|--|---|
et ot r ieaprés sen deciés	-|--⌫-⌫-|-----|--|------|
queses dete sboinnes et loiaussoient paies	--|--|----⌫|------|-|-----|-----|----|
t o utauan t etkesi	-⌫-⌫-|----⌫|-|-|-|
tortfai t soient	---|---⌫|-----|
a mendetp ar le cons autdeSaint e Eglis e etd e	-⌫-----|-⌫-|-|----⌫--|-|-----⌫|-----⌫|-|-⌫|
sestestam enteursdedensl	--|------⌫------|-----||
anaprés chou quede liseradefallit	-|-----|---|--|-|-|---|-------|
Apriéschou ele donne	------|---|--|----|
pou rDeuet poursame asfreresmenu s	---⌫|--|-|---||--|-|-----|----⌫|
de Douay.XXX.	-|----|----|
etsi -leur donn e	-|-||---|----⌫|
encoresemaisonk i siet	-----|-|-----|-⌫|---|
por te deCan teleua -telre nt e qu	---⌫-|-|---⌫----|||--|--⌫--⌫|-|
eledoit aui ourde h uiquisietent r ele	--|---|-|-⌫--|-|-⌫-|--|---|---⌫-⌫|-|
maisonPhe lipponde Henninetle	-----|---⌫-----|-|-----|-|-|
m aisonHauitKiennet e	-⌫----|----|-------⌫|
p ouruen dre etpourfairedesde niers apriés	-⌫--|---⌫--|-|---|----|--|--⌫----|------|
sendeciéschou queboin	--|------|---|--|---|
leure rtetsi-	---|-⌫-|-|-||
l eurdonneencore sen	-⌫--|----|-----|--|
littoutes to retet tousseslinges dr asfor s	--|---|--⌫--⌫--|-|---|--|-----|--⌫-|---⌫|
moillekinset	---------|-|
kemises et se s dras desencors et	------|-|--⌫|---|-|--|---|-|
si- i-do nne	-||||--⌫--|
e ncore.I.	-⌫----|--|
anield or aaiue a .I.	----||-||---||--|
calisseet tous	------|-|---|
s e sh a nas demardre et d	-⌫-⌫|-⌫-⌫--|-|-----|-||
argentet tous sesostiuset	-----|-|---|--|-----|-|
senhar nasdes e	--|---⌫--|-|-⌫|
ma isonq uelearoit al	--⌫---|-⌫|--|----|-|
- eure des entrespasselenes auoitdo nné s	|---|-|-⌫-|------||--|--|----|--⌫----⌫|
ensenuiua nt.	-|--|----⌫-||
fr ere Iehanl eMonnié	--⌫--|----|-⌫|------|
Nicholon sen	-------|--|
E tsidon ne a - tout esles mais onsdel	-⌫|-|---⌫-|||----⌫-|--|----⌫--|--|
ordene de sfreres menusdele custode ri ed A rtoi sfors	-----|--⌫|-----|----|-|-|-------⌫--⌫||-⌫----⌫|---|
maison d eDouayd eseuredite.X.	-----|-⌫|----|-⌫-----|---|--|
a-departi r acascunn e maison al-uneplus	||-------⌫||-------⌫|-----|-||--|---|
etal-autremains	-|-||----|----|
parle- con selfrere Iehanle	--|-||---⌫--|----|----|-|
Mon niédeuant dit.	---⌫---|-----|--||
Et sidonnea sPraiece ur sdArras	-|-|----|-⌫|-------⌫--⌫||----|
a- pitanceas PraieceursdeDouay	||------|-|---------|-|----|
a- pit an ceas	||---⌫--⌫-|-|
Praieceu rsd eualenci ennes.X.	--------⌫-|-⌫|-------⌫----|--|
a -pitanc easP raieceurs de Lille.X.	||------⌫|-|-⌫--------|-|----|--|
a- pitance et sidonneas .	||------|-|-|----|-||
maisonsdeDouaysi	------|-|----|-|
coumeasMesiausasCar triersa- S aint Iehan	----|-|------|-|---⌫-----|||-⌫---|----|
deuan tSain tPier eetal - ospitalde sWesa	-----⌫|----⌫|----⌫|-|-||------|--⌫|--||
ca scune decesma isons.X.	--⌫----|-|--|--⌫----|--|
a- pitance a l ospital de	||------|||------|-|
CanpFlorit.X.	---|-----|--|
pitancea- SaintSa nson.X.	------|||----|--⌫---|--|
a-pitanceal	||------|-|
-oeureNo s t re Damedeuan tl es Cartriers .XX.	|----|--⌫-⌫-⌫-|---|-----⌫|-⌫-|--------|---|
s . / /al-oeure Nostre Dame	|-⌫-⌫|-||----|-----|---|
dou T enple .u.	--|-⌫----|--|
de Sin.XL.	-|--|---|
a- pitance	||------|
a- sen parrocien	||--|--------|
a-sen capelain.III.	||--|-------|----|
s.// a - s en	|--|||-⌫-|
clerc.X II.	----|--⌫--|
d .// a -Sar rainHoki ne.XX.	|--|||---⌫---|----⌫-|---|
etsehugeetsid o nneencore Maro ie Moutonsdeuant	-|-|---|-|-|-⌫-⌫--|-----|----⌫-|------|-----|
noum eeasmesiau s etasm esieles d	----⌫-|-|------⌫|-|-|-⌫------||
en torleuiledeDouaya uneliue	--⌫--|-|---|-|----||--|---|
priés. XX.	-----|-⌫--|
de partirparsestestamenteursens iquiluerontqueb oin	--⌫-----|--|--|------------|---⌫|-|-|-----|--|-⌫--|
ert al -oeur eSaintPi ere	--|-||----⌫|----|--⌫--|
a-Lil leenl	||---⌫-|-||
ouneur NostreDame deleTrai l le .u.	-----|-----|---|-|-|----⌫-⌫-|--|
s. //a-BenoitiendeHarnessenmil leursourcot	|-⌫-|||--------|-|-----|--|---⌫---|------|
et sen forg iet	-|--|----⌫--|
e ncoreuel tMaroie Mo utons quetoutesseskemises	-⌫----|---⌫|-----|--⌫----|--|-----|--|------|
e tsim eul ekinettoutsidrap	-⌫|-|-⌫---⌫---|-|---|-|---|
qu ia-sencorsafierent queel ear a	--⌫|||--|---|-------|--|--⌫|--⌫|
de sentrespasqu eil	-|--|------|--⌫|-|
demeurent en lemainfrere I e han leMonn ié	--------|-|-|---|----|-⌫-⌫--|-|----⌫--|
pourdepartiretpour douner pou r	---|-------|-|---|-----|---⌫|
Deuendiuers l iuseta-	--|-|-----|-⌫--|-|||
diuerses persones si	-------|-------|-|
c onme asp ouresbeghines espesiau mentaue uc cui ele a	-⌫---|-|-⌫----|-------|--------⌫---|---⌫-|--|--||
mes seelenes auo it	--|-|--|--|---⌫-|
d eparti set	-⌫------⌫|-|
a-Sa ntain.XX.	||--⌫----|---|
s.//a M ehautleBateresse.u .	|--||-⌫----|-|--------|--⌫|
s . //aMarien le Lione.L.	|-⌫-||-----|-|----|--|
s.//aHelota ind Ai re seseures	|--||------⌫-||--⌫-|--|----|
e tsenmilleur	-⌫|--|------|
p liçonetsi	-⌫-----|-|-|
laita-sedame	---|||-|---|
de merese lele s oruit.uII.	-|---||-⌫-|-|-⌫----|----|
depar.//paupl uspau	-|--|--|--|--⌫-|--|
mains derenteque celeMaroieMout ons a	----|-|----|--|---|-----|----⌫--||
sourterre en-Fl andressi	---|----|-||--⌫-----|-|
queledist etsemaiso nqui	-|--|---|-|-|-----⌫|--|
SaintAubina- teni r	----|----|||----⌫|
touteseuie	----|-|--|
etapre ́ssendeciésele[uel t]que li rente	-|----⌫-|--|------|--|----⌫-|--|-|----|
etlimaisonsdeuantdite	-|-|------|-----|---|
soite treui engn e asenfanssese reu ra-	---|-⌫|----⌫----⌫|-|-----|-|--⌫---⌫|||
droiteparçonasbeg h ines	-----|------|-|---⌫-⌫---|
de Mons.X.	-|---|--|
s .//aubeghinage de	|--|-|--------|-|
Niuiele .X .	------|--⌫|
s.//asp o ures	|--|-|-⌫-⌫---|
be ghines deCantinpre t a-Ca nb rai.X.	--⌫-----|-|---------⌫|||--⌫--⌫--|--|
s.//asbeghinesdou SacdeM ons.X.	|--|-|-------|--|--|-|-⌫--|--|
a-pita nceaspo ures	||----⌫--|-|--⌫---|
be ghin e s d ou	--⌫----⌫-⌫|-⌫-|
beghi nagedeualenciennes	-----⌫---|-|-----------|
s. / / a Mehaut	|-⌫-⌫||-----|
leGrau de .X.	-|----⌫-|--|
etse penneq u	-|-|----|-⌫|
ele uiestaMargotle Macho n .X.	--|----||-----|-|-----⌫|--|
Et tou t cistdenierdeuantdit	-|---⌫|---|-----|-----|--|
qui chis unt de ui ssetdoiuentestre	--|--|-⌫--|--⌫--⌫---|------|----|
paietdelemounoiedep ar	----|-|-|------|-|-⌫-|
Etsi ueltMaroieMouto ns	-|-|---|-----|-----⌫-|
nau oittantuaillantal - eurede-	|--⌫--|---|-------|-||---|-||
s e n-trespasque chouque-chi	-⌫-⌫||------|--|---|--||--|
deuantest de uis set que onlerabacedechiauset	-----|--|--⌫---⌫--|--|-|-|-----|-|-----|-|
d ece lesde	-⌫|--⌫--|-|
cui fre resIehansl iMonniéss asentiraet u era	--|---⌫--|-----|-⌫|-------||-------|-|-⌫--|
queboin ertetcon enoe ureparse n	--|---|--|-||-|-|--⌫--|--|--⌫|
conse l et	-----⌫|-|
sele auoit plus ua illantal-eur ede	|--|----|---|--⌫-----|-||---⌫|-|
sentrespas	--|------|
que chouquechid e seureestdeuissetele uel t	--|---|--|--|-⌫-⌫----|--|-------|--|---⌫|
queli-s o rplusso it	--|-||-⌫-⌫----|--⌫-|
dou nés as freres menusla u	---⌫---|-|-----|----|-||
freresIeh ans l i Monnes seroitman ans al	-----|---⌫--|-⌫|-----|-----|---⌫--|-|
-euredes entr es pasets efrere sIe han sli	|---|-|-⌫-|--⌫--⌫--|-|-⌫|-----⌫|--⌫---⌫|-|
-Mo nneses toitalésde	|--⌫---|--⌫---|----|-|
uiea- mortele uelt	--|||---|--|---|
que lisourplussoi tasf reresmenusde	--|-|-------|---⌫|-|-⌫----|----|-|
Etdeceste d eu is ed eua ntditeprentMaroie	-|-|----|-⌫--⌫--⌫|-⌫---⌫-----|----|-----|
-sestestamenteursBaudedAuesnes Gilliondou	|--|------------|----||------|------|--|
Maréset Phelippondes Liceset	-----|-|--------|--|----|-|
si uel t Maroi e	-|---⌫|-----⌫|
Moutonsque sitestamente ur o e ure ntdecestideuise	------|--|-|----------⌫-|-⌫-⌫---⌫-|-|----|-----|
deu ant diteparleconsel	---⌫--|---|--|-|-----|
frereIeh anl e Mo nnie et	----|---⌫-|-⌫|--⌫---|-|
parescheuin ssou ura inne ment enquelliuquil maingne	--|--------⌫|---⌫---⌫----⌫---|-|---|--|-|-|------|
ta ntquil ait	--⌫-|-|-|--|
leuie e l-corsetq u	-|--|-⌫||---|-|-⌫|
illiapielentetsiueltq uesi-	-|-|-------|-|-|---|-⌫-|-||
testament eurnenpuissent nientfai re secenest	---------⌫--||-|-------|----|---⌫-|-|-||--|
pa rlec onse lfrere Iehanle	--⌫|-|-⌫----⌫|----|----|-|
Monniédeuantditetpare scheuinspre ucq u	------|-----|--|-|--|-⌫-------|---⌫-|-⌫|
il fusten uie	-|---|-|--|
et sensiauenoit quilfustalé s	-||---|------|-|-|---|----⌫|
de uiea-mort	-|--|||---|
ele ueltcon enoeure detoutesces	--|---||-|-|----|-|-----|--|
cosesparlecons elfrereNicholonle Monnié	----|--|-|----⌫-|----|-------|-|------|
e tdougardiendes f reres	-⌫|--|------|--|-⌫----|
menusde Douaykiquece soit	----|-|----|-|--|-|---|
enouureroitpa r leconselfrer e IehanleMonniédeuant	-|--------|--⌫|-|-----|----⌫|----|-|------|-----|
ditetparescheuins	--|-|--|--------|
etquilen- a ien tcest	-|-|-|-||-⌫---⌫|---|
mismepooir apr iésletrespas	----|----|---⌫---|-|------|
frereIeha nle	----|----⌫|-|
Monniédeuantdit	------|-----|--|
E nco reueltM aroieMoutons	-⌫---⌫-|---|-⌫----|------|
et leprie po rDeu	-|-|---|--⌫|--|
qu eeleait sesepu lture a sfreres menusdeDouay	--⌫|--|--|-|----⌫----|-⌫|-----|----|-|----|
eur equede	---⌫|--|-|
lisera de fallit .	-|---|--⌫-----||
auoit debat entre ses testamen teurspourl ocoiso n	----|----|----|--|--------⌫----|---||------⌫|
de cesti deuise	-|----|-----|
eleu elt quil - enoeuren t	--|-⌫--|-|-||-|------⌫|
par cons aut	--|----⌫--|
d eskeu ins.	|-----⌫--||
Ettout ecestede uise a -	-|----⌫|----|--⌫---|||
faiteMaroie Moutonsen telemanierequelele	----|-----|------|-|---|------|-|--|-|
pue t mu eret ra pieler et fairedou	---⌫|--⌫-|-|--⌫-----|-|----|--|
sien se uolenté toutes euie .	---|-|-------|----|-⌫|--||
Etparmi cestideuisea -	-|----|----|-----|||
rapieléetrapieleMaroie Moutonsto utesles	-------|-|------|-----|------|--⌫---|--|
deui se squeeleonquesfist ne	----⌫--⌫|--|--|-----|---|-|
deuisaparescheuinnagedeuan tcesti	-----|--|-----------|-----⌫|----|
A-ce stedeu isefurentcoumeescheu in	||--⌫--|---⌫--|-----|----|------⌫-|
del-Incarnation.M. C C.	--||----------|---⌫-⌫-|
moisdeiuing .	---|-|----||
c hdouai049 7Sac ent to ut	-⌫---------⌫|---⌫--|--⌫-|
cil ki suntetkia-uenirsunt	--|-|---|-|-|||----|---|
queIe hansdele Riue liper ese tGherars	--|--⌫---|-|-|---|-|---⌫-|-⌫|------|
o ntuenduetwerpi	-⌫-|----|-|----|
aIehan F e d richunemaison	|----|-⌫-⌫-⌫---|--|-----|
dehorsleporteSaintElo yioinnantautennementSus ane	-----|-|----|----|---⌫|-------|-|--------|---⌫--|
le uanier ed	-|------⌫||
unne part etau	---|---|-|-|
tennem ent ki fuBens elaindautre	------⌫--|-|-|----⌫----||----|
p arttoutensiconc ele	-⌫--|---|---|--|-⌫--|
maisonset to us li ten neme ns siet wi s ethiebreghiés	------|-|--⌫-|-|---⌫----⌫-|---|--⌫|-|-----------|
deuant et derriere a.XXII.	-----|-|-------||-----|
paran sour toutesrentes	--|-|---|-----|-----|
ett outens ic on chideuisse t estont en -	-|-⌫--|---⌫|-⌫-|--|-------⌫|--|--|-||
cou u ent I ehan s deleRiueet Gherarssesfiusdeuant	---⌫-⌫--|-⌫----⌫|-|-|---|-|------|--|---|-----|
di tetcasc u n sdauspour	--⌫|-|----⌫-⌫-⌫||--|---|
leto uta-aqu iterle	-|--⌫-|||---⌫---|-|
mai so n ettoutle te nnement deuant	---⌫--⌫|-|---|-|--⌫------|-----|
ditdusquesaudit d escheuins a	--|------|-|--||--------||
IehanF edric hdeuant dit.	----|-⌫-----⌫|-----|--||
Tou tc houfufait	---⌫|-⌫--|-|---|
halepar de u antesch eui nsIakemesdeLandasetIehans	---|--|--⌫-⌫--|----⌫---⌫-|------|-|-----|-|-----|
Pickete e n	------|-⌫|
an delIn carnac ion.M.CC.	-|--|--⌫------⌫--|----||
LXX./ /elmois dema r c h.	--|--⌫|-|---|-|--⌫-⌫-⌫||
ChH M075Cesuntlesraisun s	---⌫---|-|---|--|------⌫|
siresG uilla u meset	----|-⌫-----⌫-⌫--|-|
messi reEstienesde	--|--⌫-|-------|-|
Trichastel freremetent aua ntcontre	---------|----|-----|---⌫-|-----|
loucha pitre	--|---⌫----|
deLain gr esdand roit loudimede	-|----⌫--⌫-||---⌫---|--|---|-|
Percéquiesto itdelour heritaige .	-----|--|----⌫-|-|---|--------||
Premieremant il d i en tque q uantIe han zsires de	-----------|-|-⌫-⌫--⌫|--|-⌫---|--⌫---⌫|----|-|
TrichasteletHugues sir e s	---------|-|-----|---⌫-⌫|
deCoulanslo urfrereuand erent la-	-|------|--⌫-|----|----⌫----|-||
deuant-dite dime dePe rcé qu eilpre s a ntere nt	-----||---|---|-|--⌫---|--⌫|-|---⌫-⌫-⌫-----⌫-|
largentdela- u and ue	|-----|-|-||-⌫---⌫-|
ande -la - u andue	-|-||-||-⌫----|
etse il neloupresanterentdedanzl ande	-|-|-|-|--|-----------|-----||-|-|
la- uandu esed ient	-||-----⌫|-|-⌫---|
ilquecen e lour doit pas	-|--|-|-⌫|---|---|--|
greu er cumil fussienten auoe r i eautansde la	----⌫-|--|-|-------|-|----⌫-⌫-⌫|-|---|-|-|
