q uiparoleauroipescheor	-⌫-|-----|-|--|-------|
bienporr oitauenir	---|----⌫--|-----|
seuouschapoezreuenir	-|---|--|---|------|
quenost re ioie uerreztote	--|----⌫-|---|-----|---|
etdugraals anznuled o u te	-|-|----|-⌫--|---|-⌫-⌫-⌫-|
sa rez lauerit e	--⌫--|-|-----⌫|
etdelala nce porcoisai ne	-|-|-|--⌫--|--|--|---⌫-|
dontta ntauez eu trauaus	---|--⌫-|---|-|------|
hadolssire faitpercheuaus	-|---|---|---|---------|
seiamespee	-|-||----|
sera refaitene soldee	---|------|-|-----|
li pr e u domli respont oil	-|--⌫-⌫-⌫--|-|------|--|
cilqui lefistsetl e peril	--|--|-|---|--|-⌫|----|
parcoi ele estbrisie et f rai te	--|--|--|--|-----|-|-⌫---⌫-|
portezlisi sera refaite	-----|-|-|---|------|
nusautresnenue nroit	--|-----||-|--⌫----|
li preudom lidistderechief	-|------|-|---|-|------|
a tent unpoi iluecestoi	-⌫---|-|--|----|----|
et iereuenraitostatoi	-|-|-------|---||--|
telchos ete donraipartans	--|----⌫|-|-----|--|---|
don t mieu st e rtnens oies	---⌫|----⌫||-⌫-||-|-⌫---|
aidetoimoltg rantpite	-|-|--|---|-⌫---|---|
dontse n ua	---||-⌫|-|
n apasarest é	||--|-----⌫-|
maismo lt tost	---|--⌫-|---|
reuin t aleporte	-----⌫||-|----|
eta uec l uiun	-|-⌫--|-⌫-|-|
brie fapor te	----⌫|----⌫-|
petit roonttota	----|----|--||
ilsamblebien qu enes lepas	-|-----|---|-|----⌫----|
eneustli utee stélale tre	-|---|--⌫--|-⌫---|-|--⌫--|
en uols i sten tremetre	-|----⌫-⌫-|--⌫-------|
delli reet ensosfristahan	--|--⌫-|-|-|-------|---|
q uedui en	-⌫-||-|-|
ce stior enunan	--⌫-|--|-|-|-|
n aroitilpascontruit	|----|-|--|-------|
et s ien son t li mot molt	-|-⌫|-|---⌫|-|--|---|
li preudomui ntque p l u s n	-|------|--⌫-|--|-⌫-⌫-⌫||
percheu al lebrief t ent	-------⌫-|-|----|-⌫--|
uassa ldist	-----⌫|---|
ilso i eztozfis	-|--⌫-⌫-|--|--|
quei a ne serezdesconfis	--|-⌫|-|----|--------|
nenushomtantsoitdesceus	-|--|--|---|---|------|
nef orsdusenss i l	-|-⌫--|-|---||-⌫|
es tenduparde s or s o nch ief	--⌫----|--|--⌫-⌫-|-⌫-⌫|--⌫--|
quetantostnesoit enson	--|------|-|---|-|--|
mai sgardez que par nul	---⌫|-----|--|--|--|
nesoi tportezenliu maluais	-|---⌫|-----|-|--|------|
uas saltunesez	---⌫--|-|-|--|
tu uasquerantc hosetantsaint e	-|--|------|-⌫---|---|-----⌫|
q ueiaparhom eniertatainte	-⌫-|-|--|---⌫||---|------|
nest iustes detoz pe chiez	|--|-----|-|--|--⌫----|
molte ntechiez	---|-⌫-------|
diraienbon efo i	----|-|---⌫|--⌫|
q uese n toi auoi ttantde	-⌫-||-⌫|--|----⌫|---|-|
c omeest unsp etis grainsdesel	-⌫--|--|--|-⌫---|-----|-|--|
quetu porr oiesunet	--|-|----⌫---|-|-|
sauo ir et	----⌫-|-|
fairetotsans force	----|--|---|----|
maluaisdeni ents	------|-|--⌫--||
quilcuide alei oieceles t re	-|-|----||-|-⌫--|-----⌫-⌫-|
uenir pa r	----|--⌫|
neporgrant	-|--|----|
prisneporproece	---|-|--|-----|
p or har deme ntne p orr ichece	-⌫-|---⌫----⌫-|-|-⌫-|-⌫-----|
nenilc e nep ue t auenir	----|-⌫|-|-⌫--⌫|-----|
puistala gloireuenir	----||-|-----|----|
quenousarons aliuge ment	--|---|----|-|----⌫---|
per cheua ustoutaperteme nt	---⌫-----⌫-|---|--------⌫-|
aueuparad is ter re stre	|--|-----⌫-|---⌫--⌫---|
decestuiar onslece lestre	-|-----|--⌫--|-|--⌫-----|
laoulag loire e stsitres	-|-|-|-⌫----|-⌫-|-|---|
biendoit estrec hasc unsengrans	---|---|----|-⌫----⌫--|------|
d eco nquerrelaioi efine	-⌫|--⌫------|-|---⌫|---|
tans dure etnientne fine	---|---|-|----|-|---|
ua tent tu n	-||--|-||
ensaraspluso re	-|----|---|-⌫-|
ma isaies l ebrief enm emore	--⌫-|---|-⌫|----|-|-⌫----|
queiai doné atoia mis	--||-|----||--|-⌫--|
atant estel	|---|--|-|
r epairiermis	-⌫-------|--|
quantpercheuausescouté	----|---------|-------|
cequelipreudomditliot	-|--|-|------|--|-|-|
e n samain tint l e b riefro ont	-⌫|-|---|---|-⌫|-⌫---|--⌫--|
une pieche desch ireetront	--|-----|-----⌫--|-|---|
desac o teaarmerde s oie	-|-|-⌫-⌫-||----|-|-⌫--|
distpercheuausouquei esoie	---|---------|-|--|-⌫|---|
dechipa rtis	-|--|--⌫---|
lependera i	-|-------⌫|
a mon colplusn	|--|--|---||
sicome il di stfi st erran ment	-|---|-|--⌫-|--⌫-|-----⌫---|
puis a reprisisnelement	---||-----|---------|
les piecesde sa bone	--|-----|-|-|---|
elfuer reb outee	-|----⌫-|-⌫----|
de so nc heual re torne	-|--⌫|-⌫----|--⌫----|
at ant sen partd	|-⌫--||-|---||
errersatorne	----||-----|
parmilepre grant aleure	----|-|--|----|-----|
tantquilgar de par auenture	---|-|-|---⌫-|--|-------|
ar riere lui maispas	--⌫----|--|---|--|
quorains ueuauoit	-|-----|--|----|
et sinauoitpas une archie	-|-||----|--|--|-----|
encoresauoieesploitie	-----|-|---|--------|
siniuoitrienforsterreplain e	-|||---|---|---|----|-----⌫|
mo lt durementse paine	--⌫-|-------|-|----|
grantaleurepar lepre e	----|-----|--|-|---⌫|
par deuant	--|-----|
issiforsdelap rae rie	---|---|-|-|-⌫---⌫--|
te rreplaine etgaaigneri e	--⌫--|-----|-|---------⌫|
ui ttrop be leetbelg aaigna g e	--⌫|---|--⌫-|-|--|-⌫------⌫-⌫|
dunepart sont	|--|---|---|
li labor a ge	-|-----⌫-⌫-|
etliui gnoble etles r i uieres	-|-|--⌫-----|-|--|-⌫-⌫-----|
etui lesde	-|--⌫--|-|
pl uisors manieres	--⌫-----|-------|
quidegent e stoientpueplees	--|-|---|-⌫------|-------|
etd egr a ns ric heces mueblees	-|-⌫|--⌫-⌫-|---⌫----|-------|
percheuausmol t	---------|---⌫|
senesme rue ille	|-|----⌫---⌫---|
p arfo i fait il	-⌫-|--⌫|---|-|
ieuoimerueille	-|--|--------|
do ntie doibien	--⌫-|-|--|---|
estreesbahis	----|------|
herso irquantuingencest pa is	-----⌫-|----|---|-|---|--⌫-|
uic estpaisgasteetdesert	-|-⌫--|---|----|-|-----|
orleuo idetout	-|-|--⌫|-|---|
bie ncou ert	---⌫|---⌫--|
toutensipercheuausdeuise	---|---|---------|-----|
deuantluiesgardesi uise	-----|--|------|-|---|
unetorqu ernelee	--|--|--⌫------|
deusc enzpiez hautee t	---|-⌫--|---|----|-⌫|
uiuie resta ssise	-----⌫|--|-⌫----|
elchiefdunehaut efalise	-|----||--|----⌫|-----|
unbailede mur o t	-|----|-|--|-⌫|
otmaint ebeletour	-|-----⌫|---|---|
dedens otmainte	-----|-|-----|
que d usquesent esale	--|-⌫-----|-|-⌫----|
nauoit chastel miu s co mpas se ́	|----|------|---⌫|--⌫----⌫--⌫|
chast elal	-----⌫-|-|
mien pense	---|----|
auo itu i lequ e sit re snoble	---⌫-|-⌫-⌫-|--⌫|-|-⌫--⌫|----|
nauoitdu squenconstantinoble	|----|--⌫--|-|-------------|
mieus aesie n e plus bele	----|----|-⌫|---|---|
u n eriuieremolt is n ele	-⌫-⌫|------|---|--⌫-⌫--|
coroitdesozunenauie	-----|----|--|----|
port antqueonquesen ma uie	----⌫--|--|-----|-|-|--|
noiparler dausi gaillarde	|-|-----||---|--------|
perche uausdautr epartregarde	------⌫---||----⌫|---|------|
uitun manoirdedens lelai	--|-|-----|-----|-|--|
onquesenromansne	-----|-|-----|-|
noi parlerdesiplaissant	|-|-----|-|-|--------|
percheuaus uoitun	---------|---|-|
quible senmeen	--|--|----|-|
unecouture	--|------|
enuersluienuient a d r oitur e	-----|--|-|----||-⌫-⌫-----⌫|
silidemandemolt	-|-|------|---|
qu isiresest	--⌫|----|--|
decelchastel	-|--|------|
li paisans lir espontsir e	-|------|-|-⌫-----|---⌫|
alezi chascunsuousdesire	---||-------|---|-----|
moltfe ront	---|--⌫---|
tout deuous gr ant feste	---|-|---|--⌫--|----|
atantsen ua plusnes areste	----||-|-|---|-||-----|
percheuausle pre udomel ais se	---------|-|---⌫----|-⌫---⌫-|
etchascunsdelchastelseslai sse	-|-------|--|------||-----⌫--|
afaireioie q uant	|----|---|-⌫---|
alencontre li uinrent	||-------|-|------|
acr ois et a p orcessions	|--⌫--|-||-⌫---------|
et d isoien t en lor	-|-⌫------⌫|-|--|
sirequinous auez rendus	---|--|---|---|-----|
lesbiensque auiens perdus	--|----|--|-----|-----|
mais tant auezfaitet our é	---|---|---|---|-|---⌫-|
queparuous auonsr ecouré	--|--|---|----|-⌫------|
lesoeu resetlespra eries	--|---⌫--|-|--|---⌫----|
lesbiens etlesg aaigneries	--|----|-|--|-⌫---------|
le sbie ns temporaus	--⌫|---⌫-|--------|
agrant ioiefuperc heuaus	|----|---|-|----⌫-----|
me nezelchastelhe be r gier	--⌫--|-|------|--⌫--⌫-⌫---|
ne sambl oientmiebregier	-|-----⌫----|--|------|
ci lquipor lu idesarmer uinrent	--⌫|--|--|--⌫|-------|------|
moltsontlie cilq ui	---|---|--|--|-⌫-|
i auinrent	|-------|
quantdesarmé lon t b ien	----|-------||--⌫|-⌫--|
roubeuaire coteetmantel	----|----|---|-|-----|
l iapo rta une puc ele	-⌫|---⌫--|--|---⌫--|
a u es tirq ui molt	|-⌫--⌫--|-⌫-|---|
es to itbele	--⌫--⌫-|---|
cain tureetalmosnier e riche	----⌫---|-|---------⌫|----|
etfr email	-|--⌫----|
dordontil safiche	|-|---|-||-----|
ariche spi erres deuer tu	|-----⌫|--⌫----|-|---⌫-|
elroialmeleroi	-|------|-|--|
n auoi tplusbelhome rem ez	|----⌫|---|--|---|---⌫-|
delu iquantilfuatornez	-|--⌫|----|-|-|------|
ne qu i tantf ust hardi snefor s	-|--⌫|---|-⌫--|-----⌫|-|---⌫|
atant istd	|---|--||
une cam br efors	--|---⌫--⌫|---|
unedame mais aincnatu re	--|---|---|---|----⌫-|
nefistplusbelecreature	-|---|---|---|-------|
neplussage n emiusaprise	-|---|---|-⌫|---|-----|
s ico n licontes	-⌫|--⌫|-|-----|
le deu i se	-|---⌫-⌫-|
ge nteert decors	--⌫--|--|-|---|
simpledeuis	-----|-|--|
se lebiauteuous end e uis	-|-|-----|---|-|-⌫-⌫--|
ne uousanuitaescou ter	-|---|----||-----⌫--|
car adr oitl euous wel	--||--⌫--|-⌫|---|--|
gra nseste tcoin teeti ouenete	---⌫-|--|-⌫|----⌫-|-|-⌫------|
droiteetbi enf aiteunpoi crassete	-----|-|--⌫-|-⌫---|-|--|-------|
espaulles bras costez adrois	--------|---|-----||----|
lesf lans aleraisone strois	--|-⌫---||-|-----|-⌫-----|
les rainsla rgetes pardelit	--|----|--⌫-----|--|----|
pormi us sos frir leiudel	--|--⌫-|---⌫---|-|-|--|
les bras lonset roo nsetplains	--|---|---|-|---⌫-|-|-----|
les doi slonsetpetites mains	--|---⌫|---|-|------|----|
ma isdela b iautedeso nchief	--⌫-|-|-|-⌫----|-|--⌫|----|
nepo rroieuenira	-|--⌫----|----||
araconter siconi equit	|-------|-|--|-⌫|---|
plu s estoi ent	---⌫|-----⌫--|
luis antdorqu it	----⌫--||-|--⌫-|
licaueil tantestoientsor	-|-----|---|-------|--|
ce sambloient estr efild or	-|---------|----⌫|--||-|
lef ront otplusblancdun e	-|-⌫---|-|---|----||--⌫|
orneuoussambl e mi eanois	-|-|---|-----⌫|--⌫|----|
seieuousen diuerite	-|-|---|-|-|-----|
q uetoutelep ropriete	-⌫-|----|-|-⌫-------|
uousdiraisi con iesaimieus	---|----|-|--|-|--|----|
brunessorci sot	-----|-----⌫|-|
e tuairsoeu s	-⌫|----|---⌫|
grosfurentetsimple etriant	---|-----|-|-----|-|----|
etboucheu ermeillefrian t	-|-----|-⌫-------|-----⌫|
nezotbienfa it asozhaidier	--|-|---|--⌫-||---------|
pui ssa uo irnequidier	---⌫|--⌫--⌫-|-|------|
c onpeus tplusb eletrouer	|-|----⌫|---|-⌫--|-----|
carnaturepor esprouer	--|-----|--|-------|
laco lourleu is	-|--⌫---|-|-⌫-|
sanzredout	---|-----|
fu miltansmiusen luminee	-|--|---|---|--⌫------|
que roseen	--|---|-|
mailamatinee	--|-|------|
l iblansestmelléseluermeil	-⌫|----|--|------|-|------|
sibien que tozm	-|---|--|--||
en esmerueil	-|--------|
natures enesmerueil la	-----||-|---------⌫-|
quialiformer	--||-|-----|
t r au eilla	-⌫-⌫--⌫----|
uoirsestmiene uou smenton	----|--|--|-|---⌫|-----|
mais direpuis desonm enton	---|---|---|-|--|-⌫----|
que ceestoit tozli	--|-|-----|--|-|
mi eu sfais	--⌫--⌫|---|
quiaincfust	--|---|---|
pardis ne parf ais	--|--|-|--|-⌫--|
la gorge auoitb elee t polie	-|----|----|-⌫--|-⌫|----|
moltmemel laidegrantfolie	---|-|---⌫--|-|----|----|
q u an tali deui serempris	-⌫-⌫--⌫||-|----⌫--|-----|
s eiauoiecenttan sapris	-⌫||----|---|---⌫|----|
n endiroie pas	|-|-----|--|
sei au oie tant	-||--⌫--|---|
esploitié	---------|
direuouspuisabone es trine	---|---|---||---|--⌫----|
blanc hor de	-----⌫--|-|
sapoitrine	-|-------|
puet bien totes	---|---|----|
aut resoutrer	---⌫--|-----|
bien fu faitep or	---|-|----|-⌫-|
enc on tr e r	---⌫--⌫--⌫-⌫|
carele auoit les mamele tes	--|--|----|--|------⌫--|
unp etitgross ete s	-|-⌫---|-----⌫---⌫|
uaut c h ehomt erri ens	---|-⌫-⌫|--|-⌫----⌫--|
onquesplusbele rie ns	-----|---|---|---⌫-|
ue stuef u de deuss amis	--⌫---|-⌫|-|---|-⌫---|
lu n uerte t uermeil si	|-⌫|---|-⌫|------|-|
desussonchiefu nchapelet	----|--|----|-⌫|-------|
