cestdelanual	|--|-|-----|
seceste amors estoit seue	-|----|----|-----|---|
mes nemeporriiés	--|-|-|--------|
nedemonc ors sesineauoi r	-|-|--|-⌫--|-----|----⌫|
il l ir espontqueb ien	-|-⌫|-⌫-----|--|-⌫--|
totcouqueli commandera	--|--|--|-|---------|
da l e s liestu litcouciés	--⌫-⌫-⌫|-|--||--|-------|
o restlanua xbien	-⌫|--|-----⌫|---|
herbegiés	---------|
en sanble oli l a releuee	--⌫-----||-|-⌫|------|
demouradusqua lauespree	------|----||-|------|
if i st se il	|-⌫-⌫-|-|-|
lico nsentist	-|--⌫-------|
amisdist eleleu essus	---|---|--|---⌫-|--|
uos nepo esdemorerplus	--|-|--⌫-|------|---|
ales uousen tie remandra i	---|---|--⌫|-|--------⌫|
mais unecoseuou s dir ai	---|--|---|---⌫|---⌫-|
quant uousuauré sa moiparler	----|---|------⌫||--|-----|
iane sar escelliupens er	-|-|---⌫-|--|--|----⌫-|
unush om puist	|--|-⌫-|----|
t rou er samie	-⌫---⌫-||---|
sansre pro ceet sansu ilonie	---|--⌫---⌫-|-|---|-⌫-----|
neuossoieenpr esent	-|--|---|-|--⌫----|
a faire uocon mandement	|----|-|---⌫--------|
nusho mfors uous nemeuerra	--|--⌫|---|---|-|-|----|
neme parol enenor a	-|-|-----⌫||-|--⌫|
quantil loimolten fu	----|-||-|---|-|-|
il lebaisepuisestdrec iés	-|-|----|---|--|----⌫---|
cel es quiel	---⌫-|--|-|
amen e rent	----⌫-⌫---|
drasle coureerent	---|-|---------|
q uant i l fuues tus de	-⌫---|-⌫|-|---⌫--|-|
soussie ln e us tplu sbeld a moisel	---|---⌫||-⌫--⌫|---⌫|--|-⌫-⌫-----|
mieforneuilains	--|--|-|------|
l euelidou n ent	|--|-|---⌫-⌫--|
ase smains	|--⌫|----|
etletouailleae ss u ier	-|-|-------||-⌫--⌫-⌫--|
apr eslidonenta mangi e r	---⌫-|-|-----||-----⌫-⌫|
osamiepristl esouper	||---|----|-⌫|-----|
nefaiso itmiea	-|-----⌫-|--||
mout fuseruis	---|-|-----|
cortoisement	-----------|
etilag r antioieleprent	-|-||-⌫-⌫--|---|-|----|
u n entremesie utplenie r	-⌫|-------||-⌫-|------⌫|
ki mo ltpla i soit au cheualier	-|--⌫-|---⌫-⌫---|-|--------|
carsamiebaisoit soue nt	--||---|------|----⌫-|
et ac oloitestrot ement	-|--⌫----|------⌫----|
qu a ntdel	--⌫-⌫-|--|
mangierfurent leué	------|-----|----|
s on ceualli o ntamené	-⌫-|----|-|-⌫-|-----|
e urentla selemis e	-⌫----|-|---|---⌫|
moutatroué riceser u i s e	---||-----|---|---⌫-⌫-⌫-⌫|
il prist congie siestmontés	-|----|-----|-|--|------|
uer s leciteen e stalés	---⌫|-|---|-|-⌫-|----|
souent r egardearieresoi	-----|-⌫-----|-----|--|
m oultest lanuax	-⌫---|--|-----|
en grant esfroi	-|----|-----|
desau enture uait pensant	-||--⌫-----|---|------|
etensencorage	-|-|--|-----|
esbahis est nesetquefaire	------|--|-|--|--|----|
nencu idaiaa nulcie f traire	|-|--⌫--|-||--|---⌫|-----|
sonhoste luenus	--|-----⌫|----|
seshomestroue	--|----|----|
bienuestus	---|-----|
ice lenui t	---⌫-|---⌫|
bioenos teltint	----|--⌫--|---|
mesnus nesetdontceliui n t	--|--|-|--|---|-|-|--⌫-⌫|
nen leuil eneust	|-|-|---⌫||---|
kide seio ur eustm est ier	-|-|----⌫-|---|-⌫---⌫--|
neface a luiuenir	-|---||--|----|
etricementetbienser uir	-|-------|-|---|---⌫--|
l anuaxdounoitles ric es	-⌫----|------|--|---⌫-|
lanuaxraienbe le spri sons	-----|------|--⌫|---⌫---|
lanuaxue stoi t	-----|--⌫----⌫|
les iougleors	--|--------|
lan uaxfaisoitle sgranshonors	---⌫--|------|--⌫|----|-----|
nieut estrangenepriue	-|--|-------|-|----|
acu i lan u ax neustdouné	|--⌫|---⌫-⌫-||---|-----|
lanuaxeutmoutioie etded ui t	-----|--|---|---|-|---⌫--⌫|
usoit pari oru soitparn uit	|---|--|-⌫-||---|--|-⌫--|
s amiepuetuooirsouent	|---|---|----|-----|
tout esta s on	---|--||-⌫-|
comandement	----------|
cemestauismeismelan	-||--|---|-----||-|
apreslefe ste saintiehan	----|-|--⌫--|----|----|
desiqueat rente ceua lier	------||-⌫----|----⌫---|
serentaléhesbanoiier	|----|---|----------|
en unuergie	-|-|-----|
de sousletor	--⌫---|-|--|
ula roin e ertaseior	|-|----⌫|--||----|
ensanbleo eus	-------||--|
estoitgauains	-----|------|
et ses cousinslibi aus	-|--|------|-|--⌫--|
c edistgauain sli biaus	-⌫|---|------⌫|-|----|
ki se faisoit amera	-|-|------|---||
pa rdius eg no rnefaisonsm a l	--⌫|--|-⌫--⌫--⌫|-|------|-⌫-⌫|
denostreconpaignon	-|-----|---------|
ki tantestlarges et cortois	-|---|--|-----|-|------|
e t ses pereest	-⌫|--|---|--|
siric es rois	-|---⌫-|---|
que nosne lauonsame ne ́	--|--|-||----|---⌫--⌫|
a tantses ont acem iné	|---|-|-⌫--|----⌫---|
ost elreuontar iere	---⌫-|-----|--⌫---|
lanual amainent par proiiere	-----|-------|--|-------|
aunef enestre entaill ié	|--|-⌫------|-------⌫--|
sestoitl a roineapoi é	|-----|-⌫|----|----⌫-|
troisdamesot	----|----|-|
e nsanbleo li	-⌫------||-|
liune delesac hoisi	-|--||---||-⌫----|
lanualconnutetesgarda	-----|-----|-|------|
une desdamesa pela	--|--|----|-⌫---|
tantost mandasesdam oiseles	------|----|--|---⌫------|
lespl u scointeset lesplus bel es	--|--⌫-⌫|------|-|--|---|---⌫-|
s irontesbano i ier	|----|------⌫-⌫--|
laucilerent u u ergier	-||--|----||-⌫-----|
en menaoliet p lus	-|---||-|-|-⌫--|
parle sdegr esd esc enden t ius	--|--⌫|----⌫-|-⌫---⌫-----⌫|--|
liceu alierencontre uont	-|---⌫----|-------|---|
quipor elesgrantioiefo nt	--|--|---|----|---|--⌫-|
ont pri ses par	--|---⌫--|--|
cilpar lemensnest pasuilain s	--|---⌫-----||--|--|------⌫|
lanuax senua a une pa rt	-----||-|-||--|--⌫-|
loinsdes autre smoltliesttart	----|--|-----⌫|---|-|--|---|
kes amiepuise tenir	-||---|----|----|
baisier acoler e t s ent ir	------|-----|-⌫|-⌫---⌫-|
lautruiioieprisepetit	|-----|---|----|----|
en a l e s i en del it	-||-⌫|-⌫-⌫-|---⌫-|
quantle roin eseulleuoit	----|-|----⌫|---|-|---|
a u ceualier	-⌫|-------|
enuoiedr oit	-----|--⌫--|
lesl ilas ist sil	--|-⌫||--⌫--|-||
totsen coragel i mostra	--|--|-----|-⌫|-----|
lanualmoutuo s aihon oré	-----|---|--⌫|-|---⌫---|
et moltcierietmo l tamé	-|---|----|-|--⌫-⌫|---|
toutemamorpoes auoir	----||---|---|----|
carmen ditesuostr euoloir	--||-|----|-----⌫|-----|
medruerieuosotroi	-|------|--|----|
moutdeues es tre	---|----|--⌫--|
lies de mo i	---|-|--⌫|
dam edistillaisc i es mees ter	---⌫|---|-|-----⌫-⌫-|-|--⌫--|
i en aicu rede uost reamer	-⌫||-|--⌫-|-|----⌫-|---|
long ementaiseru i	----⌫----|-|----⌫|
uoielpasmentirmafoi	----|--|-----|-|--|
ia po ruos	-|--⌫|--|
ne p oruos tre a mor	-|-⌫-|---⌫--|-⌫--|
neme sferaiue rs mansegnor	-|--⌫-----|--⌫-|--|-----|
le roines ecour eca	-|----|-⌫|----⌫--|
irié fusi mesparla	----|-|-|-------|
lanual fait	-----|---|
elebienlecuit	--|---|-|---|
uos n amesg airescededuit	--||---|-⌫----|-|-----|
a sseslem a o n	-⌫---|-|||-⌫|
d it souuent	-⌫-|------|
q uede femme n	-⌫-|-|----||
a uestalen t	-⌫--|-----⌫|
uallesaues	-----|---|
bienafaitiés	---|--------|
ensanbl eoeu s u osdeduissie s	-------⌫||--⌫|-⌫-|---------⌫|
u ilainscouars mauuais	-⌫-----|-----|------|
moutest mesire mal baillis	---|--|-|---|---⌫------|
kientorlui uos asosfert	-|----|--|--||------|
mienensient	---|------|
quediu enpert	--|--|-|---|
loimoutfudolens	|-|---|-|-----|
derespond r e nefup asle ns	-|-------⌫-⌫|-|-|-⌫-|--⌫-|
telc osedist par	--|-⌫--|---|--|
dont il se repenti souent	---|-|-|------|-----|
dame distil detelm estie r	---|---|-|-|--|-⌫-----⌫|
iene me nsain ient aidier	-|-||-⌫|--|-⌫---|-----|
maisieaim et sesuia mis	---|-|--|-|-|--|-⌫--|
ce liq ui doi tauoi rlepris	--⌫-|-⌫-|---⌫|----⌫|-|---|
sortoutesceles queie sai	--|-----|----|--|-|--|
etune cose uous dirai	-|--|---|---|----|
bienlesaciesen descouuert	---|-|-----|-|---------|
une decele s qui les ert	--|-|----⌫|--|-|-⌫--|
toutelepluspoure me sci ne	----|-|---|----|--⌫---⌫-|
d euosdame r oine	-⌫|--|---|-⌫---|
d e cor s deuisetde	-⌫|---⌫|-|--|-|-|
densegnemen t	|----------⌫|
laroinesenparta tant	-|----||-|---||---|
ensa canbre	-|-|-----|
s enuap lorant	|-|-|-⌫-----|
mo u tfu do lanteet core cié	--⌫-⌫|-|--⌫----|-|----⌫---|
sileutauillié	-||--|-------|
ensenlit maladec ouca	-|--|--|-----|-⌫---|
iamescedi st	----|-|--⌫-|
selirois nelifai soit	-|-|---|-|-|---⌫---|
decedontele	-|-|---|--|
sep laindroit	-|-⌫--------|
fudebos repa iriés	-|-|--|----⌫-----|
molt otestéleior	---|-|----|-|--|
e s cambresleroineentra	-⌫|------|-|----|----|
quantelleuit	----|-|-|--|
sise clama	-|-|----|
asp iesl icietmerc ielic rie	-|-⌫--|-⌫|---|----⌫-|-|-⌫--|
etdis tque lanuaxlahonie	-|---⌫|--|-----|||----|
de druerielerequist	-|------|-|------|
porco u queelel	--|--⌫|--|--||
le laidim ou tetau illa	-|----|-⌫--⌫|-|--⌫---|
de tele ami	-|---|--|
kimol tert coi nte	-|---⌫|--|---⌫--|
etnoble etfiere	-|----|-|----|
etm ixualoits aca n beriere	-|-⌫-|-----|-⌫|--⌫-⌫------|
lepluspou requil e seruoit	-|---|---⌫-|--|-⌫|------|
qu ela roine ne	--⌫|-|----|-|
lir oiss en corecaforme n t	-|-⌫--||-|-----|-----⌫-⌫|
iuré en asens ai re ment	----|-||--|-⌫--⌫--⌫---|
silne l epuet e ncortdes fe ndre	|-|-|-⌫|---|-⌫|---|---⌫--⌫---|
fe ra ardoirupendre	--⌫-|-----||-----|
canbreissi	-----|---|
d esesbarons	-⌫|--|-----|
demandatrois	------|----|
illesenuo ieporlanual	-|--|----⌫-|--|-----|
kia ssesa doloret	-|-⌫---||----|-|
as enostelertr euenus	|-⌫-|----|--|-⌫-----|
ias estoit bi enaperceus	-||-----|--⌫-|-------|
perdues a m ie	-----||-⌫-⌫-|
descou erte o t	------⌫---|-⌫|
sa d ruerie	-|-⌫-----|
enunecambre	-|--|-----|
p e nsixestoit et angousox	-⌫-⌫---|-----|-|-------|
samieparlemoltso uuen t	|---|----|---|--⌫----⌫|
mesn eliu aloit noient	--|-⌫|-|-⌫----|-----|
i lse plaignoitet	-⌫|-|--------|-|
sou s piroit	---⌫-⌫-----|
de u resaautres	|-⌫-⌫--||-----|
se pasm oi t	-|----⌫--⌫|
puislicrie centf oismerc i	---|-|---|---|-⌫--|----⌫|
kelep arlastason ami	|--|-⌫-----||--|--|
so ncuer et	--⌫|---|-|
sabou cem audist	-|---⌫-|-⌫-----|
ces tmerueillequenesoc i ist	|--⌫|--------|--|-||--⌫-⌫--|
settantc rier ne brair e	--|---|-⌫---|-|-----⌫|
soidebatrene soi d etraire	--|------|-|--|-⌫------|
k eleen uoelle merciau oir	|--|-|-----|----|--⌫--|
illepoissce ueoir	-|-|------|----|
alasconment se c on te nra	|--|------|-|-⌫--⌫--⌫--|
ci lcu il iroi sguerroiera	--⌫|--⌫|-⌫|---⌫|---------|
cilsont uenus iliontdit	--|---|---|-⌫|-|--|--|
kalaco rtuiegnesansrespit	||-|--⌫-|-----|---|-----|
l i rois lauoitpareusmandé	-⌫|---||----|--|--|-----|
lar oinel otencu sé	-|-⌫---||-|----⌫--|
asongr a nt doeul	|--|--⌫-⌫-|----|
ci lleu sc entocissienuoeul	--⌫||--⌫--⌫--|---|---|----|
ilestdeuantle roiuen us	-|--|-----|-|--|---⌫-|
moutestpensistaisans etmus	---|--|-----|------|-|--|
degrantdolormostroitsan blant	-|----|----|-------|---⌫----|
liro is lidistparmautalen t	-|--⌫-|-|---|--|--------⌫|
uass al uo sm auesmoutmesfai t	----⌫-|--⌫||---|---|------⌫|
m oltcoumencastes u ilain plait	-⌫--|-----------|-⌫----|----|
demoihounir e tauillier	-|--|-----|-⌫|-------|
roine laidengier	----|---------|
uantés uousestes defoli e	------|---|----|-|----⌫|
tropp arestno b l euost r e	---|-⌫-|--|--⌫-⌫-⌫|----⌫-⌫|
quantplusestbe le sa	----|---|--|--⌫-|-|
etplusuaillansq uelaroiene	-|---|-------|-⌫-|-|-----|
lanuaxdesfentsadeshonor	-----|------|-|-------|
et lahontedesonsegnor	-|-|----|-|--|-----|
de motenmot si	-|--|-|--|-|
que l aroinelerequist	--|-⌫|----|-|------|
mesdeceque ilotparle ́	--|-|-|--|-|-|-----⌫|
rec oneuti ls aue rite	---⌫----|-⌫|-⌫|--⌫---|
delamo rdont ilse uanta	-||---⌫|---|-|-|----|
do lansenest perdue	--⌫---|-|--|-----|
decel eurdist q ueil	-|-|-⌫--|---|-⌫-|-|
q uanque li	-⌫-----|-|
coursesg ardera	----|---⌫-----|
lir oisfu mout	-|-⌫--|-|---|
uers luiiré s	---|--|----⌫|
homesa com iurés	----||---⌫-----|
d ro i tquilen	-⌫--⌫-⌫|-|-|-|
doitf aire	---|-⌫---|
comn e lepu isseam alretraire	--|-⌫|-|--⌫---||-⌫-|-------|
cilontsonconmande ment fait	--|--|--|--------⌫---|---|
ueu sso itbe lu eussoit	|--⌫|--⌫-|--⌫||--|---|
communemeentison talé	-----------||---⌫|---|
s i ontiugiéetesgard é	-⌫|--|-----|-|------⌫-|
kelanuaxdoit auoiru nior	-|-----|---|----|-⌫|--|
mai spleg estr ui st as onsegnor	---⌫|----⌫-|--⌫--⌫-||-⌫-|-----|
ate ndrale iu geme nt	---⌫---|-|--⌫----⌫-|
etreuenraensonpresent	-|------|-|--|------|
co rsenforcié	--⌫-|--------|
n iafo r slama isni e	|||--⌫-⌫|-|--⌫----⌫|
auroi re u ienentlibaron	-|--|--⌫-⌫-----|-|----|
silim ostrerent la raison	-|-|-⌫--------|-|-----|
liroisa plegesd emande ́s	-|---||-----|-⌫------⌫-|
seus etesgare ́ s	---|-|------⌫-⌫|
n i auoit parentn i ami	||----|-----|-⌫|--|
gauains iuaquilepleui	------||-|--|-|----|
et touts i	-|---|-⌫|
conpa gnonap res	-----⌫---|--⌫--|
etdistlir ois i ele	-|---|-|-⌫--|-⌫|-|
sorquanqueuostenesdem oi	--|------|--|----|-|-⌫-|
fieset terre sc asc unspar soi	---|-|-----⌫|-⌫---⌫--|--|--|
qu ant pleuilontdont ni ot	--⌫--|----||--|---|-|-|
estasonostel	--||--|----|
l ic euali erlontconu oié	-⌫|-⌫-----⌫-||--|----⌫---|
moutlont bl ame ́etcast oié	---||--|--⌫---⌫|-|----⌫---|
ki l ne face sigrantdolor	|-⌫|-|---|-|----|----|
etmaudie nt	-|------⌫-|
safoleamor	-|---|---|
casconiorlaloientueoir	-----|--||------|----|
p orcou quiluoloie nt	-⌫-|--|-|-|------⌫-|
s iilbeustn eilm angast	-⌫|-|----|-⌫|-|-⌫-----|
moutdoutoientnesaf olast	---|--------|-||--⌫----|
aliorq ueil eurentnoumé	-|--|-⌫-|-|-----|-----|
libaron furentasanblé	-|----|-----|-------|
liroisetlaroineifu	-|---|-|-|----||-|
etli plegeon t lanual	-|-|----|--⌫|-----|
mo utestoientporluidolent	--⌫-|-------|--|--|-----|
ie cuitq uil	-|---|-⌫|-|
en iotte scent	-||-|--⌫|---|
kif esisse n t	-|-⌫------⌫-⌫|
t outlor pooir	-⌫--|--|----|
porl uisanspaitdeliureau oir	--|-⌫-|---|---|------|--⌫--|
ilestre tés	-|--|--⌫---|
demoutgranttort	-|---|----|---|
li roisdemandeler ecor t	-|---|------|-|-⌫----⌫|
seloncleclaim e tl esrespons	-----|-|----|-⌫|-⌫-|------|
orestdeltot en	-|--|--|--|-|
i l sonta uiugeme nt alé	-⌫|---|-⌫|------⌫-|---|
motsont pensiu	--|---|-----|
del franchomedautrepais	--|----|---||----|---|
quie n trexest	--|-⌫-⌫-|-|--|
sien trep r es	-|--⌫----⌫-⌫-|
enconbre rleueulentpluso r	--------⌫|-|------|-----⌫|
por le uolente lorsegnor	--|-|------|--|-----|
ce d istli dux de	-|-⌫--|-|--|-|
cornoualla	---------|
iae ndroitnosni arafaille	-|-⌫-----|--|-|--|-----|
carquikenplort ne	--|--||-|----|-|
quikencant	--||-|---|
estue taler auant	-----⌫|---|----|
li roisparlauers unu assal	-|---|----|---|-|-⌫----|
q ueieuousoinouni	-⌫-|-|---|-|--|-|
de fe lo unie lereta	-|--⌫--⌫---|-|---|
un meffaitl oco isonn a	-|------||---⌫-----⌫|
d u neamor dontilseuanta	|-⌫-|---|---|-|-|----|
e tmadames enco reca	-⌫|-|---||-|--⌫---|
nusnelapelefo rsroi	--|-||----|--⌫-|--|
pa rcelefoi	--⌫|---|--|
queieuousdoi	--|-|---|--|
e n ueutdireleuoir	-⌫|---|---|-|---|
deust responsauoir	----|------|----|
seporcounon	-|--|--|--|
quesonsegnor	--|--|-----|
doitonf aire	---|-|-⌫---|
part outhonor	--|-⌫--|----|
uns airement l	-|-⌫-------||
et liroislenou sp ard onra	-|-|---|-|---⌫|-⌫---⌫---|
etsilpoeut auoi rsongarant	-||-|----|----⌫|--|-----|
et samie uenist auant	-||---|-----|----|
et cef uuoi rsqu ei l	-|-|-⌫|---⌫-|--⌫|-⌫|
dont laroinesemarist	---|-|----|-|-----|
dece au ra il bienmerci	-|-|--⌫-|-|---|----|
quan tporuilte neldist	----⌫|--|----|-||---|
e ts il nepoetgarant auo ir	-⌫||-|-|---|-----|---⌫-|
d euon s fai resauoir	-⌫----⌫|---⌫-|-----|
toutson seru icepe rt del	---|--|----⌫--|--⌫-|--|
etsile cong i edes oi	-|-|-|----⌫-⌫|-|-⌫-|
alceualier on tenuoiié	-|-------|--⌫|-------|
etse liontditetproue ́	-|-|-|--|--|-|-----⌫|
q uesamie faceuen ir	-⌫-||---|---|---⌫-|
porluiten ser e t garantir	--|--|---⌫--|-⌫|-------|
il leur ad itquil	-|---||-⌫-|-|-|
ne porro it	-|-----⌫-|
n eiapa r lisecor s	-⌫|-|--⌫|-|-----⌫|
cils entorn ent as iugeo rs	--||-|----⌫--|-|-----⌫-|
kin atendoie ntnuls eco rs	-||--------⌫-|--|-⌫---⌫-|
li roisleshast o itdure ment	-|---|--|----⌫-⌫-|----⌫---|
quant ildeuoientde partir	----|-|-------|--⌫-----|
deuspucelesuirentuen i r	---|------|-----|---⌫-⌫|
