Acesteestoiredi reme	|----|------|--⌫-|-|
Bie na itla damequelportaet n orri	---⌫|-⌫-|-|---|---|----|-|-⌫---|
Car tuit en furentli pais	--|---|-|-----|-|---|
Ettuitli leuceseten bien	-|---|-|--|-|--|-|---|
Ou Damedeu	-|------|
etsisaintsont serui	-|-|----|---|----|
Biensoitdeleurequetelhome nas qui	---|---|-||---|--|--|---|---⌫--|
Tantesproecessontis sues	-----|------|---|--⌫---|
Que neldiroieenun moisaconpli	--|--|-----|-|-|---|------|
Desesbontezontli	-|--|-----|--|-|
Puisque lot	---|--||-|
Charlesd eNerbone	------|-⌫|------|
Mienescient	---|------|
tandiscom il	-----|--|-|
Ne fusa nzguerr e	-|-|--⌫-|-----⌫|
.i.seul anaconpl i	--|---|-|------⌫|
Et Damedeutell oierl en rendi	-|------|--|-⌫---||-|----|
Queenlafinsamor en	--|-|-|--||---|-|
C e fu ha ut edeserte	-⌫|-|--⌫--⌫|------|
Poruoi r uosdiq ani ceste	--|---⌫|--|-||-|-⌫----|
Puet enasseztrouersens et	---|-|----|-----|---|-|
Queiadisfu	--|----|-|
Aymerista nt prodo n	------|--⌫-|-----⌫|
Etensauie fist ta nt bien ce sauon	-|-|-|--|---|--⌫-|---|-|----|
finsermo n	--|-----⌫|
Nesd oitoir	--|-⌫--|--|
coarz nemauuesho n	----|-|-----|--⌫|
Nelosangiers ner ibausne	-|---------|-|-⌫----|-|
C ardesmauuesneuien t	-⌫-|--|-----|-|----⌫|
sehon te non	-|---⌫-|--|
Oirl a doiuent che u alier	--|-⌫|------|---⌫-⌫----|
et roiet c ilde bonrenon	-|--|-|-⌫-|-|--|----|
Etbo negentquientendent	-|--⌫-|---|--|--------|
Enaba ieet en relig ion	-|---⌫-|-|-|-----⌫--|
Doiten oirdAymerila chancon	---|-|--||-----|-|------|
Ia nela doit deffandre	-|-|-|---|--------|
t oztans escoute rla doi ton	-⌫-|---|-------⌫|-|---⌫|-|
Et en cares meetentote	-|-|-----⌫-|-|-|---|
ne pu e tnu s diresebien n on	-|--⌫-⌫|--⌫|---|-|---|-⌫-|
Nedellingnai equiissi	-|--|-------⌫|--|---|
del bar on	--|---⌫-|
No i le nonque s	|-⌫||-⌫|-----⌫|
diremauues ren on	---|-----|---⌫-|
uer ite zestenescri t l et rouon	---⌫---⌫|--|-|-----⌫|-⌫|-⌫----|
Que dAy meri etdelfortroiCharlon	--||--⌫---|-|--|---|--|------|
Doiuentmisestre enestoire	------|--|----|-|------|
ces.ii. deuerte	--|---|-|----|
Fudeffanduea forcee ta bandon	-|--------||----|-⌫||-----|
Cre stienteento re tenuiron	---⌫------|----⌫|-⌫|------|
S ecil nefusent deu ertel e dison	-⌫|--|-|-----|-|-⌫---|-⌫|----|
Tor nee fustt ote a perd icion	---⌫--|---|-⌫--||----⌫----|
Cre stiente etla	---⌫------|-|-|
loiqu e ten on	--|--⌫|---⌫-|
Q an ni creustIesuCriste t	|-|||-----|---|----|-⌫|
fuCharlesen	-|------|-|
sauieprodon	-|--|-----|
Fier setpu isa nz et	----⌫|-|--⌫---⌫-|-|
gr antrenon	--⌫--|----|
Que.uii. roisot	--|----|---|-|
ensasu biection	-|-|--⌫-------|
Quituit tenoien tde	--|---|-------⌫|-|
Et lenseruoientacoitedesperon	-||-|--------||----||------|
Parmaintefoizchanteuo senalo n	--|-----|---|-----|--⌫|-|||-⌫|
Que maintpaismaint	--|----|---|----|
chastelmaintdonion	------|----|-----|
Conquist roisCharle saforceet	-------|---|------⌫||----|-|
M aintSarrazin et	-⌫---|-------|-|
maint paien felon	----|----|----|
F istilliureragrant d est rucion	-⌫--|-|-----||----|-⌫---⌫-----|
Onques nuliorpaien ne	-----|--|--|----|-|
longued effans ion	-----|-⌫------⌫--|
Iusqu a ceuior	----||--|--|
qu eRollant le baron	--⌫|------|-|----|
E tOliuie r so nu aillant	-⌫|------⌫|--⌫|-⌫------|
conpa gnon	-----⌫---|
Perdi liroispar lagranttraison	----|-|---|--|-|----|------|
Qu e Ganes fis tengui se defelon	--⌫|----|---⌫|-|---⌫-|-|----|
Qui lesuendi auroiM arsilion	--|--|----|-|--|-⌫-------|
Etles .xx.mile qan diten la	-|--|---|---||-|--|-|-|
Q uifuren tmortpar s igr antm es pris on	-⌫-|-----⌫|---|--|-⌫|--⌫--|-⌫--⌫----⌫-|
EnlaterredEspangn e	-|-|----||-------⌫|
Preudomfu Cha r les a	------|-|---⌫-⌫--||
la bar beflorie	-|---⌫-|-----|
Gransuertuz fistDexporluiensa uie	----|-----|---|--|--|--|-|-|--|
Dontuos auezmainte	---|--|---|-----|
cha n conoie	---⌫-⌫--|--|
N e trouahomedesigran t	-⌫|----|---|-|-|----⌫|
Neamira ntneroidepai ennie	-|-----⌫-|-|--|-|---⌫----|
o t uerslui neguerre n eanuie	-⌫|---|--|-|-----|-⌫|----|
nessill astsanznulega ranti e	|------⌫--|---|---|--⌫-----⌫|
Ouocci stenbat aillef ornie	-|----⌫-|-|---⌫----|-⌫----|
Nel potguerirchastelne tor	--|--|-----|------|-|--|
M ai ntemir aclelifistDex	-⌫--⌫--|---⌫---|-|---|--|
E spa ngnealaen ostban ie	-⌫---⌫---|--|-|--|---⌫-|
Oil m enasigra nt che ualerie	|-|-⌫--|-|---⌫-|---⌫------|
Et tant d egentconbatantethardi	-|---|-⌫|---|--------|-|----|
Pr ise otBarbastree tNobles	--⌫--|-|--------|-⌫|-----|
Etot conq uise	-|-|----⌫---|
la citedeLer ie	-|---|-|---⌫-|
Bien eust lors s a beso ng neforni e	---|---|---|-⌫|----⌫--⌫-|-----⌫|
terrefust ensac on mendie	----|---|-|-|-⌫--⌫-----|
DetoteEspangneetdetotePersi e	-|---|-------|-|-|---|-----⌫|
Eust il lorstote la	---|-|---|---|-|
SenefustGanes quipa rtel felon nie	-|-|---|----|--|--⌫|--|-----⌫--|
uan diRo ll anta	---⌫-|--⌫--⌫--||
lachiere hardie	-|-----|-----|
EtO l i uie r et	-|-⌫-⌫-⌫---⌫|-|
lautre conp an gn ie	|----|----⌫--⌫--⌫-|
QanRanceuax fu rent mortparenuie	|-|-------|--⌫---|---|--|----|
sotC ha rlesalabarbe	--|-⌫--⌫---||-|----|
ne sth om qui ledie	|-⌫-|-⌫-|--|-|--|
Mesapre sce .iii.iorz netariamie	--|----⌫|-|----|---|-|----|--|
Queiluencha sa	--|-|-----|-|
richebaronnie	----|-------|
C arsusMar silease nbla s o stba nie	-⌫-|--|---⌫---|---⌫---||-⌫-|--⌫--|
Soci strenttantdelagentpaiennie	|---⌫-----|---|-|-|---|-------|
Cou erte enfu plus de	---⌫---|-|-|---|-|
Tout elau o i eet laplace	----⌫|-|-⌫-⌫-⌫|-|-|----|
Sienchac ieren t parmol t fiereaatie	-|-|----⌫-----⌫|--|---⌫|----|----|
Marsilionetsagentmaleie	--------|-|-|---|-----|
Pui s reuintCharlesu ersFrance	---⌫|-----|------|-⌫--|-----|
Ir ie zettristes decene	--⌫--⌫|-|------|-|-|-|
Fran cois reperentcha scun smoltse gra mie	----⌫---|-------|---⌫----⌫|---|-|---⌫--|
Biensenblen tgent q ui	---|-------⌫|---|-⌫-|
moltsoittrau eillie	---|---|----⌫-----|
Charlescheuauch ederriers s aconpangnie	------|--------⌫|-------|-⌫|---------|
Desoz luiot .i. m u le tdeSulie	----|--|-|--|-⌫-⌫--⌫|-|----|
D es.xii . pers fet chieremoltmarrie	-⌫-|----⌫|---|--|-----|---|-----|
lo rame s I esu Cri stf ormen tprie	--⌫|---⌫|-⌫--|---⌫-|-⌫-----⌫|---|
lesm ete enpar dur ableuie	--|-⌫--|-|---⌫---⌫---|--|
B i ausn ies distiluo streameso it garie	-⌫-⌫--|-⌫--|---|-|--⌫---|--|--⌫-|----|
Enpa r adis coronneeetflorie	-|--⌫-⌫---|-------|-|-----|
Que diraio re e nFrance la	--|----|-⌫-|-⌫|-----|-|
Denise n lames tre aba ie	----|-⌫|-|---⌫--|---⌫-|
Latroue railagrant cheualerie	-|-----⌫--|-|----|---------|
Dem ande ro n tdelagrantbar onni e	---⌫----⌫--⌫-⌫|-|-|----|---⌫----⌫|
Queen Espang ne	--|-|------⌫-|
menaiparaatie	----|--|----|
Qu edira igedamesainte Marie	--⌫|----⌫|-|---|-----|----|
ForsqanEspangnee stmorte	---||-|-------|-⌫-|----|
etenf o ie	-|---⌫-⌫-|
Sire dist Naimes neditestel f olie	---|---|-----|-|----|--|-⌫---|
Leduel quefaitesne	-|---|--|-----|-|
uosua lt u nealie	--|--⌫-|-⌫-|---|
Mortsontli	---|---|-|
reco uerroizmie	----⌫------|--|
Ceafait Ganes que	-||---|----|--|
uoi redis t C harles b ienaFrance honnie	---⌫-|---⌫|-⌫-----|-⌫--||-----|-----|
.III Ic. anz etplusapresma	----⌫--|--|-|---|----|-|
De lauenc hance	-|-|----⌫----|
s era c han c ono ie	-⌫--|-⌫---⌫-⌫-|-⌫-|
Atant l e less entsont l oruoieaco illie	----|-⌫|----⌫--||--|-⌫-|---|---⌫----|
Charl esetsa conpangne	-----⌫-|-|-|--------|
Granzfuliduelsqueuos	----|-|-|----|--|--|
m oezconter	|--|-----|
Quedemenoie ntlibaron et lipe r	--|--------⌫-|-|----|-|-|--⌫|
A tan t deg ent	|---⌫|-|-⌫--|
com ilpo tramener	--|-|--⌫|------|
SenreperoitCharlemaine li	|-|-------|----------|-|
Nostreemperere	-----|-------|
aun pu id eualer	|-|--⌫|-⌫-----|
Si comil dut.i.	-|--|-|--|--|
haut tertr e	---|-----⌫|
P ardeuersdestresepristaregarder	-⌫-|-----|-----|-|----||-------|
Entre.ii. rochespr esdu nre gort de	----|---|-----|--⌫-||-⌫|--⌫---|-|
Desus unpui uituneuileester	----|-|--|--|--|---|----|
QueSa rraziniorentfetfe rmer	--|--⌫-----||----|--|--⌫---|
Moltbi e nf uclosedemur et	---|--⌫-⌫|-⌫|----|-|--|-|
Onquesplu sfo rtneuit hom conpa sser	-----|---⌫|--⌫-|-|--|--|-----⌫---|
uirentlarb roie con tre	-----||---⌫---|---⌫--|
le u entbrenler	-|-⌫--|------|
D iset da ubors q	|-|-||-⌫----||
an i otfetpl anter	-||-|--|--⌫----|
Plus biaud eduit nepotnusr e garder	---|---|-⌫----|-|--|--|-⌫-⌫-----|
.XX.torsiotfetesde lio iscl er	---|---||-|----|-|---⌫-|--⌫-|
Etu n e enmiqui moltfista l o e r	-|-⌫-⌫|-|-|--|---|---||-⌫-⌫-⌫|
elm o nt ta ntsach e deuiser	-|-⌫-⌫-|--⌫-|----⌫|------|
Ni couenist . i.i or	||-------|-⌫-|-⌫-|
d esteus er	|---|--⌫-|
Siluoloitbientotelue ure aconter	|-|-----|---|---||--⌫--|------|
Que paienfir ent enc ele tor	--|----|---⌫--|-|-⌫--|--|
Les creniax firent	--|------|-----|
toutaplon s cele r	---||---|-⌫----⌫|
Iusquas ba t aillesot . i. arsque giter	----|-|--⌫-⌫-----|-|-⌫-|--|--|----|
Susase s tagesd elpal esprinciper	--|-|-⌫-⌫----|-⌫-|---⌫-|--------|
Ot .i.pomeldefinord outre mer	-|--|----|-|--|-||-----⌫--|
Unescharb ocleiorentfetfermer	-|-------⌫---||----|--|-----|
Quiflanbeoit	--|--------|
etreluisoitmol t c ler	-|--------|---⌫|-⌫--|
Co mlisolauzquiau maindoit	--⌫|-|-----|--|-|---|---|
Parnuitos c u resanzmenconge con ter	--|---|--⌫-⌫-⌫-|---|-------|---⌫--|
D e .iiii. liueslepuet	-⌫|-----|----|-|---|
enesgarder	-|-------|
Dautrepartestlagreuede	-----|---|--|-|----|-|
pa rtAudequim o ltpuetrauiner	--⌫-|---|--|-⌫-⌫-|---|------|
Quiloramoineqanquilseuent	--|--|-----|----|-|-----|
Agranzdromonzquila fontarriuer	|----|------|--|-|---|------|
Fontmarcheant lesgranzauoirsp orter	---|--------|--|----|-----|-⌫----|
Dontla citefontsibienrasazer	---|-|---|---|-|---|------|
Queriensni	--|----|||
ans achedeu iser	-|-⌫---|---⌫---|
Qu imestie r ait acorsdo meenno re r	--⌫|------⌫|--||---||-⌫-|----⌫--⌫|
Lacite prentli r ois a	-|---|----|-|-⌫--||
Dedanzso ncuer	-----|--⌫|---|
f ormentagoloser	-⌫-----||------|
Son dru Na imon	--|--|--⌫---|
en prist aap eler	-|----||--⌫---|
Biauss ireN aimescedistCharlesliber	----|-⌫--|-⌫----|-|---|------|-|--|
Ditesm oit ostnelmedeuez	----|-⌫-|-⌫--|--|-|----|
Qui est t eluil equi	--|--|-⌫-|---⌫|--|
tantfet aloer	---|--||---|
Cil qui latientsepuet	--|--|-|----|-|---|
tresb ienua nter	---|-⌫--|--⌫---|
Qantotlemontcecuiti e	|-|--|-|---|-|---|-⌫|
Necrien t uoi sinquil epuise	-|-----⌫|---⌫--|--|-⌫|----|
Mesparlapostre quelendoit aorer	--|--||------|--||-|---|----|
Cilquien France sen uodront	--|--|-|-----||-|------|
P armi cespor teslescouen d r ap aser	-⌫---|--|---⌫--|--|-----⌫-⌫-⌫|-⌫---|
Cargeuosdito utpor	--|-|--|-|--⌫-|--|
uoirsanzfauser	---|---|-----|
Quel a citeuodre ge conquester	--|-⌫|---|----|-|---------|
Ainz qu e menaille	---|--⌫||-|----|
NaimesentantC har lemaineleroi	-----|-----|-⌫---⌫------|-|--|
Qui sesbarons a mis	--|--|-----||--|
I lliad it belementen	-⌫|-||-⌫-|-------|-|
Sire fetilparDeu	---|--|-|--|--|
merueillesoi	---------|-|
Neu ime s homeplain desigrant	-|-⌫|--⌫|---|----|-|-|----|
Me sbiensachiezpar lafoi queuo s do i	--⌫|---|------|--|-|--|--|--⌫|--⌫|
Sau o iruolez	|--⌫-⌫-|----|
la citequeciuoi	-|---|--|-|--|
chierenacheta stes ce cr oi	-----||------⌫---|-|--⌫-|
Quil nasi f ortiusqu	-|-|||-|-⌫--|----|
auua ld eMartroi	-|--⌫|-⌫|------|
Ne crienta saut perrier en e berefroi	-|-----|-⌫---|-------⌫|-⌫|-------|
Ci lque latientaleianzauec soi	--⌫|--|-|----||-----|---|--|
.XX . m Tursqui moinentgran t boufoi	---⌫-⌫|---|--|------|----⌫|-----|
Sia ch ascuns	-||--⌫-----|
etarmes e tconroi	-|----|-⌫|-----|
Ned outentsiegeuaillisa nt.i.baloi	-|-⌫-----|----|--------⌫-|--|----|
Ettuitnostreho me so ntsilas par moi	-|---|-----|--⌫-|--⌫-|-|--|--|--|
Q ueunefameneu ale nt	-⌫-|--|---|-|-⌫---⌫-|
pas litroi	--|-|---|
Nauezb ar onprince conte	|---|-⌫--⌫-|-----|----|
Quiaittalantd asaut nedetornoi	--|--|-----||----|-|-|-----|
n ontdestri ernemurn epalef roi	|--|------⌫-|-|--|-⌫|-----⌫--|
Quia ubesongua usist	--|-⌫|-----|--⌫----|
neceneco i	-|-|-|--⌫|
mengie fors	-----|---|
qu efuerre etherb oi	--⌫|-----|-|----⌫-|
Sin au ezhome	-||--⌫-|---|
nesunsicom gecroi	----|-|--|-|---|
Qui puist portern earmesne conroi	--|----|-----|-⌫|----|-|-----|
Tantonteude	---|--|-|-|
t ra uail etdennoi	-⌫--⌫---|-||----|
D roizenpe rere gele	-⌫---|----⌫---|-|-|
d iendroit moi	-⌫|------|--|
Quegeuoudr oie est refoiqueuos	--|-|-----⌫--|---⌫-|--|--|--|
de Baiuiere	-|-------|
Qua ntCh arlema ine ot Naimon escoute	---⌫-|--⌫------⌫--|-|-----|------|
De ma uta la nta	-|--⌫---⌫--⌫-||
toutlesensmue	---|-|---|--|
Silir espont iriezcomme sengler	-|-|-⌫-----|----|----|------|
BiaussireNaimesor nensoi t	----|---|-----|-||-|---⌫|
p luspa rle	-⌫--|--⌫--|
qu ed oiau roi de maie ste	--⌫|-⌫-|-|--|-|----⌫--|
Ienen terraien F ranceleregne	-||--⌫-----|-|-⌫----|-|----|
Iusqueieaieconquise la	-----|-|--|-------|-|
Alezuos en seiluo suient	---|--|-|-|-|--⌫|----|
Mesparlafoiquedoisa int	--|--|-|--|--|--|--⌫--|
au tsachie zier emendr e	--⌫|------⌫|-|-⌫------⌫|
SiredistNaim esmerc i por amorDe	---|---|----⌫-|----⌫|--|---|-|
Aiezpitiede	---|----|-|
ceuostr e barne	-|-----⌫|----|
Quetantaueztraueilli eetpene	--|---|---|---------⌫|-|---|
Leis siez biaussire estercestecite	----⌫---|----|---|----|----|---|
Ianelauroiz	-|-||-----|
nuliorde u ostreae	--|--|-|-⌫----|-|
S eDexni faituertuzpar	-⌫|--|||---|-----|--|
Si uosdiraidec e la	-|--|----|-|-⌫|-|
Paienuo sontde	----|--⌫|--|-|
sans contrepase	---|---------|
Lor chemin ontdesozterre cheue	--|-----|--|----|----|----|
Molttosts ensont par ileques	---|---||-|---|--|------|
En Sarrago ce	-|-------⌫-|
s eilloruienta gre	-⌫|-|--|----||--|
E ta Tolose on tlorc heminfe rre	-⌫||-----|--⌫|--|-⌫----|--⌫--|
EtaOre nge qui tanta	-||---⌫--|--|---||
Dontt ostauroient	---|-⌫--|-------|
le sec ors amene	-|---⌫--|----|
Sau iez ore asisela	|--⌫--|--|----|-|
Charl eslantanttout alesan s mue	-----⌫-||-----|---||-|---⌫|--|
Naimo napele	-----⌫|----|
Biaus sireNai mescomanonl acite	----|---|---⌫--|--||--|-⌫|---|
Sirefet il	---|--|-|
ianeuoser tcele	-|-|--|--⌫|---|
Nerboneanonc est fineuerit e	------||--||--|---|-----⌫|
Ca rge laibienenquis	--⌫|-||-|---|-----|
montsirichefermete	---|-|----|------|
Plusd e.x x.toisesontlifosedele	---|-⌫|--⌫-|-----|--|-|---|-|-|
E tau tretant sontenparfontcheue	-⌫|--⌫------|---|-|------|----|
de mercortparmi le fosse	-|--|---|----|-|----|
Aud e lagrantsac hiezdeuerit e	---⌫|-|----|---⌫---|-|-----⌫|
Atotento r lemurauironne	|--|----⌫|-|--|-------|
Pa rilecuienentli grant	--⌫|---|------|-|----|
dromon tferre	------⌫|----|
Etle sgaliesplainesderich ete	-|--⌫|-----|------|-|----⌫--|
Dont c il sont riche	---|-⌫-|---|----|
d elabonecite	-⌫|-|---|---|
Qan tdelaporteontle	---⌫|-|-|----|--|-|
clauelfe rme	-----|--⌫--|
Etl ipo rtier sasusle pont leue	-|-⌫|--⌫-----⌫||--|-|---|---|
Lorspu entestretresbie naseure	---|--⌫--|----|---|---⌫|-----|
redout e nt homedemerene	------⌫-⌫-|---|-|---|-|
Ne les prandroittoutec restient e	-|--|--------|----|-⌫--------⌫|
Charles lan tant	------||--⌫---|
s ena unrisgite	|-||-|--|---|
aiecom est	--|--|--|
bien en cont re	---|--⌫----⌫-|
coraiead ure	-----|--⌫--|
E stce Nerbo ned ont lenmatant conte	-⌫-|-|-----⌫-|-⌫--||-|||---|----|
Quitou te Esp a ngnesormontede fierte	--|---⌫-|---⌫-⌫---|-------|-|-----|
Qantoip ris	---|-|-⌫--|
NoblesetretenuForre	-----|-|-----|----|
Lo rsmis t	--⌫-|---⌫|
ses gardesenice ste	--|-----|-|---⌫--|
Que i l l a	--|-⌫|-⌫|
dutgard erasauuete	--|----⌫-||------|
Sire dis tNa i mesparfoi c	---|---⌫|--⌫-⌫--|--|--||
Mes Sarraz in	--|------⌫-|
n orentpasoublie	|----|--|-----|
Puisque iluirentRollant	---|--|-|-----|------|
Sisasenbl erent licu uertdeffae	-||------⌫----|-|--⌫---|-----|
Si r asa il lirentceste grant	-|-⌫---⌫--⌫-----|----|----|
Etsil asis trent enuirondetotle	-|-||----⌫----|------|-|--|-|
Mainte perr ierei	-----|----⌫---||
orenta mene	----|-⌫---|
Tant asaillirent l i	---|----------|-⌫|
glotonpa riu re	-----|--⌫---⌫-|
m ainsd unmo is	-⌫---||-|--⌫-|
sessirentlacite	--------|-|---|
Si fur enttuitcildedanzde sme nbr e	-|---⌫--|---|--|-----|--⌫---⌫---⌫|
Orontpu is	-|--|--⌫-|
tantp aienfait etouure	---|-⌫---|---|-|----|
Quer efait ontles murs querentcasse	--|-⌫----|--|--|---|-|----|----|
Et tote nto r l ifoserepare	-|--|-⌫---⌫|-⌫|---|-----|
A parfondi sont	-⌫-------|---|
molt e t releue	---|-⌫|-----|
Char le slentantt otale	----⌫--⌫||-----|-⌫-||-|
Naime sdisti l	-----⌫|---|-⌫|
qui tient la f ermete	--|----|-|-⌫-----|
En nonDeu sire ia ne uos	-|--|--|---|-|-|--|
RoisBaufumezet li rois Desrames	---|-------|-|-|---|-------|
Et AgolansetDromonslibarb es	-|------|-|------|-|----⌫-|
Etauecaus.xx.mpaien	-|---|--|----|----|
Qui Deunecro ientleroi de maieste	--|--|-|---⌫---|-|--|-|------|
Nesa mer ehautisme	-|-|---⌫|-------|
Di st l e np erer e	--⌫-||-⌫--⌫----⌫|
Tendro izlauosde moi	------⌫-|-|--|-|--|
Sire distNai mesnanilen moiefo i	---|---|---⌫--|----|-|---|--⌫|
C artropson t	-⌫-|---|---⌫|
plaind orgueil etdebofoi	----||------|-|-|----|
prisentuaillisa nt.i. balo i	------|--------⌫-|--|----⌫|
Ai n zq ue lai e zparlafoique uos	--⌫-⌫|-⌫-||--⌫-⌫|--|-|--|--|--|
Isero izuos	|----⌫-|--|
.i. ansicom g ecroi	--|-|-|--|-⌫|---|
N ai mes dist Charles foi quedoiDeu	-⌫--⌫--|---|------|--|--|--|--|
Ainz quem enparte	---|--||-|----|
lorferaiteltornoi	--|----|--|-----|
Neles garra	-|--|----|
neha utmurne berfr o i	-|--⌫-|--|-|-----⌫-⌫|
Ainzqu e geaille en	---|--⌫|-|----|-|
Fra nceoualer doi	---⌫--|-|---|--|
uodraienzmetrela crestienneloi	-----|--|----|-|---------|--|
Un d e mes	-|-⌫|--|
pe rslalesserai ce	--⌫-|-|-------|-|
enr endra s eruis e	-|-⌫----|-⌫-----⌫|
Charleslirois	------|-|---|
fumol tdegrantcoraie	-|---⌫|-|----|-----|
Laciteuoitet	-|---|---|-|
C afo rcetienentli Sa rrazi naufai e	||--⌫--|------|-|--⌫-----⌫|-----⌫|
Lorss apansademerueillexbarn aie	---||-----|-|---------|----⌫--|
C a u ndespersq uiert	||-⌫|--|---|-⌫|---|
degrant uasel ai e	-|----|-----⌫--⌫|
Donrala uile etlemestre menaie	----|-|---|-|-|-----|-----|
Quigarderalaterreetle	--|------|-|----|-|-|
Silanferafeauteetomaie	-||-|---|-----|-|----|
Il enapele.i. cont e	-|-|----|--|----⌫|
Dre uesotnonmolt letint	---⌫--|-|--|---|-|---|
a ueuChar lesau fieruisaie	|--|----⌫--|-|---|-----|
Genteme ntl	-------⌫-||
areso n ne	-----⌫-⌫-|
uenezauantDreu es	----|----|----⌫-|
de Mond idier	-|----⌫----|
fizde gentil cheual ier	--|-|-----|------⌫--|
S iuosdoit en ameretten irchier	-⌫|--|---|-|---|-|---⌫-|----|
T enez Ner bone	-⌫---|---⌫---|
auo slaueil	|--⌫|-|---|
terreauroiz aiostissier	----|-----||---------|
DeNerbonoisdeciaMontpellier	-|--------|---||----------|
Quantcil lantantsi seprist	----|--||-----|-|-|----|
S irefetilmieneuos	-⌫--|--|-|--|-|--|
Liuis deable s la puisetrebuc hier	-|--|------⌫|-|----|------⌫---|
Foiquedo i u osainco is.i.mois	--|--|--⌫|-⌫-|-----⌫-|--|---|
uodraigeest re	-----|-|---⌫-|
paisarrier	---|-----|
feraicoust eiret ba ngn ier	----|-----⌫--|-|--⌫---⌫--|
Cartoz sui lasn e mepuis	--|--|--|--|-⌫|-|---|
p reu a idier	-⌫--|-⌫----|
Sau roiemoltder ep osg rantmestier	|--⌫---|---|-|-⌫--⌫-|-⌫---|------|
Droize np erer e a cele r	----|-⌫--⌫----⌫||----⌫|
nel uos quier	--|--|----|
Ienai r onc in palefroinede stri er	-||-|-⌫---⌫-|-------|-|--⌫----⌫-|
Quimestie raitn e	--|------⌫|--|-⌫|
mesaescorchie r	--||---------⌫|
Etgemeismespresa d un	-|-|------|---|||-|
.iii .nuiz	----⌫|---|
sanz mon haubercdo blie r	---|--|------|--⌫----⌫|
Nene fi naiderrernedosto ier	-|-|--⌫--||----|-||----⌫--|
Etde monco rsp enerettraueill ier	-|-|--|--⌫-|-⌫---|-|--------⌫--|
Ormeroffrez N er b on e	-|-|------|-⌫--⌫-⌫--⌫|
ai ostissier	|-⌫--------|
Queenco rtienentde paiens.xx. millie r	--|----⌫|------|-|-----|---|------⌫|
D onezlaa utre en pe rereau uis fier	-⌫---|-|-⌫---|--⌫--⌫---|-|--|---|
Cargenenaiquefaire	--|-||-|-|--|----|
Distlenpe r erealaba rbe florie	---||----⌫-⌫--||-|--⌫--|-----|
uenezauan t Richartde	----|----⌫|------|-|
u ose stesdusde	-⌫-|-⌫---|--|-|
molt grantseignorie	---|----|--------|
Si estesplains de	-|----|-----|-|
grantcheualer ie	----|--------⌫-|
TenezNerbonepre nez enl a	----|------|---⌫--|-|-⌫|
De moitendr oizces teterr egarnie	-|--|-----⌫--|---⌫-|----⌫|-----|
Iatan tcompu is s ee l	-|---⌫|--|--⌫--⌫-⌫|-⌫|
corsauo irla	---|---⌫-|-|
Nenperdroieuo suaillisan tune	|-|-------|--⌫|---------⌫|--|
Qantcilla ntantd ur ementsen	---|--||-⌫----|-⌫--⌫----||-|
Siref e ti l	---|-⌫-⌫|-⌫|
uo s p arlezde foli e	--⌫|-⌫----|-|----⌫|
T antai esteen laterre	-⌫--|-|---|-|-|----|
enai lacha rt ai nte	-|-|-|---⌫|-⌫--⌫--|
