pou rce que	---⌫|-|--|
iluous prie ieet	-|---|---|-|-|
requi er queuous	-----⌫-|--|---|
c estechoseme tezenres pit et	-⌫---|----|--⌫--|-|---⌫--|-|
ieuo uss au rai	-|--⌫-|-⌫--⌫--|
bi endire l	--⌫-|---||
euree tletempsquebonsera	---|-⌫|-|----|--|--|---|
qua ntl ibaronl	---⌫-|-⌫|----||
o ntentendu	-⌫-|------|
adont n iotceluiqui	----|||-|----|--|
alastaud euant aincoison tdistsire orsoit	----|-|-⌫----|------|--⌫|---|---|-|---|
plai ra lachoseestatantde moureeetpassa	----⌫-|-|----|--|----|--⌫-----|-|----|
damoi s i aussi	-----⌫-⌫-⌫--|-|
pourpe n sezque tant quil auoit	------⌫-⌫--|--|----⌫-|-|----|
l a pen see que	-⌫|---⌫--|--|
ilauoitlorsqu e	-|----|---|--⌫|
iafemm e n es pouseroit quartrop	-|----⌫||--⌫--------|---|---|
amoituirginiteetbieny parut	----|--------|-|---||----|
auso euuresque i l	--|-⌫-----|--|-⌫|
m oustroit quarildisoi tnientnepuis t	-⌫-------|---|-|-----⌫|----|-|----⌫|
homspechieren	---|------|-|
lux uresiestoitceun e c h osequim oult deuoi t	---⌫--|-|-----|-|--⌫|-⌫-⌫--|--|-⌫---|-----⌫|
despla ire	------⌫--|
ahonnestede cor set ceste parole d ist	|-------|-|---⌫|-|----|-----|-⌫--|
ilmainte foys	-|-----|---|
et es to it	-|--⌫--⌫-|
reprispluiseurs foisc ontreluiquei roie ie	-----|--------|---|-⌫----|--|--|-⌫---|-|
duralo nsetpassa ettantqueausprincesdu	---|--⌫-|-|----|-|------|--|------|-|
paysanu ia m oultet sontderechie f	---|---⌫-|-⌫---|-|---|--------⌫|
uenu sens ambleet dient	----⌫|---⌫----|-|----|
entreulzquemoults	---|---|--|----||
esmerueilloient deleur	--------------|-|---|
sei gneu r com menti lne li pre noit nu leuolent e defemme	---⌫----⌫|---⌫---|-⌫|-|-|---⌫---|--⌫-|------⌫|-|----|
et t antquilyot un sage	-|-⌫----|-||-|-|---|
hommequid istquesans auc uneraison	----|--|-⌫--|--|---|---⌫--|-----|
nestoit cepas	|-----|-|--|
adontpa rl auns autr es etdit	----|--⌫--⌫|--|----⌫-|-|--|
b iaussei gneur scesachiez que	-⌫---|---⌫-----⌫|-|------|--|
sag esn ostre	---⌫-|-⌫----|
damoisiaus d ont	---------|-⌫--|
ieuou sd ique seil a	-|---⌫|-⌫|--|-|-||
auteldefinementcommeila bo ncommence mentil passera	----|---------|----|-||--⌫|--------⌫---|-|------|
touzsesanc esseurslapar olequec is	---|--|---⌫------|-|---⌫--|--|-⌫-|
dist am oult	---||-⌫---|
les autresm euset ontdistqu	--|-----|-⌫--|-|--|---|-|
il u oudr ontsauoir	-|-⌫----⌫--|-----|
aleurs sorsqu elfinlid amoisia usp rendraal ui	|----|---|--⌫-|--|-|-⌫-------⌫-|-⌫-----||-⌫-|
ilontfait cerc hier desplus	-|--|---|----⌫---|--|---|
sages maistres	----|-------|
etleu rontdis tet	-|---⌫|--|---⌫|-|
promis queonmeist	-----|--|-|----|
ce que ons eust la	-|--|-|-⌫---|-|
ue rite decestechose	--⌫---|-|----|----|
cilse sontt raitensamble et	--|-|---|-⌫---|-------|-|
o ntesg arde ́et	-⌫-|---⌫----⌫|-|
lacir con stance des	-|---⌫---⌫-----|--|
estoillesqu e li emper eres	--------|--⌫|-|-----⌫---|
femmeet couue ndroit qu e	----|-|-----⌫-----|--⌫|
liplu sgentilsh omsdu	-|---⌫|------|-⌫--|-|
paysfu ssent des truit	---|--⌫----|---⌫----|
par lesensdel empereris ne	--|-|---|-||--------|-|
nepooitestre de stourbé	-|----|----|--⌫-------|
quantlim aistre ontce	----|-|-⌫-----|--|-|
seua don tfurentil mo u lt	--|-⌫---⌫|-----|-|--⌫-⌫-|
esb ahizilsontrepairié	---⌫---|-|---|--------|
mou ltpensis etquant	---⌫-|-----|-|----|
les ont ueusadont leur ontde man de ́	--|--|---|----|---|--|--⌫---⌫--⌫|
quelchiere	---|-----|
f aites uous	-⌫----|---|
parfoy b iausseigne ur sdi entil	--|--|-⌫---|------⌫--⌫|--⌫--|-|
no usne poonsfa ire bonne	--⌫-|-|----|--⌫--|----|
chiere lor sson tc il mou lt	-----|---⌫|---⌫|-⌫-|---⌫-|
engr ant de s auoirleurtresgrantanui	----⌫--|-|-⌫----|---|---|----|---|
et distrent	-|-------|
or tos t dites nousceque	-|---⌫|----|---|-|--|
uousauez trouué	---|---|------|
sau oira dontparla liunsdes	---⌫--|-⌫---|----|-|--|--|
et dist nou s uo usl oerions	-|---|---⌫|--⌫-|-⌫------|
pou r lemiexqueuou s	---⌫|-|---|--|---⌫|
deportissié sdecesauoirqu enous auon s	------------⌫|-|-|-----|--⌫|---|----⌫|
trouue ́po urce	------⌫|--⌫-|-|
distli plusgentilzhomsde touzquen ou sle	---|-|---|------|---|-|---|--|-⌫--⌫|-|
uolons sa uoir	-----|--⌫---|
uousauo nsnous pr iéque uous no usen	---|---⌫-|---|--⌫--|--|---|--⌫-|-|
faciezsagesireuoiredist cismaisquant uous	-----|---|---|----|---|--|---|----|---|
les aurezuouse nsere z tous	-|-⌫----|---|-⌫|----⌫|---|
dolansp arfoy	-----|-⌫-|--|
dit cilseiedeuoie toutmai ntenant morirsil e	--|--|-|-|-----|---|---⌫------|----|-|-⌫|
ueuliesauoir adont n io tce lui	---|-|-----|----|||-⌫|--⌫--|
desmaistres	--|-------|
quinai tmoult d ur ementp louréetdis t r ent	--||--⌫|----|-⌫--⌫----|-⌫-----|-|---⌫-⌫-⌫--|
plus auant enparloientceseroitmaugre euls	---|----|-|--------|-|-----|-----|---|
t outesuoies	-⌫----|----|
dientcil le uolo nsnoussauoir	----|--|-|----⌫-|---|-----|
lors quantil	---|----|-|
uirent quei l nesenp o oien tescon dire silor	-----|--|-⌫|-||-|-⌫-⌫----⌫|-----⌫---|-|--|
t outceq u e ilon t trouué queil	-⌫--|-|-⌫-⌫|-|--⌫|------|--|-|
d enu leriensme nti	-⌫|--⌫-|----|--⌫--|
qu antlibaronontce entenduadontniot	--⌫--|-|----|--|-|------|----|||-|
ro ugisdemau talentpuisleuront	--⌫---|-|---⌫-----|---|---|--|
r es pondu	-⌫--⌫----|
touzensamble see ulzd autre choseles uoloient	---|-------|-|-⌫--||----|----|--|-------|
espoente r	--------⌫|
sire die nt ilaincoisso m mesmoultdolent	---|---⌫-|-|------|--⌫-⌫--|----|-----|
quantnousleuo us	----|---|-|--⌫-|
auons gehi se nouse n	----|---|-|---|-⌫|
peus sonsale r	----⌫---|---⌫|
alencontremais	||-------|---|
nousuousauons dittou t	---|---|----|--|---⌫|
adontsesontli	----|-|---|-|
co nte tr aitaconsei letont l u n	--⌫--|--⌫--||------⌫|-|--||-⌫|
lautreesgardé etfu rent mo ult esbahybiausseigneu rs	|----|-------|-|--⌫---|--⌫--|-----|----|-------⌫-|
liuns d euls nesoionspas esba his	-|--||---|-|-----|--|----⌫--|
aincois esploitons	------|---------|
c hose s a ge ment s eloncl e meschief quaruoirse s t	-⌫---|-⌫-⌫--⌫---|-⌫----|-⌫|-------|---|----|-⌫-⌫|
quenu lznepuetdest ournerceque	--|--⌫-|-|---|----⌫-----|-|--|
auenir doit	-----|---|
sil e faisons	-|-⌫|------|
no uscouue ndra ui ur eauplu ssagementque	--⌫-|-----⌫---|--⌫--⌫|-|---⌫|-------|--|
nousporrons et dautre part ilcouuient que	---|------|-||----|---|-|-------|--|
ce stecho se	--⌫--|---⌫-|
quarsorn ouset sor ce ulz quiap resnous	---|--|-⌫--|-|--|--⌫--|--|--⌫--|---|
uen drontcouuientc heoir cestebuche si nous	---⌫----|-------|-⌫----|----|----|-|---|
deduisonss agementennondieu dient	--------|-⌫------|-|--|---|----|
tuitliplus	---|-|---|
pr oisié ilcouuientquenulz ne	--⌫-----|-|-------|--|---|-|
sa checeste	--⌫--|----|
cho sequar	---⌫-|---|
se ile stoit	-|-|-⌫----|
s e unousen serionsm ainsprisié	-⌫-⌫|---|-|------|-⌫---|------|
lors onteu conseilentreulz comment	---|--|-|------|---|---|------|
ilporroiente sploitier	-|--------|-⌫--------|
pour lemiexbiaus seigne ursdist liunsie	---|-|---|----|------⌫--|---|-|--|-|
loeroie quenousseussonsau s m aistressecestech o se	------|--|---|-------|--⌫|-⌫------|-|----|--⌫-⌫-|
p orroitestre resp iteeet	-⌫-----|----|----⌫---|-|
ilnous endirontceque	-|---|-|-----|-|--|
il enporra e stre	-|-|----|-⌫---|
lorsfurentma inten antli	---|-----|--⌫-----⌫--|-|
maistre a ppelléetle uro n t	------|-⌫------|-|--⌫-|-⌫-⌫|
enquis comment ilporroi ent esploitier queil ymetentc on seil	-----|------|-|------⌫--|---------|--|-||-----|-⌫--⌫---|
ouautrementilmeismesseront	-|--------|-|------|-----|
dest rui tlimaistr euour ent	----⌫---⌫|-|------⌫|----⌫--|
a uoirc onseil derespondreiusque sa	-⌫---|-⌫-----|-|--------|------⌫||
y y iou rsp ar fo y	-⌫|---⌫-|-⌫-|--⌫|
princeetn ous le	-----|-|-⌫--|-|
uo usdon nonsen	--⌫-|---⌫---|-|
tele m anierequ e nousserons	---|-⌫-----|--⌫|---|-----|
uous qua r autrem entn esera	---|---⌫|------⌫--|-⌫|---|
cepasli maistre re spon direntcommentenuolez	-|--|-|------|--⌫----⌫-----|------|-|----|
estreseur en nond ieudient il	----|---|-|--|-⌫--|----|-|
nousle uou s	---|-|---⌫|
dir ons il uous couuieng	---⌫--|-|---|-------|
garderprison	-----|-----|
enunlieufor t	-|-|---|---⌫|
et seuretlaporrezuoussauoiretapre nd re	-|---|-|-|-----|---|-----|-|----⌫--⌫-|
cede quoi nous	-|-|---|---|
uolonsest re s age ou	-----|---⌫-|-⌫--|-|
autrementil uouscou uien t	--------|-|---|---⌫----⌫|
moriretsi nen	----|-|-||-|
poezeschaper dec esoiezseurs	---|-------|-|-⌫|----|----|
et certainsquant limaistreoyre nt ces iont	-|-------|----|-|------|----⌫-|-|-⌫|--|
lesmeist on en	--|----|-|-|
lieu ou il	---|-|-|
peuss entale r et u e nir	-----⌫--|---⌫|-|-⌫-⌫--|
ains sietfure ntmené e nun fortchastel	----⌫-|-|----⌫-|----|-⌫|-|---|------|
trop r iche uergier quantil furentensamb leil	---|-⌫---|------|----|-|-----|------⌫-|-|
ontregardé	--|-------|
biaussei gneurs	----|---⌫-----|
li unsm oult belsensest deliconduire	-|--|-⌫---|--|---|--|-|-|-------|
alamor tnaturel cesta direiu sques au	|-|---⌫|------||--||---|--⌫----|-|
iourque on ne	---|--|-|-|
puetmaisuoi rs	---|---|---⌫-|
es t quecilquicinous	--⌫|--|--|--|-|---|
m issontameschief et cen est pas	-⌫-|---||-------|-|-||--|--|
merueilleuous	--------|---|
sauezb i enetueezquenuls nepuetaler au	----|-⌫-⌫-|-|---|--|---|-|---|---|-|
de u antforsd etantque chascuns denousyy	--⌫-⌫--|---|-⌫|---|--|-------|-|---|-|
detrieruniouretnonpluset	------|-|---|-|--|---|-|
seill e pu eent	-|-|-⌫|--⌫---|
deffendrel uitiesmeiln	--------||-------|-||
aurontgarde	-----|----|
ainsi leurdiso nsha rdie mentcar ceestqua nque s	----|---|----⌫-|--⌫----⌫---|--|-|--|---⌫----⌫|
enpoonsfaireetsa uoir	-|----|----|-|--⌫---|
ac estechosese sont tu itacordél i	|-⌫---|----|-|---|--⌫-|------|-⌫|
i oursuint qu e	-⌫---|---|--⌫|
ildurent respondreli pr inceetlibaronne se	-|-----|--------|-|--⌫---|-|-|----|-|-|
so ntpa s oubliéil	--⌫-|--⌫|------|-|
en sontuen uy yausma istre s	-|---|---⌫|-⌫|--|--⌫-----⌫|
et le s ont misarais o n liains ne z	-|--⌫|--|--||----⌫-⌫|-|----⌫--⌫|
parlapremierspo ur	----|-------|--⌫-|
touzlesau t re set	---|--|--⌫-⌫--⌫|-|
distbiausseigneursm oult	---|----|--------|-⌫---|
sommes traueilli e zparuosprieres si	-----|---------⌫-⌫|--|--|------|-|
comme drois est	----|----|--|
no usauons esg a rde ́	--⌫-|----|---⌫-⌫---⌫|
cequeon puetf ai redeceste	-|--|-|---|-⌫--⌫-|-|----|
couuienttoutpremiere ment	-------|---|--------⌫---|
queuoustout le	--|---|---|-|
debatetcontreditmetezace	----|-|--------|----||-|
queli emper eresnepregne	--|-|-----⌫---|-|-----|
femmeet se ainssiestque	----|-|-|-----|--|--|
fai relecou uieng ne uousn	---⌫-|-|---⌫-----⌫-|---||
en p oe zaleraudeu antau trement que uousdirons	-|-⌫--⌫|---|-|---⌫--|--⌫------|--|---|-----|
ceue ndralaet	-|--⌫---|-|-|
adont uous aideronsn ou sdeto ut	----|---|-------|-⌫--⌫|-|--⌫-|
pooiruoiredistdontliuns desprin ce scouuient	----|----|---|---|-|--|--|----⌫--⌫|-------|
il dont que	-|---|--|
n ou smuironsentelemaniere s anz nule	-⌫--⌫|------|-|---|------|-⌫--|---|
deffen s esiredistliuns de smaistr esuousaurez	------⌫-⌫|---|---|-|--|--⌫|------⌫-|---|----|
yyi ours asouffrirsanz	-|-⌫---||-------|---|
decesyyio ursnou s uous	-|--|-|--⌫--|---⌫|---|
porteronsentreles yy parnostre se nsoresgardez	--------|----|--|-|--|-----|--⌫-|-|-------|
seentr euous yy porrez detrier le	-|----⌫|---|-|-----|------|-|
huitiesm e iour	--------⌫|---|
et seuousce luipo ezdetrierl	-|-|---|--⌫--|--⌫-|------||
empererisseraarse	--------|---|---|
etdestruite	-|--------|
quant ci lont	----|--⌫|--|
l e mais tre en te ndu siontdemandéaus	-⌫|----⌫--|--⌫--⌫--|-|--|-------|--|
au tresy y secestoitueritezquelor	--⌫---|-⌫|-||-----|------|--|--|
compains d isoit	-------|-⌫----|
ilont re spo nduque	-|--|--⌫---⌫--|--|
ce fero ient ilestable moultfurent	-|----⌫---|-|------|----|-----|
liprinced ecostanti nnobleli e qua nt ilont	-|-----|-⌫|--------⌫-----|--⌫|---⌫-|-|--|
ce entendua tant lontlaiss ie ́ e steret	-|------|-⌫---||--|-----⌫--⌫|-⌫---|-|
lunlau treasseuréde toutle ur	|-||--⌫--|-------|-|---|--⌫-|
po oir qu e	--⌫--|--⌫|
cestechosese roit cele eenlieu eten	----|----|--⌫---|----⌫|-|---|-|-|
t empsatant	-⌫---|----|
so ntdeparti et ala chascuns	--⌫-|------|-|--|-------|
aff ai relid amoisiaus	---⌫--⌫-|-|-⌫--------|
qui de tout cenesauoit	--|-|---|-|-|-----|
rien sestoituni ourenla	----⌫|-----|-|-⌫--|-|-|
ci t edecostantinnoble	--⌫-⌫|-|-------------|
en sonpalais entour luifurent	-|--|-----|-----|--|-----|
des plusproi siez detoutl empir eettant	--|---|----⌫---|-|---||-----⌫|-|---|
queparoles	--|------|
coururen t e ntreulz etyot un	--------⌫|-⌫--|---|-||-|-|
gent il hommequinouuelement	----⌫-|----|--|----------|
auoit oynou ue les	----|-|---⌫--⌫--|
de i herusale met disoitq ue li	-|-⌫--------⌫|-|-----|-⌫-|-|
caliphe sdeba udasau oi t	-------⌫|-|--⌫---|--⌫--⌫|
guerreausoudan debab yloi ne	-----|-|-----|-|---⌫----⌫-|
lidamoisiausente ndiceet enquist m oult	-|---------|----⌫--|-|-|------|-⌫---|
se nulzs auoit	-|---|-⌫----|
auoit droite tli quelsauoit tort	----|----|-⌫|-|----|----|---|
o nlifistentendantquelisoudanzuouloitle	-⌫|-|---|--------|--|-|------|------|-|
desheriterettol irunsienchastel et disoit lico mmuns	---------|-|---⌫-|-|---|------|-|-----|-|--⌫----|
quelisoudans nauo itnuldr oita ce	--|-|------||---⌫-|--|--⌫--||-|
quilfaisoitn e a ce	-|-|------|-⌫||-|
d emandoitliionesempere resen futouzme us	-⌫-------|-|----|------⌫--|-|-|---|--⌫-|
entresesdenzque segue rre s esmuetprochainem enten	----|--|---|--|-|---⌫--||-----|----------⌫--|-|
il iracel e par t quarm oult	-|--|---⌫|---⌫|---|-⌫---|
desirr o itquil fus t	------⌫-⌫-|-|-|---⌫|
ou ilp e ust	-|-|-⌫-⌫--|
fairedarmese t lui souhaucier li temps	----||----|-⌫|--|---------|-|----|
pass ali paysfu moult enp aisetta n tque	----⌫|-|---|-|----|-|-⌫--|-|--⌫-⌫---|
bache lersse gisoitu n enuit	-----⌫---|-|-----|-⌫-⌫|---|
litetlisouuint	--|-|-|------|
i lauoitentend u du c alipheetd usoudanilli	-⌫|----|------⌫|-|-⌫-----|-|-⌫|-----|-|-|
moultgrant t alent daler y il	----|----|-⌫----||---||-|
matinmoult apertement	----|----|---------|
etamand e ́	-||----⌫-⌫|
so nmaistreet	--⌫|------|-|
il yestuenuz	-||--|----|
sauezuous distil queieuousueuldire sire	----|---|---|-|--|-|---|---|---|---|
d itesuostre uolen teielorraiuo lentiers ie	-⌫---|-----|-----⌫-|-||----|--⌫-------|-|
dist liiones	---|-|----|
empereresalerenla t erre deiherusalem	--------|---|-|-|-⌫---|-|---------|
aientend u	-|------⌫|
quilyaguerreet	-|-|||-----|-|
ueul iealer s i	---|-|---|-⌫|
u eu lqu enulsne sache maleese	-⌫--⌫|--⌫|---|-|----||---|-|
uousetmoinonet ueu l	---|-|--|--|-|---⌫|
qu ilsoi tfaitmaintenant	-|-|---⌫|---|---------|
qu antlimais tr esenten tson desciples i	--⌫--|-|----⌫--⌫-|-----⌫|--|-------|-⌫|
esbahi zet	------⌫|-|
dist sire s e uo us	---|---|-⌫|--⌫-|
m en creez cene	|-|----|-|-|
uouspassanzle co nseil	---|--|---|-|--⌫----|
d euostrecourtpou r	-⌫|-----|----|---⌫|
distcassid o rusenparler iezil nesera autre ment qu e ie	---|------⌫-⌫--|-|------⌫--|-|-|---|-----⌫---|--⌫|-|
uou s disire	---⌫|-|---|
faitesdutoutau os tre	-----|-|---||-⌫--⌫--|
uolenteie ne uo us	------|-|-|--⌫-|
faudroiene pormo rtnepour	-------|-|--|--⌫-|-|---|
uieilontleur	--|-|--|---|
uoieacueillie	---|--------|
sipriueementquilnefunuls	-|---------|-|-|-|-|---|
qui garde sendonnastil ontfait	--|----||-|------|-|--|---|
l eurs armestrousser	-⌫---|----|-------|
s orunsommier	-⌫-|-|------|
etontpri soretarg en tet	-|--|---⌫|-|-|---⌫--⌫|-|
touta inssisontiss usd e coustentinnobleetn e	---|-⌫----|---|---⌫-|-⌫|--------------|-|-⌫|
d errer parl eursiournees si sont	|----|--|-⌫---|-------|-|---|
entréen mer	-----|-|--|
arriué au	------|-|
portet sontuenua	---|-|---|---||
ter reet puis ontleur	---⌫-|-|---|--|---|
u oie acu eillie eetnefineren t sisontuenue n	-⌫--|---⌫------⌫|-|-|-------⌫|-|---|---|-⌫|
debaudasli	-|-----|-|
cal iphesestoi t enla	---⌫----|-----⌫|-|-|
uil leolui	---⌫-||--|
grantplentede sarrazi ns	----|-----|-|-------⌫-|
cas sid orusne uaultlais sierquilne	---⌫---⌫---|-|----|----⌫---|-|-|-|
parlastaucalipheetsefist alui	------|-|------|-|-|---||--|
connoi stre	------⌫---|
quant licalip hes	----|-|-----⌫--|
ce fuc a ssi dor usde	-|-|-⌫-⌫---⌫---⌫-|-|
co stantinno blemoultfuliez	--⌫---------⌫--|----|-|---|
d edenzs oncuer	-⌫----|-⌫-|---|
q uarmoul t auoi toyde lui	-⌫--|----⌫|----⌫|-|-|--|
parler s i liafait	-----|-⌫|-||---|
gr ant houno ursar razin saunerent entou rlui etl iont	--⌫--|-----⌫-|---⌫----||-------|-----⌫|--|-|-⌫|--|
faitmoultg r antfestened emo uragai res	---|----|-⌫-⌫--|----|-|-⌫---⌫--|---⌫--|
queli so u dans	--|-|--⌫-⌫---|
man da b ataille	---⌫-|-⌫------|
a ucalipheet ontleurs gens	-⌫|------|-|--|----|---|
asse mbl ees etdune p art	----⌫---⌫--|-||--|-⌫--|
etdautrecassydorus s enestuenus	-||----|---------||-|--|----|
a uca lipheet	-⌫|--⌫----|-|
li apriéque i l	-||----|--|-⌫|
l efacech euali e r	-⌫|---|--⌫-----⌫-⌫|
li caliphesenfu moul t lie z etl i	-|-------|-|-|----⌫|---⌫|-|-⌫|
a f aitce q ue	|-⌫--|-|-⌫-|
a che ualierapp artie nt illia bail li éyymilcheuali ers	|---⌫-----|---⌫-----⌫-|-|-||----⌫--⌫-|-|--|-------⌫--|
sarraz insesleu z	------⌫--|-----⌫|
q uinelifaudrontpour mo rir	-⌫-|-|-|-------|---|--⌫--|
delabatail l efu uenuset sont	-|-|------⌫-⌫|-|----|-|---|
entraprochiez	---|--------|
bienauoitlic aly phesy ymi lhaubers	---|----|-|-⌫---⌫---|-⌫|--⌫|------|
etlisoudans yymil	-|-|------|-|--|
lesbatailles sontdeui se eset au int	--|--------|---|----⌫--⌫-|-|--⌫--|
que cassydorusot	--|---------|-|
la p remiereilauo it	-|-⌫------|-|---⌫-|
banierede ploieet quantli soudans	------|--⌫----|-|----|-|------|
enfu moult	-|-|----|
esba hiset connutmai nte n ant	----⌫--|-|-----|---⌫---⌫-⌫--|
fuliempe reresde cost antin noble	-|-|----⌫----|-|----⌫-----⌫----|
m oultdouté	-⌫---|-----|
il meism es sestmis auantet a	-|-----⌫-||--|--|----|-||
assam bléalui	-----⌫---||--|
quantceu int aus	----|-|-⌫--|--|
lanc esabai ssiermou lt	----⌫-|----⌫----|---⌫-|
sesontfort	-|---|---|
affichiées e striers etsesontent re feru m oul taigrement	--------|-|-⌫------|-|-|---|---⌫--⌫---|-⌫---⌫|--------|
li soudansfucheualiers t res a igre sila	-|------|-|---------|-⌫--|-⌫----⌫|-||
consui lempereouret	-----||--------|-|
litroue lapennede les cu	-|----|-|----|-||--⌫-|
l ihaub er s fu	-⌫|----⌫--⌫|-|
for s onques maillenen	---⌫|-----|-----||-|
romp il alance	----⌫|-⌫|----|
uoleem piecesqui mo ultf ist grantn oise	---|-|-----|--|--⌫--|-⌫--|----|-⌫---|
cassidorus ne	---------|-|
lapasesparg niénemesc hois y aincoisl abien	||--|------⌫---|-|----⌫----⌫|------|||---|
