telzco ustumance danferuient	---|--⌫--------||----|----|
anrime z an	-|----⌫|-|
nus ne doitestreoiseus d eouuer	--|-|---|----|-----|-⌫|----|
car anoiseusdiables	--|-|-----|------|
t uit saich entsesanz	-⌫--|-----⌫--|-|---|
nulledoute	----|----|
mau suouloirsma us pancersa n uient	---⌫|-------|--⌫-|------|-⌫|----|
et puis m alouure	-|---|-⌫-|----|
aprez setient	----|-|----|
honconbi enqua nprisonsoit	--|-----⌫---|-⌫|-----|---|
ne doitquanouureadesne	-|---|-|-|----|---|-|
donquea bienloy	-----||---|--|
qui niest mie	--|||--|--|
demenerbonne	-|----|----|
par qu eousiuete	--|--⌫|-------|
non t anto i t	--|-⌫--|-⌫-⌫|
sildeuoit d escouurirson	|-|-----|-⌫--------|--|
s arobede sc ou dre et	-⌫|---|--⌫--⌫--⌫--|-|
d oitila desquelqu erienfaire	-⌫--|-|-⌫--|------⌫|---|----|
queoise ures t chambreal	--|----⌫-|--⌫|------|||
pourcege neiour	---|-|-|-|---|
nepance p oint	-|----|-⌫---|
aois eusest r e	|---⌫--|---⌫-⌫|
geiroie aua n t	-|----|---⌫-⌫|
oucuil lirles cha r donsdeschans	-|----⌫--|--|---⌫-⌫---|--|----|
que ie fusse sin onsa i chans	--|-|----|-|-⌫-|--⌫-⌫----|
ca rgemeu euilestudie r	--⌫|-|-|-⌫---|-------⌫|
entr esbiauxdizue rcefier	-|--⌫-|----|--|--⌫------|
dont iai an muncue r lesestours	---||-|-|--|---⌫|--|------|
sianu o udraifere	-|-|-⌫-⌫----|---|
ace u lzquiuoudrontescouter	|--⌫-⌫-|--|-------|-------|
carlesbonsfai z doit	--|--|---|---⌫|---|
lanco nter	--|--⌫---|
iusq uescilztanspuis se	----⌫--|---|---|----⌫-|
onpui t fortune q uasser	-|---⌫|------|-⌫-----|
carquisese t si au oier	--|--|-|--⌫|-|--⌫---|
quilaist fortune tou rnoi er	--|----|------|---⌫----⌫-|
i u squellefailleason p repos	-⌫-⌫--|---|-----||--|-⌫----|
ge nedimiequ il	-|-|-|--|-|-|
carfortune tournoie	--|------|-------|
or nefaut que luitenirpes	-|-|---|--|--|----|--|
sanzlu i mouoirsanzeffraer	---|--⌫|-----|---|------|
qu elledonne graer	-|---|----|----|
iusquelleoittan t tor né	----|---|--|---⌫|---⌫--|
quell e soit c heue an laboe	-|---⌫|---|-⌫---|-|-|--|
parsouffri ruain crelacouuient	--|-------⌫|----⌫--|-|-------|
eta ucunes fo iz ilauie n t	-|-⌫-----|--⌫-|-|----⌫-⌫|
quaucun spa rforceuain creuia ut	-|-----⌫|--⌫|----|----⌫--|---⌫-|
mes qu antplus	--|--⌫--|---|
s e fforceetplusdiau t	|-⌫-----|-|---|----⌫|
n iauoiequed ousouffrir	||----|--|-⌫-|-------|
pource uei l gemuncuer	---|-|---⌫|-|--|---|
ded uire an bel lesf aire	---⌫---|-|---⌫--|-⌫---|
iusq ue fortuneoitfaitson	----⌫-|------|--|---|--|
fuitm ielecou rs	---|-⌫-|-|---⌫-|
meselleuientgrans	--|---|----|----|
cour setsaus	----⌫|-|---|
donnergranscosetgransasa us	-----|----|--|-|----|---⌫-|
reu asi belleman t	---⌫|-|--------⌫|
lananuizun	--|----|-|
p asseullemant	-⌫-|---------|
qui ansincfere lepourra	--|-----|---|-|-----|
pou ruoir defortu ne	---⌫|---|-|-----⌫-|
etpourlameniere	-|---|-|------|
con mentbi en nousi puiss onsprandre	---⌫---|--⌫-|---||-----⌫--|------|
afortune uaincr e etchacier	|------|------⌫|-|------|
q ui fleuuee st qui biens e tluitier	-⌫-|-----|-⌫-|--|---|-⌫-⌫|------|
prier onsrenart que no uscons aut	-----⌫--|-----|--|--⌫-|----⌫--|
conmantpuissie ns feret elsaut	------|-------⌫-|---|-⌫-|---|
qu en ousla puissie ns tressa illir	--⌫|-⌫--|-|-------⌫-|------⌫----|
etfe reason	-|--⌫-||--|
prepos faillir	-----|------|
carse il nousu eut conseillier	--|-|-|---|-⌫--|----------|
arons sanztrop trauei ller	----|---|---|------⌫---|
rena rtcr oire uoudra	----⌫-|--⌫---|-----|
parsus fo rtune t re ssaudra	--|--|--⌫----|-⌫--⌫------|
quanuizli p ourra rien	-|----|-|-⌫----|---|
sacertes ueut parliouu re r	||-----|---|--|-|---⌫--⌫|
puisque ouisiuetemetie nt	------|--------|-|---⌫-|
ettalantde	-|-----|-|
rimermeuient	----|-|----|
seullemantportempst respa ser	---------|--|----|-⌫-----⌫--|
quepo rfortune ades quasser	--|--⌫|------|---|------|
quisouuantl e cuerme detra nche	--|------|-⌫|---|-|-----⌫---|
ferai deren artune branche	----|-|---⌫--|--|------|
feteen lanquefuqueronnez	---|-||-|--|-|--------|
chal lesfilz phelippemainnez	----⌫--|---|-------|------|
filphelippetuitt ro iest urent	--|-------|---|-⌫--⌫|---⌫----|
enmoins deyyans	-|----|-|-|--|
tui tr oyfurent	---⌫|-⌫-|-----|
dontch alle sle plusieunesiere	---|--⌫----⌫|-|---|-----|---|
quinemancr oit	--|-||-|--⌫--|
mestoi re estan conmanc ie	|-----⌫-|--|--⌫-------⌫-|
orueilledieux quell ea to zciee	-|-----|----|-|---⌫||--⌫|---|
cestd erenartdecui ge	|--|-⌫|-----|-|--|-|
quiamain t dolantcueraiduie	--||----⌫|-----|---|-----|
qui bien leseuentma intenir	--|---|-|-----|--⌫------|
le urfa italeurpropos uen ir	--⌫-|--⌫-||---|-----|---⌫-|
qui derenart bonsmestr esie r t	--|-|-----|---|-----⌫-|--⌫-⌫|
anu iz estq uil n oitsequil quiert	---⌫-|--|-⌫|-||--|-|-|-|-----|
me stiexsouuant	--⌫|---|------|
san faitouuri ers	|-|---|-----⌫--|
quianest simples	--|-|--|------|
tiex ancuideestrealb essouuant	---|-|----|----|---⌫-|------|
quise tpoporestrea ncouuant	--|--⌫|-|--|----|-⌫|------|
rena rsfuanu nsienpo urpris	----⌫-|-|-|-⌫|---|--⌫-----|
desq u ilot	----⌫|-|-|
pres trehumbert pri s	----⌫--|------|---⌫|
et quilotfort une	-|-|-|-|----⌫--|
nes osailh o rs	-||--|-|-⌫-⌫-|
dostel tr aire	|----|--⌫---|
mesquantiluit que ilfu	--|----|-|--|--|-|-|
etquilot b ienpaséle te m ps	-|-|-|-|-⌫--|----|-|--⌫-⌫-|
quelled u testretrespase e	-|---|-⌫-⌫|----|--------⌫|
si conp ansaansapancee	-|----⌫---|-|-|-----|
que bi end utauoirfait	--|--⌫-|-⌫-|----|---|
adoncdechiezlui issihors	----|-|----|--|---|---|
sisa n a nt ra	-||-⌫|-⌫--⌫-|
enla prar ie	-|-|----⌫-|
bel lemantd eduis ant sa uie	---⌫-----|-⌫-----⌫--|-|--|
p uis distpouretez soit maleoite	-⌫--|---|-------|---|-------|
etriche ceet plantez beneoite	-|-----⌫-|-|------|-------|
depeurete secui t	-|------|-|---⌫|
nitrabonson	|---|--|--|
nebondeduit	-|--|-----|
biauteioiegra cenaront	-----|---|---⌫-||----|
cil quila pouretesuirront	--|--|-|------|-------|
orlala isdieuxl a puist	-|-|--⌫-|----|-⌫|----|
n ela puisueo irneoir	-⌫|-|---|---⌫-|-|--|
ca relm atant faitde	--⌫|-|||---|---|-|
q uelama udischascunmatin	-⌫-|-|--⌫---|------|----|
nes parmun chief qu antm a n sou ie nt	--|--|--|----|--⌫--||-⌫|---⌫--⌫-|
t o uz messanst oublesan	-⌫-⌫-|--|---|-⌫-----|-|
na solaznedelit	||----|-|----|
siprirenartquilmandelit	-|--|-----|-|-||-|----|
q uibienlequerra	-⌫-|---|-|-----|
lor deuix ui elletrop herra	|--⌫-|--|--⌫---|---|----|
queelleaf fiertbienahair	--|---|--⌫----|---||---|
pource ueuil	---|-|----|
ge renartsuir	-|-----|---|
puis queparrena rtueuilouu rer	----⌫--|--|----⌫-|----|---⌫--|
etparl ui pance	-|--|-⌫-|----|
arecouurer	|--------|
mon euretfortune abatre	--|--|-|------|-----|
u euildeduire etesba t re	-⌫---|------|-|----⌫-⌫-|
afereunenou uelleestoire	|---|--|---⌫----|------|
de lui que	-|--|--|
i aian mun memoire	|-|-|--|------|
etan fasant m i	-|-|-----|||
e tboneur yatandrai	-⌫|--|--||-------|
cuigoutesfo n t es pieztenir	--|-----|--⌫-⌫|-|---|----|
qu eil nepeut	--⌫|-|-|---|
tropfor t aanlu i esloichier	---|---⌫||-|--⌫|---------|
pa r c oipuisse amoiaproichier	--⌫|-⌫-|-----||--|---------|
unfusiciencouuandroit	-|-------|----------|
qui bon eur me ist siadroit	--|--|--|--⌫--|-|-----|
etsitresbienle uisetast	-|-|---|---|-|-------|
que sa infer mete lios tast	--||-⌫-----⌫---|-|--⌫---|
afinque cheuauchierpeu st	------|----------|---⌫-|
etq ueuen ira moi	-|-⌫-|---⌫-||--|
atelmal faut	|--|--|---|
qui sa ic hedeprauct icien	--|--⌫--⌫-|-|------⌫----|
cartr opce roit g ariz	--|--⌫-|--⌫---|-⌫---|
seilnes auoitdecelart	-|-|-|-⌫----|-|--|--|
c ar iabien	-⌫-|-|---|
nesaura fusiq u e	-|----|-----⌫-⌫|
seilnesestdela	-|-|-|---|-|-|
etcel artouletrouu era i	-|--|--|-|-|-----⌫---⌫|
arenar t menconseillerai	|-----⌫||-|-----------|
qui estlimestresanciens	--|--|-|------|------|
de tresto uz les praut icians	-|------⌫-|--|-----⌫-----|
aluiqueri r	|--|-----⌫|
ueuiltraueillier	----|----------|
conman tmepuisse conseillier	------⌫|-|-----|----------|
dunpraucticienrecouurer	|-|----------|--------|
qui ueu illeseur eurouurer	--|---⌫---|---|--|-----|
etga rirsiqu	-|--⌫--|-|-|
iluaigneamoi	-|-----||--|
nullea utre u oi egen iuoi	----|-⌫---|-⌫--⌫|-|||--|
desoranauantge iuois	-----------|-||---|
renart quiesto ita n unb ois	-----|--|----⌫-|-⌫|-|-⌫--|
un manoiryotbelet g ent	-|-----||-|--|-|-⌫--|
estoi tpascuuersdeg ent	-----⌫|--|-----|-|-⌫--|
loing es t oi t de toute	----|--⌫-⌫--⌫|-|----|
card etropgrantpresse ilnotcur e	--|-⌫|---|----|-----|-||-|---⌫|
netropde ue sin silnot mie	-|---|-|--⌫---⌫|-||-|--|
telzfusa natureetsa	---|-|-|-----|-|-|
nene uiautp as sanacion	-|-|----|-⌫-|-|-----|
estre en granthabi tacion	----|-|----|----⌫-----|
car nat ur elmant	--|---⌫--⌫-----|
biensauo it	---|----⌫-|
e tbien ansanatureu oit	-⌫|---|-|-|-----|-⌫--|
q uenep o uroits es ouuresfaire	-⌫-|-|-⌫-⌫----|-⌫-|-----|----|
anmultitud esanz	-|--------⌫|---|
contrai re	-------⌫-|
sel unne uoitlautres	-||-|-|---||-----|
selunestseurlautre	-||-|--|---||----|
seluns e taistlautreparole	-||-|-⌫|----||----|-----|
pa runpeutconmancierquerole	--⌫|-|---|---------|------|
etp ar unp o utestreamf lame e	-|-⌫-|-|-⌫-⌫-|----|---⌫----⌫|
uneconmun e	--|------⌫|
par coiun faite sttostueus	--|--|-|---|-⌫-|---|---|
e t apre sleueoir sehus	-⌫|----⌫|-|----|----|
dontperilanpouroituenir	---|----|-|------|----|
pource u eutilcemai nteni r	---|-|-⌫--|-|-|---⌫-----⌫|
etuoul oir cil qu	-|----⌫--|--|-|
illeuousdie	-|-|---|--|
nus sagesnefoxne d oitmie	--|----|-|--|-|-⌫--|--|
demourera ncon mune rue	-------|-⌫|---⌫---|--|
ouchescunsgiete et chascunsrue	-|-------|----|-|-------|--|
sesreg arsses faiz	--|---⌫--|--|---|
c a rpluseurs	-⌫-⌫|-------|
foisest biens sordiz	---|--|----|-----|
etplusor sfoizmaus	-|------⌫|---|---|
oy direapluseurs	-|---||-------|
nesaigesnefox	-|-----|-|--|
ne uiautmie	-|----|--|
quechascunscongnoi se	--|-------|-------⌫-|
eta sauoi rl a	-||-----⌫|-⌫|
quan tanc onmun il demour ra	----⌫|-|-⌫----|-|------⌫-|
de caichiersine	-|-------|-|-|
sa p ouoir	||-⌫----|
quea ucunsne lp uiss e ueoir	--|-⌫----|-||-⌫----⌫|----|
a nsinqu esconfaitla chand oille	-⌫------⌫-|--|---|-|-----⌫----|
milal ume r	--|--⌫---⌫|
a ni p eutlan	-⌫||-⌫--|--|
iapourcemo insfeun	-|---|-|--⌫--|--||
etcan ta chas c unefeup r is	-|---⌫||----⌫-⌫--|--|-⌫-⌫-|
con cell eaan	--|----⌫||-|
cuilel lapris	---|-|||---|
ansi ncdoubourdee ur estil	----⌫-|--|-------⌫-|--|-|
sabourde pe utconterami l	-|-----|--⌫-|-----||--⌫|
iapour ce moinsbourde	-|---|-|----|-----|
etautan t chasc unsen saura	-|-----⌫|-----⌫--|-|----|
n ilnest n u sq uitan t	|-||--|-⌫-⌫|-⌫-|---⌫|
pui sseplere	---⌫--|----|
qu i nepuisseoutropou pof er e	--⌫|-|-----|-|---|-|-|-⌫--⌫|
dont ilpeutmaint	---|-|---|----|
foi zhonteauoir	---⌫|----|----|
seaucunl epeuen t	-|----|-⌫|-----⌫|
pourcedit r enarsfoxn e	---|-|--|-⌫----|--|-⌫|
ne praigneangrant	-|------|-|----|
rueso nestage	--|--⌫|-----|
seile s tsaigesouquil soi t	-|-|-⌫-⌫|-----|-|-|-|---⌫|
lan saurabientostson recoit	--|----|---|---|--|-----|
etdemouras tbienbassozterre	-|--------⌫|---|--|--|----|
c aradesdoithonl e	-⌫-|---|---|--|-⌫|
etsan zest	-|---⌫|--|
a des a nsaison	-⌫--|-⌫|-----|
pourcesetlanbiensa m aison	---|-|--|--|---|-|-⌫----|
mesch iesle fol nulzie ra	--|--⌫--|-|--|---|--⌫-|
mes un s chascunsle despira	--|--⌫|-------|-|------|
pourceaufolmest ier feust	---|-|-|--|----⌫--|----|
quid emeur loi n g	--|-⌫----|---⌫-⌫|
degenteust	-|---|---|
parcoitant	--|--|---|
neseussentmie	-|-------|--|
sanicetenesafolie	-|-----|-|-|----|
carquantpluse stlefolsehu s	--|----|---|-⌫-|-|--|----⌫|
plusestsesdo umai che screhus	---|--|--|--⌫----⌫---⌫|-----|
pour ceaufo lau	---|-|-|--⌫|-|
s aigec onmande	-⌫---|-⌫------|
demour e n e t ande	------⌫|-⌫|-⌫---|
neui nnefautreau	-|--⌫|-|-----|-|
carposacroist et biensauil le	--|-||------|-|---||----⌫-|
gentm oienisoie nttandan t	---|-⌫---||----⌫-|------⌫|
quidedan rees sont uan d ant	--|-|---⌫---|---|---⌫-⌫--|
ettiex gentqui	-|---|---|--|
a sesatandent	|-||-------|
quipainguea ignentetp ain	--|---|----⌫-----|-|-⌫--|
de sp andent	--⌫--⌫-----|
gentbourdeeu r e tlos angier	---|--------⌫|-⌫|---⌫-----|
quinonthonneurf orsdemang ier	--||--|------|-⌫--|-|----⌫--|
quiconmechie nsantregroignoient	--|----|----⌫||----|----------|
et plusors	-|------|
foiz s antrepoignoient	---||----|---------|
e santredient honte setlaiz	||----|----|-----⌫|-|---|
etlandemein estfaite paiz	-||-------|--|----|---|
tu ittienent	--⌫-|------|
folieah onneur	----||-⌫-----|
et lime st re etli	-|-|--⌫--⌫-|-|-|
ne seuentques t	-|-----|-|--⌫|
hon nornepris	---⌫--|-|---|
neilnelmieapr is	-|-|-||--|---⌫-|
nebonditne sauroient	-|--|--|-|--------|
conseilliermeshonteanauroient	----------|--|----|-|-------|
bien seuentach eteret	---|-----|---⌫---|-|
a autrehonnorne seuenttandre	|----|-----|-|-----|-----|
renarttin ts eanonsau oir	-----|---⌫|-⌫||--|---⌫--|
pour ce ne	---|-|-|
uost ilmieauoir	---|-|--|----|
an tre itieuxgentson estaige	--⌫--|-----|---|--|------|
pourcedemouraou boquaige	---|-|------|-|-------|
bie n tro uuer	---⌫|---⌫---|
cilquideluimestierauront	--|--|-|--|------|-----|
ca rrenomecourtbasethaut	--⌫|-----|----|--|-|---|
q ui c hascun	-⌫-|-⌫-----|
se t que chascuns u aut	--⌫|--|-------|-⌫--|
renarsenson chastel	-----|-|--|------|
q uigrantestudiemetoit	-⌫-|----|------|-----|
ensesm alesouure s c ouurir	-|--|-⌫---|-----⌫|-⌫-----|
seshonestez courir	--|-------|-----|
pour cedemore uoula nti ers	---|-|-----|-----⌫---⌫--|
gen tansecre zsantiers	---⌫|-|-----⌫|-------|
grantpanceese tint	----|-----|-|---|
de m aleurquit ant l e	-|-⌫-|--|--|-⌫--|-⌫|
si lenguem entet sanz cesser	-|-------⌫--|-|---|-----|
ne lepoueittrespa sse r	-|-|-----|------⌫---⌫|
mon tanfeu	---⌫|-|--|
sescorsampir i ez	--|---|-----⌫-⌫-|
etmont anfeu ancuer	-|---|-|--|-|---|
quequecilzpancersle teno it	-----|---|------|-|----⌫-|
ez uousthiebertqui la	-|---|-------|--|-|
asonconpaignon uenoitdir e	|--|---------|-----|---⌫|
et sonmes chie fet songrant i re	-|--|---⌫----⌫|-|--|----|-⌫-|
sa pouretesonmaleur	-|------|--|--|--|
conm antest malasseur	----⌫--|--|--|-----|
ren artmont b ienueignant lid is t	---⌫--|---|-⌫----------|-|-⌫--⌫|
maint e nantce o irlez luile fist	-----⌫-⌫---|--⌫-⌫-|--|--|-|---|
etlidemandaqu elznouuelle s	-|-|------|--⌫--|--------⌫|
sedistthie bert bonnes nebelles	-|---|----⌫---|-----|-|-----|
tant sui f ormant	---|--|-⌫-----|
desconfortez	-----------|
qu a mortnes ui portez	-||---|-|-⌫-|-----|
ch ieszzpre ste	--⌫--|-|---⌫--|
gesui alez	-|--|---|
qui auo itd eus bacons salez	--|---⌫-|-⌫--|-----|----|
chasc unsotdemipiedelart	-----⌫--|-|---|--|-|---|
g encuidaibienauoir ma	|-|-----|---|----|-|
et porte ru nepiec eantiere	-|-----⌫|-⌫-|----⌫|------|
m esil o taune pouliere	-⌫-|-|-⌫-|--|-------|
c il zquia ncoresi ertpand u	-⌫--⌫|--|-⌫-----|-⌫--|----⌫|
un fortlaz	-|---|--|
dechanuetandu	-|-----|----|
nan saimot iusqueoucol metint	|-|--|--|-----|-|--|-|---|
etmaugrezmoi i l	-|------|--|-⌫|
escre mirssa utersque ge seus se	-----⌫---|--⌫----|--|-|----⌫-|
ne ualutqueprinsnefeuss e	-|----|--|----|-|-----⌫|
des e tropmalemantioy	-|-⌫|---|-------|--|
cart anto st lipre s t esloy	--|-⌫----⌫-|-|---⌫-⌫-⌫-||-|
an treluisonfil et sa	--⌫--|--|--|--|-|-|
t an t mef i renthonte et difame	-⌫--⌫|-|-⌫-⌫---|----|-|-----|
quetou sles os m ontmoloiez	--|---⌫|--|-||--|------|
dontgemorrai	---|-|-----|
ce rtainss oiez	--⌫-----|-⌫---|
m esa ch ascuncopque ge auoie	-⌫-||--⌫----|--|--|-|----|
auretourner lelaz	-|--------|-|--|
tantlesmorditantleshapai	---|--|----|---|--|----|
quilronpirent et geeschapai	-|-|--------|-|-|-------|
qu ant ge cuidai	--⌫--|-|-----|
estreagarant	----||-----|
etlorsmeuindrent apa rant	-|---|-|-------|---⌫---|
li chien d unuilain	-|----||-|-----|
qui m es chie f montfa it et	--|-⌫--⌫----⌫||--|--⌫-|-|
iustour né	--|----⌫--|
q ueilmontlecorsatourn é	-⌫-|-||--|-|---|------⌫-|
plaies yaet	-----|||-|
renartbiauxconpainsgeme	-----|----|-------|-|-|
iam esseont n arai	---⌫-|----||---|
seauenirestrene	-|-----|----|-|
p our uoirl amortprise meust	-⌫--|---|-⌫|---|----||---|
dedesespoir dedescomfort	-|--------|-|---------|
mesanceaiehucomfo rt	--|-|-|-|--|-----⌫-|
e tseci me f aitso utenir	-⌫|---|-|-⌫--|--⌫-----|
queilmestet a a ue nir	--|-||----||-⌫--⌫--|
ne nemanpouoiegarder	-|-||-|-----|-----|
combie nquemepeust tarder	------⌫---|-|----|-----|
t restoutseq ue m a comfo rté	-⌫------|-|-⌫-|||-----⌫---|
aile faisp orté	-|-|---|-⌫----|
que porter couuenoit sanzdout e	--|-----|--------|---|----⌫|
renars sonc onpa ignon escoute	-----|--|-⌫----⌫----|------|
dece quil distc estmal pai ez	-|-|-|-|---||--|--|---⌫-|
sili dist quilestdes uoiez	-|-|---|-|-|--|---⌫----|
queplus ne mai nta ingne	--|---|-|---⌫---⌫----|
quemaus par	--|---|--|
couueni rauaingne	-------⌫|-------|
et quec ouua ingne quemaussoi t	-|--|-⌫----⌫----|--|---|---⌫|
te lzcreanc ec onp ainstedesoit	--⌫-|------⌫|-⌫---⌫---|-|-----|
ne cro ire iames quilcouua igne	-|---⌫--|----|-|-|-----⌫---|
ne nul meschiefauaingne	-|--|-------|-------|
conbienquil soit aaueni r	--------|-|---||-----⌫|
necroireplus do ucouuenir	-|-----|---|--⌫|-------|
