sechilquilesroma nsont fait	-|---|--|--|----⌫-|--|---|
ororéscomme l ib on iehans	-|----|----|-⌫|-⌫-|-----|
kipui sotanon	-|---⌫|-||--|
bo u cedor	--⌫-⌫-||-|
multeplialedieutresor	--------|-|---|-----|
qued iexliotmise ntre	--|-⌫--|-|-|--|-⌫---|
onreconte chou est	-|------|---|--|
conneporoi t conterledime	|-|-|-----⌫|-----|-|---|
conilcre moitleroihauti me	--|-|---⌫---|-|--|-----⌫-|
finastdeuerseiller	-----|-|---------|
n edeiuner ne deueiller	-⌫|-|----|-|-|------|
abienfaireie rttou s ses	|---|----|--⌫-|---⌫|--|
da me iertli	--⌫-|---|-|
ame etserslicors	--|-|---|-|---|
moultest hon estes sesusages	----|--|---⌫----|--|-----|
ettantestoit	-|---|-----|
cortoi set sages	------⌫|-|----|
homnaperceusts ueur e	--||--------||----⌫|
enu ers lepule	---⌫--|-|---|
bi en se cueure	--⌫-|-|-----|
c ar qu antentrel egent	-⌫-|--⌫--|----|-⌫|---|
le e chedemenoit	--⌫-⌫--|-------|
estresauoit acasconf uer	----|-----||-----|-⌫--|
maisil auo i tdedans	---|-|---⌫-⌫|-----|
plantesiquiluiuoit	-----|---|-|-----|
selonc les	-----|--|
leuu angile	|---⌫-----|
on q uidoitquilamastle monde	-|-⌫-----|-|-|----|-|----|
auoitetn e t etmo nde	----|-|-⌫-⌫|-|--⌫--|
tro pparestoitdeneteui e	---⌫|--|-----|-|---|--⌫|
diablesen o tgrant en uie	------|-|-⌫|----|--⌫--|
sainte que il	-----|--|-|
nuitet ior entorluialoit	---|-|--|----|--|----|
qu ill ecuidoitfa irepech ier	-|-|-⌫|------|--⌫--|----⌫--|
engrant semetde	-|----|-|--|-|
ltrebuchier	|---------|
enmai ntemanierelassaut	-|---⌫--|------||-----|
me sses asaus riens ne liuaut	--⌫|--|----|----|-|-|---|
foisetcreance estsesescus	---|-|------|--|--|----|
quilnepooitestreue ncus	-|-|-|----|----|--⌫---|
di ablesenotgran t e ngain gne	--⌫----|-|-|----⌫|-⌫-----⌫--|
tot autresiconme l araingne	--|------|----||-------|
deuantlemoskemetle roi	-----|-|----|--|-|--|
lempiraetmis tmalauroi	|-----|-|---⌫|--|-|--|
parunetr o p faus equerele	--|--|--⌫-⌫|----⌫|------|
liroisotunefille bele	-|---|-|--|----|---|
quitosl ipu lleslo eet p rise	--|--|-⌫|--⌫---|--⌫|-|-⌫---|
m o ultiertcortoiseetbi enaprise	-⌫-⌫--|---|-------|-|--⌫-|-----|
uolentiersaloit	---------|----|
a umostier	-⌫|------|
souanta ucapelainparloit	-----|-⌫|-------|------|
quimaintbelmotliensein gnoit	--|----|--|--|-|------⌫----|
ni entendoit nulefol ie	||--------|---|---⌫-|
diableslasiasaillie	------|||-|-------|
etpointe dunagu	-|-----||-|--|
etch ilamaladamoi s ele	-|--⌫-|--|-|-----⌫-⌫--|
endeus ausespris t	-----|--|------⌫|
l estinc ele	|------⌫--|
lida nsiaustants iacointa	-|--⌫-----|---|||------|
tantui ntaliquill enpreingn a	---|--⌫-||-|-|-||---------⌫|
car di abl esapo r cachié	--|--⌫---⌫-||--⌫-⌫------|
quenluiasemencie ́	-|-|--||--------⌫|
nelpotpascourirlonctermine	-||--|--|-----|---|------|
moultsedesmentela	----|-|-------|-|
car biensa uoi tq u ele ie rt	--|---|--⌫---⌫|-⌫|--|--⌫-|
quantdiablesla	----|------|||
perch ut e	-----⌫--⌫|
aproismiéss	----------||
estioste sorei ll e	--|----||----⌫--⌫|
defeloniel econseille	-|------|-⌫|--------|
damoi se leque u autuop lain te	-----⌫--⌫-|--|-⌫--|-|-⌫----⌫-|
t oute nt res aitestesenchainte	-⌫--|-⌫--⌫---⌫--|----|--------|
quantli r ois le	----|-|-⌫--|-|
s ara uospere	-⌫--|--|---|
etlaroineuostrem ere	-|-|----|-----|-⌫--|
serésmis a	-----|--||
ors oi estantcortoise e t	-|-⌫--⌫-|---|-------|-⌫|
qu euostrea mi	--⌫|-----|-⌫-|
endesco n bres	-|-----⌫-⌫---|
miusest qu eautruienconbr es	---|--|--⌫|-----|-------⌫-|
queuosdruskieceenmortelma in	--|--|---|----|-|-----|--⌫-|
ditesqu auei s estésadru e	----|-|----⌫|----|-|---⌫|
queuosenserésbien creue	--|--|-|-----|---|----|
puetmieuo sestre	---|--|--⌫|----|
seuos faitesocireu nprestre	-|--|-----|----|-⌫|------|
diablesencantee	------|-------|
quemo ultenesten tale ntee	--|--⌫--|-|--|--⌫----⌫---|
delprestremetrea danmpn ement	--|------|----||------⌫----|
ne demorapaslonguement	-|-----|--|---------|
q uaperchutesest la	-⌫|--------||--|-|
aucontenementl eme s cin e	-|----------|-⌫|--⌫-⌫---⌫|
et au mangierq ue lefai soit	-|-|------|-⌫|-⌫-|---⌫---|
en telguisesedemenoit	-|--|----|-|-------|
chasconior sanbleq ued euie	------|--|-----|-⌫-|-⌫---|
samereconutbienteiluie	-|---|----|---|---|--|
si co mefeme d a utrefait	-|--⌫-|---||-⌫---|---|
entresaitseitqu	--------|---|-|
elea mesfait	--||------|
c elea la fac epaleetta inte	-⌫--||-|---⌫|---|-|--⌫---|
la merel adetant ataint e	-|---|||-|---|------⌫|
la m e sauenture	-|-⌫-⌫--------|
auroi c onta lac ontenure	-|--|-⌫---|-|-⌫-------|
qui mou ltgrant dolor	--|---⌫-|----|----|
en unecanbre	-|--|-----|
ni otforsl aroineet	||-|---|-⌫|----|-|
fillefait nosas gr ant anu i	----|---|--|-|--⌫--|---⌫|
e tl aitre prouier	-⌫|-⌫--|--⌫------|
e th onta ge	-⌫|-⌫----⌫-|
quienchainteiespa r xxx	--|--------|--|--⌫|--|
chert esmo ult parenaigrant	-----⌫-|--⌫--|--|-|-|----|
dit ostetsi me	-|-⌫--|-|-|-|
dequi tuiesensi h onie	-|--|-|--|---|-⌫---|
iehi s le horsnelcoille	----⌫|-|---|-||-----|
dit es lem oi sansde morance	---⌫-|-|-⌫-|---|--⌫------|
mou ltenie rt	---⌫-|-|--⌫-|
priscrueusueniance	---|-----|-------|
dece lui qu i taenpreingn ie	-|--⌫--|--⌫|||---------⌫-|
diables qui la ens eingnie	------|--|||---⌫------|
s es ta celconseil e nbat us	|--⌫||--|------|-⌫----⌫-|
parquimains h omestabatus	--|--|----|-⌫-|--|-----|
e tmisahonteet	-⌫|--||----|-|
enp lorantr egardale roi	-|-⌫-----|-⌫-----|-|--|
qualaterresa f acemoille	-||-|----|-|-⌫--|-----|
aspiessonpeir es agen oil l e	-|---|--|----⌫||----⌫---⌫-⌫|
p ui ss ilebaisefaintement	-⌫--⌫|-⌫|-|----|---------|
aditmoult pite ume nt	|--|----|----⌫---⌫-|
merchi fa itelebeausd ous	-----|--⌫-|--|----|-⌫--|
neuautnoientiltes tue tdi r e	-|---|-----|-||--⌫---⌫|--⌫-⌫|
lenonde celui	-|--|-|----|
quistmesfais	--|-|------|
dequitu asrechut les fais	-|--|-|-|-----|--|---|
quisiparesthorsetuila ins	--|-|--|--|---|-|----⌫--|
sireieh ansuoscape lains	---|---⌫--|--|----⌫----|
con qui dedet elnetee	|-|---⌫-|-|-⌫-|----|
matolu ema	||----⌫|-|
a premiers le bi en menseig na	|-------|-|--⌫-||------⌫-|
etau darainmenpreigna	-|-|-----||--------|
demalf aireest bienenseingnie ́s	-|--|-⌫---|--|---|----------⌫-|
quant liroi slotsisestsi engniés	----|-|---⌫||-|-||--|--⌫-------|
iehansdistildis tu	-----|---|-|--|-|
oi lbeaustre sdo us sire chertes	--⌫|----|---⌫|--⌫-|---|------|
li roi slaroineregarde	-|---⌫|-|----|------|
et qui sedonast	-|--|-|-----|
de cegarde	-|-|----|
desisain thome conmeiehan	-|-|----⌫|---|----|----|
ilenar ah on teet ahan	-|-|--⌫|-⌫--⌫-|-|---|
par lacorone queieport	--|-|-----|--|-|---|
ariués estamoult malpo rt	------|--||----|--|--⌫-|
estorec is	--|--|-⌫-|
blasmeslais	------|---|
lirois mandaens on	-|---|----|-|-⌫-|
sesplushausbarons	--|---|---|-----|
adroi tu r e	|----⌫--⌫-⌫|
silordis t lamesauenture	-|--|---⌫|-|----------|
seuoltplusa t argier	-|---|---|-⌫-⌫-----|
ases homes	|--|----|
afait iugier	|---|-----|
lechape lainquinel sauoit	-|-----⌫---|--|-||-----|
et coupes e t pec ien	-|-----|-⌫|---⌫-||
maisd iabl es quihetsauie	---|-⌫----⌫-|--|--|-|--|
c e fa itparenuie	-⌫|--⌫-|--|----|
le ui rent li	-|--⌫---|-|
escriélont comeu nlarron	------||--|---|-⌫|-----|
q uiestrepris a sesdesrois	-⌫-|--|-----||--|------|
iehan iehan ce di s tli rois	----|----|-|--⌫-⌫|-|---|
tachasteeestredoi ssie	-|------|--|-----⌫---|
por qu o ias	--|--⌫-⌫|-|
mafilleeng roi ssie	-|----|---⌫---⌫---|
ta falsete	-|------|
estpe rrilleuse	--|--⌫--------|
l aighec oie est pl usresoigneuse	|----|-⌫--|--|--⌫-|----------|
lar adeetplusde choit	-|-⌫--|-|---|--⌫----|
sengarde quileuoi t	|-|----|--|-|---⌫|
lipriuésler res es tli plu smaus	-|------|---⌫--|--⌫|-|---⌫|---|
sa uftecuidoieet	--⌫-|-|------|-|
tu esfau s	-|-|---⌫|
donéuenin porb a sme	----|----|--|-⌫-⌫--|
quanti eha ns ot leuilain bl asme	----|-⌫---⌫-|-|-|-----|--⌫---|
ilse seigne ne	-|-|-----|-|
set quedi r e	--|--|--⌫-⌫|
p oiprisaston s onesc ondire	-⌫-|------|-|-⌫-|---⌫-----|
tote laco urssorlui resone	---|-|--⌫--|--|--|-----|
iur re sa corone	---⌫-|-|-----|
qui le rtd e ma in mene ́ senl ill e	-|-⌫|-⌫-|-⌫-⌫--⌫-|----⌫-⌫|-||---⌫|
ouli mersbat	-|-|---|--|
et li u enshill e	-|-|-⌫--|----⌫|
de tadeserte arasle droit	-|-|------|---|-|----|
oruos diraiqu elslill ees toit	-|--|----|--⌫--||---⌫|--⌫---|
unsrochiers ert de	--|-------|--|-|
debose stoitt osplains	-|--|-⌫----|-⌫-|-----|
t r opauoit enladese rtin e	-⌫-⌫-|----|-|-|----⌫----⌫|
oursetlionsetsauuechine	---|-|----|-|---------|
guiuresdragonsserp ens uolans	------|------|----⌫--|-----|
repris alcun sdolans	-----|-----⌫|-----|
con deuoitamort traueillier	|-|-----||---|----------|
l a er tmenés poresi llier	-⌫|--⌫|-----|--|---⌫----|
et lesb estesle deuoroi ent	-|--|-⌫----|-|-------⌫--|
agrantdolorquilaestoient	|----|----|--|-|-------|
entelafaire ente lahan	-|--|-----|-|--⌫|---|
roisesillierio han	---|-------|--⌫--|
parl editala	--|-⌫|--||-|
li sainshomcorta	-|----|--|---||
sia totmaintenantaer s	-||--|---------|---⌫|
parceminettailliéq uaier s	-------|-|-------|-⌫-----⌫|
etde sonenke p lain corn et	-|-|--|---|-⌫---|----⌫-|
sespennes ets on	--|-----|-|-⌫-|
to tportera o	--⌫|------||
luili sire	--|-|---|
caralcun bien	--|----|---|
uoldra escrire	-----|------|
e n l ille	-⌫||---|
desorleriuage	----|-|-----|
carnedoutebestesalu a ge	--|-|----|----|----⌫-⌫-|
neilnapaorn e	-|-|||---|-⌫|
co nmentquilaitsa	--⌫----|-|-|--|-|
sostenance	---------|
carennos trese gnorsefie	--|-|---⌫--|--⌫---|-|--|
quisesserga nspasnedefie	--|--|-----⌫-|--|-|----|
maisto s iorsestpresdeldeffendr e	---|--⌫|---|--|---|-||--------⌫|
liroisleconmanda apren d re	-|---|-|-------||----⌫-⌫-|
asessergan s p ourde uorer	|--|------⌫|-⌫--|--⌫----|
uelt p lusdemor er	---|-⌫--|-----⌫-|
et ci liuont isnelepas	-|--⌫||---|--------|
si lamainenentplus que	-||---------|---|--|
celuiqui n iert m ie mes fais	----|--||---|-⌫-|---⌫---|
la fillealroiertelpal ais	-|----|-|--|--|-|---⌫--|
sili distquant	-|-|---|----|
leuit uenir	-|--|----|
iceuosdoit bien auenir	--|--|---|---|-----|
dansfalsprest res maluaislechiere	---|---|-----⌫--|------|-------|
lisainshom a leué	-|----|--||----|
quantentendu alaparole	----|------||-|-----|
lorsaregardeela fole	---||-------|-|---|
qu est che mal efe me quasdit	-|--|--|---⌫|--⌫-|-|-|--|
c erte s male mentas mesdit	-⌫----⌫|----⌫---|-|-----|
d exsetmoultbien que	-⌫-|--|----|---|--|
en ce lme sfa i t	-|--⌫|--⌫---⌫-⌫|
donttumenc oupes	---|-||---⌫----|
moultcompar r a schierton	----|------⌫-⌫-⌫|----|--|
cariedepri	--|-|----|
alsouerai n	-|-------⌫|
quil te ren detaf alse plain te	-|-|-|---⌫-|-|-⌫---|-----⌫-|
fruit dontes enchainte	----|---|-|--------|
d eliur enesoies	-⌫-----⌫|-|----|
desiadont que me	-|-|----|--|-|
l isergan tlemainent a tant	-⌫|------⌫|-|------|-⌫---|
pa rs l eu o nt	--⌫-|-⌫|-⌫-⌫-|
na resterentiusqua	|-⌫--------|----||
d elaide ng ier cascunsestriu e	-⌫|-----⌫--⌫--|------|------⌫|
apresteetroualanef	-------|----|-|--|
docemen tientre	-------⌫||----|
li cap elains dont	-|---⌫-----|---|
l ioil l arment	-⌫|--|-⌫-----|
etlisergant quimoultbien s	-|-|------|--|----|---||
porles lionset por lesors	--|--|----|-|--|--|--|
t respassenta grant	-⌫---------||----|
iusqu en lil le que uont requerre	----|-||--⌫-|--|---|-------|
le sainthomemetentat erre	-|----|---|-----||-⌫---|
puissi sesuntariereenpaint	---|-|-|---|-----|------|
capelainsquiremaint	--------|--|------|
te rre agenoi lliés	--⌫--|------⌫-----|
de lermesase sexm oilliés	-|-----||--⌫|-|-⌫-------|
une sainte oris o nco mmence	--|-----|----⌫-⌫|--⌫-----|
dexquialdiemence	--|--|-|-------|
detesman o eures reposas	-|--|---⌫-⌫----|------|
enparad isad anposas	-|-----⌫-|--⌫-|----|
d ontp ui sfum is	-⌫--|-⌫--⌫|-|-⌫-|
horsconm end is	---|--|-⌫---⌫-|
por lefruit que	--|-|----|--|
lidesfe ndis	-|-----⌫---|
las p orcoiaerstil la	--|-⌫-|--|----|-|-|
queco nperéontt otl i home	--|--⌫-----|--|-⌫-|-⌫|---|
quenature ot formé setfais	--|-----|-|------⌫|-|---|
i lmeismese n ottelfais	-⌫|------|-⌫|-|--|---|
quentrauai lfu	-|-|------⌫|-|
tant confu uis	---|--|-|--|
etp uisenseninferr auis	-|-⌫--|--|-|----|-⌫---|
entenebresen o scurte	-|-------|-|-⌫-----|
porle fruitdemaleurte	--|-|----|-|-------|
ho nt eenot l iame	--⌫--⌫|-|-|-⌫|--|
h euraisperesmisericors	-⌫|----|----|---------|
duel ustes deuo creature	---|----|-|-|-------|
quiesto itenlaui lclosure	--|----⌫-|-|-|--⌫|------|
utot aloientfole t sage	|--|------|--|-⌫|---|
enterre e nuoias ton m esage	-|----|-⌫-----|--|-⌫----|
ace luifud it	|--⌫--|-|-⌫-|
quiestuo ieuie	--|--|--⌫-|--|
c elepa rolecard euint	-⌫--|--⌫---|--|-⌫----|
anaiscanceuint	|--------|---|
liangleaspastorslenoncierent	-|----|-|------|-|---------|
quiforment	--|------|
senesleecier ent	|-|---------⌫--|
lestoile fu de sroisueue	|------|-|--⌫|---|---|
cascunsleuitensaue nue	------|-|--|-|-|--⌫--|
cas cunsm utseus d eson e npire	---⌫---|-⌫-|---|-⌫|--|-⌫----|
etuos les as anb lastessire	-|--|--|--⌫---⌫-----|---|
le s to ileauo s	|-⌫-⌫--⌫--||--⌫|
cascunsoffrandeuosdona	------|-------|--|---|
ca sconssolonc	--⌫----|-----|
lis an bl e	-|-⌫--⌫--⌫|
u osle spresistes	-⌫-|--⌫|--------|
tosensanble	--|-------|
alsa int t emplefu steso ffe rs	-|--⌫--|-⌫----|--⌫---|-⌫---⌫-|
li iustes sim ionsuossers	-|-----|---⌫---|--|---|
uos rec hutdeioieaemplis	--|---⌫--|-|---|------|
lors fuses desir s a conpl is	---|-|--|-----⌫|-⌫-----⌫-|
lonc la parolequi l	---|-|-----|-|-⌫|
que sa insespir sditli	--|--⌫--|-----⌫|--|-|
ainsquelamortpaor te face	---|--|-|---|---|-|---|
ue rra stu t ondeuen la face	--⌫---⌫|-|-⌫-|--|-|-|---|
il leuoit uoirason t al ent	-|-|---|---||--|-⌫--⌫--|
sicomiocro ito tu eraiement	-|--|-|---⌫|--⌫|-⌫--------|
aui nt icisre cors	---⌫-|---|--⌫---|
sis alués uo sm ameet	-|-⌫-----|--⌫||--|-|
etenuoiéssustanceetuie	-|-------|-------|-|--|
faitparen uie	---|--|--⌫--|
qu istde m alensegniés	--⌫|-|-|-⌫-|---------|
illi euesu s s isest segn i és	-|--⌫--|--⌫|-⌫||--|----⌫-⌫--|
loris onfu e nla tin dite	|----⌫-|-|-⌫|--⌫--|---|
por c e lai enromansescrite	--|-⌫||-|-|-----|------|
quelilailepuissent aprendre	--|-|--|-|-------|-------|
fe rme renlor cueret enten dre	--⌫---⌫|-|--|---|-|-----⌫--|
ki ledirad ebon	-|-|---|-⌫|--|
m i ex l enerta tot	-⌫-⌫-||-|--||--|
lisai nshom quiert	-|---⌫-|--|-|---|
atort me nés	|---|--⌫---|
ert detosbien sen luminés	--|-|--|----⌫|--⌫-------|
enu er sleciel	---⌫--⌫|-|---|
regarde enhaut	------|-|---|
hardiementsenen t re elgaut	---------||-|--⌫-⌫-|-|---|
ainclesbestes neresoigna	---|--|-----|-|-------|
oreoiéscondexlidona	--|----|--|--|-|---|
granthono ren	----|----⌫|-|
la dese rtine	-|----⌫----|
lidrag onetla s erpentine	-|----⌫-|-|-|-⌫--------|
etlesau tresbestes	-|--|--⌫---|-----|
iot moult derubestes	|-|----|-|-------|
enc ontrelesaint	---⌫----|-|----|
home aloient	---|------|
aoreren tetinclinoient	-------⌫|-|----------|
hum b lementcomfuissent	---⌫-⌫-----|--|-------|
lesuertus deuet sesmerueilles	--|-----|--|-|--|---------|
ne porroi t bouchedomedire	-|------⌫|-----||--|---|
tantala par	---|--|--|
uitunarbreenun destor	--|-|----|-|-|-----|
do ntlierbeestoit drue	--⌫-|-|---|-----|---|
deraind efueill eestbienuestus	-|---|-⌫|------⌫|--|---|-----|
laestli preudo m arestus	-|--|-|------⌫|------|
liplota remanoir	-|---||-------|
fa ire so nmanoir	--⌫--|--⌫|-----|
desrainse tde lafoilleaporte	--|----|-⌫|-|-|-----|-----|
fait entree	---|-----|
quantceot faitlide u amis	----|-|-|---|-|--⌫|---|
si se s egnadedenssest	-|-|-⌫---|-----||--|
la uoldr a a lcu n bien	-|-----⌫|-⌫---⌫|---|
se tdecoipuist uiure	--⌫|-|--|----|----|
nede quel part socors liuiegne	-|-|---|---|-----|-|-----|
adeu selui	|--|-|--|
plai stensouiegne	----⌫-|-|-------|
par sagr aceparsa	--|-|--⌫--|--|-|
lanuitquantil fu anuitié	-|---|----|-|-|-------|
l i sain shomnesob lia pas	-⌫|----⌫|--|-||--⌫--|--|
agenols uait isnellepas	|-----|---|---------|
distco n pliededenss a cele	---|--⌫-⌫---|-----|-⌫|---|
delauirgepuce l e	-|-|----|----⌫-⌫|
etapres uigile de s mors	-|----|-----|--⌫|---|
oui l ertamors	-|-⌫|--|----|
ilpu etmainte nir	-|--⌫-|------⌫--|
ladroite uo ieue utt enir	-|-----|--⌫-|--⌫-|-⌫---|
sebi en aor edusca ore	-|--⌫-||--⌫|---||--|
silp uetmiexlef eraen core	|-|-⌫--|---|-|-⌫--|--⌫---|
n ouel emaison	-⌫----⌫|-----|
fu tote nui t aorison	-|---|---⌫||-----|
sil dormic e fua g enols	|-|----|-⌫|-||-⌫----|
piecha quil n	-----|-|-||
ot lesexsaols	-|--|-|----|
matinesdist alaiorn e e	------|---|||-----⌫-⌫|
qua nt clere	---⌫-|----|
fu lamatinee	-|-|------|
adeu moult saintementrendi	|--|----|---------|----|
e t prime et t ier ceetmiedi	-⌫|----|-|-⌫---⌫-|-|----|
enson cuerfai t ueue tpromese	-|--|---|---⌫|--|-⌫|------|
eu stilcantast mese	--⌫-|-|------|---|
epistleeteuangile dist	------|-|-------|---|
desquaie rseslis t	--|-----⌫-|-----⌫|
siaprestasonescrito ire	-|------|--|-------⌫--|
comench ier ueutunsa int	-------⌫--|---|-|--⌫--|
el no ndelpoissan tr oi celestre	-|--⌫|--|-------⌫|-⌫-|-------|
ilneuoldra mieuseus estre	-|-|-----|--|----|----|
quienhuiseuses	--|-|-------||
penserlifaitmai ntef olie	-----|-|---|---⌫--|-⌫---|
sonparce minet pennetaill e	--|-----⌫--|-|----|-----⌫|
den tre renla haute	|--⌫---⌫|-|-|----|
dontdyablesagrant enuie	---|------||----|----|
quilco mencesi sainteuie	-|-|--⌫----|-|-----|--|
ouotmaintebel e auenture	-|-|-----|---⌫|-------|
formentlipl aisoi tlescr ip ture	------|-|--⌫-----⌫||----⌫--⌫---|
s onfain obliepour l aioie	-⌫-|---|----|---|-⌫|---|
maisaldia bl emult anoie	---|-|---⌫--⌫|---|----|
b iensot sela uieest	-⌫--|--|-|-|--|--|
o uiloretant	-⌫|-|--|---|
quesoue ntes fois	--|----⌫---|---|
apr e scestuialtre	---⌫-⌫|-----|----|
iolequ id ai	-|-|--⌫--⌫-|
auoir uencu	----|----|
mais ilaprislehaut	---|-||---|-|---|
dontbiens est enuers moi couers	---|---||--|-----|--|-----|
soncorneta lifelaers	--|-----||-|--|---|
totlencree n aespandu fors	--||----|-⌫||------|---|
lisains ho m	-|----|--⌫|
uols istestremo rs	----⌫--|----|--⌫-|
quantiluit sonen ke espand u	----|-|--|--|--⌫-|------⌫|
helas ore aiiot otperdu	-|--|--|-|-|-⌫-|----|
pu isq ueme sen qu es	--⌫---⌫-|--⌫|--⌫--⌫-|
gistpar terre	---|--|----|
faitcesteguerre	---|----|-----|
malec osea encestcontor	---|-⌫--||-|---|-----|
lis ains homgar datotentor	-|-⌫---|--|---⌫-|--|----|
lanemi uitdeuan tlui	|----|--|-----⌫|--|
quigrantioieot	--|----|---|-|
ilen ristetfait lie	-|-|---|-|---|--|
haifaitil maluai s	--|---|-|------⌫|
parto i est	--|--⌫|--|
abatumesenkes	----|--|----|
quides tudoncquetumeuenkes	-----|-|---|--|-|-|-----|
oieu oi r abatusseras	--|-⌫--⌫|-----|----|
or medico mentescriras	-|-|-|--⌫---|-------|
tot t on enkeasperdual main s	--|-⌫-|---|-|----|-|----⌫|
orseronthuiseuse ste s ma i n s	-|-----|--------⌫|--⌫|--⌫-⌫-⌫|
quisisepenoient dourer	--|-|-|-------||----|
en ke ou recourer	--⌫-|-|-------|
tua sperduu eu	-|-⌫|----|-⌫-|
etpromesse	-|-------|
neiamais necante rasmes se	-|-----|-|-----⌫--|---⌫-|
qu el coseuiur as	--⌫-|---|----⌫-|
enteld esserttai	-|--|-⌫-----||-|
apainn eferine	|---|-⌫|-----|
mais orsetautressaluagine	---|--|-|-----|--------|
d onttesco rs e s tengrantperil	-⌫--|--|--⌫-|-⌫-⌫|-|----|----|
t ottes corsest mi senexil	-⌫-|--|---|--|--⌫|-|---|
cart ropcoi ntesestre soloies	--|-⌫--|---⌫---|----|------|
semonconseilcroireuoloies	-|--|------|-----|------|
i oter acor deroiealroi	-⌫|-|-⌫----⌫-----|-|--|
ot le des ro i	-|-|---⌫--⌫|
lieua sa main sorl i fistsigne	----|-|---|--|-⌫|---|----|
dela cro isqueta nt par estdi g n e	-|-|---⌫-|--|--⌫-|--|--|--⌫-⌫-⌫|
ca nemis aprochiernelose	|-⌫----|--------|-||--|
lesaten aslaidistetcose	-|-----⌫-|------|-|---|
que mo ultlafaitelcuerdolant	--|--⌫--|||---|-|---|-----|
p uslia dit	-⌫-|-||--|
parmal talent	--|---⌫-----|
iot e conm ant felanem is	-|-⌫|----⌫--|--|----⌫-|
par celu iqui en l ac roi s	--|----⌫|--|-|-⌫|-⌫---⌫|
porgeterlamedepri son	--|----||--|-|---⌫--|
qu i ene nferestoitencartre	--⌫|-|-⌫---|-----|-|-----|
que m ais nete	--|-⌫--|-|-|
puissesenbatre	------|------|
ille tantcongi e re	---|---|--|||-⌫-|
f uit endeci	-⌫-||-|-|-|
m aluais leciere	-⌫-----|------|
t rop mas porsu ilon geme nt	-⌫--||-|-----⌫|---⌫----⌫-|
cilsen fui i sne lement	--||-|--|-⌫---⌫-----|
homestd edenssa cel e	--|--|-⌫----|-|---⌫|
u i r gepucele	-⌫-⌫-⌫-|-----|
proie mo ult que socors	----|--⌫--|--|-----|
enuersterr e	-----|----⌫|
sor samainamis esaken e	--|-|---||---⌫|-|---⌫|
ensabouche boutesapene	-|-|-----|----|-|---|
sile tornieetma in eettire	-|-|-----|-|--⌫--⌫|-|---|
apr es decuer sos pire	---⌫-|-|---|---⌫---|
en gr an t	-|--⌫--⌫|
torment estoitsescors	------|-----|--|---|
de saboucearetraitf ors	-|-|----||------|-⌫--|
la penneki e rtatempr ee	-|----|-|-⌫-|------⌫-|
de col ord orb i en	-|---⌫-||-|-⌫-⌫-|
deste mpree	-----⌫----|
aueutotle tuel	|--|--|-|---|
deuantse s e x	-----|--⌫|-⌫|
atrait sama in	|----|-|--⌫-|
