libonsroysartus de	-|---|---|----|-|
ie ne q uitauoir	-|-|-⌫--|----|
quim edoieestremalescrite	--|-⌫|---|----|--|------|
ieuous pri	-|---|--|
o r taisiés uous e nt	-⌫|-------|---|-⌫-|
acourtoisienesens	|---------|-|---|
enplai tduise usemain t en ir	-|----⌫||----⌫--|----⌫-⌫--⌫-|
ches tplait nedoit au an t uenir	----⌫|----|-|---|--⌫--⌫|----|
ne ne doit	-|-|---|
mais faites nousaua nt	---|-----|---|---⌫-|
chequil auoitain scom menchie ́	--|-|-|----|---⌫|---⌫-------⌫|
nedoit auoir	-|---|----|
tenc hie ́	----⌫---⌫|
a ches tepa rolesapont	|----⌫-|--⌫---||----|
calo grenanset chirespont	----⌫------|-|--|------|
sirefaitilde laten c h on	---|---|-|-|-|---⌫-⌫-⌫-|
nia miegrantm esproison	|||--|----|-⌫--------|
p et itenesta poil epr is	-⌫--⌫-|-|--||--|-⌫|--⌫-|
seuo u sauésuers	-|--⌫-⌫|----|---|
moimespr is	--|-----⌫-|
iaraiianul damage	|---|-|--|-----|
amiexuaillantet a plussage	|---|-------|-||---|---|
mesi rekeusqueienesui	-|--⌫-|---|--|-|-|--|
aués uous souuentditanui	----|---|------|--|---|
que bien e ne ste scous tumi er s	--|---|-⌫|-⌫---⌫|----⌫----⌫--⌫|
tous io urs	---|--⌫--|
doitpuirli	---|---|-|
ettahonspo indreetmalos bruire	-|-----|--⌫----|-|----|-----|
sidoiue nt	-|-----⌫-|
enu ieu sm e sdi re	---⌫---⌫|-⌫-⌫---⌫-|
mais ienen conter aihuimes	---|-||-|------⌫-|--|--|
m en lais seempais	|-|----⌫-|-|---|
etieli p riquelesen taise	-|-|-|-⌫-|-|--||-|----|
qu e lechosemou t me	--⌫|-|----|---⌫|-|
commants oiemer chi	------|-⌫--|---⌫--|
dametr estui t	---|--⌫-----⌫|
chil quisont chi	---|--|---|--|
faitkesboi ng r e uousensaront	---|--|---⌫|-⌫-⌫|---|-|-----|
queu olent iers lescouteront	--|-⌫-----⌫---||----------|
nen enfaites or riens pourmoi	-||-|-----|-|----|---|--|
maisfoique	---|--|--|
uousdeués leroi	---|-----|-|--|
le u ostre	-|-⌫----|
seigneuretlemien	-------|-|-|---|
q uemande ́slis iferé s bien	-⌫-------⌫-|-|-⌫|-----⌫|---|
c ologrenant fait leroyne	-⌫---------|---|-|----|
ne uouscha illede lahaine	-|---|---⌫---|-|-|----|
monseigneur kes le senes chal	--|-------|--|-|-----⌫---|
coustumie rsestd edire mal	---------⌫-|--|-⌫|---|--|
lenpuetchast ier	|-|---|-----⌫--|
quemanderu ousue u let proier	--------|-⌫--|--⌫-⌫|-|-----|
queianenaiés aucueri re	--|-||-|----|-|---|-⌫-|
nel aissiésadire	-|-⌫-------||---|
chos equifaic heaoir	----⌫|--|----⌫-||--|
sedem amoruo lés ioir	-|-||---|--⌫---|---|
si co mmenchie ́stoutd erechief	-|--⌫--------⌫-|---|-⌫-------|
chertesdamec he	------|---|-⌫-|
me st mo utgrief	|-⌫-|--⌫-|----|
q ueuous mequ e mandésa	-⌫-|---|-|--⌫-⌫------||
ain smel aissaisse zzdesiextraire	---⌫|-|-⌫--------|-|--|--|-----|
quehui maisnule riens contaisse	--|--|---|---|----|--------|
se c ou rouc hierneuo us	-|-⌫--⌫----⌫---|-|--⌫-|
maisiefera i chequi u ouss iet	---|-|----⌫|--|--|-⌫--|-⌫--|
commentquelachosem eg r iet	---------|-|----|-⌫|-⌫-⌫--|
puisqu i uou s plaistorentendés	-----||---⌫|-----|-|--------|
oroeil lesme r endés	------⌫--|-|-⌫-----|
carparoleoi e	--|-----|--⌫|
est perdue	--|-----|
selenestdecuerent e ndue	|--||--|-|---|---⌫-⌫---|
tixquec he qui l oe nt	--|--|-⌫-|-|-⌫|--⌫-|
nentenden t	|--------⌫|
pascheque i	--|--|--||
etchil nen ont forsque loie	-|---||-|--|------||--|
pu isq uelicuers n	--⌫---⌫-|-|----||
ie ntentmie	|-⌫----|--|
asoreillesuie ntleparole	-|-------|---⌫-|-|-----|
aussic ommeli ue nsqui	----|-⌫---|-|--⌫-|--|
arrest ene demore	------⌫|-|-----|
ainss enpart en mou tpetit	---||-|---|-|---⌫|----|
selicuersnestsi estilliés	-|-|----||--|-|---------|
c a prendreso itappareilliés	||------|--⌫-|------------|
que chil lepu et en	--|---|-|--⌫-|-|
prend re et en clor re	-----⌫-|-|--⌫----⌫-|
etr etenir	-|-⌫-----|
les oreil le s	--|-----⌫--⌫|
sont uoiea uois	---|---||---|
ouparen t yent re lauois	-|--|--⌫||---⌫-|-|---|
et lic uersprentdeden s	-|-|-⌫---|----|-----⌫|
l eue ntre	-⌫|--⌫---|
quiparlo r eille	--|--||-⌫-⌫----|
etq uior meu aurra e nten d re	-|-⌫-|-|-|-⌫----|-⌫----⌫-⌫-|
quer etoreillesme doitrendre	---|-|-------|-|---|-----|
car ne ueul	--|-|---|
pas seruirdesong e	--|-----|-|----⌫|
n e d efablene demenchonge	-⌫|-⌫|----|-|-|--------|
dontmaintautre uouson tserui	---|----|----|---|--⌫|----|
ai nsconterai ch e	--⌫-|-------|--⌫|
qu e i e ui	--⌫|-⌫|-|
ila uintpr esade yy ans	-|-⌫---|--⌫-||-|-|--|
queie seusco m m e	--|-|---|--⌫-⌫-⌫|
aloieque rantauentures	----|---⌫---|--------|
arme ́sdetoutesarm eures	----⌫-|-|-----|---⌫----|
s i comcheualiers	-⌫|--|---------|
de uoi t e stre	--⌫---⌫|-⌫---|
ett rou uaiun	-|-⌫---⌫--|-|
cheminadestre	-----||-----|
forestespe s se	-----|----⌫-⌫-|
m outy otu oie felenesse	-⌫--||-|-⌫--|--------|
d eron sesetd	-⌫|---⌫--|-||
espines plaine	------|-----|
a quel ah anet aquelpaine	|---|--⌫-|-||---|----|
tout chele	---|----|
uoieetchel sentier	---|-|---|------|
abienprestout le iou rentier	|---|---|---|-|---⌫|-----|
menalaicheuauc han t ainsi	|-|---|-------⌫---⌫|----|
tantq u edelaforestissi	-----⌫-⌫|-|-|-----|---|
e tchefuenbrocheliande	-⌫|--|-|-|-----------|
de lafores t en un e	-|-|-----⌫|-|--⌫|
entrai et ui u nebreteche	-----|-|-|-⌫-|-------|
ademiel ieu egal esche	|----|-⌫---⌫|---⌫----|
tantiotbien plusn	---||-|---|---||
etui le barreet	-|-|-|----|-|
tout en uironparfontet le	---|--⌫----|------|-|-|
etseur lepont	-|---|-|---|
em pies estoit	-|---|-----|
sor son poingzz	--|--|----|-|
ostoirmué	-----|---|
neloi miebien	-||-|--|---|
quan t il meuint alestrie rpre ndre	----⌫|-|-|---|||------⌫|---⌫---|
simecomma nd a	-|-|-----⌫--⌫|
adescendre	|--------|
iede scendiil	-|--⌫-----|-|
queme stier auoied	--|--⌫----|----||
et ilme disttout maint enant	-|-|-|---|---|-----⌫----|
plusde yyfoisenuntenant	---|-|-|---|-|-|-----|
que benoite fustlauoie	--|------|---|-|---|
laiensu enusestoie	-----|-⌫---|-----|
atantenla court	----|-|-|----|
ene ntrasmes	-|-⌫-------|
l epo ntet	-⌫|--⌫-|-|
leporcepas sames	-|----|---⌫----|
emmi le cour t dunuauassour	---|-|----⌫||-|--------|
q ui dix doign e ioie	-⌫-|--|-----⌫|---|
tantcommeil fistmoi	---|----|-|---|--|
ch ele nuit	--⌫--|---|
pendoit une	------|--|
table ie cui t	----|-|---⌫|
ouilnauoitnefer n efust	-|-||----|-|--|-⌫|---|
nerie ns qui de	-|---⌫-|--|-|
coiuren ef ust	-----|-⌫|-⌫--|
seurc heleta bledunma r tel	---|-⌫---|--⌫--||-|--⌫-⌫--|
quideles iert enzz postel	--|----|---|-|-|-----|
fer i le uauassor	---⌫|-|-------|
trois caux	----|---|
ch ilquiierentam ontenclo s	--⌫-|--|-----|--⌫--|-----⌫|
oyrentleuoisetl eson	-----|-|---|-|-⌫|--|
sisirent h orsdelamaison	|------|-⌫--|-|-|-----|
etuinrentenla	-|------|-|-|
liun tor nerent auch eual	-|-|---⌫-----|-|--⌫---|
queliboinsuauas so rtenoit	--|-|----|-----⌫--⌫|-----|
etieui qu e uersmoiuenoit	-|-|-|--⌫|---|--|-----|
unepuc heleb eleetgente	--|---⌫---|-⌫--|-|----|
enl iesgardermis m	-|-⌫|-------|--||
elefu long ueet grailleet dr oi te	--|-|----⌫-|-|------|-|--⌫--⌫-|
demoi d esarmer	-|--|-⌫------|
lefistetbien	-|---|-|---|
pu is mafublaencour t mantel	--⌫-||-----|-|----⌫|-----|
ue rtdesc allatepaon nach e	--⌫-||---⌫-----|----⌫----⌫|
et tui tnousguer pirent	-|---⌫|---|----⌫-----|
le pla che	-|---⌫--|
queauecmoin eau ecli	--|---|--|-⌫|--⌫-|-|
neremainstnus che m ab eli	-|-------|--|--||--⌫--|
queplus neque r oie ueoir	--|---|-|---⌫-⌫--|----|
eteleme mena	-|--|-|---|
e l plusbelpra e letd u mond e	-⌫|---|--|---⌫-⌫--|-⌫|----⌫|
tout closde bas mea	---|---|-|---⌫-||
l aletrouuaisia faitie	-⌫|-|------|-|-⌫-----|
si bienpar lantet enseig nie	-|---|---⌫---|-|------⌫--|
detelsambla ntet	-|--|------⌫-|-|
detelestre	-|--|----|
quemout mi delitoit aestr e	--|---|||-------||----⌫|
neiammaispouruiureestouuoir	-|------|---|----|--------|
quis iss e remouuoir	----⌫---⌫|--------|
lanuitme fist deguer re	-|---|-|---|-|----⌫-|
liuauass oursquimeui nt querr e	-|------⌫---|--|-|--⌫-|-----⌫|
quantdusouper	----|-|-----|
fu tan setheure	-|---⌫|-|----|
poi plusfaire dedemeure	--|---|----|-|------|
si fistost	-|--|---|
s onquemandement	-⌫-|-----------|
dusouperuousdiraibriefment	-|-----|---|----|--------|
quilfudutout ama d euise	-|-|-|-|---||-|-⌫----|
desquedeuantmoi fua ssi se	-----|-----|--|-|-⌫---⌫-|
la puchele q uis	-|------|-⌫-||
apressouperitan tmedist	----|-----|----⌫|-|---|
liuauassoursquiln e sauoit	-|---------|-|-|-⌫|-----|
l eter mepuisque	-⌫|---⌫-|------|
herbegiéch eua liererrant	--------|--⌫---⌫---|-----|
qui auent urealas t querant	--|-----⌫--|----⌫|------|
s in auoit ilmaintherbegié	-⌫||----|-|----|--------|
apresch eme proiaquegie	----|--⌫|-|----|--|--|
par sonhost el men reueni sse	--|--|----⌫-||-|------⌫--|
enguerredon	-|--------|
seiepoisse	-|-|-----|
et ie lidisuolentierssir e	-|-|-|--|---------|---⌫|
quehontes fust del escondire	--|-----|---|-||--------|
bien lanuit hostelés	---|-|---|--------|
et mes cheu axfuenselé s	-|--|----⌫-|-|-------⌫|
sitostc ompotle	-|---||-|--|-|
iouru eoir	---|-⌫---|
et ieloi mout	-|-||-|---|
p roiélesoir	-⌫----|-|---|
sif ubienfaite ma priere	-|-⌫|---|----|-|-----|
monboinhoste	--|---|----|
etsafill e chie re	-|-|----⌫|----⌫-|
asaintesper it	|----|-----⌫-|
c om mandai	-⌫--⌫-----|
atrestouscongiedeman da i	|-------|-----|-----⌫--⌫|
si men partiain squeiepoi	-||-|----|---⌫---|-|--|
lost elgaires eslong iénoi	|---⌫-|-----|------⌫--||-|
quant i etrouua i	----|-⌫|------⌫|
enzz cos s ars	-|-|---⌫-⌫--|
tor s sauuage se tesperars	---⌫|-------⌫|-⌫|-------|
qui sent r e combato ient	--||---⌫-⌫-⌫-------⌫---|
etdemenoientsi grant	-|---------|-|----|
quedepaourme traisarriere	--|-|----|-|----|------|
qu enulebeste	--⌫|---|----|
nest plusfiere	|--|---|----|
nepl usorg ue il leused etoz	-|--⌫-|---⌫--⌫--⌫----|-⌫|--|
unsuilai nsqui resambloitmoz	--|-----⌫-|--|---------|--|
grans e th ideusadesmesure	----|-⌫|-⌫----||--------|
etsitreslaidecreature	-|-|---|----|-------|
que nusporroit dire de bouche	--|--|------|---|-|-----|
yc hil s eoits eur	--⌫--|-⌫---|-⌫--|
unegrantmachue en	--|----|-----|-|
i e ma prochay	-⌫||-⌫------|
uersleuilain	---|-|-----|
etu iqui l	-|-⌫|-|-⌫|
e utgrosselateste	-⌫-|-----|-|----|
plu s que ronchins	---⌫|--|-------|
ne autrebest e	-|----|----⌫|
cheu eu zot noirset fr ont pelé	----⌫--⌫|-|----|-|--⌫--|----|
yy espan csdele	-|-----⌫-|-|-|
oreilles m oussue s	-------|-⌫------⌫|
aussico m azzoliffans	----|--⌫||-|-------|
les sourchisgran se tleu i sp lat	--|-------|----⌫|-⌫|-|-⌫-⌫|-⌫--|
le coul lenoi re nesdechat	-|----⌫-|---⌫-|--|-|---|
bouchef endu ecomme lous	-----|-⌫----⌫|----|---|
densdesengl eragusetrous	---|-|-----⌫-|---|-|---|
barbenoireet grenons tortis	----|----|-|------|-----|
etlementonae rs aupi s	-|-|-----|--⌫-|-|--⌫|
longueesk i ne torte	-----|---⌫-⌫-|----|
apoié s fus e ursemachue	------⌫|-|-⌫-⌫-|-|-----|
uestus dero besiestrange	-----|-|--⌫-|-|-------|
iauoitnelinnelan g e	|----|-|--|-|---⌫-⌫|
a inseutasoncolatachiés	-⌫--|--||--|--|--------|
deuxcuirsdenouuelescorchiés	---|----|-|-----|----------|
deyy toriausou de	-|-|------|-|-|
empiessali liuilainslu e s	-|---|---|-|------|--⌫-⌫|
qu i l me uituersluiapr ochier	-|-⌫|-|--|---|--|---⌫-----|
ienes o isil m euaut touchier	-|-|-⌫-⌫||-|-⌫|---|-------|
qui uoloit	-||-----|
maisie megarn i d e deffendre	---|-|-|----⌫|-⌫|--------|
t ant que ieui	-⌫---⌫--|-|-|
que i lses tut	--|-⌫||--⌫--|
empies tousdroissines em ut	-|---|---|----|-|-|-⌫|-⌫-|
m ontésdeseuruntronc	-⌫-----|-----|-|----|
bienyypiesdelonc	---|-|---|-|---|
simesgarda et	-||------|-|
nientplus cune	----|---||--|
bes te feist	---⌫-|----|
etiequidai que il n	-|-|-----|--|-||
ra is onnepar le rne	--⌫--⌫-|-|---⌫--⌫|-|
tout esuoie st antm	----⌫-|----⌫|-⌫--||
dis uacor med i	--|-|--|-|-⌫|
se tuesboine ch ose	-|-|-|----|--⌫--|
eti lmedist	-|-⌫|-|---|
queshomdiietescomtu	---|--|-|-|--|--|-|
iene suiautresnulefois	-|-|--|-----|---|---|
etquefai st uychi	-|--|---⌫|-⌫|---|
sigartchesbest espar chubois	-|---|---|----⌫-|--|--|---|
commentpour saintperrede romme	------|---|----|----|-|----|
et n econnois sentele shomme	-|-⌫|-------⌫---|---⌫|----|
ie necuit n	-|-|---||
aplain nabos cage	|----|||---⌫---|
puissentgarderb estes auuag e	-------|-----|-⌫---|-⌫-----⌫|
i ele sgart siuoiret	-⌫|--⌫|---|-|---|-|
queianistrontdech es tp ou rpris	--|-||------|-|--⌫--⌫|-⌫--⌫----|
ettucommentdi m	-|-|------|-||
entleuoi r	--|-|---⌫|
ni acheli qui s ostmouuoi r	|||----|--||--|------⌫|
desq u elesm euoient uenir	----⌫|---|-⌫|-----|----|
car qu ant	--|--⌫--|
ien puislunetenir	|-|---||--|----|
siledes traing parmi le	-|-|---⌫-----|----|-|
adpoin s que iai etdurs	-|----⌫|--||-|-|---|
que lesautres depaourtramblent	--|--|-----|-|----|--------|
etto ut enuir o nmo i sasamblent	-|--⌫-|-----⌫-⌫|--⌫||--------|
aussicomp o urmerchi	----|--|-⌫-⌫-|-----|
nenusnes iporroit	-|--|-|||------|
for s mo is	---⌫|--⌫||
entreless estoit mis	---|---||-----|--|
que ma intenantnefustochis	--|--⌫-------|-|---|----|
ainsisuid e mesbeste ssire	----|--|-⌫|--|-----⌫|---|
ettumed eue roiesdire	-|-|-|-⌫---⌫----|---|
queshomtues	---|--|-|-|
fait iluns cheu aliers	---|-|--|----⌫-----|
quiqu iercheq uene	--|--⌫--|--|-⌫-|-|
puistrouuer	---|------|
asses aiquis	----|-|---|
etqueuaurroies tutrouuer	-|--|--------|-|------|
au enturespouresprouuer	--⌫------|---|--------|
ma proecheetmon	-|------|-|--|
hard ement	----⌫----|
orte priet quie retd e m ant	-|-|--|-|----⌫|-|-⌫-⌫-⌫--|
se tusesque	-|-|--|--|
tum e conseilles	-|-⌫|---------|
oudauent ures	-||-----⌫---|
o u demerueill es	-⌫|-|--------⌫-|
a che fait ilfaurr as tubien	|--|---|-|-----⌫-|-|---|
d aue nturesnesa iierien	|---⌫-----|-|--⌫|-|---|
nonquesmais n en oipa rle r	|-----|---||-|-|--⌫---⌫|
tuuoloie saler	-|------⌫|---|
chipres d usca	--|---|-⌫--||
unefontaine	--|-------|
nen reuenroiespas sanspai ne	|-|---------|--|---|---⌫-|
se tune rendoiessondroit	-|-|-|-------|--|----|
chiprest rouuerasore ndr oit	--|---|-⌫-------|---⌫---⌫--|
unsentierquilate	-|------|--|-|-|
toutdroitla	---|----|-|
d roite uo ie	-⌫----|--⌫-|
ueustes p a semploier	---|--|-⌫-⌫|-------|
que tostpo rr oiesde suoier	--|---|--⌫--⌫---|--⌫-----|
dautres uoies mout	|-----|----|---|
lafo ntai neue nrasqu i	-|--⌫----⌫-|--⌫---|--⌫|
sesteleplusfroid eque mambres	|--|--|---|-----⌫|--|------|
om br eslifai t liplu s biaus	--⌫--⌫-|-|---⌫|-|---⌫|----|
conquespeust fa irena ture	|-----|----|--⌫--|--⌫---|
e ntousta n sle	-⌫|---|--⌫-⌫|-|
fueilleli dure	------|-|---|
p entzzbachin de	-⌫--|-|-----|-|
quiduredu sq uen laf ont ain e	--|---|--⌫--⌫|-|-|-⌫---⌫---⌫|
leslafonta inetrouueras	--|-|-----⌫--|--------|
unperrontelcom tu	-|-----|--|--|-|
maisienete saidire	---|-|-|-|--|---|
quei enenu ionqu esnulte l	--|-⌫||-|-⌫|----⌫-|--|--⌫|
et d autrepar tunechapele	-||----|---⌫|--|------|
peti te maise le e st	----⌫-|---|-⌫-|-⌫-|
sa u bachinueusdeliaue	|-⌫|-----|---|-||---|
et desus le p erron	-|----|-|-⌫----|
l auenr asunegranttem peste	-⌫|----⌫-|--|----|---⌫----|
quenchest b osner em ain rabeste	-|-|----|-⌫-|-|-⌫--⌫---⌫-|----|
che ur eusn e dains nechi ers ne	---⌫--⌫--|-⌫|----|-|---⌫--|-|
nisli oisels	--|-|----||
enistront hors	-|------|---|
cartu uenras sifort fr oie r	--|-|-----|-|---|--⌫---⌫|
u enteret arbrespe choier	-⌫----|-|-----|--⌫-----|
et pour uoirto u rner	-|---|---|--⌫-⌫---|
quesetutenpues	--|-|-||-|---|
depa rt ir	----⌫--⌫-|
sans grantanui et san s	---|----|---|-|---⌫|
tropse rasdemeil le urchaanche	---|--⌫--|-|----⌫--⌫-|-------|
q uecheualie rqui ilfustonques	-⌫-|--------⌫|--|-|---|-----|
a doncqu e s	-⌫------⌫-⌫|
qui bie n m otlauoie moustree	--|---⌫||-|-|---|-------|
espoirsifutierchepassee	-----|-|-|------|-----|
e tp otestrepres	-⌫|-⌫-|----|---|
arbreet l echape leui	----|-|-⌫|-----⌫-|-|
bien s aid e	---|-⌫-|-⌫|
larbrechest	|----|-|--|
que cheestoitli	--|--|-----|-|
plusbiaus pins	---|----|---|
sortere c reust	--|---|-⌫----|
conq uessifortn e plut	|---⌫--|-|---|-⌫|---|
yauey p assastu ne	---||-⌫-----|-⌫-|
ancho iscouloit pardess ustoute	-----⌫-|------|--|----⌫-|----|
a l ar bre	||--⌫--|
ui le bachinpendre	-|-|-----|-----|
dup lu sfin	-|-⌫--⌫|--|
or qui f ustauendre	-|--|-⌫--||-----|
on quesencore en nul efo ire	--⌫---|-----|-|---⌫|--⌫--|
del a f ontaine	-|-⌫|-⌫------|
p oéscr oir e	-⌫---|--⌫---⌫|
quele bou loit	-|--|---⌫---|
yauechau de	---|----⌫-|
liperrons fud uneesmeraude	-|------|-||--|--------|
perchie aussi com unebouz	------|----|--|--|---|
sau oity y rubin sdes ous	|--⌫--|-⌫|-----⌫|---⌫--|
p lus f lam boianse tplusuermaus	-⌫--|-⌫---⌫-----|-⌫|---|------|
qu enestaum atinliso laus	--⌫||--|-|-⌫---|-|--⌫---|
quantilapper tenorient	----|-|-----⌫|-|-----|
etsachiésiaaensci ent	-|-------|-||-----⌫--|
neuousenmentiraidemot	-|---|-|-------|-|--|
lamerueilleau eoirmeplot	-|--------||-⌫---|-|---|
de latempes teetde	-|-|------⌫-|-|-|
dont ienemetieng mie asage	---|-|-|-|----|--||---|
quema intenant m en repentisse	--|--⌫-------||-|---------|
moutuolentiers	---|---------|
se iepoisse	-|-|-----|
perron creue ́	-----|-----⌫|
d eliauea ubachin arous é	-⌫||---|-⌫|-----|-----⌫-|
maistro p y	---|---⌫||
en uersaichedout	-|-----|--|---|
quelo rsieuilechielderout	--|--⌫-|-|-|-|----|-----|
de p lusdeq uatorismepars	-|-⌫--|-|-⌫--------|---|
n uestoutp ellemelle	-⌫--|---|-⌫--------|
ietoi ent n oif pluiee tgraille	-----⌫--|-⌫--|----|-⌫|------|
tantfutanspesmes etfors	---|-|---|-----|-|---|
queiequidai	--|-|-----|
bienestr emors	---|----⌫|---|
desf ourdresquen to rmoicaoien t	--|-⌫------|-|--⌫--⌫|--|------⌫|
etdesarbresqui de pec hoient	-|--|-----|--|--⌫---⌫-----|
saichiésquemout fuie sma i és	--------|--|---|--|-⌫---⌫-⌫--|
tan tqueli tansfu rapaiés	---⌫---|-|---|-|-------|
ma isdixtantmera sseura	--⌫-|--|---|-|--⌫-----|
quelitans g aire s	--|-|---|-⌫----⌫|
liuentse reposerent	-|---|-|---------|
uenterno serent	-----||-⌫-----|
etquant ieuilair	-|----|-|-||--|
deioiefui touta sseu r	-|---|--|---|-⌫----⌫|
que i oiesonquesl econnui	--|-⌫--||-----|-⌫|-----|
fa ittost o ubl iergrant anui	--⌫-|---|-⌫---⌫--|----|---|
desquelitansfutrespassés	-----|-|---|-|----------|
