u nemanieredege nt sont	-⌫-|------|-|--⌫-|---|
lanuitqua nt e l efuc ouchiee	-|---|---⌫-|-⌫-⌫|-|-⌫------|
i osteleduc	-⌫---|-|--|
a soupirer	|-------|
commenca etp uis	-------|-|-⌫--|
duserr a ntli demande	--|---⌫-⌫-|-|------|
que cest q ueelaetli commande	--||--|-⌫-|-||-|-|-------|
li d iema int en a nt	-|-⌫-|--⌫---⌫--⌫-⌫-|
certes fet	-----|--|
ele iaiduel	--||-|---|
qu enese tnushautzho m	--⌫|-|--⌫|--|----|--⌫|
qui foil i por ten e qui	--|--|-⌫|---⌫-|-⌫|--|
m e splusde bien	-⌫-⌫|---|-|---|
et dennorfont	-||----|---|
com cilquileurtrai toursont	--|--|--|---|----⌫---|---|
et sine s enap arcu et n us	-|-|-||-|--⌫----⌫-|-⌫-|
parmafoidamefetli	--|-|--|---|--|-|
ienesaipor coiuou sledi tes	-|-|--|--|--|---⌫|-|--⌫--|
mesd itel cho sesui ie cuites	--||---|---⌫-|--|-|-----|
queanulfuern e	--||--|---|-⌫|
norrir oie	------⌫--|
traitourse ielesauoie	-------|-|-|-|-----|
haiezfeteledonc celui	----|--|--|---|----|
sile nonma quinefinahui	-|-|----|--|-|---|--|
lo ncle ior	--⌫-|-|--|
queieli donn assemamor	--|-|-|----⌫---||---|
etme distque	-|-|---|--|
moutalon ct an s	---||---⌫|-⌫--⌫|
quilaestéencesporpens	-|-||----|-|--|------|
qonqu es mesnelemosa	|----⌫-|--|-|-||--|
pe ns ai biausdouzsir e	--⌫--⌫-|----|---|---⌫|
tantostqueieleuous	------|--|-|-|---|
etcepertb iench ose uroie	-|-|---|-⌫--|--⌫--|----|
quilaitpiecaace pensé	-|-|--|----||-|-----|
quedece qua lliorsaitamé	--|-|-|-|-⌫-----|--|---|
nou uelee ncoroi n	---⌫---|-⌫---|-||
siuousrequie ren	-|---|------⌫|-|
guer red on	----⌫---⌫-|
c auostrehonor siiguardoiz	||-----|----|-||-------|
co mmeuous sauez quilestdroiz	--⌫--|---|----|-|-|--|----|
li dus quiilsamblemoutgref	-|--|--|-|-----|---|---|
uan rai bie nachief	---⌫--|---⌫||----|
etmoutpar tens	-|---|--|---|
si comiecuit	-|--|-|---|
enmaleisefucele nuit	-|------|-|---|---|
li dusnonq ues dormirnepot	-|--||---⌫--|-----|-|--|
porlecheual i erqueil amot	--|-|------⌫-⌫-|--|-|---|
qui croitqueaittant	-||----|--|--|---|
uers lui meffet	---|--|-----|
quepardroitsa mor	--|--|----||-⌫--|
p erdue ait	-⌫----|--|
etporcetoutenuitu eilla	-|--|-|----|---|-⌫----|
l andem ai nmo ut	|-----⌫--⌫|--⌫-|
m atinleua	-⌫---|---|
et fist celuiali ueni r	-|---|----||-|----⌫|
quesafame le	--|-|---|-|
sen ce quede rien n	--|-|--|-|---||
maintenan t laaresonmis	---------⌫||||----|--|
seula seulque ni	---||---|--|||
aqu eeusd eus	|--⌫|--|-⌫--|
certesfe t li dusces tgrantde us	-----|--⌫|-|--||--⌫|----|--⌫-|
quantproec e auezet b iaute	----|-----⌫|---|-|-⌫----|
etil naenuousloiaute	-|-|||-|---|------|
si m enau ezbi ende ceu	-||-|--⌫-|--⌫-|--⌫--|
que iaimoutl onguementcreu	--||-|---|-⌫--------|---|
queuous fusiezenboinnef oi	--|---|-----|-|-----|-⌫-|
lo ia us a toutlemoinsu er moi	--⌫--⌫-||---|-|----|-⌫-|--|
quei ai uers u ous amor	--||-|---|-⌫--|---|
d ont uosestuen ue	-⌫--|--|--|---⌫-|
telpen seenes itrait resse	--|---⌫--|-|-⌫|-----⌫----|
quep roie e auez ladu chesse	--|-⌫----⌫|---|-|--⌫-----|
etrequisede	-|------|-|
f ait telt richerie	-⌫--|--|-⌫-------|
quep lus uila innen eustuetquer re	--|-⌫--|----⌫---||------|----⌫-|
errant dema terre	-----|-|-|----|
ieuous encounioiesanzdoute	-|---|-|-------|---|----|
et lau ousueeetdeffent toute	-|-|-⌫--|--|-|------|----|
sinientrez	-|||-----|
netantne quant	-|---|-|----|
que seiedesore ena uent	--|-|-|--|--|-|-⌫---|
pouai efeire	-----⌫|----|
sa chiezieuous feroiep endre	--⌫----|-|---|-----|-⌫----|
q uantli c heualiers	-⌫---|-|-⌫--------|
direet dem autal entesprent	|--|-|-|-⌫-----⌫--|------|
litrenbl entlimenbr e	-|------⌫--|-|-----⌫|
q ue desamieliremembr e	-⌫-|-||---|-|-------⌫|
dontilsetquenepueti oir	---|-|--|--|-|---|-⌫--|
sen es t paraleretueni r	-||--⌫|--|---|-|----⌫|
etparrepeiriero u pais	-|--|--------|-⌫|---|
d ontlidusueutquil	-⌫--|-|--|---|-|-|
soiteschis	---|-----|
et d autre	-||----|
partlirefe tma l	---|-|----⌫|--⌫|
ce q ua traitordesloia l	-|-⌫||------|-------⌫|
letientses	-|----|--|
s iresetatort	-⌫---|-||---|
siestein sigrantdeconfort	-|--|--|-|----|--------|
t ientetesbahi	-⌫---|-|-----|
sirefe t il	---|--⌫|-|
po urdieumerci	--⌫-|---|----|
necr eezia	-|--⌫--|-|
queieonques	--|-|-----|
sid esuezfusse	-|-⌫----|----|
ce q uemem etez	-|-⌫-|-|-⌫---|
at ortseure	|-⌫--|----|
queie pens assei or	--|-|----⌫---|-⌫-|
siamalfetqu i	-||--|--|--⌫|
neu ousi ualentescond i t	-|-⌫--||-----|------⌫-⌫|
fet li dusque point	--|-|--|--|----|
q ueelemeimes	-⌫-|--|-----|
con té lema	---⌫--|-|||
en quele manieree tenqueleguise	-|----|------|-⌫|-|----|----|
uous lauez proiee	---||---|-----|
et requi se	-|-----⌫-|
comme trichierr es enuious	----|---------⌫-|------|
ettelechosedeistes uous	-|---|----|------|---|
puetce estredont	---|-|----|---|
elesetaist	--|-|----|
madame dit	-|---|--|
ce queliplest	-|--|-|----|
f etcilquimoutestoit	-⌫-|--|--|---|-----|
sine m iuaut ri ensescondit	-|-|||---|--⌫--|-------|
neu eritez q ueie	-|-⌫-----|-⌫-|-|
sine striensqueie nen	-||-⌫-|----|--|-||-|
parsiq u eienfussec reuz	--|-|-⌫-⌫||-|----|-⌫---|
quedecen i ar ienseu	--|-|-||||-⌫---|-|
s ia fetsoi	-⌫||--|--|
liduspar m ame	-|--|--||--|
quiils ouueno itdesafame	--|-|-⌫------⌫-|-|-|---|
quil i d ist queilpouoitsauo i r	--|-⌫|-⌫--|--|-|-----|----⌫-⌫|
queele lia u oitdi t	--|--|-|-⌫-⌫--|--⌫|
quant onne	----|-|-|
oitque nusparlas t	--|--|--|------⌫|
qu ecilena utreluienmast	--⌫|--|-|-⌫---|--|-----|
d ont lidus d istaucheuali e r	-⌫--|-|--|-⌫--|-|-------⌫-⌫|
seuousmeu olezf ian cier	-|---|-|-⌫---|-⌫---⌫---|
paruostreloiailsereme nt	--|-----|-----|------⌫-|
queu ousme direzuoirement	--|-⌫--|-|----|--------|
ceque ie uous demanderoie	-|--|-|---|----------|
paruostre ditcertains s e roie	--|-----|--|-------|-⌫-⌫---|
auriezfeto u	-----|--|-⌫|
cedo ntiai u ers	-|--⌫-||-|-⌫--|
uo ussoupecon	--⌫-|-------|
ci l q uitantcouuoite	--⌫|-⌫-|---|-------|
age tersonseig niordesir re	|--⌫--|--|----⌫---|-||--⌫-|
quila ue rsluietsanz	-|-||--⌫-|--|-|---|
etqui redouteteleperte	-|--|------|---|----|
guerpirl acon tree	------|-⌫|---⌫---|
ou cele est	-|---|--|
qui plus li agree	--|---|-|----|
res pontquesanzn ul contredit	---⌫---|--|---|-⌫-|--------|
fera ceque li dusa dit	---|-|--|-|--||--|
car ilnepen se	--|-|-|---⌫-|
nee s garde	-|-⌫-⌫----|
acedont li dus se	|-|---|-|--|-|
prantgarde	----|----|
necourrou z neli	-|-------⌫|-|-|
les se penser	---⌫-|-----|
q u eli dusueille	-⌫-⌫|-|--|-----|
f orsdice leproier e	-⌫--||---⌫-|------⌫|
leserementen tel	-|-------|-|--|
enp rentl i	-|-⌫---|-⌫|
etli d usmaintenant lidi st	-|-|-⌫-|---------|-|--⌫-|
sa chiezpar fineuerit e	--⌫----|--|---|-----⌫|
queieu ous	--|-|-⌫--|
c a enar ieredefincuer	-⌫|-|--⌫---|-|--|---|
neme lessa st	-|-|-----⌫-|
cro irea nulfuer	---⌫--||--|---|
deu oustelmaiffetne telhonte	-|-⌫--|--|------|-|--|----|
commeladucheseme cont e	----|-|------|-|----⌫|
au antlaten isse iepor u oire	--⌫--|-|---⌫---|-|--|-⌫---|
le mefeist	-|-|----|
etmenmeist	-||-|----|
engra nt dou tance	-|---⌫-|---⌫----|
que ieesgarstuostrecontenance	--|-|------|-----|---------|
et decoin tiseetda ut re rien	-|-|----⌫---|-||-⌫--⌫-|---|
acoion p uetsauoirm outbien	|--|-|-⌫--|-----|-⌫--|---|
queuousamez	--|---|---|
o uquece s o it	-⌫|--|-|-⌫-⌫-|
aillorsne saperc oit	------|-||-----⌫--|
nu squamés demoiseilesoudame	--⌫|-|----|----------|-|---|
ie m e p ensquecesoi t	-|-⌫|-⌫--|--|-|---⌫|
qui medistqueuousl e nproiez	--|-|---|--|---||-⌫|-----|
estre desuoiez	----|-------|
quene cuideque insi uo itl afere	--|-|----|-|-⌫---|--⌫-||----|
pourriensqueu ous m ensach iez fere	---|----|--|-⌫--||-|----⌫--|---|
ditesq ue aillors	----|-⌫-|------|
amez entielli u	---|-|---|--⌫|
quem enfaciezsanznul edoute	--||-|-----|---|---⌫|----|
sau oirenl a	---⌫--|-|-⌫|
uerite to u te	-----|--⌫-⌫-|
fereneuouslez	---|-|------|
commepariureuouse nalez	----|------|---|-⌫|---|
mat erre sanz delai	-|-⌫---|---|----|
cil nesetnulconseil de	--|-|--|--|------|-|
quelip artissi liestfo rt	--|-|-⌫----|-|-|--|--⌫-|
quel u net laut r e	--||-⌫|-||---⌫-⌫|
tientam ort	----||-⌫--|
ques ildistlaueritepure	--||-|---|-|-----|---|
q ildi rase ilne	|-|--⌫-|-|-|-|
se pariure	-|------|
amort se tientqu	|---|-|----|-|
ilmeff ettant	-|----⌫-|---|
qu iltresp asseleconuenant	-|-|-----⌫---|-|--------|
quea sadame e tasamiea	--||-|---|-⌫|||---||
et e stseursde p erdr e la	-|-⌫-|----|-|-⌫----⌫|-|
p oitap erc euoir	-⌫--|--⌫---⌫----|
e tsi l neditauducleuoir	-⌫||-⌫|-|--|-|--|-|---|
pariuresestet foi m entie	-------|--|-|--|-⌫----|
et pert le	-|---|-|
paisetsamie	---|-||---|
mesd upais ne li c hiausist	--|-⌫|---|-|-|-⌫-------|
remainsist	---------|
touteriens	----|----|
per dre cri ent	---⌫--|---⌫--|
ce qu eades lisouuient	-|--⌫|---|-|-------|
dela gran ti oieetdusolaz	-|-|----⌫|-⌫--|-|-|----|
qui laeueentresesbraz	-|-⌫||--|----|--|---|
sisepe nsesilamess ert	-|-|--⌫--|-|-|----⌫--|
il parsonmeffetlap ert	-|--|--|-----|-|-⌫--|
kantauec soine	---|---|--|-|
la puetmener	-|---|----|
commentporra sanzlidurer	------|----|---|-|----|
sie st e ntelpoint	-|-⌫-|-⌫|--|----|
comlichat elainsdecou chi	--|-|----⌫-----|-|---⌫--|
qu ioucuern auo i ts a m or non	--⌫|-|---||---⌫-⌫||-⌫-⌫-|--|
enue rdechanco n	-|--⌫|-|------⌫|
pard ieuam orsfortmestaconsiurrer	--|-⌫--|--⌫--|---||--||---------|
du solazetdela	-|----|-|-|-|
conpai ngnie	------⌫----|
dusamblantquem isoloitmonter	-|-------|--|||-----|-----|
celequi mer tma da me	---|--||--⌫|-|--⌫-|
conpaigneetamie	--------|-|---|
et quant recortsa	-|----|-----|-|
s implecompaignie	-⌫----|---------|
etlesdouzmoz	-|--|---|--|
ques eutamo ipa rle r	--|-⌫--||--⌫|--⌫---⌫|
commentme puetlicuersencor sdurer	------|-|---|-|----|-|---⌫|----|
quant ilnepartcert estrop est ma uue s	----|-|-|---|----⌫-|---|--|--⌫---⌫|
lic h eual iersatelean goisse	-|-⌫-⌫----⌫---||---|--⌫-----|
ne setsel e uoirli	-|--|-|-⌫|---|-|
conno iss e	-----⌫---⌫|
ou se li men te et lestlepais	-|-|-|---⌫-|-|---|-|---|
etquantil es tai nsipensis	-|----|-|--⌫|--⌫--|-----|
quil nesetlequelliuaut	-|-|-|--|-|---|-|---|
leueducuer	|--|-|---|
l imonteaus euz	-⌫|----|--|--|
par lan g oissequi s eporc ha s e	--||--⌫-⌫----|--|-⌫|----⌫--⌫-⌫|
etli de sc ent a uallaface	-|-|--⌫--⌫--|-⌫--|-|---|
siquilleuis ena moullié	-|-|-|-|--|-||-------|
li dusl euoi tsenapitie	-|--|-⌫|---⌫||-||----|
entantqu ila tel chose	-----|-|-||--|----|
que reconnoi treneliose	--|--------⌫--|-|-|--|
lorsli dusinellepas	---|-|--|--------|
bienuoiq u eneuo usfie zpas	---|--|-⌫-⌫|-|--⌫-|---⌫|--|
enmoitantcom u ou sdeuriez	-|--|---|--|-⌫--⌫|------|
cuidezs euou s	-----|-⌫|---⌫|
uostrecon seil cel eement	-----|---⌫---|---⌫-----|
que lede isseanulegen t	--|-|--⌫---||---|---⌫|
leroie auan tsa nzfaute	-----|----⌫|--⌫-|----|
treire les	-----|--|
auant l autre	----||----|
ha sirefet c il mercisire	-|---|--|-⌫-|----|---|
ie ne sai queiedoie dire	-|-|--|--|-|---|---|
ne quei e puissedeu en ir	-|--|-⌫|-----|---⌫--⌫-|
mesieuoudroi e	--|-|-------⌫|
mieuzmorir	----|----|
que per d rece	--|---⌫-⌫-|-|
queie perdroie	--|-|-------|
se leuoirdit uo us enauo ie	-|-|---|--|--⌫-|-|---⌫-|
e til es toitdela seu	-⌫|-|--⌫---|-|-|--|
arienq uisoitaumontuiuant	|---|-⌫-|---|-|---|-----|
lors distli	---|---|-|
uouscreant	---|-----|
seur le corsseurl amede moi	---|-|---|---||--|-|--|
e t seu rlamoret seurla	-⌫|---⌫||---|-|---|-|
que ieuousd oipouruo st re	--|-|---|-⌫-|---|--⌫--⌫-|
q ueiae ntret o utmonaage	-⌫-|-|-⌫|----⌫-⌫-|--|---|
nenest acreaturene e	|-|--||-------|--⌫|
par moip aro l eracon t ee	--|--|-⌫---⌫-⌫|-----⌫-⌫-|
nesamblanz fet	-|-------|--|
grant nepetit	----|-|----|
e tcilli adi tenplo rant	-⌫|--|-||--⌫|-|---⌫---|
s ireetiele uousdirai einsi	-⌫--|-|-|-|---|----|----|
iainuostren i ec e deuer gi	|--|-----|-⌫-⌫--⌫|-|---⌫-|
et elemoi tantcom	-|--|--|---||-|
o rmeditesdont fetli	-⌫|-|----|---|--|-|
quantsiuo lezqu eon uouscoiure	----|-|--⌫--|--⌫|-|---|-----|
sauoitnus forsuous	-----|--|---|---|
c esteoure	-⌫---|---|
che u aliersli respont	---⌫-⌫-----|-|------|
nennilcreat uredu mont	-----|-----⌫--|-|---|
foi soili dus cenepu et estre	--|--|-|--|-|-|--⌫-|----|
comma ntpouez aueclu i e stre	-----⌫-|----|---|--⌫|-⌫---|
n ecomme nt a uez liunetans	-⌫|-----⌫-|-⌫--|--|-|---|
parfoisirefetil parsens	--|--|---|--|-|--|---|
que ieuo usdir aisanz r ie ns ta ire	--|-|--⌫-|---⌫-|---|-⌫--⌫-|--⌫--|
quantsauezde nostreafeire	----|----|-|-----|-----|
lorsli a toutes acontee s	---|-||-----|-------⌫|
sesuenuesetsesalees	--|-----|-|--|----|
etlaconuenance	-|-|---------|
etd u p etit	-|-⌫|-⌫---|
chi enl a mani ere	---⌫-|-⌫|----⌫--|
lorsdistlidus ie	---|---|-|--|-|
uous req uier	---|---⌫---|
que a uostre	--||-----|
termepremier	----|------|
uoulliez queuostre	-------|--|-----|
compains soi e	-------|---⌫|
dal er ouousencele uoie	|--⌫-||---|-|---|---|
que ie uoi lsauoirsanz	--|-|---⌫|-----|---|
se ai nsiua	-|--⌫--|-|
uostrebesongne	-----|-------|
sinens auram aniec e	-||-|-⌫---|-⌫|----⌫|
sirefetil iele u oi lbien	---|--|-|-|-|-⌫--⌫|---|
mes quilneuousgrietne	--|-|-|-|---|----|-|
orsachiez biengiraiennuit	-|------|---||---|-|---|
e tlidusdist ieiirai	-⌫|-|--|---|-||---|
eti a neliennuierai	-|-⌫|-|-|--------|
ainzliserasolaze tge us	---|-|---|----|-⌫|--⌫-|
ent reusdeu isentlelius	---⌫|--|---⌫----|-|---|
oua s emb leronttout	-|-⌫-⌫---⌫-----|---|
sitostcom meil fuannuitie ́	-|---|---⌫-|-|-|--------⌫|
que assezp resdilecestoit	--|----|-⌫--||---|-----|
oul a nieceau	-|-⌫|----|-|
ducestoi t	--|-----⌫|
tiennentlorchemin	-------|--|-----|
ils on tuenu au iardin	-|-⌫--⌫|---|-|-----|
oulid us ne	-|-|-⌫-|-|
fupasgra ntpiece	-|--|---⌫-|----|
qua ntiluit le	---⌫-|-|--|-|
chien net sa ni e ce	-----⌫--|-|--⌫-⌫-|
quis enu int	--||-|-⌫--|
aulonc duu er gier	-|---|-|-⌫--⌫---|
tantquil trouu a l echeualie r	---|-|-|-----⌫|-⌫|--------⌫|
quigrantioie fista	--|----|---|---||
tantostalauo ies e met	------||-|--⌫-|-⌫|--|
licheualiers et	-|---------|-|
leduc leis t	-|--|----⌫|
etlidusapresluisemet	-|-|--|----|--|-|--|
a lacha mbre lep lustostquilpuet	|-|---⌫---|-|-⌫--|---|-|-|---|
ils arete etnese muet	-||----|-|-|-|---|
des ouzzzarbregran t etlarge	---⌫--|-|----|----⌫|-|----|
s es ttostcou ue rzque	|--⌫|---|---⌫--⌫-|--|
plusnetarge	---|-|----|
quemo utententa	--|--⌫-|-----||
dilec uitenla	|---|--|-|-|
ch ambreentrer	--⌫----|-----|
l e ch eualier etuit	-⌫|--⌫------|-|--|
sanie ceet	-|---⌫-|-|
con trel ui uenir	---⌫--|-⌫-|----|
f ors delachambre	-⌫--|-|-|------|
etui te t oi te l a pel	-|--⌫|-⌫|-|--⌫|-⌫--|
commeeleli fistpour soul az	----|--|-|---|---|----⌫-|
d e saluz et	-⌫|----|-|
deb oucheetdebraz	-|-⌫----|-|-|---|
quesitostco mmeelel ech oisi	--|-|---|--⌫--|--|-⌫|--⌫---|
de lachambreuerslu isailli	-|-|------|---|--⌫|-----|
sesbiau s braz	--|----⌫|---|
et plusdey yfoizlebesa	-|---|-|-⌫|---|-|---|
ainzque feistlo n gue	------|----|--⌫-⌫--|
etcil larebaiseet aco le	-|--|-|------|-|---⌫-|
distmadame m	---|-|---||
ma morsmescue rsma druer ie	|-⌫---|--|---⌫-|-|-----⌫-|
m esperanceettout	|--------|-|---|
quantqueiain	-------||--|
sa chi ezqu aieu	--⌫---⌫-|-|-|-|
moutgr antfain	---|--⌫--|---|
ououssic om	|---|-|-⌫-|
t retou ziorspuisqueie ni	-⌫-----⌫|---|------|-|||
et e ledistmesdouzsei gniors	-|-⌫-|---|--|---|---⌫-----|
am is mad ouce amors	--⌫-|-|-⌫---|----|
onquespuisnefu	-----|---|-|-|
iorne eu re	--|-|--⌫-|
q ue nem ennui ast lademeur e	-⌫-|-||-----⌫--|-|------⌫|
mesorenemeduelderien	--|--|-|-|---|-|---|
qua ntiai o moiqu a nqueie ain	---⌫-||-||--|--⌫-⌫---|-|--|
q uant cie ste ssainsetheitiez	-⌫---|-|-⌫---⌫|----|-|------|
tresbiens uenuzsoiez	---|----|----|----|
et cild i st et uousbi entrou uee	-|--|-⌫-⌫-|-|---|--⌫-|----⌫--|
to ut oi li dusa l	--⌫-|-|-|--|||
pr esdeusapoiez fu	--⌫-||--|-----|-|
etsaniecea la	-|-|----||-|
uoizconneue	---|------|
sibie netalacontenan ce	-|---⌫|-||-|--------⌫-|
qu e il esttouzhorsdedoutance	--⌫|-|--|---|---|-|-------|
et sit ientde cela duchesse	-|-|-⌫---|-|-|-|-------|
l iotamenterresse	-⌫|-||----------|
etmoutliplestor	-|---|-|----|-|
u o iti l bi en	-⌫-⌫-|-⌫|--⌫-|
queciln eli ameff etrie n	--|--|-⌫|-||----⌫-|---⌫|
decedont ill	-|-|---|-||
esta insitenu	--|-⌫---|---|
toutelanuitendurem entiers	----|-|---|-------⌫------|
qu esa nie ceetli cheuali e rs	--⌫|-|---⌫-|-|-|-------⌫-⌫-|
dedenzla chambreensemble furent	-----|-|------|-------|-----|
quisan zdormir enzzlitiurent	--|---⌫|-----|-|-|--|-----|
atel ioie eta	|--|---|-||
tel d eport	--|-⌫----|
qu i l n est reso nsqu enusrecort	-|-⌫||--|----⌫-|--⌫|--|-----|
neneled ie	-|-|-|-⌫-|
silnatenta	|-||----||
auoirtelei oie	----|---|-⌫--|
commeam ors a fineamantdonne	----|--⌫--||---|----|----|
quantsapai nneli guerredonne	----|-|---⌫--|-|----------|
quete le io ie	--|--⌫-|--⌫-|
o i tce et rien n enentent	-⌫-⌫|-|-|---||-|-----|
puisquilnaaamorslecuer	-----|-||||----|-|---|
quenusnesaroit anul fuer	--|--|-|-----||--|---|
combie n uau t atele	------⌫|---⌫||---|
samor s ne	|----⌫|-|
li fesoitsa u oir	-|-----|--⌫-⌫--|
queti exbiens neuientm iea toz	--|--⌫-|----|-|----|-⌫-||--|
etsoulaz etenuoiseure	-|-----|-|---------|
aquepetitdure	|--|----|---|
auisal amantquil	---|||----|--||
iasi longuesneli	-|-|------|-|-|
tantl iplestlauiequilmainn e	---|-⌫|----|-|--|-|-|-----⌫|
