mes uidedireten us	-|-⌫-|-|---|---⌫-|
laperec he	-|-----⌫-|
kil aelcorscouuient	|-||-|---|-------|
n esaique p l usuousendesiss e	-⌫|--|--|-⌫-⌫-|---|-|------⌫|
desauers mais detan tmest biel	--|----|---|-|---⌫||--|---|
tantcauparl ersont conneu	---||-|----⌫-|---|-----|
des menestreus	--|---------|
leurbienle urm alie	---|---|--⌫-|-⌫-|-|
disansfaille	-|---|-----|
uerseus napointderepostaille	---|--|||----|-|----------|
c epoisemoitout	-⌫|----|--|---|
sansmesprendre	---|---------|
queiou itroeu e q u e	--|--||-----⌫|-⌫-⌫|
nequ eblasmer neque	-|--⌫|------|-|--|
ioudoiioudontdire	--|--|--|---|---|
kil soitnuscheualie rsuilai ns	|-|---|--|--------⌫-|-----⌫-|
nenilma isliunson t du	----|--⌫-|-|-|---⌫|-|
p lusqueliautre entousb oinsleus	-⌫--|--|-|----|-|---|-⌫---|---|
ets enia as sesde teus	-||-|||--⌫--|-|---|
sont monté emprouece	---|-----|-|------|
daignentfa irelarge ce	-------|--⌫--|-----⌫-|
se fientdurem ent	-|----|-----⌫--|
enle urprouece k esraument	-|--⌫-|------||--------|
sifierto rgieus ki les	||----|-⌫-----|-|--|
arespondres onl eur demande	|--------||-|-⌫--|------|
etdientque	-|----|--|
nestmiehonours	|--|--|------|
de doneracesleceours	-|----||--|-------|
donraileurioudonrai	-----|---|--|-----|
qu e pueentildir edemoi	--⌫|-----|-|---⌫|-|--|
nesuiiou cilaugrantescu	-|--|--|--|-|----|---|
iesui cilki	-|--|--|-|
toutau ainc u	---||-⌫----⌫|
ie sui limiud resdemamain	-|--|-|----⌫--|-|-|---|
car iaidarmes p assé	--||-||----|-⌫----|
aunsigneurcoi quenus	|-|------|--|--|--|
pasacheualer ie	--||--------⌫-|
quecheu aliers	--|----⌫-----|
poursa prouech e	---|-|-------⌫|
doiueauoirendespit	----|----|-|-----|
carpar pr oueceadroit conter	--|--|--⌫----||----|-----|
ne puetn u se n hautpris	-|---|-⌫-⌫|-⌫|---|---|
seliprouecenayyeles	-|-|------|||-|---|
or uou s diraidecoiet queles	-|---⌫|----|-|--|-|-----|
lesyyelesdeuro ientestre	--|-|---|-----⌫---|----|
largecedoit estre la	------|---|----|-|
etla senes treco urtoi sie	-|-|-----⌫--|--⌫-----⌫--|
sidoit casc une est refurnie	-|---|----⌫--|---⌫-|-----|
il couuientaudroit esgarder	-|-------|-|----|-------|
enc ascunepor miusuoler	-|-⌫-----|--|---|----|
aityypenes	--|-|----|
parcu e l r aiso n	--|--⌫-⌫|-⌫----⌫|
enl elekilargece anon	-||--|-|------||--|
estlapremier epennetele	--|-|-------⌫|----|---|
pourcouqu e	---|--|--⌫|
la rg eceanonlele	--⌫--⌫--||--||--|
con soiten largecehardis	|-|---|-|------|-----|
c arpar dr oisfaiset	-⌫-|--|--⌫--|---|-|
pardro isdi s	--|---⌫-|--⌫|
pueton s auoir cie rt ai nement	---|-|-⌫----|---⌫--⌫--⌫-----|
quel argece estdehardeme nt	--|-⌫-----|--|-|-------⌫-|
estraiteet de hardementuient	-------|-|-|--------|----|
sauonsque pau auient	-----|--|--|-----|
en nul paisne loncnepries	-|--|---|-|---|-|----|
quenus soitlarg es	--|--|---|----⌫-|
etm auu es	-|-⌫---⌫-|
sec ondee s t	---⌫---|-⌫-⌫|
detel afai re	-|--|----⌫-|
homk iue utlargece	--|-⌫|--⌫-|------|
doitpasgard er aa uoir	---|--|----⌫-||-⌫---|
que satiere pu etualoir	--|-|----|--⌫-|-----|
cheualiers se	---------|-|
diuxmesaut	---|-|---|
ile nkier t ques e t ie reuaut	-|-⌫-----⌫|--|-⌫|-⌫--⌫-|---|
monterapuisen hautech e	------|---|-|-------⌫|
nert iapuisde g rant p roue che	|--|-|---|-|-⌫---|-⌫----⌫--|
dounou r n e de	|-----⌫|-⌫|-|
ha rdem en t	--⌫----⌫--⌫|
ilnedonneplusetdespent	-|-|----|---|-|------|
enfol ie et en	-|---⌫-|-|-|
quesatiere ne puist ualoir	--|-|----|-|----|-----|
tiercepennesenefie	-----|----|------|
f ait delarghesamie	-⌫--|-|-----||---|
d elargeceauo ir pris	-⌫|------|---⌫-|---|
tousiourssoncon se il pris	---|----|--|---⌫--⌫-|---|
dounererle	|------|-|
p oure etleri c he	-⌫---|-|-|--⌫-⌫-|
iediquedelarg ecet riche	-|-|--|-|----⌫--|-⌫----|
cilquan tcildoun equ iesgarde	--|----⌫|--|----⌫|--⌫|------|
decestuinepuis auoirga r de	-|-----|-|---|----|--⌫-⌫-|
ielidonrai quan t	-|-|-----|----⌫|
ni enta upourecenadonne	--⌫--|-⌫|----|-||-----|
riensenlarge ceains	----|-|-----⌫-|---|
san le force	---⌫-|----|
m aisq uienlarghece sesforc he	-⌫--|-⌫-|-|-------||------⌫-|
e t ueutestrelarges parfis	-⌫|---|----|-----|-----|
si doinstlesien asdesconfis	-|-----|-|---|-|--------|
quelargecesansnulredout	--|------|---|--|-----|
gi ete les ien a to us par	--⌫--|-|-⌫--||--⌫-|--|
laquartepenne audroit	-|-----|----|-|----|
e nseign e con	-⌫------⌫||-|
set iegneetgar t	-|-⌫----|-|---⌫|
deproumetre son neleueut	-|--------||-|-|-|---|
douner carli promess eakeut	-----|--|-|-------⌫|----|
s our luietpui sne le ueut rendre	-⌫--|--|-|---⌫|-|-|---|-----|
saués que o nipuete ntendre	-----|--|-⌫||---|-⌫------|
aho n t eli p uetatorner	|--⌫-⌫-⌫|-|-⌫--|------|
puiskil n atalentdoudon ner	----|-|||-----|--|---⌫--|
etsif ait homepoursen don	-|-|-⌫--|---|---|--|--|
u enir yy foisensamaiso n	-⌫---|-|---|-|-|-----⌫|
o rliab ienle uoieaprise	-⌫|-||-⌫--|-|---|-----|
et plusiuie nte tma ins	-|---||---⌫-|-⌫|--⌫--|
et paritantpuet	-|--|----|---|
onsa u oir	-|--⌫-⌫--|
liauersdesi er taauo ir	-|----|----⌫--⌫||---⌫-|
quecil kiplus	--|--|-|---|
iue ul ent	|--⌫--⌫--|
nie nt se ueulententre met re	---⌫-|-|------|-----⌫---⌫-|
qu i ntepenne estli ensegn e	--⌫-⌫--|----|--|-|------⌫|
leslargesenseigne	--|-----|-------|
qu ecascunsas auourt sondon	--⌫|------|--⌫-----|--|--|
sauourpar cuelraison	-----|--|---|-----|
sondon asau ourer	--|--|----⌫----|
lisauoursest	-|------|--|
dutost douner	-|---|-----|
kimorsielsa nssauourtransglout	-|------|--⌫-|-----|---------|
e mpli r em puetson ue ntretout	-⌫----⌫|-|---|--|--⌫---|---|
maisiatantnemplirala	---|-|---||------|-|
que li cuerse n sentepitanche	--|-|----|-⌫|----|-------|
co nfort a iden esecourse	--⌫----|-⌫--|-⌫|-------|
t outautresie mplistlaboursse	-⌫--|------|-⌫-----|-|------|
destermin eursmaisanul fuer	--|------⌫---|---||--|---|
ia neiurasi lnen	-|-|---||-⌫||-|
secilkiuientp resente ment	-|--|-|----|-⌫-------⌫---|
itantsacen tcie rtainement	----|-----⌫|---⌫---------|
toutcilki ueulent	---|--|-|------|
q ue d onsest sanssau our ki tar ge	-⌫-|-⌫--|--|---|---⌫--|-|---⌫-|
lasistepenn e nousap r en t	-|----|----⌫|---|--⌫-⌫--⌫|
se largesdounelarge ment	-|-----|----|-----⌫---|
etchauientkilait mal a ssi s	-|-|-----||-|--|--|-⌫---⌫|
y ydons uyyuyyu	-⌫|---||-||-||
estre parlu i pens é	----|--|--⌫|----⌫-|
quere p rociétn ere greté	--|--⌫-⌫------|-⌫|--⌫-----|
soientsi don porriensco nd ie	-----|-|--|--|----||-⌫|-⌫-|
largece kikelensourdie	------|---||--------|
nepor oitt antpas	-|---⌫--|-⌫--|--|
trespasser	---------|
n elargesne	-⌫|-----|-|
deuroit pe nser	------|--⌫---|
a sondon puisquedoune ́ l	|--|--|------|-----⌫||
maisregarde rkil re d onra	---|-------⌫||-|--⌫-⌫---|
lapenne en	-|----|-|
l eledest re	|--|----⌫-|
apr e ntcilkilarges u eute s tre	---⌫-⌫-|--|-|-----|-⌫--|-⌫-⌫--|
kil doit bie l douneramangier	|-|---|---⌫|-----||------|
largesnepue tsonc uercang ier	-----|-|---⌫|--|-⌫--|----⌫--|
po urcoi pourcousouuent auient	--⌫-|--|---|--|------|-----|
teleauenturedontauient	---|-------|---|-----|
aceluiquiel le	|----|--|--⌫-|
quet o usiour senlargecema int	--|-⌫-⌫-|----⌫|-|------|--⌫--|
tou s io ursi	---⌫|--⌫--||
maintediuxcoumen t	----||---|------⌫|
douneramangier	-----||------|
largem en t	------⌫--⌫|
estcou donques sigrans	--|--|------|-|----|
letie nenta	-|---⌫---||
quienl argecesapiercoiuent	--|-|-⌫-----||-----------|
sauéspour coitout	-----|---|--|---|
larged o iuent	----|-⌫-⌫----|
cesteco ustumemain tenir	----|--⌫-----|----⌫----|
ca scunslargesueutcour ttenir	--⌫----|-----|---|----⌫|----|
e tmand e gens pourhounerer	-⌫|----⌫|---|---|-------|
t antnen set asa court	-⌫--||-|--||-|----|
dam esne cheualie rsdiuiers	---⌫-|-|--------⌫-|------|
netan tne donramantiaus	-|---⌫|-|----|-------|
l fer auolentiers	|---⌫|---------|
que silest	--||-|--|
mauuaisuiuend ier s	------|------⌫---⌫|
