lapremi ere rebr iche	-|-----⌫--|----⌫---|
e sperance mabellesuerie cognoisbien	-⌫-------|-|----|---|-|------|---|
etpar experience	-|--|---------|
queauiourduyencemo nde	--|--------|-|-|--⌫--|
etparespe cialenlacrestiente	-|--|----⌫---|-|-|---------|
coursdespapesd esempereur set	----|--|----|-⌫-|--------⌫|-|
des royses qu ellescoursi	--|---|-|--⌫----|----||
a yfait a uc une fois non paspet iteresiden celauraie	-⌫|---|-⌫--⌫--|---|--|--|---⌫--|-------⌫-|-|----|
et i ustemarch andi edufinbesante n	-|-⌫---|-----⌫----⌫|-|--|-----|-⌫|
l amentant comme ilse	-⌫-------|----|-|-|
peutdirees t periequ el	---|---|--⌫|----|--⌫-|
m erueillese	-⌫-------|-|
lafo ireest	-|--⌫--|--|
failliecarc hascun so nb esanten	------|--|-⌫-----|--⌫|-⌫----|-|
un dra pi aulie	-|---⌫--⌫-|--|
commep ourle mucier	----|-⌫--|-|-----|
dessou bzlat erreaf in q uep arlarronsil ne	------⌫-|-|-⌫---|--⌫-|-⌫-|-⌫-|------|-|-|
mabel lesuer	-|---⌫-|---|
desirlephillo zzofe	----|-|------⌫----|
di t q uelaue rtuatous ioursson	--⌫|-⌫-|-|--⌫--||---|----|--|
regartausch oses	-----|--|--⌫---|
gra ntdifficu lt e et paresp ecial lauertu	---⌫-|-------⌫--⌫|-|--|---⌫----|-|----|
decons tanceetde	-|----⌫----|-|-|
perse ue r anceparla graceetcommandement dep rouidencediuine	-----⌫--⌫-⌫---|--|-|----|-|-----------|-|-⌫--------|-----|
nous auons	---|----|
emprinsungrantu oiageuneso lempnel e	------|-|----|-⌫----|--|--⌫-------⌫|
m essagerie	-⌫--------|
un elegacionde grantdifficultec	--⌫|-------|-|----|---------||
estassauoirdetroueren	--|-------|-|-----|-|
ce m ondeuerite uoireacompaigneeco mmedit	-|-⌫---|-----|----|----------|--⌫--|--|
estde paixd e	--|-|---|-⌫|
miserico rdeetde	--------⌫--|-|-|
i usticeet	-⌫-----|-|
quisom mes nous	--|---⌫--|---|
pou rtrouer	---⌫|-----|
ceste sainc te	----|-----⌫-|
alkemieparla	------|--|-|
quell ele riche	-----⌫|-|----|
desames des urais	--|---|--|----|
alk emistesestsa incte ment	---⌫------|--|--⌫-----⌫---|
remplie ilse	------|-|-|
prouerbequ e dunetresgrande	-------|--⌫||--|---|-----|
emprinseleplus	-------|-|---|
fort si esta u commencierquiempr enthardiem ent a	---|-|--|-⌫|---------|--|----⌫--|-------⌫--||
entendement iluientabonnefin	----------|-|----||----|--|
sel esc ripturene	-||---⌫------|-|
mabe llesuerditardantdesirabonn e esper a nceor	-|--⌫--|---|--|-----|----||----⌫|-----⌫-⌫--|-|
mettonsen orisonet pourfairebon	------|-|-----|-|---|----|--|
u o iage recommandons	-⌫-⌫---|-----------|
dieuquidit parlabouchedel	---|--|--|--|-|-----|-||
euuan giliste iehanq ue	-----⌫------|----|-⌫-|
ueri te es t	----⌫-|--⌫|
dieu la quellenous alons quer re e tn ous	---|-|-----|---|----|----⌫-|-⌫|-⌫--|
recommandonsaus sia la uie r ge marie qui	-----------|---⌫-||-|---⌫-⌫-|----|--|
portae n son	----|-⌫|--|
precieuxu entrel auerite	-------|-⌫----|-⌫|-----|
quiestappeleechari teuoi eet	--|--|------|-----⌫-|---⌫|-|
uieencoresnous recommandons ano ssainsdeuos	--|------|---|-----------||--⌫|----|----|
especia ulxc	-------⌫--||
estassauoiraieh anleuua ngelisteet	--|-------||---⌫-||----⌫-------|-|
auglorieuxieroy me	-|-------|-----⌫-|
singuliers escri uainsd ela u eriteetdesestr oy scom pai gnes	---------|-----⌫----|-⌫|-|-⌫----|-|-|--|--⌫--⌫|---⌫---⌫---|
noubli onspas	|-----⌫--|--|
le miroirdes pecheursconuer tis	-|-----|--|-------|------⌫--|
labenois te	-|------⌫-|
mag d elainela	---⌫-⌫-----|-|
doulceuiergeagneset la tres	-----|-----|----|-|-|---|
noblekaterineet	----|-------|-|
ac omplienost rerecommandac i onou nomdedieunousnous	--⌫-----|----⌫-|-----------⌫-⌫-|-|--|-|---|---|---|
la uoyetendansuersorient ores t	-|---|------|---|-----|-|--⌫|
assauoi rque	-------⌫|--|
ardantdes irestoituestu dune	-----|---⌫-|-----|----||--|
nue ecelestineeta uoity y	---⌫|--------|-|-⌫---|-⌫|
ailles d e f eu resplendissanttropbellesqui trespercoienten	-----|-⌫|-⌫-|-------------|---|-----|--|------------|-|
laterre etlesyyeleme nsmaises perance	-|----|-|--|-|-----⌫-|---|--⌫------|
sasu e resto it uestue t outedeuert dune	-|--⌫-⌫|----⌫-|-----|-⌫---|-|---||--|
co tesilongu eque	--⌫-|-|-----⌫|--|
ell e nepouoitaueniralapomm emeure cu illied u	---⌫|-|-----|-----||-|----⌫|----|--⌫----|-⌫|
desiré pomm i er	------|----⌫-⌫-|
et siauoitauss i yy	-|-|----|----⌫|-|
ailles mo it ie blanchesmoitie noi re spar	-----|--⌫--⌫-|-------|-----|---⌫--⌫|--|
les quel leselleuoloi t souuent	--|----⌫--|---|-----⌫|------|
ouci ellassuset	-|--⌫-|-----|-|
une autrefoi s	--|----|---⌫|
uola nt desce ndoitius a rdant de sir et sa sue r	----⌫-|-----⌫----|--|-⌫----|--⌫--|-|-|---⌫|
bonneesperance	----|--------|
p rind rentleurbesan ten esperitet	-⌫----⌫---|---|-----⌫|-|------|-|
sealauoi eenl	-||-|---⌫|-||
es perance d e	--⌫------|-⌫|
c ellu iquiest nommésuie	-⌫----⌫|--|--|------|--|
ueriteet uoie	-----|-|---|
ab regier lescripture il trespasserentma int	--⌫-----||---------|-|------------|--⌫--|
mainter egionet maintempi ree s que lxla	-----|-⌫----|-|----|----⌫-|-⌫|---⌫-|-|
marchandi etousiou rs	---------⌫|---|---⌫-|
empi reetpasserent	----⌫-|-|--------|
mainte fora inee tm ainte	-----|----⌫--|-⌫|-⌫----|
uolan tparde ssuslater retousiours querant	-----⌫|--|--⌫---|-|---⌫-|---|----|------|
aucunsaint	----|----|
alkemi st equilauoie n tempr insd e	------⌫--⌫|-|-|-----⌫-⌫|----⌫--|-⌫|
t roue rp ourdemanderet	-⌫----⌫|-⌫--|-------|-|
enquestercommentil	--------|------|-|
pourroienttro uerueritela ro yneettant	---------|---⌫--|-----|-|--⌫--|-|---|
uolerentqueoultremeren alant d euers indela	-------|--|--------|-|----|-⌫----|---|-|
mai o ur laoule	---⌫-⌫-|-|-|-|
c roistilse	-⌫----|-|-|
tro uuerentougrantdese rt d	---⌫------|-|----|----⌫-||
fure n tmou lttrauailliéetdeleurenten cionpresquedesesper é	----⌫-⌫|---⌫-|----------|-|-|---|-----⌫---|------|--------⌫-|
etparespecial	-|--|-------|
ardant d esirmaissabellesu ers ouu ent	-----|-⌫---|---|-|----|--⌫-|-⌫---⌫--|
confor toit et enconfo r tant	------⌫---|-|-|-----⌫-⌫---|
li d isoit	-|-⌫----|
que asse stost	--|----⌫|---|
trouuer oien tu n	-------⌫----⌫|-⌫|
alke m i ste q ui par	----⌫-⌫-⌫--|-⌫-|--|
auenture ence	-------|-|-|
deserte stoit	-----|-⌫----|
de uenuhermit e	--⌫---|------⌫|
lasecond erebriche	-|------⌫|-------|
tresgra ntpaineardantde sir ets asuerbonne	---|---⌫-|----|-----|--⌫--|-|-⌫|---|----|
esperancetroueren toudesert	--------|--------⌫|-|-----|
degipte le	|-----|-|
uiel arsen egr ant	---|-----⌫|--⌫--|
alkem istequi bienetdoulcem en t	-----⌫---|--|---|-|-------⌫--⌫|
lesre cu illi	--|--⌫--⌫---|
e ta pr es leur	-⌫|-⌫--⌫-|---|
en seigna l a g ran tmontaigne laouiltrouerent	--⌫-----|-⌫|-⌫---⌫|--------|-|-|-|--------|
troysr oyneset	----|-⌫----|-|
troys damessouuerainesma istressesdeurais	----|----|----------|--⌫--------|-|----|
alkemieetcomment	------|-|------|
le uie l arseneaardant	-|---⌫|-----||-----|
suerblasmelalkemiequi	---|-----||------|--|
sappe le haultefolie etlouefo rt lalkemie	|----⌫-|-----|----|-|---|--⌫-||------|
l esecond chapitr e	-⌫|-----|-------⌫|
tant uol erentardantdes iretsasuerbonneesperance parmy	---|---⌫----|-----|---⌫-|-|-|---|----|--------|----|
le desert laou pa ou degenshabitent	-|-----|-|-|--⌫-|-|---|-------|
o bscureuirentdeloingsun	-⌫-----|-----|-|-----|-|
paoud eclarte dont ilfure nt b ie n	---|-⌫|-----|---|-|----⌫-|-⌫--⌫|
conforté etset r aierent par	--------|-|-|-⌫-⌫------|--|
deuer slal umie rede sesper an ce	-----⌫|-|-⌫----⌫-|--⌫------⌫--⌫-|
laissantde rri eres i trouerentunepe titelogetefaictede	-------|--⌫---⌫--|-⌫|--------|--|--⌫---|-----|-----|-|
cannesqu is appelle ntrosi aux etn estoit	-----|--⌫||-------⌫-|----⌫--|-||-----|
pasfaictecomme	--|-----|----|
l e s palaisroyaul xardant	-⌫-⌫|-----|------⌫|-----|
desirhurtaal a porte	----|----||-⌫|----|
de la lo gete	-|-|--⌫---|
qui ren doitgrantcl artepource que	--|---⌫---|----|--⌫---|---|-|--|
lardantforgedel	|-----|----|-||
alk emie layensestoitforta lumeele u ielhermit e	---⌫---|-----|-----|---|-⌫----|-|-⌫--|------⌫|
de dens estoite nappelantle puissantnom	--⌫---|-----|-⌫|-------|-|-------|--|
haulteuoix	-----|---|
d itil qui estes	-⌫-|-|--|----|
uous lah ors e til respondi rent nous	---|-|-⌫--|-⌫|-|--------⌫---|---|
somm es pelerinsqui	----⌫-|-------|--|
alonsquera nt uneauentur e	----|-----⌫-|--|-------⌫|
dontmai nsmar cha ns seuffrent	---|---⌫-|---⌫---⌫-|--------|
mou ltgrantarsurel ermite ouuri	---⌫-|----|-----||-----|----|
laport ee t	-|----⌫|-⌫|
aleurhabit	|---|----|
tantostles	------|--|
recognutetdou l cement l es recut ett outel um anite	-------|-|---⌫-⌫-----|-⌫-|----|-|-⌫---||--⌫----|
queentellieuonpeut faire a	--|-|--|---|-|---|----||
pe lerinspassans	--⌫-----|------|
laissarie ns a faire leue nerable hermite	-----|---⌫-||----|-|--⌫------|------|
estoitdecorps	-----|-|----|
biauxgran setbien fourmésetpour la	----|----⌫|-|---|-------|-|---|-|
es toitunpaoucourbés les cheueuxlongsplus	--⌫---|-|---|-------|--|------|----|---|
blansquenege	----|--|---|
etsagrant barbetresblanchecouur ant t outesa	-|-|----|----|---|------|-----⌫--|-⌫---|-|
poytrinee t	-------|-⌫|
sembl oi tbie nauoir es t é s eigneur dun grantempire i l	-----⌫--⌫|---⌫|----|--⌫-⌫-|-⌫------||-|----|-----|-⌫|
u estusd unecotelargee t	-⌫----||--|---|----|-⌫|
longue iusq uesauspiesnonpasd	-----|----⌫--|--|---|--|--||
escarlateo ude	--------|-⌫|-|
de louuie rsmaisde	-|------⌫-|---|-|
longuesfeilles de	------|------|-|
pommi ertreillies ensemblec omme on fait un	-----⌫-|--------|-------|-⌫---|-|---|-|
por toit ensa mai nd estrepo urluia apui er	---⌫---|-|-|---⌫|-⌫----|--⌫-|--||----⌫-|
unep o tenceet	--|-⌫-⌫----|-|
patenostre sde	----------⌫|-|
yy outrentequant la refeccion	-|-|-----|----|-|--------|
fupasseeen grant	-|-----|-|----|
silenceet acom plietoute	------|-|----⌫---|----|
ospitalitearda ntdesir agrant meschie f se taisoit mais	---------|----⌫-|----||----|-------⌫|-|------|---|
suerparsigneslere fr enoit quipaciaument	---|--|-----|-|--⌫--⌫----|--|---------|
les gracesleur uenerab le	--|-----|---|-------⌫-|
hosteaeu lxpremier	----||--⌫-|------|
parlastetdeleurs condicions enq uetas tla	------|-|-|----|---------|---⌫-----⌫|-|
quell echosepour	-----⌫|----|---|
abregierl afiguretres gra cieuseme nt	-------|-⌫|-----|---|---⌫--------⌫-|
ilfistetlu ibien	-|---|-|--⌫|---|
enf ourmécommentarda ntdesiret	---⌫-----|------|----⌫-|----|-|
sasu erb onn eesp erance	-|--⌫-|-⌫---⌫|---⌫-----|
queroientunalkemiste	--------|-|--------|
quile u rsceus tdonnerconseilde	--|--⌫-⌫|-----⌫|-----|------|-|
m ultipli erle ur	-⌫-------⌫-|--⌫-|
besantlo rs le	-----|--⌫-|-|
uenerable hermiteprintl a	--------|------|----|-⌫|
paroleetdis t ainsiardan tdesir mon	-----|-|---⌫|----|-----⌫|----|--|
treschierefrereet bonne	---|-----|----|-|----|
espera nce matres	------⌫--|-|---|
chiere sueri	-----|---||
aygrant compassiondeuostre	-|----|---------|-|-----|
granttrauailetn i entma in s ieapp reuueuostre	----|------|-|-⌫-⌫-----⌫--⌫|-|---⌫----|-----|
estassa uoirqueuostrebesants oit	--|----⌫---|--|-----|-----|-⌫--|
mul tiplie ́	---⌫------⌫|
afin queuoussoiésriche etque a u	---|--|---|-----|----|-|--|-⌫|
rendr ecom pteil	-----⌫|---⌫--|-|
uous s oitpas	---|-⌫--|--|
os técommeil f uacel luiqu i en	--⌫--|----|-|-⌫||---⌫--|--⌫|-|
enfouyie nepourro ie n yer	-----|-|-|------⌫-|-⌫--|
ermit e queie nef uss e	-----⌫|--|-|-|-⌫---⌫|
alkemistem ais bienuouldroie estretel	--------|-⌫--|---|--------|----|--|
uostr e besa ntp e ust e strem ult iplié	-----⌫|----⌫-|-⌫-⌫--|-⌫---|-⌫---⌫-----|
etpour ce que uous	-|---|-|--|---|
sachiésa quiuousest esadreciés	-------||--|---|---⌫-|--------|
iluo usplaista	-|--⌫-|-----||
sauoirque iadis iedemourroieenla gra n t cite	-----|--|----|-|---------|-|-|---⌫-⌫|---|
desr ommains	--|-⌫------|
proch ainetcollaterald elempereur dero mme	-----⌫--|-|---------|-⌫||-------|-|--⌫--|
multiplieretacrois tr e monbesantqui n es toit	---------|-|------⌫--⌫|--|-----|--||--⌫---|
pa s petit	--⌫|----|
maisgra ntied euins	---|---⌫-|-|-⌫----|
alkemisteeten	--------|-|-|
dependi g rossem entilest urayq ueenladictescience	------|-⌫------⌫--|-|--|---|-⌫-|-|-|----|------|
ty ro ief ortau commence mentdetra nsmuermarseti upier	--⌫--⌫-|-⌫--|-|--------⌫---|-|---⌫-----|---|-|-⌫----|
mercureetuenus en laluneetpuis	------|-|----|-|-|---|-|---|
a pres m ercure ensolailien	-⌫---|-⌫-----|-|-----|-||
au treme taluoi recefaisant pardistillacions	--⌫--|--⌫--|---⌫-|-|------|--|------------|
sublimacions etparcalcinacions afin que	-----------|-|--|-----------|---|--|
finablementetpar	----------|-|--|
g ranttr aue iliep eussepou rd ouceconc lusionpar uenir a	-⌫---|--⌫---⌫-|-|-⌫----|---⌫|-⌫---|----⌫-----|---⌫----||
pierreduphillozofe c e stasla poudrequ i	-----|-|---------||-⌫-|-|-|-----|--⌫|
est appelee	--|------|
elixir ma isonquespourc ho seque	-----|--⌫-|-----|---|-⌫--⌫-|--|
iesceusseoupeus sefaire	-|------|-|----⌫-|----|
pour fon dre	---|---⌫--|
p our batrenepourf org ier pour	-⌫--|----|-|---|-⌫---⌫--|---|
dist ille rne pour	----⌫----⌫|-|---|
s uli merie	-⌫---⌫--|-|
n enposueni r achiefcaroutrop chaut	|-|--|----⌫||----|--|-|---|----|
froitoutropse c outropmoi stee mpeschoitqueles	----|-|---|--⌫|-|---|---⌫--|-⌫--------|--|--|
m a te r es subgie te s	-⌫-⌫--⌫-⌫-|------⌫--⌫|
pouoi entencorporerensemble	-----⌫--|---------|-------|
ric heprecieusesusdicte etla	---⌫-|--------|-------|-|-|
richepoud repeuss entune	----|----⌫-|-----⌫--|--|
foisuenir en ma	---|----|-|-|
mai n a ins i usoi e mo nte mpset perdo ieetau	---⌫|-⌫---⌫|----⌫|--⌫|--⌫--|-|-----⌫-|-|-|
soiretau mat in	---|-|-|---⌫-|
m a i spuis q ue ie uousaydi t tantde	-⌫-⌫-⌫|---|-⌫-|-|---|-|--⌫|---|-|
con diciondi t leu enerable he rmiteie uousdesc lareroy	---⌫-----|--⌫|-|-⌫-------|--⌫----|-|---|----⌫------|
paoudelexposicionde madictealkemiepour	---|-||---------|-|-|----|------|---|
u ousenseig ner et	-⌫--|------⌫--|-|
queu o us nefaillés mieilest tropfort	--|-⌫-⌫-|-|-------|--|-|--|---|---|
faireseloncloppinion	----|-----||-------|
daucunsphillozofesetparespeciald	|-----|----------|-|--|-------||
aristotede tr ansm u er	-------|-|--⌫----⌫-⌫-|
unee speceenune a utre	--|-⌫----|-|--|-⌫---|
etce faireen	-|-|----|-|
b rie f tempsfairedu nepoir e	-⌫---⌫|----|----||-⌫-|----⌫|
degin gembre saffr en	-|---⌫-----|-----⌫-|
estpaslegierechoseafaire	--|--|------|----||----|
pour tantledis desmetaulx	---|---|-|--|--|------|
lesolailes entraillesde	-|-----|-|---------|-|
laterrefaitenyy	-|----|---|-|-|
anssic omm edesmetaulxde	--|-|-⌫---⌫|--|------|-|
laterrefai re fi n or e tfinargent	-|----|---⌫-|--⌫|-|-⌫|--|-----|
alkemi ste pui ssefaireen	------⌫--|---⌫--|----|-|
troys endeuxans	----|-|---|--|
ouenquatre ienedismieque la	-|-|-----|-|-|--|--|--|-|
s cience d alkemiene	-⌫-----||------|-|
soitu raie en aucune	---|-⌫---|-|-----|
partie mais sil argementcommeceulx	-----|---|-|-⌫-------|----|----|
quis endye nt pour de	--||-|---⌫-|---|-|
le u ruoisin al eur	--⌫-⌫|-----||-⌫--|
et se uonttroplouantde	-|-|---|---|-----|-|
ceiemetais	-|-|-|---|
iepens e bien	-|----⌫|---|
queparbonne	--|--|----|
composi cion yy elemens l eaue	-------⌫---|-|------||---|
etla terre se	-|-|----|-|
end euxmetaulxplo ncetesta in mars	-|-⌫--|------|---⌫-|-|----⌫-|---|
mer cu re secon iondrontbienens emblemaisquantce	---⌫--⌫-|-|---⌫-------|---|---⌫----|---|----|-|
dufeuduchym entet delat ouche	-|--|-|----⌫--|-|-|-|-⌫----|
l es ele mensetles	-⌫-|---⌫---|-|--|
metaulxenl eur p ropreespeceetnature ser ont plain e m ent	------|-|-⌫--|-⌫----|-----|-|-----|---⌫--|-----⌫-⌫-⌫--|
recogneus etpour cepa r	--------|-|---|-|--⌫|
cestedesireea lk emiequi peut	----|------|-⌫--⌫---|--|---|
est redictehaultefolieuostrebesant	---⌫-|----|-----|----|-----|-----|
ameiabien ne	--|-|---|-|
mu ltip lieraneau gue rredo ndes yy	--⌫----⌫----|-|-|---⌫-----⌫|--|-|
leuuangi le neayy	|-------⌫-|-||-|
iamaisne parue ndran e decestealkemi e	-----|-|-----⌫---|-⌫|-|----|------⌫|
conseillierien	----------|-||
entensmiemai sde	-----|--|---⌫|-|
sa figure ieuous	-|-----|-|---|
ouurer ayle s ensparlant	------⌫-|-|-⌫--|------|
moralementetparal legorie	---------|-|--|--⌫------|
laissantla	-------|-|
lettr eaus iuisetp renan t l es p eri t qu idonne	-----⌫|--|---|-|-⌫-----⌫||--⌫-⌫---⌫|--⌫|----|
uieie disoie	--|-|-----|
cydessusditl euen erable hermitequeiedesir oie	-|-----|--|-⌫|---⌫-----|------|--|-|-----⌫--|
transmuer iupite rferetmars cui ur een	--------|------⌫|--|-|---|---⌫--⌫|-|
mercureuifargent	------|--|-----|
iupiter etmarssontdu rsdel eur nature	------|-|---|---|--⌫-|-|-⌫--|-----|
org ueilleuxetl a utrebatailleurs	---⌫-------|-||-⌫---|----------|
deur aiehumilite	-|--⌫--|-------|
ilnontcuremer cureest blanc et	-||--|---|---⌫---|--|----|-|
netetdoulx	--|-|----|
amani er faicte sdeluicequ	|----⌫-|------⌫|-|--|-|-|
iluou sp laistiane	-|---⌫|-⌫----|-|-|
tinteranediramot	------|-|---|--|
et tendra tous iours	-|-----|---|----|
aualpr e nant lelieu	---|--⌫-⌫---|-|---|
plus h umbl ederechiefiedesiroie queuenu splonc l a	---|-⌫----⌫|-|------|-|-------|--|----⌫|----|-⌫|
parl u xurefust trasnsmuee	--|-⌫-⌫---|---|---------|
enla chasteclere etnetelune	-|-|-----|----|-|---|---|
ar gent e t quemercurebienhumilieepar calc inacionde	--⌫---|-⌫|--|------|---|-------|--|----⌫------|-|
tribulacions et	-----------|-|
esl eués par	---⌫----|--|
sublimacion de	----------|-|
contemplacionfust	------------|---|
transmuéensolail	--------|-|-----|
orcestassauo i rqu	-||--|------⌫-⌫|-|
il fus te nlumin é s	-|---⌫|-⌫------⌫--⌫|
desraysdu sola ilde ius tice afin	--|---|-|----⌫-|-|---⌫---|---|
quilpeustclerement ueoi r	-|-|----|--------|----⌫|
etparuenira la	-|-------||-|
p ierredu ph illo zofe cestalapierre que	-⌫----|-|--⌫----⌫---||--||-|-----|--|
l ephi llozofeeuuangiliq uesaintpol t an tdefois nomma	-⌫|---⌫------|----------⌫-|----|--|-⌫--⌫|-|---|----|
ihesucrist en	---------|-|
sesepistreset her dr e s o y	--|-------|-|---⌫--⌫|-⌫-⌫|
al elixi rcest	||-----⌫||--|
assauoir a la uraiepoudre de l umanite	-------||-|----|-----|-||------|
del a dicte precieuse	-|-⌫|----|--------|
pierre etaura i ecognoissancedenostr e pr opre	-----|-||---⌫-⌫|-----------|-|-----⌫|--⌫---|
poudre etde	-----|-|-|
nostre fragilite arda nt	-----|--------|----⌫-|
de sirbiaufrereet u ousbonne	--⌫--|---|----|-|-⌫--|----|
esperancemabellesuer	--------|-|----|---|
desdessu sdictesalkemiesieme	--|-----⌫------|-------|-|-|
entremisdesmaionessearommemaisonquesiusqu esa	-------|--|-|------||----|---|-----|-----⌫-||
l apier re	-⌫|----⌫-|
precieu seiene posparuenir	-------⌫-|-|-|--|-------|
urayest quepargraceetmoyen	---|--|--|--|----|-|----|
de la poudre susdicteiereceusa ucune pr ocionet	-|-|-----|-------|-|-----|-⌫----|--⌫----|-|
gra nt maist r edela monnoye	---⌫-|-----⌫-⌫|-|-|------|
parunblanc	--|-|----|
coulon memandaquese	-----|-|----|--|-|
ieu oloi eau oirlauraiescienced al kemie	-|-⌫----⌫|--⌫--|-|----|------||--⌫----|
e t paruenira la	-⌫|-------||-|
dic te pierre queielaissasel epalais	---⌫-|-----|--|-|-------|-⌫|-----|
imperial et lesiege de	-------|-|-|----|-|
saintpierree tqueiemet ra nsportas seen ceparfont	----|-----|-⌫|--|-|-|-⌫--⌫--------⌫-|-|-|------|
egi pt esoubz	---⌫--⌫|----|
lombre depolet deanth oine se	|----|-|--|-|-|----⌫---|-|
ieuol oieparuenir	-|---⌫--|-------|
alaurai epi erre et delaprem ier ealke m ie	|-|----⌫|--⌫---|-|-|-|----⌫---⌫|----⌫-⌫-|
est requittes i	---⌫-|-----|-⌫|
suydemourésun grantte mpsen ce ste petiteloge	--|--------|-|----|--⌫--|-|--⌫--|-----|---|
f organtle	-⌫-----|-|
b esant amon	-⌫----||--|
pouoiret attendant deparuenirunefois	-----|-|--------|-|-------|--|---|
possessionde la saincte	---------|-|-|------|
uraiepierreprecie usequi	----|-----|------⌫--|--|
ciel mo name	---|--⌫|--|
biene ureusequant leu e ne rab le	---|-⌫-----|----|-|-⌫-⌫--⌫---⌫-|
hermiteo tfinétoute	------|-⌫|----|----|
sar ayson sa belle doctrineet son	-|-⌫----|-|----|-------|-|--|
se rmo n a rdantde sirli respo ndibiaup eredistil	--⌫---⌫|-⌫----|--⌫--|-|-----⌫--|---|-⌫--|---|-|
chiere sueraussideceque	-----|---|----|-|-|--|
sib ien nous	-|-⌫--|---|
auésr ecuillietdeuost re	----|-⌫------|-|-|----⌫-|
sainc teeturaiedoctrinequi	-----⌫-|-|----|-------|--|
plus dun e mineet biau	---||--⌫|---|-|---|
p ere mais q u il ne	-⌫--|---|-⌫|-|-|
uousuenisten	---|-----|-|
desplaisiruolenti ersuousdemanderoieuostre	---------|-------⌫--|---|----------|-----|
n oms eie ousoyedemon	-⌫-|-⌫|-|-----|-|--|
no m ditlepreudommenestpas	--⌫|--|-|--------||--|--|
grant cure maisqui l so it	----|---|---|-|-⌫|--⌫-|
enlescr i ptureduliur ede	-||----⌫-⌫----|-|----⌫|-|
lail peutsuffirelaoulebesa nt iamaisn	-|-|---|------|-|-|-|----⌫-|-----||
toutefoispour f aire auous	--------|---|-⌫---||---|
satisfaccion ie suis a ppelésleuiel	-----------|-|---|-⌫------|-|---|
arsene par mondro itnom	-----|--|--|---⌫-|--|
lorsde u otementle spelerins lesma ins	---|--⌫-⌫------|--⌫|-------|--|--⌫--|
aucun sleuer ent	-----⌫|-----⌫--|
e tadieu e ta arsenet resh umblement	-⌫||---|-⌫||-----|-⌫--|-⌫--------|
regracie rent ett resdeu o tement	--------⌫---|-|-⌫--|---⌫-⌫-----|
recommande renten lui	----------⌫---|-|--|
d emandan tet pour	-⌫-------⌫|-|---|
l aleurbesant quel	-⌫|---|-----|---|
par t ilyro ient lorsleuiel	---⌫|-|---⌫---|---|-|---|
arse nedoulc ement respondipuis	----⌫-|-----⌫----|-------|---|
queuous me de mand ésconseiluolentiers leuousdo nrayle	--|---|-|--⌫----⌫--|------|---------|-|---|--⌫---|-|
meilleurq ue	-------|-⌫-|
ie sauera y ila ditila	-|------⌫|-||--|-||
yy i ournees d e	-|-⌫------|-⌫|
cy alan tuersorient	-|----⌫|---|-----|
unetresgran tmontaig n eauironnés d	--|---|----⌫|-------⌫-⌫|---------||
tresg rande riuierelaquelle	---|-⌫----|------|-|-----|
nulz honsmortelzne peut	---|---|------|-|---|
p a s sers ilna	-⌫-⌫-⌫--||-|||
aprins auolerenladictemontaigneremplie	-----||----|-|-|----|--------|------|
de to usbiensa tr oysdamesdegrantbiauteualeur	-|--⌫-|----||--⌫--|----|-|----|-----|-----|
pu issan celesquellesdamesiadis	--⌫-----⌫-|--|------|----|----|
soloientpartoutlemonde	-------|--|---|-|----|
