mesireno bles	-|---|--⌫---|
sil eco nmen centa gaber	-|-⌫|--⌫----⌫---||----|
einssi nedeuezpas aler	-----|-|----|--|---|
biau sire courez uostretro	---|---|-----|-----|--|
este suosde	----⌫|--|-|
lor dre saintpo	|--⌫--|----|-|
quiaportezsi grantcoronne	--|------|-|----|------|
yse ngri nnulnenaresonne	---⌫----⌫|--||-|-------|
anco ispass eoutreetuatotdroit	----⌫-|----⌫|----|-|-|--|----|
sirenoble estoi t	---|----|-----⌫|
meta ge n oillons	--||--⌫-⌫------|
clainmesoiderenartle r ous	------|--|-|-----|-|-⌫--|
parquiilests i atornez	--|--|-|--|-⌫|------|
quilato zlesgrenons	-|-||--⌫|--|------|
dont il agrantdolor e ue	---|-||----|----|-⌫-|
quetrop enafait	--|---|-||---|
me sire no ble se re garde	-|---|--⌫--|-|--⌫----|
s i conmencearire	-⌫|-------||---|
moul t fort	----⌫|---|
ysengrinfai til bien t	-------|---⌫|-|---||
cilquiainsit	--|--|----||
aator n e ́	|----⌫-⌫-⌫|
m ou l t ta	-⌫--⌫-⌫|||
malemen tcoro ne ́	-------⌫|----⌫--⌫|
n et e st remespoil enla	-⌫||-⌫-|----|---|-|-|
mieussemblesd eable	----|------|-⌫----|
b i aus ir ec e m afet renart	-⌫-⌫-|-⌫--⌫|-⌫|||--|-----|
parsonengin etpar	--|--|----|-|--|
monesmo cheor	--|----⌫----|
do n t m a	--⌫-⌫|||
malementtempe sté	-------|-----⌫---|
quequantieuendra ien este	--|----|-|------⌫|-|---|
lesmochesme uoudrontmeng ier	--|-----|-|-------|----⌫--|
menporraiadier	|-|-----|----|
sui corouc iez moultfort	--|------⌫--|----|---|
di stnoblestun a smi etort	--⌫-|-----|-||-⌫|--⌫|---|
i l t enpoisese n es irez	-⌫||-|----||-⌫|-|---|
b ienuengiez	-⌫--|------|
lferaiuen ir	|----|---⌫-|
se lcomperraainzquil se ntor t	-||-------|-----|-||-⌫|---⌫|
ou estesuossire grimbert	-|----|--|---|-------|
orsestrenar ttr op desc ouert	-||--|-----⌫|--⌫-|----⌫----|
or est tropapersses baraz	-|--|---|----|--|----|
alez le moiquerreuiaz	---|-|--|-----|---|
bien saiqu etantes tforsene z	---|--|--⌫|---|--⌫|-------⌫|
queseuosnele	--|-|--|-|-|
n usau tr esne	-⌫-|--⌫--⌫-|-|
lpo rro itauoir	|--⌫---⌫-|----|
ale zsi lifet es	---⌫|-|-|---⌫-|
queie uoi lqueilu ien gne acort	--|-|---⌫|--|-|-⌫---⌫--||---|
e tg rimber tdeuant	-⌫|-⌫------⌫|-----|
s ir ef etil uostr eplai si r	-⌫--⌫|-⌫-|-|-----⌫|----⌫--⌫|
cestlari en s	|--|-|--⌫--⌫|
queie plusdesir	--|-|---|----|
moultuolentiersuo ir	----|---------|--⌫-|
aitantdelac ort se	|----|-|-|-⌫--|-|
uasen droit	-||-|----|
a uchastelrenar t	-⌫|------|-----⌫|
de cuila clamorestuenue	-|--|-|-----|--|----|
et as agentmenue	-||-⌫|---|----|
iasoi t cequil	-|---⌫|-|-|-|
fust anoiez	---|-----|
dy sengrinquies tescouez	|-⌫------|--|--⌫|------|
con man deq uil se loge nt tuit	---⌫---⌫-|-⌫|-|-|----⌫-|---|
est degrantd eduit	--|-|----|-⌫----|
d ancentet bale nt et quarolent	-⌫-----|-|----⌫-|-|--------|
ta boren tdancentet cito lent	--⌫-----⌫|------|-|----⌫---|
a hauteuoizalongue	|----|---||-----|
cha scunde bi enchanterse painne	---⌫---|-|--⌫-|------|-|-----|
la utresonchant	|-⌫---|--|----|
p alesetlasale	-⌫---|-|-|---|
ducha nte t	-|---⌫-|-⌫|
del am elodie	-|-⌫|-⌫-----|
qu ed emainne	--⌫|-⌫------|
labaron nie	-|-----⌫--|
quanti l orent a ssezb alé	----|-⌫|----|-⌫---|-⌫---|
asseztencié etramp osné	----|------|-|----⌫----|
estesuos dant	----|--|---|
grimbertlesag e	-------|-|---⌫|
otfornisonmesa ge	-|----|--|----⌫-|
q ui a uec	-⌫-|-⌫--|
luir en artamainne	--|-⌫--⌫--|------|
atretl i a	----||||
amoultgrant	|----|----|
siconm enoscuidons	-|----⌫|--|------|
liert renduz ses guerredo ns	-|--|-----|--|--------⌫-|
s or ne set moul t	|-|-|--|----⌫|
rena rtd e frape	----⌫-|-⌫|----|
ilestchau z	-|--|----⌫|
enmale trape	-|---|----|
chas c un sor lui sesd enzacuse	----⌫-⌫-|--|--|--|-⌫--|----|
yse ng rin qui au roil	---⌫--⌫--|--|-|--||
sietd ei ost e le s	---|-⌫--⌫---⌫|--⌫|
se renartfuengra nt	-|-----|-|-|---⌫-|
nus ho mn e	--|--⌫|-⌫|
s endoitmeruei llier	|-|---|------⌫----|
quilest e ldesrea i nmi lli er	-|-|--|-⌫|------⌫-⌫|--⌫---⌫-|
qa r tiec el i nmoul tseconseil le	--⌫|----⌫--⌫-⌫|----⌫|-|-------⌫-|
et la mesengesapareil le	-|-|------||-------⌫-|
po r luir es terdetraison	--⌫|--|-⌫--⌫--|-|------|
etchantecler qui	-|---------|--|
ertesch apezparsafauele	--|----⌫---|--|-|-----|
yse ngrinson conseilapele	---⌫----|--|------|----|
ets esamis aunep art	-|-⌫-|---||--|-⌫--|
orest auenu malrenart	-|--|----|--|-----|
b ien pouezs auoiretente n dre	-⌫--|----|-⌫----|-|----⌫-⌫--|
n eniramessanzbest e	|-|--|--|---|----⌫|
bruns lior s et tybert	----|-|--⌫|-|-----|
ontamenélo r	--|-----|--⌫|
ill e uo udrontgreue r	-|-⌫|--⌫-----|-----⌫|
po rraeschiuer	--⌫--|-------|
uolentierssen	---------||-|
t ornas tarriere	-⌫-----⌫|------|
po isten n uleman iere	--⌫--|-|-⌫--|---⌫---|
mesae nu izouuolentiers	--||-⌫--⌫-|-|---------|
laco rt ses sentiers	-|--⌫-|--|-------|
toutdro italentrerdelaporte	---|---⌫-|||-----|-|-|----|
uar eculantmoult	-|-⌫------|----|
le conforte	-|-------|
grimbert e tdi t na iezpeor	-------|-⌫|--⌫||-⌫--|---|
mesde yymauspranlemeillor	--|-|-|---|---|-|------|
s e tutent or noiesd e	-⌫|-||-|-⌫--⌫----|-⌫|
sipuez t ubiensauoir	-|---|-⌫|---|-----|
uoillesounonretorneras	------|-|--|---------|
roi gar der ne	--|---⌫--|-|
renartnet esmaies	-----|-||------|
setcon longueestsau ie	--|--|-----|--|-|-⌫-|
renart soiesde biau	-----|----|-|---|
io ruautmieus que zz	--⌫|---|----|--|-|
coart doute tot ior sla mort	----|----|---⌫---⌫|-|---|
cosinsoiesde	----|----|-|
bonconfort	--|------|
fortune secort l es hardiz	------|-----|-⌫-|-----|
sicon meconteliescriz	-|---⌫-|----|-|-----|
renartot quecilli sarmonn e	-----|-|--|--|-|-------⌫|
etque moultbonconseilli donne	-|--|----|--|------|-|----|
prentcuersisenentre e l pales	----|---|-||-|----|-⌫|----|
r enart deuantgrimb ertapres	-⌫----|-----|-----⌫--|----|
renart nese m blapas uila in	-----|-|--⌫-⌫--|--|----⌫-|
sonco s intenoitp ar la m ai n	--|--⌫-⌫-|-----|-⌫-|-|-⌫--⌫|
lapressede rontet xxx	-|-----|--⌫---|-|--|
n i a celuiqui	|||----|--|
ne lesgart	-||-----|
de uantleroi conainzleuit	--⌫---|-|--|--|---|-|--|
s agenoill a	|--------⌫|
etpuis lidist	-|---|-|---|
heroislef ilz	-|---|-|-⌫--|
sai ntemar ie	---⌫--|---⌫-|
uosgartetuostrecomp ain gnie	--|---|-|-----|----⌫---⌫---|
et a u ectot uos trebarne	-|-⌫-⌫-|--|---⌫--|----|
lyon laregardé	---|||-------|
pargra ntfiertepargra ntor gueil	--|---⌫-|-----|--|---⌫-|--⌫----|
renartleconnutbien a lueil	-----|-|-----|---|||---|
moul tpa ra gra ntpeordel ui	----⌫|--⌫||---⌫-|---|-|-⌫-|
qui lcrient qu il	-|-⌫|-----|-|-|
neli fa ceanui	-|-|--⌫-|---|
m ieus uosis test re aill or stozn uz	-⌫---|-----⌫|---⌫-|----⌫--⌫|--|-⌫-|
quen saco rtfust enco ruenuz	-|-|-|--⌫-|---|----⌫|----|
li baronsonttuit arepos	-|----|---|---||----|
parlasaleni otsi os	--|-|---|||-|-|-|
qu iiface necrine	--⌫||---|-|--|-|
l i roisparlar e n artsacoise	-⌫|---|----|-⌫-⌫-⌫--||-----|
a ditparfelon nie	|--|--|-----⌫--|
c est salu neuosre nt ie mie	-⌫--|---|-|--|--⌫-|-|--|
rousuenimeusdepu te foi	---|-------|-|--⌫-|--|
aut rementparle roizamoi	---⌫-----|-----⌫---||--|
ainzque issiezde cestest a ge	------|-----|-|---|---⌫-⌫-|
nos l airez uo scec uitb on gage	--|-⌫----|--⌫|-|-⌫--|-⌫-|---|
a umainscelero use pelice	-⌫|----|---|--⌫--|-----|
qu ant estriésdedenstalice	--⌫--|-------|-----|-|---|
necuidoiesmesrepair ier	-|-------|--|------⌫--|
cui des g uerroier	---⌫--|-⌫-------|
tant contorna b ienta r ouele	---|--|----|-⌫--|-|-⌫----|
nosasserui dela	--|-|----|-|-|
mesmaintefoizas	--|-----|---|-|
qu apres gran t ioie uientgra nt ire	-|----|----⌫|---|----|---⌫-|--|
etap r esmoluent ue nt ebise	-|--⌫-⌫-|--|---|--⌫--⌫|---|
tan tuapotaleuequ	---⌫|-|--|||--|-|
bien sire ren art	---|---|---⌫--|
qu il estbrisiezdeuost repart	-|-|--|------|-|----⌫-|---|
liroisparla renartescoute	-|---|----|-----|------|
etdis tque	-|---⌫|--|
sagent lo ito ut e	-|---||-⌫|--⌫--⌫|
renartfait i l a t on uiaire	-----|---|-⌫||-⌫-|-----|
sem bles bienbestedeput aire	---⌫---|---|----|-|--|---|
b ienpertas tesqeusestl ipoz	-⌫--|---|-|--|---|--|-⌫|--|
pleinesdeueninconmeboz	----|-|-|----|----|--|
onques zziorne feis bien	-----|-|--|-|---|---|
moul taentoidemal	----⌫||-|--|-|--|
p or cequetantm a s corouci é	-⌫-|-|--|---||-⌫|-------⌫-|
ety sen grin tantenginnié	-|-⌫---⌫---|---|--------|
et po rcequ e	-|--⌫|-|--⌫|
par t onenginfu	--|-⌫-|----|-|
etbrunli ors	-|---|-|--|
pa rmile groi ng	--⌫--|-|----⌫-|
elchesnedontostas l e	-|-----|---|----|-⌫|
et po rchantecler l ebaron	-|--⌫|---------|-⌫|----|
que tupreisentra ison	--|-|----|-|---⌫---|
lifeisles eu lzclorre	-|---|--|--⌫-|-----|
etporcequetuuo sismordre	-|--|-|--|-|--⌫--|-----|
d anttie celincontu fus le r e	-⌫--|---⌫----|--|-|--|--⌫-⌫|
et la me sen getaconmere	-|-|--⌫---⌫-|-|------|
parbaratpr ei s sonf ro mag e	--|----|--⌫--⌫|--|-⌫--⌫---⌫|
et delui eu s telgage	-|-|--|--⌫|--|---|
quetuli ostas	--|-|-|----|
ates ca nes	|--|--⌫--|
yydesesplus	-|-|--|---|
bele sp a nes	----⌫|-⌫-⌫--|
telguerredont enf ereren dre	--|--------||-|-⌫--|---⌫--|
qua for chest efereiapendre	-||---⌫---|-⌫|---|-|-----|
renartsot moul tdafaitement	-----|--|----⌫||---------|
si respondimoul tsagement	-|-------|----⌫|-------|
sauue uostregrace	----|-----|----|
on quesne fuide	--⌫---|-|--|-|
tel estrace	--|------|
qua mon seignorfacecontrere	-||--|------|---|-------|
nechosequ ene	-|----|--⌫|-|
doie fe re	---|--⌫-|
ie suiuostrehons et uos	-|--|-----|---|-|--|
demoinedeuez	-|--|-|----|
chose di re	----|--⌫-|
me d oi e anuisance	-|-⌫--⌫||-------|
m esbienestesdelapuissance	-⌫-|---|----|-|-|--------|
que ietermepouezde terre	--|----|-|----|-|----|
nepuispassoufriruos treguerre	-|---|--|------|---⌫--|-----|
doutmoult mesanemis	---|----|--|-----|
moul t mepo isese i	----⌫|-|--⌫--|-||
aim espri s	-|-⌫-----⌫|
de rienquia uosapartieng ne	-|---|--||--|---------⌫-|
mesnonaipasdontmesouieng ne	--|--|-|--|---|-|-------⌫-|
tieus uos on tfetlemalentendre	----|--|--⌫|--|-|--|-------|
e tco n tépormoi entreprendre	-⌫|--⌫-⌫--|--|--|-----------|
q ue ne leporroien t	-⌫-|-|-|--------⌫|
menc on gepu entil tr ouer	----⌫--⌫-|--⌫--|-|--⌫---|
mesauuoirdire	--|-|---|---|
sai gebien	--|-|---|
q uege n iaimespris	-⌫-|-|||-|------|
iames nusp reudonsnert amez	----|--|-⌫------||--|---|
lip lus loiau xer t	-|-⌫--|-----⌫|--⌫|
plu s b l asmez	---⌫|-⌫-⌫----|
fous estqui	---|--|--|
plusorsensontdeserité	------|-|---|--------|
ter re ietez	---⌫-|----|
li menteorsontli plusfort	-|------|---|-|---|---|
bienlede usi ezapa rcoi ure	---|-|--⌫---⌫-|---⌫----⌫--|
qui men congeuosfetacro ir e	--|---⌫----|--|--|----⌫--⌫|
ne n us neuosdeuroit	-|-⌫-|-|--|------|
con te chose u oire	---⌫-|----|-⌫---|
conneustes	---------|
meson quesmes homen eust es	--|--⌫---|--|---||----⌫-|
quip or uosaittantpaineeu e	--|-⌫-|--|--|---|----|--⌫|
encor en ailacharrompue	----|-|-|-|---|-----|
des granztrauaus c eestlas ome	--|----|------|-⌫|--|-|-⌫--|
d ont iepor	-⌫--|-|--|
uos alearo me	--|--||--⌫-|
asalerneeta	|------|-||
monpell ier	-------⌫--|
porl a mec ineapareillier	--|-⌫|---⌫--|----------|
q uibonees toitauma l	-⌫-|---|--⌫---|-|--⌫|
quiforment uosfesoit	--|------|--|-----|
aidie ́uos	-----⌫|--|
aiamon pooir	-||--|----|
si redistgrimberti l dit uoir	--⌫-|---|-------|-⌫|--|---|
pardie u mestie ruosaieu	--|---⌫|------⌫|--|-|-|
siuosaiortrop	-|--|-|-|---|
dit esquila	---⌫-|-|-||
pardieu neluodro itauo i r fet	--|---|-||-----⌫-|---⌫-⌫|--|
ui la inqui ceretre t	--⌫--⌫-|--|-|-----⌫|
nobleson co rage	----|--|--⌫---|
gri mber t fe tilb ie nauezdi t	---⌫----⌫|--⌫|-|-⌫--⌫|---|--⌫|
ia de cenesere z	-|-|-|-|----⌫|
bienpuet estre qu ilm	---|---|----|-|-||
mes malementlem am eri	--|-------|-|||-⌫--|
c estueritez quemanda ren art	|--|------|--|----|---⌫--|
grimbertifu	-------||-|
demo iepart	-|--⌫-|---|
q uibie nli d istc a	-⌫-|---⌫|-|-⌫--|||
cor tuenist	---⌫|-----|
q ueiaendesda i n gnel ten ist	-⌫-|-|-|-----⌫-⌫-⌫|-||---⌫--|
renart quisetde fauueanesse	-----|--|--|-|----|-----|
e tdema intefause prames se	-⌫|-|--⌫---|----|------⌫-|
respondiqu ebienle	-------|--⌫|---|-|
e t qu a l a	-⌫|-||-⌫|
cortol ui iroit	---||-⌫-|----|
renar t fistde laler	-----⌫|---|-||---|
sem b lant	---⌫-⌫---|
tybertual echemin	-----|-|-⌫|-----|
qa ntilfurent aune uil le	--⌫-|-|-----||--|---⌫-|
sotd emainte gui le	--|-⌫|-----|---⌫-|
lostelazzprouoir esot	|----||-|-------⌫|--|
quidelu imou lt	--|-|--⌫|---⌫-|
fort se gaitot	---|-|-----|
otnu leentree	-|--⌫-|-----|
fors yybuiotquantest fremee	---|-|----|----|--|-----|
por liprendre	--|-|------|
renartfista	-----|---||
tyberte nt endre	-----|-⌫--⌫----|
queparilluec	--|--|-----|
s oloit uenir	-⌫----|----|
etas gel i nesauen ir	-|-|---⌫-⌫--|----⌫-|
et t antiasourizet r az	-|-⌫--|||-----|-|-⌫-|
bienen puetenpestreyychaz	---|-|---|-|-----|-|---|
t y bert cuida queuoirde ist	-⌫-⌫---|----|--|---|--⌫--|
et qu enul mal ne liquersist	-|--⌫|--|--|-|-|-------|
touz estenduzdedenzsemist	---|-------|-----|-|---|
degrant foliesentr emist	-|----|----||----⌫----|
cara upartirse tintporfo l	--|-⌫|-----|-|---|--|--⌫|
lilazlidescent sorle col	-|--|-|------|--|-|--|
ilnes ottantbouternet rere	-|-|-⌫-|---|-----|-|-⌫---|
sepoistretraire	-|----|-------|
cil q u is	--|-⌫-⌫||
estoiententremis	-------|-------|
du l az tendreou	-|-⌫-|-----|-|
qua ntoen tquiles tenprison	---⌫-|---⌫|-|-|--⌫|-|-----|
lunp ortezz pel lautre	|-|-⌫---|-|--||----|
zz b a ston	-|-⌫-⌫---|
etren artsemetalauoie	-|---⌫--|-|--||-|---|
qu ina talentquelenleuoie	--⌫|||-----|--|--|-|---|
tybertbat entet donen tcoux	-----|---⌫--|-|-----⌫|---|
le l az ro ntou tenoitli c oux	-|-⌫-|--⌫-|-|-----|-|-⌫--|
desquety be rtsesenta	-----|--⌫--⌫-|-|---||
lesgrenon s croulelesdenzserre	--|------⌫|-----|--|---|----|
sili a uint beleauentur e	-|-|-⌫---|---|-------⌫|
nau intplusbele acriat u r e	|--⌫--|---|---||-----⌫-⌫-⌫|
queliprest resi er tuenuz	--|-|-----⌫--||--⌫|----|
descha u zs a nzbrai esettoznuz	------⌫-⌫|-⌫-⌫-|----⌫-|-|--|--|
uintatybert se luolt f erir	---||-----|-||---|-⌫---|
cilguenchiquiseuoltgarir	--|------|--|-|---|----|
l eprestr ealacoil lepren t	-⌫|------⌫||-|----⌫-|----⌫|
sique il de riens	-|--|-|-|----|
n emesprent	-⌫|-------|
biensa cheet ce estl a	---|--⌫--|-|-|--|-⌫|
coilleau prou o ire	-----|-|----⌫-⌫--|
meniaainzqu	----|-----|
is i stde l ostel	--⌫-⌫-|-||----|
n es chapamestybertdautel	|--⌫----|--|-----||----|
laprestresseerttoute	-|---------|--|----|
de lacoillequ ier tperie	-|-|-----|--⌫|--⌫|----|
e l emalostrue	-⌫-⌫|--------|
ne sera imes	-|----⌫|--|
chieretenue	-----|----|
me s i re a perduesaioi e	-|-⌫-⌫-||-----|-|---⌫|
porqo ichiere	--|--⌫|-----|
tenue esto ie	----|----⌫-|
orn aur ail	-||---⌫|-|
mes de moi cure	--|-|--|---|
quant i lape rdues anbleur e	----|-⌫||--⌫---||-------⌫|
or s aibie nq u ilmeguerp ira	-|-⌫-|---⌫|-⌫|-|-|-----⌫--|
quan tilai dier n ese	----⌫|-|--⌫---|-⌫|-|
moul tsuio re tri steet	----⌫|--|-⌫-|---⌫--|-|
a ioieaiusé maioue n te	|---|-|---|-|----⌫-⌫-|
biausmengiers	----|-------|
etl esbons	-|-⌫-|---|
uolentiers	---------|
orsai bien faillir miestuet	-|--|---|------|||-----|
grant choseaen	----|----||-|
ferelestuet	---||-----|
perdu sonhardement	----|--|--------|
lich az l a ser ui malement	-|--⌫-|||---⌫-|-------|
enc equ i l	-|-⌫|-|-⌫|
demainnentlorduel	---------|--|---|
tybertsenistparzz bouel	-----||-|--|--|-|----|
ren artsenfu piecapartiz	---⌫--||-|-|----|-----|
einsi f uligie u smalpartiz	----|-⌫|-|---⌫-⌫|--|-----|
deceste chos e a	-|----|----⌫||
faitesaplain te	----|-|-----⌫-|
tyb er tdes autresiamain te	---⌫--⌫|--|-----|||----⌫-|
brun sse replaint	----⌫|-|-------|
quilef istbatre	-||-|-⌫--|----|
elchesne ouille fistenbatre	-|-----|-|-|-|---|------|
q uecharpentiersorent	-⌫-|-----------|----|
e t lessié	-⌫|------|
tout a descouuert	---||---------|
d istlique miel	-⌫--|-|--|---|
auoitdedenz	----|-----|
ilicuidametre	-||----|----|
soncroing imi st	--|-----||--⌫-|
renartles co ins enabati	-----|--|--⌫--|-|----|
onques descoinsni lessaun	-----|--|----|||----|-|
parm i legroing retint da n t	----⌫|-|-----|-----|--⌫-⌫|
orfu lilasa grantdolo r	-|-|-|--||----|----⌫|
toute otperduela color	----|-|-----|-|----|
renartnef is tforsque sou rire	-----|-|-⌫--⌫|------|---⌫---|
quantilleuiten telmartire	----|-|-|--|-|--|------|
etdistabrunmengiezasse z	-|---||---|------|----⌫|
tantquesoieztou zsaoulez	------|----|---⌫|------|
lemiel est uostre ieluoslez	-|---|--|-----|-||--|--|
etie menuois agranteslez	-|-||-|---||----|----|
moultfetouosmauuesaler	----|--||--|-----|---|
o rrezmespar ler	-⌫---|--|---⌫--|
i ainonrenart biausire	|-|--|-----|---|---|
cistgaaingn	---|-----||
est pastotc onmun	--|--|--|-⌫----|
uosuoleztoutauoir	--|----|---|----|
sanzfaille	---|-----|
ia nenfereuers u os	-||-|---|---|-⌫-|
ainzleuosc lame retot	---|-|--|-⌫----⌫-|--|
ie nai mestierde	-||-|------|-|
f erelui te	-⌫--|---⌫-|
qu antramp osnesotassezfaites	--⌫--|----⌫----|-|----|-----|
l oufeset mou esassez	-⌫----|-|---⌫-|----|
tornez sene stneuoltplus	-----||-|-⌫-|-|---|---|
mesdantbrunnottalent deri re	--|---|---||-|-----|-|--⌫-|
legroi n ges traintetsac he etti re	-|----⌫-⌫|--⌫-----|-|---⌫-|-|--⌫-|
ne lpuetauoirs il	-||---|----||-|
neldes cire	-||---⌫---|
nes to it pas	|--⌫--⌫-|--|
du tota son chois	-|--||--|----|
liforesti e ruie nentaubo i s	-|-------⌫-⌫|---⌫---|-|--⌫-⌫|
yyestoient	-|-------|
e nlaroute	-⌫|-|----|
quantuoient brunlun	----|-----|---||-|
lautre bote	|----|---|
zz ors distl ipremiers	-|--|---|-⌫|-------|
oreip arra	--||-⌫---|
fran s fo restiers	----⌫|--⌫-------|
uo i aidier ne sepu et	--⌫|-----|-|-|--⌫-|
orle prenon fere les t uet	-|-|-----|---||--⌫-⌫--|
quant b runliors les	----|-⌫--|-|--|--|
adoncnese p ot	----|-|-|-⌫-|
ainz sache alu idet el air	---|----||--⌫|-|-⌫-|--|
q uetoutlecu irfet de par tir	-⌫-|---|-|--⌫-|--|--⌫---⌫--|
de ntresong roing	|-⌫---|--|-⌫----|
et desesioes	-|-|--|---|
n e nremestp oint	|-⌫|-----|-⌫---|
entre sespoes	----|--|---|
mesancoisqu	--|-----|-|
ilsenfus tostez	-||-|---⌫|----|
b ien batu lescoste z	-⌫--|---|--|-----⌫|
d ema cueset	-⌫|--⌫---|-|
de bastons	-|------|
is s uzsen e stareculons	--⌫-⌫-||-|-⌫-||-------|
renartla tenupo rmusar t	-----|||---|--⌫|-----⌫|
arieremainietahasart	-----|---|---|-----|
fuiant senua alonguealaingne	-----||-|-||-----|-------|
mesancoisotsofer tgrant painne	--|-----|-|-----⌫|----|-----|
ren art qui	---⌫--|--|
naitc onfesse	|--|-⌫------|
nefi nederrer n eneces se	-|--⌫-||----|-⌫|-|---⌫-|
t antqualentree dunerue	-⌫----|||-----||--|--|
a brunlors grant ram p o nerue	|---||--|----|---⌫-⌫-⌫-|--|
brunetqu ar medites	---|-|--⌫-|-|----|
seeste smoinesouhe rm ites	-|----⌫|-----|-|--⌫--⌫---|
et se mes s e chanter sau ez	-|-|---⌫-⌫|------|---⌫-|
quantuossigrantcoro nneauez	----|--|-|----|----⌫--|---|
moultparauez ure me il le chief	----|--|---|---⌫--⌫-|-|----|
bien pe rtquefustes a m eschief	---|--⌫-|--|-----||-⌫------|
etque la forcen est pa suostre	-|--|-|----||--|--⌫|-----|
lep is ne stpasillequ esno stre	-|-⌫-||-⌫-|--|------⌫-|--⌫---|
ai nssiseruiren artmonhonme	--⌫---|----|---⌫--|--|----|
pa r le ssainsquelenquier tar onme	--⌫|--⌫|----|--|--|-----⌫||-⌫---|
queiebondroit lorenfe rai	--|-|--|----|--|-|--⌫--|
s e prouer	-⌫|-----|
lepuis ielpr andrai	-|---|-||--⌫-----|
lorsrefist brichemersonplaint	---|-----|--------|--|-----|
meseng esecomp l aint	------⌫|-|----⌫-⌫---|
que qua nt elele uoltbesier	--|---⌫-|--|-|---|-----|
et a l uiseuoltapuier	-||-⌫-|-|---|-----|
lesdenzietaporluiconbrer	--|---|---|--|--|------|
einssilacuid a estra ngler	-----|-|----⌫|-----⌫----|
lorsliore ntses eles oes	---|-|---⌫-|--|---|--|
atantres aillienson crues	----|---⌫----|-|--|----|
mo ult parfesoit	--⌫--|--|-----|
grant desuerie	----|-------|
q uant u ersl uipensoitfe lo n ie	-⌫---|-⌫--|-⌫-|------|--⌫--⌫-⌫-|
m ainte traison	-⌫----|------|
prendre la cuida en	------|-|----|-|
ele estoi tenf oisacon mere	--|-----⌫|-|-⌫-|-|---⌫---|
tenoitporcompere	-----|--|------|
mesele dut sa nz dem orer	--|--|--|--⌫-|---⌫---|
lecomp eragecompe r er	-|----⌫----|-----⌫-⌫-|
li gieusnefupasuersl uibi aus	-|----|-|-|--|---|-⌫-|--⌫--|
e trenartfistqu edesloiaux	-⌫|-----|---|--⌫|--------|
qui son poil uoitne ledoit	--|--|---|---|-|-|---|
parnature fet amescr oire	--|-----|--||-----⌫---|
dame pinteserestc lamee	---|----|-|---|-⌫----|
quidemainte gent e rta me e	--|-|-----|---|-⌫-|-⌫--⌫|
desa seror dame coupee	-|-|----|---|-----|
queren art l ia	--|---⌫--|-⌫||
e sclope e	-⌫------⌫|
et yy mortes	-|-|-----|
de sesse rors	-|--|--⌫---|
cuers ertengrantdolor s	----|--|-|----|-----⌫|
grantmal afaitamainte ge n t	----|--||---||-----|--⌫-⌫|
i ames por orne	-⌫---|--|-|-|
ne ld oit on lessieraiugier	-||-⌫--|-|------||-----|
porses felonniesiugier	--|--|--------|-----|
li c orbiausestacortue nuz	-|-⌫------|--||---|--⌫--|
et ditquedroi tlisoit	-|--|--|----⌫|-|---|
derenartqui pristson fromache	-|-----|--|----|--|-------|
et puis lifis tsigra nt	-|---|-|---⌫|-|---⌫-|
que osesdens leuol t saisir	--||--|---|-|---⌫|-----|
