#META# TextURIDancusM	-----|------|------|
#META#DEAF http/ /ww w.dea f-pa ge. de/bib l/bib99d.php #DancusM	-----|---|-----⌫---⌫-----⌫----⌫---⌫------⌫------------⌫-------|
#META #FEW	-----⌫|--|
#META#ARLIMAhttp s//www.arlima.net/qt/roi_dancus_liure_du.htm l	-----|-----|----⌫--------------------------------------------⌫|
#META #Author	-----⌫|-----|
#M ETA#AuthorBorn	--⌫---|---------|
#META#AuthorBornAmb	-----|------------|
#META#AuthorDi ed	-----|--------⌫-|
#META# Author DiedAmb	-----|------⌫------|
#META#Au thorFl1	-----|--⌫------|
# META#AuthorFl2	-⌫----|--------|
#META#TextTitleLiureduroiDan cus	-----|--------|----|-|--|---⌫--|
#META#TextSubtitle	-----|-----------|
#META#Textuols	-----|-------|
#MET A #T extSubi	----⌫-⌫|-⌫------|
#META#TextDom	-----|------|
#ME TA#Tra nslationtrue	---⌫--|---⌫-------|---|
#ME TA#Co ll e ctionCab inetdeuénerie	---⌫--|--⌫--⌫-⌫----|---⌫---|-|-------|
#META# Col lectionNo6	-----|---⌫--------||
#META#T extDe scA RL	-----|-⌫-----⌫---⌫-|
#META#TextD e s cuers	-----|-----⌫-⌫-⌫----|
#META # TextDateARLXII Iesiècle	-----⌫|----------|---⌫-|------|
#META#Tex tDateAd i13	-----|---⌫-------⌫|-|
#META# TextD ateMin	-----|-----⌫-----|
#M ETA#TextDateMax	--⌫---|----------|
#M ETA# EdE ditor Marti n-Dairuault	--⌫---|---⌫----|-----⌫----------|
#MET A# EdPla ceParis	----⌫-|-----⌫-|----|
#META#E dPu bli she rLi brairiede s Bibliophiles	-----|-⌫---⌫---⌫---⌫|--⌫------|--⌫|-----------|
#META #Ed u ol	-----⌫|--⌫-⌫-|
#META#EdYear1883	-----|-----|---|
#META# EdPage s1 -29	-----|------⌫|-⌫--|
#ME TA#MsBaseP ar is BnFfr 12581	---⌫--|-----|-⌫--⌫-|--|-|----|
#META#MsNum 2	-----|----||
#ME TA#MsDateAR L	---⌫--|--------⌫|
#MET A# M sDat eAdi	----⌫-|-⌫----⌫---|
#META# Formp	-----|---||
#ME TA#Complet etrue	---⌫--|-------⌫|---|
#META#N oWo rds	-----|-⌫---⌫--|
#ME T A #NoLi nes	---⌫-⌫-⌫|----⌫--|
#META # Di alAuth	-----⌫|--⌫-----|
#META#DialScribe	-----|---------|
#MET A#ScanURLhtt ps//archiue .org/details/le liureduro idan00al be go og	----⌫-|------|---⌫-----------⌫---------------⌫---------⌫--------⌫--⌫--⌫-|
#META# ScanURIO the r	-----|--------⌫---⌫|
#META#ArkIDa rk /1396 0/t8w9 58d55	-----|----|-⌫--⌫-----⌫------⌫----|
#META#LccnID	-----|-----|
#ME TA#OclcID	---⌫--|-----|
#MET A#WebAuthorDauid IosephWrisley	----⌫-|--------|----|-----|------|
#META#ORCIDWebAuthororcid. org/0000-000 2-035 5-1487	-----|-------------|------⌫------------⌫-----⌫-----|
#META#WebRe uiewer	-----|-----⌫-----|
#MET A# ORCIDReuiewer	----⌫-|------------|
#META#MiscInfo	-----|-------|
#META#CCLice nseC CBY-NC-SA4.0	-----|------⌫--|-⌫|-------|--|
Inte rnati onal	----⌫-----⌫---|
uenuz.LiroisGalaciansl ir espondisa gement	-----|-|---|--------|-⌫|-⌫------|--⌫-----|
Pageu01P 003	--------⌫--|
Ieui[n]gà toi ueoi r et oirse	-|-----|-|--|----⌫|-|--|-|
uoirsquei ai oidire que tu	----|--||-|-|---|--|-|
ies li plu s	--|-|---⌫|
s agesqueie	-⌫---|--|-|
oisseo nquesquetuseisI	----|-⌫----|--|-|---||
quoituiesm oul tcurieuscar tu	---|-|--|-⌫---⌫|------|--|-|
fais pan reIoi sel à	---|---⌫-||--⌫--|-|
choseieuueil	----|-|----|
estr etesde s ciples .Etquant	----⌫|--|--⌫-⌫------⌫|-|----|
cil l oi sirist e tdistIlme plaist	--||-|-|---|-⌫|---|-|-|-----|
que tusoies	--|-|----|
mesdes ciples uiende ma i n	--|---⌫-----|---|--⌫--⌫-⌫|
au ecmoi siuerras ceque	--⌫-|--|-|-----|-|--|
mioiselfont.	-|----|----|
ior ap rés ala as chanz aueclui	--|--⌫---|--|-|----|---|--|
etqua ntil uit u oler lesoisia u s si	-|---⌫-|-|--|-⌫---|--|-----⌫-⌫|-|
moult et distBie n	----|-|---|---⌫|
est uoi rce quel an	--|---⌫|-|--||-|
medist.Lorso bé imoultàli.	-|----|---|-⌫---⌫|----|-|--|
laut r eiorlico mm ançaà	|---⌫-⌫|--|-|--⌫--⌫----|-|
dema nderquili	----⌫---|--|-|
plaisoitetlirois lirespondiCe	-------|-|-|---|-|-------|-|
uos plaist.Lors distli roisGalacians	--|------|---|---|-|---|--------|
Ieuueilma nder àmeshomes	-|----|--⌫---|-|--|----|
queie uueil	--|-|----|
demorerauec toi etestre tes	------|---|--|-|----|--|
desciples.	---------|
AdoncrespondiliroisDancus Iene	----|-------|-|---|-----|-|-|
sui pasdignes quetus oiesmes desciples	--|--|-----|--|-|-⌫---|--|--------|
m aissetuenu iaussauoiret	-⌫--|-|-|-|-⌫---|-----|-|
man de-l ique	---⌫----⌫|--|
i luaigtfe àmoi et ieli	-⌫|------|-|--|-|-|-|
ap anr aiport oeamor c eque iesaiet	--⌫---⌫-|--|-⌫-|---|-⌫|--|-|--|-|
Pageu01P004	----------|
porraitrouer. Decel anclinamoult	-----|------|-|-||------|----|
liroisGalaci ans etli uo st ch aoir	-|---|------⌫--|-|-|--⌫-|--⌫---|
Lors pristcongiée t s an ra laen	---|----|------|-⌫||-|--⌫-|-|
uen ir a ̀luiAttanasie nsonfil.	---⌫-|-⌫|--|---------⌫|--|---|
dist Se tu u iau sapan redelart	---|-|-|-⌫---⌫|----⌫-|-||--|
desfaucons	--|------|
siua a ̀ lacou rtleroiDanci.	-|-|-⌫|-|---⌫-|-|--|-----|
Attanasiensfutm o ult	----------|--|-⌫-⌫--|
chose.Si lidistmaint enan t	-----|-|-|---|-----⌫----⌫|
Anuoie -mi.	------⌫---|
si fist cari lestoitm oult curie usde	-|---|--|-⌫|-----|-⌫---|-----⌫-|-|
toutes chosesfors quede faucons.Liroi s	-----|-----|---|--|-|-------|-|---⌫|
Dancus lefistmoult seruiret	-----|-|---|----|-----|-|
ilf utan t	-|-⌫|---⌫|
deboncuerqueilsotenI	-|--|---|--|-|--|-||
a nquanque	-⌫|------|
Dancussauoitcestasauoir delagoute	-----|-----||--|------|-|-|----|
douchi efquiest	--|---⌫-|--|--|
dit S urcini.De ma lo	--|-⌫------|-|--⌫-|
agro.Demalo	----|-|---|
tergo.Delagoutequiest	-----|-|-|----|--|--|
ditearcetique.D e	---|---------|-⌫|
lagoutequinaistes	-|----|--|----|-|
gorgesq ui	-----|-⌫-|
es tditena tur ausasrainspran	--⌫|---|--⌫---⌫--|-|----|---|
lagoute morfex.Dela	-|----|------|-|-|
gout equi estdite	----⌫|--|--|---|
silera. Dela	------|-|-|
crampe.De sfie ure s quiardent	------|--⌫|---⌫---⌫|--|-----|
le pol monet le foi ees tnéel a	-|---⌫--|-|-|---⌫|--⌫|---|-⌫|
in mag onequiestape lez	-|---⌫--|--|--|---⌫--|
ma felon. Et	--⌫-----|-|
aprés lumbrici e ttin ea n aist enl éle.De	-----|-------|-⌫|---⌫-|-⌫---|-||----|-|
mal da nfondeure.	--||-⌫---------|
Pag eu01P005	---⌫-------|
Quant uosueezqueilc lost les	----|--|---|--|-|-⌫---|--|
chiefsachiezqueil	----|------|--|-|
asurcin.La medicine	|------|-|-------|
estte lep r anl ar tetpo iu reet m esle	--|--⌫-|-⌫-⌫-|-⌫--⌫|-|--⌫--⌫-|-|-⌫---|
et lidone mangieretlautr e	-|-|---|------|-||----⌫|
lidonedelaloea uec lachar	-|---|-||---|-⌫--|-|---|
degeline .	-|------⌫|
Qu antuo sueezque	--⌫--|--⌫|---|--|
ilo eurelabouche	-|-⌫---|-|-----|
et li flanclibatentsachiez queil	-|-|----|-|-----|------|--|-|
Lamedici nees ttelepran une aguille	-|------⌫-|--⌫|---|---|--|------|
dargente tleschaufea ufeu	|-----|-⌫||-------|-⌫|--|
lesna rille se ntelm enierequee le	--|--⌫-----⌫|-⌫|--|-⌫-----|--|-⌫-|
lautrepartaprés lioi[n]g	|----|---|-----|-|-----|
doi le doliue	|--⌫-||----|
ou deburre.	-|-|-----|
Quant uos ueezqueil	----|--|---|--|-|
estarnue et	-------|-|
iaueparlesnarillessachie z que il	---|--|--|-------|------⌫|--|-|
fu enroidiz.Sil if aites	-|--------|-|-⌫|-⌫----|
tele medicine	---|-------|
prenezstaphisag ria met III	-----|---------⌫---⌫|-|--|
poiureetlesbroieenun	-----|-|--|----|-|-|
mortierde pierr e	------|-|-----⌫|
oude metai letdestranpez defort	-|-|-----⌫|-|---------|-|---|
aigreet lianu oiez es	----|-|-|---⌫---|-|
nar illesauecbomba c e	---⌫----|---|-----⌫-⌫|
etelpalaisetap re ́ s	-|-|-----|-|--⌫--⌫-⌫|
li donez char	-|----|---|
de gelinecha ude.	-|-----|---⌫---|
Quanttu uo izleco lan flé sachesquei l	----|-|--⌫-|-|--⌫|--⌫---|-----|--|-⌫|
esta rcetiqu es.Sile	--|-⌫-------⌫--|-|-|
m edicineen t elmaniere	-⌫------|-|-⌫-|------|
P age u01P006	-⌫---⌫------|
poi l es oncoletpra nlesancde	---⌫-⌫|-⌫-|--|-|---⌫|-|---|-|
uai nnede l a bo ucheetlid o ne reigneà	---⌫--|-|-⌫|--⌫---|-|-|-⌫-⌫-|-----|-|
ma n giere t setu	--⌫-⌫---|-⌫|-|-|
d igeratilest	-⌫-----|-|--|
Quanttu uoiz que	----|-|---|--|
la gorge li estanf lée	-|----|-|--|---⌫---|
souflesaches queil a cemal.Si	-----|-----|--|-||-|---|-|
medicineente lma ni ere	-------|-|--⌫|--⌫--⌫--|
pranlesanc	---|-|---|
doupao netm uscatum etmirobalanose t	--|---⌫|-|-⌫------|-|----------|-⌫|
gariofilosetcy namo mumetcunciber de	---------|-|--⌫----⌫--|-|-------|-|
chascununeonce	------|--|---|
etfai nouam boconeset	-|--|----|------|-|
chascunio r Iàtie rce et aprésànone	------|--⌫||-|---⌫--|-|-----|-|---|
donelis uricium.	---|-|-⌫-------|
Quantil amales	----|-||--|-|
rainst ul e puez	----|-⌫|-⌫|---|
connoi stree n	------⌫---|-⌫|
telmenier eq uant ilne	--|------⌫|-⌫---|-|-|
puetismartire ettuuoizdeloi[n]g	---|--------|-|-|---|-|------|
sepuetdebatre saches	-|---|------|-----|
queil acemal	--|-||-|--|
pran mumiamet lepoildou lieureetli	---|-----|-|-|---|--|-----|-|-|
donemen giera ueccha rdegaite	---|---⌫---|-⌫--|---⌫|-|----|
uIII iors.Etse il tient cep as t	---|----|-|-|-|----|-|-⌫--⌫|
sanzdou te	---|---⌫-|
ilestsains.	-|--|-----|
Lefaucon qu ia	-|-----|--⌫||
lago ute silerepueztu	-|--⌫--|-----|---|-|
conn oist reas onglesdes pie z et	----⌫----⌫-|-|-----|--|---⌫|-|
à lac ir e	-|-|-⌫--⌫|
doubeccarilfait iqui	--|--|--|-|---|---|
blan csache s	----⌫|-----⌫|
Pa geu 01P007	--⌫---⌫-----|
i lace malsi	-⌫||-|--|-|
pr anadonc le serpen tnoir	--⌫-|----|-|------⌫|---|
et tranch eun e	-|------⌫|--⌫|
pa um edou chief etune	--⌫--⌫|--|----|-|--|
dela coeetoste	-|-|--|-|---|
cedamme ietfr i ice en	-|-----⌫|-|--⌫|--|-|
Ip otnuefetpra nla graisse	|-⌫-|---|-|---⌫|-|------|
istraetla faicha ude et	----|-|-|--|---⌫--|-|
lidonea uec char	-|---|-⌫--|---|
depaoniuqu esàIXiors	-|---|----⌫-|-|-|---|
aprésluitisme	-----||------|
iorp ranporcel fem eleetla	--|-⌫--|-----|---⌫--|-|-|
poileen i aue	----|-|-⌫--|
ch aude sipranlet anrundoupizau ec la	--⌫---|-|---|-|-⌫----|--|--|--⌫-|-|
forceleetlidonemangier. Et	------|-|-|---|-------|-|
se iltient	-|-|----|
bien ce pastil sera sa ins.	---|-|---|-|---|--⌫---|
quiala goutegranffetule	--||-|----|------|-|-|
pu ez conoistre entelma nierequ antil	--⌫-|--------|-|--|--⌫----|--⌫--|-|
m etun piésor	-⌫-|-|---|--|
a u tre etfiertson b ec	-⌫-⌫--|-|----|--|-⌫-|
saches que ila	-----|--|-||
cemal osteles ancde l a	-|--|---|-|-⌫--|-|-⌫|
uainne entre l e pié	-----|----|-⌫|---|
etla gra nfe etei nsis	-|-|---⌫--|-|--⌫---|
serasai n s.	---|---⌫-⌫-|
Quan t tuu oizfauconspediculo us fai	----⌫|-|-⌫--|------|--------⌫-|--|
lamed icine	-|---⌫----|
entelmanier epranuifar gent	-|--|------⌫|---|--|--⌫---|
etunumb accileetlecrachero n	-|---|-⌫-----|-|-|--------⌫|
mesleensa mblei uque	----|----⌫---|-⌫---|
tan tqueliargen ssemuireetaprés	---⌫|--|-|-----⌫|-|----|-|-----|
oigntuieze tmesleto ut	----|---|-⌫|----|--⌫-|
ensamble etli	-------|-|-|
oigl e someril	--|-⌫|------|
de la test ee t apréspranfil	-|-|----⌫|-⌫|-----|---|--|
Pageu01P008	----------|
iau n eetli l ieaucole t	---⌫-⌫|-|-|-⌫-|-|--|-⌫|
il s emorront.	-|-⌫|-------|
Quanttuuoiz fauconqui	----|-|---|-----|--|
aitlepie ́	--|-|---⌫|
chautila fieure. Lamedicine es ttelle	----|-||------|-|-------|--⌫|----|
pran aloeet lagraisse de	---|---|-|-|------|-|
l a ge lin eet	-⌫|--⌫---⌫|-|
mesl etoutce	----⌫|---|-|
en for tuinaigr e etlidone	-|---⌫|--|----⌫|-|-|---|
àmang ier et s e il tient bien cepastil	-|----⌫--|-|-⌫|-|----|---|-|---|-|
serasain s.	---|----⌫-|
Quant tuuoi zqu eil p rantlach ar	----|-|---⌫|--⌫|-|-⌫---|-|--⌫-|
becet maintenantlagi etef uer	--|-|---------|-|--⌫--|-⌫--|
la pi er r e in magone. Lamedicineest	-|--⌫--⌫-⌫|-|------|-|-------|--|
pranlapasseetgir ofles	---|-|----|-|---⌫----|
et bat etmesl e	-|--|-|----⌫|
gi rofl eaueclap asseetl id one	--⌫----⌫|---|-|-⌫---|-|-⌫|-⌫--|
àmangi e r	-|-----⌫-⌫|
etse ille tient il	-|-|-|-|----|-|
e st sains.	-⌫-|-----|
Qua ntilnepuet	---⌫-|-|-|---|
is sirfuer ila	--⌫--|---|-||
oufon dement .	-|---⌫------⌫|
La m edicineesttele pran	-|-⌫------|--|---|---|
le cue rdouporceletla soie	-|---⌫|--|-----|-|-|---|
etm esleauecl	-|-⌫---|---||
l i done amen gieriuquà III	-⌫|---||---⌫---|---|-|--|
io rsetil serasains.	--⌫-|-|-|---|-----|
Quantila latine enlélela medi cine	----|-||-|---|-||---|-|----⌫---|
est t elepranlacireroug e	--|-⌫--|---|-|---|----⌫|
et muscatum	-|-------|
etmirobalanos	-|----------|
citrinoset salgenma m et	-------|-|--------⌫|-|
g omm eà mangieretlegrain	-⌫---⌫|-|------|-|-|----|
Pageu01P009	----------|
fr o ment e tmesletoutenI ba ci net I	--⌫-⌫---|-⌫|----|---|-||--⌫--⌫|-||
uinaigre et	--|----|-|
le laisseparIXiors	-|-----|--|-|---|
etpuismetin ampul lauitrea et	-|---|--|-|-----⌫-|-----|-|
fau contan tquetuuo iceslacoroneuenir	---⌫--|---⌫|--|-|--⌫---|-|-----|----|
etaprés pran l	-|-----|---||
iauerose etl	---|---|-||
l emetaus oloilet il	-⌫|--|-|-⌫----|-|-|
serasains.D echa scun	---|-----|-⌫|---⌫---|
pr anuneonce etdeci r edemieliure.	--⌫-|--|---|-|-|--⌫-⌫|----|-----|
Q uanttuuoizqueil	-⌫---|-|---|--|-|
nepra ntlepast et	-|---⌫-|-|---|-|
a lesiexgr ossacheq u e	|--|--|--⌫-|----|-⌫-⌫|
il a e nfondeure.	-||-⌫---------|
La medicin e est	-|-------⌫|--|
telefai bone cendrede	---|--|---|-----|-|
sa rmantetlabatet	--⌫----|-|-|--|-|
emplilagor ge iuque	----|-|---⌫-|----|
ta ntquilleteigne etapré spran	--⌫-|-|-|-|-----|-|-----⌫|---|
à mangier et il serasains.	-|------|-|-|---|-----|
Quant tuuuesf air efauconsha rdiztien	----|-|---|-⌫---⌫|------|--⌫---|---|
lemo ulten	-|--⌫--|-|
tamainet lido ne	-|---|-|-|--⌫-|
gelineunecuisseàtiercee t ap résmet	-----|--|-----|-|-----|-⌫|--⌫---|--|
deu ant lu i iaue	---⌫--|--⌫|---|
i l se baigne et	-⌫|-|-----|-|
a usoloiliuqueil	-⌫|-----|----|-|
soitsechiez	---|------|
apré sl emet enoscurle u	-----⌫|-⌫|--|-|----|--⌫|
iuqueah ore	----||-⌫--|
de uespres apr és letienen tamainiuqu	-|------|---⌫--|-|---|-|-|---|---|
hore dedormi rcest àdire	---|-|-----⌫||--|-|---|
sommeetaprésmetdunepa rt	----|-|-----|--||--|--⌫-|
u ne lumiere	-⌫-|------|
ardantdeua nt lui partoutelanuit	-----|----⌫-|--|--|----|-|---|
Pa geu01P010	--⌫--------|
etquantl or edoumatin uientarou seicelui	-|----||--⌫|--|----|----|----⌫-|-----|
deuinaprés l e metau feue tquant	-|--|-----|-⌫|--|-|--|-⌫|----|
ilestior ua	-|--|--|-|
oiseler auecIIIIhomesou	------|---|---|----|-|
u. Etsetuuoizquil	-|-|-|-|---|-|-|
auolant édepanre	|------⌫-|-|----|
l aisse -le as oisiaus et seilprantdone	-⌫-----⌫--|-|------|-|-|-|----|---|
t antco mme iluuet deloi se l	-⌫--|--⌫--|-|---|-||--⌫--⌫|
etse il n e	-|-|-|-⌫|
pren tdone lidune gelin e	----⌫|---|-||--|-----⌫|
uiueuneéleet	---|--|---|-|
lamoiti e ́dun e	-|-----⌫-⌫||--⌫|
cuissee tl emeten o scur	-----|-⌫|-⌫|--|-|-⌫---|
leu.Enlautreiordiéte-leentel	---|-||----|--|--------|-|--|
pranIi u enepoucinetmet	---||-⌫-⌫--|-----|-|--|
unec uisse	--|-⌫----|
eniau e froide etle lai sseiquiiusque s à	-|---⌫|-----|-|-|---⌫--|---|------⌫|-|
tierc ecum	-----⌫|--|
tribuspurg atoriis e tlidone	-----|----⌫------|-⌫|-|---|
lamoitie ́delacuisse	-|------⌫|-|-|-----|
purgatoires	----------|
etapréslemeten osc ur	-|-----|-|--|-|---⌫-|
iuquesàuespres	-----|-|------|
etap résletiensorla	-|--⌫---|-|---|--|-|
mainiuques	---|-----|
au premie r	-|------⌫|
somme etap résle	----|-|--⌫---|-|
lumi èreardan tp ar toute la n u itetquant	----⌫---|-----⌫|-⌫-|----|-|-⌫-⌫-|-|----|
tu orrasmatinesarrouse -l edeuin.	-|----|------|-------⌫--⌫|-|---|
oise ler.Et-s eil prent	----⌫---|----⌫|-|----|
oisiaust ienletout	------|-⌫--|-|---|
leioretse ilnepr an t	-|--|-|-|-|-|--⌫--⌫|
donel ilau treio rfo rt	---|-⌫||--⌫--|--⌫|--⌫-|
u inaigre et une	-⌫-|----|-|--|
quissede pe titpuc in	-----|-|--⌫--|---⌫-|
cum t ribuspurgatori is	--|-⌫----|---------⌫-|
debombaceet apréslemeten	-|------|-|-----|-|--|-|
Pageu01P0 1 1	---------⌫-⌫|
obscuriuques à	-----|-----|-|
uesp re s etapr ésletien	----⌫--⌫|-|---⌫--|-|---|
so rtamain iuqueau	--⌫|-|---|----|-|
premier som e ete schaufe	------|---⌫|-|-⌫------|
del iaueet	-||---|-|
lebaign ededanzetle	-|-----⌫|-----|-|-|
m età laclar té iuqu e aumatinap résl	-⌫-|-|-|----⌫--|----⌫|-|----|--⌫---||
etua oiseler.	-|-|-------|
Iceschoses	---|-----|
tonnen tdesfaucons.Etregarde	------⌫|--|-------|-|------|
uertudouf au cone tseloncsa uertu	----|--|-⌫--⌫--|-⌫|-----|-|----|
tormante-le.	-----------|
Fauconsont	-----|---|
de m aintesnatures.D ou	-|-⌫-----|-------|-⌫-|
liun s uuet oiselergrase t	-|--⌫|---|------|---|-⌫|
liautresmaigres.	-|-----|-------|
Tuitfaucon sontà	---|-----|---|-|
panregr anzoisiau s	----|--⌫--|------⌫|
ettu part onsenslidoiz faire	-|-|--|-⌫-|---|-|---|----|
panr e auant	----⌫|----|
lesg ranzo isi aus etpuisles petiz	--|-⌫---|-⌫---⌫--|-|---|--|----|
com menosauonsditci-deu ant.	---⌫-|--|----|--|------⌫---|
fa uconquio nt pennes noir esson tdune	--⌫---|--|-⌫-|-----|----⌫-|---⌫||--|
natureet t ui tci l qu iles	-----|-|-⌫--⌫|--⌫|--⌫|--|
ontblanch essont	--|------⌫-|---|
autrenature .	----|------⌫|
Quanttuuiaus cono i stre la genti l lesc e	----|-|----|----⌫-⌫---|-|-----⌫-⌫----⌫|
dou faucon resga rdeseil	--|-----|-----⌫--|-|-|
et lesommetd ouchi ef plainetcourt bec	-|-|-----|-⌫-|---⌫-|----|-|----|--|
etgros etlon c coletamplas spat ulaset	-|---|-|---⌫|--|-|-----|----⌫---|-|
lesp enne sdes	--|-⌫----⌫|--|
el essoutin es et	--⌫-|------⌫-|-|
cuisses l ongues	------|-⌫-----|
etiam bes court esetgrosseset	-|---⌫--|-----⌫-|-|------|-|
