s uidedire teu z	-⌫-|-|---|---⌫|
sau e zuos qu	---⌫-⌫|--|-|
et ahonte lipu e ttorner	-||----|-|--⌫-⌫|-----|
puisquilnatale nt	-----|-|||----⌫-|
du d onner	-|-⌫----|
a si faithomeporson	|-|---|---|--|--|
uenirtrois	----|----|
foizensamaiso n	---|-|-|-----⌫|
sili a bienlauoieaprise	-|-||---|-|---|-----|
tant pl us	---|--⌫-|
i met etm ainsle prise	|--|-|-⌫---|-|----|
etpar itant	-|--|----|
liauerslisersa auoir	-|----|-|---||----|
se testqueili	-|---|--|-||
uueltplusmetre	----|---|----|
qu ecest folie du pr om etre	--⌫||--|----|-|--⌫--⌫---|
quia tozlesautr esensaigne	--||--|--|----⌫-|-------|
que chascu n s asauortsondon	--|------⌫-⌫|------|--|--|
d equelsauor	-⌫|---|----|
par quelraison	--|---|-----|
p uet il son	-⌫--|-|--|
dona sauorer	--|-⌫------|
lasauor es tde toutdoner	-|----|--⌫|-|---|----|
quim orsel	--|-⌫----|
sanzsauortr englot	---|----|--⌫-----|
enpl ir enp uet so nuetre tot	----⌫-|-|-⌫--|--⌫|----|--|
mais iatan t nenplira sapance	---|-|---⌫||------|-|----|
que licors ensa ntepitanc e	--|-|---|-|--⌫--|------⌫|
d escou s targermais anulfuer	-⌫-|---⌫|-----|---||--|---|
ianeuenrasipres ducuer	-|-|----|-|---|-|---|
conci l qui u ientpre sentement	--|--⌫|--|-⌫---|---⌫--------|
itantsachiezce rteinement	----|------|--⌫---------|
quecilquidoiuentestresaige	--|--|--|------|----|----|
que dons est	--|---|--|
sanzsauor quitarge	---|----|--|----|
lasiste penne nos aprent	-|----|----|--|-----|
selargesd onelargement	-|-----|-⌫--|--------|
secauient q uilaitmal as sis	-||-----|-⌫|-|--|--|--⌫--|
trois d onsouquatreoucinqousis	----|-⌫--|-|-----|-|---|-|--|
aucun sditar rom ent	-----⌫|--|--⌫---⌫--|
c ildonelesienfole ment	-⌫-|---|-|---|----⌫---|
estreparluipensé	----|--|--|-----|
nereproschie ́nere greté	-|----------⌫|-|--⌫-----|
s oitli donspor ri ens queon	-⌫--|-|---|--|--⌫--|--|-|
largesce quiquelasordie	-------|-----||------|
ne porroitmietr espasser	-|------|--|--⌫-------|
neporroitpensser	-|------|------|
a so ndon puisque	|--⌫|--|------|
ainz d oitpensserquilredonra	---|-⌫--|------|-|-|------|
lasesmepenne en lele	-|----|----|-||--|
ensa i gnequequi	----⌫-⌫--|--|--|
ueltlar gese stre	---|---⌫--|-⌫---|
be audoner a	--⌫-|----||
lar gesdoitestr esanzfai ntier	---⌫--|---|----⌫|---|---⌫----|
porquoi p orce sou entaui ent	--|---|-⌫-|-|---⌫--|---⌫--|
cel el arge cedo n tnaui en t	---⌫|-⌫----⌫-|--⌫-⌫||---⌫--⌫|
ace lui qui ele remaint	|--⌫--|--|--|------|
quitozior ze nlargescemaint	--|--|---⌫|-⌫|-------|----|
toziorz lau eltet	--|---|-|-⌫--|-|
diexconment	---|------|
d onera mengierlargement	-⌫---||------|--------|
est cedonque ssigrant larg ece	--|-|------⌫|-|----|----⌫--|
t u it cil l etienentap roesce	-⌫-⌫-|--|-⌫|------||-⌫-----|
quienlargesce s aparcoiuent	--|-|-------||----------|
quoituit doiuent	---|---|------|
celelargescereteni r	---|-------|------⌫|
largesuelt	-----|---|
cort teni r	---|----⌫|
ge nz porhennorer	--⌫-|--|-------|
tant nenset a	---||-|--||
damesne c heual iers diu ers	----|-|-⌫-----⌫---|---⌫--|
ne tant nedonram enteausuer s	-|---|-|----|-⌫------|---⌫|
netantnelfera uolentier s	-|---|-||---|---------⌫|
s eil est ma uuais	-⌫|-|--|--⌫----|
uiuandiers	---------|
quenedie tos tcel e et	--|-|--|---⌫|---⌫|-|
a udepar tir dehaiz aitil	-⌫|-----⌫--|-----|--|-|
teusestlacostumeq u i	---|--|-|------|-⌫-⌫|
et c estla	-||--|-|
dr oi teriule a	--⌫--⌫-|----||
qu ede maintegentaitcurie	--⌫|-|-----|---|--|----|
quinacostes iaitcuiriee	--|||----|-⌫|--|------|
tan taid elargesc eauisee s	---⌫|-|-⌫|-------⌫|------⌫|
les se ptpennesqued eu isees	--|--⌫-|-----|--|-⌫--⌫----|
eleor recouient	--|-|--------|
porc equ e	--|-⌫|--⌫|
uolentemeuient	------|-|----|
quedelelede	--|-||--|-|
lesse pt corto ises	--|--⌫-|-----⌫---|
pennes die	-----|--|
conmentontnonqueu sdoiuen t	------|--|--|----⌫|------⌫|
lap re mie re	-|-⌫--⌫---⌫-|
quiest cor toisieapelee	--|--|---⌫-----|-----|
celedoitbienestrenomee	---|---|---|----|----|
l apre mie re esten	-⌫|---⌫---⌫-|--|-|
lele assi se	|--|----⌫-|
d anorer toziorzs eint iglise	|-----|--|---|-⌫---|-----|
q ua r dr oiz estet	-⌫--⌫|--⌫--|--|-|
ra ison sitient	--⌫---|||----|
qu atozcheualiersapart i ent	-||--|---------|-----⌫-⌫--|
et bie nidoi u en tregarder	-|---⌫||---⌫-⌫--⌫|-------|
quepo rsainteiglise gar der	--|--⌫|-----|-----|---⌫--|
fu cheualiersnomezaincois	-|---------|----|------|
nedoitestr e nom ezcortois	-|---|----⌫|---⌫-|------|
quisainte yglise deshoneure	--|-----|-----|---------|
queianenertne	--|-||-|--|-|
iornehe ure	--|-|--⌫--|
etb ie nsachiezquequen usdie	-|-⌫--⌫|------|-----|-⌫-|--|
queces tla greignor c ortoisie	--||--⌫|-|-------|-⌫-------|
p uis sedemor er	-⌫---⌫-|-----⌫-|
sei ntyglise	---⌫-|-----|
la secon deapreslaprem iere	-|-----⌫-|----|-|----⌫---|
queles t el	---|--⌫|-|
estdetel maniere	--|-|--|------|
quech eualiersporsa bont e	--|--⌫-------|--|-|----⌫|
porhaut esceneporbeaute	--|----⌫---|-|--|-----|
e rt meruellous	-⌫-|---------|
queiadoi eestreorgueillo us	--|-|---⌫|----|---------⌫-|
quargedietproue rle uueil	---|-|-|-|-----⌫|-|----|
cortoisieetorgu eil	--------|-|----⌫--|
nepu eentpas	-|--⌫---|--|
conioindreensanble	---------|-------|
porquoiporce queilm e	--|---|--|-|--|-|-⌫|
quetozpoinznestdeco rtoisie	--|--|----|---|-|--⌫------|
orgue iluileni e	-----⌫-|------⌫|
penne quetenir	----|--|----|
elecestqu ate nir	--||--|-|---⌫--|
sedoitcilquicortois u elt	-|---|--|--|------|-⌫--|
de uente rqu aril ne p uetestre	-|-----⌫|--⌫-|-|-|-⌫--|----|
sanzuileni e qu auenter	---|------⌫|-||-----|
noilenainc	|-|--|---|
b on chantchanter	-⌫-|----|------|
deuan te orcesambleanui	-|---⌫--⌫-|-|-----|---|
bien loez parlui	---|---|--|--|
estre droiz	----|----|
cheualiers	---------|
sise gartdestre	-|-|---||----|
menc on giers	----⌫--⌫----|
quarcheualie r nendoutezpas	---|--------⌫||-|-----|--|
doitfer irhaute tpar lerb as	---|---⌫-|---|-⌫|---⌫--|-⌫-|
laquartepenne	-|-----|----|
uueilgedire	----|-|---|
q uelestele	-⌫--|--|--|
dequelmatire	-|---|-----|
quenus cortoisne	--|--|------|-|
doitbla sme r	---|---⌫---⌫|
tozdis ioie	--|--|---|
etest reauuequ eslesioianz	-|---⌫-|------⌫-|--|-----|
faire ioieetestr eioianz	----|---|-|----⌫|-----|
de lor solazet d elorui e	-|--|----|-|-⌫|--|--⌫|
qu archeualier estcortoisie	--⌫-|--------|--|--------|
quiloieuolentiers	-|-|--|---------|
n otesetuielesetso ns	-⌫---|-|-----|-|--⌫-|
etdeduitde	-|-----|-|
menes tereus	-----⌫-----|
etauueccedo itestr eteus	-|----|-|--⌫-|----⌫|---|
quesiloit dedamemesdi re	--||-|--|-|---|-----⌫-|
quilfaceuneautr ec hos e	-|-|---|--|----⌫|-⌫---⌫|
porquoi porce	--|---|--|-|
ne st p asraison	|-⌫-|-⌫-|-----|
quedenuledame parnon	--|-|---|---|--|--|
oiecheualier uilenie	--|--------|------|
d irequil n ela	-⌫--|-|-|-⌫|-|
contredi e	--------⌫|
entr estozpoinzlidoit	-|--⌫----|----|-|---|
desp l ai r e	----⌫-⌫--⌫-⌫|
estcort oisil d oitfaire	--|----⌫--|-|-⌫--|----|
samor asdame ssiconmune	|---|-|----⌫|-|------|
queill esainttot es p or	--|-|-⌫-|---|---⌫-|-⌫-|
la quinte panne acui	-|-----|----||--|
deffentatozc ortois	------||--|-⌫-----|
une cho se quim ai nte	--|---⌫-|--|-⌫--⌫--|
etmai nte icor t	-|---⌫--||---⌫|
qui e us estl a t esche cest	---⌫-⌫-|--|-⌫|-⌫----||--|
c elequidu	-⌫--|--|-|
poio rlenuie	----⌫||----|
tozlesmauss ostient	--|--|---|-⌫------|
cele d ont u ile nieuie nt	---|-⌫--|-⌫---⌫--|---⌫-|
acaus qui de lu ifontl ormestre	|---|--|-|--⌫|---|-⌫-|-----|
porcequequi cort ois ueltestre	--|-|--|--|----⌫--|---|----|
sil a seigno r eti lauient	|-||------⌫|-|-⌫|-----|
q ue li siresa eus	-⌫-|-|----||--|
soit del arges cedesirre us	---|-|-⌫-----⌫-|-------⌫-|
qu il ne soit	-|-|-|---|
de beaudon s ille	-|---|--||-|-|
doneau trui	---|--⌫---|
ne doitestre pe ns sé	-|---|----|--⌫--⌫--|
qu eli deslo tne	--⌫|-|-----⌫|-|
contre die	------⌫--|
quar neseroitpascortoisie	---|-|-----|--|--------|
necilnaimepas sons eignor	-|--||---|--|--|-⌫-----|
qui lidesl oe afa ireonor	--|-|----⌫-||--⌫--|---|
porc euosdi	--|-⌫|--|-|
maistresont	------|---|
qui ouue q ueslor se ignoru on t	--|----⌫-⌫--|--|--⌫----|-⌫--⌫|
ento zpais etpres et	-|--⌫|---|-|---|-|
e nplace agrantb esoig	-⌫|----||----|-⌫----|
nau ront a	|--⌫---||
lor seign ormestier	--|-----⌫-|------|
il seruenttuitdelosan gi er	-|------|---|-|-----⌫--⌫-|
silauie nt quauc un	|-|----⌫-|-|---⌫-|
d eprenrecouoi teus	-⌫|-----|-----⌫---|
uienent ac ortpor demander	------||-⌫--|--|-------|
ilsaillen tporcontreman der	-|-------⌫|--|---------⌫--|
ilauro ien t ire	-|----⌫---⌫|--|
etdienta lor seignorsire	-|----||--|------|---|
chascunuosprentch ascunuo srobe	------|--|----|--⌫----|--⌫|---|
cil enporta	--|------|
auanthierro be	----|---|--⌫-|
ci ltrentesouscilautr esui nt	--⌫|-----|---|--|----⌫-|--⌫-|
dilueques au	|-------|-|
ti erziorreuint	--⌫--|--|-----|
orestu e nuzo rue lts esgaig es	-|--|-⌫-⌫--|-⌫|--⌫-|-⌫-|----⌫-|
cil ne fa itpa squesaiges	--|-|--⌫-|--⌫|--|-----|
quilesencroitnequi lordone	--|--|-|----|-|--|--|---|
qu i a larg escesabandon e	--⌫||----⌫---||-------⌫|
ia e nrich ece n emorra	-|-⌫|----⌫--|-⌫|----|
issid ient ia	---|-⌫---|-|
nuldonqu e iln ec on tredient	--|--|--⌫|-|-⌫|-⌫--⌫-------|
s ouuen tauientque quanquedi ent	-⌫-----⌫|-----|--|------|--⌫--|
torne en noientetn oient font	----|-|-----|-|-⌫----|---|
siresacuiilsont	----||--|-|---|
lesuoits ouen tsesconnoi stbien	--|---|-⌫----⌫||-|------⌫-|---|
etne lai r oi t por	-|-|---⌫-⌫--⌫|--|
n uler i en	-⌫--|-⌫-⌫-|
tantestl ar gesetdehalt pris	---|--|-⌫--⌫--|-|-|---|---|
adon erapris	|---⌫-|----|
quiln ese porro itpas tenir	-|-|-⌫|-|-----⌫-|--|----|
quece quilpuetdusien	--|-|-|-|---|-|---|
etp luss e plus auoit	-|-⌫--|-⌫|---|----|
etqu antlienieus ceuoit	-|--⌫--|-|-----|-|---|
do ne at o zetfaitlorbon	--⌫-||-⌫-⌫|-|---|--|--|
etilnepuetfaire	-|-|-|---|----|
s un sautreunbea udo nenlieue	|--⌫|----|-|---⌫|--⌫|------|
quantiln i part	----|-|||---|
siquil l igrieue	-|-|-|-⌫|-----|
grie uesi faitteus	----⌫-|-|---|---|
estlor uie	--|--|--|
ae nuieu squ	|-⌫-----⌫|-|
illor ennuie	-|--|-----|
sisanblepardro iteraison	-|-----|--|---⌫--|-----|
quigardelemulon	--|----|-|----|
enmile preetil	---|-|--|-|-|
quepormengier a	--|--|------||
ce fainuient	-|---|----|
l auache s eulelichi en s sal t	-⌫|----|-⌫---|-|---⌫--⌫|---⌫|
contrelauachesilass a lt	-----|-|----|-||---⌫-⌫-|
etcha celoi gteus estl i chiens	-|---⌫-|---⌫|---|--|-⌫|-----|
lairoit p ornule ri ens	------|-⌫-|---|--⌫--|
mengi erlau achequia	-----⌫-|-|-⌫---|--||
puetmengier dufain	---|------|-|---|
te l eestlauieaulosan gier	--⌫-⌫|--|-|--|-|-----⌫---|
desonseignor	-|--|------|
f ai testrangie r	-⌫--⌫|---------⌫|
les preudonsetbout er	--|-------|-|----⌫-|
nen eu elt	-|-⌫|-⌫--|
ennu lem anier e	-|--⌫-|-⌫-----⌫|
quenusaitpart	--|--|--|---|
enson a uoir	-|--|-⌫---|
puetporluiauoir	---|--|--|----|
nelia uoirsne	-|-|-⌫----|-|
lifaitbien	-|---|---|
p lus qu elimu lo nsf ait auchien	-⌫--|--⌫|-|--⌫--⌫-|-⌫--|-|----|
las iste penn e a prent pardroi t	-|-⌫---|----⌫|-⌫----|--|----⌫|
que nuscortois estre	--|--|------|----|
coupoierresne mes dis anz	----------|-|---⌫---⌫--|
u ilei nscousmausean z	-⌫----⌫-|---|-------⌫|
n estn usco rtoisne	|--|-⌫-|--⌫----|-|
costumiers	---------|
biensaichiez qui e stc heualie rs	---|-------|--|-⌫-|-⌫-------⌫-|
pre nt lep oior	---⌫-|-|-⌫---|
qua rdecheua liercoupoior	---⌫|-|-----⌫---|-------|
puetlen bien	---|--|---|
dire telr eprosche	---|--|-⌫-------|
q ui en la meinetenla bouche	-⌫-|-|-|---|-|-|-|-----|
nepueent pasbeaus causauoir	-|-----|--|----|---|----|
ai nzcouient parf inestouoir	--⌫-|------|--|-⌫-|-------|
quel icop li	--|-⌫|--|-|
uiegne nt a ma in	------⌫-||--⌫-|
ouenlaboucheouen l a mein	-|-|-|-----|-|-|-⌫|---|
de cheualier dene di gepas	-|--------|-|-|-|-|--|
qu entr eautrescheualiers	-|----⌫|-----|---------|
etbeausmos n e	-|----|--|-⌫|
doieret r aire	---|---⌫-⌫---|
u ilenietaire	-⌫-----|----|
totce soitmaisn est pas	--|-|---|---||--|--|
quan tilcopoieaslecheors	----⌫|-|-----|-|-------|
ce medesplait	-|-|-------|
cen estpasbon	-||--|--|--|
quan tp orb o rder perdentlor	----⌫|-⌫-|-⌫-⌫---|------|--|
etcil qui fon tcel	-|--|--|---⌫|--|
cesont cheualiermi p arti	-|---|--------|-|-⌫---|
quaril sontcheualier nomé	---|-|---|--------|----|
demietlecheorclam é	---|-|------|----⌫-|
porc e qu elecheorse font	--|-⌫|--⌫|------|-|---|
s e lcuide nt estremais	-⌫||-----⌫-|----|---|
neia nele seront pardroit	-|-|-|-|-----|--|----|
quarmallecherreneporroit	---|--|-------|-|------|
pornuleri ens quipoist	--|---|--⌫--|--|----|
c heuali er setlech erresestre	-⌫------⌫--⌫|-|----⌫----|----|
ainzcouientqu il soittozentiers	---|------|-|-|---|--|------|
o u lecherresou	-⌫|--------|-|
cheual iers	------⌫---|
quar linonsde che ualerie	---|-|---|-|---⌫------|
est outrepoi ntde	--|----|---⌫-|-|
neian a uenraparrais o n	-|-||-⌫----|--|----⌫-⌫|
