enl enornostre	-||---|-----|
entendizsi le s uos	-------|-|--⌫|--|
con t eraimi ssires	---⌫-⌫---|--⌫|----|
iaque s lia po st resx mcrisa	-----⌫|-|-⌫--⌫--⌫--|-⌫|---||
que no stre sire se nu eia	--|--⌫---|----⌫|-⌫--⌫--|
s esap ostrese sesdeciplespreecherpar	-⌫-|--⌫-----||--|-------|-------|--|
lemon tsen ala enengualice	-|---⌫||-|--|-|--------|
futlipremiers qui les	--|-|-------|--|--|
pa rolesdam bredeue laf ei	--⌫----|---⌫-----||-|-⌫-|
preechaapressen alaenxme la	------|----||-|--|-|-||-|
fuoc is de	-|--⌫-|-|
he rodelerei	--⌫---|-|--|
esei disciple	|--|-------|
prin drentlocor sde	----⌫----|-|---⌫|-|
enporta re ntparmer	-------⌫--⌫-|--|--|
iusquenengalicee la	----|-|-------||-|
p red ication ela	-⌫---⌫------||-|
fe i xm cri stqui lauoi en t	--⌫|-|---⌫-|-|-⌫|----⌫--⌫|
comenceailuec laferme rentmesli	-------|----|-|-----⌫---|--|-|
chait idengual iceparlor	-----⌫||------⌫--|--|--|
p echeeparmal aa uentura	-⌫---||--|---⌫|-⌫------|
s ireneerent	-⌫|--------|
pui snostreseignorefurenten	---⌫|-----|------||-----|-|
cela e rro rtresqueontemp skarlmaine	---|-⌫---⌫|------|-|----⌫|--------|
ic i stbonseu rez	--⌫-⌫-|------⌫--|
karlmaines	---------|
sic onquist molt en	-|-⌫------|---|-|
sonten semolt	--|---⌫||---|
ot pe nesetrau ausil	-|--⌫--||----⌫--|-|
e autresreg nesassez	|-----|---⌫--|----|
eci tez moltd el	|--⌫--|---|-⌫||
iusqu e nl autr ee	----|-⌫||----⌫||
ecofit i ltot	--|--|-⌫|--|
par deq uar ilne	--|-|-⌫--|-|-|
futo nques	--|-⌫----|
uencuzetotco	-----||--|-|
conq uistala	----⌫---||-|
crestiantee totes les	---------||----|--|
terresdeliuradece usqui	-----|------|-|--⌫-|--|
eud ene uoloient	-|-⌫|-|-------|
creirequar	-----|---|
traualiéparla suore par	--------|--|-|---||--|
grieftrauailsidist	----|------|-|---|
repouser eitne	--------⌫--|-|
plu s bat a liene	---⌫|---⌫-⌫--|-|
unanuit sicumilsegesei t	--|---|-|--|-|-|-----⌫|
ensonlit si uitendormant	-|--|--|-|--|-|------|
on celuoietota esteleasimouet d e	-|--|---|---|------|-|----|-⌫|
lamerde fri see	-|--|-|---⌫-||
si senalo tpar antiocha terr a	-||-|---⌫|--|-------|----⌫|
lonb ard ie e	----⌫---⌫-||
pu is parmi	--⌫-|----|
eparmip eito eparmie spaingnetresq u	|----|-⌫---||----|-⌫-------|-----⌫|
en galicelaio rlicors	-|-----|--|-⌫|-|---|
monseig nor sainti aq ue estoi t me sen	--|----⌫--|----|-⌫--⌫-|-----⌫|--⌫|-|
neli conoisei t	-|||--------⌫|
quantlibonsreis l otueue	----|-|---|---||-|--||
parmaintesnuizsicomensa	--|------|---|-|------|
aporpenseraseimeismeque	|--------||--|-----|--|
uisionssignefiot	------|--------|
ipensot lir oi s mo l t	|-----|-|-⌫--⌫|--⌫-⌫|
dureme ntsiuincaluiunsbeaus	------⌫-|-|---||--|--|----|
homtozblancsquenusne	--|--|-----|--|--|-|
por roit diresa beaute	---⌫---|---|-|-----|
apar ut alui	----⌫-||--|
esiliditque	|-|-|--|--|
faiztu filzk arlae karl	---|-|---|-⌫---||---|
respont q uies t usir e	------|-⌫-|-|-⌫|---⌫|
soi f it ilia quesli	--|-⌫-|-|--⌫---|-|
apostr es xmcristli filzzebedee li	------⌫-|-|----|-|---|------|-|
fre resioan leuang eliste	---⌫--|---||-----⌫-----|
iesoici lq uenostra	-|--|--⌫|-⌫-|-----|
deigna otlui	-----|-|--|
parler parla soe	-----|--|-|--|
graic edela merdengalice	-----⌫|-|-|--||-------|
cilcuicors	--|--|---|
repos e en	-----⌫|-|
engua lice q uelisarr azi ntenent	-----⌫---|-⌫-|-|----⌫---⌫|-----|
mesnisoimieconeuz	--|-|--|--|-----|
iesoici lcui herodesocist d	-|--|--⌫|--|------|----||
unglaiuesi me	-|-----|-|-|
moltque tucelate rranasdeli uree	---|--|-|---|--⌫--||-|----⌫---|
sarrazinsquetantes	--------|--|-----|
te rres t antes	--⌫---|-⌫----|
regionsas c onquise s	------|-|-⌫-------⌫|
sosmisesatap oet e	-------||-|-⌫---⌫|
porla quauchosete fauzassauer	--|-|---|----|-|---|-|----|
quarsi cum nostrasire st a	---|-|--|-----|----⌫|||
fa itleplus	--⌫-|-|---|
aut reiqu isete n	--|--|--⌫|--|-⌫|
t erra t otautresitail	-⌫---|-⌫-|------|||-|
esleup ordeliur er laterradesp aigne	----|-⌫-|------⌫-|-|----||---⌫----|
desmainsausm auuaizsarrazins	--|----|--|-⌫-----|--------|
qui amene n tep or	--|-----⌫-⌫||-⌫-|
aparellierla	---------|-|
auscrestien s qu i meuendro nt	--|--------⌫|--⌫|-|------⌫-|
req uerreeq ueen puchent renquerre	---⌫----||-⌫-|-|------|--------|
la pa rdurab ble boneurte	-|--⌫------⌫--|-------|
l a sem blanced el a	-⌫|---⌫-----|-⌫|-⌫|
ueieestel ee que tu	---|-----⌫-|--|-|
ueisoncel tese nef fie	---|-|--|-|--⌫---⌫--|
quetuot gran tgentte nira sen	--|-|-|----⌫|---||-⌫|---⌫|-|
engualicesor	--------|--|
lessa r razin s	--|--⌫-⌫-----⌫|
conb atrasotl a	----⌫----|-|-⌫|
maluaizegent	-------|---|
equ etuue iras ormis	|--⌫|-|--⌫---|-|--|
c uersreposeeque	-⌫---|-----||--|
t uiferas l a	-⌫||----|-⌫|
uoie eapr esteituitl i	---||---⌫-|--|---|-⌫|
luna mertresquen	|--|--|-----|-|
perelinage e ilue c cr ieront	---------||----⌫|--⌫-----|
merci delurpecheze	----|-|--|-----||
sireconteront	-|----------|
le sloenge snostraseignore les	--⌫|------⌫|-----|------||--|
uertuz qu e	-----|--⌫|
etoteissiiront	|--|----|----|
decesttenstresqu a	-|---|---|-----||
delmondebea usa mis or	--|----|---⌫-|-⌫--|-|
plu st ostque tu poi rras	---⌫|-⌫--|--|-|---⌫---|
q ue ie serai ti saideres entotes	-⌫-|-|----|--⌫|------|-|----|
choses esac h esquep arte s	-----||---⌫-⌫-|--|-⌫-|--⌫|
trauausserascoron ez	------|----|-----⌫-|
pardu rabbledel acorona que nostra	-----⌫-----|-|-⌫|-----|--|-----|
sireste ha apar elleiaetis	----|-|-|----⌫-----||--|
serarenomeziusqu au derr eir a n	---|------|----|-|----⌫---⌫-⌫|
ior delsegleenic esta maneire mi s	--|--|----|-|--⌫---|------|--⌫|
siras ainziasqu es aparuta	---|-⌫---|-----⌫-|-----||
karlapartres fezlienpereiresen fu	----|--|---|--|-|---------|-|-|
moltcuriosparl	---|-----|--||
amon estamentepar coque	----⌫-------||--|-|--|
liapostres	-|-------|
liaueitdit si	-|----|--|-|
seg ur ss iman damolt grant	---⌫--⌫|-⌫|---⌫-|---|----|
lor d is tquiluole italer	--|-⌫--⌫|-|-|----⌫-|---|
en esp aignesorles sarazins e	-|---⌫----|--|--|-------||
la preme ire citez qu eil	-|-----⌫--|----|--⌫|-|
panpeluneesi sthi	--------||--⌫-|-|
e nt o r tresmesnionqu esprend ranela	-⌫--⌫-⌫|---|--|-|----⌫-|-----⌫-|-|-|
pocquare laesto it	--|---|-⌫-|----⌫-|
bonsmurs al a do nc fi ts ap reeir aa	---|---|--⌫|--⌫-|--⌫|-⌫|-⌫-----⌫||
nostrasei gnore saint iasqueesi	-----|---⌫---||----|-----||-|
distsira desx mcrisp arlacui	---|---|--|-⌫|---|-⌫-|-|--|
feiepo rla cu i	--||--⌫|-|--⌫|
ai enpr iscestauoie	-|----⌫-|----|---|
doname i queie poisseprendre	---|--⌫|--|-|-----|------|
cestacitealoengeeaho norde	----|---||-----|||--⌫--|-|
nom eapre sfitsa preeire	--||----⌫|--|-|------|
iasqu eo tu bonsaurez sain zias que s	-----⌫||-|--------|----⌫|---⌫---⌫|
sicoestuer s	-|-|--|---⌫|
quetutapar eguisses	--|-||----⌫-------|
am oiotre ia	|-⌫-|----⌫-|
moique iela	--|--|-|-|
loresp ar la uert u dedee	----|-⌫-|-|----⌫|-|-||
parpreeira	--|------|
saintiasque li mursont	----|-----|-|--|---|
de pessé efond u	--⌫-----||----⌫|
par eus meimeslireis	--|--|-----|-|---|
ent raenselisarrazi nqui	---⌫-|--||-|-------⌫|--|
uogrentestrabaptizéci l n e	------|----|-------|--⌫|-⌫|
moriren t miaainzfur ent crestien	-------⌫|--|---|---⌫--|-------|
ecilquibaptesme	|--|--|-------|
refuserent cil	---------|--|
fur entocis quantco	---⌫--|---|----|-|
l iautrasa rr azin	-⌫|----|--⌫--⌫---|
siserendirenta	-|-|--------||
karl ae lor u ileselor	----⌫||--|-⌫---||--|
enu eerentt reuet otacela terrasifu	---⌫-----|-⌫--||-⌫--|---|----|-|-|
eiss isosmisseakarla	----⌫|-------||----|
sa rrazinese mer ueloientmoltdela	--⌫------|-|---⌫-------|---|-|-|
g ent defran cequieissi	-⌫--|-|----⌫-|--|----|
belamentesto i ent atorné	-------|----⌫-⌫--|------|
auoientb e laforme	------|-⌫-⌫-|----|
e siestoientfort e debeau	|-|-------|---||-|---|
senblant sigitoientlorarmes	-------|-|-------|--|----|
sile sreceuoien ten orabblementeen	-|--⌫|---------⌫|--⌫----------||-|
paiskarl se nalaueer le	---|---||-⌫|--|---|-|
iasquegi soitpuis	-----|--⌫---|---|
alatresquau peiroe	--|-----|-|----||
fichaenlamersa lance e r e n dit	----|-|-|--|-|----||-⌫-⌫-⌫--|
graices adeeamon	------||-|||--|
saint iasquequi	----|-----|-||
lauoi entconduit	|----⌫--|------|
tre squ i locquarolt r a	---⌫--|-⌫--|---|---⌫-⌫|
nepooientil	-|------|-|
alerlesgualiciensq ui	---|--|---------|-⌫-|
apresla predi cat ion	----|-|-----⌫---⌫--|
iasqueese s	-----||--⌫|
d ecipl essedepart irent de	-⌫-----⌫-|-|------⌫----|-|
lafei desaintbapte smecez	-|--|-|----|-----⌫--|--|
fitregenerer	--|--------|
par lesma inzturp in l	--|--|--⌫--|----⌫-||
arceuesq uecofur entci lqui se	--------⌫-|-|---⌫--|--⌫|--|-|
cou erti rentde lorbo ngr equin	---⌫----⌫---|-|--|--⌫|--⌫|--||
auoientmieestéba pti zé	------|--|----|--⌫---⌫--|
quineseuogren t couertir a	--|-|-|------⌫|-------||
la feide cristillesfit	-|--|-|----|-|--|--|
ocir eoilrem edrent	----⌫||-|---⌫-----|
enchai ti ue zonsd	-|----⌫--⌫--⌫---||
ilocsi senala partota	---|-||-|--|--|---|
espaign e del une meren laut re	-------⌫|-||--|--|-||---⌫-|
lesui les e lescitez que	--|--⌫--||--|----|--|
ilcon quist	-|---⌫----|
lo rsenengualic e si	--⌫-|-|--------⌫|-|
sunteis si apelees	---|---⌫-|------|
en lat erra	-|-|-⌫---|
delpoblequieutempsestoitmolt	--|----|--|-|----|-----|---|
p etitecoe st citez	-⌫----|-|-⌫-|----|
autaebelaelarga	---||---||----|
mag na aauila queditaest	---⌫-|-----|--|---|--|
quiestenualue rtenla	--|--|-|-----⌫-|-|-|
quel estfaizlibons	---|--|---|-|---|
argenz e n	-----|-⌫|
laquelagiest uns	-|----|----|--|
bonsconfesso rsde cristqui	---|--------⌫-|-|----|--|
fuserganzmonseignor	-|------|--|------|
saint iasque	----|-----|
quiparlauertudede floris t a	--|--|-|----|-|-|------⌫||
chescu na n as afest a eport a f ruit	------⌫|-⌫||-⌫|----⌫||----⌫|-⌫---|
la u eliadelafes t a	-|-⌫---|-|-|---⌫-⌫|
ousuespre si	--|------⌫||
sontlesfoli es el es	---|--|----⌫-||-⌫-|
e le ndemainlif ruistoz me urz	||-⌫------|-|-⌫---|--|--⌫--|
enla q ue lasunt	-|-|-⌫--⌫-|---|
lifort chi ualerqui seconbaterent	-|---|---⌫----|--|-|----------|
arab it esesunt ouila	----⌫--⌫-||---|-|-||
parcostume co	--|------|-|
corsd elamerest	---|-⌫|-|--|--|
destreis eco estassauer	-------||-|--|-|----|
detotesc ez citezfukarlmaine s	-|----|-⌫-|----|-|---------⌫|
s ir esedes	-⌫--⌫-||--|
citez queieuosai	----|--|-|--|-|
nomeess i pristdetes	-----|-⌫|----|-|--|
bata illeetes i otpar	----⌫---||--||-|--|
grantforceepar mol tgrantengein	----|----||--|---⌫|----|-----|
biternequiet enualuert	------|--|-|-|------|
celenepueci l	---|-|---|-⌫|
prendretrescau	------|----|-|
a ud erreiran uintali	-⌫|-⌫-------|---||-|
e f uassegee tresmeis efi t sa	|-⌫|------|---|---||--⌫|-|
preeirea nostraseignore	------||-----|------||
iaquee lorcheir ent lim ureest	----||--|-----⌫--|-|-⌫-||--|
deserteiusq ua u ior	------|----⌫|-⌫|--|
unslacs deuintmoltnersor	--|---|-----|---|---|-|
ha peisso nz assezmes	-|------⌫-|----|--|
tuitsontne rtesi ot	---|---|--⌫|--||-|
dec ezcitez quearrei ere	-|-⌫-|----|--|-----⌫--|
uosai n omees que	--|-|-⌫----|--|
lire i defrance	-|--⌫|-|-----|
quifu rent	--|--⌫---|
auant k arlaeli	----|-⌫---||-|
enpereordeti oisconquisent qui	-------|-|--⌫--|---------|--|
apres furentsarraz inepae n	----|-----|------⌫-||---⌫|
tres qualauenam e ntka rla eapr essa	----⌫-|||------⌫-⌫-|--⌫--||---⌫-|-|
mort moltrei emoltprince	---|---|--||---|-----|
alerentenespaigne	------|-|-------|
sor sarrazin s e	--|--------⌫||
con b atirentxxmqui f ut	---⌫-⌫------|--|--|-⌫-|
lip remier sreisenfrancecrestiens	-|-⌫------⌫|---|-|-----|--------|
cistconquidren tpartie	---|----------⌫|-----|
despaigneepartieen	|-------||-----|-|
l ais sere nta	-⌫---⌫----⌫-||
conquereme s	-------|--⌫|
iquist karlmaine s	-----|---------⌫|
laconquist	-|-------|
totaen sontense co	---|-|--|---||-|
suntlescitezqueil	---|--|----|--|-|
conquisto roct moltgrant tr auaile	-------|-⌫|--|---|----|--⌫----||
puis silesmou distepar	---|-|--|---⌫---||--|
co suntencora	-|---|-----|
sa nz h abiteorsles	--⌫-|-⌫-------|--|
ydreselessy mulacresquil	----||--|--⌫-------|-|-|
tro ualorsen	---⌫-|---|-|
espaigne tot ho	-------|--|-|
de struitfors solement	--⌫-----|---|-------|
qui estenla	--|--|-|-|
te r raalandelu ph	--⌫-⌫-|--------⌫-|
estapele a	--|-----⌫|
estapelez lil uispropre mentor	--|-----|-|-⌫--|------⌫---|-|
estditau tretant	--|--|--⌫------|
enl enguesa r razin ecum	-|-⌫----|--⌫-⌫-----⌫|--|
en fra n ceise	-|---⌫-⌫---||
l isarrazi nquemahom ez que	-⌫|-------⌫|--|-----⌫-|--|
celaydreensonnom	---|---|-|--|--|
entramentqueiluiuoi t	-----------|-|-----⌫|
e la legiondaus	|-|-----|---|
diables encloten	------|-----|-|
enchantementesilisailap or	-----------||-|-|----|-⌫-|
coqueiluolei t	-|--|-|-----⌫|
quec eleyma gr eneeust si grant	--|-⌫--|---⌫--⌫|-|---|-|----|
que nusnela	--|--|-|-|
depessermaintesfezauintqu equant	-------|------|--|----|--⌫|----|
auscuns crestienss apro chiot	------|--------||----⌫----|
dece laymagre i lperiglotene plepa s e	-|--⌫-|-----|-⌫|-------|---⌫-----⌫||
quantauscuns	----|------|
s a rra zins	-⌫-⌫---⌫---|
seap ro c h iotdecelmahometo parlui	-|--⌫--⌫-⌫-⌫--|-|--|------||--|--|
deprehero par luiahorer	-------||--|--|-----|
toz al iegress en parteitcel a	--|--⌫-----||-|------|---⌫|
ymagresi estoit	-----|-|-----|
siench a ntee quesi aucun soisea usse	-|----⌫-⌫---|--|-|-----⌫|-----⌫-|-|
asesi stdesusparauentur a	-----⌫-|----|--|-------⌫|
erraumentmoreit en lariuede la mer	--------|-----|-|-|---|-|-|--|
une pierr edea n ciane	--|-----⌫|-|-⌫-⌫----|
euredesarrazins faitee poliemolt	---|-|--------|----||----|---|
soltilmentsorlaterraasise	---------|--|-|----|----|
totacaireepar desozemo ltleesi	---|-----|--|----||--⌫-|--|-|
estdreitec o ntra	--|-----|-⌫-⌫---|
autecumunsoiseaus	---|--|--|------|
set uolerenautedesus	--|----|-|--||----|
c elapeirre siesta ssisecele	-⌫--|-----|-|--|-⌫----|---|
ymagre dormusiquemolt	-----||-|---|--|---|
bienesih asemblance	---||-|-⌫|--------|
es tdreitasorsespiez e si	--⌫|-----|--|--|---||-|
estsa faise ue rsmeidi e en sa	--|-|----|--⌫-|----||-|-|
maindestra tient l imagre	---|-----|----||-----|
u nacl efque	-⌫-|--⌫-|--|
n u snelipuettolir	-⌫-⌫|-|-|---|----|
edizoentlisarrazin qu el es	|------|-|-------|--⌫|-⌫-|
clezlichair entde lamainluesque	---|-|-----⌫--|-|-|---|------|
uns reisnaitretenfrance	--|---|------|-|-----|
quitotae spaignep endrete	--|---|-⌫------|-⌫-----||
couert ireit ate nir cr estiante me sco	------⌫----||--⌫--|--⌫-------|--⌫|-|
seroitauderreiran	-----|-|--------|
tens coaueia nt	---|-|-----⌫-|
ilsortie maintena ntque il	-|----||--------⌫----|-|
ueiroentlacleph cheua	-------|-|----|----|
rebosissant	----------|
e siauin tautens	|-|----⌫|-|---|
karl mai ne del o rquel i	----⌫---⌫-|-||-⌫|--|-⌫|
prince do narent	-----|--⌫-----|
akar lmai nesi funda	|---⌫----⌫-|-|----|
le mosti ersaint	-|-----⌫-|----|
iaqueecruit part resanz	----||----|--|-⌫--|--|
il demo ra	-|----⌫-|
ences partie sesimist	-|--|------⌫||-|---|
arceuesqueech enoi nessegon tla	---------||--⌫----⌫--|-----⌫|-|
reulasaintysy doyrequif ueuesquese	----|----|---⌫----|--|-⌫|-------||
confessors	---------|
e si laornabiend eliurese d e	|-||----|---|-⌫|-----||-⌫|
edebo nesescheilese	|-|--⌫--|--------||
dautre s or nemenz ilaueient moltor	|-----⌫|--⌫-----|-|------|---|-|
a rgent sisepartid	-⌫----|-|-|----||
s i fitmaintesigli sesquar	-⌫|--|------|----⌫--|---|
ilf itliglise madama	-|-⌫-||-----|-|---|
aama rie daislachapela eunai g lis e	-|--⌫--||--|-|------||--|-⌫-⌫---⌫|
d e m o nse ign orsain tiasqu e	-⌫|-⌫-⌫|--⌫---⌫-|----⌫|-----⌫|
en m eimela uilel	-|-⌫---|-|---||
iglisemonse ignor	-----|--|--⌫----|
saint iaqueabeo rgese	----|----||---⌫---||
una autra a tolos e	--|----||-----⌫|
euna au treen	|--|--⌫--|-|
guascoigneentr aunacite	---------|----⌫|--|---|
sorge ssorle chamin	-----⌫|--|-|-----|
iasque eliglisesaintiasquedepa ri s	-----|||-----|----|-----|-|--⌫--⌫|
quiestentra	--|--|----|
montmartreiglis es etabai esfi tassez	---------|-----⌫-|-|----⌫-|--⌫|----|
autres ensaterra	-----|-|-|----|
q ui nes tmieencestliu re a	-⌫-||--⌫|--|-|---|---⌫-||
ap resce que	--⌫--|-|--|
k ar lmai n es s	-⌫--⌫----⌫-⌫-||
enfr ance si	-|--⌫---|-|
daf fr iqu equiauo it	|--⌫--⌫---⌫|--|---⌫-|
n oma ig uolanz en	-⌫-|-⌫--⌫-----|-|
es pai g nesiamenamolt gr ant	--⌫---⌫-⌫-|-|----|---|--⌫--|
ost esiprist totalaterra	--||-|----|---|-|----|
renditot e	----|---⌫|
e sioc is ttantde	|-|--⌫--⌫|---|-|
crestiens queiln	--------|--|-||
enfun u s nombressi	-|-|-⌫-⌫|------|-|
misttoz les	---|--|--|
cres tiensf orzdesciteze	----⌫----|-⌫--|--|----||
de uschast e usq uek arlmain es	--⌫-|-----⌫-⌫-|-⌫-|-⌫-------⌫-|
auoitlaissezporgarder quantle	----|------|--|-----|----|-|
siassemblasesoz e	-|-------|--|-||
enes paignee sime na	-|--⌫-----||-|--⌫-|
moltgrantgent	---|----|---|
queilnenfunusn onbres	--|-||-|-|--|-⌫-----|
a cesta fezsimena	|----|--|-|---|
au e c luileduc	--⌫-⌫|--|-|--|
quif udux d es	--|-⌫|--|-⌫-|
osmes cone	-|--|-|-|
mie tairecum grant essam ple	--|----|--|----|-----⌫--|
no stra siresdeignadem ostrer	--⌫---|----|-----|---⌫-----|
a c eusquienbalie	|-⌫--|--|-|----|
lesoumonesde	--|------|-|
do nerou poures	--⌫--|-|-----|
retene ntqu arqu ant	------⌫-|--⌫-|--⌫--|
fu arbergiezauiorentor	-|--------|-|--|----|
ba io neunecitedau sb acleszzch iua ler	--⌫--⌫-|--|---|---⌫|-⌫----|-|--⌫---⌫--|
oc enlos t quif umol t	-|-||--⌫|--|-⌫|---⌫|
maladesqui	------|--|
a uotnomromastes	-⌫--|--|-------|
mand a leprouoi re	----⌫|-|------⌫-|
fitconfese	--|-----||
recu teapress i	----⌫||----|-⌫|
depa rti lasoachosei laue it	----⌫--|-|--|----|-⌫|---⌫-|
unsolcheua l quil	-|--|-----⌫|-|-|
baliaaunson	----||-|--|
l i comandaquill o	-⌫|------|-|-|-⌫|
u e ndistetot	-⌫-⌫----||--|
coqueilen a uroit	-|--|-|-|-⌫----|
donastparde e	-----|--|-||
a usclerse a usprouoiresromairesfu	-⌫-|----||-⌫-|--------|-------|-|
n eprezagaires	-⌫|----|-----|
l apar oleda u morte	-⌫|---⌫--|--⌫|---||
lechiual yysol cilfu	-|-----|-|--|--|-|
enueiosecou eitosdiable l	------||---⌫----|-----||
enginiarentquar	----------|---|
deni ersque il	----⌫--|--|-|
oc delchiualsiles	-|--|-----|-|--|
despendienbeurae	-------|-|----||
en mengier e	-|------||
en ic o dont ilauoit	-|--⌫|---|-|----|
mestiereecomolt	------||--|---|
tost me sa celt enssen	---|--⌫||--|-⌫--||-|
uengiadesm olttostdel m al queli	-----|--|-⌫--|---|--|-⌫-|--|-|
uns fazeital	--|-----|||
soff riryyiorseau	----⌫--|-|---||-|
chepdauyyiors	---|--|-|---|
aparutlimorsau	-----|-|---|-|
e s i lidistiet e	|-⌫|-|---|-|-⌫|
auoie com ande ́la	----|---⌫----⌫|-|
meac hose pardoneraus poures	--|-⌫---|--|----|--|-----|
porlasa lu demarmeetu	--|-|--⌫-|-||---||-|
rienfaitsachesque	---|---|-----|--|
nostrasires	-----|----|
pardonezto z	-------|--⌫|
mezpech ez eporcoque tuas	--|----⌫-||--|-|--|-|-|
r etenual aumone a tort iesoi	-⌫-----||-----||---|-|--|
enf er es i	---⌫-||-⌫|
hiai demoré	-|-|------|
