i ci comencelelaydel aunual	-⌫-|------|-|--|-|-⌫-----|
mult est dolenz mult estpensis	---|--|-----|---|--|-----|
seign ors neuus esme rueillez	-----⌫--|-|--|----⌫-------|
home estrangede scunseil lez	---|-------|--⌫--------⌫--|
multe stdol enz enautre te rre	---|-⌫-|---⌫--|-|----|--⌫--|
quan t ilne	----⌫|-|-|
s ietucunsei lque re	-⌫--||------⌫|---⌫-|
licheual er duntieuu s di	-|------⌫-|---|-|--⌫|-|
keta nta ueit lerei	-|--⌫-|-⌫---|-|--|
uni orm u ntasursundestrer	-|-⌫-|-⌫-⌫--|--|--|------|
sis enuetesbanoier	-||-|--|--------|
l a uile est issuz	-⌫|---|--|----|
soruneewecor auntdescent	--|--|--|---⌫---|------|
messischeua us tremble forment	--|--|-----⌫-|------|------|
il ledesce nglesisen uet	-|-|-----⌫---|-||-|--|
le pan desunmauntel	-|--|-|--|------|
desuzsunchiefsis ecucha	----|--|----|-|-⌫|----|
mult estpensifs por s a	---|--|------|--|-⌫|
il ne ueitc ho se ke	-|-|---|-⌫--⌫-|-|
lu iplais e	--⌫|-----⌫|
laouiliuit	-|-|-|---|
en te l manere	-|--⌫|-----|
guarda auantenla	-----|----|-|-|
uen i rdeusdam oiseles	---⌫-⌫|---|---⌫------|
unkesmesnoutueusibeles	----|--||--|--|-|----|
u estuesfurentrichemen t	-⌫-----|-----|--------⌫|
elac eesestreitement	|---⌫--|-----------|
multparaueientbeauslesuis	---|--|------|----|--|--|
ende usbliauz	-|--⌫-|-----|
d e pur pre	-⌫|---⌫--|
leinzneeportoutun sba cin s	|------|------|--⌫|--⌫---⌫|
dor esmerrébenfaizefins	|-|-------|--|---||---|
leueir uusendirraisaunfai lle	-|---|--|-|-----|---|---⌫--|
lautre portout	|----|------|
u net uai l l e	-⌫-|-⌫---⌫-⌫-⌫|
elessu ntaleestut dreit	---|--⌫-|----|--|----|
launu al ki	-----⌫-|-|
benfuenseigne z	--|-|--------⌫|
cun treeles sel eua	---⌫--|---|-|-⌫--|
celesl unt	----||--|
primessa lué	-----|--⌫---|
lour messageli unt	---|------|-|--|
sire lau nualmada mo isele	---|---⌫---|-|--⌫--⌫----|
keta u ntpa re s tcur teisee	-|--⌫-⌫-|--⌫|-⌫-⌫|---⌫----||
nosadenueieespuruus	--|-|-------|--|--|
ue nezensem bl eodnus	--⌫--|-----⌫--⌫|-|--|
sa uuementuus icundui eruns	--⌫------|--||------⌫----|
ueezoues tsispauilluns	---|-|--⌫|--|--------|
lich euale r s odeles uait	-|--⌫-----⌫-⌫|-|---|---|
d esun cheualne tintnulplait	-⌫|--|-----|-|---|--|----|
kedeuantlui pessoit es	-|-----|--|------|-|
de sikal tr efl untamen ez	--⌫--|-|--⌫-||--|----⌫-|
kimultestbeaus ebena s is	-|---|--|----||--|-⌫-⌫-|
la rey nesemiramis	-|---⌫-|--------|
quanteleout un k espl usau eir	----|--|--|--⌫-⌫-|--⌫-|--⌫--|
plus depuissaunc ee plus	---|-|---------⌫||---|
nel e mperereoctauie n	-||-⌫------|-------⌫|
nesligassen tledestrepaen	|----------⌫|-|-----|---|
uneg ledoroutdesus mis	-|--⌫-||-|--|----|--|
de c enesa i	-|-⌫|-|--⌫|
d ir elepr is	-⌫--⌫|-|--⌫-|
n e des cordesned es	-⌫|--|-----|-|-⌫-|
kedeltref t enent les	-|--|---|-⌫----|--|
suz ciel nadrei kis	--|---||-|--|-||
purnul auoirk ilendona st	--|--|----||-|-|----⌫-|
dedenzle tre ffu	-----|-|---⌫|-|
fl ur delisne	--⌫-|-|--|-|
rose nouele	---|-----|
quanteleaper tentensd este	----|--|----⌫|-|---||---|
tres passoutele	----⌫------|--|
ele iuitsur	--|---|--|
unlitmultbel	-|--|---|--|
lidrapualeie nt	-|---|------⌫-|
unchas tel	-|----⌫--|
e n sachem ise senglement	-⌫|-|----⌫--|---------|
multoutlecorsben	---|--|-|---|--|
unchermantel de	-|---|-----|-|
blancheermine	------|-----|
couertdepurpre alisau ndri n e	-----|-|-----|------⌫----⌫-⌫|
out purlechaut surluiieté	--|--|-|----|--|--|----|
tutoutd escoue rtlecost e	--|--|-⌫------⌫-|-|----⌫|
le uislecoletla	-|--|-|--|-|-|
p l us ert blanc he k e f lurdespine	-⌫-⌫-|--|-----⌫-|-⌫|-⌫--||-----|
li cheual e r s auant ala	-|------⌫-⌫-⌫|----|--|
elam eschine	|-|-⌫------|
i l estdeuant lelitas is	-⌫|--|-----|-|--|--⌫-|
la unual fait ele beau s amis	--⌫----|---|--|----⌫|---|
puru us issi	--|-⌫-|---|
io dema terre	-|-|-|----|
d elo inzuussui u e nuqu ere	-⌫|--⌫--|--|--|-⌫-⌫-|--⌫--|
est espr uz e curteis	---⌫-|--⌫-||------|
empererenequensne reis	-------|-|----|-|---|
ioiene b e n	---|-|-⌫-⌫|
eimsurtuteren	--|--|---|--|
illaesguarda	-|-|-------|
sila uitb ele	-|-|--|-⌫--|
amorlepoindesaestencele	---|-|---|-|-|--------|
kesunqueralu me e esprent	-|--|---|---⌫-||------|
illuirespunta uenauntment	-|--|------|-⌫----------|
bel efait ils iluusplese it	---⌫|---|-||-|--|-----⌫-|
kecele ioiemeaueneit	-|---|---|-|------|
ke uus medei gnissez a mer	-|--|-|---⌫------|-⌫--|
ianesaueriezcomaunde r	-|-|-------|--------⌫|
ke ione face amun p oier	-|-|-|---||--|-⌫---|
turt af olieou	---||-⌫---|-|
puruusguerpiray	--|--|--------|
tutes gen z	----|---⌫|
ef rayuoscu mandeme n z	|-⌫--|--|--⌫-------⌫-⌫|
iames ne q uerde uu spartir	----|-|-⌫--|-|--⌫|-----|
cee st l arenkeieplusdesir	-|-⌫-|-⌫|--|-|-|---|----|
quantla pucele oi parler	----|-|-----|-|-----|
cel uikitantl a poutamer	---⌫-|-|---|-⌫|---|---|
samor esun co rslui	|---||--|--⌫-|--|
ore est launu alendr eiteuei e	--|--|-----⌫-|-|--⌫---|---⌫|
un dunluiad	-|--|--|-|
donéenpres	----|-----|
re n ne uod rames	--⌫|-|---⌫-|--|
k ilneit tut asun talent	|-||--|--||--|-----|
de pen del a rgement	--⌫---⌫-|-⌫-⌫------|
eeleluitrouera	|--|--|------|
launu a lben a senez	-----⌫-⌫|--|-⌫----|
cumeplusdespendralargement	---|---|--------|--------|
eplus aueraor e argent	|---|----|-||-----|
ami sfaite leo r euus ch asti	---⌫|---|-⌫-|-⌫-⌫|--|--⌫---|
siuuscom and	-|--|---⌫--|
es iuu spr i	|-⌫|--⌫|--⌫|
neuusdescouerez a n u lhome	-|--|---------||-⌫-⌫|---|
dirrai benlasumme	-----|--|-|----|
katuz iurzm e smeauerezperdue	||--|---|-⌫-⌫|-|-----|-----|
sicest amuresteitseue	-|---|---|-----|---|
mepurriezu eeir	-|------|-⌫---|
ne demunc orsseisineaueir	-|-|--|-⌫--|------|----|
illuirespuntkebentendr a	-|--|------|-|--|-----⌫|
luic omau ndera	--|-⌫----⌫----|
delez luises t el	----|--||--⌫|-|
ore estlaunualbe nherbe r gez	--|--|------|--⌫|-----⌫-⌫--|
ensemble odluila releuee	-------|-|--|-|------|
d emoraiuskelauespree	-⌫----|----|-|------|
epl u s silpout feist	|--⌫-⌫||-|---|----|
et saamielecunsentist	-|-|---|-|---------|
amisfaitele le uezsus	---|---|--|--⌫--|--|
nipoez pas demorer plus	-|---|--|------|---|
alezuusent e ioremeindrai	---|--|--||-|---------|
m esunechose uus dirrai	-⌫-|--|----|--|-----|
quantuusuodrezameiparler	----|--|-----||--|-----|
iane sauerez ce lliu p enser	-|-|------|--⌫|--|-⌫----|
ouhomepuis s eauersamie	-|---|----⌫-⌫|---||---|
s anzreproche es anzuileinie	-⌫--|-------||-⌫--|-------|
ke ioneuu sseieenpresent	-|-|-|--⌫|---|-|------|
afeiret ut uos tretalen t	|----|-⌫-|---⌫--|-----⌫|
nul home fors uusn e	--|---|---|--|-⌫|
m e uerr a	-⌫|----⌫|
ne mapar ole	-|-|---⌫--|
quantceoimul ten	----|-|-|---⌫|-|
ill abaisepuissest d re sce z	-|-⌫|----|---||--|-⌫--⌫---⌫|
am ener en t	--⌫----⌫--⌫|
derichesd rasle cun reierent	-|-----|-⌫--|-|---⌫-------|
quantilf uue stu	----|-|-⌫|--⌫--|
suz cie l nout plus g ent d a uncel	--|---⌫||--|---|-⌫--|-⌫-⌫----|
nefu mie fousne u ilens	-|-|--|---|-|-⌫----|
luid onenta ses m eins	--|-⌫----||--|-⌫---|
ela tuaille	|-|------|
por assuie r	--|------⌫|
puislia portentamanger	---|-|-⌫------||-----|
oues amie p r istles up er	--||---|-⌫-⌫--|-|-⌫--⌫-|
ne fese itmie arefuser	-|----⌫-|--||------|
curteisement	-----------|
e cila gran tio ieleprent	|--||----⌫|--⌫-|-|----|
unentremesio ut	-|-------||-⌫-|
pleseitalche uale r	------|-|---⌫----⌫|
kes a mie besout	-||-⌫--|-----|
eacoloutestreitement	|------|-----------|
quan tdel mangerfurentleué	----⌫|--|-----|-----|----|
soncheu allui	--|----⌫-|--|
untam ené	--|--⌫---|
benliurentla seele	--|-|----|-|----|
multouttrouéricheseruise	---|--|-----|----|------|
ilprentcu nge	-|----|--⌫--|
si estmuntez	-|--|-----|
cite s enest al ez	---||-|--|--⌫-|
souentre garde arer e sei	-----|--⌫----|----⌫|--|
mult estlaunualengrant esfrei	---|--|------|-|----|-----|
desa uenture uait pensaunt	-|-|------|---|-------|
ensun coragemult	-|--|-----|---|
l a q uidemiea ueir e	-⌫|-⌫---|--||----⌫|
asu n hosteluenuz	|--⌫|-----|----|
ses homestrou ebenuestuz	--|----|----⌫|--|-----|
ce le nuitbon osteltint	--⌫-|---|--|----|---|
soutd u nt cel i uint	---|-⌫-⌫-|-|-⌫|---|
il n outelchastel cheualer	-||--|-|------|-------|
ki desuioreustmester	-|-|----|---|-----|
nefacea liue nir	-|---||-|--⌫--|
ebe nerichementseruir	|--⌫||--------|-----|
launual donout lesriches duns	------|-----|--|-----|---|
launualr ecuilliles	------|-⌫------|--|
la unualuesti lesiugle urs	--⌫----|----|--|-----⌫--|
launualfeseitlesgranz honur s	------|-----|--|----|-----⌫|
nioutes trangene priue	||--|--⌫-----|-|----|
a kilaunualneit doné	|-|------||--|----|
multout launualioie	---|--|------|---|
ouseitde ior ouseitde n u it	-|---|-|--|-|---|-|-⌫-⌫-|
sa a mi ep o etuersoue nt	-|-⌫--⌫|-⌫-⌫-|--|----⌫-|
tutesta s uncomandement	--|--||-⌫-|----------|
est auiske meimes	--|---|-|-----|
apreslafes teseintiohan	----|-|---⌫-|----|----|
desika t rentecheu aler	----||-⌫----|----⌫---|
se rentalez	|-⌫---|---|
enun uergerd esuzl a t hur	-|-|-----|-⌫---|-⌫|-⌫--|
oul are gineer ta suior	-|-⌫|--⌫---|--⌫||----|
e nsembleod eusest eitgauayns	-⌫------|-|--|---⌫--|------|
e siscosi ns	|--|----⌫-|
cedistgauayn sl ibea usli prouz	-|---|------⌫|-⌫|---⌫-|-|----|
k i tantsefi stamerde tuz	-⌫|---|-|--⌫-|---|-|--|
pardeu sei gnurs nus fesum mal	--|--|---⌫----|--|----|--|
endreit n ostrecumpaignunla unual	------|-⌫----|---------|--⌫----|
kitant est	-|---|--|
esisperese striches reis	|--|----|-⌫-|-----|---|
kenus nel auumamené	-|--|-||---|-----|
a tant senest ar ereturné	-⌫---||-|--|--⌫--|-----|
asunostelreu intarer e	|--|----|---⌫--|----⌫|
launualenmeine parpriere	------|-|----|--|-----|
au ne fenestreentaillee	|-⌫-|-------|--------|
sesteitl a regineapuiee	|-----|-⌫|-----|-----|
tre isdamesout ensembl e	---⌫-|----|--|-------⌫|
l amesneelereich oisi	-⌫|-----|-|--|--⌫---|
launual co nuiteesguard a	------|--⌫---||-------⌫|
une des damesapella	--|--|----|-----|
man desesdamoiseles	---⌫-|--|---------|
lespluscoin te seles pl us beles	--|---|----⌫--⌫||--|--⌫-|----|
odluisen uuntesbanier	-|--||-|---|-------|
laoucilsunteluergier	-|-|--|---|-|------|
trenteenmeine odseieplus	-----|-|----|-|--||---|
parles deg rez	--|--|---⌫--|
deualentius	-------|--|
l icheualer encuntra ntleuunt	-⌫|-------|--------⌫-|-|---|
k ipo relesgrantioiefunt	-⌫|--⌫|---|----|---|---|
iles untprises	|--|--|-----|
parlesm ains	--|--|-⌫---|
cilparlemen t	--|--------⌫|
nertp as uileins	|--|-⌫-|------|
lau nual sen uaitune	---⌫---||-|---|--|
loinzde sautresmultliestart	----|--⌫|-----|---|-|-|---|
amiepuissetenir	---|-----|----|
bai se rac oler	---⌫--⌫|--⌫---|
autreioiepri sepetit	----|---|---⌫-|----|
naloutasundelit	|----||--|----|
reines oul leueit	----|-⌫--|-|---|
alcheu alerse n uett ut	-|----⌫---||-⌫|--|-⌫-|
lezluisa sistsi l ape la	--|--||-⌫---|-||---⌫-|
tut suncorage	--|--|-----|
launualmult uus aihonuré	------|---|--|-|------|
multcheriemultamé	---|----||---|---|
totemamorpoez aueir	---||---|---|----|
karmendi tesuostre	--||-|--⌫--|-----|
madruer ie u us ot roy	-|-----⌫-|-⌫-|--⌫--|
multp oez estr e le zde moy	---|-⌫--|----⌫|--⌫|-|--|
damef aitille ssezester	---|-⌫--|-|--⌫---|----|
ai curede uus am er	-|---|-|--|--⌫-|
lung ement ai ser ui lerei	----⌫----|-|---⌫-|-|--|
ne l iuoil memtirm a	-|-⌫|---|-----|-⌫|
ia pu ruu s ne pur	-|--⌫|--⌫|-|--|
uos treamor	---⌫--|---|
ne mesfraia	-|------||
mun seign ur	--|-----⌫-|
irr eefusimesparla	---⌫-|-|-|-------|
lau nualf etele ben	---⌫---|-⌫-|--|--|
uusnamez guere st eldedu it	--||---|-----⌫|-⌫-|----⌫-|
asezle madh om dit	---|-||-|-⌫-|--|
kede femmenauez talent	-|-|----||---|-----|
uallezamezben afait ez	-----|---|--|-----⌫-|
odeussoue ntuus deduiez	-|--|----⌫-|--|------|
uileinscuard malueisfailliz	------|----|------|------|
mult estmi s ires	---|--|-|-⌫---|
m aubailli z	-⌫--------⌫|
deluy uusad	-|--|--|-|
m enescientkideusenpert	-⌫-|------|-|---|-|---|
oimultestdole nt	-|---|--|----⌫-|
de respun drenefupas le n t	-|------⌫--|-|-|--|--⌫-⌫|
telchos e d istparmaltalent	--|----⌫|-⌫--|--|--------|
du ntilserepentisouent	--⌫-|-|-|------|-----|
dam ece distde	---⌫|-|---|-|
telmeste r	--|-----⌫|
nemesoiunkesaider	-|-|--|----|----|
mais ioa imee suiamis	---|-|-⌫--||--|---|
a celekedeitauerle pris	|---|-|---|---|-|---|
sortotesceles keio	--|----|----|-|-|
un e chose	--⌫|----|
uu sendirray	--⌫|-|-----|
be nlesach ez adescouer t	--⌫|-|----⌫-||--------⌫|
celeske la se rt	----|-|-|--⌫-|
tu te la plus po ur e	--⌫-|-|---|--⌫--⌫|
uautmeuzdeuus	---|---|-|--|
de cors deuis	-|---|-|--|
denseignemen t	|-----------⌫|
ensachambres	-|-|------||
enuait riant	-|---|----|
mult fudol ente etroble e	---|-|---⌫---||------⌫|
d ece kelao ut	-⌫|-|-|-|-⌫-|
ensunli tma ladecucha	-|--|--⌫|--⌫---|----|
iamesceditnenleue ra	----|-|--||-|----⌫-|
silireisnelen	-|-|---|-||-|
feseit d reit	-----|-⌫---|
untele sepl eindreit	--|--|-|--⌫-------|
l ir ei sfu deboisrepeirez	-⌫|-⌫--⌫|-|-|---|-------|
estél eior	----|-⌫|--|
chambre senentra	------||-|----|
quant elele	----|--|-|
u itsi secl am a	-⌫-|-|-|--⌫--⌫|
as pi ezlic h etmercicrie	-|--⌫-|-|-⌫-⌫-|----|---|
e d i t ke launuallouthu n ie	|-⌫-⌫|-|------||--|--⌫-⌫-|
dedruerielarequist	-|------|-|------|
e pur c e kele l escund it	|--|-⌫||--||------⌫-|
laidieauila	----||----|
amieseuau nt a	---|-|---⌫--⌫|
ketanter t cointeno bleefere	-|---|--⌫|-----|--⌫--||---|
ualei t la chamberere	-----⌫|-|---------|
la plu spou re	-|---⌫|---⌫-|
kela s erueit	-|-|-⌫-----|
ke larein enefese it	-|-|----⌫|-|----⌫-|
encoruca forment	-|-----|------|
iurez ena dsunserremen t	----|-|-⌫|--|--------⌫|
k illefr aardoirou	|-|-|--⌫|-----|-|
sensa curt nesepue tdefend re	|-|-|---|-|-|---⌫|------⌫-|
horsdelachambre issilire i s	---|-|-|------|---|-|--⌫-⌫|
deses baron sapel a t reis	-|--|-----⌫|----⌫|-⌫---|
enueitpurlaunual	-----|--|------|
kiase z addolur	-|---⌫|-|----|
asunostelens untuenuz	|--|----|-|-⌫--|----|
il seste itben apar cuz	-||----⌫-|--|----⌫--|
k il aue itperdu	|-|---⌫-|----|
d escouerte outl adru erie	-⌫--------|--|-⌫|---⌫---|
en unechambrefutotsols	-|--|------|-|--|---|
do lent e steit	--⌫---|-⌫----|
eanguissos	|--------|
samieapelamultsoue nt	|---|----|---|----⌫-|
maisilneluiua lutnent	---|-|-|--|--⌫--|---|
i lse pl eigneite so spirout	-⌫|-|--⌫------||--⌫------|
parhe essouentsepasm ot	--|--⌫-|-----|-|----⌫-|
puisluicr iecentfeizme rci	---|--|--⌫-|---|---|--⌫--|
k eleparl asta sunami	|--|----⌫--||--|--|
sunquer es abochemaudit	--|---||-⌫|----|-----|
cee stmerueillekeiluit	-|-⌫-|--------|-|-|--|
ilneset tantcriernebraire	-|-|--|---|----|-|-----|
n etant debatrene detrair e	-⌫|---|------|-|-------⌫|
keleenuoille me rc iauer	|--|-|-----|--⌫--⌫|---|
soltantkilla p uisseueer	--|---||-|-|-⌫----|---|
allascomentsecuntendra	----|-----|-|--------|
cilkilire isi	--|-|-|--⌫-||
quantlunttroué	----||--|-----|
si li untdit	-|-|--|--|
kalacurtalastsanzrespit	||-|---|----|---|-----|
lireis lauoitpar	-|---||----|--|
eusmaun dé	--|----⌫--|
lareine ladencusé	-|----||-|------|
launualiuait od mult	------||---|-|---|
grant doel	----|---|
ili serreito cc issunuoil	-||------|-⌫--⌫-|--|---|
dolurmostrasemblant	----|-----|-------|
li reis lui	-|---|--|
dist p armaltalant	---|-⌫-|--------|
uassal uusmauezmu ltmesfait	-----|--||---|--⌫-|------|
multcomencaste suilei nplait	---|----------⌫|-----⌫|----|
honi re auiler	----⌫||-----|
e la reine l e denger	|-|----|-⌫-⌫-----|
uaunté uus estes def olie	------|--|----|-|-⌫---|
tropparest noble	---|--|--|----|
uostr eamie	-----⌫|---|
quantplus estbele sa	----|---|--|---|-|
eplus auenauntekelareine	|---|--------|-|-|----|
launualdefentl a de shonu r	------|-----|-⌫|--⌫-----⌫|
e lahunte sun seignur	|-|----|--|------|
d emo te nmot	-⌫|--⌫|-⌫|--|
sicumildist	-|--|-|---|
kela rei ne ne re qui st	-|-|---⌫-|-|--⌫---⌫-|
ilo ut par lé	-|-⌫-|---⌫--|
reconuitil la	-------|-|-|
dunt il seuaun ta	---|-|-|----⌫-|
do lenzenest ke perduel a	--⌫---|-|--|-|-----|||
decelu r distki lenfera	-|-|--⌫|---||-⌫|-|---|
quantkelac urt	----|-|-|-⌫--|
lireisf umu lt	-|---|-⌫|--⌫-|
uersl uiir rez	---|-⌫-|--⌫--|
tuz se s barons ad	--|--⌫|-----|-|
p ur diredreitk ildeiue faire	-⌫-|---|----||-|----|----|
kehomn eli pu iss ea mal retraire	-|--|-⌫|-|--⌫---⌫||--|-------|
sunco mandement fait	--|--⌫--------|---|
oulurseitbe l ou lur	-|--|---|--⌫|-|--|
sei tla it	---⌫|--⌫-|
comunement i	---------||
su nt alé	--⌫-|---|
siunt iugé e esguar dé	-|--|----||------⌫--|
kelaunualdei tauerunior	-|------|---⌫|---|-|--|
mesple ges	--|---⌫--|
troisseasunseigno r	------||--|------⌫|
kil atendras uniugem ent	|-|------|-⌫-|-----⌫--|
er em ei n draa	|-⌫--⌫--⌫-⌫--||
sunprese nt	--|-----⌫-|
siserralacurt	-|----|-|---|
kar du nc n	--|--⌫-||
forssame sne e	---|-|--⌫---⌫|
al reireuenentli	-|--|-------|-|
cunten tla re su n	------⌫|-|--⌫--⌫|
li reis ad plegesdemaundé	-|---|-|-----|--------|
l aunu a l fusolse	-⌫----⌫-⌫|-|---||
ni aueitparentneami	||----|-----|-|--|
gau uayniuaitkil	---⌫---||---||-|
la dpleu i	|-⌫|----⌫|
etutsi compaignunapres	|--|-|---------|----|
li r eislordis te	-|-⌫--|--|---⌫||
surquant k euust enezd emey	--|----|-⌫|--|-⌫---|-⌫|--|
terresefiez ch escunpar	-----||---|--⌫----|--|
quant pleui fuduncn i	----|----|-|---|||
a lezse nestasu n	-⌫--||-⌫|--||--⌫|
l i cheualerlunt conueié	-⌫|-------||--|-------|
mul tliuntdist echastié	---⌫|-|--|---||-------|
nefacesigran t dolur	-|---|-|----⌫|----|
emau di ent si folamur	|---⌫--⌫--|-|--|---|
chescunior l	------|--||
aloientuo ir	------|--⌫-|
porcekil u ole ientsauoir	--|-||-|-⌫---⌫---|-----|
silb eustous	|-|-⌫---|-||
mult dout ent	---|----⌫--|
au iorkeci lu rent nomé	-|--|-|--⌫|-⌫---|----|
licheualersunt	-|-------|---|
lireise la reine i fu	-|---||-|----||-|
e liplegeuntlaunualrendu	|-|----|--|------|----|
multfur e nt	---|---⌫-⌫-|
tuitporluidolent	---|--|--|-----|
i e quit k i lieno uttels	-⌫|---||-⌫||-|-⌫-|---|
ki feissen t t utlor poier	-|-------⌫|-⌫-|--|----|
purl uisanz pl a i deliuerer	--|-⌫-|---|--⌫-⌫|--------|
i ler tr ectezamultgranttor t	-⌫|--⌫|-⌫----||---|----|---⌫|
lirei sdemandel erecord	-|---⌫|------|-⌫|-----|
cle im elere spons	---⌫-||-|--⌫----|
oreesttrest ut	--|--|-----⌫-|
surles barons	--|--|-----|
ilsunt aliugementalez	-|---|-|-------|---|
mul t suntpensifse esgarez	---⌫|---|------||------|
delfr anchomed au tre pais	--|--⌫--|---||--⌫--|---|
entree ussi entrepri s	----|-⌫-|-|--------⌫|
e ncumbrerle uo lent liplusur	-⌫-------|-|--⌫---|-|-----|
porlauoluntelur	--|-|------|--|
ce dist liduxdecornewaille	-|---|-|--|-|----------|
iae nd reitnus	-|-⌫--⌫---|--|
auera faille	----|-----|
kikenp loeitneki	-||-|-⌫----|-|-|
k en c hau nt	|-|-⌫---⌫-|
le drei testo et alera u ant	-|----⌫|----⌫-|---|-⌫-⌫--|
lire i sparlauer	-|--⌫-⌫|----|--|
sunuas sal	--|---⌫--|
keiouus oi nomerla unual	-|-|--|-|----|--⌫----|
defelunielerect a	-|------|-|----⌫|
e demes dit lacheisuna	|-|---⌫--||--------|
dune amorduntilseuanta	|--|---|---|-|-|----|
emadamesencuroca	|-|---||-|-----|
nulnelap ele for sl erei	--|-||--⌫--|---⌫|-⌫|--|
parcelefeiki uu s	--|---|--|-|--⌫|
kiben uousi t	-|--|-----⌫|
direleueir	---|-|---|
ia nid ustrespons	-|||-⌫--|------|
si porce non k	-|--|-|--||
asunseigno r	|--|------⌫|
de itho m partutporter honu r	--⌫-|--⌫|--|--|-----|----⌫|
unser rement en gagera	-|---⌫-----|-|-----|
elire isle nuspardor a	|-|--⌫-|-|--|------⌫|
esi lpuetauersungarant	||-⌫|---|---|--|-----|
esamie u enistauant	||---|-⌫----|----|
fustueirkil dist	---|---||-|---|
d un tlareinesem a rrist	-⌫--⌫|-|----|-|-⌫-⌫----|
dece auerail benmerci	-|-|----|-|--|----|
quantporu ilte nelditdelui	----|--|-⌫---|-||--|-|--|
puetgar aunta ueir	---|---⌫---|-⌫---|
celi d eithomfairesa u eir	-|-|-⌫--|--|----|--⌫-⌫--|
tutsunseruise pertde l	--|--|------|---|--⌫|
esil edei t cungeerde sei	|-|-⌫|---⌫|------|-|--|
al c heual erunt	-|-⌫-----⌫-|--|
siliun t ditenu ncié	-|-|--⌫|--||--⌫----|
samieuenir	|---|----|
purluitensere g ar antir	--|--|-----||-⌫--⌫----|
illurres pon t	-|--|---⌫---⌫|
kilnepoeit	|-|-|----|
ne parluisocu rs	-|--|--|----⌫-|
ilsen reuen entasiugeurs	-||-|-----⌫--|-|------|
kiln i attendentn ul soc u rs	|-|||--------|-⌫-|---⌫-⌫-|
lorhastoutdu rem ent	--|------|--⌫---⌫--|
p urlareine	-⌫-|-|----|
kelesaten t	-|--|----⌫|
c omeildeueientdepartir	-⌫--|-|-------|-------|
deuspuceles	---|------|
ui rentuenir	--⌫---|----|
surdeuspalefroisaumb l aunz	--|---|--------|----⌫-⌫---|
multpares teientauenaunz	---|--|--⌫-----|-------|
depo rpre ece ndaus	-|--⌫---||--⌫----|
suntuestues	---|------|
tut seng lementalur char n ues	--|----⌫-----||--|---|-⌫--|
cillesesgard entuo lenters	--|--|------⌫--|--⌫------|
gaugai nodlui treisc heu al ers	------⌫|-|--|----|-⌫---⌫--⌫--|
launualsiluiconta	------|-|--|----|
lesdeuspucelesluimos tr a	--|---|------|--|---⌫--⌫|
multfuhei tezformentluipri	---|-|---⌫--|------|--|--|
killuideistsic ees t	|-|--|----|-|-⌫|--⌫|
saikilsunt	--||-|---|
neduntuenentneueles u u nt	-|---|-----|-||---|-⌫-⌫-|
celes suntaleesauaun t	----|---|----|-----⌫|
tuta che ua lpar te l	--||---⌫--⌫|--|--⌫|
de sc endirent deuant ledeis	--⌫--⌫-------|-----|-|---|
la ous eeitarthur	-|-|-⌫---|-----|
elesfurentdegrantbe aute	---|-----|-|----|--⌫---|
cur tei se ment parlé	---⌫---⌫--⌫---|-----|
reis feit eschambresdeliuerer	---|----⌫-|-------|--------|
paillesencurtiner	------|---------|
ouma dame puisse desce ndre	-|-|---|-----|-----⌫---|
