formCicom mence li seconzliures.	---|-|---⌫----|-|-----|-----||
reuerenceàlafemea ̀celuiqui	--------|-|-|---|-⌫|----|--|
lafr anch iautresiestildeueep ar	|---⌫----⌫|------|--|-|----|-⌫-|
l otroialp reuostqueiln e la	|----|-|-⌫-----|--|-|-⌫|-|
f acesemondre .	-⌫--|-------||
Li empereres	-|--------|
Gordiansdit.	-------|--||
Ilestcer taine	-|--|---⌫----|
chosequecilquisontfranchi nedoi uent pas	----|--|--|--|---|------|-|---⌫---|--|
feresemo ndreleu r patronneleur patronneneleur	---|----⌫---|---⌫|-----|-|---|-------|-|---|
f ilz neleur p eres neleur oirsseilsont	-⌫--|-|---|-⌫---|-|---|---|-|-|---|
estran geseilnerequierentauant par don	------⌫-|-|-|-|---------|----|---⌫--|
d elbaniss emen tquisus ce a estéfez	-⌫-|------⌫----⌫|--|--|-||----|--|
neences te chosene soien t	-|-|---⌫-|----|-|-----⌫|
pointesparniélicout iueeur des	----|--------|-|----⌫-----|--|
chansqu erl en doitporterm o ltgrant enneur	----|--⌫-||-|---|-----|-⌫-⌫-|----|-----|
àcespersonesparresonetparnature .	-|--|-------|--|----|-|--|-----||
Et porce doncquetureco nnoisq uetu	-|--|-|---|--|-|----⌫----|-⌫-|-|
feissanz lotroi au preuos tsemondrele	---|---||----|-|------⌫|-------|-|
f ilàtonpat ron turequier z fol ementetenuein	-⌫-|-|--|---⌫--|-|-------⌫|---⌫----|-|-|---|
que la painequ i e stes tablieelpa rdurablebanisse ment	--|-|----|--⌫|-⌫-|--⌫-----|-|--⌫-------|-------⌫---|
tesoitpardonnee .	-|---|--------||
Lie mpereeurDioclicians et Maximian sdie n t.	-|-⌫-------|----------|-|--------⌫|---⌫-⌫||
Cilquiso ntel	--|--|--⌫-|-|
perenepueent	---|-|-----|
pasplediercon tre lo rp ere.	--|------|---⌫--|--⌫|-⌫--||
Setue s donchors	-|-|-⌫|---|---|
d el baililnet est pa s defenduque	-⌫-|---|-|-||--|--⌫|------|--|
tuni puis se sple dierqu an t	-|||----⌫--⌫|---⌫---|--⌫--⌫|
tuauras re quis pardondelbanissemen t qui estestabli	-|----|--⌫---|-----|--|----------⌫|--|--|------|
Etcemeismesdoitestregardéenlapersonede	-|-|------|---|----|-----|-|-|------|-|
lam e re .	-|-⌫-⌫-||
Cisttytre sest decoue nanz .	---|-----⌫|--|-|----⌫---||
Liemperer esSeuerins dit .	-|-------⌫-|-------|--||
quines t pas certaineentre frere ses t	--||--⌫|--|-------|----|-----⌫|--⌫|
parboenesresonste rmineeparcouenant.	--|-----|-----|--⌫-----|--|-------||
Por cedon cquetureconoisque	--|-|---⌫|--|-|-------|--|
il furequ is	-|-|----⌫-|
pere queil	---|--|-|
r e ndistàFrontinsoneritage seilmoru stsanzenfanz	-⌫-⌫----|-|------|--|------|-|-|----⌫-|---|-----|
lico uen a nzquifufezen cel tens que	-|--⌫---⌫-⌫-|--|-|--|-|--|---|--|
nus e nfanzn	--|-⌫----||
est pas t respassezporce que	--|--|-⌫--------|----|--|
ildeparti sonheritagesi co m mei lliploutap rés	-|------|--|-------|-|--⌫-⌫-|-⌫|-|----|--⌫---|
cequetu fus nezet telessa	-|--|-|--|--|-|-|----|
ensonle uq uantilmorut	-|--|--⌫|-⌫---|-|----|
LiempereeurSe uerins	-|--------|--⌫-----|
et Antoinesdient.	-|-------|----||
Se tupue zpr ouerqueapre ́sce	-|-|---⌫|--⌫---|--|----⌫-|-|
que tu eusuend utonheritage	--|-|--|----⌫|--|-------|
c ilàquitu	-⌫-|-|--|-|
deuoiesmur entle uractionscontre	------|---⌫--|--⌫-|------|-----|
cels qui la uoienta chatéetcil	---|--||-⌫-----|-⌫-----|-|--|
l esreçuren t d e leurboene	-⌫-|--------⌫|-⌫|---|----|
uolentétutepuez	-------|-|-|---|
defen dr epro fitablem entpar e xcepti o nde	-----⌫--⌫|---⌫--------⌫--|--|-⌫------⌫-⌫|-|
cou enantcelé.	---⌫----|----||
Cilmeismes emp ereeurdient .	--|------|---⌫-----|----||
Lisersaucreanci erpuet	-|---|-|-------⌫-|---|
bie namenderla	---⌫|------|-|
cau sesonseigneur	---⌫-|--|-------|
mes il ne puetpas	--|-|-|---|--|
parnou elcouena ntmüer enpis	--|---⌫-|------⌫-|----|-|--|
lobligementquiest àdroitfez.	|---------|--|--|-|----|--||
Ci l meis meemperee urd ient.	--⌫|----⌫-|-------⌫-|-⌫---||
t u asquit éle pletqui estoitmeuz porta	-⌫|-|----⌫-|-|---|--|-----|---|--|-|
possessionnuleresonnotroie	---------|---|----||-----|
que tu puissesrecommenc ierlacause qui	--|-|------|---------⌫--|-|----|--|
estfi nee.	--|--⌫--||
LiempereresAntoines dit.	-|--------|-------|--||
Se tuaspaiéàt onc reancierune parti e	-|-|-|----|-|-⌫-|-⌫-------|--|-----⌫|
de ceque tuli	-|-|--|-|-|
deuoiesetil ac ou en ant	------|-|-||-⌫--⌫--⌫--|
entretoie tlui que	----|--|-⌫|--|--|
ilnete demanderapaslautre	-|-|-|--------|--||----|
par tiep orsescauses et	---⌫--|-⌫-|--|-----|-|
por sesbesoingnes qui	--|--|---------|--|
o nt est e ́	-⌫-|---⌫-⌫|
de fenduespor t on	--⌫------|--|-⌫-|
defendementetparta foitu esdeliurezpar	----------|-|--|-|--|-|-|-------|--|
cel obligementqu erlapardurableexceptiondecouenent li	--|---------|--⌫-|-|---------|--------|-|-------|-|
tou tque il nepuet demander le	---⌫|--|-|-|---|-------|-|
remanantquer neïs se tul eussespai éparignor ance	-------|---|----|-|-||-----|---⌫-|--|-----⌫---|
tu lep eusse sarrieresdemander	-|-|-⌫-----⌫|-------|-------|
Cilme ismeempereeu r dient .	--|--⌫---|--------⌫|----||
dotequel i	---|--|-⌫|
cou enantqu i sontfet cont relesl oi s	---⌫----|--⌫|---|--|----⌫-|--|-⌫--⌫|
etcontre le s	-|-----|--⌫|
establissem enzetcontreles b oenes costumesnaientnule	-----------⌫--|-|-----|--|-⌫----|-------||----|---|
Cil meisme empere eur	--|-----|------⌫--|
Setuasest é oir sàton	-|-|-|---⌫-|---⌫|-|--|
deteur la c t ionquetu auo ieescon tre luifailli des	-----||-⌫-⌫-⌫--|--|-|---⌫---|---⌫--|--|-----|--|
ce quet ueusso n eritage.	-|--|-⌫|--|--⌫|------||
Mespu isque tueu sgaaigniéleri tagepar	--|--⌫-|--|-|--⌫|--------||---⌫---|--|
iugementsetu	-------|-|-|
le ballasà celuidequitu	-|-----|-|----|-|--|-|
lauoieesconquisp a r t elcon dicionetpartelcouen an t	|------|------|-⌫-⌫|-⌫-|---⌫-----|-|--|--|-----⌫--⌫|
queilf eistsatisfacionasaut rescreanciersetàtoi	--|-|-⌫---|----------|-|---⌫--|---------|-|-|--|
de tantcom il	-|---|--|-|
eust l eritage la foi	---||------|-|--|
d elaconuena ncedoitestregar dee .	-⌫|-|-------⌫--|---|----|---⌫--||
Etseelen estga rde e tu auras	-|-|--||--|--⌫---⌫|-|----|
auctioncontrelui .	------|-----|--||
Cilmeismeempe reeur	--|-----|----⌫----|
Seil estpro uéqu eApollinair espri stbestes à	-|-|--|---⌫--|--⌫|----------⌫-|---⌫-|-----|-|
g arderàmoitoi eriesiquelif eon fu ssen t	-⌫----|-|------⌫---|-|--|-|-⌫--|--⌫----⌫|
parti entreleseigneu r et le	----|----|-|-------⌫|-|-|
pasteur par	------|--|
tels partiescomil couiententre el s il	---|------|--|-|------|----|--⌫|-|
seracontrainz parleiuge degarderle couenant	---|--------|--|-|---|-|-----|-|-------|
Li emp ereresAlixa ndresdit .	-|---⌫-----|-----⌫----|--||
p uisqueliauersair estamer ef uueincuz il	-⌫--|--|-|--------⌫-|-|---⌫|-⌫|------|-|
tantentor que eleli c ouenança que el e ne	---|----|--|--|-|-⌫--------|--|--⌫|-|
mouroitnul pletdeses serslicouenanzqui	------|--|---|-|--|---|-|-------|--|
fufe z parmal efoi	-|--⌫|--|---⌫|--|
ne u aut rien.	-|-⌫--|---||
Equant ilcommence ra à pled ier ou tamer e de	|----|-|--------⌫-|-|----⌫--|-|-|---⌫|-|
celecon uena nce liiugesladeliuerra.	---|---⌫----⌫--|-|----|-|--------||
Cilmeismeempereresdit.	--|-----|--------|--||
Il cou ientgar de rlaloiqu e	-|---⌫---|---⌫--⌫|-|--|--⌫|
t udeisq ua ntt u	-⌫|---|-⌫--⌫-|-⌫|
do nnas doer epo r ta n or rie	--⌫---|----⌫|--⌫|-|-⌫--⌫--|
poutpas nuire qu e lenseu ltdirequeauc tions	---|--|----|--⌫||-|---⌫-|---|--|---⌫----|
nenes t pa sde cou enanz quernosusonslors de	-|---⌫|--⌫|-|---⌫----|---|--|----|---|-|
ce stdroit quantli	--⌫-|----|----|-|
c o uenanzestnu z.	-⌫-⌫-----|--|--⌫||
M e squantdeniersont	-⌫-⌫|----|-----|---|
baillié et	-------|-|
couenanceestfete	--------|--|---|
derendre lesicil co uen ant uaut .	-|-----|--|---|--⌫---⌫--|---||
Cilmeis mesem p ereres dit .	--|----⌫--|--⌫-⌫-----|--||
p asauoi raction contreta	-⌫-|----⌫|-----|-----|-|
marrastrepor l ecouenantque ele	--------|--|-⌫|-------|--|--|
fist o t onpereq uantele	---||-⌫-|---|-⌫---|--|
li dona uneter reendoereque ele paiero it les	-|---|--|---⌫-|-|----|--|--|------⌫-|--|
usures àcelsà	-----|-|---|-|
quilaterree r tobligieeia	--|-|----|-⌫-⌫|-------|-|
s oit ceque li c o nu enanz soitprouezen	-⌫--|-|--|-|-⌫-⌫--⌫----|---|-----|-|
iu gement.	--⌫-----||
Messela ter reestproisiee quiestdonneeen	--|-|-|---⌫-|--|-------|--|--|-----|-|
doeresicomm eunepa rt ied elinstrument	----|-|----⌫|--|--⌫--⌫-|-⌫||---------|
mostretupuez auoirac t ion que li conuenanz	-----|-|---|----|--⌫-⌫--|--|-|--------|
soitt enuz.	---|-⌫---||
Ci l me ismesempereresdit.	--⌫|--⌫----|--------|--||
Laloi aul tede dr oitrequie rtqueli	-|--|---⌫-|-|--⌫--|------⌫-|--|-|
derre niercouenantsoient gardé .	-----⌫---|-------|-----|-----||
ceseluneetlautre pa r tie	-|-||--|-||----|--⌫-⌫--|
useroitpasdela premiere	------|--|-|-|-------|
c onu enance et	-⌫---⌫-----|-|
meesmementsece fuaffer m éparde uan tlepreu ost si	---------|-|-|-|-----⌫-⌫-|--|--⌫---⌫|-|----⌫--|-|
commetupro pos es	----|-|---⌫---⌫-|
iln etes tpas	-|-⌫||--⌫|--|
d eue eà use rdel	-⌫---⌫|-|---⌫|-||
actionq uetua u oiesain z	-----|-⌫-|-|-⌫-⌫---|---⌫|
quelaconuenancefust f ete.	--|-|---------|---|-⌫--||
Liemp ereresMaxim iansdi t.	-|---⌫-----|-----⌫---|--⌫||
Nus na droit eactio ns p orconuenanc e	--|||-----⌫|-----⌫-|-⌫-|---------⌫|
quisoitfe te esma rc hiez	--|---|--⌫-|-|--⌫--⌫---|
de boe n e foi se la	-|---⌫-⌫|--|-|-|
couenancen estf et emaintena ntquelima rchiezestfez	--------||--|-⌫--⌫|--------⌫-|--|-|--⌫-----|--|--|
querlesconuenan cesquipu issontfete s	---|--|--------⌫--|--|--⌫-|---|----⌫|
ne pu ee n tpasest repropos ees en	-|--⌫--⌫-⌫|--|---⌫-|------⌫--|-|
ma niere d actionmes deex cepcion.	--⌫----||-----|--|-|--⌫------||
LiempereresGordiansdit.	-|--------|-------|--||
Setesauersaires	-|--|---------|
] pra mist s ico mmetupro poses queil	|---⌫---|-⌫|--⌫--|-|---⌫----|--|-|
paier oitu nepaine	-----⌫--|-⌫-|----|
qui funommeesei l n etenoitle scouenance s tu	--|-|-----|-|-⌫|-⌫|-----|--⌫|---------⌫|-|
puezpl edier	---|--⌫----|
sus la paineet gaaigner as	--|-|----|-|--------⌫-|
queiltendr alacouenanceou tuaurasla	--|-|-----⌫|-|--------|-|-|----|-|
painequieste stablieque r tu requiers por noientq ue	----|--|--|-⌫------|---⌫|-|-------|--|-----|-⌫-|
libienà tonauersaire teso ientbail lie ́	-|---|-|--|--------|-|--⌫---|----⌫---⌫|
sanz garde rlordre dedroit	---|-----⌫||----|-|----|
Liemperere sualentinsdi t.	-|--------⌫|--------|--⌫||
Li c ouenanzquie stcontenuzenlinstrumen tdeld oere	-|-⌫------|--|-⌫-|-------|-||---------⌫|--|-⌫---|
per esmoro itla fe me que li	---⌫-|----⌫-|-|--⌫-|--|-|
fiulzprenoiteu stautretantderitagecom meliautresfiu lz	----|------|--⌫-|--------||------|---⌫-|-|-----|---⌫-|
ne poutf ere n ulobligement ne	-|---|-⌫--|-⌫-|---------|-|
toliral pe r ef ranchepoost é	----|-|--⌫-⌫|-⌫-----|-----⌫-|
de fere testa ment .	-|---|-----⌫---||
Liempereres	-|--------|
Dioclicianset	----------|-|
Maximiansdient.	--------|----||
tupropos esqueli fi làu n homme	-|------⌫-|--|-|--⌫|-|-⌫|----|
queilescristses oirs e n s on	--|-|------|--|---|-⌫|-⌫-|
testamentf urentproié que	--------|-⌫----|-----|--|
cilquipremierementmorroitl essast àla utr esa p art ie	--|--|-----------|------|-⌫-----|-||-⌫---⌫|-|-⌫---⌫-|
de leritage eta pr éscec elecouena n cequ i fu	-||------|-|-⌫--⌫--|-|-⌫--|------⌫-⌫-|--⌫|-|
fete pa r celproierefu q uiteepar	---|--⌫|--|------|-|-⌫----|--|
la s sentemen t	|-⌫-⌫--------⌫|
d esfreresnusne pue t riensdemanderàl autre	-⌫-|-----|--|-|---⌫|----|-------|-||----|
por lendroit d e celecouenance .	--||------|-⌫|---|--------||
Cilmeismeempereeur dient.	--|-----|--------|----||
Lipreuo z fer ag arders icommei lporrasol onc droit	-|-----⌫|---⌫|-⌫----|-⌫|----|-⌫|----|---⌫--|----|
leconuenantquel enporra mostrerquia e sté	-|--------|--||-|----|------|--||-⌫---|
fezpar boene foiia soitcequ e nus escri z	--|--|----|--|-|---|-|--⌫|--|-----⌫|
nesoit fez selaueritédelachose puet	-|---|--|-|-|------|-|-|----|---|
estre prouee paraut r es prue ues.	----|-----|--|---⌫-⌫-|----⌫--||
Cilmeismeempereeur dient	--|-----|--------|----|
Seuos pr o uezqueuostre	-|--|--⌫-⌫--|--|-----|
deteur aientreceu	-----|----|----|
uosquipaiast	--|--|-----|
parsapersonesapartie	--|-|------|-|-----|
de l a deteli gou ernier resdela contree	-|-⌫|---|-|---⌫------⌫--|-|-|------|
porue rr apar senauctorit équantil enserarequi s que	-----⌫--⌫|--|--|--------⌫-|----|-|-|---|-----⌫|--|
l on nedemantrienà	|-|-|-----|---|-|
l unporlautre	|-|--||----|
Cil meism e empe re eur dient	--|-----⌫|----⌫--⌫--|----|
à unc heualier.	-|-|-⌫-------||
Iasoitce queescrizquiest	-|---|-|--|-----|--|--|
p ar enzen	-⌫--⌫--|-|
tel manier eque	--|------⌫|--|
cil quiplusui ura	--|--|---|--⌫--|
ai t leschosesàlautrenes tpas	--⌫|--|-----|-||----||--⌫|--|
fezcomme aumosneneporq uant	--|----|------|------⌫---|
porcequela	----|--|-|
uolentéas cheualie rsqueilon t e lderreni er esperit	-------|-|--------⌫-|--|-|--⌫|-⌫|-------⌫-|------|
deleuruieetde	-|---|--|-|-|
leurpropreschosesetqui estm i seenescrit	---|------|-----|-|--|--|-⌫-⌫-|-|-----|
autresi comme	------|----|
enperil demortaforcedeiugementettu	-|----|-|---||----|-|-------|-|-|
pr opose squ equan ttu et te s f re res aliez enune	--⌫-----⌫|--⌫|----⌫|-|-|--⌫|-⌫--⌫--|----|-|--|
batailleporc eque uo s estiezambed uien	-------|----⌫|--|--⌫|-----|-----⌫-|-|
perildem o rtuoscouenançast es l i uns	----|-|-⌫-⌫-|--|------------⌫-|-⌫|--|
a ̀lautre quelesch osesàce lui	-⌫||----|--|--|--⌫---|-|--⌫--|
qui premierementmorroit	--|-----------|------|
fuss en t à lautre l en	----⌫--⌫|-||----||-|
ententpor celecondicionqueparle	-----|--|---|--------|--|--|-|
iugementto nfrerequi	-------|--⌫|----|--|
es tafferm ezpar l esestablissemenzas princes	--⌫|------⌫-|--|-⌫-|-------------|-|------|
doiu ent se schoses uen ira ̀ t oi .	----⌫--|--⌫|-----|---⌫-|-⌫|-⌫-||
C il meis me empereeur d ient	-⌫-|----⌫-|--------|-⌫---|
P orce que tupropos esqu eu nec ouenancefufeteentre	-⌫---|--|-|------⌫-|--⌫|-⌫-|-⌫-------|-|---|----|
uossanzletres que cequi escha rroit	--|---|-----|--|-|--|-----⌫----|
depar tesf reresfu stdepa rt ientre	-|--|--|-⌫----|--⌫-|----⌫--⌫|----|
uospar iuels partieset il puet	--|--|----|------|-|-|---|
estreproué queceste conuenan cefuf ete p arpezfesant	----|-----|--|----|--------⌫-|-|-⌫--|-⌫-|--|-----|
tutep uez defen dr e parexcepci on	-|-|-⌫--|-----⌫--⌫|--|-------⌫-|
p orsiez .	-⌫-----||
E setesauersaires	|-|--|---------|
tient tu doizentend re	----|-|---|------⌫-|
que tu n asnul eauct ionporceste	--|-||-|---⌫|----⌫--|--|----|
couena ncese tu	------⌫--|-|-|
neteporueisdemetri painene	-|-|------|-|---||----|-|
lennedoit pasotr oierà	|-|-|---|--|---⌫---|-|
to n auersairequeilusede la transaction se	--⌫|--------|--|-|--|-|-|----------|-|
iln estapareilliezdaco mpl irles	-||--|----------||---⌫---⌫-|--|
choses quisontconuen anciees.	-----|--|---|------⌫------||
Cilmeismeemperee urdient.	--|-----|-------⌫-|----||
L i co nuenanzal	-⌫|--⌫------|-|
pr o cureeurquicouen ance	--⌫-⌫------|--|-----⌫---|
àprendremainsque	-|------|----|--|
ladete n e monte nonfera quec i lqu	-|---|-⌫|----|--|---|--|-⌫-⌫|-|
ilprocure nepo issep lusdemanderq uantil	-|------|-|--⌫---|-⌫--|-------|-⌫---|-|
seraen aageq u erli defendeeur et l i procur eer	---|-|---|-⌫-⌫-|-|---------|-|-⌫|------⌫--|
quidema ndentlesdet esà ce lsque	--|----⌫----|--|---⌫-|-|--⌫-|--|
il defe ndentouprocurentn onci l	-|----⌫----|-|--------|-⌫-|--⌫|
ouq uiles claimentq uitesdeliurentto t	-|-⌫-|--|-------|-⌫----|--------|--⌫|
obl ige ment .	---⌫---⌫---||
Ci l mei sme	--⌫|---⌫--|
em p ereeu rdient.	--⌫-⌫-----⌫|----||
Quantl i filzcouenanceouil rec ̧oitlad ete	----|-⌫|---|--------|-|-|---⌫---|-|-⌫--|
deson pere i lne	-|--|---|-⌫|-|
toutr ie nà	---|-⌫--⌫|-|
l oblige ment deson	|------⌫---|-|--|
Cilmeis mes emperee urdient	--|----⌫--|-------⌫-|----|
àune fam e	-|--|---⌫|
Seiles tprouéq ue tu	-|-|--⌫|-----|-⌫-|-|
aiesquitee l ac tio nque tu	---|-----||--⌫---⌫|--|-|
eusencontrelesoirsà celiqui	--|-------|--|---|-|---|--|
fu tesmaritlexception	-|--|----||--------|
decouenanzne te porrapa snu irequanttu	-|-------|-|-|----|--⌫|--⌫--|----|-|
uoldraspl ediercon trel esdeteurs.	------|--⌫----|---⌫--|-⌫-|------||
Cil meismeemper eeurdi e nt	--|-----|-----⌫---|--⌫-⌫-|
Ladema nde as creanciers nepuetestre	-|----⌫--|-|---------|-|---|----|
mueepor lescou ena nce s asdeteurs.	---|--|--|---⌫---⌫---⌫|-|------||
C ilmeismeempere eur	-⌫-|-----|------⌫--|
Lesse ignorieesdeschosessont tresp orteesparbaillier leset	--|--⌫--------|--|-----|---|-----⌫-----|--|-------|--|-|
enetnonpaspornuescouena nces.	-|-|--|--|--|---|------⌫---||
Cil meisme empereeur	--|-----|--------|
Liestranges chatexquipar droitestd epart iz	-|--------|-----|--|--|----|--|-⌫-----⌫-|
entrelesoirs	----|--|---|
siquechascunsen	-|--|-------|-|
àsad ro itepartienepuetpasporle	-|-|-⌫--⌫--|-----|-|---|--|--|-|
co uenantdesoirsaldeteur	--⌫-----|--|---|-|-----|
obligieralcr e ancierlund e ls	-------|-|--⌫-⌫-----||-||-⌫-|
i l soittenuza ̀ respondrede	-⌫|---|----|-⌫|--------|-|
E ce auralene nce ls qui sont oi r	|-|---||-|-⌫|--⌫-|--|---|--⌫|
d auc uneeneur.	|---⌫--|----||
Tupuezdoncemplediertantc omme à toi	-|---|---|--------|---|-⌫---|-|--|
apart ientl oi rdemostrerle scommu nscir ogrefre soud es	-----⌫---||--⌫|-|------|--⌫|-----⌫-|---⌫-------⌫|-|-⌫-|
cou enan cesqui fu rent fe t es en	---⌫----⌫--|--|--⌫---|--⌫-⌫-|-|
l apartiequi	-⌫|-----|--|
n e sontpasparfetes.	-⌫|---|--|-------||
C ilmeismesempereeur die nt .	-⌫-|------|--------|---⌫-||
C il q ui de mande aucun e ch ose parnonde	-⌫-|-⌫-|--⌫----|-----⌫|--⌫--|--|--|-|
painequi aestéestab liepor gard e r	----|--||----|-----⌫--|--|----⌫-⌫|
les co uenancesoua uant ouaprés il	--|--⌫-------|-|-⌫---|-|-----|-|
r equiert pa rdr oitquesentenc esoitdonnee	-⌫------|--⌫|--⌫--|--|-------⌫|---|-----|
empereeurdient.	--------|----||
Sece quifupramizpar mi	-|-|--|-|-----|--|-|
c ouenant aeste ́rendupar	-⌫------||----⌫|----|--|
certainsanzci l qui	-------|--|--⌫|--|
fistlecouen antne	---|-|-----⌫--|-|
porce est r e o bligie zàpaierle deci	--|-|---⌫-⌫|-⌫------⌫|-|----|-|-|-|
enaua ntse painen	-|---⌫-|-|----||
ifumis e alconuenancier	|-|---⌫|-|-----------|
