siqueseuent	-|--|-----|
liai gnel es aresp on du	-|--⌫----⌫-||----⌫--⌫-|
s iredequoi dont ne se z tu	-⌫--|-|---|---|-|--⌫|-|
sicesteea uet roblee	-|----|--⌫-|-⌫-----|
nempuis b oiure ma saolee	|-|---|-⌫----|-|-----|
a utresim enirai cecroi	-⌫-----||-|---|-|---|
conmeg iui ngmorantdeso i	----|||--⌫-|-----|-|--⌫|
etliaigneles lires pont	-|-|-------|-|---⌫---|
beue zuosamont	----⌫|--|----|
s equ a ibeu	-⌫|-|-⌫|--|
quo ifaitlileusmaudiz	---⌫|---|-|---|-----|
c illi respont nenaiuoloir	-⌫-|-|------||-|-|-----|
lileusadit ien	-|---||--||-|
sai le u oir	--|-|-⌫--|
totautresimefitton pere	--|------|-|--|--|---|
acesteessor ce ou olui	|----|-----⌫-|-||--|
orayymoizditil	-||-|---|--|-|
met ezuosdit	---⌫-|--|--|
paz ne z cequit	--|--⌫|-|---|
etporiceli	-|--|--|-|
iamefaiztuore contrai re	-|-|---|-|--|-------⌫-|
et c ho se	-|-⌫--⌫-|
quetunedoizfa ire	--|-|-|---|--⌫--|
l orsa prisla ignelet petit	-⌫--||---||-⌫------|----|
asd ensle stra nglesil ocit	-|-⌫--||-⌫----⌫---|-||---|
c efontliri cherob eor	-⌫|---|-|--⌫--|---⌫--|
etlicont eetliiugeor	-|-|----⌫|-|-|-----|
desoz qu il ontenlor	-|--|-|-|--|-|--|
fauceaquoisonparcou oit ise	----|-------|--|---⌫---⌫--|
trueuentassezaeusconfondre	-------|----||--|--------|
souen tles font	-----⌫|--|---|
a pla itsemond re	|---⌫-|------⌫-|
lacharlitole nt et lape l	-|---|-|----⌫-|-|-|--⌫|
lileu sf ital aigne l	-|---⌫|-⌫-|||-----⌫|
seloncla lettr e de ses cris	-----|-|-----⌫|--⌫|--⌫---|
u osmos te raid u ne	-⌫-|---⌫--⌫--||-⌫-|
q ui par porch asetparenging	-⌫-|--|-----⌫-|-|--|-----|
auoi t menaieenzz molin	----⌫|-----|-|-|----|
pares semplemostreruosuuel	--|--⌫-----|------|--|---|
c un iors a cistd esorl e	|-|--||-⌫---|-⌫---|-⌫|
sesgregno ncia us	--|------⌫----⌫-|
etdecespiezsaplanoia	-|-|--|---||-------|
de uantl i passau nereinne	--⌫---|-⌫|----|-⌫-|-----|
sicona uenture la moine	-|--|-⌫------|-|----|
demandaliens areison	------|-|-|-⌫|-----|
ce l eiertdam ede lameison	|-⌫-⌫|---|---⌫|-|-|-----|
dont ele se f aisoit simaist re	---|--|-|-⌫-----|-|-----⌫-|
siliaconta deson estre	-|-|-----|-|--|----|
lesoris liat dit	-|----|-|-|--|
piecaquenailasignorie	----|-|-|-|-|-------|
bien est en m asuiac ion	---|--|-|-⌫|-----⌫--|
cone spar tusenuiron	--|-⌫|---⌫--|------|
etp uizh er begieriorse tnuit	-|-⌫--|-⌫--⌫-----|---|-⌫|---|
ioeretfair e mon	---|-|----⌫|--|
de s du it	--⌫-⌫--⌫-|
or re ma n ezannui tamoi	-|--⌫--⌫-⌫-|-----⌫||--|
i u osmetr aien bone	|-⌫-|----⌫-|-|---|
sor la mole etbieneaise	--|-|---|-|---|----|
niau rezrie n	||--⌫--|---⌫|
queuos des p laise	--|--|---⌫-⌫----|
assezaurezfairineetgrains	----|----|------|-|-----|
etblef queremaintas uilains	-|---|--|------|-|------|
la ro in e iuint parsa pr oier e	-|--⌫--⌫||---|--|-|--⌫----⌫|
en duisacistrentsor la p iere	--⌫--||--------|--|-|-⌫---|
moltitrouerentaman g ier	---||--------||---⌫-⌫--|
sen scontredit etsens dangier	---⌫|--------|-|---|------|
lasorispa ramordemande	-|----|--⌫|---|------|
alareinnedesau iande	|-|-----|-|-|-⌫----|
quela n semble uertel an di e	--||-⌫|-----|----||-|--⌫|
n en ment irai fai t ele mie	|-|----⌫---|---⌫|--|--|
moltparestbienaperil li e	---|--|--|---|------⌫--⌫|
seeleeust estémoillie	-|--|---|----|------|
pre sorz zg uesu el	--|--|-⌫|-⌫----⌫-|
illuc est lam oiem aison	----|--|-|-⌫--|-⌫----|
car ialons	--||----|
tanti aurezioieetdesdut	---||----|---|-|-----|
aureztalent ce	----|-----|-|
dereuen ir	-|-----⌫-|
a cestmolin	|---|----|
tant liprom ist par sonengin	---|-|----⌫--|--|--|----|
et bl anda	-|--⌫---|
laparsap arolle	-|--|-|-⌫-----|
quela creice fistq uefole	--|-|---|-|---|-⌫-|---|
lisenestalee	-||-|--|---|
siplainsde rosee	-|-----|-|----|
soris cest esmaiee	----||--|------|
tot ecudaestren oiee	---⌫|---|----|-⌫---|
arri ere uoloitre t orner	----⌫--|-----|--⌫-⌫----|
queneuoloitaua n tal er	--|-|-----|---⌫-⌫|--⌫-|
mais lareinnela ap el lee	---|-|-----|||--⌫--⌫--|
quia force	--||----|
et peramoretparproiere	-|--|---|-|--|------|
quanteleuint	----|--|---|
a la r iuiere	|-|-⌫-----|
quelas oris nepo t	--|-|-⌫---|-|--⌫|
reinn e dist en	-----⌫|---|-|
ien e poraioutrepasser	-|-⌫|----|----|-----|
queienesaim ie	--|-|-|--|-⌫-|
pr entfait lareinne sonfile t	--⌫--|---|-|-----|--|----⌫|
etsilou lie	-|-|--|--|
asoncherret	|--|------|
e t ie la tac he raia umi en	-⌫|-||-⌫---⌫--⌫--|-⌫|--⌫-|
lariuiere passerons bie n	-|------|--------|---⌫|
lasoris cest d el filloiee	-|----||--|-⌫-|--|----|
etlareinne c	-|-|-----||
est atachiee	--|-------|
el gueseme tet si enuont	-|--|-|--⌫--|-|-|---|
conelesontelplu sparfont	--|--|---|-|---⌫|------|
silauelt l a r einnenoier	-|-|---|-⌫|-⌫----|----|
o liseconmenc e a plongier	|-|-|-------⌫||-------|
pipe ha u te tcrie	---|--⌫-⌫|-⌫|---|
quebiencudoitestre perie	--|---|-----|----|----|
uns esco ufles	--|----⌫----|
uintauolant	---||-----|
uitlaso ris q ueloitp ipant	--|-|--⌫--|-⌫-|---|-⌫----|
lese lesclot	--|-⌫--|---|
a uald escent	|--|-⌫-----|
li etlarain n eilluecques pre nt	-|-|-|----⌫-⌫|---------|---⌫-|
andufurentau filpend ant	---|-----|-|--|----⌫--|
lare inne fu corsuegran t	-|--⌫---|-|----||----⌫|
li e scouflesparcouoi tise	-|-⌫-------|--|-----⌫---|
sorisla rainne at pri se	----|-|-----|-|---⌫-|
aetdeuor ee	|-|-----⌫-|
etla sorisfu del iur ee	-|-|----|-|---⌫---⌫-|
siest des uizei ezfelons	-|--|--|-----⌫-|-----|
ianaurontitexconpagnons	-||-----|---|---------|
facebien ne honor	---|---|-|----|
seri enslordoit coster	-|--⌫--|--|---|-----|
q ue durementn ensoientl ié	-⌫-|-------||-|-----|-⌫--|
maisilau ientassezso uent	---|-|--⌫---|----|--⌫---|
quetexm eismes	--|--|-⌫-----|
lor torment	--|------|
enautre scu iden tpo rchacier	-|-----⌫|--⌫----⌫|--⌫-------|
cou ient lorcors	---⌫---|--|---|
a peril lier	|-----⌫---|
ci contedunchienmenteor	-|----||-|----|------|
d emal equisetr icheor	-⌫|---⌫|----|--⌫-----|
qui une berbise nplaida	--|--|-----|-⌫------|
deuantiustisse la mena	-----|-------|-|---|
silia zz paindemand é	-|-||-|---|------⌫-|
qu illauoitce	-|-||----|-|
di stp resté	--⌫-|-⌫-----|
labe rbis totlirenoi a	-|--⌫---|--|-|-----⌫|
q u epointn el	-⌫-⌫|----|-⌫||
la iustice	-|------|
au chiendem anda	-|----|---⌫---|
se il pointdetesmoingi a	-|-|----|-|-------|||
respont que ilen ayy	------|--|-|-||-|
li escofflesetli leus	-|--------|-|-|---|
cilfu rent	--|--⌫---|
auantamené	----|-----|
parsairement o ntaf fermé	--|--------|-⌫-|--⌫-----|
uoirsqueli chiensdist	----|--|-|-----|---|
sauezporquoi chacuns	----|--|---|------|
que ile nauro ientpart ie	--|-|-⌫|----⌫---|----⌫-|
selaberbisperdo it	-|-|-----|-----⌫-|
etlaiusticedema nda	-|-|------|----⌫--|
be rb isquilapela	--⌫--⌫-|-|-|----|
iadi sauintc un slous ronia	----⌫|----||--⌫|---|----|
unosqu iou colli uol a	-|-|--⌫|-|--|-|---⌫|
collifue ntrez	--|-|-|-⌫----|
mo ltduremente nfu	--⌫-|-------|-⌫|-|
tote slesbestesauna	----⌫|--|-----|---|
etlesois iausasoiman da	-|--|---⌫---||--|---⌫-|
etpuislor a fait demande r	-|---|--||---|-------⌫|
se nu s le sei t	-|--⌫|-|---⌫|
ent r au s en ontlorconse ilpris	---⌫|--⌫|-|--|--|-----⌫-|---|
cha cunsenadit son	---⌫---|-||--|--|
forslagr uec edient	---|-|--⌫-|-⌫|----|
ni azzdeus quisache	|||-||--|--|----|
le colaloncet le	-|--||---|-|-|
s i emporroitbie n traire	-⌫|-|------|---⌫|-----|
li leu s em promistbon loie r	-|---⌫|-|------|--|----⌫|
porcequel en u ossitaidier	--|-|--||-|-⌫----|-----|
lagru elance bec au ant	-|---⌫|----|--|--⌫--|
deden sla gole aumalfai sant	-----⌫|-|---|-|------⌫---|
l osenatr ait et sili	|-|-||--⌫--|-|-|-|
q uesa promesse lirendist	-⌫-|-|-------|-|------|
li l e usliditparmautalent	-|-⌫-⌫-|-|--|--|--------|
etaffermapar	-|------|--|
q i llisem bleet uerit e f u	|-⌫|-|---⌫--|-|-----⌫|-⌫|
q uegr ant	-⌫-|--⌫--|
loierau oiteu	----|--⌫--|-|
quantsa teste	----|-|----|
boc hemi st	---⌫-|--⌫-|
lestrangla et ocist	|--------|-|----|
tues f aitilfoleprouee	-|-|-⌫--|-|---|-----|
qu i dem oies uiueescha pee	--⌫|-|-⌫-|-|---|-----⌫--|
requie r s autrelo ier	------⌫-⌫|----|--⌫--|
detach ar aigrant	-|-|--⌫-|-|----|
ce me teingiepor fol	-|-|----|-|--|--|
quasdensnetecopaile	-|-|---|-|-|----|-|
autres iest	------⌫|--|
delmals eignor	--|--|-⌫-----|
prou don l ifait honor	----⌫--|-⌫|---|----|
etpuis demandeguerredon	-|---|------|--------|
aurase mal	---|-|--|
porce qu il soit	--|-|-|-|---|
ensa b aillie	-|-|-⌫-----|
mercier ledoi tde sa uie	------|-|---⌫|-|-|--|
d une l iss e uos uuel	|--|-⌫---⌫|--|---|
quiprest ees toit dechaeler	--|-----⌫|--⌫---|-|------|
mais nesouto uestrepeust	---|-|---|-⌫|----|----|
nesescheausauoirdeust	-|--|-----|----|----|
a une autr e	|--|----⌫|
lisser equist	----|-⌫-----|
qu eensonostel la	--⌫|-|--|----|-|
tantque eleeustche ele	---|--|--|---|---⌫--|
etelelen sauroitb ongre	-|--||-|------|-⌫-|--|
t antliare quiset proie ́	-⌫--|-||--⌫---|-|-----⌫|
que ce le li aotr oié	--|--⌫-|-||---⌫---|
eleoteu cheaus	--|-|-|-----|
qui espe udre furen tetbiaus	--|----⌫---|-----⌫|-|----|
icel e cuilosteles toit	----⌫|--||----|--⌫---|
par aussouentdama g eauoit	--|--|-----|----⌫-⌫|----|
d es a maison l arueueissir	-⌫|-⌫|-----|-⌫|----|----|
quen ele uuetconsenti r	--|-⌫|-|---|--------⌫|
lau tresepri t a dementer	|--⌫--|-|---⌫||-------|
quenesauoitquelpar t aler	--|-|-----|---|---⌫|---|
iuersestoit porlafroi dor	----|-----|--|-|----⌫--|
sicuidoitmori ra dolor	-|------|----⌫||----|
donc li requit par charite	---|-|-----|--|------|
quelahabertiusqua leste	--|-|-----|----|||---|
l i g rand e	-⌫|-⌫----⌫|
sili a eins iotr oié	-|-||----⌫|---⌫---|
quantlebi autensuoitreuenir	----|-|--⌫-|---|---|------|
d ilueq uesles rouaes si r	|-----⌫--|--|---|--⌫--⌫|
l autr econmenca	|----⌫|-------|
seiamaisl en o oitparler	-|-----||-|-⌫--|-----|
q uesi chae llestrengleroient	-⌫-|-|----⌫||--------------|
l uisl abote roien teta	|--|-⌫|----⌫-----⌫|-||
forc eie rtlorlamaison	----⌫|--⌫-|--|-|-----|
en ontmise	-|--|---|
sa nz raison	--⌫-|-----|
c estexe mplepoezueoir	-⌫--|---⌫---|---|----|
etparma i nt proudomesauoir	-|--|--⌫-⌫-|-------|-----|
quepa rbonte de son	--|--⌫|----|-|--|
estcha ciez	--|---⌫---|
de s on heritage	-|-⌫-|-------|
quif elonauueclui acu et	--|-⌫---|----|--|---⌫-|
ne senpart m iequantil	-||-|---|-⌫-|----|-|
ce ditdune sorisuilainne	-|--||--|----|-------|
qui aun e uile proc hainne	--||--⌫|---|----⌫-----|
uoloi t a lerp ordeport er	-----⌫|-⌫--|-⌫-|------⌫-|
parmizzbois lestuet passer	----|-|---||-----|-----|
dedensleboislian uita	-----|-|---|-|--⌫---|
etune holete	-|--|-----|
cunesorisdeboi s	|--|----|-|---⌫|
et sauia n d ei a uoittraite	-|-|---⌫-⌫-⌫||-⌫---|-----|
las oris de uil edema nde	-|-⌫---|-|---⌫|----⌫--|
seeleauoitpo intdeuiande	-|--|----|--⌫--|-|-----|
celerespo n tienaiassez	---|-----⌫-⌫||-|-|----|
uen ezauantsilaueez	---⌫-|----|-|-|---|
s ep lusauiez c onpeignie	-⌫|-⌫--|----|-⌫--------|
sis eriezu osbie ns eru ie	-|-⌫----|-⌫-|---⌫|-⌫---⌫-|
comeleilu ecpi ec eesté	--|--|---⌫-|--⌫--⌫|----|
asa conpaigne en a parlé	|-|--------|-||-----|
ditque ses estresestmauuais	--|--|--|-----|--|------|
uu etdemorerm ais	--⌫-|------|-⌫--|
ueingne si	------|-|
belessales	----|----|
quelidonra	--|-|----|
bones despenceset celiers	----|--------|-|------|
etbons boiuresetbo ns mengi e rs	-|---|------|-|--⌫-|-----⌫-⌫-|
celelac ruto lise n	---|-|-⌫--||-||-⌫|
en riches alela mena	-|----|-⌫--|-|---|
siliamost réses	-|-||----⌫--|--|
se sdespen ces etces celi ers	--⌫|------⌫--|-|--|----⌫--|
plentedefarine etdemi el	-----|-|-----|-|-|--⌫-|
cele cuide bienestre enciel	---|----|---|----|-|---|
mais oruind rent libote illie r	---|-|----⌫---|-|----⌫-----⌫|
u o dr entaucel ie r	-⌫-⌫--⌫--|-|---⌫--⌫|
sitot co milou rirentl ui s	-|--|--⌫|-|--⌫-----||--⌫|
les surisfuientelper t uis	--|----|-----|-|---⌫-⌫--|
la bochagefuit	-|------|---|
es pertu esb ahie	-|----|---⌫---|
quelorest re nesauoitmi e	--|--|---⌫-|-|-----|--⌫|
quantciloi s sirentde celie r	----|--|--⌫-⌫-----|-|-----⌫|
lessorizreuinren tmengier	--|----|--------⌫|------|
sa c onpaig nelaregarda	-|-⌫------⌫-|-|------|
pargrantdocor	--|----|----|
lid ema nda	-|-⌫---⌫--|
quelchierefa itesdocea mie	---|-----|--⌫---|---|-⌫--|
iesui fai tele molt	-|--|---⌫|--|---|
porla poorque iaieue	--|-|---|--||-|--|
ormerepentquetai	-|-|-----|--||-|
tumeracontoie stonbien	-|-|---------⌫|--|---|
maisdetonmalne	---|-|--|--|-|
que astupa or	--|-|-|--⌫-|
de la g e nt	-|-|-⌫-⌫-|
etdoisi ausensement	-||----⌫--|-------|
etd eseng in sconfait portoi	-|-⌫-|---⌫--⌫||-|---|--|--|
mieu s u uelie estreenbois parfoi	----⌫|-⌫--|-|----|-|---|--|--|
en seurteet san stristece	-|-----|-|---⌫|-------|
qu ent esgrans soliersadestrec e	-|-|-⌫-|----|------||-------⌫|
ceste fabledit	----|----|--|
chacuns aintmieusle suenpetit	------|---|----|-|---|----|
que enpaisa et	--|-|---||-|
sansdotance	---|------|
qu aut rui richeceomesestance	-|---⌫--|------||---------|
dun go rpi lcon te la	|-|--⌫---⌫|---⌫-|-|
quiestessusdesa	--|--|----|-|-|
deuant ose s feonsenua	-----||--⌫|----|-|-|
u n s a igle s	-⌫-⌫|-⌫----⌫|
uintzzenporta	---|-|-|----|
ligor pizua	-|---⌫--|-|
apres cri ant	----|---⌫--|
queillirende so nenfant	--|-|-|----|--⌫|-----|
maisil nelen uot	---|-|-||-|--|
cil cest oit prisau retorner	--||---⌫--|---|-|-------|
untisonpritde fe u	-|----|---|-|--⌫|
etescheet laigne al ac uillant	-|----|-|-----|--⌫|-⌫------|
ent or louchene l ametoit	---⌫-|--|----|-⌫|-----|
iluecou liaiglesmeno it	----|-|-|-----|----⌫-|
uitlou c hene espri s	--|--|-⌫---|-----⌫|
le go r pi lh ucheet dit	-|--⌫-⌫--⌫|-⌫---|-|--|
esteinlefe utie nton chael	-----|-|--⌫|---⌫|--|----|
iaser oien t	-|---⌫----⌫|
mortmi oisel	---|-|----|
parces t exempleentendonsnos	--|---⌫|------|--------|--|
einsiest douricheorguil los	----|--|--|----|------⌫--|
iadelpouren auramer ci	-|--|----||---|---⌫-|
porsapleinte	--|-|------|
neporsoncri	-|--|--|--|
maisi l senpooi tuen gier	---|-⌫||-|----⌫|---⌫---|
don t lo u uerroi t asouplier	---⌫|--⌫|------⌫|--------|
cunsaragesui ntu olant	|--|-----|--⌫-|-⌫----|
io stela m er poissonspren n ant	--⌫--|-|-⌫-|-------|----⌫-⌫--|
troua enti ere	----|----⌫--|
masil ne sot enque lmaniere	--|-|-|--|-|---⌫|------|
deustlesquealle depecier	----||--------|-------|
conason ni dutr epairi er	--||--|-|--|-⌫------⌫-|
une cornileencontra	--|------|-------|
sedist qu ell i	-|---|-|-|-⌫|
c o nlasqualleporaouri r	-⌫-⌫|-|------|---|----⌫|
si a upoissonspoiepertir	-|-⌫|-------|---|-----|
puizl ou rouaamont	---|-⌫-|---|----|
s i hautcon il poroituoler	-⌫|---|--|-|-----|----|
conil seramontez	--|-|---|-----|
si last lamichecheorius	-|---|-|----|----|--|
sor dureterre	--|---|----|
ousor roch ier	-|--|----⌫--|
porr asdepecie r	----⌫-|-------⌫|
lia ig lesotg rantdesirr ier	-|-⌫--⌫--|-|-⌫---|------⌫--|
miche queduit maingier	----|--|---|-------|
hautlaporta chaorla lat	---|-|----|----|-|--|
li cornillef u enagait	-|-------|-⌫|-|----|
auantaladel	----|--|--|
si qu elesquelle zz	-|--⌫||-------|-|
loupo ssenetdedenstroua	--|--⌫-----|-----|----|
l esquelle lassesisenua	|-------|----|-||-|-|
ain cq ue liaig lesfustu enus	---⌫|-⌫-|-|---⌫--|---|-⌫---|
nequilcefusta p arce us	-|-|-|-|---|-⌫-⌫----⌫-|
leper tusetot fait petit	-|---⌫----|-|---|----|
queliai gle sni auenist	--|-|--⌫---⌫|||------|
par cest essemple	--|---|-------|
delpoisson	--|------|
uosdil essempledel	--|-||-------|--|
qu i paresguartet p arengin	--⌫|--|------|-|-⌫-|----|
mesconsellesonbon	----------|--|--|
tel chosel i conseill eafa ir e	--|----|-⌫|--------⌫||--⌫--⌫|
dontilnes et anulchieftraire	---|-|-|-⌫-||--|----|-----|
con i lonqu esmuezs o nt ensemble	--|-⌫|----⌫-|---|-⌫-⌫-|-------|
traisson litotetenbl e	-------|-|--|-|----⌫|
lauoirquecilat	|----|--|--|-|
gaa gniét	---⌫-----|
et p argr an t	-|-⌫-|--⌫--⌫|
traualporc haciét	-----|----⌫------|
en ciaui entet bienp ot estre	--⌫-|---⌫--|-|---|-⌫-|----|
deu antunefenestre	---⌫--|--|-------|
qui en u nedes pence fu	--|-|-⌫-|---⌫----|-|
u olauncorbsi	-⌫--|-|---|-|
fromagesqueleanses toient	-------|--|----|--⌫-----|
qu esorunecloi e	--⌫|--|--|----⌫|
unena pris	-|-||---|
atot en ua	|--|-|-|
u ns c olpisuint si l	-⌫-|-⌫----|---|-||
duf rom age ot	-|-⌫---⌫--|-|
grantdesirier	----|-------|
q uil enpoistsa	-⌫|-|-|----|-|
partmaingier	---|-------|
par enginguoldraporchacier	--|-----|-----|---------|
seloucorb porroitengignier	-|--|---|------|--------|
haideussire faitli	--|---|---|---|-|
tantpar estcisto s iausgentiz	---|--|--|---|-⌫-⌫---|-----|
quedemeseuzn e	--|-|--|--|-⌫|
neel monde nat t e loisi aul	-|-|----||-|-⌫-⌫|----⌫--|
fustceschan s cone st cesc ors	---|--|----⌫|--|-⌫-|--|-⌫--|
iualdroitmiez que	|-------|---|--|
zzfi nso rs	-|--⌫-|-⌫-|
licorbel s soisi loeir	-|------⌫||-|-|----|
quet o utlou montnauoit	--|-⌫-⌫-|--|---||----|
p orpe nc e ce quilc hant era	-⌫----⌫--⌫|-|-|-|-⌫----⌫--|
ia por chant er l osne pe rdra	-|--|-----⌫-||-|-|--⌫---|
loubec ouri s i conmen ca	--|--|---|-⌫|------⌫-|
li fromagesl i	-|-------|-⌫|
ala t erre	|-|-⌫---|
l estu tchair	|----⌫|----|
c olpislalase sir	-⌫----||--|--⌫--|
puisnotilcuredesonchant	---||-|-|---|-|--|----|
que d elfro m age otsont alan t	--|-⌫-|---⌫-⌫--|-|--|-⌫----⌫|
cestess empleuosdi	---|---⌫----|--|-|
que d auoi rsontcouoitoz	--||----⌫|---|-------|
pa rlosan gesetpa r menti r	--⌫|-----⌫--|-|--⌫|-----⌫|
l espueton bien	-⌫-|---|-|---|
engreseruir	-|--|-----|
loulordespendent folement	--|--|---------|-------|
por falsloan g ede la gent	--|---|----⌫-⌫|-|-|---|
contelie scris	----|-|-⌫----|
quifudefrais et	--|-|------|-|
malad esfum oltlongueme nt	-----⌫-|-|-⌫--|--------⌫-|
delreleuerni otniant	--|------|||-|----|
totesl esbestes assemble re nt	----|-⌫-|-----|--------⌫--⌫-|
porlui ueoracortale rent	--|--|---||---|---⌫---|
liplusors untporlui	-|-----|-⌫--|--|--|
e tau tresn	-⌫|--⌫---||
enchaut ni ant	-|----|--⌫--|
e t texia t qui uontpour	-⌫|--||-⌫|--|---|---|
aladeuisedunlyon	|-|-----||-|---|
quesauoi ruuele n tliplusor	--|-----⌫|-----⌫-⌫|-|-----|
se n luian epo int	|-⌫|--||-⌫|--⌫--|
lib ues de	-|-⌫--|-|
cescorneslou	--|-----|--|
etliaisnesquip asnel dout e	-|-|-----|--|-⌫-|-||----⌫|
d eson pi e loufiertsorle	-⌫|--|--⌫|--|----|--|-|
pa rtuintcolpis	--⌫-|---|-----|
ausde ns loumort parl esorelles	--|--⌫-|--|---|--|-⌫-|------|
di stli lio ns ceest meruel les	--⌫-|-|---⌫-|-|--|------⌫--|
bie nseuenttuit	---⌫|-----|---|
quenmonaei	-|-|--|--|
quant i onesfuet	----|-⌫---|-|-|
quetan tesbestesme	--|---⌫--|-----|-|
doutere nt	-------⌫-|
conmesi gnoretho nore rent	----|--⌫---|-|--⌫----⌫---|
quan tg i ere liezhatiée stoient	----⌫||-⌫--|---|-----|-⌫------|
ie reiriezsemedotoient	--⌫-|----|-|-|-------|
ormeuoientaf abloié	-|-|-----|--⌫------|
defollém ont et	-------||--|-|
mais moltparai gregnoruite	---|---|--|-|------|---|
detelqu i furentmi	-|--|--⌫|-----|-|
acuiie fuh onor etb ien	|--|-|-|-⌫---|-|-⌫--|
que ne nremembr enullerien	--||-⌫|-------⌫|----|---|
quedes autres	--|--|-----|
l inon p oi ssansatpoidamis	-⌫|--|-⌫--⌫----|-|--||---|
par meismec este rais on	--|-----|-⌫---|----⌫-|
prendo ns e s se m pl edellion	------⌫-|-⌫-⌫--⌫-⌫--⌫|--|---|
quionqueschi eten	--|-----|---⌫-|-|
non poo ir	--|---⌫-|
sepert sa forceet	-|---|-|----|-|
tienet en grant uilte	-----|-|----|----|
ne l ip l usorq uelontamé	-|-⌫|-⌫-⌫---|-⌫-||--|---|
ho me trouonsescrit	--⌫-|------|-----|
zzchenetpet it	-|-----|---⌫-|
so u entesfoisa lu iioat	--⌫-⌫----|---||--⌫|---|
