orentendez	-|-------|
iherusalan t	----------⌫|
pui sretorneengascoi ngne	---⌫|------|-|------⌫---|
seignorbaronunpetitm entendez	------|----|-|----||-------|
auconteamile d euomm ezretorner	-|----|----|-⌫-----⌫-|-------|
sist en laselledou dest rier	---|-|-|----|--|----⌫---|
fistsaior neet outasauolente	---|-|---⌫--|-⌫--||-|------|
uoltpasl ebo n destrierlasser	---|--|-⌫|--⌫|-------|-----|
un pele rin alicuensencontr é	-|----⌫--||-|----|-------⌫-|
uiexiertetbl ans con meflors	---|---|-|--⌫--|---⌫-|----|
d euo t requisetparte rr e etparmer	-⌫-|-⌫|-----|-|--|--⌫--⌫|-|--|--|
otlieu nen l a	-|---||-|-⌫|
crestiente	---------|
ne bonmonstierou	-|--|-------|-|
dexsoit aourez	--|---|-----|
queilnisoit neuenuz nealez	--|-|||---|-|----|-|---|
et lisienscor s trauei lliezet	-|-|----|---⌫|------⌫----|-|
u oitlelicuensen haut	-⌫--|-|-|----|-|---|
pelerinsfrerededeu soi e z sauuez	-------|----|-|--|---⌫-⌫|-----|
enmaint es terresiez	-|-----⌫-|-----|--|
uenuzeta lez	----|-|-⌫--|
p a rcel lefoi quetudois deuport er	-⌫-⌫|---⌫-|--|--|-|---|--|----⌫-|
ueiztu homequimepuist resambler	---|-|---|--|-|----|--------|
dist lipaumierslai ssiez mo ip orpans er	---|-|-------|---⌫----|--⌫|-⌫------⌫-|
oi edist ilo r m ensuiramenbrez	--⌫|---|-|-⌫||-|--|--------|
asi n ca pasques	|--⌫-⌫||------|
u illeenla	-⌫---|-|-|
crestien te	--------⌫-|
deu ant moi	---⌫--|--|
u intunsfranssi	-⌫--|--|----|-|
a mi s anon sie st declermont nés	-⌫--⌫||--|-|-⌫-|-|-------|---|
e t quiert ami le bienadouzan spa ss ez	-⌫|-----|---⌫-|---||---|--⌫|--⌫--⌫-|
o rsenredoit	-⌫||-|-----|
enfranceretorn er	-|-----|------⌫-|
maisiln en fin n echascunior	---|-||-|---⌫-⌫|------|--|
quantli cuens loitsi conmencea	----|-|----||--|-|-------||
uintaupaumierq uelezluiuoi t	---|-|------|-⌫-|--|--|---⌫|
troi sfois liba isele mentonet lenes	----⌫|---|-|--⌫--|-|-----|-|-|--|
pelerins fre re	-------|---⌫-|
pui ss e sauuer	---⌫--⌫|-----|
l ecompaingnonque uoz	-⌫|----------|--|--|
cim enomez	-|-⌫|----|
ienelu ionquess en aioi	-|-||-⌫|-----||-|-|-|
quilmere sambl ede ueniret daler	-|-|-|--⌫-----⌫|-|----|-||---|
dou cheuauchier et d esa rmes po rter	--|----------|-|-⌫-|-⌫---|--⌫---|
itantque uoz en	----|--|--|-|
uozdonraiie	--|-----|-|
c e sta nel noelé	-⌫-⌫-|-⌫--|-----|
ennulle terrene	-|----|----|-|
lesaurez p orter	-|-----|-⌫----|
seluo lezuendre ne soitbi enach atez	-||--⌫--|-----|-|---|--⌫-|---⌫---|
unm arc d argent sepanrel	-|-⌫--||-----|-|----||
porde uuoz proi quien croisfu	--|--⌫|--|---|--|-|----|-|
nul le uillelepoissiez trouu er	---⌫-|----|-|-------|-----⌫-|
quecischaitispoistalui par ler	--|--|------|----||--|---⌫--|
ien eluionques	-|-⌫||-|-----|
maismoult laidesirré	---|----||-|-------|
distl ipaum iersor ne uozdementez	---|-⌫|----⌫---|-|-|--|-------|
n e uozmouuezd e	-⌫|--|-----|-⌫|
cest cheminferré	---|-----|-----|
qu i s eto rneuerspu ille	--⌫|-⌫|--⌫--|---|--⌫---|
enamiles lipreus	-|-----|-|----|
etlicortois	-|-|------|
etlipaumierssedepart de mano is	-|-|-------|-|-----|--⌫----⌫-|
le zuneroch edelezunbruiero is	--⌫|--|----⌫|----|-|-------⌫-|
aen contré dantami lecortois	|--⌫------|---|--|-|------|
il leconnut si tost	-|-|-----|-|---|
comille uo it	--|-|-|--⌫-|
moultbelement lipaumierslapell o it	----|-------|-|-------||-----⌫-⌫-|
ennondeusiremou l tgransmerueille s	-|--|--|---|---⌫-⌫|----|---------⌫|
ie rmatin netuoztrouuai	--⌫|-----⌫--|--|------|
si de stroit	-|--⌫-----|
dou compaingnondontparlastezamoi	--|----------|---|--------||--|
to rnezarriere lech emin qu i	--⌫---|------|-|--⌫---|--⌫|
simait dexnefazpasqu ecor tois	-||--|--|-|--|--|--⌫|---⌫---|
quassener uozdeusse	-|------|--|-----|
liprouz amis	-|----|---|
fucortois et	-|------|-|
etsisotbientres touta escia nt	-|-|--|---|----⌫---||-----⌫-|
estoit ses	-----|--|
compainsli	-------|-|
u a ill ans	-⌫-⌫---⌫--|
pa umiers li otdit le samb lant	--⌫-----|-|-|--|-|----⌫---|
i lprinsts escharpesientraistdouz	-⌫|-----||-------|-|-|-----|---|
etau pa umier les donnamaintenant	-|-|--⌫----|--|----|---------|
le destrierhurt e desesperons	-|-------|----⌫|--|-------|
siua itaprezleconte	-|--⌫-|----|-|----|
uasenamislicuensaesperon s	-||-|---|-|----||-------⌫|
l e destrierhurte	-⌫|-------|----|
e tbroc he dera ndon	-⌫|----⌫-|-|--⌫---|
lesgransgaloslorsse metel troton	--|----|----|---|-|--|-|-----|
enmisauo ieencontrau n ga rson	---|-|--⌫-|-------|-⌫|--⌫---|
qu igardoitbestes elcheminlaamont	--⌫|------|-----|-|-----|-|----|
po rsetb erbisetaualetamont	--⌫-|-|-⌫----|-|---|-|----|
uo itle li cuens	--⌫-|-|-|----|
s i lami sa	-⌫|||--⌫||
amis biaus frereli c ors	---|----|----|-|-⌫--|
deubien tedonst	--|---|-|----|
uiz t upasserpar	--|-⌫|-----|--|
iciun franchom	--|-|----|--|
quime resamble d	--|-|-------||
ale retdefason	---⌫|-|-|----|
naie uoirsire	---|---|---|
si mai tdex n iu i hui	-||--⌫|--|||-⌫|--|
neuoz ra membresiredour ic he don	-|--|--⌫-----|---|--|-⌫--⌫-|--|
que uozf eis te	--|--|-⌫---⌫-|
aupaumie rsorle pont	-|------⌫|--|-|---|
tornez arrie rel e	-----|-----⌫-|-⌫|
che min abandon	---⌫--||-----|
si mait dex molt	-||--|--|---|
uozteingabricon	--|----||-----|
bienuoz deu stconduire	---|--|---⌫-|-------|
tantentendicuens a misauparl er	---|------|----|-⌫--|-|----⌫-|
etasnou uellesquil uolo tdemander	-|-|---⌫-----|-|-|----⌫|-------|
e tsoncheualun p etit reposer	-⌫|--|-----|-|-⌫---|------|
rep rin st s a uoiesiseprenta esrer	---⌫---⌫-|-⌫|---|-|-|----||----|
u int aune aigue	-⌫--||--|----|
qu ant f u out re	--⌫--|-⌫|---⌫-|
ostela selle	---|-|----|
licheuaxestwitr ez	-|-----|--|----⌫-|
p uislaramisesiesttostremontez	-⌫--|-|-|---|-|--|---|-------|
ainzque ilfustdemie l i euealez	------|-|---|----|-⌫-⌫--|---|
de uantlui gard e s ia	--⌫---|--|----⌫|-⌫||
ueuunspres	--|--|---|
touzfufloris	---|-|-----|
sicon meel mois d	-|---⌫-|-|---||
l ec onte ami le	-⌫|-⌫---|---⌫-|
uitenmili eu	--|---|--⌫-|
neluit a inz mais	-||--|-⌫--|---|
conn utassez	----⌫-|----|
as bonnes armesdont ili ert	-|-----|----|---|-|-⌫--|
e tasnouuel lesqueonli ot	-⌫|-|------⌫--|--|-|-|-|
lecheualbrochedesespero ns	-|-----|-----|--|------⌫-|
isne lle me ntestcelle partalez	----⌫---⌫--⌫-|--|----|---|---|
et cilleuitqui	-|--|-|--|--|
lo t iaauisé	|-⌫|-|-----|
torne quan t	----|----⌫|
illotra ui sé	-||-|--⌫--⌫--|
parteluertu	--|--|----|
se sontentracolé	-|---|---|-----|
t antfort se bai sente t	-⌫--|---|-|---⌫---|-⌫|
e stra ingnentsoef	-⌫----⌫------|---|
ap oinesont estainte t	|-⌫-|-|---|------|-⌫|
lorestrierrompent si sont	--|------|------|-|---|
c heu e l pre	-⌫--|-⌫|--|
orparler ontensamble	-|------⌫--|-------|
orsont licont e enmi lepreassiz	-|---|-|----⌫|---|-|--|----|
quilesueistbaisie ret	--|--|----|------⌫|-|
dex ne fistho me	--|-|---|--⌫-|
cui piti esn enpreist	--|----⌫-||-|-----|
en nondeu sirece	-|--|--|---|-|
distlicuens am is	---|-|----|--⌫-|
fo rmentm edueilquelonctansuo z	--⌫----|-⌫|----|--|---|---|--⌫|
ila passé set a nstou zacomplis	-||-----|--|-⌫-|---⌫|-------|
quenef inaida ler p ar le pais	--|-|-⌫---||-⌫--|-⌫-|-|---|
de uos tre nondemanderet	-|---⌫--|--|-------|-|
biaxdouz compainscelir espont amis	---|---|-------|-|-|-⌫-----|---|
toutau tr ess i	---|--⌫--⌫---⌫|
set an squis	--|--⌫|---|
orleweult de xqueci soienzas siz	-|-|----|--⌫|--|-|-----|--⌫--|
orenirons ala cort aparis	-|-|----||-|---||----|
liroisagu erres il	-|---||--⌫---||-|
n ozweult detenir	-⌫-|----|------|
uostrehomseraietliu ostresconq uis	-----|--|----|-|-|-⌫-----|----⌫--|
uoz uoibelh ome	--|--|--|-⌫--|
orso ntlic onte anduia ssiz	-|--⌫-|-|-⌫---|----|-⌫---|
ilsentr afientc ompai ng nieno uuelle	-||---|-----|-⌫-----⌫--⌫--|--⌫-----|
li dui baronontremisesl orselles	-|--|----|--|------|-⌫-|-----|
enlor mains t ien nentlese speesnouuelles	-|--|----|-⌫---⌫---|--|-⌫----|--------|
pas sentles	---⌫---|--|
borsetlescitez trauersent	---|-|--|----|---------|
trosq ua p aris ne	-----⌫||-⌫---|-|
fin entne narrestent	---⌫--|-||--------|
ezuozleroiq uiert aprestez de	-|--|-|--|-⌫|---|-------|-|
illes ret ient uolentierseta certez	-|--|---⌫---|---------|-||-----|
carmolt lesuit biaus h omes	--|---|--|--|----|-⌫---|
a i celiorqu ilu inre nt	|-⌫--|--|-|-|-⌫----⌫-|
l eualicrismaintenant	-⌫--|-|---|---------|
des bret ons	--|----⌫--|
ac o ille nt quiiertdeuant	--⌫-⌫----⌫-|--|---|-----|
lorss adouba la	---||-----|-|
m a isniecharlon	-⌫-⌫----|------|
ueste nt hauberslacentelmes reons	-----⌫-|------|-----|----|----|
ceingentespees as senestr esgirons	-------|-----|-|-------⌫-|-----|
mon tent es selles desdestriersarragons	---⌫---|-|-----|--|--------|-------|
alo rcolspe ndentlesescu sas lyons	|--⌫|---|--⌫----|--|----⌫|-|----|
et enlor poin s les r oia us confanons	-|-|--|----⌫|--|-⌫---⌫-|--------|
oeur entles porteslesp on slieuentamont	----⌫--|--|-----|--|-⌫--⌫|------|----|
e n issirentafor c e et abandon	-⌫|-------||---⌫-⌫|-||-----|
iusquala g aitnifont ar rest i son	----|||-⌫-⌫--|||---|--⌫----⌫-⌫--|
lauei ssi ezunesto rsifelon	-|---⌫---⌫-|-|----⌫|-|----|
tan telmefraintet p er ci ét antbl azon	---⌫|---|-----|-|-⌫--⌫--⌫-|-⌫--|--⌫---|
l un mort sor lautre	|-|---|--||----|
trebuchier e lsablon	---------|-⌫|-----|
bieni ferirent	---||-------|
an duili compaingnon	--⌫--|-|----------|
douzcontespr inrent b era rtet neuelon	---|-----|--⌫-----|-⌫---⌫-|-|------|
silesenuoi ent	-|--|-----⌫--|
a parisenprison	|----|-|-----|
fu charle s	-|------⌫|
etsafi llep arnon	-|-|--⌫--|-⌫-|--|
cestbeli ss ans alaclere fason	|--|----⌫--⌫--||-|----|----|
huimaiso rrez de	--|---|-⌫---|-|
hardrelefelon	-----|-|----|
q ui po rch asa	-⌫-|--⌫---⌫--|
lamort el trai s on	-|----⌫-|----⌫-⌫-|
porlesco ntes	--|--|--⌫---|
icellenui t	-----|---⌫|
lontil ai nsiz lai ssié	|--|-|--⌫---|---⌫----|
demain que ildutesclairi e r	-----|--|-|--|--------⌫-⌫|
nostr e empe reress es t	-----⌫|----⌫----||--⌫|
uestusetchauciez	-----|-|-------|
messeetmati nnesuaitoir a umonstier	----|-|----⌫---|---|--|-⌫|-------|
il f is tsoffr andepu is s	-|-⌫--⌫||----⌫---|--⌫-||
en e s tre pai r iez	-|-⌫-⌫|--⌫---⌫-⌫--|
pu isestentrez	--⌫-|--|-----|
li be r enun	-|--⌫|-|-|
deious te luihardr elelosengier	------⌫-|--|-----⌫|-|--------|
pa rsa losen ge leprinstaac oin tier	--⌫|-|-----⌫-|-|-----||--⌫---⌫---|
droi s empere res bi enuoza de x aidié	----⌫|------⌫--|--⌫-|--||--⌫|-----|
uos annemis auezpr ins et loie z	--|------|---|--⌫--|-|----⌫|
dou z enauezquetene z	---⌫|-|---|--|----⌫|
pri son niers	---⌫---⌫----|
quiconm encierent cestec hasc epr emiers	--|----⌫--------|----|-⌫----⌫|--⌫-----|
oruoz di raidr oisempereres chiers	-|--|--⌫--|--⌫--|--------|-----|
departirfaites trestouz uozsoudoiers	-------|-----|-------|--|--------|
leconteami samileleguerri er	-|----|---⌫|----|-|------⌫-|
chascundonnezcen tliuresdedeniers	------|-----|---⌫|-----|-|------|
etunmurlet chascun porlor	-|-|-----|------|--|--|
corsa ai sier	---|-⌫--⌫---|
silne sewele ntentor	|-|-|-|----⌫-|----|
uoz harb ergier	--|----⌫-----|
ensus deuoz	----|-|--|
les faitezharbergier	--|-----|---------|
iceu o z uoi liedire	--|-⌫-⌫|---⌫|-|---|
n ost r ee mp ereres enten t	-⌫---⌫-⌫|-⌫--⌫-----|-----⌫|
le tr ait or	-|--⌫---⌫-|
har dredistil c uer auez de	---⌫--|---|-|-⌫--|---|-|
quime blasmezanzdouz les	--|-|------|------|--|
comp aingnons	----⌫-------|
de us siezdi recon lordonnast	--⌫--⌫---|--⌫-||-|--|------|
alez a rriereto rn ezuozd	---|-⌫-----|--⌫--⌫-|--||
naisoingde u o slosen ges	|-|----|-|-⌫-⌫|-----⌫--|
nostre emper eresf umoultgen tiz e tfier s	-----|-----⌫---|-⌫|----|---⌫--|-⌫|----⌫|
ethardr e z fuetfeletlosengier s	-|-----⌫-⌫|-|-|--|-|---------⌫|
de bien re spondre	-|---|--⌫------|
f ubienappar ei lliez	-⌫|---|-----⌫--⌫----|
drois emperer esb ien uozaies saié	----|-------⌫-|-⌫--|--|-|--⌫----|
bien asno uuiau scheuali e r s	---|-|--⌫-----⌫|-------⌫-⌫-⌫|
touz m es auoirsuoz soitapp areillie z	---|-⌫-|-----|--|---|---⌫--------⌫|
etquantque iai e ttrestui tm i	-|-------||-|-⌫|-------⌫|-⌫|
licu ens amil esetamis liguerriers	-|--⌫--|----⌫-|-|---|-|--------|
aienten donquatre	----|-|--|-----|
chastiaxen fie s	-------|-|---⌫|
outexcontezqui facent	-|--|-----|--|-----|
a pri sier	|---⌫---|
etdistli rois	-|---|-|---|
o roi plait quibi ensiet	-⌫|-|----|--|--⌫-|---|
ce me r esamblera isonset	-|-|-⌫------|--⌫----|-|
lo rse nmontar ent	--⌫-|-⌫|------⌫--|
su selp alais pl ennier	--⌫|-|-⌫----|--⌫-----|
licuensamil es et amisau	-|----|----⌫-|-|---|-|
uoien t leroi e ncon tre sont dre scié	-----⌫|-|--|-⌫----⌫--|---|---⌫----|
puis serassie ent sorlepa uement	---|-|------⌫--|--|-|--⌫-----|
deuant eul ssist ha rdrezli renoie z	-----|---⌫|---|--⌫----|-|------⌫|
seignor distilte n irm edeuezch ie r	------|---|-|--⌫-⌫-|-⌫|----|--⌫--⌫|
enuersle roi uozai iebienaidié	-----|-|--|--|-|-|---|-----|
toutorendro itlem afi ancié	---|-------⌫-|-|||--⌫-----|
chas cun donraquatre	----⌫--|----|-----|
chastiax en fie	-------|-|--|
outel c itequ im o ultfai ta	-|--|-⌫--|--⌫|-⌫-⌫--|---⌫||
dient liconteest	----|-|----|--|
ceuo irs p a r uochief	-|--⌫--|-⌫-⌫|-|----|
si uozaitliueraisius t iciers	-|--|--|-|-----|---⌫-⌫-----|
conme uers noziestezde cuerentier s	----|---|--|-----|-|---|------⌫|
e tquebien	-⌫|--|---|
lesauomme z	-|-------⌫|
nostreempereresfumou ltpreuz etnobile	-----|--------|-|---⌫-|----|-|-----|
charlesli roi s	------|-|---⌫|
otuneg u erreemprinse	-|--|-⌫-⌫---|-------|
en uersgombautle loher a inc	--⌫---|------|-|-----⌫-⌫--|
bien a douzeans uoirebien prez de	---||----|--|----|---|---|-|
paisn eacordenetr iuene nfu	---|-⌫|-----|-|--⌫--||-⌫|-|
aumatinn etseleualitraitres	-|------⌫-|-|---|-|-------|
ce fuh ardrezcuili	-|-|-⌫-----|--|-|
cor sd eu maud ie	---⌫|-⌫-|----⌫-|
montee lcheual q uantla	----|-⌫|-----|-⌫---|-|
sellefum ise	----|-|-⌫--|
pass elesterres	----⌫|--|-----|
etlesgransmanandies	-|--|----|--------|
i usquaniu elle ne cessenene	-⌫---||---⌫---|-|----|-|-|
desc endusest auperron sozl	----⌫----|--|-|-----|--||
le sdegr ez	--⌫|----⌫-|
montedelasa le	----|-|-|--⌫-|
dep artlapressedelach euale rie	---⌫--|-|-----|-|-|--⌫-----⌫--|
gombausleuoit	------|-|---|
a prins a dire	|----||---|
si rehardrese dexuozbe neie	--⌫-|-----|-|--|--|--⌫---|
parcuiconduit uenez en ceste	--|--|------|----|-|----|
di stli traitrespar le uostrebia xsir e	--⌫-|-|-------|--|-|-----|---⌫|---⌫|
du i so udoier portent am oie nuie	--⌫|--⌫-----|------||-⌫-|-⌫---|
ceestamis et ses compains	-|--|---|-|--|-------|
carlesno zf ai tezdetranchieret ocirr e	--|--|--⌫|-⌫--⌫--|----------|-|-----⌫|
ie u ozdonraidemonauoir	-|-⌫-|-----|-|--|----|
mill iures	--|-⌫----|
e tdistgombausuostremercibiaxsire	-⌫|---|------|-----|----|---|---|
iluaauantsafoi	-|-|----|-|--|
li a pleuie	-||-----|
qu ild oit	-|-|-⌫--|
l es conte sdetranchieretoci rre	-⌫-|-----⌫|----------|-|---⌫--|
lorsprinsthardre zco ngi elimaus t rai tres	---|-----|------⌫|--⌫---⌫|-|---|-⌫---⌫---|
go m b aus li distoumoultotfelonnie	--⌫-⌫-⌫--|-|---|-|----|-|-------|
hardrez s e nua sacon giedemandé	------||-⌫|-|||---⌫--|-------|
gomba us lidonne uolentiers etde gre	-----⌫-|-|----|---------|-|-|--|
lesmauberinsdegrez	--|--------|-----|
etuint aualsondes tri era trouué	-|---|---|--|---⌫---⌫-||------|
pa rs o nestr ierahardrez sus monté	--⌫|-⌫-⌫|----⌫--||------|--|-----|
pa sse leste rre setlesa mplesregnes	--⌫--|--|--⌫---⌫|-|--|-⌫----|-----|
etlescha stiax lesbors etlesc it ez	-|--|---⌫----|--|---|-|--|-⌫--⌫-|
iusquaparisne s est pasarrestez	----||----|-||--|--|-------|
il d escendi el	-|-⌫------|-|
borc asonostel	---||--|----|
la nui t iiutdesciqu	-|---⌫||--|----|-|
al aiorner	||------|
a umainselieue quantil	-⌫|---|-|----|----|-|
uitle iorcler	--|-|--|---|
a u mon stieruapor	-⌫|---⌫----|-|--|
lames seescouter	-|---⌫-|-------|
li cue nsamisetamilesliber	-|---⌫-|---|-|-----|-|--|
quantille u o i entsi l	----|-|-|-⌫-⌫-⌫--|-||
o ntarraisonné	-⌫-|----------|
s irehardreoufustez	-⌫--|-----|-|-----|
pa rdeuseignorianorrez uer ite	--⌫|--|------|-||----|---⌫--|
asaint lambe rtalai	|----|-----⌫-|---|
por uozorer	--|--|---|
poruoz m e suitraueilli ez et penez	--|--|-⌫|--|---------⌫-|-|----|
d ient licontenozlesauons	-⌫---|-|----|--|-|-----|
e tgombausfists esh omes assamb ler	-⌫|------|---|-⌫-|-⌫---|------⌫--|
sesbr ies fistfaire	--|--⌫--|---|----|
e tp ar s ater realer	-⌫|-⌫-|-⌫|---⌫-|---|
ot bien quatremilledarmez	-|---|-----|----||----|
enlorchemin sont maint en a nten tré	-|--|-----|---|-----⌫--⌫-⌫-|--⌫---|
iusqua pari s n eseson t ar reste ́	----||----⌫|-⌫|-|---⌫|--⌫-----⌫|
p ar delal	-⌫-|---||
iaueen unbroilletramé	---|-|-|-------|----|
dys etdaub orse t doliuiersplan t ez	|-|-||---⌫--|-⌫||-------|----⌫-⌫-|
laiensene ntrentque ni	-----|-|-⌫-----|--|||
ontdemoré	--|------|
laienzsetinrent	-----|-|------|
l i traitor	-⌫|------|
lanu iti iurentdes ci a l aiorner	-|--⌫-||-----|---⌫-|||------|
u nmes enuoient aparislacit e	-⌫|--|-------||----|-|---⌫|
etc i li ua cuidex puistmal	-|-⌫-⌫||-|--|--|----|--|
iusquaupalais ne seuoltarr ester	----|-|-----|-|-|---|---⌫----|
su senlasale	--⌫|-|-|---|
enmontelesde gre z	-|----|--|--⌫---⌫|
o u uoi t h ar dreuerslui prinst	-⌫|---⌫|-⌫--⌫--|---|--|-----|
enzenlo r e il leli conse illasouef	--|-||-⌫-⌫-⌫--⌫-|-|-----⌫---|----|
amisbiaux frere	---|----|----|
g ombau sremez	-⌫-----⌫|----|
ennondeusire	-|--|--|---|
e lbrue i lenes tentrez	-⌫|----⌫-⌫|-|--⌫|-----|
en saco mpaingne mil cheualier s a r mez	-|-|--⌫-------|--|---------⌫|-⌫-⌫--|
en non deusireor	-|--|--|---|-|
a ilfaitqueber	|-|---|--|--|
etie ferai lescheu aliers monter	-|-|----|--|----⌫-----|-----|
etlesdo uz c ont esqueildoit af foler	-|--|--⌫-|-⌫---⌫-|--|-|---|--⌫----|
f rere ne laistpaseschaper	-⌫---|-|----|--|-------|
distlimessaig e si e li dirai asse z	---|-|-------⌫-⌫|-⌫|-|----|----⌫|
en t ornecui	-|-⌫---|--|
dex p uist	--|-⌫---|
maldonne r	--|-----⌫|
deparisistn	-|----|--||
iu oltp lusseiorner	|-⌫--|-⌫--|-------|
po ruo i r	--⌫|--⌫-⌫|
eth ardrezfist comtraitresetler re	-|-⌫-----|---|--|-------|-|---⌫-|
iluintascontessar ai son acontee	-|---|-|-----|-|-⌫--⌫--||-----|
seignordisti l on	------|---|-⌫|-|
demonstree	---------|
que g ombausu i entamoult grantassamblee	--|-⌫-----|-⌫-⌫--||----|----|--------|
