quipetitseime petit quiau t	--|----|----|----|-----⌫|
charitequidesa	------|--|-|-|
boneoeur e	---|----⌫|
pasnese uanteancoissecoeure	--|-|-|----|-----|-|-----|
siq u ilnelas ets e	-|-⌫|-|-|-|-⌫-|-⌫|
qu idexetch aritezanon	--⌫|--|-|--⌫-----||--|
dexestcharitezetq ui	--|--|-------|-|-⌫-|
ench aritesel onc lescrit	-|--⌫----|---⌫--||-----|
sainzpolz ou ie loui	----|---|-|-|-|-|
ilmeint ande uet dexenlui	-|----|-|--⌫|-|--|-|--|
don saichiezbien de uerite	--|-------|---|-|-----|
queli don so nt	--|-|--|--⌫-|
decharit e	-|------⌫|
q ueliboenscu ensfelipesdone	-⌫-|-|----|--⌫--|------|---|
o nquesneluinena r aisone	-⌫----|----||-|-⌫-⌫-----|
fors sonfra nccuerlo debonai re	---|--|---⌫-|---|-|-------⌫-|
quililoe lobienaf aire	--|-|--|-|---||-⌫---|
donuautmielz	--|---|----|
cil que neualut	--|--|-|----|
alixandrescuine chalu t	---------|--|-|-----⌫|
decharitene	-|------|-|
dautrerien	|----|---|
doteziaderien	----|-|-|---|
doncaura b ien	---|---|-⌫--|
c restiens qui entantetpoi ne	-⌫-------|--|-----|-|---⌫-|
com mandeman t lo conte	---⌫--------⌫|-|----|
aarimerl ome illorconte	|-----|-⌫|--⌫----|----|
qui soitcontez encort	--|---|-----|-|---|
ce es t licontes dogrea l	-|--⌫|-|-----|-|----⌫|
cuens l ibai llaloliure	----|-⌫|---⌫--|-|----|
or oezcommantsande liure	-|--|------||-|--⌫----|
c efu a u tans	-⌫|-|-⌫|---|
quarbr eflorisse nt	-|----⌫|--------⌫-|
f oillebochaische preue rdisent	-⌫----|---------|--|--⌫------|
etciloisel an l orlatin	-|--|----|-|-⌫-|----|
docementc hantentaumatin	-------|-⌫------|-|----|
r iensde io ieenflame	-⌫---|-|--⌫-|------|
que lifilz ala	--|-|---||-|
ueu edam e	---⌫|---⌫|
delagaste f ore stsoutaine	-|-|----|-⌫---⌫-|-------|
se l euaet nel ifu paine	-|-⌫--|-|-|-⌫|-|----|
queil sa selene preist	--|-|-|---|-|-----|
sorun c haceore tme ist	--|-|-⌫-----|-⌫|--⌫--|
troi siaueloze t totensin	----⌫|------|-⌫|--|----|
orsdomenoir	--|-|-----|
s amereissi	-⌫|---|---|
et pansaqueueoir iroit	-|----|--|----|----|
h erch eorsques ame re	-⌫----⌫---|--|-⌫|--⌫-|
que ses auainesli erchoient	--|--|------|-|--------|
bue syyetyy erchesauoient	---⌫|-|-|-|-----|------|
ensinenla f oret senentre	----|-|-|-⌫---||-|----|
totmain tenant licuerdouentre	--|----⌫-----|-|---|-|-----|
porlodoust an z	--|-|---|-⌫--⌫|
etporlochant	-|--|-|----|
desoisiausq uiioie faiso ient	--|------|-⌫-|---|-----⌫---|
totesceschoses li	----|--|-----|-|
plaiso ient	------⌫---|
por ladocordo utan sserain	--|-|----|--⌫|---⌫|-----|
osta aucheceorsonfrain	---|-|------|--|----|
silolaisaale r	-|-|----|---⌫|
parlaf resc heerbeuer doient	--|-|-⌫----⌫-|---|---⌫-----|
et cilqui bien lanciersauoi t	-|--|--|---|------|-----⌫|
d es ia uelo z que	-⌫-|--⌫----⌫|--|
aloitenuironluilancent	----|------|--|------|
uneorea rr ieree t autr eauant	--|--|-⌫--⌫---|-⌫|----⌫|----|
une oree n bas	--|--|-⌫|--|
eta utreen h aut	-|-⌫---|-|-⌫--|
tantquil oiparmi lo gaut	-----|-|-|----|-|---|
ueniryyc heualiersarme z	----|-|-⌫--------|----⌫|
detotesarmes ace smez	-|----|----|---⌫---|
etmoutioiedeme noient	-|---|---|----⌫-----|
les arm esde	--|---⌫-|-|
etsou anthur t oient as armes	-|---⌫--|---⌫-⌫----|-|----|
li rainde schanese t	-|---|--⌫|-----|-⌫|
descharmes	--|------|
sono itlifuss onoitli fers	----⌫-|-|--|-⌫----|-|---|
et deses cuzetdes auberz	-|--|--⌫--|-|--|-----|
li ual lezotetneuoi t	-|---⌫--|-|-|-|---⌫|
ces quiuienent	--|--|------|
plusquelo pa s	---|--|-|--⌫|
sisemer ueilleet ditparmame	-|-|---⌫-----|-|--|--||--|
uoirmedit ma mere madame	---|-|--|-|---|-|---|
qu e dei able sont	--⌫|---⌫---|---|
plusesfra eechos sedomont	---|-----⌫-|----⌫-|-|---|
et sidist po rmoiens aign ier	-|-|---|--⌫|--|---⌫----⌫--|
queporauss e doit ensaignier	--|--|--|-⌫|---|-|-------|
maisiauoi rne menseignerai	---|-|---⌫|-||-|--------|
que cestensaigdesdaignerai	--|---|-----|-----------|
ainz fer rai sitotloplus	---|---⌫--|-|--|-|---|
dundesi auelozqueiep ort	|-|--|-⌫-----|--|-|-⌫--|
naprocheront de moi	|----------|-|--|
por desautressiconi ecr oi	--|--|-----|-|--|-⌫|--⌫-|
e nsinaso imeismesdist	-⌫---||--⌫|------|---|
liuallez einzquilles u e ist	-|-----|-----|-|--|-⌫-⌫--|
e t quanti ll es u ite n aper t	-⌫|----|-⌫|-⌫-|-⌫-|-⌫|----⌫|
que dobois furentdescoue rt	--|-|---|-----|-------⌫-|
hauberz fremienz	------|-------|
etles hiaumesc lerzet	-|--|------|-⌫---|-|
etu it lo uert	-|-⌫-|-|---|
et lo uer moil	-|-|---⌫---|
reluirecon tre	------|---⌫--|
azuretlargent	---|-||-----|
silifu mou ttr esbelet	-|-|-|---⌫|--⌫-|--|-|
etdi tbiaussire	-|--⌫|----|---|
d e xmerci	-⌫-⌫|----|
ceson tangequ eieuoici	-|---⌫|---|--⌫|-|--|-|
et uoir aiie	-|---|-|-|
moutpechie ́	---|------⌫|
orai ie moutmal	-|-|-|---|--|
esploi tié	------⌫---|
quidisque cestoien t	--|--|--||-------⌫|
nemedistpas mamerefable	-|-|---|--|-|---|----|
quimed istq ueliang esont	--|-|-⌫--|-⌫-|-|---⌫|---|
lesplusbeleschos es qui	--|---|----|----⌫-|--|
forsdeuqu i	---|--|--⌫|
belqu etuit	--|--⌫|---|
siuoi iedamedeuce cuit	-|--|-|------|-|---|
carun sibe len	--|-|-|--⌫|-|
qu eliautre	--⌫|-|----|
nontm ie debia utelo disme	|--|-⌫-|-|---⌫--|-|----|
ditmamerem eisme	--|-|---|-⌫----|
qan doit cro irre etaorer	|-|---|---⌫---|-|----|
celuiquidoit nos cor s sa l uer	----|--|---|--|---⌫|--⌫-⌫--|
etie aoreraic e t ui	-|-|------|-⌫-⌫-⌫-|
et toz sesangesauiau lu i	-|--|--|----|----|--⌫|
maintenantuersterre	---------|---|----|
toutesacreance	----|-|------|
etorois onsq ueilsa uoit	-|-----⌫--|-⌫-|-|--⌫---|
q uesamerea prisliauo it	-⌫-|-|---|-⌫---|-|---⌫-|
et limaistresdescheu aliers	-|-|-------|--|----⌫-----|
lo uoitetdite stezar riers	-|---|-|--|-⌫---|--⌫----|
quaterreestde paorch auz	-||----|--|-|---|--⌫--|
ciluallezqui uosa ue uz	--|-----|--|--||--⌫-|
senosaleien stuitensanble	-|--|------⌫|---|-------|
ilauroitceme san ble	-|-----|-|-|---⌫--|
si gran tpaor	-|----⌫|---|
queilmorroi t	--|-|------⌫|
ner espondrenenosporroit	-|-⌫-------|-|--|------|
a rie nqueielidemandase	|---⌫|--|-|-|--------|
cilsare stee t	--||---⌫--|-⌫|
cilsen panse	--||-|----|
uerslo ualletgrantaleure	---|-|-----|----|-----|
si losalue etaseure	-|-|----|-|-----|
e tdituallezn aiésp oor	-⌫|--|-----||----|-⌫--|
i epar l osalueor	-⌫|--|-⌫|------|
l ocriator ancui iecroi	-⌫|------|-|--|-|---|
estesuosde x nenil par	----|--|--⌫|----|--|
quiestesuoscheual ierssui	--|----|--|------⌫---|--|
ainzmescheualierneco nu i	---|--|--------|-|--⌫--⌫|
faitliualle z	---|-|-----⌫|
n onques mesparle r	|-----|--|-----⌫|
maisuosestesplus besquedex	---|--|----|---|--|--|--|
ca rf usse ie	--⌫|-⌫---|-|
o rreautretex	-⌫--|-------|
ensinluisan z etensin	----|------⌫|-|----|
a cemotpresde luisestt raiz	|-|--|---|-|--||--|-⌫---|
etli cheualiers li demande	-|-|---------|-|------|
ueis tu huiencelelande	---|-|--|-|---|----|
yycheuali erset	-|-------⌫--|-|
yypucele s	-|------⌫|
li uallezaaut resnoue les	-|-----||---⌫--|----⌫--|
enquerreet demandere n tan t	-------|-|-------|-⌫-⌫---⌫|
asalancesamainli	|-|----|-|---|-|
si prant et	-|----|-|
ditbiaus sirecheu alie rs	--|----|---|----⌫----⌫-|
uosqu iaueznonche ualiers	--|--⌫|---|--|---⌫------|
q ue estice	-⌫-|--|--|
queuostenez	--|--|----|
iemout bienasenez	-|---|---|-----|
fai tl icheualiers biauxa mis	---⌫|-⌫|---------|----|-⌫--|
noueles apanredetoi	------|-----|-|--|
ettulesuiauxsauoirde moi	-|-|--|----|-----|-|--|
i ot ediraice es t malance	-⌫|-⌫|----|-|--⌫|-|----|
dite suosfai ti lquen en lance	----⌫|--|---⌫|-⌫|-|-|-|----|
ie faz mesiaueloz	-|--|--|------|
n enilu a llez	-⌫---|-⌫-⌫---|
tui estoz soz	-|-⌫-|--|--|
ainzen fie rtentotdemenois	---|-|---⌫-|-|--|-------|
mielz lizzde ces yy	----|-|-|-|--|-|
ia ueloz queuosueezci	--⌫----|--|--|---|-|
carquantq ueieuoil	--|------⌫-|-|---|
oisiaus etbeste saubesoig	------|-|-----⌫|-|-----|
e tsilesocide	-⌫|-|--|--|-|
porroitzzbozontra ire	------|-|----|---⌫--|
ual ezdecen aiie quefaire	---⌫-|-|-||-|-|--|----|
mais d e scheua liersmerespont	---|-⌫-⌫|-----⌫----|-|------|
dimoisetu sez o uil	-|--|-|-|--|-⌫|-|
etles puceles uei stu	-|--|------|---⌫|-|
liuallezaupain de	-|-----|-|---|-|
loprant et	-|----|-|
di t to ten ap ert	--⌫|--⌫|-|--⌫--|
cequeestet	-|--|--|-|
decoiuosser t	-|--|--|---⌫|
uallezfaitil	-----|---|-|
ceest hauberz	-|--|------|
puis q uana utresnouelesmez	----⌫-⌫|-|-⌫----|------|--|
quei enet anquieretdemant	--|-⌫|-||------|-|-----|
ie cuidoiesedexma mant	-|------|-|--||-⌫---|
nouelesa pa nredetoi	------|-⌫--⌫--|-|--|
et t u le s	-|-⌫|--⌫|
uia us s auo ird emoi	---⌫-|-⌫---⌫-|-⌫|--|
et tuuiauxqueielest apraigne	-|-|----|--|-|--||-------|
tedi raicom man tqu il	-|--⌫--|---⌫---⌫--|-|
cara toi uo lant i ersmac ort	--||--|--⌫----⌫-⌫--||--⌫--|
escuzanonceque	----||--|-|--|
nelo doimie	-|-|--|--|
ten ir uil	---⌫-|--|
c aril met	-⌫-|-||-|
tantde bo nefoi	---|-|--⌫-|--|
que senuslance	--|-|--|----|
o tr aitamoi	|--⌫--||--|
en c ontret oz lescos se t rait	--⌫-⌫----|-⌫-|--|--|-|-⌫---|
cest li seruisesquil	|--|-|-------|-|-|
atan t cilquiuinrentarriere	----⌫|--|--|------|------|
sanuinrenttote	|-|------|---|
la charri ere	-|------⌫--|
uersl orseigneurtrestout lepas	---|-⌫-|-------|-------|-|--|
diente nellopas	----|-⌫-------|
sire queuos dit cilgualoi s	---|--|--|--|--|------⌫|
n esa ifaiti lse	-⌫|--⌫|---|-⌫|-|
cararie nqueieli	--||---⌫|--|-|-|
nerespon til o nquesa	-|------⌫|-|-⌫----||
einz dem andequ an tquei l	---|---⌫---|--⌫--⌫---|-⌫|
comantanon et	-----||--|-|
quelen fait	--|--|---|
ainzuos di sachiez e ntresait	---|--|-|------|-⌫-------|
quega loisso nttuitpar nature	--|--⌫---|--⌫-|---|--|-----|
plus fo l que bes tes en	---|--⌫|--|---⌫--|-|
ensincommeune beste	----|----|--|----|
fos estq uid elezlui	--|--|-⌫-|-⌫---|--|
salamuseneuiau tmuser	||-|---|-|----⌫|----|
e t lotansen	-⌫|-|---|-|
folie user	----|---|
nesaifaitilse dexmeuoie	-|--|---|-|-|--|-|---|
soiemisala uoie	---|--||-|---|
qant q ueil	----⌫-⌫-|-|
uodrali dirai	----|-|----|
iaautremant	-|--------|
nenpartirai	|-|-------|
l o rslidem and e derechie f	-⌫-⌫-|-|---⌫---⌫|--------⌫|
ual lezfait il netesoit	---⌫--|---|-|-|-|---|
maisdesyy cheualiers	---|--|-|---------|
etd es pucelesautresin	-|-⌫-|------|-------|
encontrasneueis	--------|-|---|
etliuallezlot eno itpr is	-|-|-----|-|-⌫---⌫-|--⌫-|
aupain dohaub ert si lo	-|---|-|----⌫--|-|-|
uallezcomma nce a	-----|-----⌫--||
qu est ceque	-|--|-|--|
uosauez uestu	--|---|----|
u allez fait ildonne uoiztu	-⌫----|---|-|--|-|---|-|
ienonual lezs	-|--|---⌫--||
siest ensi n pessa nzconfers	-|--|----⌫|-----⌫-|--|---|
de ferce uoiztu	-|--|-|---|-|
decefait i l ne sai ie rien	-|-|---|-⌫|-|--|-|---|
maism outestgenzsede xmesaut	---|-⌫--|--|---|-|--⌫|-|---|
qanfa ites uoset queuos uaut	|-|--⌫---|--|-|--|--|---|
uallezcestadirelegier	-----||--||---|-----|
seuoloies a moilancier	-|------||--|------|
iaueloz ousaietes	------|-|------|
neme p orroies nulmalf air e	-|-|-⌫------|--|--|-⌫---⌫|
danzc heuali ersd e tesha uberz	---|-⌫------⌫--|-⌫|--|--⌫----|
guart dexles	----|--|--|
bichesetlescerz	-----|-|--|---|
que uosocirren e nporro ie	--|--|-----||-⌫|-----⌫-|
neiamaisapresnecor roie	-|-----|----|-|---⌫---|
etlicheua l iers	-|-|-----⌫-⌫---|
u all ez sed amedex t ais t	-⌫---⌫-|-|-⌫-----||---⌫|
setumese zdirenoue les	-|-|-|--⌫|---|----⌫--|
des cheualiers e t despucel es	--|---------|-⌫|--|-----⌫-|
petitfusenez	----|-|----|
l i dist fustesuosensinnez	-⌫|---|-----|--|----|--|
n eniluallezc ene puete stre	-⌫---|-----|-⌫|-|---|-⌫---|
quecheua lier s	--|-----⌫----⌫|
puisea usinnestre	----|-⌫---|-----|
qui uos atorna donc en sin	--|--|-----|---|--⌫--|
u alle z ietedirai bienqui	-⌫----⌫|-|-|----|---|--|
diteslod onc moutuol antiers	----|-|-⌫--|---|---⌫------|
na pas encor yyiorzant i ers	||--|----|-|---|---⌫-⌫--|
quetotceh ernois me do na	--|--|-|-⌫-----|-|--⌫-|
li roisartusq ui madoba	-|---|----|-⌫-||----|
medi quedeuinre nt	-|-|--|-------⌫-|
licheualierquipar ci uindrent	-|--------|--|--|-|-------|
q ui le syypucelesconduient	-⌫-|--⌫|-|------|--------|
uon tillopasoil s	---⌫|-|-|--||-||
sire or esgardez	---|-|-------|
ceplushaut	-|---|---|
boisqu e uosueez	---|--⌫|--|---|
qui celemontaigneauirone	--|---|--------|------|
ces ontlidest roit deuaucoign e	-|-⌫--|-|----⌫---|-|--------⌫|
etquede cefait	-|--|-|-|---|
lasontlierch eorm amere	-|---|-|----⌫--|-⌫|---|
quisat erresement et	--|-|-⌫---|-----|-|
sesesgenz par	-|--|---|--|
iquipasseren t	---|--------⌫|
illes u irentso uosdiront	-|--|-⌫----|||--|-----|
etcildient quil i ero nt	-|--|----|-|-|-⌫---⌫-|
au iaulu iseilles	--⌫--|--⌫|-|-|--|
iusquacesqui er chent lauaine	----||--|--|--⌫----||-----|
l iuallezpr a n ts onchaceor	-⌫|-----|--⌫-⌫-⌫|-⌫-|------|
etuientla ouli	-|----|-|-|-|
herchoientlesterresaree s	---------|--|-----|----⌫|
o ulesa uainessonts emees	-⌫|--|-⌫-----|---|-⌫----|
iluirent lor s eignor	-|-----|--|-⌫-----|
si tranbl erenttuitd epaor	-|------⌫----|---|-⌫|---|
et saue zpor coi il lo firent	-|----⌫|--|--|-|-|-----|
p orlesche ualie rs	-⌫-|--|---⌫-----⌫-|
que iluire nt	--|-|----⌫-|
etlorseignorauo que suoien t	-|--|------|---⌫---⌫|-----⌫|
et bien sor ent s	-|---|---⌫--||
lor afaire ditetlorestre	--|-----|--|-|--|----|
uodroitche ualiers estre	------|---⌫------|----|
es troitd osan	--⌫----|-⌫|--|
qu e dest orner len cuidoit len	--⌫|----⌫----||-|------|--|
queiacheual ier ne	--|-|------⌫--|-|
ne lorafaire na preist	-|--|-----||-⌫-----|
etliuallezdit	-|-|-----|--|
as bouiers	-|------|
ueistesuos	------|--|
yy cheualier s	-|---------⌫|
et yy puc elesci passer	-|-|---⌫---|-|-----|
ilne fine rent huid aler	-|-|----⌫---|--||---|
p arlesde stroizfontlibouie r	-⌫-|--|--⌫-----|---|-|-----⌫|
et li uallezauc h eualier	-|-|-----|-|-⌫-⌫------|
quita n tau oit	--|--⌫-⌫|--⌫--|
d itsir e par cisontalé	-⌫-|---⌫|--|-|---|---|
licheualier etles p uceles	-|--------|-|--|-⌫-----|
maisormedit esla nouele	---|-|-|---⌫-|-|-----|
lescheualiersfait	--|---------|---|
etdole u oilplusse trait	-|-|--⌫||-|---|-|----|
uallezfaiti l dire	-----|---|-⌫|---|
rois s eiorneacardoi l	---|-⌫-----||------⌫|
carie ifu i etsi	--|-||--⌫|-|-|
l t ro ues	|-⌫--⌫--|
bienes t qui lota nseignera	---|--⌫|--|-||-⌫--------|
ia side sto r ne z ne sera	-|-|--⌫---⌫-⌫--⌫|-|---|
cheua liers s enpart	-----⌫----||-|---|
lesgranzgualozmoutl i futart	--|----|-----|---|-⌫|-|---|
q u il austlesautres	-⌫|-|---|--|-----|
et li uallezneses tpasfainz	-|-|-----|-||--⌫|--|----|
derepairiera son	-|--------||--|
ou sa mere dolant e t noir	-|-|---|-----|-⌫|---|
auoitlocuer pors a	----|-|---|--|-⌫|
grantioieenaau	----|---|-||-|
quele lo uit quepa s	-|--|-|--|--|--⌫|
fame quimout	---|--|---|
cort contr e	---|-----⌫|
biaus filz b iax f ilzplusdeyy	----|---|-⌫--|-⌫--|---|-|-|
biausfilzmout aestédestroiz	----|---|---||----|-------|
mes cuersporuostr ede mor ee	--|----|--|-----⌫|--⌫---⌫-|
dedoelduiestre afolee	-|---|--|----|-----|
siqueparpomo rte ne sui	-|--|--|-|--⌫--|-|--|
ouauezuos tanteste ́hui	-|---|--|---|----⌫|--|
oudameie lo	-|---|-|-|
queianeuosen mentire	--|-|-|--|-|------|
q ueie aimout	-⌫-|-|-|---|
grant ioieaue	----|---|--|
dunechossequei	|--|-----|--||
dunequelnesole zuosdi re	|--|---|-|----⌫|--|--⌫-|
queli ange	--|-|---|
denos tresire	-|---⌫--|---|
sont sit r es belecriature	---|-|-⌫-⌫-|---|-------|
queonquesmesnulefigure	--|-----|--|---|-----|
nom onden a	||-⌫---|||
si bele rien	-|---|---|
biaus filz	----|---|
ent ot es les illesdemer	-|-⌫--⌫-|--|----|-|--|
iodip or uoir et	-|-|-⌫-|---|-|
biauzfilzencorlodi ieor	----|---|----|-|-|-|-|
taisi e zmereie	-----⌫-⌫|---|-|
l es u ior	-⌫-|-⌫|-|
lespl usbeleschose sq uis ont	--|--⌫-|----|-----⌫|-⌫-|-⌫--|
la guastefor etuon t	-|-----|---⌫-|---⌫|
plusb e lsi	---|-⌫-⌫|-|
q uede x nequesienge t uit	-⌫-|--⌫|-|--|-|---|-⌫--|
filz ditele sicon iecroi	---|--|--|-|--|-|---|
tuas ueuaumienespoir	-|-|--|-|---|-----|
le s angles	--⌫|-----|
d onlesgenzsepla ign ent	-⌫-|--|---|-|---⌫---⌫--|
q uio cient quan t qu ilata igne nt	-⌫-|-⌫----|----⌫-⌫-|-|---⌫----⌫-|
nonaimere uoirn on ainon	--|-|---|---|-⌫-|-|--|
c heualierdient quilont n on	-⌫-------|----|-|-|--|-⌫-|
la me r esepasmeacemot	-|--⌫-⌫|-|----||-|--|
qan tcheu alie rnomer li ot	---⌫|----⌫----⌫|----|-|-|
e t quantelefur edr eciee	-⌫|----|--|-|-⌫---⌫----|
distcomm efame correcie e	---|----⌫|---|--------⌫|
a la ssec omsuimalbailli e	|--⌫--|-⌫-|--|---------⌫|
hadox filz decheualerie	-|--|---|-|---------|
u o us cuidoie ie bie nguarder	-⌫-⌫-|------|-|---⌫|------|
que ian en	--|-||-|
oissiezp ar ler	------|-⌫--⌫--|
ianuln enueisiez	-|--||-|------|
cheual ierse stre deu siez	------⌫---|-⌫---|---⌫---|
bia uxfilzsedamedextaust	---⌫-|---|-|------||---|
q ueuostre	-⌫-|-----|
per euosaust	---⌫|--|---|
guardéet uosau tresamis	------|-|--|--⌫---|---|
notcheu a lier	|-|----⌫-⌫---|
tantredoténe	---|------|-|
bia uz filzcomuostreperesfu	---⌫-|---|--|-----|----|-|
en totes l esi lles	-|----|-⌫-|-⌫---|
deceme pu is	-|-|-|--⌫-|
iebien ua nter	-|---|--⌫---|
queuos ned esche ezderien	--|--|-|-⌫-----⌫-|-|---|
de s on li gna igene	-|-⌫-|--⌫---⌫--|-|
queie su id ecest econtree	--|-|--⌫|-⌫|----⌫|------|
uoird esmeillorscheualiersn ee	---|-⌫-|-------|---------|-⌫-|
demern ot lignaig e	-|--||-|-------⌫|
meill or domi en enm onaaig e	-----⌫-|-|--⌫-|-|-⌫-|----⌫|
m aislim eillorsont de ch eu	-⌫--|-|-⌫-----|---|--⌫--⌫-|
sestbienen	|--|---|-|
plussors leussau	-------|---|--|
que le s mescheancesauienent	--|--⌫|----------|-------|
a celuiquimielzsem ai ntienent	|----|--|----|-|-⌫--⌫-------|
agra ntenoret	|---⌫-|---|-|
malueistiezhontenep aresce	----------|----|-|-⌫-----|
pasquel ene pu et	--|-|--⌫|-|--⌫-|
m aisl esb ons dech eoirestuet	-⌫--|-⌫-|-⌫--|----⌫---|-----|
u ost reperessi	-⌫---⌫-|----|-|
n ousaue z	|-|----⌫|
f upar milaanchenaurez	-⌫|---⌫-|-|----|-----|
si q ueilmehaignadocors	-|-⌫-|-|-------|-|---|
sesgranzauoi rss esgran z t re sso rs	--|----|----⌫-|-⌫-|----⌫|-⌫--⌫---⌫-|
queilauoitcommeprodom	--|-|----|----|-----|
alatoza per detiom	--|--||---⌫-----|
grantproure te	----|------⌫-|
a pouri etd esserité	-⌫----|-|-⌫--------|
etes s il lié furent atort	-|--⌫-⌫--⌫---|-----||---|
ligentilhomeapreslamor t	-|-----|---|----|-|---⌫|
a utanspandragonqui	-⌫|---|--------|--|
et perelo r oi	-|---|-|-⌫-|
les terresfurentes silliees	--|-----|-----|--⌫-------|
etlespoures genzauilliees	-|--|-----|---|--------|
si sen f oiquifoirpot	-||-|-⌫-|--|---|--|
uostre perescemenoi rot	-----|----|-|-----⌫|-|
icience stefo retgaste	--|-|--⌫--|--⌫--|----|
ne potfoirmais agr ant	-|--|---|---||--⌫--|
enl itiereaporter s anfi st	-|-⌫-----|------||-|--⌫-|
quaillorsne	-|------|-|
sot ousen foist	--|-||-|----|
petizesteiez	----|------|
yy moutbiaux	-|---|----|
frer esaueie z	----⌫-|-----⌫|
petize steie zaleit an z	----|-⌫-----⌫|-----⌫--⌫|
poaue iez plu sdeyyan z	-|---⌫--|---⌫|-|-|--⌫|
qant furentgrantuostre	---|-----|----|-----|
auloset auconsoi l	-|--|-|-|------⌫|
alerentayycor sreiaus	------||-|---⌫|-----|
pora u oira rmes etc heuaus	--|-⌫-⌫--|-⌫---|-|-⌫-----|
auroi descaualo n	-|--||--------⌫|
etta ntseruila	-|--⌫-|----|||
que cheu aliersf u adobez	--|----⌫-----|-⌫|-----|
etliautre squipuisf u	-|-|-----⌫|--|---|-⌫|
en zziorandui li uallet	-|-|--|----|-|-----|
ado be ́et	---⌫--⌫|-|
che ualierfurent	---⌫-----|-----|
etenz z ior	-|-|-⌫|--|
ameduim ur ent	-----|-⌫--⌫--|
porreuenir alorrepaire	--|------||--|------|
que ioieme uolo ie nt	--|---|-|----⌫--⌫-|
pereq uipuisneluit	---|-⌫-|---|-||--|
q uas armesfurent	-⌫|-|----|-----|
pararmesfurentmortendu i	--|----|-----|---|----⌫|
doniaiau c uerdoeletanu i	--||-|-|-⌫--|---|-|---⌫|
apuis qu ilfur entmort	|----⌫-|-|---⌫--|---|
uos est eiez tozliconfors	--|---⌫---|--|-|------|
queieauoieettozlib ien s	--|-|----|-|--|-|-⌫---⌫|
car ilniauo it plusdesmiens	--|-|||---⌫-|---|--|----|
liuallez entantmoutpetit	-|-----|-----|---|----|
mereli dit	---|-|--|
aman gier faitilme done z	|---⌫---|---|-|-|----⌫|
n e s ai decoima raissone z	-⌫|-⌫-|-|--||-⌫--------⌫|
mais moutiroie uolantier s	---|---|----|---------⌫|
qui faitl escheuali ers	--|---|-⌫-|-------⌫--|
e t gie raic uiqu il	-⌫||--⌫--|-⌫---|-|
lameretantcom illiloist	-|---|---|--|-|-|----|
auplusquele	-|---|-|--|
pue tlodetient	---⌫|-|------|
et sili aparoille nient	-|-|-|--------|----|
deche neuaz gross e	-|---⌫----|-----⌫|
etbraiesfaitesa laguise	-|-----|-----||-|----|
deg ualoiso lenfait	-|-⌫-----||--|---|
braiesetchaucesce	-----|-|------|-|
etsi otcote	-|-|-|---|
et ch aperon	-|--⌫-----|
