COUS T UMES	----⌫-⌫---|
p arface etq uenousp ui ssonsaquerre	-⌫-----|-|-⌫-|---|-⌫--⌫----|------|
parlapeine	--|-|----|
etpa r le trauailquenous i	-|--⌫|-|------|--|---||
metronsauonsnous	------|----|---|
commenciéen t el m anie re quenous	---------|-|-⌫-|-⌫----⌫-|--|---|
entendo ns a	-------⌫-||
co nfe rmergrantpa rtie de	--⌫---⌫---|----|--⌫---|-|
parle siugem ens quiontesté	--|--⌫|-----⌫--|--|--|----|
fet en nos tansenladite	--|-|--|---|-|-----|
Cler montetl	----⌫---|-||
a utr e part ie par clersusages etpar clerescous tu mes	-⌫---⌫|----⌫-|--|----|-----|-|--|-----|----⌫--⌫--|
acoustumeesdelonct ans	----------|-|---|-⌫--|
pesiblementetla utre	----------|-||-⌫---|
partie d es casdout eu s enladiteco nt eépar	-----|-⌫-|--|----⌫--⌫|-|-----|--⌫--⌫--|--|
le iuge mentd esc hastele ries	-|----⌫---|-⌫-|-⌫-------⌫---|
uoisi nesetlautrepartie	-----⌫--|-||----|-----|
parledroitq ui	--|-|----|-⌫-|
est c ommunsatouso uroiaumede	--|-⌫-----||---|-⌫|------|-|
Etsaucuns a faim de sauoirqui	-||-----||---|-|-----|--|
cilf uquicommen ç acestl iurenous	--|-⌫|--|------⌫--⌫|---|-⌫---|---|
ne nous u oul on s nommerdeuantlafin du	-|---|-⌫---⌫--⌫|-----|-----|-|--|-|
Dieusdonnequenous lemetonsa fin	----|----|--|---|-|-----||--|
C araucune f ois est li bonsuin sre fusé squanton	-⌫-|-----|-⌫--|--|-|---|---⌫|--⌫-----⌫|----|-|
n omme leterroirla	-⌫---|-|------|-|
ouilcrut pource	-|-|---|---|-|
croitpasqueteuster ro irs puisttel	----|--|--|---|---⌫--⌫--|----|--|
u in po rter	-⌫-|--⌫---|
etauss i nousdout onsnousse	-|----⌫|---|----⌫--|---|-|
lensauoit sitost nost renon	|-|-----|-|---|----⌫-|--|
quepo urlepetitsens quiestennou s nostre	--|--⌫-|-|----|---|--|--|-|---⌫|-----|
euu ren en fust meinsprisiee	---⌫-||-|---|----|------|
Me spo urcequenousu eonsuserseloncl es	--⌫|--⌫-|-|--|---|-⌫---|---|-----|-⌫-|
cou stumesde s	---⌫-----|--⌫|
te rreset less ierlesancienneslois	--⌫---|-|----⌫--|--|--------|---|
pourl e sc oustumes il	---|-⌫-⌫|-⌫-------|-|
e tas autresaussiqueteuscou stu mes	-⌫|-|-----|----|--|---|---⌫---⌫--|
quimaintenantsont	--|---------|---|
useessontbonnesetpou rfitable sa es c rire	----|---|-----|-|---⌫--------⌫||--⌫-⌫---|
et aenr egistrer s iqu	-||---⌫-------|-⌫|-|
eless oientmaintenue ssansc hangier	---|-⌫----|---------⌫|---|-⌫------|
des or e en auantqueparlesm emoi resqui sont	--|--⌫|-|----|--|--|--|-⌫----⌫--|--|---|
e scoulou rianse tparlesuie s asg ensqu i sontcourtes	-⌫-------⌫----|-⌫|--|--|---⌫|-|-⌫--|--⌫|---|------|
cequinestescritest	-|--||--|-----|--|
tostoubli é	---|-----⌫-|
Etbien i perta ce quel e s	-|---||---||-|--|-⌫-⌫|
coustumesso ntsi	--------|--⌫-|-|
diu erses que l ennepourr oit	---⌫----|--||-|-|-----⌫--|
pastrouuer	--|------|
ou roiaumede	-|------|-|
Fra nce de us	---⌫--|--⌫-|
chasteleries qui de	-----------|--|-|
t o us c as	-⌫-⌫-|-⌫-|
usas sentd u ne	----⌫---||-⌫-|
meismecoustume	-----|-------|
nedoiton paslessiera	-|---|-|--|------||
apre ndre et a	----⌫---|-||
r etenirles coustumesd upaïsou lenestestans	-⌫-----|--|--------|-⌫|----|-||-|--|-----|
etdemourans ca r pluslegierementena prent onet re ti ent	-|--------|--⌫|---|----------|-|-⌫----|-|-|--⌫--⌫--|
o n le sautre s	-⌫|--⌫|-----⌫|
etmei smementde pluseurs cas eless	-|---⌫------|-|-------|--|---||
entresieu e ntenp luseu rs chasteleries	---------⌫-⌫-|-|-⌫-----⌫-|-----------|
Ettoutaussicommecilqui	-|---|----|----|--|--|
f ere laqu ele	-⌫--|----⌫--|
puetferesanslaide	---|---|---||---|
F r a nce et n a pastantdeseruiuers	-⌫-⌫-⌫--|-|||--|---|------|---|
le roiquil nedoutastaf ail l ir	-|--|-|-|-|------||-⌫---⌫-⌫-|
lereq ueroit sansaide q uie rtu olentie rs laide et	-|---⌫-----|---|---|-⌫---⌫-|-⌫-------⌫-||---|-|
labegniuolenced e ceusdesonc onseil pou rli	-|-----------|-⌫|---|-|--|-⌫-----|---⌫|-|
aidieraprier	-----||----|
enuersleroi	-----|-|--|
tout a ussi nousestilmes tiers	---|-⌫---|---|--|-|---⌫----|
et plussanscompar o isonque	-|---|---|------⌫-⌫---|--|
nousappel onsennostre	---|-----⌫--|-|-----|
aide ceuset cele s quisont	---|---|-|----⌫|--|---|
enla compaignie l e	-|-|---------|-⌫|
Roidep aradispour n ous	--|-|-⌫-----|---|-⌫--|
aidiera p rierle	-----||-⌫---|-|
Seigneu r du ciele td e	-------⌫|-|---|-⌫|-⌫|
Sien apelons	-|-|------|
Mariequimieus	----|--|----|
et plushardiementueutprierson	-|---|---------|---|----|--|
Fil quen us	--|--|-⌫-|
a u tre s etap restous	-⌫-⌫---⌫|-|--⌫--|---|
sain s etto utessaintestous ensemble et	----⌫|-|--⌫---|------|---|-------|-|
chascun parsoienlaqu ele pr ierenousauons	------|--|--|-|----⌫--|--⌫---|---|----|
f iance qu e	-⌫----|--⌫|
Di eusnous aïtencestee uureet entout esnos	--⌫--|---|---|-|----|-⌫---|-|-|----⌫-|--|
aut reseuures	---⌫--|-----|
Sicom mencer ons	-|---⌫------⌫--|
desore mesnostreliureenlamanierequien s u it	--|--|--|-----|----|-|-|------|--|--⌫-⌫-⌫-|
Cifautliprologues de ce liure	-|---|-|--------|-|-|----|
Ci comme nce la diuision decestliure	-|-----⌫--|-|-------|-|---|----|
P ourcequec eseroit anieusechosea ceu s	-⌫--|-|--|-⌫|-----|------|----||---⌫|
qui u o urro nt rega rder en cestliuree n	--|-⌫-⌫----⌫-|----⌫---|-|---|----|-⌫|
aucunlieuquileursoitconuenablesa	----|---|--|---|---|----------||
cequ ilauront afai re pourausoupour	-|-|-|-----||---⌫-|---|--|-|---|
l euramisd e cherchiercestliu re	-⌫--|---|-⌫|--------|---|---⌫-|
de chiefen chie fnousen	-|----|-|----⌫|---|-|
ces te partied euiserons br iementetnomme ronst ous	---⌫-|-----|-⌫--------|--⌫-----|-|-----⌫---|-⌫--|
les chapi tresqui en ce st	--|-----⌫---|--|-|--⌫-|
liure sero nt contenuet	----|----⌫-|------|-|
tout e n ordr e sico mme ilc herronte t lesseingnerons	---|-⌫|----⌫|-|--⌫--|-|-⌫------|-⌫|--|----------|
pa rlenomb r een ceste	--⌫|-|----⌫-⌫|-|----|
diuis ionetd ece meismeseing nous seingner ons	-----⌫--|-|-⌫|-|-----|----|---|--------⌫--|
chascuncha p itre laou ilcherra si quepar ce	------|---⌫-⌫---|-|-|-|-----|-|--|--|-|
pourra lentrouuerlegierementl ama tiereseurlaquele l	-----||-|------|----------|-⌫|--⌫----|---|------||
en uo urraestudier	-|--⌫---|-------|
Sachent tu itquencest liuresontcontenu	------|--⌫-|-|-|---|----|---|------|
L XX.chapitrequipa rolent des	-⌫--|-------|--|--⌫-----|--|
matieres quiensi euent.I. capitulum	-------|--|----⌫----|--|--------|
lo fficeas	|-⌫----|-|
b a illisq uel i ldoiuentestreetcomment	-⌫-⌫----|-⌫--|-⌫|------|----|-|------|
i l se doiuentmainten ir en leur offi c e	-⌫|-|------|-------⌫-|-|---|----⌫-⌫|
Parole desemonseset dessemoneeurs	-----|-|-------|-|--|---------|
etde ceus qui n	-|-|---|--||
obeï ssentpasaus semonsesetcommentl en doit	-----⌫----|--|--|-------|-|------||-|---|
semo nre .	----⌫--||
Paroled esessoinesetdescontremansq uelenpuet	-----|-⌫-|-------|-|--|---------|-⌫-||-|---|
f ereparcou stume.	-⌫--|--|---⌫----||
Parole desp rocureeurse tdesestabli spourautrui etqui	-----|--|-⌫---------|-⌫|--|-------⌫|---|-----|-|--|
puetf ereprocureeuret lesqu eles procur acion s ualent	---|-⌫--|---------|-|-----⌫---|------⌫-----⌫|-----|
et lesqueles nonetcomm e ntlipro cureeu rdoiuentouurer	-|--------|--|-|----⌫-⌫-|-|---⌫------⌫|------|-----|
offi ce.u. cap	----⌫-|--|--|
Paroledesauocascommentil	-----|--|-----|------|-|
doiuentestrerece u et	------|----|----⌫|-|
commentilsed oi uent maintenir	------|-|-|-⌫--⌫---|--------|
e nle ur office	-⌫|--⌫-|-----|
et liquel pueent estr ed e bo ute ́ .	-|-----|-----|----⌫|-⌫-⌫--⌫---⌫||
Paroledesdemandescomm en tl endoit	-----|--|-------|----⌫--⌫||-|---|
de man depa rdeuantiustic eetdes	--⌫---⌫-|--⌫|-----|------⌫|-|--|
requestese t des denonciacions et	--------|-⌫|--|------------|-|
e n quelcasiure ceou ignorance pu et es cuseret	-⌫|---|--|----⌫-|-|--------|--⌫-|--⌫----|-|
d eserementde	-⌫|-------|-|
Parolede s def ensesqu eli defenderespuetmetre auantcontre	-----|--⌫|---⌫----|--⌫|-|---------|---|----|----|-----|
les demandesqui li	--|-------|--|-|
sontfete squeli clerc a pel en t	---|----⌫|--|-|----|-⌫---⌫--⌫|
exc epcionsetdesr eplicacions et des	---⌫------|-|--|-⌫----------|-|--|
n ian ces.	-⌫---⌫--||
Parolede ceusquiu ienent	-----|-|---|--|-⌫-----|
tr optarda leurdema nde	--⌫-|---||---|----⌫--|
fereet deq uel tanst eneur e pesiblesoufist en	---|-|-|-⌫--|---|-⌫-----⌫|------|------|-|
deman dedemuebl eetdequel ta nseneritage	-----⌫-|-|-----⌫|-|-|---|--⌫-|-|------|
Paro led es casou iours deueuea partientet	----⌫-|-⌫-|--|-|----|-|---|-⌫-------|-|
commentlendoitba rroier en cour tl aie	------||-|---|--⌫-----|-|----⌫|-⌫--|
etu euedoitestre moustreeetque lestesmoing	-|-⌫--|---|----|-------|-|--|--|-------|
aientiourdaui sementsil le requi e rent	----|---||---⌫-----||-|-|-----⌫-⌫---|
Paroledescasdes queuslicuensde	-----|--|--|---⌫----|-|----|-|
Cl ermont n est pas tenu sare n drelaco u rt	--⌫-----||--|--|----⌫||--⌫-⌫--|-|--⌫-⌫-|
a s eshommesainçois	|-⌫-|-----|-------|
l en demeure laconnoissa ncep arr eso ndesouueraineté .	|-|------|-|---------⌫--|-⌫-|-⌫---⌫|-|------------||
Par ole desca s des queus l a connoissanceapart ien ta sainte	---⌫--|--|--⌫|---⌫----|-⌫|-----------|-----⌫---⌫||-----|
Egl iseetdesqueusa l acourt	---⌫--|-|-------||-⌫|----|
lai e etenquelc as l u nedoit	---⌫|-|-|---|-⌫-||-⌫-|---|
autre etde ladisference quies t entrelieu	----|-|-|-|---------|--|--⌫|----|---|
s aintet lieu relig i euset	-⌫---|-|---|-----⌫-⌫--|-|
dequelcass ainte	-|---|--|-⌫----|
Eglise nedoitpasgarantiretdelapr ise	-----|-|---|--|-------|-|-|-|--⌫--|
desclercs.	--|-----||
Paroledestes tamensli quel ua lentetliquel	-----|--|---⌫-----|--⌫---|--⌫---|-|-----|
l e npu e tle ssieren	|-⌫|--⌫-⌫|--⌫----|-|
testamentetcomment l enpuet debatre testament ou	--------|-|------||-|---|------|--------|-|
apetic ier etqu elenles	------⌫--|-|--⌫||-|--|
faceten ir pou rle pourf itd es	---|---⌫-|---⌫|-|-----⌫-|-⌫-|
amesetcomment li exec uteurdoiuen t ouurerd esexecucionse t	---|-|------|-|----⌫----|------⌫|-----|-⌫-|---------|-⌫|
de fere testament.	-|---|--------||
Par ole desd oua irescomme ntildoiuentestredeliuré	---⌫--|--|-⌫---⌫---|-----⌫-|-|------|----|-------|
asfamesetcommenteleslesdoiuentten iret	-|----|-|------|---|--|------|---⌫-|-|
commentelesdoiuentpartiraprès	------|---|------|-----|-----|
lamor tdeleur	-|---⌫|-|---|
seigneurs .	--------||
XIIII.c ap	-----|-⌫-|
P a role d esd esce ndemen se tdes	-⌫-⌫---|-⌫-|-⌫----⌫------⌫|-⌫|--|
escheoitesdecosté etde	---------|-|-----|-|-|
e ritage etde rap orter	-⌫-----|-|-|---⌫----|
etd esdonsquinefontpas	-|-⌫-|---|--|-|---|--|
asoufriret defere hommage	|------|-|-|---|------|
Parole des ba us	-----|--|--⌫-|
e td esga rdesdesenfans sousa agiés	-⌫|-⌫-|--⌫---|--|-----|-----⌫-----|
e t dela disferencequi est e ntre	-⌫|-|-|---------|--|--|-⌫---|
bailet gardeeta quel	---|-|----|-||---|
ta nsenfantsontaag iéparla c oustume de	--⌫-|-----|---|---⌫--|--|-|-⌫------|-|
Bea u u o isins.	---⌫-⌫-⌫-⌫----||
P arol edesenfanssousa agiéscomment et en quelcasil	-⌫----⌫|--|-----|-----⌫-----|------|-|-|---|--|-|
pueentperdreougaaignieretco mm entil	-----|-----|-|--------|-|--⌫--⌫--|-|
pueentrapelerle urdeceuance etcom mentleuraagesse	-----|------|--⌫-|--------|-|---⌫---|---|----|-|
puetprouue retcomme ntpartie se puet	---|------⌫|-|-----⌫-|-----|-|---|
ferecontreaus.	---|-----|--||
Xu II. cap	--⌫--|--|
Paroled es	-----|-⌫-|
tuteurs qui sont bailliéase n fans sousaagiés pou r	------|--|---|-------|-|-⌫-⌫---|----------|---⌫|
garde retpour aminis t r er	-----⌫|-|---|------⌫-⌫-⌫-|
leur besoignes.	---|--------||
X uIII.c ap	-⌫----|-⌫-|
Paroleli que loirsontloiauspourtenireritages et liqu el	-----|--⌫---⌫|--|---|-----|---|----|-------|-|----⌫-|
en pueent estredeboutép arbastard iee tcomment	-|-----|----|-------|-⌫-|-------⌫-|-⌫|------|
bastardiepuetestre prouueeetliquelmari a geso ntbonet	--------|---|----|------|-|-----|----⌫-⌫-|--⌫-|--|-|
liquelnon.	-----|--||
Par oledesde g résdelignage sparquoichascunspuist	---⌫--|--|--⌫-⌫---|-|-------⌫|--|---|-------|----|
sauoircombiens ip arentlisontprochienou	-----|------|-⌫|-⌫----|-|---|-------|-|
loingtien carce pueta u oir mestie rpourlesgue rres	--------|--|-|---|-⌫-⌫--|------⌫|---|--|---⌫---|
rescoussesderitag e .	---------||------⌫||
Par oledec eus	---⌫--|-|-⌫--|
qu iti enent	--⌫|--⌫----|
e ritagesouautreschos espour causede bonne foi	-⌫------|-|-----|----⌫-|---|----|-|----|--|
co mmen tildoiu en testre gardé dedomageet	--⌫----⌫|-|----⌫--⌫|----|-----|-|-----|-|
co mme nt ci l qui a to r t	--⌫---⌫-|--⌫|--||--⌫-⌫|
et parmauuese cause tienent l	-|--|------|----|------||
autrui chosedoiuent estre	-----|----|------|----|
pugni etcom ment cer tainesparties nese	----|-|---⌫---|---⌫-----|------|-|-|
pu eent fere en	--⌫---|---|-|
a u cunscas .	-⌫-⌫---|--||
Parol ed ecom paignie etcom mentcompaig nie	-----⌫|-⌫|---⌫------|-|---⌫---|-------⌫--|
sefet parcoust umeet comme nt len	-|--|--|-----⌫--|-|-----⌫-||-|
puetperdree t gaaignier	---|-----|-⌫|--------|
encompaigni eetcom mentcompai g niefa ut e t commentl	-|---------⌫|-|---⌫---|------⌫-⌫--|--⌫-|-⌫|------||
enpuetost erenfans	-|---|---⌫-|-----|
horsde b ail.	---|-|-⌫--||
Paroled autres	-----||-----|
ma nieres de compaigni esque l enapel e com pa igniesd e ri tage	--⌫-----|-|---------⌫-|--||-|----⌫|---⌫--⌫-----||-⌫--⌫---|
lesqueles sepueent	--------|-|-----|
partiret le squ e les n onetcommentl endoit ouu rer	-----|-|--⌫---⌫-⌫--|-⌫-|-|------||-|---|---⌫--|
enteuscompaig nies .	-|---|-------⌫---||
XXIII .cap	-----⌫|--|
Par ole queuschoses	---⌫--|----|-----|
so ntmu ebleet qu eus	--⌫-|--⌫---|-|--⌫--|
chosesso nt	-----|--⌫-|
eritage selon c l aco ustu mede	------|-----⌫|-⌫|--⌫----⌫-|-|
Beauuoisins.	----------||
XXII II.cap	----⌫--|--|
Par olequel choseestcoustumeetquel cho se	---⌫--|---|----|--|-------|-|---|---⌫-|
est usageetdeladisferenceq uiestentre coustume	--|----|-|-|-|---------|-⌫-|--|----|-------|
etusage et liquelusage ualent	-|----|-|-----|----|-----|
et liq u elnon et	-|---⌫-⌫-|--|-|
delessierlat errepour lecens	-|------|-|-⌫---|---|-|---|
ed ef ices.	--⌫--⌫---||
Parol e desc heminsde quel largec eildoiuentestre	-----⌫|--|-⌫-----|-|---|------⌫|-|------|----|
etcomment ild oiuen t estremaitenu	-|------|-|-⌫-----⌫|----|------|
san se mpirieretsansestr e cier eta quila	---⌫|-⌫------|-|---|----⌫-⌫---|-||--|-|
iust ic eenapartient etdu conduit aspelerins	----⌫--⌫|-|--------|-|-|------|-|-------|
etasmarc h eans et de cequi	-|-|----⌫-⌫---|-|-|-|--|
est trouuéeschem inset des	--|------|-|----⌫--|-|--|
croiset desa utresaaisemenscommuns.	----|-|--|-⌫----|--------|------||
X XuI. cap	-⌫---|--|
Par ole desmesures etdes	---⌫--|--|------|-|--|
poisetcommentl	---|-|------||
peseretmesureretcommentc ildoiuent	----|-|------|-|------|-⌫-|------|
estrepugni qui	----|----|--|
mauuesementmesurent.	----------|-------||
XXu II.cap	---⌫--|--|
esplois qui	------|--|
pueent uenirasseigneurs d eserita ges qui	-----|----|-|--------|-⌫-|-----⌫--|--|
dausmu euen t sicommede racha s ou de	|--|--⌫----⌫|-|----|-|-----⌫|-|-|
u entesetdeprisderi tage	-⌫----|-|-|---||---⌫---|
XX uI II. ca p	--⌫--⌫--|--⌫|
Paroleco mmentondoitseruirson	-----|--⌫----|-|---|-----|--|
seigneurderoncide seruicepar resondef ief	-------|-|----|-|------|--|----|-|-⌫--|
et en quel	-|-|---|
damageilson ts i l	-----|-|---⌫||-⌫|
neseruentsicomme ildoiuent.	-|------|-|----|-|------||
Par olede sseruicesq ui sontf esparlouierou	---⌫--|--⌫|-------|-⌫-|---|-⌫-|--|-----|-|
parmande mentouparuole nté	--|-----⌫---|-|--|----⌫---|
e t desco ntes as seria ns et desautresseruices	-⌫|--|--⌫---|-|-----⌫-|-|--|-----|-------|
en fet par resondefief	-|--|--|----|-|---|
et der ed ema nderarrieresceq uel en atrop	-|-|-⌫--⌫---⌫---|-------|-|-⌫-||-||---|
Paroledes mesfès	-----|--|------|
e tqueluenian cedoit estre p risede chascunmesfet	-⌫|---|------⌫-|---|----|-⌫---|-|------|-----|
et que usamendes	-|---⌫-|------|
so nta uolentéetdes bonnagesetde sbaniset	--⌫-||-------|-|--|-------|-|--⌫|----|-|
desfaustesmoin set com bien ga gedoiue ntestregardé	--|---|-------⌫|-|---⌫---|--⌫-|-----⌫-|----|-----|
aliancesetde quelcas l en sep asse	-------|-|-|---|--||-|-|-⌫---|
pars o nserement	--|-⌫-⌫|-------|
etdequoilenes t	-|-|---||-|--⌫|
tenus arendreaau t ruiso ndamag eet de	----||-----||--⌫-⌫--|--⌫|-----⌫|-|-|
mene rs a prise p a rautr u iseigno urie	----⌫|-⌫|----|-⌫-⌫|----⌫-⌫|------⌫---|
qu isontap eléouempris onnépourcasde	--⌫|---|--⌫---|-|------⌫----|---|--|-|
crimeetdeceus	----|-|-|---|
quienm en entla	--|-|-⌫--⌫--|-|
la fille d	-|----||
au truides	--⌫---|--|
laisdisetdesm el lees.	---|--|-|--|-⌫--⌫---||
XXXI. ca p	----|--⌫|
Par olede slarrecinsapersetde ceusquiso nt	---⌫--|--⌫|--------|----|-|-|---|--|--⌫-|
endouteet comm entla rrec ins	-|----|-|----⌫--|--⌫----⌫--|
XXXII. ca p	-----|--⌫|
P aroledenouuelede ssaisineetdef o rcee tde	-⌫----|-|------|--⌫-------|-|-|-⌫-⌫--|-⌫|-|
nouuel tourbleet co mment	-----|------|-|--⌫----|
l enendoitouurer	|-|-|---|-----|
e tdel obeïssance	-⌫|-||----------|
o st esdoi tasonse igneu r .	-⌫--⌫-|---⌫||--|--⌫-----⌫||
XXXIII.cap	------|--|
Paro l e quecequiestfetparforce	----⌫-⌫|--|-|--|--|--|--|----|
tricherie ou	--------|-|
par tropgrant pa o urnefetpa s	--|---|----|--⌫-⌫-|-|--|--⌫|
XXXIII I. c ap	------⌫-|-⌫-|
Paroledesconuenances e tles quelesfont ateniretlesqueles	-----|--|----------|-⌫|---⌫-----|---||----|-|--------|
nonet d e s marchiésetdes	--|-|-⌫-⌫|--------|-|--|
fermes etdes chosesqui sontobligi es sansconuenance	-----|-|--|-----|--|---|------⌫-|---|---------|
et comme nt pai e seprueuesans tesmoinge tquel	-|-----⌫-|---⌫|-|-----|---|-------|-⌫|---|
chos eestforceet de sfraudes.	----⌫|--|----|-|--⌫|------||
Par olede soio bligier par letr eset comment onles	---⌫--|-|--|-⌫------|--|----⌫-|-|------|-|--|
doitferet enir et commentl	---|---|-⌫---|-|------||
enpuetdire encontreetla formede fere	-|---|---|-------|-|-|----|-|---|
Parol edesc ho ses quisontbailliesagard ere tcomment	-----⌫|--|-⌫--⌫--|--|---|-------||----⌫-|-⌫|------|
onlesdoitgarder etre ndreaceusquiles	-|--|---|-----|-|--⌫---||---|--|--|
baill i er ent .	-----⌫-⌫--⌫--||
XXXuII.ca p	------|--⌫|
Paroledesc hoses	-----|--|-⌫----|
quis ontprestees et commentc il	--|-⌫--|-------|-|------|-⌫-|
quilesempr untent	--|--|----⌫-----|
en pueen t user.	-|-----⌫|---||
XXXuI II. c ap	-----⌫--|-⌫-|
chosesbaillies parlouier	-----|-------|--|-----|
f ermesetdes engage me n s	-⌫----|-|--|------⌫--⌫-⌫|
XXXIX . cap	-----⌫|--|
