misireno ble sle leons	-|---|--⌫---⌫|-|----|
lapressedero nt etdepart	-|-----|----⌫-|-|-----|
deuantloroicome	-----|-|--|---|
s aienolla puis s i a	|-------|---|-⌫||
rois de usle filz	---|--⌫-|-|---|
sei ntemarie	---⌫--|----|
uos gar t et uostreconpaignie	--|---⌫|-|-----|---------|
fo rmentsap aroleenarg ue	--⌫----|-|-⌫----|-|---⌫-|
etneporquants i le salue	-|---------|-⌫|-|----|
m eu z uousistes treaillors toz nuz	-⌫--⌫|------|--⌫--|------|--|--|
rendis ticessaluz	------⌫|---|----|
libar on sonttuitenre pos	-|---⌫-|---|---|-|--⌫--|
saleniatantos	---||||---|-|
quiifacebruitnen oisse	--||---|----|-|-⌫----|
liroisparlarenartsaqoise	-|---|----|-----||-----|
puis li a ditparfelonie	---|-||--|--|------|
ne uos ren iemie	-|--|--|-|--|
rousennu i o sde	---|----⌫-⌫-⌫|-|
einz rema ndroiz anchois	---|----⌫-----|------|
einzque isoiezdecesto stage	---|--|-----|-|---|-⌫----|
nuslai roisu oscequ it bon	--|---⌫---|-⌫-|-|--⌫-|--|
quan testoiesdedens t ali ce	----⌫|------|-----|-⌫|--⌫-|
nequi do ies mes a	-|---⌫--⌫--|--||
tot le m o n tquidiezen gignier	--|-|-⌫-⌫-⌫|------|--⌫------|
tantcome tornataroele	---|---|----|-|----|
nosa serui d elafauele	--||----|-⌫|-|-----|
m esme in te fo i sei	-⌫-|--⌫--⌫-|--⌫-⌫|-|
que npresgranti oie uientgrantire	-|-⌫----|----|-⌫--|----|----|--|
noeluentebrise	---|----|----|
tantuapota	---|-|--||
orquit iemoltsirerenart	-|---|-|---|---|-----|
est brisiezdeuos trep art	--|------|-|---⌫--|-⌫--|
liroi sparla renartesco te	-|---⌫|----|-----|----⌫-|
et a di t quesagen t lottote	-||--⌫|--|-|---⌫||-|---|
renartfa it	-----|--⌫-|
senbles bienhome debona ire	------|---|---|------⌫--|
bienper ta te zqeu sestlipo z	---|---⌫||--⌫|---⌫|--|-|--⌫|
renartestplusen flésqu eboz	-----|--|---|--⌫----|--⌫|--|
un quesnulior ne fe is bien	--⌫---|--|--|-|--⌫-|---|
renartmol taentoienging	-----|---⌫||-|--|-----|
porce que mas	--|-|--||-|
tant engingnié	---|---------|
estysen grint antc orocié	--|----⌫---|-⌫--|-⌫------|
etporec esttiebertl i c haz	-|----|--|------|-⌫|-⌫--|
partonenginfu	--|--|----|-|
pris aulaz	---|-|--|
etbruns li	-|----|-|
or sparmi legroing	--⌫|----|-|-----|
e lcesnedontos tasle cuing	-⌫|----|---|--⌫--|-|----|
tel g uerred on ten fer airendre	--|-⌫------⌫-||-|---⌫-|-----|
q ue as forchest en	-⌫-|-|------||-|
feraip endre	----|-⌫----|
renartsotmol tda fetemen t	-----|--|---⌫||-⌫-------⌫|
s irespond isefetement	-⌫|-------⌫|-|-------|
b au sires auueuo stregrace	-⌫-|---|-⌫---|--⌫---|----|
un quesne fuideceleestrace	--⌫---|-|--|-|---|------|
s egnorfacecontrere	-⌫----|---|-------|
necho seq uene doie fe re	-|---⌫-|-⌫-|-|---|--⌫-|
iesuiuostre hom etuo s misir e	-|--|-----|--|-|--⌫|-|---⌫|
deués cose dire	-----|---|---|
quie s tremepuiseanuis an ce	--|-⌫-⌫--|-|----||----⌫--⌫-|
mesbeausestes de te l pui ssa nce	--|----|----|-|--⌫|---⌫---⌫--|
qu oster m epoés de laterre	-|----|-⌫|----|-|-|----|
n e pui spa s soffri r u ostreguerre	-⌫|---⌫|--⌫|------⌫|-⌫----|-----|
moltparredot	---|--|----|
mes enemis	--|-----|
poisese gaime spris	----|-||-|--⌫----|
deri enquea uosap artiegne	-|--⌫-|--||--|--⌫-------|
me s non ei	--⌫|--|-|
pasdontm e	--|---|-⌫|
t el uosontfet le malente ndre	-⌫-|--|--|--|-|--|----⌫---|
etc on té	-|-⌫--⌫--|
pormoi entr eprendre	--|--|----⌫-------|
os eroientprouer	--⌫------|-----|
mencoingne poent iltrouer	---------|----|-|-----|
mesau uoirdiresaiiebien	--|-|---|---|--|-|---|
queieneientrep ris de rien	--|-||-|------⌫--|-|---|
iames prodomeniert amez	----|------||---|---|
li plusloiaus est plus blamez	-|---|-----|--|---|-----|
f ou ses tque	-⌫--⌫|--⌫|--|
me sditue ritez	--⌫|--|--⌫----|
plusors en	------|-|
sontdese rite z	---|----⌫----⌫|
et deie té a tort	-|-|--⌫--||---|
li menteorsont liplussort	-|------|---|-|---|---|
deuroitta n td esc o iure	------|--⌫-⌫|-⌫---⌫-⌫---|
q uenedoussiezape rc o iure	-⌫-|-|-------|---⌫--⌫-⌫---|
quant brun sl iorsl esot uenir	----|----⌫|-⌫|--|-⌫-|-|----|
duncnesepotplus atenir	---|-|-|--|---|-----|
einz sacheasoipartelair	---|----||--|--|--|--|
d ent orsongro ing etde	|---⌫-|--|---⌫--|-|-|
n e nremeist	|-⌫|------|
point entresesio es	----|----|--|--⌫-|
meseinsque	--|------|
ilsensoitostés	-||-|---|-----|
molt lion t batusle scoste s	---|-|--⌫|----|--⌫|-----⌫|
et debastons	-|-|------|
ensuss en est a recu luns	----||-|--||----⌫---|
renartlatenu	-----|||---|
po ruilein	--⌫|-----|
hasardietaareremein	-----|---|----|---|
fu i antsen uetalonge	--⌫-⌫--||-|--||----|
o tancois sofert pei ne	-⌫|-----|-----|---⌫-|
ei nsi ser ui renart mon	--⌫--|---⌫-|-----|--|
par les se insque lenquert en	--|--|--⌫--|--|--|----|-|
ap ressemistrenart	--⌫--|-|---|-----|
pas porsames ese	--|--|-|---⌫--|
quantuintau	----|---|-|
tr es pasdunerue	--⌫--⌫--||--|--|
unegrantransp ron e	--|----|-----⌫---⌫|
brunsecar medites	----||--|-|----|
se iestesmoinesou e rmites	-|-----|-----|-|-⌫-----|
et se mess ech anter	-|-|----⌫|--⌫----|
quantu ossigra nt coroneau ez	----|-⌫-|-|---⌫-|-----|--⌫-|
m oltparauésuermei lle che f	-⌫--|--|----|------⌫|-|---⌫|
re nart lifistitel meschef	--⌫---|-|---|---|------|
fetdan sbr unsonp leint	--|---⌫|--⌫-|--|-⌫----|
etla messengese c onpleint	-|-|-------|-|-⌫-------|
e leleu o lt be si er	-⌫-|-|-⌫-⌫-|--⌫--⌫-|
seuolt apaier	-|---|-----|
lesdenzi etaporlu icourer	--|---|-⌫--|--|--⌫|-----|
e nsila uolo it enconbrer	-⌫--|-|----⌫-|--------|
orentses e leso es	----|--|-⌫--|-⌫-|
arere sailliensoncrues	----|-----|-|--|----|
feso itgra n s deuerie	----⌫-|---⌫-⌫|------|
luipensouttr icheri e	--|------|--⌫------⌫|
meintetraiso n ailfete	-----|------⌫||-|---|
prendrelecuida	------|-|----|
ensoz haite	-|---⌫----|
eleesto iten foisa co mere	--|----⌫-|-|--|-|--⌫---|
e t e ll etenoitpor conpere	-⌫|-⌫|-⌫|-----|--|------|
porcedi qu il	--|-|-|-|-|
nest pasbeaus	|--|--|----|
la sec ontintcon	-|-|-⌫-----|--|
q ui sipo i l uoitnel doitpa scr oire	-⌫-|-|--⌫-⌫|---|-||---|--⌫|--⌫---|
mescro ire	------⌫--|
dam epintese restclamee	---⌫|----|-|---|-----|
quiestdemeinte ge nt	--|--|-|-----|--⌫-|
des aserordame copee	-|-⌫|----|---|----|
querenar t lauoitdescrope e	--|-----⌫||----|--------⌫|
etyy mo rtes desessor ors	-|-|--⌫---|-|--|---⌫--|
dontsis corsest engrantdolors	---|--|---|--|-|----|-----|
grant mal a fet	----|--||--|
ameinte g ent	|-----|-⌫--|
ian epo r orn e	-|-⌫|--⌫|-|-⌫|
n eldoit lenla issier aiugier	-⌫||---|--|--⌫-----||-----|
feloniesu engier	-------|-⌫-----|
licorb ausres ta cor t	-|----⌫--|---⌫||---⌫|
etdistquedr oit l isoittenuz	-|---|--|--⌫--|-⌫|---|----|
derenartquip rist sonformag e	-|-----|--|-⌫---|--|------⌫|
etapresfistsig r ant ut rage	-|----|---|-|-⌫-⌫--|--⌫---|
queolesd en z	--||--|-⌫--⌫|
le u oltsesir	-|-⌫--|----|
mes nenfis tpastots on plesir	--||-|---⌫|--|--|-⌫-|-----|
ci lsapercustquil le uoltpr endre	--⌫||-------|-|-|-|---|--⌫----|
sise n tornanel	-||-⌫|----|-||
uol tatendre	---⌫|------|
r enartquisetde	-⌫----|--|--|-|
tantes frumes	-----|-----|
li esr achayydes plumes	-|---⌫---|-|--|-----|
bienle cuidaauoirs opris	---|-|----|----|-⌫----|
pars oneng in getentrepris	--|-⌫-|---⌫--⌫|-|--------|
il disoitcequ ilauoit	-|-----|-|-|-|----|
me sd elu i	--⌫|-⌫|--⌫|
otmalem anlaie	-|---|-⌫-----|
neuosporroie pa s retr ere	-|--|------|--⌫|----⌫--|
lesmal leh onte	--|--|-|-⌫---|
l e contrere	-⌫|-------|
qu edan renartaf etail lors	--⌫|--|-----||-⌫-|---⌫---|
aysengr inetapluso rs	|------⌫-|-||-----⌫-|
ysengrins esta	-------||--||
moiclamés	--|------|
derena rtquit ant	-|----⌫-|--|-⌫--|
est blamez	--|-----|
qu esafeme	--⌫|-|---|
lia maumise	-||------|
etsorluiaasafo rc he	-|--|--|||-|--⌫--⌫-|
siuilm enteten tel manere	-|----⌫--|-|-|--|-----|
consorunea utrec hamberere	--|--|--|-⌫---|-⌫--------|
tozse zpe n s ezi sont	--|--⌫|--⌫-⌫-⌫-||---|
sedroitnenaitozsuihonis	-|----||-|-|--|--|----|
uei lque mag ent	---⌫|--|-|-⌫--|
dro it me couient	---⌫-|-|------|
queieliface	--|-|-|---|
danznoonausliuielsma st ins	---|------|-|----|--⌫--⌫--|
qui re setdeplussors	--|--⌫--|-|-------|
etqui molta	-|--|---||
se restcla mé s	-|---|---⌫---⌫|
quant elmessaie	----|-|------|
tramisd ema	-----|-⌫|-|
qui lmefeis t u e ni rrenart	-|-⌫|-|----⌫|-⌫-⌫--⌫|-----|
donclifi strena rtsigranth onte	---|-|--⌫-|----⌫-|-|----|-⌫---|
queiene nsaitenir leconte	--|-||-⌫|--|----|-|----|
oilaque rele	-|-|---⌫---|
de qoidanzroo nausl	-|--|---|---⌫---||
ceditqueparsa traiso n	-|--|--|--|-|------⌫|
lef i s tr eteni r	-|-⌫-⌫-⌫|-⌫-----⌫|
amuserl esotpar parole	-----|-⌫|--|--|-----|
ce lidist d elacooignole	-|-|---|-⌫|-|--------|
queuns u ileinslauoittendue	--|--|-⌫-----||----|-----|
li ezuneuo ie aest endu e	--⌫-|--|--⌫-||---⌫----⌫|
que iloc g isoitzzseint uaire	--|---|-⌫----|-|-----⌫----|
quiert ap elé seintelaire	--|--|--⌫---|----|-----|
e tbienentendrelia	-⌫|---|-------|-||
quiloc redrecentli	-|---|--------|-|
cilneso utpa s l	--|-|--⌫-|--⌫||
pensa qui ldeist uerite	----|-|-⌫|----|-----|
nese so utpasco nt re gard er	-|-|--⌫-|--|--⌫--⌫--⌫----⌫-|
rena rtquel endeu roit	----⌫-|--|-⌫-|---⌫---|
t antlifistp arengin	-⌫--|-|---|-⌫-|----|
q ue c ilti ntsapa roleauoire	-⌫-|-⌫-|--⌫-|-|--⌫---||----|
quetant sagesest re soloit	--|---|----|---⌫-|-----|
nusn estsisage snefoloit	--||--|-|----⌫|-|-----|
al abes sier	||----⌫---|
quili fist r endrele paage	--|-|---|-⌫----|-|----|
neueltla issier que il	-|---|--⌫-----|--|-|
aur esa cher	-|-⌫---⌫---|
estreintl a gorge	-------|-⌫|----|
quidesozlecolli	--|----|-|--|-|
ausi des t roitconnefqui	---|---⌫-⌫---|--|--|--|
ci lso mon t etsed etorne	--⌫|--⌫---⌫|-|-|-⌫-----|
mesrenartqu ipointnisoriorne	--|-----|--⌫|----|||-------|
e tquilamené	-⌫|--|||----|
l elai ssapendreparle c ol	-⌫|---⌫--|-----|--|-|-⌫-|
renart lirosque mal ful a rde	-----|-|--|--|--|-||-⌫--|
li distque de suignesfustg arde	-|---|--|--⌫|-----|---|-⌫---|
bi enlimastinsdescous	--⌫-|-|------|------|
desgardes fuaper ceus	--|-----|-|----⌫---|
o macu eset obar reaus	|----⌫-|-||---⌫----|
l iont bi en	-⌫|--|--⌫-|
aun ésesburaus	---⌫-|--|-----|
ilo con tta nt lelas	---⌫|--⌫|--⌫-|-|--|
que at erre lont a b atu	--||-⌫---||--|-⌫-⌫--|
n ebretnecrienene mu et	-⌫|---|-|---|-|-|--⌫-|
sinp l em entc ontenirl estuet	----⌫-⌫--⌫--|-⌫------||-----|
agra ntpei neenescapauis	|---⌫-|---⌫-|-|-----|--|
siconil diti e l	-|--|-|--|-⌫||
u os ple uis	-⌫-|---⌫--|
m oltd euroitlenrenart	-⌫--|-⌫-----|--|-----|
destru ire	------⌫--|
toz limondesle deuroit nuire	--|-|-----|-|------|----|
ba ill ist labonegent	--⌫---⌫--|-|---|---|
ian en p rend roieorneargent	-||-|-⌫----⌫---|-|-|-----|
que neldestrui e on elpende	--|-||-------⌫||-⌫||----|
t eusqueilse defende	-⌫--|--|-|-|------|
fetetui leini e	--|-|--⌫-----⌫|
sofertsafeloni e	-----|-|------⌫|
renar ttot ceauésuos fet	-----⌫|--|-|----|--|--|
qu ibauxenes tma l	--⌫|---|-|--⌫|--⌫|
toziorznos auésf et moleste	--|---|--|----|-⌫-|------|
deuoss ep leintchascunebeste	-|--|-⌫|-⌫----|-------|----|
mesparm a barbese	--|--|-⌫|----|-|
mon conseill etruis	--|------|-⌫|----|
q uantuosd e	-⌫---|--|-⌫|
cie scaperois	-|-⌫--------|
iamesb esten atrap erois	----|-⌫---||-----⌫----|
renartfaitil m olt	-----|---|-|-⌫--|
quin estoit p as es ba is	--||-----|-⌫-|--⌫--⌫-|
netrophastisen	-|---|-----|-|
sa paro l e	-|----⌫-⌫|
moltaestéa bone esc o le	---||----||---|---⌫-⌫-|
uers ter ret intenclinson chef	---|---⌫-|-⌫--|-----|--|---|
etf etsenblant	-|-⌫-|-------|
soi t g ref	---⌫|-⌫--|
bien sesottereetbien parler	---|-|--|---|-|---|-----|
bien res pondreet bie n aparl er	---|---⌫-----|-|---⌫|-----⌫-|
qua ntilen	---⌫-|-|-|
uoit e tleuet es e	---|-⌫|--|-|--⌫|
or licou ien t queilsetese	-|-|---⌫---⌫|--|-|-|---|
car iluoit lo roic or oci é	--|-|---|-|--|-⌫--⌫---⌫-|
s onchef a	-⌫-|---||
unpoiredrec ié	-|--|------⌫--|
il n ot enl ui rienque	-||-|-|-⌫-|---|--|
biense s ot	---|-|-⌫-|
garder e tdesfendre	-----|-⌫|--------|
i tan tadit qu i l li	-⌫---⌫||--|-|-⌫|-|
quil puisse respondreetad roit	-|-|-----|--------|-||-⌫---|
etque audroitdir es	-|--|-|----|---⌫||
ren art fetnobl esbien asdit	---⌫--|--|----⌫-|---|-|--|
ena uradesdit	-|-⌫--|-----|
o rdirasnosescote r on	-⌫|----|--|------⌫-⌫-|
dis bien nos nos teron	--|---|--|--|----|
renartres pont	-----|---⌫---|
sirebiendites	---|---|----|
uosauésdi t ne suipas qui tes	--|----|--⌫|-|--|--|---⌫--|
dessemo nsesq uem a ués	--|----⌫---|-⌫-||-⌫---|
que uosauésd esormoi tretes	--|--|----|-⌫---|--|-----|
detiebert etdelamesenge	-|------|-|-|-|------|
mes condibiencome ntquil	|--⌫----|---|----⌫---|-|
et delc orbelet	-|--|-⌫----|-|
qu epar moinefue scropee	--⌫|--|--|-|-|-⌫------|
tiebert nefis otrage	------|-|--|-----|
neau corbel desonformaie	-|-|-----|-|--|------|
orsqui seres tclamés	--|--|-|---⌫|------|
c er tes ator ten su ib lamés	-⌫--⌫--||---⌫|-|--⌫|-⌫-----|
oncneperdiparmoisapel	--|-|----|--|--|-|--|
nenefis ma laroinel	-|-|--|--⌫||-----|
monconper e ysengrins	--|------⌫|--------|
atort macoillentmesuo isins	|---||--------|--|--⌫----|
seruichea itoz	-------|-⌫|--|
po r bienferea	--⌫|---|---||
chascunleset n	------|-|--||
queteus ne pech equie ncort	--|---|-|----⌫|--|-⌫----|
m al egra cemadeus donee	-⌫--⌫|---⌫-|||---|----|
mesteusenest	--|---|-|--|
ma d estinee	-|-⌫------|
queiacelbien nesau rai fere	--|-|--|---|-|---⌫--|---|
ne metiegn ea contrere	-|-|-----⌫||-------|
certesmo ltaia cous	-----|--⌫-|-||---|
quiorm ont p orchacie ́cestplet	--|-||--|-⌫--------⌫|---|---|
uos men auésfet hui semondre	--||-|----|--|--|-------|
etiesuitozpr estde res p ondre	-|-|--|--|--⌫--|-|---⌫-⌫----|
au ioge men tdeuostrec ort	-|----⌫---⌫|-|-----|-⌫--|
yse ngrin acort	---⌫----|----|
deuantleroient reles autre s	-----|-|--|---⌫-|--|-----⌫|
et roonelslefilzleueltres	-|------|-|---|-|------|
lames engeettiebertli chaz	-|---⌫---|-|------|-|---|
etbrunsqui	-|----|--|
est degra nt p ocas	--|-|---⌫-|-⌫---|
dame rose te la	---|----⌫-|-|
etd amepi nte sauoisine	-|-⌫--|--⌫--|-|------|
tuitfont deuant loroilo rp leinte	---|---|-----|-|--|--⌫|-⌫-----|
etnia me sti erparolefeinte	-||||--⌫---⌫-|-----|-----|
ren art seseig neameinesclenche	---⌫--|-|----⌫-||---|--------|
b ien uo itquecin amestiergengle	-⌫--|--⌫-|--|-|||------|-----|
quelicouient	--|-|------|
quer aisonrende	--|-⌫----|----|
g ra ntpou raque	-⌫--⌫-|---⌫||--|
le n nelpende	--⌫|-||----|
sor n estrenartenmalliens	|-||--|-----|-|--|----|
moltserabonsrectoriens	---|---|---|---------|
seilsensp erte s en	-|-|---|-⌫---||-|
senz caperonset	---|------|--|
tail lier c ape	----⌫---|-⌫--|
de tan tespars sota cus er	-|---⌫--|---||-|-⌫---⌫-|
qapeine senset	||----||-|--|
n o blesque u os e stu is	-⌫-⌫---|--|-⌫-|-⌫-|-⌫-|
renart respon t ie	-----|------⌫|-|
l uo spl euis	|--⌫|--⌫---|
quedemesfetneme rec ort	--|-|-----|-|-|---⌫--|
d ontenuers	-⌫--|-----|
els ousse tort	--|----|---|
ildiron t cequeiluoudro nt	-|-----⌫|-|--|-|------⌫-|
iapor ce rienn eme	-|--|-|---|-⌫|-|
to udron t	--⌫-----⌫|
se uos plestquimis siresestes	-|--|----|--|--|----|----|
molt su i so r dizde plusor sbestes	---|--⌫|--⌫-⌫--|-|------⌫|-----|
a telaiportégrant onor	|--|-|-----|----|---|
quipuis m afe tgrantdesonor	--|---|||--⌫|----|------|
qu elicorsn estp as mi ens	--⌫|-|---||--|-⌫-|--⌫--|
totes u o iesueintra biens	----|-⌫-⌫--|------|----|
onquesder iensnem entremis	-----|-|-⌫---|-||-------|
porqoid ou sseestre enemis	--|--|-⌫--⌫--|----|-----|
dant y s engrin	---|-⌫-⌫-----|
neonquesparla memonpe re	-|-----|--||-⌫-|--|--⌫-|
asafeme ne quisfolie	|-|---|-|---|----|
si lamolt por	-|||---|--|
moi asaillie	--|-------|
toten sui iep res	--|-|--|-|-⌫--|
de des fendre	-|---⌫-----|
sen usm en uoloitrie nent reprendr e	-|-⌫-||-|-----|---⌫|---⌫--------⌫|
ieluosdi biensenzau trefaille	-||--|-|---|---|--⌫--|-----|
iuiseoparbataill e	----||--|-------⌫|
yseng rines tsaill is e nplace	-----⌫--|--⌫|-----⌫-|-⌫|----|
p ri eleroinelidesp l ace	-⌫--⌫|-|--|-|-|----⌫-⌫--|
se sa d roit ureu e l tprouer	-|-|-⌫----⌫--|-⌫-⌫-⌫|-----|
totsen sm encoigneco ntro uer	--|---⌫|-⌫-------|--⌫----⌫--|
noblescomandequeil	-----|------|--|-|
ni ac eliquelcontre die	|||-⌫--|--||------⌫--|
renartdity sengrinentent	-----|--|-⌫------|-----|
ie sui cilquisondroita tent	-|--|--|--|--|----|-⌫---|
anui sq uetu m	----⌫|-⌫-|-||
auo nscaiensre tr ai s	---⌫-|-----|--⌫--⌫--⌫|
nemesonte ncoramendé	-|-|---|-⌫---|------|
moltaseinz	---|-|---|
fetbestespener	--|-----|----|
qa cort tepou stamener	||---|-|---⌫-|-----|
etde iounesetde	-|-|-----|-|-|
en asasezpor	-|-|---|--|
porceulsquidet oiclamorfont	--|----|--|-|-⌫-|-----|---|
etquici enp res	-|--|-|---⌫--|
toies t ont	--|--⌫-⌫--|
pormoi quepa rtoisui	--|--|--|--⌫|--|--|
cestplet soit	---|---|---|
parla u eritemenirai	--|-|-⌫----||-|---|
iaseie pui s nen	-|-|-|---⌫||-|
qu ei e nendietotle	--⌫|-⌫||-|--|--|-|
seiel epuis aperceuoir	-|-|-⌫|---|---------|
ienai mestier	-||-|------|
de tre realonge	-|---⌫-|-----|
nedecontrouer ci	-|-|--------|-|
men coigne	---⌫-----|
siquegarant en trouerai	----|-----|-|-------|
de tr aison	-|--⌫----|
te prouerai	-|-------|
etmosterai	-|-------|
etfelonieet traiso n	-|------|-|------⌫|
bienenuoudrai lacaison	---|-|------||------|
set enuo loies e scondire	-||-|--⌫----|-⌫-------|
renartresp ont bien dit auez	-----|----⌫--|---|--|---|
or ditescomentle saués	-|----|-----|-|-----|
fet ysen grinie luosdirai	--|----⌫---|-||--|----|
i a mot neuos	-⌫|--|-|--|
mesconpereses tesenloi	--|-------|--⌫--|-|--|
si mauésmenéabesloy	-||----|----||-----|
plus dey yfois qu e ien	---|-|-⌫|---|--⌫|-||
mei nte besteaués fetdolente	---⌫--|----|----|--|------|
bieno n tplussorsaperc eu	---|-⌫-⌫|-------|-----⌫-|
que meinte	--|-----|
foismasdecou	---||-|----|
orsai bien s ecortnemef aut	-|--|---|-⌫|---|-|-|-⌫--|
que tuene suenuausaut	--|-|-|-⌫|---|-|---|
moltai port oimaulsendurez	---|-|--|-⌫-|----|------|
meintefoizten es pariurez	-----|---||-|-|-------|
de ma f ememasmalbai l li	-|-|-⌫--||-|------⌫-⌫-|
cedistrenarttuasfailli	-|---|-----|-|-|-----|
o nquesata femen elf is	-⌫----||-|---|-⌫||-⌫-|
ne atoiderie nne mesfis	-||--|-|---⌫|-|-----|
distysengrincer tesrena rt	---|-------|---⌫--|----⌫-|
ielmosteroie de moiepart	-||--------|-|---|---|
afo rcel asaillistes	|--⌫--||----------|
aucroz tro uerpasnefailli stes	-|---|---⌫--|--|-|------⌫---|
uoiantmoiouuous isseonon	-----|--|-|----⌫---||--|
libatistesbienle	-|-------|---|-|
u i boteret en poin dr e	-⌫|----|-|--⌫----⌫--⌫|
et duremen tlac oe estr ei n dre	-|-------⌫|-|-⌫-|----⌫--⌫-⌫--|
iloclatenistesporsote	---|-|-------|--|---|
n esenblotp asieude pelote	-⌫|------|-⌫-|--|-|-----|
ce n eporriez pasdesfendre	-|-⌫|------|--|--------|
n e uo sen	-⌫|--⌫|-|
u e issedescendre	-⌫-⌫---|--------|
et uosbraiessusenmonter	-|--|-----|--|-------|
nemesthon te	-||--|---⌫-|
del recon te r	--|-----⌫--⌫|
mes sei ec ele rlepousse	--|-|-⌫|-⌫---⌫|-|-----|
direneldouss e	---|-||-----⌫|
re nart iadeusne	--⌫---|-|---|-|
lecreato rquet a nt	-|------⌫|--|-⌫-⌫-|
que lachosesoitsi corue	--|-|----|---|-|----|
que m a comereaieferue	--|-⌫|-----|--|----|
plusbasdel ueilsiconuosdites	---|--|-||---|-|--|--|----|
do nt seroie	--⌫-|-----|
ieplus querit es	-|---|-|----⌫-|
orpui s i ebiende	-|---⌫|-⌫|---|-|
q ueuosnesauésho ntea uoir	-⌫-|--|-|-----|--⌫--|-⌫---|
quic eaué s a menteu	--|-⌫|----⌫|-⌫-----|
doncliautrese	---|-|----|-|
ianendoussi ezferec onte	-||-|------⌫-|---|-⌫---|
quialuitornas senta	--||--|------⌫---||
mesbienauéste lchoseaprise	--|---|----|--⌫|----|-----|
m o ltaués	-⌫-⌫-|----|
honteareremise	----|----|---|
bienauésuergoignea doss ee	---|----|--------|-⌫----⌫-|
qui honissiez uostreesposee	--|--------|-----|------|
lemonteretle	-|-----|-|-|
fi s ietotpor luif ors	--⌫|-|--|--|--|-⌫--|
enpoindr eettraireme	--------⌫|-|-----|-|
