mesuidediret euz	-|--|-|---|-⌫--|
q uilecon eist	-⌫-|-|---⌫---|
doncconteor	---|------|
liharpeorliiu gleor	-|------|-|--⌫----|
deceausditraol dehodenc	-|----|--|---|-|-----|
qui sunt apele ́mares tenc	-||---|-----⌫|-----⌫---|
decheualerie esprouer	-|---------|-------|
etparitantle uoilprouer	-|--|----|-|---|-----|
quequantli m arch ea nt asemble	--|----|-|-⌫----⌫--⌫-|------|
ma restancen semble	--⌫------|--⌫-----|
au marestenc etlo rs	-|--------|-|--⌫-|
puet ilconoistre queli	---|-|--------|--|-|
marc he anz enfins	----⌫--⌫--|-|---|
totautresic enestla	--|------||-|--|-|
seiten parlesmeneste rieu s	---|-|--|--|-------⌫----⌫|
quiesplaces et	--|-|-----|-|
es hosteus	-|------|
uo ient leshennorse t leshontes	--⌫---|--|------|-⌫|--|-----|
decoi len peutdirebea ucontes	-|--|--|---|---|---⌫|-----|
que usnonsgele	---⌫-|---|-|-|
quantceauien tquilont	----|-|-----⌫|-|-|--|
et u ientau	-|-⌫---|-|
p oi nt de	-⌫--⌫-|-|
l alargesce e t s illao uco rs	-⌫|-------|-⌫||-|||-⌫|--⌫-|
quelapointenepiertdefors	--|-|-----|-|----|-----|
c oidon erl	-⌫-|---⌫-||
presentementets il nepuet	-----------|-||-|-|---|
don ersece	---⌫-|-|-|
uientauprame ttre	----|-|-----⌫---|
illi fet si	-|-|--|-|
f reschement mettre	-⌫---------|-----|
ses so igne etsibeldeuiser	|--⌫--⌫---|-|-|--|------|
que tot limonzpuetauiser	--|--|-|---|---|-----|
le t alent q ui l ladebie nfere	-|-⌫----|-⌫|-⌫|||-|---⌫|---|
mesliauers e stdau t re	--|-|----|-⌫-||--⌫-⌫-|
quars ildone tanttendra	---||-|---|---|-----|
sondoniagre	--|--|-|--|
nel e n saura	-||-⌫|----|
cil qui el recoit et sip ra me t	--|--|-|-----|-|-|-⌫--⌫--⌫|
tantes auenture simet	-----|--------⌫||--|
ensapromesse es tnu le chose	-|-|-------|--⌫|--⌫-|----|
corsou ho nte rep o se	---|-|--⌫--|---⌫-⌫-|
quilestdennuiferuzen ch ar	-|-|--||----|----|-|--⌫-|
c est uns uainsmoz fe r uz	|--|--|----|--|--⌫-⌫-|
f roiz etrelenz et sanzsauor	-⌫---|-|-----|-|---|----|
etcruqu equantgelasauor	-|--|--⌫|----|-||-----|
gese nt quil	-|--⌫-|-|-|
et bontede maluestie	-|----|-|--------|
armes e tc as	----|-⌫|-⌫-|
espes de honte etclerdonor	----|-|----|-|---||---|
e ngresda guetuains d e paresce	-⌫----||-⌫---|----|-⌫|------|
queli relefs	--|-|-----|
dela pr amesse	-|-|--⌫-----|
quil a oucue r couienten iss e	-|-||-|---⌫|------|-|---⌫|
desauersmesd i tant m estbe l	--|----|--||-⌫---||--|--⌫|
que limez seuen tliues se l	--|-|--|-----⌫|-|---⌫--⌫|
au comenzque	-|-----|--|
p asne me d out	-⌫-|-|-|-⌫--|
cil qu i conoiss e nttout	--|--⌫|-------⌫-⌫-|---|
m epois esanzmesprendre	-⌫|----⌫|---|---------|
quantnusitr uue	----|--||--⌫--|
qu e repre ndre	--⌫|-----⌫---|
ne queblasmer neq u e	-|--|------|-|-⌫-⌫|
et que doi	-|--|--|
geu oirdoncdoidire	-|-⌫--|---|--|---|
soitnuscheualiersuila ins	---|--|---------|----⌫--|
nenilmes liu ns suntdem ains	----|--|-|-⌫-|---|-|-⌫---|
plus qu eliautre entoz bons lie us	---|--⌫|-|----|-|--|---|---⌫-|
sieni aase zde ceus	-|-|||---⌫|-|---|
suntde p lus	---|-|-⌫--|
enp roesce	-|-⌫-----|
nedaignentferelargesce	-|-------|---|-------|
ainzse fient sidur ement	---|-|----|-|---⌫----|
enlorpro escequaure m en t	-|--|---⌫---|-|----⌫-⌫--⌫|
sifiert orguil	||----|-----|
quilorcom ande	--|--|---⌫---|
au eer quanquelen	|-⌫--|------|--|
lor de man de	--|--⌫---⌫-|
etdientque n	-|----|--||
es t pas a nors	--⌫|--|-⌫---|
de c oic rien	-|-⌫-|-⌫---|
geceslecheors	-|--|-------|
dorrai lor	-----|--|
gedorraiporco i	-|-----|--|--⌫|
qu e p uent ildirede	--⌫|-⌫---|-|---|-|
cilaugrantescu	--|-|----|---|
gesui ci l quaito z uainc u	-|--|--⌫|-|-|--⌫|-----⌫|
gesui li meudresde	-|--|-|------|-|
passégauuain	-----|------|
auoiseign o rsqueque nus die	---|-----⌫-⌫-|-----|--|--|
n af iertpa sacheualer ie	|--⌫---|--⌫||--------⌫-|
que cheualierporsa proesce	--|--------|--|-|------|
doi auoirendespit la rgesce	--|----|-|-----|--⌫-----|
quarparproesceadroit	---|--|------||----|
nus enhaut pri s mo nt er	--|-|---|---⌫|--⌫--⌫-|
pro escenadeuse les	---⌫---|||---|-⌫--|
geuoildire coment et que les	-|---|---|-----|-|---⌫--|
deuselescou ientaestre	---|---|---⌫---||----|
q ue largesceso it l	-⌫-|-------|--⌫-||
ele destre	--|-----|
et lasenestrecor toisie	-|-|-------|---⌫-----|
mes sechascu neleestoitfornie	--|-|------⌫|--|-----|-----|
il c oui en tad roit deuiser	-|-⌫---⌫--⌫||-⌫---|------|
quechascunnea it pordroit aler	--|--------|-⌫-|--|----|---|
sept pennespar droitereison	---|-----|--|-----|-----|
e nlele qui large sce	-⌫||--|--|-----⌫--|
pennepr emeretele	----|--⌫----|---|
queceque largesce a nonel e	--|-|--|-------||--|--⌫|
quensoitpro escehardi z	-|-|---|---⌫---|-----⌫|
quarpar droi tpr iset pardroit diz	---|--|----⌫|--⌫-|-|--|----|--|
pueton proueroutree ment	---|-|-----|------⌫---|
qu elarge ce estdehardement	--⌫|-----⌫-|--|-|--------|
estr eteetdehardement	----⌫--|-|-|--------|
etnos sauons que poiauient	-|--|-----|--|--|-----|
pais neloi ng ne pres	---|-|---⌫-|-|---|
soitl arg es et maues	---|-⌫---⌫-|-|----|
la secunde estde	-|------|--|-|
quenushomqui uoi llela rges ce fere	--|--|--|--|---⌫--|--⌫----⌫-|---|
ne doit p asgarder	-|---|-⌫-|-----|
neque saterr epu et	-|--|-|----⌫|--⌫-|
iacheual ierse	-|------⌫--|-|
d eusmes a ut	-⌫--|-|-⌫-⌫-|
puisqu i gard equ eleuau t	-----||----⌫|-|--|---⌫|
nemonteraen	-|------|-|
grantha utesce	----|--⌫-----|
neilnest paspl ainde	-|-||--|--|--⌫--|-|
ned amornede hardement	-||---|-|-|--------|
qui p lusne done	--|-⌫--|-|---|
etnedespent	-|-|------|
etenfo lie et	-|-|--⌫--|-|
que saterrene puetualoir	--|-|----|-|---|-----|
tierce pennesenefie	-----|----|------|
largescefets	-------|--||
etueutdelargesceauoirpris	-|---|-|-------|----|---|
quil a ittoziorzson	-|-|-⌫-|--|---|--|
conseilpris	------|---|
denorer lepoure et	|-----|-|----|-|
quedel argescetric h e	--|-|-⌫------|----⌫-⌫|
cil qua ntildonequiesg arde	--|---⌫-|-|---|--|---⌫---|
decestu ipuisgeauo irgarde	-|-----⌫|---|-|---⌫-|----|
cistest biende	---|--|---|-|
conteetde roi	----|-|-|--|
c ist pue ta cortparlerde	-⌫--|---⌫||---|-----|-|
celidorraiquan tissidone	---|-----|----⌫|---|---|
ce na po urienen edone	-|||--⌫---|-|-⌫|---|
rienalargesceainz semble	---||-------|---|-----|
largesces esforc e	-------||------⌫|
e tueut es tre large	-⌫|---|--⌫--|----|
sidoitdonera	-|---|----||
desconfi z	--------⌫|
etneregartpasachac uns	-|-|-----|--||----⌫--|
quilli rende leg u eredons	-|-|-|----|-|-⌫-⌫------|
quarlarges c e sa nz nulredout	---|------⌫-⌫|--⌫-|--|-----|
toutportout	---|--|---|
qua rtepenne adroitesgart	---⌫--|----||----|-----|
si estque len	-|--|--|--|
setiegne etgart	-|-----|-|---|
de prametr esei l ne ue ut	-|-------⌫|-|-⌫|-|--⌫-|
donerquanquespra messe aqueut	----|-------|---⌫----|-----|
sonleuetpuisneleu eutrendre	--|--|-|---|-|-|-⌫--|-----|
sauezuos quilpuet	----|--|-|-|---|
at en d re	--⌫--⌫-⌫-|
a honteli puet le n torner	|----|-|---|--⌫|-----|
puisqueho nsna	------|--⌫-|||
talent dedoner	-----|-|----|
si fet home po rson don	-|--|---|--⌫|--|--|
trois foizue nir en	----|---|--⌫--|-|
q uantplusi ui ente t mai ns leprise	-⌫---|---||--⌫--|-⌫|---⌫-|-|----|
siliabi enlauoie aprise	-|-||--⌫-|-|---|-----|
etp oritantp oon	-|-⌫-|----|-⌫--|
li malueset lis ers	-|-----|-|-|-⌫--|
quantcaui ent	-----|---⌫--|
qu il niu e ut	-|-|||-⌫-⌫-|
riensmettre	----|-----|
e st fo liedepramettre	-⌫-|--⌫--|-|--------|
quintecest	-----||--|
len saigne	|--⌫-----|
qu it ozlesautre s	--⌫|-⌫-|--|-----⌫|
bie nsenseigne	---⌫-|-------|
q uechascu nasauortsondon	-⌫-|------⌫|------|--|--|
dequel sauor parquel	-|---|----|--|---|
sondon asauorer	--|--|-------|
las auore st	-|-⌫---|-⌫-|
quimorselsa nzsauo r	--|-----|--⌫-|----⌫|
enplirenipuet	-----|-||---|
son uent reto t	--|----⌫-|--⌫|
mesiat antn	--|-|-⌫--||
enp lirasapance	---⌫---|-|----|
quelicuer ensent epitanc e	--|-|---|-|----⌫|------⌫|
confortuiandene secorse	------|-----|-|------|
totautresiemple laborse	--|------|----|-|----|
targiermesa nulfuer	------|--||--|---|
ian auendrasi pres	-||------|-|---|
q ui u ient	-⌫-|-⌫---|
prochain ement	--------⌫----|
itant sachoizuero ie m ent	----|------|----⌫--⌫-⌫--|
quiuel e nte stre	--|---⌫-⌫-|-⌫---|
quedonsest sanzsauorquitarge	--|---|--|---|----|--|----|
sixtepe nneu os	----|--⌫--|-⌫-|
s ela rgedone l arge ment	-⌫|--⌫--|---|-⌫----⌫---|
se cea uient quil	-|-|-⌫----|-|-|
aitmalasis	--|--|---|
tro is donsou disouun	---⌫-|---|-|--|-|-|
ne doit es tre p arlu i pensé	-|---|--⌫--|-⌫-|--⌫|-----|
nereproc hé neregretté	-|------⌫--|-|--------|
li sonsdonsp or rienque	-|---|---|-⌫-|---|--|
lar gescequiquelasordi e	---⌫----|-----||------⌫|
ne uoud roit pastant trespasser	-|----⌫---|--|---|---------|
nenus la rgesnedoit pen ser	-|--|--⌫---|-|---|---⌫--|
asondon puis que donéla	|--|--|----⌫--|----|||
ainz doit penserque	---|---|-----|--|
sepmepenneen lel edestre	----|----|-||--⌫|-----|
si apre nt quiqu eueu t larges es tre	-|----⌫-|-----⌫|---⌫|-----|--⌫--|
ild oitb eau d oner amengier	-|-⌫--|-⌫--|-⌫---||------|
larg esnedoitson	----⌫-|-|---|--|
cuerc hangier	---|-⌫------|
porcoiporce quesouent uien t	--|--|--|-|--|-----|----⌫|
c e le lar gecedonc n a uient	-⌫-⌫-|---⌫---|---||-⌫----|
aceluiq ueleremaint	|----|-⌫|--|------|
que toz iorzenlarges cema i nt	--|--|---|-|------⌫-|--⌫-⌫-|
toziorz laueutetde us	--|---|-|---|-|--⌫-|
doneramengie r l argement	----||------⌫|-⌫-------|
est c edonques	--|-⌫|------|
sigrantpro esce	-|----|---⌫---|
tienent alargesce	------||-------|
q uen la rgesces aparcoiuen t	-⌫|-|--⌫-----||----------⌫|
porcoipo r ce	--|--|--⌫|-|
tuitlar ge doiuent	---|---⌫-|------|
ce lelar g ece	--⌫-|---⌫-⌫--|
ma intenir	--⌫------|
saucunslargesueut cortteni r	|-----|-----|---|---|----⌫|
ilmandeg e nzpor	-|----|-⌫-⌫-|--|
tantnenfetasa c ortm ander	---||-|--||-|-⌫--|-⌫----|
ch eualiersdiuers	--⌫-------|-----|
ne tantnedorra m an t eaus	-|---|-|----|-⌫--⌫-⌫---|
il nedoneuolentiers	-|-|---|---------|
queilne dientcilet ci l	--|-|-|----|--|-|--⌫|
au departir dahez	-|-------|----|
teleest la c ostumequi	---|--|-|-⌫-----|--|
etc est ladroite riu leen cort	-||--|-|-----|---⌫-|-|---|
qui demaintegenzestco niuri e	--|-|-----|---|--|--⌫-----⌫|
qu iueitco ntes ieitc ur i e	--⌫|---|--⌫--|-⌫|--|-⌫--⌫-⌫|
ai delargesce a uisees	-|-|-------|-⌫-----|
p en nes qu ai deuisees	-⌫--⌫--|-|-|-------|
quisuntenl eleor recouient	--|---|-||--|-|--------|
po rcequeu olente z	--⌫|-|--|-⌫------⌫|
quedeleledecortoi sie	--|-||--|-|------⌫--|
lesseptpennescortoi ses die	--|---|-----|------⌫--|--|
come nt o ntno nqueusdeiuentestre	----⌫-|-⌫-|--⌫|----|------|----|
le secunde el eestla senestre	-|------|--⌫|--|-|-------|
queiai cortoisi e apelee	--||-|--------⌫|-----|
q uidoitm oult bienestrenome e	-⌫-|---|-⌫---|---|----|----⌫|
lap remierepe nnedasise	-|-⌫------|--⌫--||----|
sies t denorersai nteigl ise	-|--⌫||-----|---⌫--|---⌫--|
quar droizest et reisonssi	---|----|--|-|------|||
tozcheu al iersapartient	--|----⌫--⌫---|--------|
deiuentregarder	------|-------|
quepo r sa inteigli segar der	--|--⌫|--⌫---|----⌫-|---⌫--|
fucheuali ernomez aincois	-|-------⌫-|----|------|
ne doitestre	-|---|----|
nom ezcortois	---⌫-|------|
qui eglisen a imeet hanore	--|-----||-⌫--|-|-----|
que i lne lesneiorne	--|-⌫|-|--|-|--|-|
quebie ns ach ezqueque nu sdie	--|---⌫|-⌫---⌫-|-----|--⌫|--|
cestlaplusbelecorto isie	|--|-|---|---|-----⌫---|
ounussepuis sedemorer	-|--|-|----⌫-|------|
quedesainte iglise han or er	--|-|-----|-----|---⌫--⌫-|
se cundeapreslapremere	--⌫----|----|-|------|
queuse st e lle decele maniere	----|-⌫-|-⌫--|-|---|------|
quecheualier	--|--------|
porsa beaute	--|-|-----|
pornulhaut pri sneporbonte	--|--|---|---⌫|-|--|----|
qu ilaittant ne	-|-|--|---|-|
soitmer uei llos	---|---⌫---⌫---|
quepor cedoie estreorgueillos	--|--|-|---|----|---------|
qu arge di et prouerleuoil	--⌫-|-|-|-|-----|-|---|
q u entre cortoisie etorgui l	-⌫|----|--------|-|-----⌫|
neporroi entconiundreensemble	-|------⌫--|--------|-------|
porcoiporcequeilmesemble	--|--|--|-|--|-|-|-----|
quentoz poinznestdec or toisie	-|-|--|----|---|-|-⌫--⌫-----|
dorguil uilanie	|-----|------|
tierce penne que	-----|----|--|
doitensemble cest	---|-------||--|
quaute n ir	-|----⌫-⌫-|
nedoitqui c orto i s ueutestre	-|---|--|-⌫----⌫-⌫|---|----|
d euanteriequiseutnest re	-⌫|-------|--|---|----⌫-|
de uilanie q u e uan ter	-|------|-⌫-⌫|---⌫--|
ne soton ques	-|--|--⌫---|
deb elchantch anter	-|-⌫-|----|--⌫----|
iertbie n loé parlui	---|---⌫|---|--|--|
deuaneo rsmesenbleennui	-|-----⌫-|-|-----|----|
quiu e ut estre droiz cheualier s	--|-⌫-⌫-|----|----|---------⌫|
nedoitpasestretropparliers	-|---|--|----|---|-------|
qua rcheual ier nedoutezpa s	---⌫|------⌫--|-|-----|--⌫|
doitferi rhautetpa rlerbas	---|----⌫|---|-|--⌫---|--|
quarte pennedoi gedir e	-----|----|--|-|---⌫|
queusestele estdet el	----|--|--|--|-|-⌫-|
q uenuscor t oisne doit	-⌫-|--|---⌫-⌫--|-|---|
ioie maistozi orz ioieamer	---|---|--|-⌫--|---|---|
etd oit est re d es	-|-⌫--|---⌫-|-⌫-|
ferei oieet estreioanz	---|-⌫--|-|----|----|
de l o rsola zetdeloruie	-|-⌫-⌫|----⌫|-|-|--|--|
qu ac heual ier estco rto isi e	-||-⌫-----⌫--|--|--⌫---⌫---⌫|
oieuolentiers chancons	--|---------|-------|
noteset uie lesetsons	----|-|---⌫--|-|---|
etd ed uiz de menestreus	-|-⌫--⌫--|-|---------|
etouecce doit	-|---|-|---|
est r e teus	---⌫-⌫|---|
s e il o tdesdame smesdire	-⌫|-|-⌫|--|----⌫|------|
quilfaceuneau tre chancondire	-|-|---|--|--⌫--|------|---|
p orcoiporce	-⌫-|--|--|-|
n est pasreiso n	|--|--|-----⌫|
quede nule	--|-|---|
dameparnon	---|--|--|
oiech euali eruilanie	--|--⌫-----⌫-|------|
ilnel acontred ie	-|-|-⌫|-------⌫-|
entozpoinz ellidoitdesplere	-|--|----|-|-|---|-------|
q uarquiest	-⌫--|--|--|
cortoisil do it fere	------|-|--⌫-|---|
la noradames si conmune	|-⌫--||----|-|------|
qu ei l lesainttotespo rune	--⌫|-⌫|--|---|----|--⌫|--|
qui nte p enn egedestois	---⌫--|-⌫---⌫|-|------|
cel e desfentatozcortoi s	---⌫|------||--|------⌫|
unetechequi m aint ecort	--|----|--|-⌫----⌫|---|
apouri eet moulticort	------⌫|-|----||---|
queus estl atechecestenuie	----|--|-⌫|----||--|----|
c eleq u i depoior	-⌫--|-⌫-⌫|-|----|
cele qui tozles mau smaintient	---|--|--|--|---⌫|--------|
celedont uilanieuient	---|---|------|----|
q ui delefontlor m est re	-⌫-||--|---|--|-⌫---⌫-|
por cequ icortoisueut estre	--|-|--⌫|------|---|----|
sil aseigno r etilau ient	|-||------⌫|-|-|--⌫---|
quelisires ouilse tient	--|-|----|-|-|-|----|
soitdela rg esc e desireus	---|-|--⌫--⌫---⌫|-------|
quilgartqu ine so itenuieus	-|-|---|-||-|--⌫-|------|
debeaud on	-|---|-⌫-|
silen d one a u tr ui	-||-|-⌫--|-⌫-⌫--⌫-|
ne do i t estre pen sépa rlui	-|--⌫-⌫|----|---⌫--|--⌫|--|
de slotnec ontred ie	--⌫---|-|-⌫------⌫-|
quarnesteroit p as cortoisie	---||-------|-⌫-|--------|
ne c ilnaimep asson	-|-⌫-||---|-⌫-|--|
quilidesloe afere hanor	--|-|-----||---|----|
porcele dique unsm estres sunt	--|-|-|-|--|--|-⌫-----|---|
que c heualierlors	--|-⌫-------|---|
sai gnorson t	---⌫----|--⌫|
ent ozpais e tpresetloing	-|-⌫-|---|-⌫|---|-|----|
ne iaemplace au	-|-|-|----|-|
grantbesoing	----|------|
nauronta lor seignor mester	|-----||--|------|-----|
tozseruent de losengier	--|------|-|--------|
auien tque	-----⌫|--|
so freteus	--⌫------|
quisuntdeprendrecou eiteus	--|---|-|------|---⌫-----|
uien entacortpordem ander	----⌫--||---|--|---⌫----|
i saillentpor con tremander	|-------|--|---⌫--------|
do ncilauroi ent	--⌫-|-|-----⌫--|
etdientalorseignorsi re	-|----||--|------|--⌫-|
chasc unu osto ut	-----⌫-|-⌫-|--⌫-|
chascunuosrobe	------|--|---|
cilenportaapasques	--|------||------|
cil trent e sous	--|-----⌫|---|
cilaut res uin t	--|---⌫--|---⌫|
dileque s a utierziorreuint	|------⌫|-⌫|----|--|-----|
estil auosorueut	--|-||--|-|---|
ilcilnest pas	-|--||--|--|
q ui lesencroit	-⌫-|--|-|----|
nequilor do n e	-|--|--|--⌫-⌫|
quialar gecesaban done	--||---⌫---||----⌫---|
ia enr ichecene morra	-|-|-⌫-----|-|----|
is sid ie ntianedorr a	--⌫-|-⌫--⌫-|-|-|----⌫|
b eaudonq u inele contredient	-⌫--|--|-⌫||-|-|----------|
souentau ient quequanc	-----|--⌫---|--|----|
tornea noientetnoient font	----||-----|-|-----|---|
quarl i siresa cui	---|-⌫|----||--|
lesuoit s ouent sesconoist	--|---|-⌫----||-|------|
enleroitpor	-|-----|--|
lor ditrien	--|--|---|
tan test largesetdehautpris	---⌫|--|-----|-|-|---|---|
atant abeau donersestpris	----||---|----||--|---|
quin esenuo dr oi t pastenir	-||-⌫||-|--⌫--⌫--⌫|--|----|
que cenq uil	--|--|-⌫|-|
puetdau sontenir	---|--|--|----|
ne doinst et plus s eplusauoit	-|-----|-|---|-⌫|---|----|
etpuisqueli enuious	-|------|-|------|
quidonea tozet fet	-||---||--|-|--|
puet fer e le son	---|---⌫|-|--|
quant ilnipiertce	----|-|||----|-|
queli greue	--|-|----|
sunautresunbeaudonenleue	|-|-----|-|---|--|-----|
grieuesifetce stlor enuie	-----|-|--||-⌫-|--|----|
asenuiousquilo renuie	-|------|-||--⌫|----|
etgrie uequant iluo ient	-|----⌫-|----|-|--⌫---|
lar gesce itelestlora fere	---⌫----|---|--|--|-⌫---|
sisemblepar droitere i son	-|-----|--|-----|--⌫-⌫--|
lechienqu ig arde le	-|----|--⌫|-⌫---|-|
com en tcaur ei	---⌫--⌫||---⌫-|
g etostproué	-⌫|---|-----|
quantli chiens esstenmil e p re	----|-|-----|---|---|-⌫|-⌫-|
lez unmuslonetilau ient	--|-|-----|-|-|--⌫---|
qu epormaingieracelfai nuient	--⌫|--|-------||--|---⌫|----|
lau ache soul elic hiens	-|-⌫---|----⌫|-|-⌫----|
con trelauache	---⌫--|-|----|
etsilasaut	-|-||----|
etchace enloingteusest l i chiens	-|----|-|----|---|--|-⌫|-----|
ne leroit por nuleriens	-|-----|--|---|----|
lauac he quiamoult	-|---⌫-|--||----|
gr ant fain	--⌫--|---|
neil nepue tmengierdauf ain	-|-|-|---⌫|------|--|-⌫--|
teusestla uiealosengier	---|--|-|--||--------|
deson seignor fet	-|--|------|--|
e sloignier	-⌫--------|
home s e t bo te ariere	----⌫|-⌫|--⌫-|-----|
etneueut ennule	-|-|---|-|---|
quenuseitpreuensonauoir	--|--|--|---|-|--|----|
neli a uoirs	-|-|-⌫----|
ne lifet bie n	-|-|--|---⌫|
plus quefetli	---|--|--|-|
muslonsauchie n	------|-|----⌫|
syxtepennea pren t pardroi t	----|----|-⌫----⌫|--|----⌫|
cortoi sestre nedo it	------⌫|----|-|--⌫-|
nemesdisanz	-|--------|
quardeuilainscolps	---|-|------|----|
cortois ne	------|-|
silsiprentil prent lapo ior	|-|||----|-|----|-|--⌫--|
quar de cheualer cou p oio r	---|-|-------|---⌫-⌫---⌫|
puet lenbien di re	---|--|---|--⌫-|
telreproche	--|-------|
main oue nlaboche	---|-|-⌫|-|----|
nepuetil pasbeaucopauoir	-|---|-|--|---|--|----|
a incoiscouientp arestouer	-⌫-----|------|-⌫-|------|
queli cop liuieignent	--|-|--|-|--------|
q uee n laboche ou	-⌫-|-⌫|-|----|-|
en l amain	-|-⌫|---|
de cheuali er ne dige	-|-------⌫-|-|-|-|
quentrech eualiers nes tgas	-|----|--⌫-------||--⌫|--|
e tbeaus ne	-⌫|----|-|
doie retrere	---|------|
et to teu ilanie	-|--⌫-|-⌫-----|
totcesaimesn estpasenco rs	--|-|--|--||--|--|----⌫-|
ce n estp as	-||--|-⌫-|
quarp orl or	---|-⌫-|-⌫-|
lai ssentleson	---⌫----|-|--|
sun tche ualierno mé	---⌫|---⌫-----|--⌫--|
demiet lecheorcl am é	---|-|------|--⌫--⌫-|
porce q u elecheor	--|-|-⌫-⌫|------|
si cuidentestremesnonsunt	-|------|----|--|--|---|
nei a n eli ser ont	-|-⌫|-⌫|-|---⌫--|
par dr oit	--|--⌫--|
quarnuslecherresnep orr oi t	---|--|--------|-|-⌫---⌫--⌫|
pornuleriensqueq u epuisseestre	--|---|----|----⌫-⌫|-----|----|
lecherre setch eualie rsestre	--------⌫|-|--⌫------⌫-|----|
aincoiscouient qu il soittoz entie rs	------|------|-|-|---|--|-----⌫-|
ou lecherresou c heualiers	-|--------|-|-⌫--------|
nonsdech euale rie	---|-|--⌫-----⌫--|
estou t repo intde	--|--⌫-⌫-|--⌫--|-|
nauendrapar r eison	|------|--|-⌫----|
queluntoillealaut r e	--||-|-----|||---⌫-⌫|
aue noitque	---⌫---|--|
quientrereis onmetrancune	--|----|----⌫-|--|------|
fesoitque unsch eual iersfust	-----|--|--|--⌫----⌫---|---|
cheualie rset	--------⌫-|-|
menestereus	----------|
se ceau ient audir euoir	-|-|--⌫---|-|---⌫|---|
quelescudeuroit ilauoir	---|---|------|-|----|
lino nsmapren tla maistire	-|--⌫-||-----⌫|-|-------|
delun al autretotaatire	-||-|||----|--|-----|
gediraiqueuns cuersauis e	-|----|--|--|----|----⌫|
a dirediue rsedeuisse	|---|----⌫--|------|
de luie tdel	-|--|-⌫|-||
escu ensembl e	---|-------⌫|
cil quiquanttornoiasemble	--|--|----|-----|------|
porte lescu a u	----||---|-⌫|
non diuers	--|-----|
cestli e scuadeus enue rs	|--|-|-⌫--||---|----⌫-|
portrezde lecherie	------|-|-------|
