misir e noblelilyons	-|---⌫|----|-|----|
renartauan tgrimbertapres	-----|----⌫|-------|----|
renart nesemblapasuilain	-----|-|-----|--|-----|
s oncousin	-⌫-|-----|
tenoitpar la	-----|--|-|
lapres se desront e tdep ar t	-|----⌫-|------|-⌫|---⌫--⌫|
aceluiq uin elesga rt	|----|-⌫-|-⌫||----⌫-|
deu a nt le	---⌫-⌫-|-|
ro i quant illeuit	--⌫|----|-|-|--|
sagenoill a puis silid ist	|--------⌫|---|-|-|-⌫--|
roisdieuslefilzsai nt e marie	---|----|-|---|---⌫--⌫|----|
uousgar tet uostre c om paig nie	---|---⌫|-|-----|-⌫--⌫----⌫--|
for mentsa	---⌫---|-|
paroleena rgue	-----|-|-⌫---|
etnepo u rqua ntsilesalu e	-|----⌫-⌫----⌫-|-|-|----⌫|
mieusuousistestre ailleurstouznus	----|------|----|-------|---|--|
ne rendistcessalus	-|------|--|----|
so nt tuit en rep os	--⌫-|---|-|---⌫-|
parlasaleni a tant os	--|-|---||||---|-|
quiifacene bruitnenoise	--||---|-|----|-|----|
liroisparlaren art	-|---|----|---⌫--|
ditpar felonnie	--|--|-------|
cessalus n euousrensiemie	--|----|-⌫|---|---|-|--|
rous enuious	---|------|
ainz r e maindrasenuito	---|-⌫-⌫-------|----||
ainzquei issiez decesth ostage	------||-----|-|---|-⌫-----|
nouslere z	---|----⌫|
u ou sen cui bongage	-⌫--⌫|--⌫--|--|---|
aum ainscell ero ussepelice	-|-⌫---|----⌫|--⌫---|-----|
quante stiés dedenzuolice	----|-⌫-----|-----|-|---|
ne cudiésmai sre perier	-|------|---⌫|--⌫-----|
t outlemon tcude sen gingnier	-⌫--|-|---⌫|----⌫|--⌫-------|
ta ntc omdurerata	--⌫-|-⌫-|-----|-|
nousserui rasdeta flau ele	---|-----⌫--|-|-|----⌫--|
maismain te foisai	---|----⌫-|---|-|
q uapresgr antioieuie ntgrant i re	-⌫|----|--⌫--|---|---⌫-|----|-⌫-|
apresmol uentsi uent ebise	----|--|---|-|----⌫|---|
tant uaitle p otaliauequ	---|---|-|-⌫-|||---|-|
iebiensi re	-|---|--⌫-|
qu ilsoit bris iez de uo strepar t	-|-|---|----⌫--|-|--⌫---|---⌫|
liroisparlasagentlescou te	-|---|----|-|---||-----⌫-|
siqu elacourtsiloi	----⌫|-|----|-||-|
renart faitil ato nuiaire	-----|---|-||--⌫|-----|
semblesbienestredebonnaire	------|---|----|---------|
bienpertaus te z	---|---|--|--⌫|
quieus fulipos	-----|-|-|--|
r en arte s t e nflezcommeb oz	-⌫--⌫--|-⌫-⌫|-⌫----|----|-⌫-|
onquesnulluinefeisbie n	-----|-----|-|---|---⌫|
renar t moltasen	-----⌫|---|-|-|
toi engien	--|-----|
pourcequem astant engingnié	---|-|--||-|---|---------|
etysengr int antcour oucié	-|------⌫-|-⌫--|----⌫-----|
cequ e tybert li chaz	-|--⌫|-----|-|---|
pa rt onenginfu pris aula s	--⌫|-⌫-|----|-|---|-|--⌫|
telgue rredon tenf erairend re	--|---⌫-----||-|-⌫---|----⌫-|
quau nehart t e feraipendre	-||-⌫-|---|-⌫|----|-----|
renartsot molt	-----|--|---|
dafaitement	|---------|
sirespondimoltgentement	-|-------|---|--------|
sauueuostre	----|-----|
onquesnefudetele est race	-----|-|-|-|---|---⌫---|
s eigneurface contraire	-⌫------|---|--------|
ne chos equi ne fac ea faire	-|----⌫|--|-|---⌫||----|
uostrehons	-----|---|
et uousmis sire	-|---|--|---|
de moinesaurez chose	-|--|-|-----|----|
questre m epuisse a	-|----|-⌫|-----||
maisbienestesdetel poissance	---|---|----|-|--|--------|
queosterme po ezde uoterre	--|----|-|--⌫-|-|-|----|
ne puispassouffriruostr e guerre	-|---|--|-------|-----⌫|-----|
mo lt parredou tm esanemis	--⌫-|--|-----⌫|-⌫-|-----|
moltmepo is eseieaimespris	---|-|--⌫--⌫|-|-|-|------|
derienquiu ersuousappartiengne	-|---|--|-⌫--|---|-----------|
maisnonaipasdontme	---|--|-|--|---|-|
souu ien gn e	----⌫---⌫--⌫|
teluous ont fait lema l	--|---|--|---|-|--⌫|
etcontépour malenmoipren dre	-|-----|---|--|-|--|----⌫--|
quineloseroie ntprou ue r	--|-||-------⌫-|----⌫--⌫|
m encong epuentil trouuer	-⌫------⌫|----|-|------|
m a is auuo iresaiie	-⌫-⌫-|-|--⌫--|--|-|
queie niai	--|-|||-|
me sprisderien	--⌫----|-|---|
iamais preu do mmeniertamez	-----|----⌫--⌫--||---|---|
l i plus loiausestplu sbla s mez	-⌫|---|-----|--|---⌫|---⌫-⌫--|
foux est qui	---|--|--|
mais distuerite	---|---|-----|
p luseu rs en sont deshe rité	-⌫-----⌫-|-|---|-----⌫----|
et deter regetéa tort	-|-|---⌫-|----||---|
lim enteour so nt liplusf ort	-|-⌫------|--⌫-|-|---|-⌫--|
nulzneuousdeu roittant decoi ure	---|-|---|---⌫---|---|-----⌫--|
quene d eu ssiezapercoiure	--|-|-⌫--⌫----|---------|
qu i menconge uo usfa it	--⌫|-------|--⌫-|--⌫-|
ouquiuousconte choseuoir e	-|--|---|----|----|----⌫|
u intans queuou s	-⌫--|--|--|---⌫|
meconuistes	-|--------|
mais onquesmais hommeneuistes	---|-----|---|----||------|
qui pour uo usai ttantde	--|---|--⌫-|--⌫|---|-|
enco r enailacharrompue	----⌫|-|-|-|---|-----|
dugrant trauailce	-|----|------|-|
pouruousquantie aloiearomme	---|---|----|-|----||----|
acasu etamonpel lier	|---|-||------⌫---|
pourl a mecineapareillier	---|-⌫|-----|----------|
qui bonneestoitaumalsane r	--|----|-----|-|--|----⌫|
quiuousfa isoit formentp ener	--|---|--⌫----|------|-⌫---|
sir e mestieruousai	---⌫|------|---|-|
cedistg rimbertc estdece u	-|---|-⌫------||--|----⌫|
q ui d ist queuer suou s	-⌫-|-⌫--|--|---⌫|---⌫|
aitmeffait	--|------|
pour rienne luo udroit auoi rfait	---|---|-||--⌫-----|----⌫|---|
moltestu i lains	---|--|-⌫-⌫----|
quiceretrait	--|-|------|
sonco ra ge anoble retrait	--|--⌫--⌫-||----|------|
renartfaitilm ol tbienasdit	-----|---|-|-⌫--⌫|---|-|--|
bienottr oie quinedesdit	---|----⌫--|--|-|-----|
cest ueriteque	|--|-----|--|
mandai renart	-----|-----|
tybertifude	-----||-|-|
q uibienlidi st quea	-⌫-|---|-|--⌫-|--||
courtuenist	----|-----|
nepasad e sdaing	-|--||-⌫-⌫-----|
ne ltenist	-||-----|
renartquis cetdefau sseanesse	-----|--|-⌫--|-|---⌫--|-----|
etdem ain te faussepromesse	-|-|-⌫---⌫-|-----|-------|
respondique bienlefer oit	-------|--|---|-|---⌫--|
etpourlui a lacourt	-|---|--||-|----|
ren artfistde l a l ersemblant	---⌫--|---|-||-⌫-⌫-|-------|
t ybertu intsonchemin errant	-⌫----|-⌫--|--|-----|-----|
qu anti lfurent enune uille	--⌫--|-⌫|-----|-|--|----|
re nartquisotde mainte guil e	--⌫---|--|--|-|-----|----⌫|
sot lostel a	--||----||
zzpres tredroit	-|----⌫--|----|
quipourlu iforme ntse gua itoit	--|---|--⌫|-----⌫-|-|---⌫----|
ensamaiso nnot	-|-|-----⌫||-|
queuneen tree	--|--|--⌫---|
bouetquantfufer mee	----|----|-|---⌫--|
laottendus las	-|-|-----|--|
pou rluiprendre	---⌫|--|------|
ren art f istatyb ert ent e ndre	---⌫--|-⌫--||---⌫--|---⌫-⌫---|
parill ecq uessouloituenir	--|---⌫---⌫--|------|----|
aus geli neseta uenir	--|----⌫--|-|-⌫----|
ettantia sourizetras	-|---|||-----|-|--|
bien enpuet onpes treyychas	---|-|---|-|---⌫--|-|---|
tybe r tcudaqu e u oirdeist	----⌫-⌫|---|--⌫|-⌫--|----|
maln eli queist	--|-⌫|-|-----|
toutestenduded enssemist	---|------|---⌫--|-|---|
d egran t foliesentremist	-⌫|----⌫|----||--------|
quea u partirsetin t po ur fol	--|-⌫|-----|-|---⌫|--⌫-|--|
letint parmilecol	-|---|----|-|--|
tantb outernetraire	---|-⌫----|-|-----|
s ep oi st	-⌫|-⌫--⌫-|
q ued ilec	-⌫-||---|
s estoitentremis	|-----|-------|
d eslasfaireou i ll	-⌫-|--|----|-|-⌫||
or e n tpr is	--⌫-⌫-⌫|--⌫-|
quant oien tqu ili	----|----⌫|-|-||
lunporte pel lautrebaston	|-|----|--||----|-----|
etrenart se me tala	-|-----|-|--⌫||-|
q u il natalentquenu lzleuoie	-⌫|-|||-----|--|--⌫-|-|---|
tybertbatentetdonnent	-----|-----|-|------|
li la s ront ou tenoitli	-|--⌫|---|-|-----|-|
desquetybert sesent aterre	--|--|-----|-|---||----|
les g r eno nsdre sce et l esdenss er re	--|-⌫-⌫---⌫-|---⌫--|-|-⌫-|---|-⌫--⌫-|
si li a uin t	-|-|-⌫---⌫|
belleauenture	----|-------|
sibelleac reature	-|----||-⌫------|
quel iprestresy	--|-⌫|-------||
deschaus sanzbraiesettouz n us	-------|---|-----|-|---|-⌫-|
uint a tybert se luotfe rir	---||-----|-||--|--⌫--|
cilzgu enchistqui s	---|--⌫------|--||
lepr ouoireaus coi llesp rent	-|--⌫-----|--|---⌫---|-⌫---|
si quederienn ientreprent	--⌫--|-|---|||---------|
biens aietceest	---|-⌫-|-|-|--|
bienla uoir e	---|-|----⌫|
leplusd e lacoille	-|---|-⌫|-|-----|
aup rouoire	-|-⌫------|
menia ainzque is sistdelo stel	----|------|--⌫---|-||-⌫---|
nesch apamais ren art d autel	|----⌫--|---|---⌫--||----|
la prestressees t touteesba h ie	-|---------|--⌫|----|----⌫-⌫-|
coil le qui	----⌫-|--|
lassefait ellemalue nue	----|---|---|--|--⌫--|
nesera imaischiere tenue	-|----⌫|---|-----|----|
missiremissireaperdue maioie	--|---|--|---||-----|-|---|
po urquoi chier e te n u eestoi e	--⌫-|---|-----⌫|--⌫-⌫-⌫|-----⌫|
orna urailmaisde	-||-⌫--|-|---|-|
queil a p erd u	--|-||-⌫---⌫|
orsaib ienquilme guerpira	-|--|-⌫--|-|-|-|-------|
qu ant ilaidiern e sepourra	--⌫--|-|-----|-⌫|-|-----|
sisuiiepl ustristre etdolente	-|--|-|--⌫-|------|-|------|
aioieaitenu mai oue nte	|---|-|---|-|-⌫---⌫--|
i lmedonnoitle sbiaus	-⌫|-|------|--⌫|----|
etlesbiausdrapsmol tu olentiers	-|--|----|----|---⌫|-⌫--------|
bienfaillirm iest uet	---|------|||---⌫--|
grant chosea	----|----||
enfairelestuet	-|----||-----|
missireaperd u ha rdement	--|---||----⌫|--⌫------|
li chasla serui	-|---|||----|
en cequentreul sm aine nt	-|-|-|---|---⌫|-⌫----⌫-|
tybertse n istparzzboieul	-----||-⌫|--|--|-|-----|
renarts e n fupiecapar tiz	-----||-⌫|-|----|---⌫--|
si fuligieusmoltm al	-|-|-|----|---|-⌫-|
de c estechoseafa it saplainte	-|-⌫---|----||--⌫-|-|------|
ty bert desautresia main te	--⌫---|--|-----|||----⌫-|
br unser ep laintquile	--⌫-|-|-⌫--⌫----|-||-|
fist ba tre	---|--⌫--|
ouchesn eouille fistembat re	-|-----⌫|-|-|-|---|-----⌫-|
quecharpenti er sorent	--|---------⌫--⌫|----|
etlaissiéto utadesco uuert	-|-------|--⌫-||-----⌫----|
dist li quemieu s	---|-|--|----⌫|
auoitdeden s	----|-----⌫|
ilicu doi t me ttre lesdens	-||--⌫---⌫|--⌫---|--|---|
songr o ingymist etembati	--|--⌫-⌫--||---|-|-----|
tantquelescoins enabati	------|--|----|-|----|
onques des co insnilaissazz	-----|--|--⌫--|||-----|-|
parmilegroing	----|-|-----|
retintdantbrun	-----|---|---|
or fuli l azeng ra nt doulour	-|-|-|-⌫-|-|-⌫--⌫-|------|
tout e otperdue sacoulour	----⌫|-|-----|-|------|
renartne fi stf or sque	-----|-|--⌫-|-⌫--⌫|--|
quant illeuitentel martire	----|-|-|--|-|--|------|
e tdist queil meniastass ez	-⌫|---|--|-|------|---⌫-|
ta ntqueilfustbien sa ou le z	--⌫----|-|---|---|--⌫--⌫--⌫|
limieu sest uostreielu o uslaiz	-|----⌫|--|-----|-||-⌫-⌫-|---|
en uoisagr antellaiz	-|---||--⌫--|-----|
ouousmauu aisaler	|---|----⌫--|---|
orrezmaispar ler	----|---|---⌫--|
ia i non rena rtbiau sirebruns	|-⌫|--|----⌫-|---|---|----|
cinestpasli	-||--|--|-|
gaainscommuns	-----|------|
uousleuol ez	---|-|---⌫-|
auoirsanz fa i l le	----|---|--⌫-⌫-⌫-|
ian enferaiuersu ousbataille	-||-|----|---|-⌫--|-------|
ainzleuousclameraitout	---|-|---|-------|---|
aimestier defairelit e	-|------|-|----|---⌫|
quant ramposn es otassezfaites	----|-------⌫-|-|----|-----|
lou ffe set	---⌫---⌫|-|
m oespl useur s traites	-⌫--|--⌫-----⌫|------|
tournezsenest	------||-|--|
neuotplus dire	-|--|---|---|
otpastalent derire	-|--|-----|-|---|
legrosestraintet sacheet	-|---|-------|-|----|-|
m ais il nenpuetpartirsanzire	-⌫--|-||-|---|-----|---|--|
n estoit pas	|-----|--|
du to utasonchoiz	-|--⌫-||--|----|
l forestiersu iennentau bois	|---------|-⌫------|-|---|
deux furentenlaroute	---|-----|-|-|----|
qu antuoientlourslun l autre boute	--⌫--|-----||---||-||----|----|
un our sdi stli premiers	-|---⌫|--⌫-|-|-------|
parrafrans	----|----|
forestiers	---------|
quisc etbienfaireai diersepuet	--|--⌫-|---|----|--⌫---|-|---|
orl e pren onsfa ire l	-|-⌫|----⌫--|--⌫--||
quantbrunl iourslesotuenir	----|---|-⌫|---|--|-|----|
p ot plus astenir	-⌫-|---|------|
a inzasachié de tel air	-⌫--||------|-|--|--|
que tout lecuir fait departi r	--|---|-|---|---|-------⌫|
dent ourson groine t de sesioe s	|---⌫--|--|----|-⌫|-|--|---⌫|
ne remaint c uir	-|------|-⌫--|
en tierespoes	--⌫---|-|---|
mai saincois quil sen	---⌫|-------⌫-|-||-|
liontmo ltbatu	-|--|--⌫-|---|
demac ues etdebastons	-|---⌫--|-|-|------|
ensus set raita r e culons	----|-|-⌫---||-⌫-⌫-----|
renartl aten u pouruilain	-----|||---⌫|---|-----|
hasartget a arriere main	-----|---⌫|------|---|
enuaita longuealaine	-|---||-----|-----|
maisainzotmoltsouffertdepaine	---|---|-|---|-------|-|----|
parl es sains	--|-⌫-|----|
qu el enq uiertaromme	--⌫|-⌫-|-⌫----||----|
a insiserui	-⌫---|----|
renart main th omme	-----|----⌫|-⌫---|
apresse mist	----|-|---|
renartenese	-----|-|--|
neremainst pas poursamese	-|-------|--|---|-|---|
quantuintautres pasdune rue	----|---|-|----⌫--||--|--|
rampos ne lir u e	------⌫-|-|-⌫-⌫|
b iau sir e brunet querm e	-⌫--|---⌫|---|-|---|-⌫|
estesuousmoinesou hermites	----|---|-----|-|-------|
me ssechantersauez	--⌫--|------|----|
qu antuo ussigrantco uronneaue z	--⌫--|--⌫-|-|----|--⌫-----|---⌫|
mo ltp arauezuermeil le chief	--⌫-|-⌫-|---|------|-|----|
renart l i	-----|-⌫|
f istitelmeschi ef	-⌫--|---|------⌫-|
deceafaitdant	-|-||---|---|
et lamesenge secomplaint	-|-|------|-|--------|
carq uantelleleuoult baisier	--|-⌫---|---|-|----|------|
uoulta ppoi er	----|-⌫----⌫-|
luicombrer	--|------|
ains ilauouloitencombrer	----⌫|-|------|--------|
ouuriseseles	----|--|---|
sis ebo utade denz	-|-⌫|--⌫--|--⌫---|
faisoit grantdesuerie	------|----|-------|
qu antuers	--⌫--|---|
luipensoittelfolie	--|------|--|----|
maintet rais on li afai te	-----|-⌫----⌫-|-||---⌫-|
prendrelacu daensouh ete	------|-|--⌫-|-|----⌫--|
ellee s toitenfoisa commere	---|-⌫-⌫---|-|--|-|------|
el letenoitpou r son	-|-|-----|---⌫|--|
pour celediq ue n est pasbiaus	---|-|-|-|-⌫-||--|--|----|
lasecontin tcom desloiaus	-|-|------⌫|--|--------|
quisonpoil uoitne doit pascroire	--|--|---|---|-|---|--|-----|
pa rnaturef aita	--⌫|-----|-⌫--||
mescr oire	-----⌫---|
damepinte se restclamee	---|----|-|---|-----|
q uie stdemaintesgensame e	-⌫-|-⌫-|-|------|---|---⌫|
desaserourdamecoupee	-|-|-----|---|-----|
querenartotsiescoupe e	--|-----|-|-|-------⌫|
etyymort es de	-|-|----⌫-|-|
sesse re u rs	--|--⌫--⌫-⌫-|
don ts on cuerestengranzdouleur	---⌫|-⌫-|---|--|-|----|------|
af a ita mai ntes gens	|-⌫-⌫-||---⌫---|---|
iane pour orne	-|-|---|-|-|
pou rarge ns	---⌫|----⌫-|
lennel doit	--|-||---|
laissiera iug ier	-------||---⌫--|
licorbi ausestacourt	-|-----⌫--|--||----|
lisoittenu s	-|---|----⌫|
d erena rtqui pristsonfourmage	-⌫|----⌫-|--|----|--|-------|
etapresfistsigranto utrage	-|----|---|-|----|-⌫-----|
densleuou ltsais ir	---|-|---⌫-|----⌫-|
maisilnenfistpa sson	---|-||-|---|--⌫|--|
cilzsape r cut	---||---⌫-⌫--|
q uil leuoltp rendre	-⌫|-|-|---|-⌫-----|
tour naneluoult atendre	----⌫-|-||----|------|
renartquisotde tantesfrumes	-----|--|--|-|-----|-----|
liesracha yydes	-|------|-|--|
cu da a uoirsurpr i s	--⌫-|-⌫---|-----⌫-⌫|
parsonengingetentr e p ri s	--|--|-----|-|----⌫-⌫-⌫--⌫|
i ldi s tlifeuxquil	-⌫|--⌫-⌫|-|---|-|-|
a uoitplai e	-⌫---|----⌫|
otma le monno ie	-|--⌫-|-----⌫-|
neuouspourroiepasretraire	-|---|-------|--|-------|
lesma usles hont esles	--|--⌫-|--|----⌫-|--|
contrer e s	-------⌫-⌫|
quer enart leur afait ail le urs	--|-⌫----|---||---|---⌫--⌫--|
ay se ngrin	|-⌫--⌫----|
etapluseurs	-||-------|
ysengrins est am oi cla me z	-------||--||-⌫-|---⌫--⌫|
de renartquit ant	-|-----|--|-⌫--|
quesafame liamal mise	--|-|---|-||---⌫---|
et surluiasaforce	-|--|--||-|----|
si ui lmentetentelmaniere	-|--⌫----|-|-|--|------|
aus sicomme autrecham berier e	---⌫-|----|----|----⌫------⌫|
touz ses pensers i fufournis	---|--|------||-|------|
sedro izn enaitouzsui h onniz	-|---⌫-||-|-|---|--|-⌫----|
sen eu eultquema	-|-⌫|-⌫---|--|-|
gentmehace	---|-|---|
ilescouu ientquedroi ten f ace	-|------⌫---|--|----⌫|-|-⌫--|
dantroe ni au s	---|---⌫--⌫--⌫|
leuieusmasti ns	-|----|-----⌫-|
quiresetd e	--|----|-⌫|
pluseurs lati ns	-------|----⌫-|
etq uimolt afier	-|-⌫-|---||---|
le coura g e	-|-----⌫-⌫|
s erest clamezquantelme ssage	-⌫|---|-----|----|-|--⌫----|
lauoie tramisdemapart	|----|-----|-|-|---|
qu il me feis tuenir	-|-|-|----⌫|----|
dont lifistdanrenart grant hon te	---|-|---|--|-----|----|---⌫-|
qu eie nesaidire	--⌫|-|-|--|---|
maisb ie nai oyl an o uuele	---|-⌫--⌫|-|-|-⌫|-⌫-⌫----|
deq u oiroeneluousapele	-|-⌫-⌫-|-----|---|----|
si di stquepar satraison	-|--⌫-|--|--|-|------|
lefistreteniren	-|---|------|-|
e tmuserl efistparparole	-⌫|----|-⌫|---|--|-----|
si li distdel acaa ignole	-|-|---|-|-⌫|---⌫-----|
queunsui lains auo it te ndue	--|--|--⌫----|---⌫-|--⌫---|
gesoit zzsaintuair e	-----|-|---------⌫|
que le nappellesai n t hyla i re	--|--⌫|------|---⌫-⌫|----⌫-⌫-|
etbienentendr eli afait	-|---|-------⌫|-||---|
qu ile credrece ntli	-|---⌫|-------⌫-|-|
s otpasl a uctoritey	-⌫-|--||-⌫--------|
pensa quedeistueritey	----|--|----|------|
nesesot pas	-|-|--|--|
contregarder	-----------|
renartquele nd euroit	-----|--|--⌫|-⌫-----|
tantl ifis t saparole auoire	---|-⌫|---⌫|-|-----||----|
quilli fis tsamencong e acroire	-|-|-|---⌫|-|-------⌫|------|
quisisagesestresoul o it	--|-|----|----|----⌫-⌫-|
sis agequinefo loit	-|-⌫--|--|-|--⌫---|
ala ba issier uitlefrom mage	||-⌫--⌫-----|--|-|----⌫---|
quilifistrendrelemusage	--|-|---|-----|-|-----|
ne uoult laissi erq ue	-|----|------⌫-|-⌫-|
il nimorde	-|||----|
auress ac hierdescentla	-|----⌫--⌫---|------|-|
qui dessus l e co l	--|-----|-⌫|--⌫|
aussi descentcom	----|------|--|
nef quia uale	--|--|-⌫---|
cilm onteam o nt	--|-⌫---|--⌫-⌫-|
desto urne	-----⌫---|
e trenart quipoint neseiou rn e	-⌫|-----|--|----|-|-----⌫--⌫|
et quil en maine commefol	-|--||-|----|----|--|
le laissa pendreparleco l	-|-----|-----|--|-|--⌫|
renartl irousqu e	-----|-⌫|---|--⌫|
mau feusarde	--|---|---|
des uingnes	--|------|
feu s tgarde	---⌫-⌫|----|
bienfustlimas tinsdeceus	---|---|-|---⌫---|-----|
des gar des	--|---⌫--|
fuaperceus	-|-------|
aus macues et	--|-----|-|
aus arciaux	--|------|
li aunere nt	-|------⌫-|
biensesburiau x	---|--|------⌫|
illecfut antlilas	----|-|-⌫--|-|--|
qua ter re li ontabatu	-||---⌫-|||--|----|
ne brait necrientn ene	-|----|-|-----|-⌫|-|
simplem entcontenirl estuet	-------⌫--|-------||-----|
agrantpaineen	|----|----|-|
eschapeu is	------|-⌫-|
si commeildist	-|----|-|---|
ieuouspleuis	-|---|-----|
molt deuroitlen renartdes t ruire	---|------|--|-----|---⌫-⌫----|
quetouzli mons	--|---|-|---|
l ideuroitnuire	-⌫|------|----|
ainsi baillis t ces b onnesgens	----|-------⌫|--|-⌫----|---|
ienenprendraior ne argen s	-||-|-------|-|-|-----⌫|
quilnede st ruieouquilnepende	-|-|-|--⌫--⌫---|-|-|-|-|----|
tieusqueil	----|--|-|
sendeffend e	|-|-------⌫|
h onte m a f a itet uilanie	-⌫---|||-⌫-⌫-|-|------|
souf fertsa gr antfolie	----⌫---|-|--⌫--|----|
renarttout	-----|---|
cemauezuous fait	-||---|---|---|
q uibiau c estsiai tmal	-⌫-|---||--|-|--⌫|--|
touz ioursnousauezf ait	---|----|---|---|-⌫--|
deuou ss eplaintchascunebeste	-|---⌫|-⌫|-----|-------|----|
maisp arma barbe	---|-⌫-|-|----|
et ieen mo n c onseille truis	-|-|-|--⌫|-⌫-----|-|----|
quantuousde	----|---|-|
cim escha perez	-||-----⌫----|
i amaisb este ne tricherez	-⌫----|-⌫---|-|--------|
renartfaitil	-----|---|-|
m o lte shais	-⌫-⌫-|-⌫|---|
cilzquin estoit pa s esbahi z	---|--||-----|--⌫|------⌫|
molta estéabonne escole	---||----||----|-----|
uersterre tintencl inson	---|----|---|----⌫-|--|
s if aitse mbl antquilli soit grief	-⌫|-⌫--|--⌫---⌫--|-|-|-|---|----|
bien sesot tai re et bienpar ler	---|-|--|---⌫-|-|---|---⌫--|
etbienrespondre e t repli quier	-|---|--------|-⌫|-----⌫----|
quan t il enalieu	----⌫|-|-||---|
que i lcouuient queil s entaise	--|-⌫|-------|--|-||-|----|
et il uoitl eroy couro uci é	-|-|---|-⌫|--|-----⌫---⌫-|
e til asonchief redrecié	-⌫|-||--|----|--------|
r iens queapre ndre	-⌫---|--|----⌫---|
biens e sot	---|-⌫|--|
aidier etdeff endr e	-----|-|----⌫----⌫|
itan t adi t	----⌫||--⌫|
queilottroit	--|-|------|
qu ilpuisse respondreetpa r dro it	-|-|-----|--------|-|--⌫|---⌫-|
etq ue a d roitdir e saco rt	-|-⌫-||-⌫---|---⌫||---⌫-|
tantenferani aura	---|-|---|||---|
re nartfait n obl esbie n asdit	--⌫---|---|-⌫---⌫-|---⌫|-|--|
ia ce rte sn ens eras	-|--⌫---⌫||-|-⌫---|
ordiras noustescouterons	-|----|---||----------|
set udisbien nousle xxx	-|-⌫|--|---|---|-|--|
renart respo ntsirebiend ites	-----|-----⌫-|---|---|-⌫---|
b i en auezdit	-⌫-⌫-|---|--|
ne suipasq uites	-|--|--|-⌫----|
d essemonses que	-⌫-|-------|--|
que uous auezd essurmoi	--|---|---|-⌫----|--|
