lesse ignorsanciainsquiontbatailleor	--|--⌫-----|-------|--|--|---------|
cefaitilq uiles s ien semparadis	-|---|-|-⌫-|--|-⌫---⌫|-|------|
de cedistsaint eiglisenest	-|-|---|-----⌫|-----||--|
paschosecelee	--|----|----|
qu iestade espo se etdeluimoutame e	--⌫|--||-|----⌫-|-|-|--|---|---⌫|
ded an zlocorsdeda rzd	---⌫--⌫|-|---|-|--⌫-||
amorsnafree	----|-----|
as sainzp raacheors	-|----|-⌫--------|
bienestchos e	---|--|----⌫|
de mausm an uironez	-|---||--⌫------|
apuie ́smoide	-----⌫-|--|-|
d emandezu o s	-⌫------|-⌫-⌫|
por quoiqu ar	--|---|--⌫-|
ielangui sd	-|------⌫||
porflor suntentendu	--|---|---|------|
d ebiencom enceor	-⌫|---|---⌫-----|
e t por mau sfermeouredesparfaizp ar	-⌫|--|---⌫|----|---|--|------|-⌫-|
sainteygliserequier de florapuiement	-----|-----|------|-|---|--------|
quar cilquibie n comancent s untfoible duremant	---|--|--|---⌫|--------|-⌫--|-----|-------|
parc oontmiau smestier de	--|-⌫|--|----⌫|------|-|
bonenseigneman t	--|-----------⌫|
quarenp ar lerded euagr ant c on fo rtement	---|-|-⌫--⌫--|-|-⌫-||--⌫--|-⌫--⌫--⌫------|
de mausanui ronee uiau test re senzmen tir	-|---|----⌫----|----⌫|---⌫-|---|---⌫--|
quarquiuoudraou	---|--|-----|-|
reigned e s seinzparuenir	-----|-⌫-⌫|----|-------|
m au s poinesetengoisseslicouindrasoffrir	-⌫--⌫|-----|-|--------|-|-------|------|
nelopuetautrement	-|-|---|--------|
nigunsh onsdeserui r	-----|-⌫--|-------⌫|
sides l enos otroiedisormaisdesclairons	-|--|-⌫|--|-----|--------|----------|
perquoi icestpro logueiciretraitauo ns	--|---|----|---⌫----|--|------|---⌫-|
feiaumen ts implement quen osne corrocons	--------⌫|-⌫--------|--|-⌫-|-|--------|
nuldeuosia ngleriedireneuosuolons	--|-|--|--⌫------|---|-|--|-----|
alenorihesucristlo filsaintema rie	||---|----|----|-|--|-----|--⌫--|
dobaronsentib autuosuuilconte r	-|----|--|---⌫--|--|---|-----⌫|
deusmo t roitparsagra ceque	---||-⌫-⌫---|--|-|---⌫-|--|
iela tr aie	-|-|--⌫--|
et ceausqui len te ndr ontpreigne asa p artie	-|----|--||--⌫--⌫---⌫--|------||-|-⌫----|
queil lonos	--|-|-|--|
otr oit chascunsendie	---⌫--|-------|-|--|
mou t fusen tiba uzsag e spoint n i	---⌫|-|--|----⌫-|---⌫-⌫|----|||
etfufiz co sacho iza bon esgen zdefran ce	-|-|--|-|-----⌫-||---⌫-|---⌫|-|----⌫-|
arnousotnon sesp eres samer e	-----|-|--|--|-⌫---|-|---⌫|
senzdo tance	---|--⌫----|
auoitpardr oitnonguille cosotsaconui chance	----|--|--⌫--|--|-----|-|--|-|-----⌫-----|
aproui nsfu	|-----⌫-|-|
norri s cis ei nz qui tant fu sa ges	-----⌫|-|-⌫--⌫-|--|---|-|--⌫--|
ilf ucom e laflorsquinaist	-|-⌫|---⌫|-|----|--|----|
es espi n ages	-|----⌫-⌫---|
nefupasseulement	-|-|--|--------|
nobl esses parentages	----⌫-|--|---------|
einzfucl ers	---|-|--⌫--|
ettres richescos aichoizse slignages	-|---|-----|-|-⌫------|--⌫|-------|
a uieneotaue squepleinsfu d esapiance	|----|-|---⌫---|-----|-|-⌫|-------|
quiauo itnontibau zcosauons	--|---⌫-|--|-----⌫|-|-----|
senzd otance	---|-⌫-----|
ihes u crist en soitelconuich a nce	----⌫|----|-|--|--|-------⌫-⌫--|
q u e ei nzque	-⌫-⌫|--⌫----|
c iz nasquisseannuncasa nasc hance	-⌫-|--------|------|-|----⌫----|
ic izsire dauesques dequoi	--⌫-|---||-------|-|---|
nosuos p arlon	--|--|-⌫----|
quaril o ut nontibauz tib aut	---|-|-⌫-|--|-----|---⌫--|
ce st uip arautre	--⌫--⌫-|-⌫-|----|
t i bautnon	-⌫-⌫---|--|
icizsires d au esquesqui	---|----||--⌫-----|--|
deuia nnee stoit	-|---⌫--|-⌫----|
comeb one p ersone	---|-⌫--|-⌫-----|
omundeseten oit	|----|-|---⌫--|
e tq uantil olamere	-⌫|-⌫---|-||-|---|
donne guille parl oit	----|-----|----⌫--|
meintesfoizt elsparolescomuo sorro isdisoit	------|---|-⌫--|------|--|--⌫|----⌫-|-----|
o plant ero semere	|-----⌫---⌫-|---|
dit ile siois	--|-|-⌫----|
etsoiestote alegremoutia	-|----|---|-----|---|||
bien parquoi	---|--|---|
detoi nai tra telsme requi porterai ensoi	-|--|---⌫--|---|--⌫-|--|-------|-|--|
zz f i lqui grantdeserteaura u es delo	-|-⌫-⌫|--|----|------|---|-⌫-|-|-|
lifizquidet afilledi t liauesqu es n aistra	-|--|--|-|-⌫|----|--⌫|-|------⌫-|-⌫-----|
tresto t nostre lign agee nsens	------⌫|-----|----⌫--|-⌫|---|
sormontera	---------|
deuantdedeua n tgenz granzapelez sera	-----|-|----⌫-⌫|---|----|-----|---|
mou tertamés	---⌫|--|----|
quitelfruitpo rte r a	--|--|----|--⌫---⌫-⌫|
a icesteparo leque li auesq ues disoit	|-----|----⌫-|--|-|-----⌫--|-----|
unep ouretefamme gran tie porto it	--|-⌫-----|----|----⌫--|-----⌫-|
lameredo nnegu i llegrosse	-|---|--⌫--|--⌫-⌫--|-----|
aperce uoit	------⌫---|
damoros es	|------⌫-|
paroles iss i laconfortoit	------|---⌫|-|---------|
damedisoit la	---|-----|-|
fammeq uaruosesioisse z	----|-⌫--|--|--------⌫|
iediqueenuostreuentre	-|-|--|-|-----|-----|
u ne f illeportez	-⌫-|-⌫---|-----|
dequo i naitra yyfi lquigranzertap elez	-|---⌫|-----|-|--⌫|--|----|--|--⌫---|
ah onor er tp arlui	|-⌫---|--⌫|-⌫-|--|
tozuostreparentez	--|-----|-------|
cedi tdesen	-|--⌫|-|--|
tibaut encoisq ueilnasquist	-----|-------⌫-|-|-------|
li auesq uesde uiannederie nn	-|-----⌫--|-|-----|-|---⌫||
enimesprist	-||-------|
ausilipo urefamme	---|-|--⌫--|----|
c o meismes	-⌫|------|
que lonsai chequilestmembres de ihe s u c rist	--|--|---⌫--|-|-|--|------|-|---⌫-⌫|-⌫---|
qui fuparles pr ophetes a uant	--|-|--|--|--⌫------|-⌫---|
propheciez	---------|
ap respa rloseint angeaspa torsannonciez	--⌫--|--⌫|-|----|---|-|--⌫---|--------|
de lachiualeriedel	-|-|---------|-||
ost docielloez	--|-|---|---|
quif uiparla no uelees toi l e desclariez	--|-⌫-|--|-|--⌫---|--⌫---⌫-⌫|---------|
et quifu enapresdestrois roisaorez	-|--|-|-|----|--|----|---|----|
e sbra iz seinsyme onquiuia uzest oit	-⌫|---⌫-|---|----⌫-|--|---⌫-|---⌫--|
ou temple des ei nte	-|-----|-|-⌫--⌫--|
an neconeus	--⌫-|-----|
de celuiestciz	-|----|--|--|
seinzmembres queuosoez	----|------|--|--|--|
amonpr oposeme nt disormaistornerai	|--|--⌫-------⌫-|--------|-------|
lol euouil	-|-⌫-|-|-|
na squist mia usuosdesclarerai	--⌫-----|---⌫-|--|----------|
desroisquiensontensfurent lesn ons	--|---|--|-|--|---|-----|--|-⌫--|
aceausqui n e	|----|--|-⌫|
sontnécon u chance	---|--|---⌫-⌫-----|
d e quelg enelogieal is sitc onterai	-⌫|---|-⌫-------|-|--⌫--|-⌫------|
come ntguerpitrichece	----⌫-|------|------|
p aradesxx x	-⌫-|---|--⌫|
e tcome nt pri stpourecec lerement	-⌫|----⌫-|---⌫-|------|-⌫-------|
ici est mapansee cim estudierai	--|--|-|-----|-||---------|
pro uinsest zzchatiausousein	---⌫---|--|-|-------|-|---|
tib a u z f u nez	---⌫-⌫-⌫|-⌫|--|
c eestlu esquidepupleest mout bien pupliez	-⌫|--|--⌫-|--|-|----|--|---|---|------|
z z contesdechampaign eodes	-⌫|-----|-|---------⌫|---|
es toitclamez	--⌫---|-----|
estoitpruchainsdelui	-----|--------|-|--|
quimoutfur enomez	--|---|-|-⌫-----|
cefuautenshe nri	-|-|-|---|--⌫--|
qui ro is d efranceestoit	--|--⌫-|-⌫|-----|-----|
etdesonfilph elippe qu iadonque s uiuoit	-|-|--|--|--⌫-----|--⌫|-------⌫|-----|
seint hibauz quila	---|-⌫-----|--|-|
boinedeiourece t ochoit	----|-|------|-⌫-----|
la ioiedecest mondep o n i	-|---|-|---|----|-⌫|-⌫|
pro unese goit	---⌫|-|--⌫---|
locoman ihesu c r ist quantoi r	-|----|----|-⌫-⌫--|----|--⌫|
agranth um iliteaourelometoit	|----|-⌫--⌫----||---|-|-----|
sico l isaige moi chesaruch eomple om ploit	-|-|-⌫|----|---⌫--|-|----⌫|----|--⌫----|
seinthibauzsonfin cuer	---|------|--|--|---|
desbiensqu il aprenoit	--|----|-|-|-------|
queilfustharmit ainsa uoiti lgr anttalent	--|-|---|------⌫---|-⌫---|-⌫|--⌫--|-----|
helyasfupremie rscotrouonsnoslis an t	-----|-|------⌫-|-|------|--|---⌫--⌫|
etseiniohans bapti stesquimout fud egrant	-|---|-----|-----⌫---|--|---|-|-⌫|----|
e tantoines ce setlonuoirement	-⌫|-------|-|--|--|--------|
lorsteneueu iandeenuielifasoit	---|-----|-⌫----|----|-|-----|
de lorsrobes plusque rien	-|---|----|---|--|---|
des irroit	---⌫-----|
lo re g artdess ei nzanges ior	-|--⌫-⌫--|--|-⌫--⌫-|----|--|
etnuit c ouoitoit	-|---|-⌫-------|
oureig ne d esse inzciels	-|----⌫-|-⌫-|--⌫--|----|
chambreachater uoloit	------|------|-----|
senztibauzde	---|-----|-|
ces chosesetd autr es	--|-----|-||----⌫-|
s enestto tacelee a	|-|--|--⌫||----||
zzherm ite ale z	-|----⌫--|---⌫|
qu i moutestoitprodo nz	--⌫|---|-----|-----⌫-|
burc ars f u apelez	----⌫--|-⌫|-----|
en zzyl ede	-|-|--⌫|-|
sain eoud esestoitdotez	----⌫|-|-⌫-|-----|----|
puisfumoignes as ensc oestlaueritez	---|-|------||-⌫--|-⌫|--|-|------|
ou most ie rdeseinperequifuiadisfundez	-|----⌫--⌫|-|---|---|--|-|----|-----|
consoilqui st	------|---⌫-|
a lermiteetcil lou	||-----|-|--|--|
conseillet	---------|
r emestsenztibauz	-⌫----|---|-----|
gautierzzchiu aliero	------|-|----⌫----||
soi acompane t	--|--------⌫|
moutfu rentbonensambleli unsmout	---|--⌫---|--|-------|-|--|---|
lautream et	|----|--⌫-|
sent ibauzet	--|-⌫----|-|
g a ut iers is sisacompeignerent	-⌫-⌫--⌫---|--⌫-||-------------|
se nz plusfere demoresus	--⌫-|---|---|-----|--|
lorcheuausm onterent	--|------|-⌫-------|
lorsescuierssenzplusauec aus	---|-------|---|---|---|--|
enmenerent	-|-------|
alacitede roinsdroitement	|-|---|-|----|---------|
enalere n t	-|-----⌫-⌫|
sentibauzchiua liersdela chiuale rie	--|-----|-----⌫----|-|-|-------⌫--|
ihesuauroi	----|-|--|
puissant a samaisonlaiss ie	-------||-|-----|-----⌫-|
sonpereetsameresesfr eresentrob lie	--|---|-|-|---|--|--⌫---|------⌫--|
ses p ar e n z se s	--|-⌫--⌫-⌫-⌫|--⌫|
ser ianz et des	---⌫---|-|--|
genzcomp eig ni e	---|----⌫---⌫--⌫|
iluosistce idre de	-|-----|--⌫---|-|
lachiualerie	-|---------|
lespeealapasqueau i augautiersauie	|----||-|-----|--⌫-⌫-|------||---|
alacite deroi nsquimoute st	|-|---|-|---⌫-|--|---|-⌫-|
s ensuntuenuensemblesi con	|-|---|---|-------|-|--|
ieuo sdeuis	-|--⌫|----|
uossis sant parleralor a mi s	------⌫---|-----||--|-⌫--⌫|
ne sotlor entenduefors quedes cosai c his	-|--|--|-------|---|--|--|-|---⌫-⌫--|
oie zquefiren tpu isetcoment	---⌫|--|-----⌫|--⌫-|-|-----|
i lourerent	-⌫|-------|
escuierset che uausa lorote llaisse rent	-------|-|---⌫---||--|---⌫|------⌫---|
e tde nuit	-⌫|-|---|
to tapie coiem entsen	--⌫||--|-----⌫--||-|
e tnuler ien	-⌫|---|-⌫--|
quisoitforsque aus	--|---|---|--|--|
nemporterent	|----------|
queuos diroie i eyypele r ins	--|--|-----|-⌫|-|----⌫-⌫--|
trou e rent	----⌫-⌫---|
delorstres	-|---|---|
bones robes	----|----|
enduis edespoillerent	----|-⌫|------------|
pelerinsmaintena ntl esliu rere nt	-------|--------⌫-|-⌫-|---⌫----⌫-|
etdele slorpo uretespouremen t	-|-|--⌫|--|--⌫-----|--------⌫|
sahorneren t	|---------⌫|
senz seue nuspiesdes	---|---|--|---|--|
ouset s enalerent	-|--||-|------|
azz leu q ueon	|-|--|-⌫-|-|
apele piti ngose paissere nt	----|----⌫--|-|--------⌫-|
oureignedal emaigne oulontens demorerent	-|-----||--⌫------|-|--|---|---------|
iqu ipor lamor d e	---⌫|--||---|-⌫|
grantpouretesof frerent	----|------|---⌫------|
agranttrau a ilaquistrentloupeindon il uisquerent	|----|----⌫-⌫-|---------|--|---|--|-|---------|
co queonlit deioseph cosaice rteine me nt	-|--|-|--|-|-----|-|--|--⌫------⌫--⌫-|
ou saumedou sautier qu ilosensbiene ntent	-|----|--|------|--⌫|-|---|---|-⌫----|
potlunde cesyyliretot	--|--|-|--|-|---|--|
uniuerselm ent	----------⌫--|
lorsmainsem plusorsouresseruir ent uoirement	---|----|-|------|----|------⌫--|--------|
deui la inslo rblan ch es	-|--⌫--⌫--|--⌫|----⌫--⌫-|
mai nsmetoient	---⌫-|-------|
lespierres pa rmurs faire	--|------|--⌫|---|----|
acesmaconspo rtoient	|--|-----|--⌫------|
leserbe s oulesfa uzquant poinz	--|----⌫|-|--|--⌫-|----|----|
estoit trenchoient	-----|----------|
lofi ensfo rsdes estables	-|--⌫--|--⌫-|--|-------|
aciuerespor toient	|------|---⌫-----|
si consen ti bau zdit au si c harbonfac oient	-|--|--|--⌫---⌫|--|--⌫-|-⌫-----|---⌫----|
decelpetitargentl o rsuies sostenoient	-|--|----|-----|-⌫-⌫-|---|----------|
de c et uilabo raige queiltan t comparerent	-|-⌫--⌫-|----⌫----|--|-|---⌫|----------|
lorsuie ssost raitrentet	---|---⌫|----⌫-------|-|
agran tpoine apod	|----⌫|----||-||
ai sepoet po	--⌫-|-|-|-|
estrangerent	-----------|
ar g ent siquaseini aqueen	--⌫-⌫--|---||---|-⌫---|-|
galice e nalerent	-----|-⌫|------|
a g rantd euoci onl ou seint	|-⌫---|-⌫-----⌫-|-⌫-|----|
leuuiseter ent	--|-------⌫--|
quantlorsoroison orent feni esb eletbin	----|---|------|----|----⌫-|-⌫-|-|--|
etfai tlorofferend escomebonpele rin	-|---⌫|--|--------⌫-|---|--|----⌫--|
et ils enretornoientporpensantdel orfin	-|-||-|----------|---------|-|-⌫-|--|
zzd iaubletoruerenttrauersé ou chemi n	-|-⌫-----|--------|--------|-|-----⌫|
fo rm edomme	--⌫--⌫||---|
locors otgrantetfier	-|---|-|----|-|---|
nesembl o itpassihom econ	-|-----⌫-⌫-|--|-|---⌫|--|
sem bloitauersier	---⌫----|-------|
ilentendoitenfaireseinthibau ttrabuchier	-|--------|-|----|---|------⌫|---------|
iqui seilpeusse lo ucuidaperilier	---|-|-|-----|--⌫|----|-------|
mess irese in	--|-⌫--|--⌫-|
tibauzonques nesesmai et	-----|-----|-||-----⌫-|
la croizoudesfu	-|----|-|--|-|
misau te me ntreclamet	--|--⌫--⌫--⌫-|-------|
etde latr inite autementseseignet	-|-|-|--⌫----|-------|-|------|
a tantcomefumee	|---|---|----|
diabl es sen alet	-----⌫-||-|---|
siauseriant dedetr abucheporch acoit	-|-|------|-|-|--⌫-----|-----⌫----|
diablesnigun shonzmerueliernesedoit	------|-----⌫|---|--------|-|-|---|
quarihesuc ristmeimestrabuchierius cudoit	---|----|-⌫---|-----|---------|--|-----|
d unp ignac le	|-|-⌫-----⌫-|
doutemp le quantil lon	--|----⌫-|----|-|--|
luie sto it	--|-⌫---⌫-|
a tr i uela ci te estseint i bauz ue nuis	|--⌫-⌫-|-|--⌫-|--|---|-⌫-⌫---|--⌫---|
etgautierssescompei nzn uspies	-|-------|--|------⌫-|-⌫-|---|
et malue stu s	-|--|--⌫---⌫|
iqu itrouasonpere dontm outfuirascu s	---⌫|----|--|---|---|-⌫--|-|------⌫|
masa iorde s a uiene	--||--|-|-⌫|--|-|
fu issic onfus	-|---|-⌫----|
detriuesu intarom e tan tail esp letié	-|-----|-⌫--||---⌫|---⌫||-|---⌫-----|
deueoirlousepulcre do fi deuot	-|----|--|-------|-|-|--|-|
s i sen uienta ue nic e la	-⌫||-|----||--⌫---⌫|-|
c iteseignorie	-⌫--|--------|
comme seiluossi tpasse r mer	----|-|-|-----⌫|-----⌫|--|
s entibauz que ihesuliperes tant amet	-⌫-|-----|--|----|-|----|---|---|
lesfi nsdelonbardieapresc otresp asset	--|--⌫-|-|--------|----|-⌫|-----⌫----|
q uimou tliplotiquiendroittrouet	-⌫-|---⌫|-|---|---|------|-----|
uesinetes cal leu s alanique ape lezt	--------|--|--|-⌫-------|---⌫---|
sein tiba uz ice alleuentor an uirone t	---|----⌫-|---⌫-|--|----|--⌫------⌫|
e tparlauolen tede defo rment	-⌫|--|-|-----⌫-|-|-|--⌫----|
zz grantbois iauoitqui	-|----|---||----|--|
moutl oco nfortet	---|-⌫|--⌫------|
dune anciaineiglise l a	|--|-------|-----|-⌫|
murai llei	-----⌫--||
ill assezdesono irre iquise	-|-⌫----|-|--|-⌫---|---|-|
etass eignors	-|-|-⌫------|
douleum aison idema ndet	--|--|-⌫----||----⌫---|
s icommeilla quistl unlali	-⌫|----|-|-|----||-|-|-|
atenir uie danges	|----|--||----|
ente rre c omencet	-|--⌫--|-⌫------|
dechar de to t egraisse sasteintpremereme nt	-|---|-|--⌫-⌫|------||------|---------⌫-|
painsdorgefusauieetaiguesole ment	----||---|-|-|--|-|----|----⌫---|
puis se soffri t do up ainetdaigueausement	---|-|------⌫|--⌫|-⌫--|-||----|-------|
f rui zherb es etracines usoit n i pl us	-⌫---⌫|----⌫-|-|------|----|-⌫|--⌫-|
ets ipor toitlaaire quil o gr e uoit	-|-⌫|---⌫---|-|---|--|-⌫|--⌫-⌫---|
ihesucui il ser uoit e n iceloporuu t	----|--|-|---⌫---|-⌫|--|-|-----⌫|
que tanqueil	--|-----|-|
fuprest resto zses	-|-----⌫--|--⌫|--|
o rdr es rec ut	-⌫---⌫-|---⌫-|
ou most ierde ui ncence	-|----⌫--|-|--⌫-----|
leui chiers locon ut	----⌫-----|-|---⌫-|
qui ene stoiteuesqu e scil uia ust que issi	--|-|-⌫----|------⌫-⌫|--|---⌫--|--|---|
ouest cilsquiconter	-|--|---|--|-----|
porroit or	------|-|
quelidiables	--|-|------|
f it as oncorsdetorment	-⌫-||-⌫-|---|-|------|
sacr oiz po rt oit	-|--⌫--|--⌫--⌫--|
toziors deuprioitdoce men t	--|---|--|-----|----⌫---⌫|
chacun i ordecorgies se ba stoitasprement	-----|-⌫-|-|------|-|--⌫----|--------|
ligloriousco rss einzi s si se tormentoit	-|-------|--⌫-|-⌫---|-⌫-⌫-|-|---------|
parlamorihes u	--||---|----⌫|
cristqueiltant	----|--|-|---|
deyya nznedormitengi s anz co d i soi t	-|-|-⌫-|-|-----|-|--⌫-⌫--|-|-⌫-⌫---⌫|
samaigni epriueemasenseanz d or mo it	-|------⌫|-----|--|-|----|-⌫--⌫--⌫-|
lolosnilobobantdela	-|--|-|-|-----|-|-|
gentneu o loit	---|-|-⌫-⌫---|
parc equeluncuidast qui l	--|-⌫|--|--|------|-|-⌫|
courirdedanzson	-----|-----|--|
li tetdol un secochoit	--⌫|-|-|-⌫-|-|------|
etapressaseoi tet	-|----||-----⌫|-|
en sea nzdormo it	-|---⌫-|-----⌫-|
puis auintquega utierssescomp ainz trespass et	---|----|--|--⌫-----|--|----⌫---|--------⌫-|
n aturesi codeus uiautrende t	-⌫----|-|-|---|----|-----⌫|
ei nzque mie nuiz fuss e sentibauzsusleue t	--⌫----|--|---|----⌫|--|-----|--|----⌫|
q uantliautredormo ien t etil deuaoret	-⌫---|-|----|-----⌫---⌫|-|-|--|----|
les main steintestend uesdeprier	--|----⌫|----|------⌫--|-|----|
apres qu antest oit ho requelanleuer	----|--⌫--|---⌫--|--⌫-|--|--|----|
paraler amatinesensonlitseto rnoi t	--|---||------|-|--|--|-|--⌫----⌫|
i lneuoloit	-⌫|-|-----|
p aslo sdesbiens	-⌫-|--⌫|--|----|
quenigunsles seusseforsquedeusne	--|-----|--|-----|---|--|---|-|
log ui ard onde luisenzpl usenatendoit	-|-⌫--⌫---⌫-|-|--|---|--⌫-|-|-------|
zz a rchefuauantliliz o uilg isoit	-|-⌫---|-|----|-|--|-⌫|-|-⌫----|
laquel e pardessustoteigues estoit	-|----⌫|--|-----|---|----|-----|
zz linouelfa it	-|------|--⌫-|
de laine suscal	-|----|--|--|
fust esten doi t	---|-----⌫---⌫|
quedeio r s	--|-|--⌫-⌫|
testecontrelochautportoit	----|-----|-|----|------|
q ue sesmenbre sdairearmés a uo it	-⌫-|--|------⌫||---|-----|-⌫--⌫-|
sos lolincueld e lainneautre ai re este ndoit	--|-|------|-⌫|-----|----|--⌫-|----⌫----|
et en leudecel e a rcheou ilgi sirsoloit	-|-|--|-|---⌫|-⌫---|-|-|--⌫--|-----|
susunelarge	--|--|----|
do leegisoit	--⌫--|-----|
duiancomp liestoientcesa uo nsu oirem ent	--|-|----⌫-|-------|-|--⌫--⌫-|-⌫-----⌫--|
iquier eci s einz premire ment	---|--⌫|-|-⌫---|-------⌫---|
quantses compeinzg autiers ueint	----|--|-------|-⌫------|----|
asonfine m ent	|--|----⌫-⌫--|
noscreon saiostésdign ement	--|-----⌫|-------|----⌫----|
des feiaus deuan tde	--|-----|-----⌫|-|
tentementdediab l e neli fa illirentm ie	--------|-|----⌫-⌫|-|-|--⌫-------|-⌫-|
dec eque dit	-|-⌫|--|--|
sein iaques qu il	---|-----|-|-|
e ustsapartie	-⌫--|-|-----|
amontenparadise nla grantcompaignie	----|-|------|-⌫|-|----|---------|
des angesdesarchangesq ue deu s	--|----|--|--------|-⌫-|---⌫|
aen b aillie	|-|-⌫-----|
ilr econteseiniaqu eceest l a	-|-⌫-----|---|----⌫|-|--|-⌫|
bienaue nturezestlihonz	---|---⌫-----|--|-|---|
quie sttentez	--|-⌫-|-----|
qua rquantil s era	---⌫|----|-|-⌫--|
bienfinemen tesprouez	---|-------⌫|-------|
de la saintecoronede uieest coronez	-|-|-----|-----|-|--|--|------|
quedeusp romi stacaus	--|---|-⌫----⌫-||---|
decui ilestamez	-|--|-|--|---|
iaauientunenuit	-|-----|--|---|
quesei ntibauz	--|---⌫|-----|
acostez enson	------|-|--|
listm as pasnese dormoit	---|-⌫-|--|-|-|------|
zz dia bled enfer de costelui	-|---⌫--||----|--⌫----|--|
q uilaparoipa rforce desa	-⌫-|-|----|--⌫|----|-|-|
maisoncro sloit	-----|---⌫----|
quilalast amatines	-|-|----||------|
p arsonnon l	-⌫-|--|--||
et quetost leuastsussouent lam onestoit	-|--|---|-----|--|-----||--⌫-------|
acelapel seleue sein ztibaut	|--|---|-|---|----⌫|-----|
qu icuidoit	--⌫|------|
qu efustzz	--⌫|---|-|
deses freresqu ia n silohatoit	-|--|-----|--⌫|-⌫-⌫-|-|-----|
en uaitala cel leou cilfreresgisoit	-|---||-|---⌫-|-|--|-----|-----|
ensonlistlotrouaouil	-|--|---|-|----|-|-|
enqu ordormoit	----⌫-|------|
lorssotbiensein	---|--|---|---|
ti bauzde fin e uerite	--⌫---|-|---⌫|-----|
que cees to itdiable s to z pl einsdiniqui te	--|-|--⌫--⌫-|------⌫|--⌫|--⌫---||------⌫-|
auteme nt reclama lasaintetrin it e	------⌫-|------|-|-----|----⌫--⌫|
delacroizse	-|-|----|-|
seignalorscha cac el maufe	-----|---|---⌫-|-⌫-|----|
il lenoit aler du rement	-||-|--|---|--⌫-----|
fremissant	---------|
seileustcenthomes	-|-|---|---|----|
qui loboistra nchessant	--|-|---|---⌫--------|
acoigni estel noisececroinefeissant	|------⌫-|--|----|-|---|-|-------|
mais t el bruitne menerentsarr azinnepersant	---|-⌫-|----|-|-------|----⌫---|-|------|
ena utre tens a u eintqueil fu apelez	-|-⌫---|---|-⌫-⌫---|--|-|-|-----|
ap eleionlouchate louco ntenzest oitnez	|-⌫-----|--|-----⌫|-|--⌫----|---⌫--|--|
etil quiabien fai re estoitt ozabriuez	-|-|--||---|---⌫-|-----|-⌫-|------|
porcele paisrefai r e	--|---|---|-----⌫-⌫|
tanttost i es tal ez	-------||--⌫|--⌫-|
masdlale rnus pi es si atiriezes toit	--|||---⌫|--|--⌫-|-|------|--⌫---|
quelespla ntesdespie zt otesonflésauoit	--|--|---⌫---|--|---⌫|-⌫---|------|----|
quanti luit	----|-⌫|--|
