li tunconseilmatme intmestir	-|--|------||-|--⌫--|-----|
que l ui es tuce epartire	--|-⌫-|--⌫---||-----||
alezdanzabesles	---|---|---|--|
matineschanter.	------|------||
melz leïsiezla	---|-------|-|
ui esa inthomer	--⌫|--⌫--|----|
me sioli rraiquensaueraideui se r .	--⌫|-|--⌫---|-|-|------|----⌫--⌫||
a bénenou tquecurecir	-⌫--||-|--⌫|--|------|
rescoure fu sages	-------|-|----|
ne truuissez mielz sesustaidir	-|--------|----|-|---|----|
sirearceuescheneuosdeiten n uir	---|---------|-|--|---|--⌫-⌫--|
ki m eiuodert euos	-|-⌫-|-----||--|
pardreit iugier	--|----|-----|
il nusferr eitles menbr estustrenchier.	-|--|----⌫--|--|-----⌫-|--|--------||
quant nusauumle reiaconseil lir	----|--|---|-|--||-------⌫--|
ne se penst	-|-|----|
princequit erreadaballir	-----|--|-⌫---|-||-----|
quedesuncl erc facesunconseilir	--|-|--|--⌫--|---|--|--------|
maisle face des unboncheualir .	---|-|---|-|-⌫-|--|-------||
kiabu isunli puiss eaue rm ester	-||--⌫---|-|-----⌫|---⌫|-⌫----|
e por s u n cors	|--|-⌫-⌫|---|
l e sunuiollelies ga ngier .	-⌫|--|-----|-|--⌫--⌫----||
qant le mpe reurlesotd emotztenc ir	---||-⌫---⌫---|--|-|-⌫|---|----⌫-|
trestutesair el u i	-------|-|--⌫|-⌫-⌫|
fun tasuager.	---⌫|------||
l eis sezdanza bespar lerle messagi r	-⌫---⌫--|---|-⌫--|---⌫--|-|-------⌫|
liarceuesc h e se drece	-|--------⌫-⌫|-|----|
ene st an t	-|-⌫--⌫--⌫|
siadparléhautementenoant	-|-|-----|--------|-|---|
oezseinurco quem ande	--|-----|-|--|-⌫---|
agula nt .	-----⌫-||
i lsu nttreis	-⌫|--⌫-|----|
terres ilen	-----|-|-|
desa calabre queço be nestcaaua nt	-|-|------|--|--|--⌫|--|-|---⌫-|
a dre mésfem menee nfant.	-⌫|--⌫---|---⌫-|-|-⌫----||
balamiu re	----|--⌫-|
mahu meterua gant	----⌫||-----⌫---|
p urc ou usfait	-⌫-|-⌫|-⌫-|---|
karle scestm atalant	-----⌫|---|-⌫------|
pursulit a ntq ue	--|--|--⌫-⌫-|-⌫-|
esen d eucreant.	-|-|-⌫-|-----||
couostrecolnesten désso ssenbrand	-|-----|--||-----⌫---|--⌫|--|----|
sa le ines tes r ecu nisant	-|--⌫||--⌫--|-⌫---⌫-----|
pu ruostreu iene	--⌫|-----|-⌫-|-|
d orei geunbesant	-⌫---|-|-|-----|
die ntfranceis	---⌫-|-------|
binparolebalant	--|-----|-----|
e bienmanace e	|---|-----||
edeguuan t.	|-|-----⌫||
oezseignursunch oreuus ai	--|-------|----⌫--|--|-|
reis agul antuintotm u t grantir e	---|----⌫--|---|-|-⌫-⌫|----|--⌫|
cristienté uoltaestrus	----------|---||-----|
otse sdeus m eins uo suoderat	-|--⌫|---|-⌫---|--⌫|------|
i l ocir .	-⌫|---||
elmu ntsunfizferrat a	----⌫-|--|--|-----||
des sar arac insat o lui	--|---⌫----⌫--|-||--|
tele enpire	---|-----|
nat hummea lmundequecoseüstdescriure	|-|----|-⌫|----|--|-|-----|--------|
purc ̧oqueil eüstreçeüb ates tirre	--|-⌫-|--|-|----|------|-⌫----⌫----|
purnuleioie	--|---|---|
enusttal enz	-|--|---⌫--|
karsi tel ostuersCrestiens se uire	--|-|--|--|---|--------|-|---|
onquesnefu plus d olerus	-----|-|-|---|-⌫-----|
oez seingnur s	--|--------⌫|
dunt agul anttençon e	---|----⌫--|-------⌫|
cristi entéde struitedepe rsone	------⌫----|--⌫-----||----⌫----|
elmun t sun f izuolt	-----⌫|--|-⌫-|---|
coroner arome	------||---|
auosmeimes	|--|-----|
abateralacorune.	------|-|-----||
Turp i nspa r ol e mesn a tale n tquer i e	----⌫-⌫-|--⌫-⌫--⌫|--|||----⌫-⌫|--|-⌫-⌫|
r eisagulantuient ot s abarunie	-⌫--|------|----|-|-⌫|------|
p arset feizcm c onduit	-⌫-|--|---|||-⌫-----|
en sabaillie.	-|-|------||
meruie n totmut grant	--|---⌫-⌫|-|--|----|
reistroïens	---|-------|
suneinzne f i zlesguie	--|-----|-⌫-⌫|--|---|
ta ntiatgentnia	--⌫-||-|---||||
nulquiuer en	--|--|--|-|
ainzque uingez asplenz delu nbardie	---|--|-----|-|----|-|--⌫------|
ne que ueez	-|--|---|
uerzailsneiuorie	-------|-|-----|
ul aterreertsasie	|-⌫|----|--|----|
Crestienté enert simal ba illi e	----------|-|--|-|--|--⌫----⌫|
n iaurahummekine	||---|----|-|-|
perdelauie	----|-|--|
euosmei meski sauez en	|--|---⌫--|--⌫|---|-|
kiconsentéscestenoue l eri e	-|---------|----|----⌫-⌫---⌫|
metez le col suzl espee	----|-|--|--||----|
esiltantne fait	||-|---|-|---|
q ue i ln e	-⌫-|-⌫|-⌫|
uosnef errez iames cheua lerie.	--|-|-⌫----|----|-----⌫----||
enautreterr e	-|----|----⌫|
auerez unebaillie	-----|--|------|
keuosuaudr atune senech aus ie .	-|--|-----⌫-|--|------⌫---⌫-||
a icestmotestla	|----|--|--|-|
chartrefinie.	------|----||
b alam entene npereü r	-⌫---|----|-⌫-------⌫|
qu ediraigea g ulantmun	--⌫|----|-|-⌫-⌫----|--|
cumbatreodluinat nulretur	-------|-|--||-|--|----|
plusquedelaneedelmu ier	---|--|--|--||--|--⌫--|
cen tmile s untnost re commenc eür	---⌫|---|-⌫--|----⌫-|-------⌫---|
eioendei estre l e	|-|-|--|----|-⌫|
prem ierfereür	----⌫--|------|
iol aienf i u si	-||-|-|-⌫-⌫|-|
urentmianceür	----|-|------|
suruncheualsiblanc	--|-|-----|-|----|
f auue negri seinzestde u nec olu r	-⌫---|-|---⌫|---|--|-|-⌫-|-⌫---⌫|
nient menurde	----|----|-|
aut re einz est unpoi	---⌫-|---|--|-|--|
qua ntuosuerr ezuosgent iusteraslur	---⌫-|--|----⌫-|--|---|-----|-|--|
naueztan t	|---|---⌫|
seuost reioiene uost urne a	-|----⌫-|---|-|--|-⌫---||
otlelireis mut	-|-|-|---|--|
grant irrur .	----|----||
fe rir leuolt	--⌫--|-|---|
meslesduxNaime si curt	--|--|--|-----⌫||---|
s ir epur deu lec reatur.	-⌫--⌫|--|--|-|-⌫-----||
iauos turnerunt a m al	-|--|--------||-⌫-|
tutl iplu s ur	--|-⌫|---⌫-⌫-|
ditl em pereir	--||--⌫-----|
ilmentli lecheür.	-|---|-|-------||
dit un seig nur sanzn ulcontreditur	-|-⌫-|----⌫--|---|-⌫-|----------|
que ainzqu at remeis	--|---|--⌫--⌫-|---|
niauratil dicest	||----|-||----|
enaspremuntpo rter aim aorreflur .	-|--------|--⌫----⌫-|-⌫|-------||
tantc ummedeu	---|-⌫---|--|
s auelemi n cors	-⌫--|-|--⌫|---|
n aueraiioia	|-----|-|-|
te rrïen seig nur.	--⌫-----|----⌫--||
balamoutirede lreiquilotenpensé	----|--|--|--⌫|--|-|-|-|-------|
quele fe ristseilnefustoste ́	--|-|--⌫---|-|-|-|---|----⌫|
de so reparolecumcheualiermenbre ́	--⌫|-⌫-|-----|--|--------|------⌫|
desun m essag equanqueil ot	-|--|-⌫-----⌫|------|-|-|
reiKa rlesententque ag ulanttea	--|--⌫---|-----|--|--⌫----|-||
o rrask iilf ucumandé	-⌫---|-⌫|-|-⌫|-------|
pursu n treu ̈qu e nelias	--|--⌫|----⌫|--⌫|-|-|-|
ilne seit trestrunné	-|-|---|----------|
failui huma geue ant tut sunb arn é	--|--|----⌫-|--⌫--|--|--|-⌫---⌫-|
sin el faizama lur fusn é	-|-⌫-|---||--⌫--|--|-⌫-|
netelerranechastelnecité	-|-|----|-|------|-|----|
nebois neturne pleinne	-|---|-|--|-|----|-|
ko rune alch if neaut r edigneté	--⌫---|-|--⌫-|-|---⌫-⌫|-------|
n i auera thummed etunlinagené	||-----⌫|----|-⌫|--|-----|--|
que i lp ui sseateindreenlacri stïenté	--|-⌫|-⌫--⌫--|-------|-|-|---⌫--------|
membrene seitdesho no r é	-----|-|---|-----⌫--⌫-⌫-|
u puigcope	|---|---|
asfurches encroé.	-|------|------||
puis tesicumat	---|-|-|--|-|
asen telchi erté	-|-|--|---⌫----|
alamanirederuncin escurté	|-|-----|-|-----|-------|
te ertrec opéelep eil trunsuné	-|--|---⌫---||-|-⌫--|--------|
neau raspelque neteseitpelé	-|--⌫--|--|--|-|-|---|----|
serasaruncintraïné	----||-----|-------|
tantcumored ure tute	---|--|--|-⌫--|---|
tapöes té.	-|-----⌫--||
un quesp uisleorequeadamf ufurmé	--⌫---|-⌫--|-|--|--|---|-⌫|-----|
e t ut limun tli	|-⌫-|-|---⌫|-|
fuabandu né	-|------⌫--|
siuil ement d emené.	-|---⌫----|-⌫-----||
iteles tlire dea gulan t lesené.	---|--⌫||--|-|-⌫-----⌫|-|----||
nelcorocier ne	--|-------|-|
saéssiose ́ .	----|-|---⌫||
num fer ras	--|---⌫--|
tu nes pas aco	-||-|--||-|
iomble shom essia spoienduré	------⌫|--|-|-|-⌫|--|------|
nasnulmestirforsd	|-|--|-----|---||
estreencurti né	----|-------⌫--|
c hambr es seignie ́euentusé	-⌫-----⌫-|-------⌫||-------|
souentbaingnié	-----|--------|
echuchiée leué .	|-------||----||
çoafier a hume kiest	--|----||---|-|--|
deheit reisensun	-----|---|-|--|
pal ei smaté	---⌫--⌫|----|
sires clamé	----|-----|
puisee stredesun	----|-⌫---|-|--|
osteliuté	----|----|
recrean tes	-------⌫|-|
i olsa ide uerité.	-⌫-|--⌫|-|------||
parteisar azins enuilt é ch arun	--|--|---⌫----|-|----⌫-|--⌫---|
naue runt uersq uimust rerlurfreté	|---⌫---|---|-⌫-|----⌫--|--|-----|
mutestgrant huntehummed e	--|--|----|----|----|-⌫|
quesisclees tdete	--|-----|--⌫|-|-|
encumbre ́.	--------⌫||
ma isparicel	--⌫-|--|---|
de uquitanta dhum ilité	--⌫|--|---|-⌫|---⌫-----|
queagul a ntmeteneit	--|----⌫-⌫-|-|-----|
entelchirter	-|--|------|
at parmabuche	-|--|-|----|
suzcil nath umme t a n t	--|--||-|-⌫---|-⌫-⌫-⌫|
cum li m unde est lee	--|-|-⌫---|--|--|
forssul munco rse	---|--|--|--⌫-||
munbrantacer é	--|----|----⌫-|
si enert par	-|-|--|--|
meile paisaquité	--|-|---|------|
