d ireuous ueulc hi	-⌫--|---|---|-⌫-|
cuerdonmene	---||---|-|
por r oitpenser	---⌫-⌫--|-----|
com ena uoitg ra nt uolent e	--|-|-⌫---|-⌫--⌫-|------⌫|
puis fu autemprepresenté	---|-|-|-----|--------|
ouilmout de s iréestoit	-|-|---|--⌫-⌫---|-----|
desymeonquif ain auoit	-|-----|--|-⌫--|----|
queentres e sb rasletenist	--|----|-⌫-⌫|-⌫--|-|-----|
ancoizqued u siecle fenist	--------|-⌫|-----|-----|
a uantqu exmfustne ssans	-⌫------⌫|-|---|--⌫----|
enau oi tbien chanté	-|--⌫--⌫|---|------|
ce nt an s	--⌫-|--⌫|
aprestroisrois	----|----|---|
d estra nge terre	|-----⌫--|----|
icele nffantalerentquerre	---|-⌫-----|------|-----|
etp orterentrichepr esent	-|-⌫-------|----|--⌫----|
queiloffriren tnobl eme nt	--|-|--------⌫|----⌫---⌫-|
bi ensauoientpo uruerite	--⌫-|-------|--⌫-|-----|
q ue die u estoitenterrené	-⌫-|---⌫|-----|-|----|--|
m esneso rentenq uelraingnes	-⌫-|-|--⌫---|-|-⌫--|-------|
sicon lestoi lelesm enoit	-|--||-----⌫-|--|-⌫----|
chas cund euscele pa rtaloit	----⌫--||--|---|--⌫-|----|
tantq ueilfuren t	-----⌫-|-|-----⌫|
enlaterrea	-|-|----||
unm altirant	-|-⌫-|-----|
he ro dez q ui	--⌫--⌫--|-⌫-|
e tmest re	-⌫|----⌫-|
detoutelem pire	-|----||--⌫---|
quantherodesout lauen ue	----|-----|---|-|---⌫-|
del atresgrantdesconue nue	-|-⌫|---|----|--------⌫--|
mout en out aso ncuergrant ire	---|-|--||--⌫|---|----|--|
toutmain tenantlorprist adire	---|----⌫-----|--|----||---|
qui e ste suou set d ontuené s	--|-⌫---⌫|---⌫|-|-⌫--|-----⌫|
qui uousaichiamené s	--|---||---|------⌫|
bie n me se mblésestresauuages	---⌫|-|--⌫-----|----|-------|
si reroy squitantestessa ges	--⌫-|---⌫|--|---|----|--⌫--|
to ust r ois onmezdest rangeterre	--⌫-|-⌫-⌫-|-⌫----||---⌫----|----|
sialon cherche r	-|---|-------⌫|
etenquerre	-|-------|
undieuqui est enterrene ́s	-|---|--|--|-|----|--⌫-|
quiestsourtousroiscouronnez	--|--|---|---|---|--------|
conment distherod e leroy	------|---|-----⌫|-|--|
sera ilautreroy q ue	---|-|----|--|-⌫-|
bienuoiq u euous metrespassez	---|--|-⌫-⌫|---|-|---------|
si redist lunorentendés	--⌫-|---||-|-|--------|
noussauo nzbi en	---|----⌫-|--⌫-|
certa innement	-----⌫-------|
quedi e uest nez	--|--⌫-⌫|--|--|
omn ipo tent	---⌫---⌫---|
quitout lem ondes auuera	--|---|-|-⌫---|-⌫-----|
che sachie zbien	--|------⌫|---|
ianifaudra	-|||-----|
quialu iuoudraobeir	--||--⌫|-----|----|
nous l e sauonbie nsans	---|-⌫|----|---⌫|---|
parlestoile ouagrant	--||------|-||----|
ensauonz bienlauerite	-|-----|---|-|-----|
quid enos pais nousa mai nne	--|-⌫|--|---|---|-⌫---⌫--|
iusqueschipor	------|--|--|
est rainne	---⌫-----|
le estoileet sa	-|------|-|-|
g rantc lart e	-⌫---|-⌫----⌫|
tr oi sro isparuerite	--⌫--⌫|--⌫-|--|-----|
tretoutmai n t enant	------|---⌫-⌫-⌫----|
enlerodiane contree	-||-------|------|
lor s ontherodeare snie ́	---⌫|--|-----|---⌫----⌫|
auostrecongie	|-----|-----|
sonmezaprestéspour aler	-----|--------|---|---|
de c edis tilnestuetparler	-|-⌫|---⌫|-||-----|-----|
ancoisunresp ituous	-----|-|----⌫-|---|
t anquei aie fetenchercier	-⌫----||--|--|---------|
ame scle rsq uesoit uer ite	|--⌫|---⌫-|-⌫-|---|---⌫--|
né spre sde	---⌫|---⌫|-|
liroysdistren t nousl	-|---|-------⌫|---||
feites tost nou s	-----|---|---⌫|
uous enproio n	---|-|-----⌫|
cartropsonmes u enusdeloing	--|---|-----|-⌫---|-|----|
d etostalerauonz	-⌫|---|---|----|
lirois h ero dema nderfist	-|---|-⌫---⌫-|--⌫---|---|
touslessagez c lersetlordist	---|--|----|-⌫---|-|--|---|
que enl or	--|-|-⌫-|
liurezregardassent	-----|-----------|
etbiendiligal me ntc herchassent	-|---|-------⌫--⌫-|-⌫----------|
s i l estoitnéspresde sa	|-⌫|-----|---|---|-|-|
quelitrois	--|-|----|
roisuont querre	---|---|-----|
tretouslesm estresad eliure	------|--|-⌫-----||-⌫-----|
c h ascun regardaenso nliure	-⌫-⌫----|------|-|--⌫|----|
et lorstr ouuer e nt e nlorloy	-|---|--⌫-----⌫-⌫-|-⌫|--|--|
que enterre estoi t	--|-|----|-----⌫|
n ésunroi	-⌫--|-|--|
quitout l emo ntgouuerneroit	--|---|-⌫|--⌫-|-----------|
etlesamesdenfertrairoit	-|--|---||----|-------|
lorsrespond i liroisherode s	---|-------⌫|-|---|------⌫|
etque dites uouspourmesbot es	-|--|----|---|---|--|---⌫-|
se raildo ncpl us hautq u e	--⌫-|-|--⌫-|--⌫-|---|-⌫-⌫|
o ilsire foi qu euou sdoi	-⌫-|---|--|--⌫|---⌫|--|
ch a scun desmestreslirespo nt	--⌫-⌫---|--|------|-|-----⌫-|
siresera detoutle mont	---|---|-|---|-|---|
carestr eplus hautneporro it	--|----⌫|---|---|-|-----⌫-|
delu inulhonm e	-|--⌫|--|----⌫|
ennulen droit	-|--|--⌫----|
lo rsdi st herodele malf e	--⌫-|--⌫-|-----|-|----⌫|
quide couroutfueschaufé	--|-|------|-|--------|
testedemahon	----|-|----|
seroigeensa subiection	----|-|-|-|---------|
mout sera disgnes anessan ce	---|---|-----|-⌫|------⌫-|
qu antilaurasourtouspui ssanc e	--⌫--|-|---|---|---|---⌫-----⌫|
as troi sr ois	-|----⌫|-⌫--|
sen est reuenus	|-|--|------|
ens on cuer formentirascus	-|-⌫-|---|------|------|
liroi she rodessans targier	-|---⌫|--⌫----|---|------|
lestrois rois pr i sta aresnier	--|----|---|--⌫-⌫-||-------|
seignour zieme s ui	--------⌫|-|-|-⌫-|
conseilli é	---------⌫-|
alésentie	----|--|-|
uousdoins c ongi e	---|----|-⌫----⌫|
feites uoustre p eler i nnage	-----|------|-⌫----⌫-⌫----|
conmeprodons loie l etsage	----|------|----⌫|-|---|
questenterre	-|--|-|----|
g arde zs eignors nedemorez	-⌫----⌫|-⌫------|-|------|
amoyretornés	|--|--------|
erralmen t	--------⌫|
qua ntuousaurezfe tuosp resen t	---⌫-|---|----|--⌫|--|-⌫-----⌫|
moie tmagent sans demore r	--|-⌫|-|---|---|------⌫|
ironsc elenfan taorer	----|-⌫-|-----⌫|----|
et itel presentlif erons	-|---|------|-|-⌫----|
conme uo us	----|--⌫-|
ia ne lelairons	-|-|-|------|
les tr ois rois lors sedepartirent	--|--⌫--|---|---|-|----------|
derodeetgranti oie firent	|----|-|----|-⌫--|-----|
deceque ilcongie auoient	-|-|--|-|-----|------|
si tos t conmeilaschansestoient	-|---⌫|----|-|-|----|-------|
sifurent tuit	-|-----|---|
troisansdelay	---|---|----|
p orle stoile en	-⌫-||-⌫-----|-|
mout grantesmay	---|----|----|
quilesi auoitamené	--|--||----|-----|
nuit etiour amout grantclar t e	---|-|---||---|----|----⌫-⌫|
quantnela pouoi ent choisir	----|-|-|-----⌫--|------|
cheminn e pou oientten ir	-----|-⌫|---⌫----|---⌫-|
toutelaterre herodiane	----|-|----|--------|
p asseren t iusquameriane	-⌫-------⌫|----||------|
quantelsfurenttuit h orsalé	----|--|-----|---|-⌫--|---|
delaterre aum aleu ré	-|-|----|-|-⌫----⌫--|
herodeq uipartraison	-----|-⌫-|--|------|
lescongeade	--|-----|-|
ta ntostsanspoint	--⌫----|---|----|
d ed e moree	-⌫|-⌫-⌫----|
quil fure nthorsd e lacontree	-|-|----⌫-|---|-⌫|-|------|
ontillestoille	--|-||-------|
ap erc heue	--⌫---⌫---|
do ntilontgrant	--⌫-|-|--|----|
c l arteeue	-⌫-⌫---|--|
cel lees toile l escondu iso it	---⌫-|--⌫----|-⌫-|-----⌫---⌫-|
uers bethleem lechemindroit	---|-------|-|-----|----|
ded ensla c ites en entrerent	---⌫--|-|-⌫--||-|--------|
l estrois rois par	-⌫-|----|---|--|
lauilealerent	-|---|------|
sauoient enquellieu	-------|-|---|---|
ilpeussentaourerdi e u	-|-------|-----|--⌫-⌫|
quantenbeleemuenufure nt	----|-|-----|---|----⌫-|
tretout mai n tenant	------|---⌫-⌫-----|
sap e rchurennt	|--⌫-⌫--------|
que les toile	--||--⌫----|
sonrepospris t	--|----|----⌫|
sourlamaison ou x m	---|-|-----|-|-⌫|
desamereesto it nésou rterre	-|-|---|----⌫-|--|---⌫|----|
celepartal erentgran terre	---|---|--⌫----|----⌫|---|
des cendussont	---⌫-----|---|
tout ma intenant	---|--⌫-------|
mai sontroe uentl	---⌫--|----⌫---||
agenoussesonttou s troism is	|-----|-|---|---⌫|----|-⌫-|
si li ont o ffertcem estu is	-|-|--|-⌫----|-||--|-⌫-|
l orent aperche u	|----|-------⌫|
ore tenchensmierreesleu	-|-⌫|------|-----|----|
o és tretuitn	-⌫--|------||
endou tés m ie	-|---⌫---|-⌫-|
quecel offrendesenefie	--|--|-------|------|
l i ord onne senefiance	-⌫|-|-⌫---|---------|
queila uroitso rtouspuissance	--|-|-⌫----|--⌫|---|--------|
lenche nsm ou strequ	|-----⌫-|-⌫--⌫---|-|
ilestoit diex	-|-----|---|
roysduchiele s perituels	---|-|----|-⌫-⌫--------|
le mierred o nn eentendemen t	-|-----|-⌫-⌫--⌫|----------⌫|
quilrecheu roit	-|-|------⌫---|
mortcharnel m ent	---|-------⌫-⌫--|
etqueillane miua introit	-|--|-||---⌫-|--⌫------|
par la mortqueil recheuroit	--|-|---|--|-|---------|
q uantlitroisrois ont	-⌫---|-|----|---|--|
silo r est prisgra nt uolente	-|--⌫|--|---|---⌫-|------|
a tousensembl ededormir	|---|-------⌫|-|-----|
s i sedor mirental oi sir	-⌫|-|---⌫-----||-⌫--⌫--|
qu antlitr o is roi sfure ntdormant	--⌫--|-|--⌫-⌫-|---⌫|----⌫-|------|
unangreloruintden onchant	-|----|--|---|---⌫------|
quepar her ode	--|--|---⌫--|
pasnalass ent	--||-----⌫--|
nen sate rre	|-|-|--⌫--|
anc oislapassasse n t	---⌫--|-|--------⌫-⌫|
quantlan gre out	----||--⌫--|--|
sa raisonfinee	-|-----|----|
uersparadisfis t retorn ee	---|------|---⌫|------⌫-|
l itroisroi s furent formen tl ie	-⌫|----|---⌫|-----|------⌫|-⌫-|
quanti lsefu r entesueillié	----|-⌫|-|--⌫-⌫--|---------|
dece quei lo ntl	-|-|--|-⌫|-⌫-||
chascunforment sen	------|------||-|
lor s seleue rentbi en m atin	---⌫|-|----⌫---|--⌫-|-⌫---|
errantsemeite nt	-----|-|-----⌫-|
hero dep asn alerent	----⌫-|-⌫-||------|
p ar autre	-⌫-|----|
uoieretornerent	---|----------|
lest oilelorfu	|---⌫---|--|-|
quilourrend iclartemou tgrant	--|---|----⌫|-----|---⌫|----|
retor nezse s on td autrep art	-----⌫--|-|-⌫--⌫||----|-⌫--|
lestroisroisas quiexilesttart	--|----|---|-|----|-|--|---|
q u iluenissen ta l or r ep aire	-⌫|-|--------⌫||-⌫-|-⌫--⌫---|
mout loent dieuled ebonnere	---|----|---|-|-⌫-------|
que de mortlesauoitrescous	--|-|---|--|----|------|
etde s m ainsherodesli	-|--⌫|-⌫---|------|-|
carsac hiezbiene st u erite s	--|---⌫---|---|-⌫-|-⌫-----⌫|
se il fussent parla	-|-|------|--|-|
herode reuenus	-----|------|
toustro isleseust	---|---⌫-|--|---|
sedieu n elorfust	-|---|-⌫|--|---|
bons a mis	---|-⌫--|
herodea mo rt leseust m is	-----||--⌫-|--|---|-⌫-|
moutfu her odecouroucie z	---|-|---⌫--|---------⌫|
quant li roisnesont repairiez	----|-|---|-|---|--------|
parluisiconlorauoitdit	--|--|-|--|--|----|--|
ensoncueren	-|--|---|-|
outgrantdes pit	--|----|---⌫--|
herodequicrue l zestoit	-----|--|----⌫-⌫|-----|
irésquantnepooit	----|----|-|----|
en saterre lesro ist r ouuer	-|-|----|--|--⌫-|-⌫-⌫----|
cara mortlesquidoi tliu rer	--||---|--|------⌫|---⌫--|
hero dequ i	----⌫-|--⌫|
plaind ir e	----||--⌫|
asesseri ans conmenceadire	|--|----⌫--|-------||---|
que tousl es enfans deuant lui	--|---|-⌫-|-----|-----|--|
daage deusanse tde mi	|---|---|--|-⌫|--⌫-|
etdunan etdu n	-||-|-|-||-⌫|
mo isasse z	--⌫-|----⌫|
neueul quensoitnus	-|---|-|-|---|--|
trespassez	---------|
neli a mai nnentmaintenant	-|-|-⌫---⌫----|---------|
lise riantmonterenterrant	-|--⌫----|--------|-----|
sialerentparmilaterre	-|------|----|-|----|
tretouslespe tisenfansquerre	------|--|--⌫--|-----|-----|
sico mauroy les apo rtoie nt	-|--⌫|-|--|--|---⌫-----⌫-|
l esm eresa pres e usploroient	-⌫-|-⌫---|-⌫---|-⌫-|--------|
quantherode	----|-----|
li maltirans	-|--|-----|
uitpar deuant lu iles e nffanz	--|--|-----|--⌫|--|-⌫-----|
tousle safe tsan satargier	---|--⌫||--⌫|---⌫|-------|
a sesmenist rez decouper	|--|------⌫--|-------|
le cuuert malfe	-|-----|----|
xm auoirtrouué	-|----|------|
qua nt li enfantf uren ttuit mor t	---⌫-|-|-----|-⌫----⌫|---|---⌫|
lesmeres en font deul mo utf ort	--|----|-|---|---|--⌫-|-⌫--|
moutgrantpaourenoutmarie	---|----|----|-|--|----|
atantontuneuoiz oie	----|--|--|---|--|
dun angre quedieu	|-|----|--|---|
lortramist	--|------|
ama rieeta	|--⌫--|-||
iosephdis t	-----|---⌫|
egypt esenal ass ent	-----⌫||-|--⌫---⌫--|
lenfantxm oeus	|-----|-||--|
portassen t	---------⌫|
mar ie prist tanto st lafuite	---⌫-|----|-----⌫-|-|----|
et senaladroitenegypte	-||-|--|----|-|-----|
etilecquesta nt demour a	-|-------|--⌫-|------⌫|
queherod es sedeuia	--|-----⌫-|-|----|
orlairoidecea itant	-|-----|-|-||----|
siuousparlero i	-|---|-------⌫|
et d esmiracles quei lfist	-|-⌫-|-------|--|-⌫|---|
ains quelesiec ledeguerpist	----⌫--|-|----⌫-|---------|
marieetioseph senala	----|-|-----||-|--|
enfantquelepo rt a	-----|-|--|--⌫--⌫|
lyonsdraglo ns s	----|------⌫-||
ilencontrerent	-|-----------|
ch a scu ndesbestes l en cli nerent	--⌫-⌫---⌫|--|-----||--⌫---⌫-----|
mariepristl orssonenfant	----|----|-⌫--|--|-----|
s ilecoucha	-⌫|-|-----|
ensond eu ant	-|--|-⌫--⌫--|
paour auoiteu	----|----|-|
desbes tes	--|---⌫--|
quiuersluienclinentl ortest es	--|---|--|--------|-⌫-|----⌫-|
moutsouuent uer s lui	---|------|---⌫|--|
senu enoient	|-|-⌫------|
dontmo utgra ntpaor li feisoi ent	---|--⌫-|---⌫-|---|-|------⌫--|
lyons lieupars draglons emsemble	----|-------|-------|-------|
nul malneli fontce	--|--|-|-|---|-|
etpour ce ch ascunen tendoit	-|---|-|--⌫----|--⌫------|
qu eto ut ce ueri tees toit	--⌫|--⌫-|-|----⌫-|--⌫---|
chequedemoustroitxx x	--|--|----------|--⌫|
et qui l di soit	-|-|-⌫|--⌫---|
em prophezies	-|---------|
quequantmariearoitunfix	--|----|----|----|-|--|
ilnousmoustraen ses escris	-|---|------|-|--|-----|
leuquilabrebismenge roit	--|--|-|-----|-----⌫---|
qu e ia nulmal neliferoit	--⌫|-|--|--|-|-|-----|
a pr estrois	-⌫--⌫-|----|
iorsen u eri te	---|-|-⌫---⌫-|
qu e ilesto ient	--⌫|-|----⌫---|
de laterre au desloia x	-|-|----|-|-------⌫|
herode q ui tantsout	-----|-⌫-|---|---|
quipourocirexmcri st	--|---|----|-|---⌫-|
lespetisenfa nsa	--|----|----⌫-||
lisoleilfu	-|-----|-|
resplendissa n t	------------⌫-⌫|
et s i fei soituncha ut mo utgra nt	-|-⌫|---⌫---|-|---⌫-|--⌫-|---⌫-|
et la douceui rge	-|-|----|--⌫--|
iosep hapelesi liprie	-----⌫|----|-|-|---|
si re iosephde u oirsachi ez	--⌫-|-----|-|-⌫--|-----⌫-|
cest chautnous a	---|----|---||
mou taigriez	---⌫|------|
pourcesire	---|-|---|
nousr eposon	---|-⌫-----|
bien meples	---|-|---|
ioseph lidisoit	-----|-|-----|
lorslamainne	---|-|-----|
souslarbredroit	---||----|----|
s or quoi elsist	-⌫-|---|-|---|
en lombre delarbres	-||----|-||----||
mari equi sonenfanttint	----⌫|--|--|-----|---|
marie alorsse	----|----|-|
sous celarbre	---|--|----|
et le regar d a	-|-|-----⌫-⌫|
au regarder sedelitoit	-|-------|-|-------|
p ourlefruitque nlarbre ueo it	-⌫--|-|----|-|-⌫||----|---⌫-|
qu eb i enmo u stroitasa pensee	--⌫|-⌫-⌫-|--⌫-⌫-----||-|-----|
que le fruit	--|-|----|
formentli agree	------|-|----|
enson cuero utg r antdesirier	-|--|---|-⌫-|-⌫-⌫--|-------|
q ueust decel fruita mengier	-⌫|---|-|--|----||------|
marie iosephapela	----|-----|----|
siredistelleentende zc ha	---|---|---|-------⌫|-⌫-|
amon c ue rforme nt	|--|-⌫--⌫|-----⌫-|
queussedufr uit de	-|----|-|--⌫--|-|
etxmcrist q uibien sauoi t	-|-|----|-⌫-|---|-----⌫|
conmedufruitauoirp eus t	----|-|----|----|-⌫---⌫|
auenir peust	-----|----|
merele tenoit	---|-|-----|
entres e sbrasqui m o ut	----|-⌫-⌫|---|--|-⌫-⌫-|
dista larb retos tuousplessiez	---|||---⌫-|---⌫|---|-------|
deuantmamere etabessiez	-----|-|---|-|-------|
etli donn e zagrantplentes	-|-|----⌫-⌫||----|------|
dec elbonfruitq ueu ousportés	-|-⌫-|--|----|-⌫-|-⌫--|------|
a lauoizxmsenclina	|-|---|-||------|
li arbrequi le	-|----|--|-|
fruit porta	----|----|
etmarieen meni aa ssez	-|----|-|----⌫|-⌫---|
iosephquiertlassés	-----|--|--|------|
qu a n tmou tbien s aoul ez enf urent	--⌫-⌫-⌫|---⌫|---|-⌫----⌫-|-|-⌫----|
fruitsic o nilduren t	----|-|-⌫-⌫|-|-----⌫|
chasc un deus moutgrant ioie enfist	-----⌫-||--|---|----|---|-|---|
mout gra cierentxmcrist	---|---⌫------|-|----|
mo u t xmamoit	--⌫-⌫|-|----|
e te lleluic e	-⌫|-⌫--|--|-⌫|
fu bien droit	-|---|----|
quequanc queu oul oitdemander	--|-----⌫--|-⌫---⌫--|-------|
duferenestoit	-|---||-----|
quantdu fruitor entaplente	----|-|----|--⌫--||-----|
meng ié touta lo ru olentez	----⌫--|---||--⌫|-⌫------|
alarbresus leuez	||----|--|----|
etliarbrezsans atar gier	-|-|-----|---|----⌫---|
sec onmenchaaredrecier	-|-⌫-------||--------|
conmetou s iorsauoitesté	----|---⌫|---|----|----|
yuer eteneste	---|-|-|---|
c u erenoutioiegr ant	-⌫-⌫-|-|--|---|--⌫--|
mari edesondousenfant	----⌫|-|--|---|-----|
por le smiraclezq u	--|--⌫|-------|-⌫|
ilfei soit	-|---⌫---|
m out tresdouce me n tlacoloit	-⌫--|---|-----⌫--⌫-⌫||------|
ios ephqui marie gardoit	---⌫--|--|----|------|
mou tdoucementlaratendoit	---⌫|--------|-|--------|
distma doucedam e	---|-|----|---⌫|
iaisi gran t soif foiquedoim	|-|-|----⌫|---|--|--|--||
ne mefaut l al ainne	-|-|---||--⌫----|
s oustenir mepuisa	-⌫-------|-|---||
grant painne	----|-----|
pa or ainep erdelauie	--⌫-|-|-|-⌫---|-|--|
bienestdro is queie le uous	---|--|---⌫-|--|-|-|---|
marie adonclirespondi	----|----|-|-------|
i eaim outgran tsoif	-⌫|-|-⌫--|----⌫|---|
etnostremulequeau o nz	-|-----|---|--|--⌫-⌫-|
xmententbienlorraisonz	-|-----|---|--|------|
xmq uim o u t tr esbiensa u oit	-|-⌫-|-⌫-⌫-⌫|--⌫-|---|--⌫-⌫--|
soifquei oseph auoit	---|--|-⌫----|----|
sepl aigno it amari e	-|--⌫-----⌫-||----⌫|
quipouri osephfu esmarr ie	--|---|-⌫----|-|------⌫-|
et pour s am ulepaourout	-|---|-⌫|-⌫--|----|--|
quipourc hautde	--|---|-⌫---|-|
soifbaa illout	---|---⌫-----|
orentendésc on	-|--------|-⌫-|
dieu parla	---|----|
q ui seredre ch a	-⌫-|-|-----⌫--⌫|
a rbrepourl	-⌫---|---||
fai tantquer endes	--|------|-⌫----|
e ue cle re	-⌫-|---⌫-|
carielainfor ment et	--|-||--|---⌫---|-|
tienchie r	---|----⌫|
orac omplissondesirer	-|--⌫-----|--|------|
etie lueulet sile	-|-||---|-|-|-|
q uesoies des	-⌫-|----|--|
oreenauant	--|-|----|
plantés en paradis	-------|-|------|
detesbranchesqui son t	-|--|-------|--|---⌫|
arbre do nttu	----|--⌫-|-|
asgra ns plentes	-|---⌫-|------|
desrachinezqueuousporté s	--|-------|--|---|------⌫|
fontainn eenissebeleetclere	--------⌫|-|---|---|-|----|
pourabeurermado ucemere	---|------|-|--⌫--|---|
etios eph queformentamoit	-|---⌫--|--|------|----|
qu a n txm	--⌫-⌫-⌫|-|
plainde gra ntbonte	----|-|---⌫-|----|
out a larbreissipa rlé	--|||----|---|--⌫---|
eue cleredouce enissoit	--|----|----|-|-----|
desra chinesqueil	--|--⌫-----|--|-|
marieenbut sasaoulee	----|-|--|-|------|
eti osepha	-|-⌫----||
q uimou tagree	-⌫-|---⌫|----|
muleamoutgrantalainne	---||---|----|------|
enout mo u ttostsa panceplainne	-|--|--⌫-⌫|---|-|----|------|
ios eph e ndemai nnegrant	---⌫--|-⌫|-----⌫--|----|
por marie e tpoursa beste	--|----|-⌫|---|-|----|
etpluslorpl e sticil mengier	-|---|--|--⌫-⌫-|---|------|
que nul tantfuste tbon	--|--|---|---|-⌫|--|
mari eson chierfi xten oit	----⌫|--|----|--⌫|---⌫--|
et dou cemen t lemercio it	-|---⌫-----⌫|-|------⌫-|
detre tout	-|---⌫---|
c eq uefet liot	-⌫|-⌫-|--|-|-|
t ousior sd e p luse mplusl	-⌫--|---⌫|-⌫|-⌫--|-⌫|---||
uneautrefoisd ist	--|----|---|-⌫--|
litres amo ur eus	-|---|---⌫--⌫--|
branchesqueilportoit	-------|--|-|------|
enp arad isplantésse roit	-|-⌫----⌫-|-------|--⌫---|
si tostconxm outcedit	-|---|--|-|--|-|--|
unan gred u	-|--⌫--|-⌫|
chieldesce n di	----|-----⌫-⌫-|
desbranchesde lar b re	--|-------|-||--⌫-⌫-|
es rachoit	--⌫------|
et e n p ar ad isles portoit	-|-⌫|-⌫--⌫--⌫-|--|------|
si conxmlotdeui sé	-|--|-||-|----⌫--|
futost fe itesa uolent e	-|---|--⌫--|-|------⌫|
angre p artisenf u	----|-⌫---||-|-⌫|
et des ge nsfuaper che u	-|--|--⌫-|-|----⌫---⌫|
chascun sen fuespo entez	------||-|-|----⌫----|
terre chaipasmez	----|---|-----|
pour laclarte	---|-|-----|
quileces t oit	-|---|--⌫-⌫--|
etl iangrerend o it	-|-⌫|----|----⌫-⌫-|
tretoutenuironne deuant	------|------|-|-----|
nepouoientale r	-|-------|---⌫|
t uitcilq uil e miracle	-⌫--|--|-⌫-|-⌫|------|
de paour a terre chairent	-|----||----|-------|
c ar onquesmes	-⌫-|-----|--|
norentueus igr an tclarte	|----|--|-⌫|--⌫--⌫|-----|
grac esrendent axm crist	----⌫-|------||-|----|
etlenfantma intenantlordist	-||-----|--⌫-------|--|---|
pour qu oifustes	---|--⌫-|-----|
sip aou r ous	-|-⌫---⌫-⌫--|
sauoir p o uéstoutaestrous	-----|-⌫-⌫---|---||------|
neuouspeustfe r enul	-|---|----|--⌫-⌫|--|
ta ntcon fusse ououschaaual	--⌫-|--|----||---|--|---|
ioseph distal enf antxm	-----|---|||---⌫--|-|
grantchalora uon	----|-----|-⌫--|
si replain	--⌫-|----|
detr es grant	-|--⌫-|----|
ce stchaut nous aforment g reuez	--⌫-|----|---||------|-⌫----|
alonzsiluous uient aplaisir	----||-|---|----||------|
deuersla mermoutl edesir	-----|-|--|---|-⌫|----|
caren iericop atrop froit	--|-|------||---|----|
et siiro ns	-|-|---⌫-|
plusae sploit	---||-⌫-----|
xm a io se phres pondi	-||--⌫--⌫-|---⌫----|
sirequ ie ntend eza mi	---|--⌫|-⌫-----⌫-||-|
cestcheminest plus brief asses	---|-----|--|---|----|----|
detrente iourzc on tinués	-|-----|----|-⌫--⌫------|
par ch ia lésh ardie ment	--|--⌫|-⌫---|-⌫-----⌫---|
lachal orpasere ́s briement	-|----⌫-|------⌫-|-------|
