LicuensAmilesfumou ltpreusetsenéz.	-|----|-----|-|---⌫-|----|-|------|
Celuiquiuade	----|--|-|-|
Bl aiui es aParis	--⌫----⌫-||----|
Ainz nefinasiuintenpré flo ri.	---|-|---|-|---|-|---|---⌫--|
Qu antil iuintsigietaunsozpi rBeneois	--⌫--|-||---|-|----|-|-----⌫|------|
soitli prés	---|-|----|
que ie uoiciEt	--|-|--|-|-|
li eusetlibiausedefi s.C i	--⌫--|-|-|----|-----⌫-|-⌫|
fum ez nozeti uréet	---⌫-|--|-|-⌫---|-|
compaingnieentremoiet Ami.	----------|----|--|-|---|
Il lagardeec om che ualiersde	-|||-----|-⌫-|---⌫------|-|
prisE t ie co mfel etcomDeu	---|-⌫|-|--⌫|--|-|--|--|
a nnemis.Toutporlelieuqui	-⌫------|---|--|-|---|--|
est biausetfloris	--|----|-|-----|
lamoraubaron	|---|-|----|
que ie diCi d ormir ai	--|-|-|-|-⌫-----⌫-|
orendroit unpe tit	--------|-|--⌫--|
QueDexme randemo n	--|--|-|----|--⌫|
co m paingnonA m iEtte x nouuel lesenpu isse	--⌫-⌫-------|-⌫-⌫|-|--⌫|------⌫--|-|--⌫---|
ieoïr Par	-|---|--|
quoiiesaichesil est	---|-|-----||-|--|
o u mor souuis.A	-⌫|---⌫|-|---||
piédescent do u	---|------|--⌫|
bon cheualde pr i sLézluilarresn eaun	--|-----|-|--⌫-⌫|---|--||------⌫||-|
rainscelpetitE nterre fiche	-------|----|-⌫|----|----|
sonroi tespi e ́fo rbiL	--|---⌫|----⌫-⌫|--⌫--||
auberc neliaumen ail	-----|-||----|||-|
pasdegue rpiSon bonesc u	--|-----⌫--|--|--|---⌫|
s onc h iefmisC ar	-⌫-|-⌫-⌫--|--|-⌫-|
moultredouteHardrésonannemi Qu e	----|------|------|--|-----|--⌫|
nelesieuentmil home	-|-|------|--|---|
deso nlinQuileuo illent ocirre .	-|--⌫|--|--|-|--⌫-----|------⌫|
OrfuAmilesenmilep ré	-|-|-----|---|-|-⌫--|
couchi ézLézluiarresneson bon	------⌫--|---|--|------|--|--|
corra ntdestri erNau oitm ei llo renF rance leregniéEn	-----⌫-|------⌫-||--⌫--|-⌫--⌫---⌫|-|-⌫----|-|------|-|
terreficheso nbontranchant e spiéAson	----|----|--⌫|--|--------|-⌫----||--|
chief ason	----||--|
escucouchié	---|-------|
Lauberc neliaumen	|-----|-||----||
a il pas de spoilliéTan t	|-|--|--⌫--------|---⌫|
re douteHa rdrélerenoié. Del autr e pa rt	--⌫----|--⌫----|-|-------|-||----⌫|--⌫-|
monsti erTuitsont limurgasté	------⌫-|---|---|-|--|-----|
etpesoié Et lesto rs	-|------|-|--|--⌫-|
fraintezetil maubr e	-------|-|-|-----⌫|
brisié.Nusnirepairecarlilieus	-------|--|||------|--|-|----|
esttrop uiés. Biaus f uli	--|---|-----|----|-⌫|-|
ombre s despinset desloriers	-----⌫|--|---|-|--|------|
Etdautr ep artu nsgransc heminsi	-||----⌫|-⌫--|-⌫-|----|-⌫-----||
f ier t .Lic uensAm isqui	-⌫---⌫-⌫|-|-⌫---|--⌫-|--|
s oncompaing nonquiertBienleconnut el préou	-⌫-|--------⌫--|-----|---|-|-----|-|---|-|
fu co uchi e ́z.	-|--⌫----⌫-⌫--|
Distas es homesD escen d ézcia piéSilaissi éz	---||-⌫-|----|-⌫-----⌫-⌫--|-||---|-|------⌫--|
petitu osde striers.Unpai ̈santuoi encel	----|-⌫-|--⌫-------|-|---⌫----|--|-|--|
précouchié G	---|-------||
irai ueoirquilfaitl anequ	---|----|-|-|---|-⌫|-|-|
ilquie rt. S	-|----⌫--||
esteroitmés de	-------|---|-|
Pari senuoiéz Quideïst	----⌫|-------|--|-----|
chosed ont ilmefeïst liéDou	----|-⌫--|-|-|-----|---|--|
c omp ain g non q uit antfaitaprisier Iem	-⌫---⌫---⌫-⌫--|-⌫-|-⌫--|---||------|-||
enuoldr oiep arma	-|-----⌫--|-⌫-|-|
foi repairie rEtnequedent a mafranche	--|--------⌫|-|--------||-|------|
moillierQ ueie	-------|-⌫-|-|
laissai simalade auantier.Ilnat el	------|-|-----|----|---|-|||-⌫-|
damme descia	----|----||
Monp ellier.Dientsi homeComu ozp lair asi iert	----⌫------|----|-|---|--|-⌫-|-⌫----⌫|-|---|
Alézitostmaisgardézn	----||---|---|------||
atargiézDen osiorn ees n oz	--------|-|-⌫-|----⌫--|-⌫-|
conuient esploitier	-------|---------|
C armerueilles s ontlongue s.	-⌫-|---------|-⌫--|------⌫-|
cuens Amil es enmilepré se iut Deu antl u i	----|----⌫-|---|-|---|-|--|---⌫--|-⌫-⌫|
o tsonauff errant	-⌫|--|----⌫-----|
quer nuSesbon n esarmeset	----⌫-|--|---⌫-⌫-|----|-|
s onpezantesc u	-⌫-|-----|---⌫|
So nbrantd	--⌫|----||
aciernouuelet	----|-----|-|
esmolu. Sesc hiers compainses t cellepart	------|--|-⌫----|-------|--⌫|----|---|
uenus Bien le	----|---|-|
connuttantostco m	-----|------|--⌫|
la ueü.Ses	||----|--|
armesp ortaen	----|-⌫---|-|
Parmespro i son n eleneüstferu. D eson	--|------⌫-⌫--|-⌫||-|----|----|-⌫|--|
poingdestr e	----|-----⌫|
hurtesor l e	----|--|-⌫|
buPuisliad it	-|---|-||-⌫-|
uassa lcar le uéz	-----⌫|--|--⌫---|
Carliues presap roche. LicuensAm iless edr essa	--|-|---⌫---|--⌫-----|-|----|--⌫---|-⌫|--⌫---|
contr em ont	-----⌫--⌫--|
Bienreconnu t Ami soncompaing no n En t resesbrasl e	---|-------⌫|--|--|--------⌫--⌫|--⌫-⌫-|--|---|-⌫|
telrandonPlusde centfo is li	--|-----|---|-|---|--⌫-|-|
b aisale menton.Delor	-⌫---|-|------|-|--|
nouuellesl	--------||
unsalau tredespontQui	--|||--⌫--|------|--|
bel esso n tadi re.	---⌫-|--⌫-⌫||--⌫--|
Sire compains dist Amislico rtois ueïstezuoz	---|-------|---|---|-|--⌫----|-------|--|
de semainn e	-|-------⌫|
leroi-Oïl	-|--|----|
biaxsirei eleu il autre soirD roit	---|---|-⌫|-|-⌫||----|---|-⌫---|
P aris oui lsa	-⌫---|-|-⌫|-|
corttenoit . Assézi ot	---|------⌫|-----||-|
AlemansetTyoisEt	------|-|----|-|
LoherainsetBretons et	--------|-|------|-|
Anglois . Et Belyssans qui	-------⌫|-|--------|--|
adroitTrest outenue s e	-----|-----⌫---|--|-⌫|
cou chaauecmoiSienchaïien	---⌫--|---|--|-|------|-||
en s a iautre	-|-⌫-⌫|----|
mescout aHardréz	|------⌫|-------|
limaleois .Au	-|-------⌫|-|
mat in netm enancus aau	---⌫--⌫--||-|-----⌫|-|
roi.Bataille aiprinseautraï tor	---|-------|-|-----|-|-----⌫--|
sansfoiMaisde s ostaige sne	---|--|---|--⌫|-------⌫|-|
nula u oirQu antla	--|-⌫-⌫--|--⌫--|-|
r oïneme pleiaendroitso iBu euessez	-⌫----|-|----|------|--⌫|--⌫---|--|
fizq ui est preu ze t	--|-⌫-|--|----⌫|-⌫|
cortoi s EtBelissa nsqui	------⌫|-|-------⌫-|--|
le c ors aadr o it.Ie nes	-|-⌫--||---⌫-⌫--|-|--|
resgarde rmais desmois. Hom quitort	--------⌫|---|--|----|--|--|---|
aco mbatrene s edoit.	|--⌫-----|-|-⌫|----|
Pa rpechi élesai	--⌫|-----⌫-|--|-|
mortes. S irecompains ce distAmisl i	------|-⌫--|-------|-|---|---|-⌫|
ber Ieuozdis bienlautr ier audesceurer	--|-|--|--|---||----⌫--|-|--------|
Etuozproiai por saintecharit é Nepreïs siézc ompain gnie	-|--|-----|--|-----|------⌫-|-|------⌫----|-⌫------⌫---|
a HardréNe	|------|-|
aus im en tnullesocieté Tost uozauroi t	---⌫--⌫--⌫|----|-------|---|--|-----⌫|
so ud uitetenc hante ́Ette lhonta igeettel blasme	--⌫--⌫--|-|---⌫-----⌫|-|--⌫|-----⌫--|-|--|-----|
Quine stro it mie	--||-⌫----⌫-|--|
d elegier amendé.Etdist licuensN	-⌫|-----|-------|-|---|-|----||
enpuis mais ennon Dé Par celle	-|---|---|-|--|--|--|----|
f oiquiiedoiDeu p o rter	-⌫-|--|-|--|--|-⌫-⌫---|
Que Belissans augentco rshonoréSanuintcouch ie r	--|--------|-|---|--⌫-|------||-|---|-----⌫--⌫|
deiou st emon	-----⌫--⌫|--|
costéSimescouta	-----|-||------|
li traïtr esH ar d rézAu	-|-------⌫-|-⌫--⌫-⌫---|-|
matinnet m	-------||
enala encuser.Batailleaiprinse au	-|--|-------|-------|-|-----|-|
prouuéMais	------|---|
d esostaigesnepoi ienul trouuerQuantla	-⌫-|-------|-|--|-|--|------|----|-|
roi ̈n e mepleia d e	---⌫--⌫|-|----|-⌫|
son gréBueu es ses fiz qui	--|---|----⌫-|--|--|--|
est prouzet	--|----|-|
senéz Et Belis sans	-----|-|-----⌫---|
au gent corsho noré. Iani	-|---|---|--⌫-----|-|||
seraima is	----|--⌫-|
des moisesgarde ́z.	--|---|-------⌫--|
Homqui tort	--|--|---|
aco mbat re nes eseit.Or	|--⌫----⌫-|-|-⌫|----|-|
uoldroie mo rs	-------|--⌫-|
iestre. Si re compa insdis t	------|--⌫-|-----⌫--|---⌫|
AmisaAmi le	---||---⌫-|
C es tebatai lle nepuetrema noir	-⌫--⌫-|-----⌫--|-|---|----⌫---|
m ieAinzserafa iteparDeu le	-⌫-|---|---|--⌫--|--|--|-|
filMarie Et	--|----|-|
laf era sachiéz mescorsmei ̈ smez. Et	-|-⌫--|-------|--|---|---⌫-⌫----|-|
Am iles u oz parlézde folieCar	--⌫---|-⌫-|------|-|----|--|
lem pere resenasaf oi	|--⌫----⌫--|-||-|-⌫-|
pleuieEtb ien	-----|-|-⌫--|
iu r é le	--⌫-⌫-|-|
fil sain t eMarieQue duna utre	--|----⌫-⌫|----|--||-|-⌫---|
home nelap anroit	---|-|-|-⌫-----|
Teldueladesa f ille .Li	--|---||-|-|-⌫----⌫|-|
cuensAmisfucheualiersseürsEt	----|---|-|---------|-----|-|
saiges onq u es	-----|---⌫-⌫-|
mieudresnef u.	-------|-|-⌫-|
OuuoitA mile sil aament eüS ire	-|---|-⌫---|-|||-----⌫--|-⌫--|
comp a ins ne	----⌫-⌫--|-|
soiézesper dusOstézuosdras aiéz	-----|-----⌫--|-----|--|---|----|
lesmiens uestu sEt	--|----|-----⌫|-|
ie panraicel bond estrierquernuToutesces	-|-----|--|--|-⌫------|-----|-----|--|
armes et cel	----|-|--|
pez an t escuDroitaParis	---⌫--⌫|---|----||----|
auertu. Seuie nt	|-----|-|---⌫-|
Hardrézlif el quil menencust	-------|-|-⌫-|-|-||-|-----|
Ala batailleserommezmoi	|-|-------|-------|--|
etluiC o perai lui le chie fdesorle bu.uoir	-|--|-⌫-⌫----|--|-|----⌫|----|-|--|---|
e stordramie.Sireco mpainscedistA m is	-⌫------|---|---|--⌫-----|-|---|-⌫-⌫-|
maïtDexuoz iestez	|---|--|--|-----|
fox prou uéz. Moiet uoz f umezenune	--|----⌫----|--|-|--|-⌫---|-|--|
horeenge nd r é	---|----⌫--⌫-⌫-|
Etenun ioretenunenuitnéEt	-|-|-|--|-|-|--|---|--|-|
fon s baptiz iéet leué.	---⌫|------⌫--|-|-----|
Etnosparrins qui otnonYzoréz	-|--|------|--|-|--|------|
(Sesparrinnaigesfaitform en t	---|-----------|---|----⌫--⌫|
a loer)Oret	|----|-|-|
argentn ozdonna	-----|-⌫-|----|
aplente ́E ta chascunfistunhanap donne r.	|------⌫|-⌫||------|---|-|----|-----⌫-|
samblons deue nir	-------|-|--⌫--|
et d alerEtde la bouc hee tdou uis	-||---|-|-|-|----⌫-|-⌫|--|--|
cheuauchieretdes armesporter. Dexne	----------|-|--|----|------|--|-|
homequid e meresoitnésSelunsde	---|--|-⌫|---|---|---|-||--|-|
n ozaenun lieuesté	-⌫-||-|-|---|----|
Selautrei uien t qu e	-||----||----⌫|--⌫|
iasoi t auis éz.Os tézuos	-|---⌫|----⌫---|--⌫---|--|
m iensuestiréz . Droit	-⌫---|---------⌫|----|
a Pari s men	|----⌫||-|
i railacitéEtuoz	-⌫--|-|----|-|--|
irézla desoz ence spre ́sSi trouueréz	----|-|----|-|--⌫|---⌫-|-|---------|
m es ch eua lie rs membréz.	-⌫-|--⌫---⌫---⌫-|--------|
deman dent po r qu aué ztant esté Etuozlor ditez	-----⌫---|--⌫|-|----⌫|---|----|-|--|--|----|
ian elor soit celé Quame ssaigier	-|-⌫|--|---|----|-||--⌫-------|
auéz parlé	----|-----|
Del compaignonu oz adi t uer ité.	--|---------|-⌫-||--⌫|---⌫----|
O ruoldroie i es trea	-⌫|-------|-⌫--⌫--||
B laiuieslacité . Sire	-⌫------|-|-----⌫|---|
compai nsqu antaBlaiuiesuenréz	------⌫-|--⌫--||-------|------|
Parcellefoiqu a mo ideué z	--|----|--|-||--⌫|-----⌫|
porterEtLu b iassozl epin	-----|-|--⌫-⌫--|--|-⌫|--|
trouuerézL isienss eruice suozserapresenté z. Fiuls	---------|-⌫|----|-⌫------⌫|--|---|---------⌫-|----|
baron uoz lerefuseréz.	----|--|-|----------|
Selle uo zdist org oilnefaussetéz	|---|--⌫|---|---⌫--|-|---------|
Hauciézlepaumee t el	-------|-|----|-⌫|-|
chieflanfer éz.Sire	----||-|---⌫---|---|
com painsan	---⌫----|-|
palaismontere ́ zEtlemengier f eréz	-----|-------⌫-⌫|-|-|------|-⌫----|
bienco nr aerL a	---|--⌫--⌫--|-⌫|
uenisonlachar	------|-|---|
etlesaingler .Le soirauu esprequant uoz	-|-|--------⌫|-|---|-|-⌫----|----|--|
deurézsoupe rAma grant t able asseoiruoziréz	------|-----⌫||-|----|-⌫---|------|--|----|
seneschal ferézmésaporter Lubias	--------|-----|---|------|-----|
ierta tond estre c ostel	---||--|-⌫----|-⌫----|
Li cuens Gautiers	-|----|-------|
a ton se nestrel éz .Quant	|--|--⌫-----|-⌫---⌫|----|
libaron ser ont	-|----|---⌫--|
t uit assambléD i rézmes	-⌫--|--------|-⌫-⌫---|--|
homesmes cheualiers	----|--|---------|
Seé zseignor si com	----⌫|------|-|--|
seoi r soléz C ara	----⌫|-----|-⌫-||
mengi erauréza grans	-----⌫-|-----||----|
p lentézCari eleuoilparlafoiquedoi	-⌫------|--|-⌫|-|---|--|-|--|--|--|
Dé.Quant li	---|----|-|
baron auer ontt u itsoupe ́Licheualier iron t a	----|----⌫--|-⌫-⌫-|-----⌫|-|--------|----⌫||
lor osteu ls	--|-----⌫-|
Sus el palai s ne n	--|-|-----⌫||-⌫|
aur anulreméz Sirecompain senma	---⌫|--|-----|---|-------⌫|-|-|
cham breentre réz EtLub iassiferaautret el.	----⌫--|-----⌫---|-|---⌫--|-|---|------⌫--|
ser uice s uoziertaband on n éz	---⌫----⌫|--|---|-----⌫--⌫-⌫--|
Sire co mpai ns	---|--⌫----⌫-|
et uozlerefuse ́z.	-|--|-|------⌫--|
Biau sc hiers compa i nsbon ne foi m eport éz	----⌫|-⌫----|-----⌫-⌫-|---⌫-|--|-⌫|----⌫--|
Etuoz ramembre	-|--|-------|
lagrantloiaute ́ Queli	-|----|-------⌫|--|-|
unsl autrese doit	--||----|-|---|
bien foiporter .	---|--|------⌫|
Ta nte ntendi rentiluecquesau parler	--⌫-|-⌫------⌫---|--------|-|-----|
Que uespresfu li solausdut	--|------|-|-|-----|--|
cliner.Il s e corrurent	------|-|-⌫|--------|
baisiere tacoler	------|-⌫|-----|
P l orant s	-⌫-⌫----||
en departirent.Li cuens	-|-----------|-|----|
Amissenentraen s a uoie.	---||-|----|-|-⌫|----|
LicuensAmiles de noientne	-|----|-----|-|-----|-|
des uoieIlestuenu s a	---⌫---|-|--|----⌫||
ceuls desoz laubroieContre	----|----||------|-----|
corru ren t tantostcomilleuoi ent Estéaué z biaxsire	-----⌫---⌫|------|--|-|-|---⌫--|----|----⌫|---|---|
nozpoi se.Et dist li c uens Quaupar ler	--|---⌫--|-|---|-|-⌫---|-|-|---⌫--|
Aumess aigi er	-|----⌫----⌫-|
l eu re s oit bene ̈oi teDel	|--⌫-|-⌫--|----⌫---⌫-|--|
compain gnonmadit	-------⌫---|||--|
p aroleuoire Quilsier ta Charle	-⌫----|----|-|-|----⌫||-----|
belements iemploie .	-------|||-------⌫|
Toutesaterrelimaintient	----|-|----|-|--------|
et m anoie.Monté zbaron sentro nz	-|-⌫-----|------⌫|----||-----⌫-|
enn ostreuoi e . Sestoie aBlai uie s demes	-|-⌫----|---⌫-⌫||-----||----⌫---⌫|-|--|
aise sferoie	----⌫|-----|
Quen mon ch iefsu i malades.Quant	-|-|--|--⌫--|--⌫|-------|----|
ce oïrentli c heualie r	-|------|-|-⌫-------⌫|
gentil QueilirontaB laiuies lor	-----|--|-|----||-⌫------|--|
c heminTel ioiee n	-⌫----|--|---|-⌫|
orenton quesgreingn o rne ui.Formentensont en	----|--⌫---|-------⌫-⌫|-|--|------|-|---|-|
esioï Montentesse llesdes destriers	-----|------|-|--⌫---|--|--------|
arrabis A inzn	------|-⌫--||
ar res terentapui ne alarris Descia Blai uiesne	--⌫---⌫-----||--|-||-----|----||----⌫---|-|
onques fin.EtLubias fors	-----|---|-|-----|---|
delatorissi Bienreconnut	-|-|--|---|---|-------|
les che ualiers	--|---⌫------|
dep ris Et la maisniequeses	-|-⌫--|-|-|------|--|--|
pere s norri.	----⌫|-----|
Enzen son cuer	--|-|--|---|
formentsene sioï En contreui nt deso zl	------||-|-⌫----|--⌫-----|--⌫-|----⌫||
ombr ed unpin.L	----⌫||-|---||
espee Amileuaite l le	----|----|---|-⌫-⌫-|
recoillir. Li	---------|-|
b e rlauoit dautr e	-⌫-⌫|-|---||----⌫|
part s eguenchi.uo itleladam me dou	---|-⌫|-------|--⌫-|-|-|---⌫-|--|
s ens cu idaissir.	-⌫--|--⌫--|-----|
Siredist el l e	---|---|--⌫-⌫|
mo ultmauézenpor uil. Orreu enézde	--⌫--||----|----|---|-|---⌫----|-|
la cort dePa risLafi lleChar lebaisier	-|---|-|--⌫--|-|--⌫--|----⌫-|------|
etconioïr Dont	-|-------|---|
li mie nscors	-|---⌫-|---|
e s ttenus enpo r	-⌫-⌫|----|----⌫|
uil.Dex do instl iPeres qui	---|--|--⌫---|-⌫|----|--|
onques nementi Malesnouuellesmenlai stenc o ro ïr	-----|-|----|----|--------||-|---⌫-|---⌫-⌫|-⌫--|
m alputaigesoitli	-⌫-|------|---|-|
sie nsco rs repr ins.	---⌫-|--⌫-|----⌫---|
Li cuens la ntenta	-|----||-⌫----||
poinenra ige u isHauce	--||----⌫--|-⌫-|----|
l apaume enzel néslafer i	-⌫|----|--|-|---|-|---⌫|
Comsescompains	--|--|-------|
lio tconté e t	-|-⌫|-----|-⌫|
dit . P assaauantas poins la	---⌫|-⌫---|----|-|----|-|
uaitsaisirSamb lantfaisoit qu e	---|-----|----⌫---|------|--⌫|
la uolsistlaid irQuant	-|------|----⌫-|----|
si homeli toillent.Li cu ensAm ilesf u	-|---|-|--------|-|--⌫--|--⌫---|-⌫|
moultgentizet	----|-----|-|
mauberinsdegrézLimen g iersfurichement	--------|------|-|---⌫-⌫---|-|--------|
co nraézDe	--⌫-----|-|
uenisonde p o rset de	------|-|-⌫-⌫-|-|-|
sainglers .Lesoi r au	---------⌫|-|---⌫|-|
uespr e quantil durentsouper Ala grant table	-----⌫|----|-|-----|-----||-|----|----|
sesta léz	|--|-⌫---|
acouder Etlacui zinnefa it	------|-|-|---⌫----|--⌫-|
licuensaporterSescoupes	-|----|------|--|-----|
dorfaitil bien	|-|---|-|---|
demand er.Lubiassistason de stre cost e l	------⌫--|-----|---||--|--⌫---|----⌫-⌫|
Li c ue nsGautiersa s onsenestreléz. Q uan t li	-|-⌫--⌫-|-------||-⌫-|-------|----|-⌫---⌫|-|
bar onfuren t	---⌫-|-----⌫|
tuitassambléLi gentizcuenssen es t	---|--------|-|-----|----||-|--⌫|
