lauentured unautre	|-------||-|----|
pl us ertblanchequ e flordespine	--⌫-|--|------|--⌫|---||-----|
licheualiers auanta l a	-|---------|----|-⌫-⌫|
pucelela pela	-----||-⌫---|
la nual fetel ebiausamis	--⌫---|--|--⌫|----|---|
poruos uinieforsd ematerr e	--|--|--|-|---|-⌫|-|----⌫|
d eloin guoss ui uenuequerre	-⌫|----⌫|--|-⌫-|----|-----|
seuos estespreuzetcortois	-|--|----|----|-|------|
emper eres neque nsn erois	-----⌫---|-|---⌫-|-⌫|---|
notonquestant ioiene bien	|-|-----|---|---|-|---|
c ar ie uos aimsor tote	-⌫-|-|--|--|--|---|
illesgarda si lauitbele	-||------|-|-|--|---|
amorslapointde	----|-|----|-|
l estencele	|--------|
quis o ncuer alumeetes pre nt	--|-⌫-⌫|---|----|-|--⌫---⌫-|
il liresp ontauenanment	-|-|----⌫--|---------|
belef etilseuosp lesoit	---|-⌫-|-|-|--|-⌫-----|
etceleioiemauen oit	-|---|---||----⌫--|
queuos meuosissiezam er	--|--|-|--------|--⌫-|
nesauriezrien sconmander	-|------|----⌫|--------|
q ueienef aceamonpooir	-⌫-|-|-|-⌫--||--|----|
tort afol ie ou as auoir	---||---⌫-|-||-⌫----|
uosconmandemenz	--|-----------|
por uosgu er pi r ai	--|--|--⌫--⌫--⌫-⌫-|
tot es ge nz	---⌫-|--⌫-|
iamesne quier	----|-|----|
cest l arie n sque ieplus	|--|-⌫|---⌫-⌫|--|-|---|
quantlapuceleoi	----|-|-----|-|
celuiquitant lap ot	----|--|---|-|-⌫-|
samo retsoncuer li otroie	|---⌫|-|--|---|-|-----|
orestla nual	-|--|--⌫---|
endroite uoie	-|-----|---|
don liadonnéempres	--|-||-----|-----|
iacele rie nn e uoudrames	-|---|---⌫|-⌫|-----|--|
q u il n ait trestoutasonta lent	-⌫|-||--|-------||--|--⌫---|
doint etdes pende	----|-|---⌫----|
la rge m ent	--⌫---⌫-⌫--|
ellelitr ouera assez	---|-|--⌫----|----|
orestlanual bien	-|--|-----|---|
complusde spen drarichement	--|---|--⌫----⌫--|--------|
et plusauraoretar gent	-|---|---|-|-|--⌫---|
ele or uos	--|-|--|
conmantetsiu ospri	------|-|-|-⌫-|--|
neu osdescourezanulhomme	-|-⌫-|--------||--|----|
diraigelasonme	----|-|-|----|
a tot iorsm	|--|---||
auriezperdue	-----|-----|
se ceste amorestoit seue	-|----|---|-----|---|
iamesnemeporr oiz	----|-|-|----⌫--|
nedemonc orsses i ne	-|-|--|-⌫--|---⌫-⌫-|
eti lrespont	-|-⌫|------|
quebien tendra	--|---|-----|
cequelelicommandera	-|-|--|-|---------|
de l ez lis	--⌫-⌫-|-||
estellitcouchie z	--|-|--|-------⌫|
orestlanual	-|--|-----|
bienherbergiez	---|---------|
e nsembleoli lareleuee	-⌫------||-|-|------|
dem ora iusqu	---⌫--|----|
ala uespree	|-|------|
etp lusifus tseil poist	-|-⌫--||---⌫|-|-|----|
se s amieli co n sentist	-||---|-|--⌫-⌫------|
amisfetele leuezsus	---|--|--|----|--|
uosnip oezde mo rerplus	--|||-⌫--|--⌫--⌫--|---|
ianeuo udrezcel	-|-|--⌫----|--|
leu penser	--|-----|
quant uo suoudroiz a	----|--⌫|-------||
m oiparler	-⌫-|-----|
ounuspeustauoirs amie	-|--|----|----||---|
sanzrep roche etsanzuileni e	---|---⌫----|-|---|------⌫|
queieneuos	--|-|-|--|
so iee npresent	--⌫-|-⌫|------|
afe retoutuost retalent	|--⌫-|---|----⌫-|-----|
nushomfors uos	--|--|---|--|
neme uerr a	-|-|----⌫|
nemaparole n	-|-|-----||
quant ill oim olten	----|-||-|-⌫--|-|
illa besep uissestdre ciez	-|-|---|-⌫--||--|---⌫---|
celes quiautref	----|--|-|---|
lemenerent	-|-------|
de richesdras	-|-----|---|
leconroierent	-|----------|
quant ilfuues tuzde nouel	----|-|-|---⌫--|-|----|
notpl us be ldamoi sel	|-|--⌫-|--⌫|-----⌫--|
n es toitmiefexneuilains	|--⌫---|--|--|-|------|
l idouneassesma ins	-⌫|----|-|--|--⌫--|
etlatoailleaes suier	-|-|------||--⌫----|
puis liapo rtentamengier	---|-|---⌫----||------|
serui zcort oisemen t	-----⌫|----⌫-------⌫|
eti lagrant	-|-⌫||----|
i oielepre nt	-⌫--|-|---⌫-|
entr emes i otplen ier	----⌫---||-|----⌫--|
q ui moltplesoitaucheuali er	-⌫-|---|------|-|-------⌫-|
ami ebesoit	---⌫|-----|
etacoloi tes troitement	-|------⌫|--⌫---------|
quantdumengie r fu rentleué	----|-|------⌫|--⌫---|----|
soncheu alli ont	--|----⌫-|-|--|
bien liorentlaselem ise	---|-|----|-|---|-⌫--|
moltatrou ér iches eruise	---||----⌫-|-⌫---|-⌫-----|
il prantcongiesi es t	-|----|-----|-|--⌫|
uersla citeenest	---|-|---|-|--|
souen t regardear iere soi	-----⌫|------|--⌫---|--|
moltestl anu alen	---|--|-⌫---⌫-|-|
gra ntesf roi	---⌫-|---⌫--|
d esau enture uaitpensant	-⌫||--⌫-----|---|------|
etenso n corage dou tant	-|-|--⌫|-----|---⌫---|
esbah iz estn eset quedie	-----⌫-|--|-⌫|--|--|--|
lacuide au oiriamie	-|----|--⌫--|-|--|
ilestas on	-|--||-⌫-|
ostelue n uz	----|--⌫-⌫-|
seshommestrueuebienuestuz	--|-----|-----|---|-----|
ic ele nuitbon ostel ti n t	--⌫--|---|--|----|--⌫-⌫|
mesnu snesot dont ce	--|--⌫|-|--|---|-|
la uile cheuali er	-|---|-------⌫-|
quideseior a it	--|-|----|-⌫-|
gra ntmestie r	---⌫-|------⌫|
que il nefacea luiuenir	--|-|-|---||--|----|
etri c hement et bienseruir	-|--⌫-⌫-----|-|---|-----|
lanualdonnoitlesri ch esdons	-----|------|--|--⌫--⌫-|---|
lanualaqu itoi t	-----|---⌫----⌫|
les prisons	--|------|
lanual ue stoit lesiu gleors	-----|--⌫----|--|--⌫-----|
lanual faisoit	-----|------|
lanualdespen doitlargement	-----|------⌫---|--------|
lanual donnoit	-----|------|
or et argent	-|-|-----|
estrangene	-------|-|
acui la nua lne ustdonné	|--|--⌫---⌫||-⌫--|-----|
m oltotlanualioi e et dedui t	-⌫--|-|-----|---⌫|-|-----⌫|
ousoitpa riorousoitp ar	-|---|--⌫|--|-|---|-⌫-|
samiepuetueoi r	|---|---|----⌫|
t oteestason command ement	-⌫--|--||--|-------⌫----|
au is mesmes l an	--⌫-|-----||-|
apreslafestesaintiohan	----|-|----|----|----|
desiquat rezecheualier	-----||-⌫---|--------|
s ierentale ́ esbanoier	|-----|---⌫|--------|
en ue r gi e rdesozla	-|--⌫-⌫--⌫-⌫|----|-|
oular oineert as e ior	-|-|-⌫---|--||-⌫-⌫--|
ensembleo eusestoit gauuain	-------||--|-----|------|
etsescousi ns li biausyu ain	-|--|-----⌫-|-|----|--⌫--|
ca dit gauuainlifrans liprouz	-|--|------|-|----|-|----|
quitant se fist am er	--|---|-|---|--⌫-|
parde usei gnorsno sfaimes mal	--|--⌫|---⌫----|--⌫|-----|--|
endroitnost r econpainslanual	------|----⌫-⌫|-------|-----|
quit an t estlargesetco rto is	--|-⌫--⌫|--|-----|-|--⌫---⌫-|
etse speres e striche s roi s	-|--⌫|----|-⌫-|-----⌫|---⌫|
que n osnel	--|-⌫-|-||
auoma mene ́	---|-⌫----⌫|
a ta nte starieretorné	|--⌫-|-⌫-|-----|-----|
asono stel enuait	|--|-⌫---|-|---|
lanualamainnent par	-----|--------|--|
aune fenestre entailliee	|--|-------|---------|
oularoineertapoiee	-|-|----|--|-----|
d ames otensembleoli	-⌫---|-|-------||-|
la mesnie l eroicho isi	-|-----|-⌫|--|---⌫--|
lanual connuit et re g arda	-----|------|-|--⌫-⌫---|
unedesdam esapela	--|--|---⌫-|----|
par li mandal e s damoise les	--|-|----|-⌫-⌫|-------⌫--|
lesplus cor toises	--|---|---⌫-----|
les pl us bel e s	--|--⌫-|---⌫-⌫|
o lis i r ontesbanoier	|-||-⌫-⌫--|--------|
la oucilerenteluergier	-|-|--|----|-|------|
tre ntee nmena	---⌫--|-⌫----|
pa r les degrez	--⌫|--|-----|
de sce ndentius	--⌫---⌫----|--|
lic heualier encontreuont	-|-⌫-------|-------|---|
quipor e les gran tioie	--|--|-⌫--|----⌫|---|
cil lesontprisespar	--|--|--|-----|--|
cilparlemen zn	--|--------⌫||
er tpas uil ains	--⌫|--|---⌫---|
lanual s en uet	-----||-|--|
delaut repart	-||---⌫-|---|
loing desautres molt liest tart	----|--|-----|---|-|--|---|
que samiepuis s e ten ir	--||---|----⌫-⌫|---⌫-|
be sieracoleretsentir	--⌫---|-----|-|-----|
i oi e pri sepetit	-⌫--⌫|---⌫-|----|
lesi ende lit	-|--⌫-|--⌫--|
quan tlaroineseul	----⌫|-|----|---|
aucheu aliere nuaittoutdroit	-|----⌫----|-⌫|---|---|----|
lez lis asist si l ap ela	--|-||----|-||--⌫--|
la nual moltuosai ennoré	--⌫---|---|--|-|------|
chierietmolt amé	-----|-|---|---|
totemamorp ouez auoir	---||---|-⌫---|----|
carmedi tesuostreuol oir	--|-|--⌫--|-----|---⌫--|
ma drueri euosotroi	-|------⌫|--|----|
uos tr e d rue	---⌫--⌫|-⌫--|
fetesdemoi	----|-|--|
da mefetil	--⌫-|--|-|
lesiezmester	-----||----|
aicuredeuosamer	-|---|-|--|---|
longueme nt ai	--------⌫-|-|
neliuoil pasm entirm a f oi	-|-|---|--|-⌫----|-⌫|-⌫-|
ia poruos ne por uos treamor	-|--|--|-|--|---⌫--|---|
n emesf eraiamonseignor	-⌫|----⌫---||--|------|
laroinnesec orrouca	-|-----|-|-⌫------|
irieefusim esparla	----|-|-|-⌫------|
l anualfe tel e	-⌫----|--⌫|--⌫|
bienlecuit	---|-|---|
uosn amezguere s teldeduit	--||---|-----⌫|--|-----|
u allezamezbien afetiez	-⌫----|---|---|------|
e nsembleoeusuosdedui ez	-⌫------||--|--|-----⌫-|
assezlema on	----|-|||-|
dit souent	--|-----|
q uedefa menaueztale nt	-⌫-|-|--⌫-||---|----⌫-|
uilainscoarz mauu esfailliz	------|----|----⌫-|------|
moltestm es sires	---|--|-⌫-|----|
malbailliz	--|------|
quip resdelui uos	--|-⌫--|-|--|--|
asoff e rt	|----⌫-⌫-|
m i enescientqu ed eu	-⌫-⌫-|------|--⌫|-⌫-|
quan till oimolt fu	----⌫|-||-|---|-|
dures pondren efupas lent	-|---⌫-----|-⌫|-|--|---|
tel chos edi tparmau ta len t	--|----⌫|--⌫|--|---⌫--⌫---⌫|
repe ntiforment	----⌫--|------|
damedisti lde	---|---|-⌫|-|
cel mest ier	--|----⌫--|
nemesaigenoient aidier	-|-|--|-|-----|-----|
mesieaim etsisuiamis	--|-|--|-|-|--|---|
c elequido itauoir	-⌫--|--|--⌫-|----|
s o rtotesce lesqueiesai	-⌫-⌫|----|--⌫--|--|-|--|
et unechoseuos di r ai	-|--|----|--|--⌫-⌫-|
bien lesachieza	---|-|------||
descou uert	------⌫---|
cune dece lesqui l asert	|--|-|--⌫--|--|-⌫|---|
to tela plus	--⌫-|-|---|
poure meschin e	----|-------⌫|
u autmie xq ue uosdame	-⌫--|---⌫|-⌫-|--|---|
de corsdeuisetdebiau te	-|---|-|--|-|-|----⌫-|
d en seignementetdebonte	|--⌫---------|-|-|----|
laroine sen uetatan t	-|----||-|--|----⌫|
chambressenuet plorant	-------||-|--|------|
es chambr esla ro in eentr a	-|------⌫-|-|--⌫--⌫|----⌫|
quant leroiuit si s eclama	----|-|--|--|-|-⌫|----|
chiet mercilicrie	----|----|-|---|
etdit qu el anua l	-|--|--⌫|-⌫----⌫|
de druerie la req uist	-|------|-|---⌫---|
porc equele l enesco ndist	--|-⌫|-|--||-|----⌫----|
mol tmelaidiet auilla	---⌫|-|----|-|-----|
detelamie seua nta	-|--|---|-|--⌫--|
qu itantertcointeetnoble et fiere	--⌫|---|--|-----|-|----|-|----|
que miexu aloit sa chamberiere	--|---|-⌫----|-|----------|
l a plus p oure quila	-⌫|---|-⌫---|--|-|
quelaroinenefaisoit	--|-|----|-|------|
li rois senc orrouca f orment	-|---||-|-⌫------|-⌫-----|
iuréena so n	----|-||--⌫|
silne sempuet	|-|-||-|---|
encortdefendre	-|---|-------|
illeferaardoir ou	-|-|---|-----|-|
forsdelac hambre	---|-|-|-⌫-----|
i ssili rois	-⌫--|-|---|
de se sbarons	-|--⌫|-----|
ap elatrois	--⌫--|----|
illesenuoiepor lanual	-|--|-----|--|-----|
quiassezadoloretmal	--|----||----|-|--|
asonostelsenes tuenuz	|--|----||-|--⌫|----|
ilse sto itiaaparceuz	-||-⌫---⌫-|-|-------|
qu ilauoitper due s	-|-|----|---⌫--||
descouuert eo tladruerie	----------⌫|-⌫|-|------|
en un echambrees toit	-|--⌫|------|--⌫---|
pensisestoit et ang oisseus	-----|-----|-|---⌫------|
apelemoltso uuen t	----|---|--⌫----⌫|
ualutnoie nt	----|----⌫-|
ilseplaingno itet soupiroit	-|-|--------⌫-|-|--------|
deures enautressepasmoit	|----|-|-----|-|------|
p uislicrie cen tfoizme rci	-⌫--|-|---|---⌫|---|--⌫--|
quel eparou lta s on ami	-|--⌫|-----⌫-||-⌫-|--|
soncue retsabouchemaudit	--|---⌫|-|-|-----|-----|
cest me rueillequil nes o cit	|--|--⌫------|-|-|-||-⌫--|
tantcrier nebr ere	---|----|-|--⌫--|
n e debat re nes oidetrere	-⌫|-----⌫-|-|-⌫-|------|
quele u oille merc i au oir	-|--|-⌫----|----⌫|--⌫--|
seultantquilla p uisseueoir	---|---|-|-|-|-⌫----|----|
oiez conm entsecon t e ndra	---|----⌫--|-|---⌫-⌫-⌫---|
ceus queliroi sienuoia	---|--|-|---⌫||-----|
isontuen us i	|---|---⌫|-⌫|
qualacor t ui en gn esanz respit	-||-|---⌫|--⌫--⌫--⌫|---|-----|
liro isla uoit pareus mandé	-|--⌫-||-⌫---|--|--|-----|
lar oinnelae nc u sé	-|-⌫----|||-⌫--⌫-⌫--|
lanuali uaitason gr ant duel	-----||---||--|--⌫--|---|
illeussentocisson uuel	-||------|---|--|---|
ilestdeuantlero iuenuz	-|--|-----|-|--⌫|----|
molt fupensistesanzet m uz	---|-|-----|-----|-|-⌫-|
degrantdolor mostresenbla nt	-|----|----|-----|------⌫-|
l i dist par ma ut alent	-⌫|---|--|--⌫--⌫----|
uassaluos mauezmoltmesfet	-----|--||---|---|-----|
trop conmencastes uila i nplet	---|-----------|----⌫-⌫|---|
demoi honni retauillier	-|--|-----⌫|-|-------|
etlaro inele dengier	-|-|--⌫--|--⌫------|
estesd efolie	----|-⌫|----|
est nobleuostreamie	--|----|-----|---|
quantplusu aillanzestsameschine	----|---|-⌫------|--|-|-------|
etplusbeledela roinne	-|---|---|-|-|-----|
lanualdesfentl adesenor	-----|------|-⌫|------|
et lahont edesonseigno r	-|-|----⌫|-|--|------⌫|
motsi conmei ld ist	--|-|----|-⌫|-⌫--|
roinene requist	----|-|------|
me sdec e dontil outparlé	--⌫|-|-⌫|---|-|--|-----|
reconnutillaue rite	-------|-|-|--⌫---|
d elamordont i lse uanta	-⌫||---|---|-⌫|-|----|
dolent enestperd u i	-----|-|--|----⌫||
ditqui l fera	--|-|-⌫|---|
qa nque la cortesgar dera	--⌫---|-|---|-----⌫---|
li roisf umoltuer slui	-|---|-⌫|---|---⌫|--|
hom mesaenuo iez	---⌫--||----⌫--|
droitquilendoit fere	----|-|-|-|---|---|
connelipuisseen	|-|-|-|-----|-|
mal retrere	--|------|
c ilontson	-⌫-|--|--|
con mandementf e t	---⌫--------|-⌫-⌫|
oueussoitbel oueussoit	-|--|---|--|-|--|---|
conm unement isontalé	----⌫------||---|---|
siontiugiéetes gard é	-|--|-----|-|--⌫----⌫-|
quelanualdoitauoi r ior	--|-----|---|----⌫|--|
mesplegestruist ason	--|-----|-----||--|
queiltendra	--|-|-----|
soniugement	--|-------|
etreuendraensonpresent	-|-------|-|--|------|
senseralac ortenforcie ́	|-|---|-|-⌫--|--------⌫|
forssa mesnie	---|-|-----|
au roi reuienentlibaron	-|--|--------|-|----|
silimostrerent la	-|-|---------|-|
l i roisaplege s	-⌫|---||-----⌫|
lanual f use use tesgarez	-----|-⌫|--⌫-|-⌫|------|
ni au oit pare nt ne ami	||--⌫--|----⌫-|-|--|
g auuai n i uientsi l apleui	-⌫-----⌫||----|-|||----|
et tuitsicomp laign o napres	-|---|-|----⌫-----⌫-⌫|----|
seurqa nqueuos	---|--⌫---|--|
terre set fiez	-----⌫|-|---|
chascun sparsoi	-------⌫|--|--|
qu ant pleuif u	--⌫--|----|-⌫|
dont n i otel	---|||-|-|
s ono stel	-⌫-|-⌫---|
lecheual ier ontconuoié	-|------⌫--|--|-------|
molt lo nt blasméetchastoi e ́	---||-⌫-|------|-|-------⌫-⌫|
n e face si gran t d olor	-⌫|---|-|----⌫|-⌫---|
etmaudientsi	-|-------|-|
cha scunior laloientueoi r	---⌫---|--||------|----⌫|
p orceq uiluoloie ntsauo ir	-⌫-|-|-⌫|-|------⌫-|----⌫-|
beustouilmeni as t	----|-|-|----⌫--⌫|
mo ltdoutoientqu ilsafolast	--⌫-|--------|-|-||------|
auiorquec i lorentnom mé	-|--|--|-⌫-⌫|----|---⌫--|
l ibaron furent as semblé	-⌫|----|-----|--⌫------|
liro iset la roinne i fu	-|--⌫-|-|-|-----||-|
etli ple ge	-|-|---⌫-|
ontl anualrendu	--|-⌫----|----|
molt furent tuit po rli dol ent	---|-----|---|--⌫|-|---⌫--|
iecuit quil	-|---|-|-|
quifaisoienttotlo r pooi r	--|--------|--|--⌫|----⌫|
po rluisanz plet del iure auo ir	--⌫|--|---|---|---⌫---|---⌫-|
il ertret e ́amo ltgranttort	-|--|---⌫-⌫||--⌫-|----|---|
d emandele re cort	-⌫-----|-|--⌫---|
seloncleclaimetle	-----|-|----|-|-|
orest trestot sorlesba rons	-|--|------|--|--|--⌫---|
iugementuenu	-------|---|
pensis et irascu	-----|-|-----|
homme d autruipais	----||-----|---|
quientreus ertsient repr is	--|---|--|--|-|---⌫----⌫-|
enconbrerleueulentpl usor	--------|-|------|--⌫---|
po rlau olentelor s ei gno r	--⌫|-|-⌫-----|--|-⌫--⌫---⌫|
lidus de corno a ille	-|--|-|-----⌫-⌫---|
i ae n droit nos niaura fa ille	-⌫|-⌫-⌫----|--|-|---|--⌫---|
queq ui quenplo rtnequi qu	--|-⌫-|-|-|---⌫-|-|--|-|
ledroit estuet alerauant	-|----|-----|---|----|
lirois parlauers sonuassal	-|---|----|---|--|-----|
quei euosoinome r l anua l	--|-⌫|--|-|----⌫|-⌫----⌫|
d efelonniele reta	-⌫|-------|-|---|
etdunmesdi tl	-||-|-----⌫||
achoisonn a	---------⌫|
amordontilseuanta	---|---|-|-|----|
etmadamesen	-|-|---||-|
nusnel apelefors le ro i	--|-||----|---|-|--⌫|
parcelefoiqueieuosdoi	--|---|--|--|-|--|--|
en uoudr oit d ire	-|-----⌫--|-⌫--|
i anide ustres ponsauoir	-⌫|-|--⌫--|---⌫---|----|
sep or cenonqua	-|-⌫-|-|--|-||
sonseignor	--|------|
doit le nporter honnor	---|--⌫|-----|-----|
serementlengagera	-------||-|-----|
et li rois	-|-|---|
puet auoir	---|----|
etsamieuenist auant	-||---|-----|----|
et sec e fustuoi rqu ildeist	-|-|-⌫|---|---⌫|-|-|----|
dont laroinesemarrist	---|-|----|-|------|
deceaurabonne mer ci	-|-|---|----|---⌫-|
queporuiltenud itde li	--|--|----|||-⌫-|-|-|
ilnepuetgarant auoir	-|-|---|-----|----|
c elideuonsfere	-⌫|-|-----|---|
toutsonseru ise pertduroi	---|--|----⌫--|---|-|--|
aucheuali eronten uoié	-|-------⌫-|--|--⌫----|
etsiliontditetno ncié	-|-|-|--|--|-|--⌫----|
ami eface uenir	---⌫|---|----|
porluitenser etgarantir	--|--|-----|-|-------|
a d it q uiln epo r roit	|-⌫-|-⌫|-|-⌫|--⌫-⌫---|
secorsn iau roit	-----|-⌫|--⌫---|
cils en re u ontas	--||-|--⌫-⌫--|-|
qu il niatendentnulse cors	-|-|||-------|--|--⌫---|
li rois le	-|---|-|
hast oitdu rement	----⌫--|--⌫-----|
porl aroineque s atent	--|-⌫|----|--||----|
quantil deuoient dep artir	----|-|-------|---⌫----|
deuspucele s uoientuenir	---|------⌫|-----|----|
desorsparlefroiz ambla nz	-----|---------|-----⌫-|
moltpa r esto ienta uenanz	---|--⌫|----⌫---|-⌫-----|
dece ndalporpresont uest ues	-|--⌫---|-----|---|----⌫--|
totsenglement alorcharnues	--|---------||--|---|---|
gar dentmoltuolen tiers	---⌫---|---|-----⌫----|
gauu ainolitroischeual iers	----⌫--||-|----|------⌫---|
lanualsilimostra	-----|-|-|-----|
lespu celesq uisont	--|--⌫----|-⌫-|---|
mol tf u hetiezforment liprie	---⌫|-⌫|-----|------|-|---|
q u illi diese	-⌫|-|-|--|-|
adit ne sai	|--|-|--|
ne dontuienent n ou eles	-|---|------||-|---|
celes s ont	----|-⌫--|
a leesau a nt	-⌫---|--⌫-⌫-|
cheualpars emblant	-----|--|-⌫------|
desce ndire ntdeuantledois	-----⌫-----⌫-|-----|-|---|
lao useoitartu slirois	-|-⌫|----|----⌫|-|---|
eles fure ntdegrantbiau te	---|----⌫-|-|----|----⌫-|
siontcortois ement	-|--|-------⌫----|
ci ldiex q ui fetcler	--⌫|---|-⌫-|--|---|
etg artle roi	-|-⌫--|-|--|
rois fetesnos chambres liur er	---|----|--|-------|----⌫-|
etde pa i lles enc ortiner	-|-|--⌫-⌫---|---⌫------|
