cuers esu eille	----|---⌫----|
queli di eu damorspla indeioie	--|-|--⌫-||----|---⌫-|-|---|
qui lesfins	--|--|---|
a morousauoie	-⌫-----|----|
de pensera	-|-----||
l uinuitet ior	-⌫-|---|-|--|
sanzpr endrereposn eseiour	---|--⌫----|----|-⌫|-----|
ianglo itamoiobonne	------⌫-||--||----|
etp arloit en c e stemanie re	-|-⌫-----|-|-⌫-⌫--|-----⌫-|
biau s amis iai bienentendu	----⌫|---||-|---|------|
que piechatesamoi	--|-----||-||--|
etuoi bienqu e ces tton desir	-|--|---|--⌫||--⌫|--|----|
deferequanqueie d esir	-|---|------|-|-⌫---|
dequ o ytu esmoultbienmeu	-|--⌫-⌫|-|-|----|---|--|
qu aiaperch eu	-|-|------⌫-|
queesuers moisiententis	--|-|---|--|-|-------|
aamours oncnementis	|-----|--|-|-----|
ie uoi lquemefacesse rui se	-|---⌫|--|-|----|--⌫---⌫-|
sitedescrirayen	-|-|--------|-|
quelguis e	---|----⌫|
t ropmesuitenu	-⌫--|-|--|---|
ensil e nce	-|---⌫-⌫--|
ieuoiquencescunescie nce	-|--|-|-|------|----⌫--|
a reul lesau	|----⌫--|-|
commencement	-----------|
ouaucun ent rodissement	-|----|---⌫----------|
parquoycil	--|---|--|
qui lartueut apr en dr e	--||--|---|---⌫--⌫--⌫|
puet legierement entendre	---|----------|-------|
et estudierl a matiere	-|-------|-⌫|------|
quelie nsemble	--|-|-⌫|-----|
plus l egiere	---|-⌫-----|
oruoiie queenm a doctr ine	-|--|-|--|-|-⌫|-----⌫--|
qui lesfinsamansen lu m ine	--|--|---|----|--⌫--⌫-⌫--|
reulles entelmaniere	------|-|--|------|
en arriere	-|------|
porquoiieuoilquelzsoient	--|---|-|---|-|--|-----|
et des autresaucto u rs es treites	-|--|-----|-----⌫-⌫-|--⌫------|
quercombien qu ilm	---|------|-|-||
aitmonthetié	--|---|-----|
queplusorsenaient treitié	--|------|-|----|-------|
pa r moss i pro l is	--⌫|--|-⌫|---⌫-⌫-|
qu e les f i nsamouro us io l is	--⌫|--|-⌫-⌫-|------⌫-|--⌫-⌫-|
nepuentpa sbrie m ent entendre	-|----|--⌫|----⌫-⌫--|-------|
qu eles au ctoursueulentcomprendre	--⌫|--|--⌫-----|------|---------|
nechescun nepuet passauoir	-|------|-|---|--|-----|
latinne les	----|-|--|
liure sauoir	-----⌫|----|
quisusamours	--|--|-----|
on t estéfez	--⌫|----|--|
siuoilquetup r enges	-|---|--|-|-⌫-⌫----|
m etestou t e tac ure	-⌫---|---⌫-⌫|-|-⌫--|
acomprendreen brieuee scripture	|---------|-|-----|-⌫--------|
monart q ui	--|--|-⌫-|
le s ielo usa l ume	--⌫|----⌫-|-⌫-⌫--|
feyde teluol ume	--|-|--|---⌫--|
amantpoursoy	----|---|--|
confor ter	------⌫--|
puissetouzd izosoi porter	-----|---|-⌫-||--|-----|
soitresidentou auge hors	---|-------|-|---|---|
e nlieud unpetit p orte hors	-⌫|---||-|----|-⌫----⌫---|
etquantissiaras descr ipte s	-|----|---|---|-----⌫----⌫|
lesre ulles	--|--⌫----|
d euantdites	-⌫----|----|
sachesq ue	-----|-⌫-|
bienleterendr ay	---|-|-|-----⌫-|
querenlore	---|-||--|
m o narctendray	-⌫-⌫|--|------|
d un dart amourous	|-|---|-------|
celeaudouz	---|-|---|
fincu ersa u orou s	--|--⌫-|--⌫-⌫----⌫|
ou tant ad e	-|---||-⌫|
henouretdepris	-----|-|-|---|
porq ui tues sientrepris	--|-⌫-|-|-|-|--------|
et s e en liea tant d am er	-|-⌫|-|--||---||--⌫-|
queporrienne	--|--|---|-|
teuoeilleamer	-|------|---|
iete bai drai mon arcpor	-|-|---⌫---|--|--|--|
par toutouil	--|---|-|-|
te u oudra p laire	-|-⌫----|-⌫----|
e t lorssoies	-⌫|---|----|
certainsanzdo ute	------|---|--⌫--|
queta uolentefe rastoute	--|-|------|--⌫--|----|
oryentent etnetetarde	-||-----|-|-|-|----|
et ie t eretienenmagarde	-|-|-⌫|-----|-|-|----|
qu ant issimoutar eso né	--⌫--|---||--|--⌫---⌫--|
cil parqui	--|--|--|
tous prisest	---|---|--|
s iferiensemble ses eles	-⌫|---|-------|--|---|
er en t luisansetbeles	--⌫--⌫|------|-|----|
ets es t hauten la ir	-||--⌫|---|-||-⌫-|
trans porte z	-----⌫-----⌫|
doncie fuimont	---|-|--|---|
desconfortez	-----------|
quantissifuesuanoi	----|---|-|------|
lebritdeses	-|---|-|--|
quim esueillie rentceme semble	--||---------⌫---|-|-|-----|
sicommeillesferi ens embl e	-|----|-|--|---|---⌫----⌫|
lorsquan ti eme fuies u ei llié	---|----⌫|-⌫|-|--|--⌫-⌫--⌫----|
ie f u isachiezmo nt meru eillié	-|-⌫-⌫|------|--⌫-|----⌫------|
et monttrespensis decestsonge	-|---|---|-----|-|---|----|
sauoirsil er tuoir	-----||-|--⌫|---|
oume nchon ge	-|--⌫-----⌫-|
m e sy yresonssimecorurent	-⌫-⌫|-⌫|-----|-|-|-------|
q uimerueill euse ment memurent	-⌫-|--------⌫----⌫---|-|-----|
acroire quecefuurit e	|-----|--|-|-|----⌫|
lunequeren diuinite	|--|---|-|-------|
treuue ntlytheologien	------⌫-|-|---------|
quesouuent en te mpsancien	--|------|-|--⌫--|-----|
plusors diuinesui sions	------|------|--⌫----|
uenoi ent p ar auisions	-----⌫--|-⌫-|-------|
lautre resonquim esioi	|----|----|--||----|
enla no iseque i e	-|-|--⌫--|--|-⌫|
quero nctelembruissement	---|-⌫-|--|------------|
nefusanzaucun mo uuement	-|-|---|----|--⌫------|
siqueparce stede moustrance	-|--|--|--⌫--|--⌫---------|
uincie a u raie cog n oissance	---|-||-⌫---|---⌫-⌫-------|
queciertamors	--||---|----|
lef ilzuenus	-|-⌫--|----|
qui ertissi amoi	--|--|---||--|
commechosees pirituel	----|----|--⌫-------|
nemonpense	-|--|----|
p u i sn e fuel	-⌫-⌫-⌫|-⌫|-|-|
n ertae s condire	|--||-⌫-⌫------|
quer seuer smoie rtmeud ire	---|-|---⌫|--|-⌫-|--||--|
to s tmemelleroitmac hainta ine	--⌫-⌫|-|--------|-|-⌫------⌫--|
luis ouf fr oiepain e	--|-⌫---⌫--⌫--|----⌫|
bienleme pram et oitarendre	---|-|-|----⌫--⌫--||-----|
issime stutceste euu reemprendre	---||-⌫---|----|---⌫-|--------|
ormed oinst	-|-|-⌫----|
dextel ch ose	--|--|--⌫--|
dieu damours puiss e pl ere	---||-----|-----⌫|--⌫--|
ama nsetasamés	---⌫-|-|-|----|
siquefoln ensoiec lamé s	-|--|--||-|---|-⌫-----⌫|
requ ierdeuotement	----⌫--|---------|
debonentendemen t	-|--|----------⌫|
seaucunecho se yd effa ut	-|-----|---⌫-||-⌫----⌫-|
soupplentmon	--------|--|
qu er ilueentbie nque aforce	--⌫-|-|----|---⌫|--||----|
c enfere m e f orce	-⌫-|---|-⌫|-⌫---|
et cilestbienaexcuser	-|--|--|---||------|
quifai t que	--|---⌫|--|
n e puet refuser	-⌫|---|------|
ices t liur eque i ai somé	----⌫|----⌫|--||-|----|
la clefdamorsseranommé	-|---||----|---|-----|
lui porr ale n o uurir	--|----⌫|--⌫|-⌫----|
lesarsd a mourset de scouurir	--|--||-⌫----|-|--⌫-------|
orneleuiegne nulaprend re	-|-|-|-----|--|------⌫-|
nacueramou reusettendre	||---|----⌫---|-|-----|
traientso yens u s lesgelo us	------|--⌫|---⌫-⌫|--|----⌫-|
ascu ersfel ons et	-|--⌫--|---⌫--|-|
uilains etl esuilaines	------|-|-⌫-|-------|
telzgensiperdroientl or paines	---|---||---------|-⌫-|-----|
aparti ent ilm ie	------⌫--|-|-⌫-|
asauoir damerl a mestri e	|-----||---|-⌫|------⌫|
quilestatdamoursueut m ener	--||----||-----|---|-⌫---|
premierementsedoi tpener	-----------|-|---⌫|----|
desl iereetquerre tel pers one	|---⌫---|-|-----|--|----⌫--|
quiporamer so itdig ne	--|--|---|--⌫-|---⌫-|
apreslapucele i ss iquise	----|-|-----|-⌫--⌫|----|
doit pri er sicom lartdeuise	---|---⌫-|-|--||--|-----|
par paroles a	--|------||
cenauabl es	--|-----⌫-|
d oucesp lesan setamiables	-⌫----|-⌫-----⌫|-|-------|
ou trecen s eilm ensouui ent	--⌫--|--|-⌫|-||-|-----⌫--|
telpe nse ea uoirlicouuient	--|--⌫---⌫|-⌫---|-|-------|
q uecele amour lo nguementdure	-⌫-|---|----|--⌫-------|---|
quer amour d un	---|----||-|
iour e st tro p dure	---|-⌫-|---⌫|---|
orpu estu questionmouuoir	-|--⌫-|-|-------|------|
ouet comm e ntporrastrouuoi r	-|-|----⌫-⌫-|-----|-------⌫|
celeq ui tanttedoiep le re	---|-⌫-|---|-|---|-⌫--⌫-|
acent eu oilresponsef ere	|--|-⌫|-⌫--|-------|-⌫--|
q uanttu uasa tau olente	-⌫---|-|--||-|-⌫-----|
sedameres ental enté	-||---|-|-----⌫----|
eslieaquitup u issesdire	----||--|-|-⌫-⌫----|---|
dam e surtoutes uousdesire	---⌫|--|-----|---|-----|
entel lieudo i z t amiefere	-|--|---|--⌫-⌫||---|---|
ouaiez caused e toi tre re	-|---|----|-⌫|--|---⌫-|
querte sa m ours et tes	---|--⌫|-⌫-⌫---|-|--|
en po rrontmiex estre celeez	-|--⌫----|---|----|-----|
nel afaylo ingne horsdeui ll e	-|-⌫|--|--⌫--|-|---|-|--⌫--⌫|
querlen sa roi t	---|--|--⌫---⌫|
siseprendroit len	-|-|--------|--|
de toyguarde	-|--|-----|
amo urlointaigneesttropmusarde	---⌫-|---------|--|---|------|
e tse loing lau eu z apointi er	-⌫|-|----|-|-⌫--⌫|-------⌫-|
ladoizu nami	-|---|-⌫|--|
aco intier	---⌫-----|
siserac ausedu rep ere	-|---|-⌫---|-|---⌫--|
que sisouuen tl euoudras	--|-|------⌫|-⌫|------|
oras tuueu	-|-|-|--|
doitestre quise	---|----|----|
apr esteuoilletempsap rendre	---⌫-|-|---|-|----|--⌫-----|
quetudo iz a	--|-|--⌫-||
c hoisirente n dre	-⌫-----|----⌫-⌫--|
tune doizpasp arnu itchoisir	-|-|---|--|-⌫-|--⌫-|------|
celeouue uz metretondesi r	---|-|--⌫-|----|--|----⌫|
ic enretiengde	--⌫-|------|-|
ma doctrine	-|-------|
toutbren semble par n uit f erine	---|---|-----|--|-⌫--|-⌫----|
nu lz homs neporroitbonne men t	--⌫-|---|-|------|-----⌫---⌫|
fereuritableiugement	---|-------|-------|
parn ui tsefame e st ledeoubele	--|-⌫--⌫|-|---|-⌫-|---|-|---|
tant ueistil	---|----|-|
alachandele	|-|-------|
apresque fameara	----|--|---|--|
nesoiez d eslirem eu	-|----||-----|-⌫-|
uinz font lespenseesouurir	---|---|--|------|-----|
et ma i ntesfoi z uritecouurir	-|--⌫-⌫---|---⌫|----|------|
l esui n zfon tengroissierlesueine s	-⌫-|--⌫-⌫|---⌫|----------|--|-----⌫|
e tlesfaces fronchie spleines	-⌫|--|----|--------⌫|------|
et main tuout fo nt	-|----⌫|---|--⌫-|
il cou lourey	-|---⌫-----|
quiainzestoit paleoumorey	--|---|-----|---|-|----|
por quoi quiueutamie fere	--|---|--|---|---|---|
soit au isés	---|--⌫---||
ilmeueutcrere	-|-|---|----|
dechois i r ainzqu ele aitbeu	-|-----⌫-⌫|-----|--|--|--|
si neserapasdecheu	-|-|---|--|-----|
orietemoustr ép ar reson	-|-|||------⌫-|-⌫-|----|
enquellieuet	-|---|---|-|
enqu el seso n	-|--⌫-|----⌫|
doi zcho isirorfaut	---⌫|---⌫---|-|---|
dequi tudeiz	-|--|-|---|
gardeq uet amiesoit	----|-⌫-||---|---|
ien netendre	---⌫-|-----|
frescheetnouuelle	------|-|-------|
simpledouc epl es antauab le	-----|----⌫|--⌫--⌫--|----⌫-|
sagec our toiseethen orabl e	---|-⌫---⌫----|-|---⌫-----⌫|
teuient en courage	-|----|-|------|
dam erfame degrantaag e	|--⌫-|---|-|----|---⌫|
de ce lles assez tro uue ras	-|--⌫---|----|---⌫---⌫--|
plusquedesienne sneferas	---|--|--|-----⌫|-|----|
a imeenha utlieu setues sage	-⌫--|-|--⌫-|---|-|-|-|---|
etfamede n ob le	-|---|-|-⌫--⌫-|
tantplus seradenoble afere	---|---|---|-|----|----|
pl ussera douceetdebonere	--⌫-|---|----|-|-------|
quargentildou z et debonere	---|-----|---⌫|-|-------|
faittant ostcequ iest a	---|----⌫--|-|--⌫|--||
ettupu e s	-|-|--⌫-⌫|
dautr ep artuoi er	|----⌫|-⌫--|---⌫-|
filzde uila inse	---|-|----⌫-|-|
faitproie r	---|-----⌫|
por cenuoil ge nquehardement	--|--|---|--⌫|--|--------|
ainges etp rengeshard e m ent	-----|-|-⌫-----|----⌫-⌫-⌫--|
souferr age ntil lesce	-------⌫|--⌫----⌫----|
quefi namantuiu e e nt ritresce	--|--⌫|----|---⌫|-⌫|-⌫-------|
to u tes famestie n a uilaines	--⌫-⌫--|----|---⌫||-------|
qui f ont perdreas a manslor spai nes	--|-⌫--|-----|-|-⌫---|---⌫|---⌫--|
etqui refusente tdesd i ent	-|--|-------|-⌫|----⌫-⌫--|
ceulzquisanz	----|--|---|
faintis elesp rient	-------⌫|--|-⌫----|
u ilaine s sont il uoirement	-⌫------⌫|---|-|--------|
ie letepreuueclere ment	-|-|-|-----|-----⌫---|
celee stuilai ne aquile n	---|-⌫-|-----⌫-||--|--⌫|
samo ursel neleguerre do nne	|---⌫-||-|-|-|------⌫--⌫--|
uice esprise	---|------|
nesoitia tonent entemise	-|---|-|--|---⌫---|---|
doitte nir enchierte	---|--⌫--|-|------|
fameesp risedet el fier te	---|---⌫---|-|-⌫-|----⌫-|
d amer hautne	|---|---|-|
t esbahizmie	|------|--|
querouid enouscert efie	---|----⌫|---|----⌫---|
fam ene puet q ui biau latente	---⌫|-|---|-⌫-|---|-|----|
fuir equamerne sa se nte	----⌫|-|---|-||-⌫--⌫--|
encourage tedoitmonter	-|------|-|---|-----|
a toutesfames sormonter	|-----|----|--------|
homm equibiauprie	----⌫|--|---|---|
tre u uefamequilescondie	---⌫-⌫-|---|--||-------|
fi nalmen ttu doizsu pposer	--⌫------⌫|-|---|--⌫-----|
t outs anz gloser	-⌫--|-⌫--|-----|
qu etoutes	--⌫|-----|
fam esontgrant	---⌫-|--|----|
quan tauc unyd amer les proie	----⌫|---⌫--||---|--|----|
oras tuueu	-|-|-|--|
quelspersones	----|-------|
sont poramerdignes etbonnes	---|--|---|-----|-|-----|
or uoilatone s tat uenir	-|---||--|-⌫-⌫--|----|
c ommenttu tedoizcon ten ir	-⌫-----|-|-|---|---⌫---⌫-|
seuers amo u rs	-|---|---⌫-⌫-|
ueuz assener	---|------|
sagetedoizpen er	---|-|---|---⌫-|
miexu a utsenssan z	---|-⌫-⌫-|---|---⌫|
b iauteauoir	-⌫----|----|
quau oirb iaute	-|--⌫--|-⌫----|
sanzriens sau oi r	---|----|---⌫--⌫|
quiabia ucorsetbiauuisage	--||---⌫|---|-|---|-----|
p o yliualentse il nest	-⌫-⌫|-|-----|-|-||--|
querile st t oute n	---|-|-⌫-|-⌫--|-⌫|
la m aniere	-|-⌫-----|
commey mage painte nmes iere	----|-⌫---|----|-⌫|---⌫---|
o toutcen doizestre cortois	|---|--|---|----|------|
d escheuelzsiqueses ortois	-⌫-|------|-----|-|-----|
parcourto isie	--|------⌫---|
etpa rlargesce	-|--⌫|-------|
puetlen monteren granth au tesce	---|--|-----|-|----|-⌫--⌫----|
bi aup arlier	--⌫-|-⌫-----|
soie zto utesuoie s	----⌫|--⌫---|----⌫|
gensou quetusoies	---|-|--|-|----|
e n biauparle r na p as grantforche	-⌫|---|-----⌫|||-⌫-|----|-----|
q uerbiau parler langue nesco rche	-⌫--|---|-----|-----||----⌫---|
neso iez orgueillous	-|--⌫--|----------|
ne hurtenu luynenefier	-|----|--⌫--|-|-|---|
qu i m aineorg uilnefelonnie	--⌫|-⌫---|---⌫--|-|-------|
n estpasdig nedauo iram ie	|--|--|---⌫-||---⌫-|--⌫-|
humb ledois estre et debonere	----⌫-|---|----|-|-------|
setuueuz uersamorstre re	-|-|---|---|----|---⌫-|
homsmont epar	---|----⌫|--|
quiparor gu il chietenuilte	--|--|--⌫--⌫-|----|-|----|
prouzhard idoizestre etappert	----|----⌫|---|----|-|-----|
quilsoitissi bieny	-|-|---|---|---||
tropmal e chose	---|---⌫|----|
estcouardie	--|-------|
ia coua rtn arabele amie	-|----⌫-||--|---|---|
c esreu les qu e i aideu ant dites	-⌫-|---⌫--|--⌫||-|---⌫--|----|
doiuent entoncuerestre	------|-|--|---|----|
quim ado ctr ineetmonart	--|-⌫|--⌫---⌫--|-|--|--|
orueon queau	-|---|--|-|
c orsapartient	-⌫--|--------|
ieu oilquetoutamorous	-|-⌫--|--|---|------|
biauchiefetpropre ou biau	---|----|-|-----|-|---|
fayquequelte	--|----|-|-|
me sparfo rce	--⌫|--|--⌫--|
rie nsni aiouste	---⌫-|||------|
tes exdoiz tenir	--|-|---|----|
et tesoreillesensem ent	-|--|-------|-----⌫--|
o stelepeildetesnar illes	-⌫--|-|---|-|--|---⌫----|
dentred euzs orcilles	|----|-⌫--|-⌫-------|
tienge s tesdenzblanches et netes	------⌫|--|---|-------|-|----|
combienque	------|--|
d etacurey metes	-⌫|-|---||----|
et sitegardebienet paine	-|-|-|----|---|-|----|
q ue tunaiez maluaise	-⌫-|-||---|-------|
t e lui ce	-⌫-⌫|--⌫-|
nete touche	-|-|-----|
queilaitlimon en tabouche	--|-|--|----|-|-|-----|
taba rbefayrer e	-|--⌫--|--|---⌫|
e tsoustrere	-⌫|--------|
a telquibien l esache	|--|--|---|-⌫|----|
s aspoycoulourett u	|-|--|------|-|-⌫|
tenduelle s	|-|------⌫|
gardeq uefarder	----|-⌫-|-----|
neteuoilles	-|-|------|
necontr ena ture estriuer	-|-----⌫|--⌫---|-------|
uout dommepl es tsa nzco utiuer	---||---|--⌫--⌫|--⌫-|--⌫-----|
aman t doites t r emegreetpal e	----⌫|---|--⌫-⌫-⌫|----|-|---⌫|
amour gress eet coulour	----|-----⌫|-|------|
quionques d	--|-----||
amorsestbetez	----|--|----|
estgrasneacoquetez	--|---|-|--------|
paledoi t estr eparnatu re	---|---⌫|----⌫|--|----⌫-|
quiles nuysueill eengran tar dure	--|--|---|-----⌫|-|----⌫|--⌫---|
issi lefont les	---|-|---|--|
asfinzcuersdouz et sauourous	-|---|----|---|-|--------|
auoirprop re	----|----⌫-|
aucorsetau cole tbien fete	-|---|-|-|----⌫|---|---|
siqueton cor se tnetacote	-|--|--|---⌫--⌫|-|-|---|
nefacentpliquen ehanscote	-|-----|-----|-⌫|-------|
garque ta chemisenemon te	--|--|-|------|-|---⌫-|
sihautque t u	-|---|--|-⌫|
enaiezhonte	-|---|----|
so ie zmignot	--⌫--⌫|-----|
deb elaff ere	-|-⌫-|---⌫--|
en c enqui poytec ouste	-|-⌫-|--|--|-|-⌫----|
aiez chaperonbi enfetis	---|-------|--⌫-|----|
trop grantne soit	---|----|-|---|
metlesi etenchaperonne	--|-|-|-|-----------|
quenulpar flengu ene nsarm onne	--|--|--|------⌫||-⌫|----⌫---|
auco laiezun fer maillet	-|--⌫|---|-|---⌫------|
poipara ntouune smaillet	--|----⌫-|-|-|-⌫-------|
propr efetisetgent	-----⌫|----|-|---|
il plest mon taaucunegent	-|----|---⌫||-----|---|
tesmanc hes	--|----⌫--|
doizf eredrechier	---|-⌫--|-------|
siqu eln iaitque adrechier	-|-|-|||--|--|--------|
mestel nouue a ute	--|--|-----⌫-⌫--|
ne f aimie	-|-⌫-|--|
que l e nletieng eam oquerie	--|-⌫-⌫|-|-----⌫||-⌫------|
tesmains tienge ssain eset	--|----|------⌫|----⌫-|-|
queilniait roignesnebubetes	--|-|||--|------|-|------|
rooignetes onglessouuent	------|--|-----|------|
seueuzestreenn o stre	-|---|----|-|-⌫-⌫---|
aiezsoitde	---|---|-|
cuiro u de so ie	---|-⌫|-|--⌫-|
be le bourseetb elecoroie	--⌫-|-----|-|-⌫--|-----|
biauscoutealzbelegibe chiere	----|-------|---|----⌫-----|
seu euz auoir	-|-⌫--|----|
bonneamourc hiere	----|----|-⌫----|
c haucetoienbelem aniere	-⌫----|--|-|---|-⌫-----|
ti ret a chauc eala lasniere	--⌫-|-⌫|-----⌫||-|-------|
si qu elnia it	-|-|-|||-⌫-|
plique ne fronche	-----|-|------|
o uideneiz le tenonche	-⌫---|---|-|-|-----|
otoutcen si	|---|--|-|
commeil de sc ript	----|-|--⌫--⌫---|
doitestretonpie si escript	---|----|--|--|-|------|
en tons oullerou	-|--|-⌫-----|-|
que nesemblespashariuel	--|-|------|--|------|
sil auientq uech euaucher doiez	|-|-----|-⌫-|--⌫-------|----|
selefetis cee t biaufrain	---|-----⌫-|-⌫|---|----|
etbiau sorc h aintetbele	-|---|----⌫-⌫---|-|---|
telz cho ses	---|---⌫--|
sontagrantdu ree	---||----|--⌫--|
sas biaucoute l pendu do itestre	|-|---|-----⌫|----|--⌫-|----|
a l asdesoi e	|-⌫-|-|---⌫|
aucoste destre	-|----|-----|
heuses etes peronsdoizprendre	-----|-|--⌫-----|---|------|
enquoyil n a itriens arepren dre	-|---|-||-⌫-|----||------⌫--|
c hapelethoucheoumantelet	-⌫----|-|-----|-|-------|
doizauoirpro p reetnetele t	---|----|---⌫-⌫-|-|------⌫|
mes nelesprengesneneuestes	--|-|--|------|-|-|-----|
silne fet pluiesou	|-|-|--|-----|-|
tempeste s	--------⌫|
icesch osesque	---|--⌫---|--|
iai retretes	|-|-------|
propreset bienfetes	------|-|---|----|
tel cointise est assez seure	--|-------|--|----|----|
un biauharnoiz long uementdure	-|---|------|----⌫-----|---|
setu nasouce pr enges	-|-||-|-|-|--⌫----|
ie uoilq uetesd espensrestraingnes	-|---|-⌫-|--|-⌫-----|-----------|
ainz quetelchose nes oitfet e	---|--|--|----|-|-⌫--|---⌫|
plus dure honte qu esouffrete	---|---|----|--⌫|--------|
cointementse	---------|-|
doitcontenir	---|-------|
quiueutdamors a ch ies	--|---||----||--⌫--|
porfiernesefaceclamer	--|---|-|-|---|-----|
mesa petiset gransamer	--||----|-|----|---|
ento uslieux	-|--⌫-|----|
doi uent fi nzamourousauo ir	---⌫---|--⌫-|-------|---⌫-|
bialz fezbiaus dizet	----|--|----|--|-|
bele guise	---|----|
siquech escu n	-|--|--⌫----⌫|
leslo ee tprise	--|--⌫|-⌫|----|
setuueuz da mours	-|-|---||-⌫----|
ac hief trere	|-⌫---|----|
iss ile tecouuientilf ere	---⌫|-|-|-------|-|-⌫--|
si q ue chescunseramessage	-|-⌫-|------|---|------|
de t oietde t on	-|-⌫-|-|-|-⌫-|
uassel age	------⌫--|
qu ant cel e	--⌫--|---⌫|
quetoncu erde sire	--|--|--⌫-|--⌫---|
detoio rra	-|--|-⌫--|
tantdebiendire	---|-|---|---|
uerstoysera plusa miable	---|--|---|---|-⌫-----|
d o ucheetplus ac ointable	-⌫-⌫---|-|---|--⌫-------|
tu uo iz comme ntte doi zde dire	-|--⌫-|-----⌫-|-|---⌫|--⌫---|
uoil a prescen descrir e	---|-⌫---|--|-------⌫|
en quelz lieuz tudoiz tesreiz	-|----|----|-|---|--|---|
porparleratamietendre	--|-----|||---|-----|
setamiehan te auma rchie	-||---|---⌫-|-|--⌫----|
parl ec hemi n	--|-⌫|-⌫----⌫|
t raytoila o uellesera	-⌫--|--|-|-⌫|---|---|
etresgar d e qu ellefera	-|------⌫-⌫|-|---|---|
illecen lapl a cecommune	----|-|-|--⌫-⌫-|------|
quidemainz li euxle	--|-|----|--⌫--|-|
puepleaune	-----|---|
alero u duuenir	---|-⌫|-|----|
peuz a liepar lerauenir	---||--|---⌫--|-----|
ellere paireaute mple	---|--⌫----|-|--⌫---|
quidepueple ma in tesfoiz	--|-|-----|--⌫--⌫--|---|
illecparl eralie porras	----|----⌫-||--|-----|
en quel guisequetuuorr as	-|---|----|--|-|----⌫-|
acesdances acezk aroles	|--|-----||--|-⌫-----|
p orr a sdirepl usorsparoles	-⌫---⌫-⌫|---|--⌫----|------|
ouferesignescemesemble	-|---|-----|-|-|-----|
alabelequi ton cueremble	|-|---|--|--|---|----|
esbastea ux	-|------⌫-|
esqo mmunes	-|--⌫-----|
