silzliuresquestcien	---|-----|-|--|-|-|
taualoursquestc i escondue	-|------|-|--|-⌫|-------|
prisiefu stet	-----|--⌫-|-|
ch iertenue	--⌫--|----|
iai fus sesrichemant	--|---⌫--|--------|
enun ioelp er grantmaistrise	-|-|---|-⌫-|----|--------|
lastabonteyneta	--|-|-----|-|-|
nemefa it nefroit	-|-|--⌫-|-|----|
ne c halour	-|-⌫-----|
est r angeest a moita nature	---⌫-⌫---|--||--|-|-----|
truispoint depasture	----|----|-|------|
mu e z ain z grainsdefroman toud	--⌫-⌫|---⌫|-----|-|------⌫|-||
quarm ie z mef onto urirlagorge	---|-⌫--⌫|-|-⌫--|-⌫---|-|----|
or ententlamo ralitey	-|-----|-|--⌫------|
etlaprentpora uctoritey	-|-|----|--|-⌫--------|
la riche ia specestsauoir	-|----|--⌫--||--|-----|
que l ifoxpousne	--|-⌫|--|---|-|
puet auoir	---|----|
b oneestdonc la com paro is on	-⌫--|--|---|-|---⌫----⌫--⌫-|
a poulque stsanzraison	|---|-|-⌫-|---|-----|
sapiencequ es t	-------|-|--⌫|
ent refous	---⌫-|---|
ce stchoseperdue	|-⌫-|----|-----|
ensicquie runprouerbefin	----|----⌫|-|-------|--|
esaut resfa bl es enl afin	-|---⌫--|--⌫--⌫-|-|-⌫|--|
e tpe nsebien do uretenir	-⌫|--⌫--|---|--⌫|------|
quargr ant	---|--⌫--|
profitt anpuet ueni r	-----||-|---|----⌫|
entre lolou et laignel at	----|-|--|-||------⌫-|
a loienta un ruiss elat	-⌫-----||-|-----⌫---|
porloursoitrenprertoteuoie	--|---|--|-------|---|---|
chescun s tenoitdiuerseuoie	-------⌫|-----|------|---|
audessus boitdelafontaigne	-|-----|---|-|-|--------|
panse emalsain ne	-----⌫|--|----⌫-|
l iaign e auxdesimpl e	-⌫|----⌫-⌫--|-|-----⌫|
beuoit aude so z dou ri uaige	-----|-|--⌫--⌫|--|--⌫----|
grantpaour ai neseit quil f ace	----|----|-|-|---|-|-|-⌫--|
quarysegrin sfort lemenace	---|-------⌫|---|-|-----|
mauaisa igne axditl i traites	-----|-⌫----⌫-|--|-⌫|------|
alafon taigne maruenites	|-|---⌫-----|--|------|
corro ciezsanz	-----⌫---|---|
auez t robleetote	---|-⌫-----|---|
l ai g nea xse	|--⌫-⌫---⌫|-|
de ffentpe r raison	--⌫----|--⌫|-----|
il n ipens a t r aison	-|||----⌫|-⌫-⌫----|
ma issouant	--⌫-|-----|
tra itpe r sanat ure	---⌫-|--⌫|-|---⌫--|
laiguecor rant en soi	|----|---⌫---|-|--|
l aigue estdouceetclere	|----|--|----|-|----|
nen esttoble ne	-||--|----|-|
nestamer e	|--|----⌫|
crietumem e naces	---|-|-|-⌫-⌫----|
siresalu esuoz graces	---|----⌫-|--|-----|
onquesn oupensai noisen	-----||-|-----|---|-|
t aitoi dit lilouscest manconge	-⌫-|--|--|-|---||--|-------|
iet aicyo imenacier	-||-|-|-⌫|-------|
demon dom a ig eporchacier	-|--|---⌫-⌫--⌫|---------|
a usim e fitetpis essez	-⌫--|-⌫|--|-|--|----|
yy moi sai pesse z	-|---⌫|-|-----⌫|
filz detraitour orle compe re	---|-|-------|-|-|-----⌫-|
muer por lo	---|--|-|
pechi e detonpere	-----⌫|-|--|---|
droizestque tu	----|--|--|-|
locomparoi es	-|--------⌫-|
q uart u tienzsesm auaisesuoies	-⌫--|-⌫|----|--|-⌫------|----|
liai gneas respontd ou cemant	-|--⌫----|------|-⌫--⌫-----|
sirefai t i l certain nemant	---|---⌫|-⌫|-------⌫-----|
quara moinauoitnon	---||--||----|--|
encor enezdemer e	-----⌫|--|-|---⌫|
cilz qui uos fi s tsi g rant ini u re	---|--|--|--⌫-⌫|-|-⌫---|---⌫-⌫-|
p our coum	-⌫--|--||
enescusedroiture	-|-----|-------|
comantdoitcomparerp e chie	-----|---|-------|-⌫-⌫---|
cilqu ine n puet e s treento ichié	--|--⌫||-⌫|---|-⌫-⌫--|----⌫-----|
dou malnedoitpoinn esentir	--|--|-|---|-----⌫|-----|
cilzquinesipuet co nsentir	---|--|-|||---|--⌫------|
ain coisquefusse nezenuie	---⌫------|----|--|-|--|
nepoisconsentir enfolie	-|---|--------|-|----|
orneme doiztuer	-|-|-|---|---|
napais encoryym ois	||---|----|-|-⌫--|
quecom ancai	--|---⌫----|
s implemant uiur e	-⌫--------|----⌫|
ignocen c ea droitmedeliure	-------⌫-⌫||----|-|------|
ditlil ous	--|-|-⌫--|
moutesdepa roles	---|-|-|--⌫----|
tumastotem plidef riu oles	-||-|--|--⌫--|-|-⌫---⌫---|
iaiplusde more y	|-|---|--⌫----⌫|
aigne alsi	-----⌫-|-|
l i l ousp lo in sdemalice	-⌫|-⌫--|-⌫--⌫--⌫|-|-----|
ai gnealsimp lesenzuice	--⌫----|----⌫-|---|---|
aut reciacelexampla ire	---⌫---||--|-------⌫--|
soille ntesbonslimauaisfaire	------⌫-|-|---|-|-----|----|
ilsestudientdetrouer	-||--------|-|-----|
achoison porle s	-------|--|--⌫|
bons gr euer	---|--⌫---|
pe rfausetey per felonie	--⌫|-------|--|------|
ontcilzlo us pertout signo rie	--|---|--⌫-|------|-----⌫--|
a udessozesten	-⌫|-----|--|-|
t outeplace	-⌫---|----|
miseu ertuz	---|-⌫----|
droizets implace	----|-|-⌫------|
liplusfo rtlo	-|---|--⌫-|-|
plu s foib leesquaiche	---⌫|----⌫-|--------|
poureshons estmort	-----|---|--|---|
quiai uaiche	--|-|-----|
ilcouientque uoincus erende	-|------|--|-----|-⌫|----|
quinetrueue quilodeffende	--|-|-----|--|-|-------|
ap erte mantpuisdoncconclure	--⌫----⌫---|---|---|-------|
oulousraigne morte	-|---|-----|----|
est droiture	--|-------|
onques uertuznefutse gur e	-----|-----|-|--|--⌫---⌫|
auuecgensquide deuno ncure	----|---|--|-|--||-⌫|---|
larates an uaiperlater re	-|---||-|--|--|-|---⌫-|
porsapoure cheuancequerre	--|-|----|-------|-----|
mais qu ant uient autor ner	---|--⌫--|----|-|---⌫--|
pes s er ensa doiere	---⌫-⌫-|-|-|-----|
l aigue li o t lauo iecl ose	|----|-|-⌫|-|--⌫-|--⌫--|
moutsesbais tdeceste	---||------⌫|-|----|
larainnepla innede parole	-|-----|---⌫---|-|-----|
liuient audeuant sila cole	-|----|-|-----|-||-⌫---|
moutestesle sse e	---|----|--⌫---⌫|
belesuer soiezconfor t ee	---|---|----|------⌫-⌫-|
ie uosm etraia	-|--|-⌫----||
c euos promes t senzfause tey	-⌫|--|------⌫|---|-----⌫--|
iesuis bi endenoera pri se	-|---|--⌫-|-|---|-⌫---⌫-|
tost taurai out relaigue mise	---||----|---⌫-||----|---|
larate en larainne	-|---|-|-|-----|
et d ece fo rmantlimercie	-|-⌫|-|--⌫----|-|-----|
langue uautpis	-----|---|--|
quen uleraige	--|-⌫--|----|
qui nesac o rdeasoncoraige	--|-||--⌫-⌫--||--|------|
l esp a rolesqui de fuers oignent	-⌫-|-⌫-⌫----|--|-|----|------|
celentl esmausquilo cuerpoi gne nt	-----|-⌫-|---|--|-|---|---⌫---⌫-|
lara inn epersamblantdegrace	-|--⌫---⌫|--|-------|-|----|
a soila rate aun fy lace	|--|-|---||-|-|---|
lopi e li loie	-|--⌫|-|---|
mais lif oid ou faitse descor de	---|-|-⌫-|-⌫-|---|-|------⌫-|
piea piesesunta iost ees	--||--|-|---|-⌫----⌫--|
m aisdesiointes sont les pa nsees	-⌫--|---------|---|--|--⌫----|
lar ainnenoeatoutlarate	-|-⌫----|--|----|-|---|
e tm aluaise m a ntla barate	-⌫|-⌫-------⌫-⌫-⌫-|-|-----|
larai nn e plainne demancong e	-|---⌫--⌫|------|-|-------⌫|
pornoier l arate sep lo nge	--|----|-⌫|---|-|-⌫--⌫--|
foizen soi meismeperille	---|-|--|-----|------|
decoitetguile	-----|-|----|
deplongier	-|-------|
s efforce larainne	|------|-|-----|
l autred esornoi erse poine	|----|-⌫|------⌫-|-|----|
p aour faita	-⌫---|---||
l arateprandre	-⌫|---|------|
forceporsauiedeffendre	----|--|-|--|--------|
chescunedecon tre ten i r	-------|-|---⌫---⌫---⌫-⌫|
sefforcetandisuai	|------|-----|--|
liniebles perd essus uolant	-|------|--|-⌫----|-----|
cilzn efusttristesne	---|-⌫|---|------|-|
saproietrueueapa ro illie	-|----|-----|---⌫--⌫----|
asesforzonglesl a rauie	|--|---|-----|||----|
andousles derontf i erema nt	-----|--|-----|-⌫-⌫-----⌫-|
cestt o rnoiem e n t	---|-⌫-⌫------⌫-⌫-⌫|
enf enissa ntceleb ata ille	-|-⌫------⌫-|---|-⌫---⌫---|
aiconquestee sauitaille	-|---------|-|-------|
ensincuienentama ulefin	-----|------||--⌫--|--|
tuit cilqui n ainmen tdecue rfin	---|--|--||------⌫|-|---⌫|--|
quiam ise font	--|--⌫|-|---|
loide bie name r	--|-|---⌫|---⌫|
quesus so nmaistretraison	--|--|--⌫|------|------|
retorn oitcestieusde raison	------⌫--||--|---|-|-----|
au enant est	--⌫----|--|
que du meffait	--|-|------|
portoitla poinne quilo f ait	------|-|-----|--|-|-⌫--|
lic hie n s eniugemantapele	-|-⌫---⌫-⌫|-|-------|----|
labur bi zetl imuetqu erele	-|---⌫--⌫|-|-⌫|---|--⌫----|
en c elplaitest	-|-⌫-|----|--|
iugeslilous	----|-|---|
cilziuge sestmout	---|----⌫|--|---|
perill ous	------⌫--|
lichien sa uoitbon sc onsoillours	-|-----⌫|-⌫---|---⌫|-⌫----------|
porsonplai tnequerezm oil lour s	--|--|----⌫|-|-----|-⌫---⌫----⌫|
lo nieble etlo uoutourensamble	-|-----|-|-|------|-------|
seli uns t os tliautre s	-|-|--|-⌫--⌫|-|-----⌫|
auo itnehaie	---⌫-|-|---|
laber bi z	-|---⌫--⌫|
sestoite sbai e	|-----|-⌫----⌫|
hautemantparle ap l oinnegoule	--------|----||-⌫-⌫----|----|
lic hiensqua ntuoitlaberbi zsoule	-|-⌫----|---⌫-|---|-|-----⌫|----|
la berbizchalonge	-|-----|-------|
lichiensperfausetp er ma nc onge	-|-----|--|---|-|-⌫-|--⌫--⌫---|
eleliai couant	--|-|-|-----|
n onp aisunefoiz	-⌫-|-⌫--|--|---|
maissou an t	---|---⌫--⌫|
la bu rbizd itde	-|--⌫---|-⌫-|-|
cestechose	----|----|
nese t riens queli chiens pr opose	-|--⌫|----|--|-|-----|--⌫----|
contrerepliqu e laquerele	-----|-------⌫|-|------|
li chiens etditensanouele	-|-----|-|--|-|-|-----|
eschoisonsestdeperdre amis	---------|--|-|-----|---|
non randrec e	--|-----|-⌫|
c onai promis	|-|-|-----|
l i lousesconsoilloursacorde	-⌫|---|-|-----------|-----|
q uartuittirentauneco rde	-⌫--|---|-----||--|--⌫--|
sontgenz senzconscience	---|---|---|---------|
quede rapine	--|-|-----|
fontcheu ance	---|----⌫---|
liiugesuu etlaberb iz ran de	-|----|--⌫-|-|----⌫-|---⌫-|
zzpain a chien porfaireamande	-|---||----|--|----|-----|
ensinccondampne l a ch a itiue	-----|--------|-⌫|--⌫-⌫----|
persentencediffinitiue	--|-------|----------|
sa toisonli couientauandre	-|-----|-|------||-----|
qua tremant l opai nnepuetrand re	-|-⌫------|-⌫|---⌫|-|---|----⌫-|
e nt r antiuertuan tsachemise	-⌫--⌫-⌫--|----|---⌫|-|------|
etmuertdefroitcontre la	-|----|-|----|-----|-|
tostseconse nt	---|-|-----⌫-|
a fa usetey	|--⌫-----|
h onsdemauaisepouretey	-⌫--|-|------|-------|
tostp o rteunsm auais tesmoigna ige	---|-⌫-⌫--|--|-⌫----|---------⌫--|
porunp o ul desonauantaige	--|-|-⌫-⌫-|-|--|--------|
por mauai stie souantefoiz	--|-----⌫---|------|---|
aude ssoz bone foiz	-|--⌫---|---|---|
lichienscui ensoigne	-|-----|--|-------|
uolunti ersambler sapesture	-------⌫--|-----|-|------|
decharot unepece a mblee	-|---|-|--|---|-⌫----|
eta sesdenz	-||--|---|
forman tse r ree	------⌫|--⌫-⌫--|
orsaichiez	-|-------|
doncnan dotezpas	---||-|----|--|
fuantsan uai ignellopas	----||-|--|---------|
paou raiqu	----⌫|-|-|
iln esoitrep ris	-|-⌫|---|---⌫--|
de r ecroireneestapris	-|-⌫------|-|--|----|
se li samblero itgrantuitance	-|-|--------⌫-|----|------|
sonlif ait	|-|-|-⌫--|
fa irerecreance	--⌫--|--------|
des chose sest	--|-----⌫|--|
contrai re	-------⌫-|
que p e rcos tume	--|-⌫-⌫|---⌫---|
soillentplai re	-------|----⌫-|
foirsetr auaille	---|-|--⌫------|
q uepaour aicon	-⌫-|----|-||-|
nelessai lle	-||-----⌫--|
luisamblequefa itliaitgra ce	--|-----|--|--⌫-|-|--|---⌫-|
f o rtunequen unsnelo chace	-⌫-⌫----|--|-⌫--|-|-|----|
enf uanta uneaigueuien t	-|-⌫---||--|----|----⌫|
bien uoitquepesser	---|---|--|-----|
moutsan dot ecomant quilsoit	---||-|---⌫|------⌫-|-|---|
dedanz a n tralaigue pessoit	-----|-⌫-⌫--||----|------|
p orta ntlapiece a	-⌫----⌫-|-|----||
noerp rist	---|-⌫---|
sic onnatureli	-|-⌫-|-----|-|
enlaig ue uoit	-||---⌫-|---|
de lach ar lombre	-|-|--⌫-||----|
tantos t multeplie	------⌫|--------|
l o nombre	-⌫|-----|
li c hiens	-|-⌫----|
quiestoi tf ouset nices	--|-----⌫|-⌫--|-|----|
d unecuideauoi r douespieces	|--|----|----⌫|----|-----|
decoitfoleesperance	-----|---|--------|
la ch arlaissepor lasamblance	-|--⌫-|-----|--|-|--------|
tandi squilquiertla	-----⌫--|-|-----|-|
d e lachar per tla	-⌫|-|---|---⌫|-|
ens icsetientpo r malbail li	---⌫-|-|----|--⌫|--|----⌫-|
etal autre	-|||----|
ce li fitfaire au uecfolie	-|-|--|----|--⌫--|----|
engors eteyetl echerie	------⌫---|-|-⌫------|
enuiuan taidou c hienlag uise	-|-----⌫|-|--|-⌫---|-|-⌫---|
quis esp eranceou monde a i mise	--||---⌫-----|-|----|-⌫|---|
quar lim ond escee stu neombre	---|-|-⌫---⌫-|-|-⌫-|-⌫-|----|
qui douueraibie nnousdescombre	--|--|----|---⌫|---|--------|
quilun quiertcedoiz tu	--||-|-----|-|---|-|
l autrenepuet ilp as	|----|-|---|-|-⌫-|
nel aissierleschoses	-|-⌫------|--|-----|
cert ainnes	----⌫-----|
porquerreceles	--|-----|----|
qui son tuainnes	--|---⌫|------|
tostpa sse doumont	---|--⌫--|--|---|
laf i gure	-|-⌫-⌫---|
ce dits ainz pousen lescript ure	-|--|-⌫---|---|-||-------⌫--|
a uu e cce pourl oi de	-⌫--⌫-⌫|-|---|-⌫-|-|
chose eng endreepet itd ure	----|---⌫-----|---⌫-|-⌫--|
toutret orne	---|---⌫---|
a corrupc ion	|-------⌫--|
q uanques tpour	-⌫----|--⌫|---|
genera cion	------⌫---|
ouc ieldois doncn onpasenterre	-|-⌫--|---|---|-⌫-|--|-|----|
chosequit ouziour s	----|--|-⌫--|----⌫|
durequerre	---|-----|
esttuenscer tainn e mant	--|----|---⌫-----⌫-⌫---|
gard eneperdesfol emant	----⌫|-|-----|---⌫----|
q ui q uiertcequineli	-⌫-|-⌫----|-|--|-|-|
droizestqu	----|--|-|
ce quil t ient	-|-|-|-⌫---|
liberbizliuaich e	-|-----|-|-----⌫|
li chieure	-|------|
li lionsqu	-|----|-|
a toziorslafie u re	|--|---|-|---⌫-⌫-|
uostqu il f ustqua rtena ires	---|-|-|-⌫--|---⌫-----⌫---|
porcequ il	--|-|-|-|
so itp lusd ebonai res	--⌫-|-⌫--|-⌫------⌫--|
cilz quat re co nloiausamis	---|----⌫-|--⌫|-----|---|
foiet amourse so nt promis	--|-|----|-|--⌫-|-----|
lou r gua in	---⌫|---⌫-|
do iuentpers oiremant	--⌫----|--|-⌫-------|
entrelo urperti rygalmant	----|--⌫-|-----⌫|-------|
cilzquatrequ i s ont aiostey	---|-----|--⌫|-⌫--|------|
auch e m insesontarostey	-|--⌫-⌫-⌫-|-|---|------|
un iorpo rquer re louruia nde	-|--|--⌫|----⌫-|---|---⌫--|
il esgardenten une l ande	-|--------|-|--|-⌫---|
uir en tzzmoutgrantcertsaillir	---⌫--⌫|-|---|----|---|------|
chescu n spensedel	------⌫-⌫|----|-||
essailli r	--------⌫|
m outauoitdebois trespess ez	-⌫--|----|-|---|--------⌫-|
serec hauz	|--|-⌫---|
ilestoit des	-|-----|--|
chiensesc hape y	-----|---⌫----⌫|
quitoutloio urlor e nt	--|---|-|--⌫-||--⌫-⌫-|
mais ilchaisten pir emain	---|-|-----|-|---⌫|---|
il li cor rent susmainnemain	-|-|---⌫---|--|---------|
ensamblelessail lenttu itq uatre	-------||------⌫---|--⌫-|-⌫----|
t rauaillen t s o idel ui abattre	-⌫---------⌫|-⌫-⌫|-|-⌫-|------|
tantlontnaure ́tant l o nt	---||--|-----⌫|---||-⌫-|
qu a derri erlonta u	-||-----⌫-||--|-⌫|
d esoz mi s	-⌫---|--⌫|
de tou tepartf ont losanc corre	-|---⌫-|---|-⌫--|-|---|----|
estquelosecor re	--|--|-|-----⌫-|
lilyonsqu aipert il a	-|----|-|-|----⌫|-⌫|
ditlapremie repart	--|-|------⌫-|---|
i equiailonondeseignour	-⌫|--|-|-|--|-|-------|
doisauoir la	---|----|-|
p remierehon our	-⌫------|---⌫--|
lase condeaurai perma	-|--⌫----|----|--|-|
uosneualezune	--|-|----|--|
dr o i zestplus aitqui plustrau aille	--⌫-⌫-⌫|--|---|--|--|---|----⌫----|
por celatierce	--|-|-|-----|
aurais anzfaill e	----|-⌫--|-----⌫|
etporen emimetenez	-|--|--⌫--|-|----|
quartenemedonez	-----|-|-|----|
to utanportepertel meniere	--⌫-|-|----|--|--|------|
li lyonsce quecommunsere	-|----|-|--|------|--|
cilz examplesb ienno s ensoigne	---|-------|-⌫--|--⌫|-------|
q uenuns aplusfortnesepr oigne	-⌫-|---||---|---|-|-|--⌫----|
plusfort delu iacompa ig nier	---|---|-|--⌫|------⌫--⌫---|
nedoi tnuns	-|---⌫|---|
hon squi uuetgaign i er	---⌫|--|---|-----⌫-⌫-|
negarde fermetey	-|----|-------|
riche scecontrepour etey	-----⌫--|-----|----⌫---|
se tgard er droiture	--⌫|----⌫-|-------|
etrichesc e nainme	-|-------⌫||----|
unefammea m ari p reignoit	--|----||-⌫--|-⌫-------|
i oie limenoit	-⌫--|-|-----|
sesui senezetmoutgrant	--|--⌫----|-|---|----|
en q uinauoit p ointdemole s te	-|-⌫-||----|-⌫---|-|----⌫-⌫-|
ilc h antentetmoinn ent querol es	-|-⌫-⌫-----|-|-----⌫--|------⌫-|
sonenttabourssonent uio les	-----|------|-----|---⌫--|
uns proudonsde grantsap ienc e	--|-------|-|----|---⌫----⌫|
u eraiec onoissance	-⌫----|-⌫---------|
celegent uoits estienta fole	---|---|---||-|----||---|
ensorri antlatesteencrole	-|-----⌫--|-|----|-|----|
il es raignelacomp aig nie	-|--⌫-----|-|----⌫---⌫--|
seignours ditilceestf olie	--------|--|-|-|--|-⌫---|
cilzquion t texieu smante nuz	---|--|--⌫|--|---⌫|-----⌫--|
s ou ants onta noiantuenu z	-⌫--⌫--|-⌫--||-----|----⌫|
ce neest mes que uanitey	-|-|--|--|--|------|
orguil bobanzlege retey	-----|-----|----⌫----|
chosesfaitde uoblie	-----|---|--⌫|----|
s oimeismenecogno itmie	-⌫-|-----|-|-----⌫-|--|
percouuieg n entcommunemant	--|--|----⌫-⌫--|----------|
telxieus amaldefinemant	---|---||--|---------|
auuecque cedefaire ioie	-------|-|-|----|---|
nauezraisonse deume	|---|-----|-|--|-|
cilz est lerresquis emarie	---|--|-----|--|-⌫|----|
touzio urs se	---|--⌫--|-|
uitderoberie	--|-|------|
eng en drea l uisamblable	---⌫--⌫--||-⌫-|--------|
moutnosiertchosedamaiable	---|--|---|----|--------|
seliperes et lifizamble	-|-|----|-|-|--|----|
dous max soffre ro nt tote nsamble	---|--|------⌫--⌫-|--|-⌫------|
et uospe resp r ue uesauez	-|--|--⌫|---⌫-⌫--⌫-|----|
quedel unsumes tropgreue z	--|-||-|----|---|-----⌫|
dondecedonmal pue t	--|-|-|--|--|---⌫|
n e d oit lontelfestet enir	-⌫|-⌫--|--|--|----|-⌫---|
une choselonc ten sauient	--|----|---|---⌫|-----|
uosladiraibienmenseuie nt	--|-|----|---||-|-----⌫-|
lisolazquiest eaz	-|----|--|--|--|
t outeclar tey	-⌫---|----⌫--|
fia ncieoutpermariaige	---⌫---|--|--|-------|
une damedehautl ignaige	--|---|-|---|-⌫------|
deuant deu	-----|--|
grantcomplaintedeceste c hos e	----|---------|-|----|-⌫---⌫|
souera ins iuges	------⌫--|----|
d oigniezent end remaqu erele	-⌫------|---⌫---⌫-|-|--⌫----|
quantqu estencie l enterre	------|--|-|---⌫|-|----|
fai tensamble a mer	---⌫|-------|-⌫--|
s euuezzzpoulta mainretra ire	-⌫|---|-|---|-|---|-----⌫--|
lomonde couient gue r re	-|----|------|---⌫-⌫-|
liunepertie d estrure	-|--|-----|-⌫------|
effor cepernatur e	-----⌫-|--|-----⌫|
a moide po rteenuie	|----|--⌫--|----|
li f roizau chaut secontralie	-|-⌫---|-|----|-|--------|
si requibienlouuetanq uerre	--⌫-|--|---|-|---|---⌫----|
pertout trueuenaturalguerre	------|-----|------|-----|
b ontey cested escorde	-⌫----|----|-⌫------|
pergrantatempranceco ncorde	--|----|---------|--⌫-----|
tauertuz lesfaitapaisier	-|-----|--|---|-------|
etensamble per	-|-------|--|
p ais bai sier	-⌫--|---⌫---|
droitenmi lo mondea lag ui se	----|---|-|----||-|-⌫--⌫-|
depointde c ompa s	-|----|-|-⌫----⌫|
mes essise	|-|-----|
siquelifais	-|--|-|---|
delabataille	-|-|-------|
sor mo ichie t	--|--⌫|----⌫|
quicon ques essaille	------⌫---|-------|
s offrirmecouientigal mant	-⌫-----|-|------|----⌫---|
les cosdelour tornoiemant	--|--|-|---|----------|
sunpouluoil lentm o strerlourir e	|-|---|----⌫---|-⌫-⌫----|---|--⌫|
li uree suia gran tmert ire	--⌫---|--||----⌫|----⌫--|
tusez comant mefitgranth onte	-|--|-----|-|--|----|-⌫---|
phetonouideslereconte	-----|-----|-|------|
quant sesp eresper	----|--|-⌫---|--|
ceestdan z phebus lisola z	-|--|---⌫|-----|-|----⌫|
liosaisigrantdondoner	-|---|-|----|--|----|
sesc heua usper	--|-⌫----⌫-|--|
lecie l mener	-|---⌫|----|
furentesperduz	-----|-------|
perlec ie lpheto n futperduz	--|-|-⌫--⌫|-----⌫|--|-----|
ilfut perilliez a bondro it	-|--|--------||--|---⌫-|
qua r il nesot	---⌫|-|-|--|
aler l o droit	---|-⌫|----|
adonc f u i iea rseetbrul ee	----|-⌫-⌫|-|-⌫--|-|----⌫-|
etfuiagrant	-|--||----|
to rmantliuree	--⌫----|-----|
enmoin otu nesoule	-|--||-|-⌫-|----|
qui ne soffritdol our etp oinne	--|-|------|---⌫--|-|-⌫----|
ne mensentiz pas sou lemant	-||-|-----|--|---⌫-----|
maislicie l etlielemant	---|-|---⌫|-|-|------|
tout au oitli	---|--⌫--|-|
fe udeu orey	--⌫|---⌫---|
se nel eussesrestorey	-|-||-----|-------|
mu ez ua uttosta	--⌫-|--⌫-|---||
p eril sec o rre	-⌫---|---⌫-⌫--|
quetartquantlon ni	--|---|----|--|||
puetacorre	---|-----|
porceno scouientcon soi l lie r	--|-|--⌫|------|---⌫---⌫-⌫---⌫|
de d amp pheb usqui prant moil lie r	-|-⌫--|----⌫-|--|----|----⌫---⌫|
espoirdeluipuet	-----|-|--|---|
uns hoirsnaistre	--|----|------|
qui lescheuaus	--|--|------|
sonpere pastre	--|---|-----|
si confitpheton o iser oit	-|--|--|-----|-⌫----⌫--|
don grantdomaige nos feroit	--|----|------|--|-----|
orendidonque stasentence	-|-|-|------⌫|-|-------|
se l oncl a tuesapi ence	--⌫-⌫--|-⌫|--|----⌫---|
li grantiuge sdeuer ite y	-|----|----⌫|-|---⌫---⌫|
re spondit pour	--⌫------|---|
auctoritey	---------|
ennombreen	-|-----|-|
poise ten mesure	---|-⌫|-|-----|
fitlo m ondequiencor dure	--|-|-⌫---|--|----|---|
ma forceme ssenzc ese ztu	-|----|--⌫|---|-⌫|--⌫|-|
touzioursd u r eensagrant	---|----|-⌫-⌫-⌫|-|-|----|
don cpuis bie nenc orman tenir	---⌫|---|---⌫|---⌫-|---⌫----|
ce qu ei ai fait a	-|--⌫||-|---||
dousolatl ocoursordona i	--|----|-⌫|----|------⌫|
cet ie gn eque	-|-⌫--⌫--⌫|--|
i elidonai	-⌫|-|----|
i esaibien quacommun profit	-⌫|--|---|-||-----|-----|
li offic esde	-|-----⌫-|-|
l ui soffit	-⌫-|-----|
po reschiuersigrant	--⌫|-------|-|----|
q ue cilzmari aiges	-⌫-|---|----⌫----|
permeniere quiso it sef ace	--|------|--|--⌫-|-|-⌫--|
uiu ez tuitsegursper	---⌫-|---|-----|--|
d exailousola tl osan gié	-⌫-|-|--|----⌫|-⌫----⌫---|
tantqu i lai sonprop os	-----|-⌫|-|--|----⌫-|
a iuge ma ntdeu s	|----⌫--⌫-|--||
estso z mi s	--|--⌫-⌫--⌫|
