couuient tel cose dire	-------|--|---|---|
uintauge liniersiescoute	---|-|--⌫-----|-|------|
c es tl auretesquemoult se	|--⌫|-⌫|-----|--|----|-|
et bienseit quefaitm usardi e	-|---|---|--|---|-⌫------⌫|
retornés est	--------|--|
decouardie	-|-------|
carpoouraque onnel u oi e	--|----||--|-|-||-⌫--⌫|
dela co rtistuiental auoie	-|-|--⌫-|--|----||-⌫|---|
et seconmence adefroter	-|-|-------||-------|
m aisb esoin sfait u iellet r ot er	-⌫--|-⌫-----⌫|---|-⌫----|-⌫-⌫--⌫-|
c arlifa insqui	-⌫-|-|--⌫--|--|
m oultle torment e	-⌫---|-|-------⌫|
u be lli soit	|--⌫|-|---|
usen r ep e nte	||-|-⌫--⌫-⌫--|
l a fai tarriere refic hier	||---⌫|------|-----⌫---|
po rlesgel inesdesnichier	--⌫|--|---⌫---|---------|
orestrenars uenus arriere	-|--|-----|----|------|
enla graingeentrepar derriere	-|-|------|----|--|-------|
sicoieme nt	-|------⌫-|
q uen esemur ent	-⌫-|-⌫|-|---⌫--|
lesgelines	--|------|
nenaperchurent	-||----------|
sor zz trefenotyynichies	--|-|---|-|-|-|------|
qui amorte stoi entiugie ́s	--||---|-⌫----⌫--|-----⌫-|
c iu s satorna	-⌫--⌫||-----|
porfaire guerre	--|----|-----|
etmonta sorz z tasde fuerr e	-|----|--|-⌫|--|-|-----⌫|
p orles gelines	-⌫-|--|------|
acroichier	---------|
les gelin essententhochier	--|-----⌫-|------|------|
le fuere si s en tres sal irent	-|----|-||-|----⌫---⌫----|
eten unanglesetapire nt	-|-|-|----|-|------⌫-|
etrenarsc el epart setorn e	-|-----|-⌫--⌫|---|-|----⌫|
sesa p ris estoutes	-|||-⌫---⌫-|-----|
lesuitenanglees	--|--|-|------|
toutes yyle s a estrangle es	-----|-|--⌫||---------⌫-|
desyyafait se sgrenons	--|-||---|--⌫|------|
t iercee nportepor cui re	-⌫----|-⌫-----|--|---⌫-|
qua nt otmangiésifu	---⌫-|-|------|-|-|
delagrangn eistparune haise	-|-|------⌫|--|--|--|----|
etlatiercegeli neenporte	-|-|-----|----⌫-|------|
iluint ala po rte	-|---||-|--⌫--|
sio tmoultgrant	-|-⌫|----|----|
gen tdecoiure	---⌫|-------|
zzpuis auoitded enslacort	-|---|----|---⌫--|-|---|
renar s le uit	-----⌫|-|--|
si i acourt	-||-----|
porsasoifquiluo loit estaind r e	--|-|---|-|-|--⌫---|-------⌫-⌫|
m ais nepooi tal	-⌫--|-|----⌫|||
euueat aindr e	---|--⌫-----⌫|
c arparfo nde ertag rantme r uell e z	-⌫-|-----⌫--|--||-⌫---|--⌫-⌫----⌫-⌫|
zz tru eliauoit	-|---⌫-||----|
quantlunei ert plainne	----||--|-⌫--|------|
etlau trewide	-||--⌫--|---|
moultfu fai te pargrantes tuide	----|-|---⌫-|--|----|--⌫----|
aterream iselagelin e	|----||-⌫--|-|-----⌫|
sourlep uis	---|-|-⌫--|
maisnesesetaquoi	---|-|-|--||---|
carnepueta l euueauenir	--|-|---|||---|-----|
renarses t	-----|--⌫|
oreenmoultgrant	--|-|----|----|
enmain teguisese dema inn e	-|----⌫-|----|-|----⌫---⌫|
trambleettres saut	------|-|----⌫---|
sabarbeleche	-|----|----|
de soi fli	-|---⌫|-|
cu istlab arbe et seche	--⌫--|-|-⌫---|-|----|
ne puetparnul	-|---|--|--|
engiensauoir	-----|-----|
com ilpeust deleuueauoir	--|-|----|-||---|----|
lieuelatesteet l esorelles	----|-|----|-|-⌫-|------|
siaueu ez les y y selles	-||---⌫-|--|-⌫|-----|
pendu essorle p uisadestre	-----⌫-|--|-|-⌫--||-----|
renarscouquepue testre	-----|--|--|---⌫|----|
quenosboireetsim uirdesoi	--||-|----|-|-|-⌫--|-|--|
etsi ni a pa lis ne	-|-||||--⌫--|-|
ne chose q uelmecontre die	-|----|-⌫--|-|------⌫--|
ie suicouars que	-|--|-----|--|
que o n di e	--|-⌫|--⌫|
m aislamaleflanme meparte	-⌫--|-|---|-----|-|----|
ancoi sque decest lieume parte	-----⌫|--|-|---|---|-|----|
seienenboicains q uem	-|-||-|---|---|-⌫-||
ianenquerra i congieasmoisn es	-||-|------⌫|-----|-|-----⌫-|
lorssal ipor	---|---⌫|--|
lauil uit lesaielpendre	-||-|--|-|----|-----|
et cuideque de uue	-|----|--||-⌫--|
soitplainn e	---|------⌫|
son pechie l emainne	--|-----|-⌫|-----|
siconmeil se	-|----|-|-|
p ristalasell e	-⌫---||-|----⌫|
cordelidesco reille	----|-|-----⌫-----|
qu iert entors le tr uel	--⌫|--|-----|-|--⌫--|
e tens oupuicp arfont lenpor te	-⌫|--|-|---|-⌫-----||-----⌫-|
orpuetboirese il comande	-|---|----|-|-|------|
carleuueatoute	--||---||----|
ensaco man de	-|-|--⌫---⌫-|
gransper ilzi ertdoureuenir	----|---⌫--|-⌫--|--|------|
ors e puet ciuspor	-|-⌫|---|---|--|
quilesautr essu eltafoler	--|--|----⌫-|--⌫--|-----|
ne pu etrampernepuetuole r	-|--⌫-|-----|-|---|----⌫|
ne p or p en serparquelmaniere	-|-⌫--⌫-⌫--⌫--|--|---|------|
ilsepuisse uenir arr ier e	-|-|-----|----|---⌫---⌫|
dieusdistrenars quedeuen rai	----|---|-----|--|-----⌫--|
g uise mecontenrai	-⌫---|-|--------|
cidoner paaig e	-|----|-----⌫|
ia mesuelt	-|-|----|
onte n irporsaige	-|--⌫-⌫-|--|----|
n ianoient dou retour ner	|||-----|--|------⌫--|
or meco uientcisei ourn er	-|-|--⌫----|-|---⌫----⌫-|
couestlafine ue rites	--|--|-|---|--⌫----|
separ a ut rui nensuiietés	-|--|-⌫--⌫--||-|--|-----|
r e manraiie lsai	-⌫-⌫-----|-||--|
e tson me puetaperceu oir	-⌫||-|-|---|-------⌫--|
deschi re ́si ertm espelicons	------⌫--⌫-|-⌫--|-⌫-|-------|
des m oi snesquio nt lesfri cons	--|-⌫--⌫---|--|-⌫-|--|---⌫---|
apesc hier me couientaprendre	|----⌫---|-|------|-------|
nepuisdemoibon consel prendre	-|---|-|--|--|-----|------|
desque iesuienlariuie re	-----|-|--|-|-|-----⌫-|
etnem en p uisretrairearri ere	-|-||-|-⌫--|-------|----⌫--|
or es t r enarsengran tangoisse	-|--⌫|-⌫----|-|----⌫|-------|
enmaint end roitp ense	-|----|---⌫---|-⌫---|
conment sepo rro itcon silli er	------|-|--⌫---⌫-|---⌫-----⌫-|
sa nssa gonelledes poill ier	--⌫-|-|------|---⌫-----⌫--|
m aisnes e sottantporp enser	-⌫--|-|-⌫|--|---|----⌫----|
comen t illapuiss etenser	-----⌫|-|-|-----⌫|-----|
nesetlic haitesqueilfa ce	-|--|-|-⌫-----|--|-|--⌫-|
maislacordetientet	---|-|----|----|-|
e tlanse dousaie l	-⌫||---|--|----⌫|
poour a de p erdresacote	----||-|-⌫----|-|---|
orn iaforsdel	-||||---|-||
maluaisement se sotgarder	-----------|-|--|-----|
qu equiler tencelle misere	--⌫|-|-|--⌫|-|----|-----|
euo usys en grinsonconper e	---⌫-|--⌫--⌫---|--|------⌫|
queli fain sotdoub o s	--|-|----⌫|-|--|-⌫-⌫|
et ieuousdienuerite	-|-|---|-|-|-----|
i uint pas	|---|--|
por renartquerre	--|-----|-----|
sa garisonporque rre	-|------|------⌫--|
au guicetuintoutrese me t	-|-----|---|----|-|--⌫|
degrantfolie sentremet	-|----|----||-------|
car moults a ur a delat restorne	--|----|-⌫-⌫--⌫|-|-|-⌫-------|
sansdamaigese nretorne	---|------||-⌫|------|
labe i e uet dediant	|---⌫-⌫|--|------|
la graigneesp iant	-|------|---⌫---|
sauo irse iltrouerpeust	----⌫-|-|-|-----|----|
cosequi m estier lie ust	---|--|-⌫-----|-|-⌫--|
orua i tp arlacortde sdu isant	-|--⌫-⌫|-⌫-|-|---|--⌫---⌫----|
lileusal alun e luisant	-|---||-⌫|---⌫|------|
etsi conme iluin t pres doupuis	-|-|----|-|---⌫|---|--|---|
si esc outa celernelp uis	-|---⌫---|----|-||-⌫--|
d edensoiceluigri gnier	-⌫----|-|----|---⌫----|
quilesautressue lt e ngignier	--|--|-----|---⌫-|-⌫-------|
lorsot ysengrinsmoultgrant ioie	---|-|--------|----|----|---|
biencuide auoirencontré proie	---|----|----|--------|----|
dannesu debreb isudo es	|----||-|----⌫-|||-⌫-|
dontilfars isse	---|-|----⌫---|
biensesioe s	---|--|---⌫|
quanque il cu i de	------|-|--⌫-⌫-|
lpotteni rfrai nsnebride	|--|----⌫|----⌫-|-|----|
c ele partuin tto usabrieués	-⌫--|---|---⌫|--⌫-|--------|
mal portsuiariue ́s	--|---|--|-----⌫-|
so rl epuis se ua	--⌫|-⌫|---|-|-|
etcomenc a	-|------⌫|
sauoirsecestoisel ubeste	-----|-||--|----||----|
etren arst int	-|---⌫--|-⌫--|
d roite lateste	-⌫----|-|----|
si e sgardacontre l alune	-|-⌫-----|-----|-⌫|---|
sicom le demainefort une	-|--|-|------|----⌫--|
dieus fait	----|---|
se ilbiau l sire	-|-|----⌫|---|
ysengrins monconpe re	--------|--|-----⌫-|
estapoiés la deseur e	--|------|-|------⌫|
queuaitilquera ntaceste	--|---|-|-----⌫-||----|
ilie laibien conn eu	-|-||-|---|----⌫-|
uif dyaubl e lo nt esmeu	--|------⌫||-⌫-|----|
quiciiluecl on t	--|-|----||--⌫|
certesie ltienca forsene ́	-----|-||----||-------⌫|
aicestmotlenapela	|----|--||-|----|
ysengrinsestes uou s	--------|----|---⌫|
p arlaf oique	-⌫-|-|-⌫-|--|
u ousmedeués	-⌫--|-|-----|
porqu es t essimatin le ués	--|-|--⌫-⌫-|-|----|--⌫---|
parlésamoi uousnau és gar de	------||--|---||--⌫--|---⌫-|
ysengrins l otsise regarde	--------||-|-|-|------|
ba ssela te stesiorelle	--⌫--|-|--⌫--|-|-----|
maisne uoitriens sis	---|-|---|----|-||
esmer uelle	-----⌫----|
garde sordestre ets or	----|--|-----|-|-⌫-|
hadieusdistil	-|----|---|-|
couque puet estre	--|--|---|----|
uestu ua quime demande s	|-|-|-|--|-|-------⌫|
ieteldirai setuconm andes	-|-||----|-|-|----⌫----|
fa itcius quit out lemont af ol e	--⌫-|---|--|-⌫--|-|---|--⌫--⌫|
cest renarsq ui a	|--|-----|-⌫-||
en paradisterr es tre	-|------|----⌫--⌫--|
u nulspechieresn e puetestre	|---|--------|-⌫|---|----|
y sengrins aaper ceu	-⌫-------||----⌫--|
renarts il a bienconneu	-----|-⌫|||---|-----|
renartfa itil ne tepu iscroire	-----|--⌫-|-|-|-|--⌫-|-----|
carmaintes	--|------|
foi scoues tl auoire	---⌫|--|--⌫|-⌫|----|
m asdeceupartes menco ignes	|-|----|--|--|-----⌫----|
or merecontescites	-|-|-------|-|--|
et parolesne saidequoi	-|------|-|--|-|---|
respontenrequoi	------|-|-----|
sirey sengrinsormentendés	---|-⌫-------|-||--------|
saué s coniesui	-----⌫|--|-|--|
et coni aica ngié ma	-|--||-|--⌫----|-|
p ortout l or qui	-⌫-|---||-|--|
esten p aui e	--|-|-⌫---⌫|
n e uo usfe roiecose acroire	-⌫|--⌫-|--⌫---|---|------|
nanulau tr es	||--|--⌫--⌫||
el n estoituoire	-||-----|----|
e n auésdo utance	-⌫|----|--⌫-----|
que qu e iaie	--|--⌫||--|
faitenmenfance	---|-||------|
or suipreudonsceu ouspleuis	-|--|-------|-|-⌫--|-----|
car hons quiesten	--|---|--|--|-|
mestierdemencoignedire	------|-|--------|---|
bien ledeuéssauoir	---|-|-----|-----|
renar t fa itysen grinsne	-----⌫|--⌫-|----⌫----|-|
nestespas encoresi cuites	|----|--|-----|-|-----|
det raiso nne	-|-⌫-----⌫|-|
dep echies	-|-⌫-----|
dont uousestes toz entechiés	---|---|----|--|---------|
quenparadiss ac hiés la u oie	-|-|------|-⌫--⌫----|-|-⌫--|
s isaifait ilsedieus	-⌫|--|---|-|-|----|
ato uteho nor et	|--⌫--|--⌫--|-|
a grant aise	|----|---|
carn iuoiriensquime desplaise	--|||--|----|--|-|--------|
tou tamescuer s quanqu ildesire	---⌫||--|----⌫|-----|-|-----|
denulerie ns	-|---|---⌫-|
nesen con sir e	-||-|---⌫---⌫|
et trest uitliautreensem ent	-|-----⌫--|-|----|-----⌫--|
qui chaien s ontherbergement	--|------⌫|--|-----------|
amengier a u o nstotensamb le	|------|-⌫-⌫-⌫-|--|------⌫-|
gelinesta nt	------|--⌫-|
con boinnous samb le	--|---|---|----⌫-|
sien uerr asia laprouende	-|-|----⌫-|-|-|-------|
quetu n ensoies en	--|-||-|----|-|
orteregarde sitecline	-|-|------|-|-|----|
si trouerasunegeline	-|-------|--|-----|
yse ngrins lotsis ereg arde	---⌫-----||-|-|-⌫|---⌫---|
baisselechiefuers	-----|-|----|---|
terreesgarde	----|------|
la geline trouee	-|-----|-----|
bien saiquecest uretes prouee	---|--|--||--|-----|-----|
faitysengrins asoimeismes	---|--------||--|------|
moultes t liparadis	----|--⌫|-|------|
saintismes	---------|
fo l z estquiautre chardemande	--⌫-⌫|--|--|----|---|------|
m otprent l ag e line	-⌫-|----|-⌫|-⌫-⌫---|
etmeniuetrus qu	-|-----|----⌫-|
ales quine	||--⌫----|
tousforsl esoset laplume	---|---|-⌫-|-|-|-|----|
conquesnifist	|-----|||---|
samblant ne frume	-------|-|----|
au puis reuint sansdemoree	-|---|-----|---|------|
quantlagelineot deuoree	----|-|-----|-|------|
p uisliadi t	-⌫--|-||--⌫|
renartbia lfrere	-----|---⌫|----|
aie smercide	---⌫|----|-|
ton compe re	--|-----⌫-|
ensegne moipartafranc hi se	------|--|--|-|-----⌫--⌫-|
en quel maniere eten que lguise	-|---|------|-|-|---⌫|----|
ie poroieestre enparadis	-|-----|----|-|------|
ce distrenars ie l t edeuis	-|---|-----|-||-⌫|----|
sestu conmeentreriporas	--|-|----|-----||----|
a to t lemo nd epardonras	|--⌫|-|--⌫--⌫|--------|
premierem entci	---------⌫--|-|
maltal ense t	------⌫--|-⌫|
puissiaurasmiser ic orde	---|-|----|-----⌫--⌫---|
et tependrasacelecorde	-|-|------||---|----|
enp orteront	---⌫-------|
qu i d e toigr ant	--⌫|-⌫|--|--⌫--|
ioiefer o nt	---|---⌫-⌫-|
tant lir enarsetco ns ele	---|-|-⌫----|-|--⌫--⌫--|
ettantlia misen l	-|---|-||--|-||
quilsaparelle	-|-||-------|
porpren drela cordeetla selle	--|----⌫--|-|----|-|-|----|
i lnedouta si fiste nfanc e	-⌫|-|----|-|---|-⌫-----⌫|
pristma lefromance	----|--⌫-|-------|
alacordesetiente t lace	|-|----|-|----|-⌫|---|
ysen grinsetlaselle emb race	----⌫----|-|-|----|---⌫---|
puissagenoi ll esorse nestre	---||------⌫--⌫|--|--⌫-----|
por ue oir paradi sterrestr e	--|--⌫--|------⌫|--------⌫|
nesotmot quequils agen oille	-|--|--|--|-|-||----⌫----|
que l a corde	--|-⌫|----|
led estouroille	-|-⌫----------|
plus tostq ue flos de mernemont e	---|---|-⌫-|---|-|--|-|----⌫|
que uousferoi e ioulo nc conte	--|---|-----⌫|--|--⌫-|----|
moulttrast	----|----|
lan uitp ut ea uenture	-|-⌫--|-⌫--⌫|-⌫------|
o upuissenua grantaleure	-⌫|---||-|-|----|-----|
iasoiticouqu	-|---|---|-|
seli eueq uimainspoise	-|--⌫--|-⌫-|----|----|
renarsmontaet cil a uale	-----|----|-|--|-⌫---|
c es te partisonz est	-⌫--⌫-|--------|--|
carcius en ritet cilz	--|---|-|--|-|---|
ci lzuadesousetcilz de seu re	--⌫-|-|-----|-|---|--⌫---⌫-|
en unehur et esencontre rent	-|--|---⌫--⌫||--------⌫---|
cil quionquesne	--|--|-----|-|
sen tramerent	|--⌫--------|
ysengrinsco nme nca	--------|--⌫---⌫--|
uirésuousrenarsbialsire	|----|---|-----|---|---|
b iau sconperessedi eus	-⌫---⌫|-------|-|--⌫--|
di tesquelpart enie rtl a uoi e	--⌫--|---|---|-|--⌫-|-⌫|---⌫|
cius resp o ntqui moul t so tdefrap e	---|----⌫-⌫-|--|----⌫|--⌫|-|----⌫|
etqui deg ra n t peri lesc hape	-|--|-|-⌫--⌫-⌫|----⌫|---⌫---|
ie me nuois	-||-⌫|---|
car nip uismais estre	--|||-⌫--|---|----|
teleestd e paradi st errestr e	---|--|-⌫|------⌫|-⌫-------⌫|
quantliuns	----|-|--|
autresson chemintient	-----|--|-----|----|
ture m a nr as	-|--⌫-⌫-⌫--⌫-|
auoec le s moisne sa s blans	----|--⌫|------⌫|-⌫|----|
acestmot enuint contremont	|---|--|-|---|---------|
cius qui engigne tou t lemont	---|--|------|---⌫|-|---|
ioins piessaut sus enmil aplace	----|---|---|--|---|-⌫|----|
pui ssenreuat outesa	---⌫||-|---|-⌫---|-|
etuaite ter reco l	-|---|-⌫|--⌫-|--⌫|
es las sié	--⌫---⌫---|
tant queiluint	---|--|-|---|
en plassie	-|------|
renarsagarison	-----||------|
e t ysengrins esten prison	-⌫|--------|--|-|-----|
oupuissecrout d edensla selle	-|---|-|----|-⌫----|-|----|
pe n sisettristes a meruelle	--⌫-⌫--|-|------||-------|
nesetquefairene quedi re	-|--|--|----|-|--|--⌫-|
la corde tient etsaiche	-|----|----|-|-----|
mais p or foliese trauelle	---|-⌫-|----|-|-------|
queneliua ut un emaaille	--|-|-|--⌫-|--⌫|------|
n iafors doubelcontenir	|||---|--|--|-------|
tou touliertaauenir	---⌫|-|-|--||-----|
enualii orsr epai re	-|-|-|-⌫--|-⌫----⌫-|
la lu nec ouchel aubeescl aire	-|--⌫-|-⌫----||---|----⌫---|
etlimo isneso ntesuil lié	-|-|--⌫---|--⌫-|-----⌫---|
a torné eta parillié	-⌫-----|-|-⌫--------|
euue traire	---|-----|
ain sq u il uoisentenlorafaire	---⌫|-⌫|-|------|-|--|-----|
un s moisne sa lacorde pr i se	--⌫|------⌫||-|----|--⌫-⌫-|
et oupuisala selle mise	-|-|---||-|----|---|
lacordellelaschier	-|-------|-------|
p orleuue quilenuoe tsachi er	-⌫-||---|-|-|-|---⌫|-----⌫-|
et ysengri n ss enuamontant	-|-------⌫-⌫||-|-|------|
queu ous iroie ioucont an t	--|-⌫--|----|--|----⌫--⌫|
c esteaual ace l e	-⌫---|----⌫|--⌫-⌫|
oul i leusenquipoor a	-|-⌫|---|-|--|---||
doupucle geterentlimoisne	--|--|-|-------|-|-----|
deliuréses t	--------|--⌫|
detoutep aine	-|----|-⌫---|
etquantillorentt r aitdeseure	-|----|-||----|-⌫-⌫--|------|
etiluit que	-|-|--|--|
d alerfueu re	|---|-|--⌫-|
delacordel lesedesse rre	-|-|------⌫-|-|-----⌫--|
et de las ellesaut	-|-|-|-⌫---|---|
sesqueutetdef ripe	|------|-|---⌫---|
et h or sdela portesesquipe	-|-⌫--⌫|-|-|----||------|
etlimoisne	-|-|-----|
l ontescrié	|--|------|
ma ispornoientlo ntdef fié	--⌫-|--|-----||-⌫-|---⌫---|
iamaisde lui nauront	-----|-|--||-----|
sai si n ne	---⌫--⌫-⌫-|
enua plu s derauine	-|-|---⌫|-|-----|
c ostoirsneuolede randon	|------|-|---|-|-----|
quantil uo i t malla rt a	----|-|--⌫-⌫|-----⌫-||
mo ultpar liestbienauenu	--⌫--|--|-|--|---|----|
quant nelontmortu ret enu	----|-||--|---||---⌫--|
nedo utema is ho mequ i u iu e	-|--⌫--|--⌫-|--⌫-|--⌫|-⌫--⌫|
degrant p erilesttrai sariue	-|----|-⌫---|--|----⌫||---|
