mi sirenoble lilio ns	-|---|----|-|---⌫-|
n et es tre mes poilenlateste	-⌫||--⌫|--⌫--|---|-|-|----|
mieusse nbles de ableq uebeste	----|--⌫----|--⌫---|-⌫-|----|
bi ausirecemafet	--⌫-|---|-|||--|
p arson engin e t parson art	-⌫-|--|----|-⌫|--|--|--|
e t encoremail pisfet	-⌫|-----|||-|--|--|
mon es mouch oermatolet	--|--⌫-----⌫--|||----|
dont ma male menttempesté	---|||----⌫---|--------|
quequ anti euendraien este	--|--⌫--|-⌫|------|-|---|
les mouche smeuoudrontmengier	--|------⌫|-|-------|------|
et ieneme porraiuengier	-|-|-|-|-----|------|
s iensui corrouciezmoutfort	-⌫|-|--|---------|---|---|
distn obles tu	---|-⌫----|-|
nasmiet ort	|-|--|-⌫--|
ilt enpois ese niesiriez	-||-|----⌫||-⌫|--|----|
en serasbien uengiez	-|----|---|------|
que iel feraiuenir acort	--|-||----|----||---|
sel c omparraainzqu	-||-⌫------|-----|
ilsentor t	-||-|---⌫|
ouestesu ossire	-|----|-⌫-|---|
gr inb ert	--⌫---⌫--|
orse st renartt ropdes couert	-||-⌫-|-----|-⌫--|---⌫-----|
o r esttropaperzs esbaraz	-⌫|--|---|----|-⌫-|----|
moiquerreuiaz	--|-----|---|
que tant est forsenez	--|---|--|-------|
n e lporroitau oir	-⌫||------|--⌫--|
alezsi li fetes sauoir	---|-|-|----|-----|
queieuueilque	--|-|----|--|
iluiegneacort	-|-----||---|
etgri nbertd euantlui	-|---⌫----|-⌫----|--|
s i re fetil	-⌫-⌫-|--|-|
uostreplesir	-----|-----|
cestla r ie nsque ie plusd esir	|--|-|-⌫--⌫-|--|-|---|-⌫---|
mout uole ntiers ueoirirai	---|----⌫-----|----|---|
se i ele truis sil amenrai	-|-⌫|-|----|-||------|
a itantdelacort sepa rt	|----|-|-|---|-|--⌫-|
uasendroitauchaste l	-||-|----|-|------⌫|
clamorse stue n ue	------|-⌫-|--⌫-⌫-|
sa gent me nu e	-|---|--⌫--⌫|
ia soitc equilfustennoiez	-|---|-⌫|-|-|---|------|
d yseng rinquies t escoue z	|-----⌫--|--|--⌫|------⌫|
comm ande quilse lo genttuit	----⌫---|-|-|-|--⌫---|---|
estdegr antded uit	--|-|--⌫--|---⌫--|
dancentet balentet qu erolent	------|-|-----|-|--⌫------|
taborent d an cent et citolent	-------|-⌫--⌫---|-|-------|
ahaute uoiza longue alaine	|----|---||-----|-----|
c hascun debiench ant er se paine	-⌫-----|-|---|--⌫---⌫-|-|----|
autre sonchantauale	----|--|----|----|
tentistl e paleset lasa le	------|-⌫|----|-|-|--⌫-|
du chan tetdelamelodie	-|----⌫|-|-|-|------|
q uedemoine lab aronie	-⌫-|------|-|-⌫-----|
quantilorent as sezbale ́	----|-|----|--⌫--|----⌫|
assez tenciée t ramposné	----|------|-⌫|--------|
e stes uosdan grinbertle sag e	-⌫---|--|--|-------|-|---⌫|
quibien otfornisonmesage	--|---|-|----|--|-----|
quiaueclu i	--|---|--⌫|
re nart a moine	--⌫---|-⌫----|
atretliaamoutgra nt poine	----|||||---|---⌫-|----|
p ar tens si	-⌫-|---|-|
li ertrenduz sesguerredons	-|--|-----|--|---------|
sor nesetmoutren a rtdefrape	|-|-|--|---|---⌫-⌫-|-|----|
ilestcheuzen male	-|--|----|-|---|
ch as cu nsor luisesdenza guise	--⌫--⌫--⌫|--|--|--|---|-⌫----|
yse ngrinqu ia u roi	---⌫----|--⌫|-⌫|--|
s ietdeioste les pie zle	-⌫--|------|--|---⌫|-|
serenartfuengranteffr oi	-|-----|-|-|----|----⌫-|
nushomnes en dutmerueillier	--|--|-||-|--|----------|
qu il e stelder reainmillier	-|-|-⌫-|-|---⌫----|------|
que tiecelinmoutseconseille	--|-------|---|-|--------|
etlamesange sapareille	-|-|------||--------|
por luir eterde t r aison	--|--|-⌫---|-|-⌫-⌫----|
etcha nteclerquidepri son	-|---⌫------|--|-|---⌫--|
iert eschape z	---|-------⌫|
ysengrinson	-------|--|
conseilape le	------|---⌫-|
ets es amisa unepart	-|-⌫-|---||--|---|
orestauenumal renart	-|--|----|--|-----|
bienpo ez sa uoiretentendre	---|--⌫-|--⌫---|-|-------|
nenir amessanz	|-|--⌫|--|---|
beste uendre	----|-----|
o urse ttyb ertlic h az	-⌫--|-⌫|---⌫--|-|-⌫-⌫-|
on t amenélor auocaz	--⌫|-----|--|-----|
dient qu ille uodr ontgr euer	----|-|-|-|----⌫--|--⌫---|
porrae schaper	----|-⌫------|
uo len tierssent ornast	--⌫---⌫----||-|-⌫-----|
poistennule maniere	----|-|---|------|
ou uolentiers	-|---------|
seraalacort si sentie rs	---||-|---|-|------⌫-|
tot droital	--|----|||
entrerdelaporte	-----|-|-|----|
uareculantm out le conforte	-|-------|-⌫--|-|-------|
grinberte t	-------|-⌫|
dit n aiez	--||---|
mes de yyma uspren	--|-|-|--⌫-|---|
le meillor	-|------|
en torn oi esdeci	-|----⌫--⌫-|---|
biensauoir defi	---|-----|-|-|
uueillesounon retorneras	-------|-|--|---------|
uersle roigarderneporras	---|-|--|-----|-|-----|
r enartn ete smaier tu m ie	-⌫----|-⌫||-⌫-----|-|-⌫-|
nusnese tcomlo ngue estsa ui e	--|-|--⌫|--|--⌫---|--|-|--⌫|
renart soiez de biaus enblan t	-----|----|-|---|-⌫------⌫|
quezzioruautmieusquezz an	--|-|--|---|----|--|-|-|
c oa rt doute toriorz	-⌫--⌫-|----|------|
cousi n soiezde bi auconfort	-----⌫|----|-|--⌫-|------|
fo rtunesecort	--⌫----|-----|
les hardiz	--|-----|
sicom meconte liescriz	-|---⌫-|----|-|-----|
rena rt o t que cilli	----⌫-|-⌫|--|--|-|
etquemoutbon	-|--|---|--|
conseil li done	------|-|---|
enentreelpales	-|----|-|----|
r enartauantgrinbertapr es	-⌫----|----|-------|---⌫-|
renartn esen blapas	-----|-⌫|---⌫--|--|
son cousin tenoit	--|-----|-----|
parla main	--|-|---|
derontetd epar t	-----|-|-⌫----⌫|
acel uiquinele sgart	|---⌫-|--|-||-⌫----|
deuantleroicom ainzleuit	-----|-|--|--|---|-|--|
sagenoilla et puislidit	|--------|-|---|-|--|
heroislefuizsainte marie	-|---|-|---|-----|----|
etuostrecompaignie	-|-----|---------|
et auect otuostrebarn e	-|---|-⌫-|-----|----⌫|
et lilionsl a regarde ́	-|-|----|||-------⌫|
par g ran t fiertepar	--|-⌫---⌫|-----|--|
grantorgueil	----|------|
renartle connutbienalueil	-----|-|-----|---|||---|
moutpara gra ntpoordelui	---|--||---⌫-|---|-|--|
qui l cr ie ntqui l ne liface enn u i	-|-⌫|--⌫--⌫-|-|-⌫|-|-|---|---⌫-⌫|
mieus uosistes treaillorstoznuz	----|-----|--⌫--|------|--|--|
quen sacortfusten coru e n uz	-|-|-|---|---|--⌫--|-⌫-⌫-⌫-|
li baronsont tuitarepos	-|----|---|---||----|
par la saleniot	--|-|---|||-|
facenebruit nenoise	---|-|----|-|----|
parlar e narts	----|-⌫-⌫---||
ditparfeloni e	--|--|------⌫|
c esalune uosrent	-⌫|---|-|--|---|
rousu enime usdepute	---|-⌫-----⌫-|-|---|
autrement parle rezamoi	--------|-----⌫--||--|
a inzque issiezdecestostage	-⌫-----|-----|-|---|-----|
nosl eroizuoscecuitbongage	--|-⌫----|--|-|---|--|---|
aumeins celerousse pelice	-|----|---|-----|-----|
q uant est oie sdedenzta lice	-⌫---|---⌫---⌫|-----|-|---|
ne quidoiesmes reperier	-|-------|--|-------|
totlemontcuid esguerroier	--|-|---|----⌫-|--------|
tantc omtornabien taroele	---|-⌫-|----|---|-|----|
nos asseruiz d e	--|-|-----|-⌫|
mesmeintesfo i zasoid ire	--|------|--⌫-⌫|-|-|-⌫--|
quapres grantioieui ent grant i re	-|----|----|---|--⌫--|----|-⌫-|
e tapres molu entuen te	-⌫|----|--|-⌫--|---⌫-|
tantua poza li au e q u	---|-|--|||-⌫--⌫|-⌫|
orcu ige bien sir erenart	-|--⌫|-|---|---⌫|-----|
quiles t brisiez	-|-|--⌫|------|
deuostr epart	-|-----⌫|---|
li roisp arla renartescoute	-|---|-⌫---|-----|------|
e tditquesagent l oi toute	-⌫|--|--|-|---||-|----|
ren artfet il aton uiaire	---⌫--|--|-||--|-----|
sen blesbienb estedeput aire	---⌫---|---|-⌫---|-----⌫---|
bi enpertastez quieusest	--⌫-|---|-|--|-----|--|
p l ainsies d euenim commeboz	-⌫-⌫---|--|-⌫|----|----|--|
onque s zziornefeisbien	-----⌫|-|--|-|---|---|
entoidemal engien	-|--|-|--|-----|
porceque tantm	--|-|--|---||
a sco r rou cié	-⌫|--⌫-⌫---⌫---|
et ysengrinta nt	-|-------|--⌫-|
engingni é	--------⌫-|
etporceque tybertli c h az	-|--|-|--|-----|-|-⌫-⌫-|
partoneng in fup r i s a u laz	--|--|---⌫-|-|-⌫-⌫-⌫|-⌫|--|
etbrunlio urs parmi l e	-|---|-|-⌫--|----|-⌫|
elchesn ed o nt ostasl eco ing	-|-----⌫|-⌫-⌫-|----|-⌫|--⌫--|
etporc ha nte cle r	-|--|-⌫--⌫---⌫---⌫|
qu equetu preisentraison	--⌫---|-|----|-|------|
li feislesieus clorre	-|---|--|---|-----|
uousis mo rdre	-----|--⌫---|
dan ttiece lins com tufuz	---⌫|-----⌫---|--|-|--|
etla mesengeta	-|-|------|-|
par barat tolis	--|----|----|
son fromage	--|------|
etdel u iempr eist elgage	-|-|-⌫-⌫|-|--⌫--|-⌫-|---|
que tulios tasatesqu anes	--|-|-|--⌫--||--|--⌫---|
y y desesplusbelespa nes	-⌫|-|--|---|----|--⌫--|
telguerredontenfererendre	--|--------||-|---|-----|
qausforches	|--|------|
tef era iiapen dre	-|-⌫---⌫|-|---⌫--|
renart sotmout dafitement	-----|--|---||--------|
si r espondi mout	-|-⌫------|---|
b ia usir e sauueuostregrace	-⌫--⌫|---⌫|----|-----|----|
onque snefui	-----⌫|-|--|
de telestrace	-|--|------|
quamonseignor	-||--|------|
facecontrer e	---|-------⌫|
q uenedoie	-⌫-|-|---|
uozho met uos misire	--|--⌫|-|--|-|---|
d emoine d e ue zchose	-⌫|--|-|-⌫-⌫--⌫|----|
qu iestre me doie	--⌫|----|-|---|
este sdelapui ssance	----⌫|-|-|---⌫-----|
q ue geterme	-⌫-|----|-|
poezde terre	---|-|----|
ne puis pas	-|---|--|
soufrir uostre gu erre	------|-----|--⌫---|
et sidot moutmesanemi s	-|-|--|---|--|-----⌫|
po ise sei e m e spris	--⌫--|-|||-⌫-⌫----|
derien s quiauosapartiegne	-|----⌫|--||--|---------|
a ipas dontme	-⌫|--|---|-|
te l uosont fe tlemalentend r e	--⌫|--|--|--⌫|-|--|------⌫-⌫|
por moientr eprendre	--|--|----⌫-------|
porroientproue r	--------|-----⌫|
menconge pue e nti ltrouer	-------|---⌫-⌫-|-⌫|-----|
me sauuoi r dire saigebi en	--⌫|-|---⌫|---|--|-|--⌫-|
iaimesprisde	|-|------|-|
iam esnul preudomniert amez	---⌫-|--|------||---|---|
liplusloiaus ert plus	-|---|-----|--|---|
fouxe stquidit	---|-⌫-|--|--|
mes ueri te	--|----⌫-|
plusore n son tdeserité	-----|-⌫|---⌫|--------|
etd eterr egiteza tort	-|-⌫|----⌫|----||---|
limenteorsontli p lus	-|------|---|-|-⌫--|
bienled eussieza percoi ure	---|-|-⌫------|-⌫------⌫--|
quimenconge u osfet acroire	--|-------|-⌫-|--|------|
nenusneuos decoiu re	-|--|-|--|------⌫-|
et quiuosconte chose	-|--|--|----|----|
meconneustes	-|---------|
mesonques meshomene ustes	--|-----|--|---||-⌫----|
quip o r uos	--|-⌫-⌫|--|
aittantpoineeu e	--|---|----|--⌫|
encoren ai	----|-|-|
lach arrompue	-|--⌫-|-----|
desgranztrauaus dontioilasome	--|----|------|---||-|-|---|
que iep oruosale arome	--|-|-⌫-|--|--||---|
asalerne eta monpe llier	|------|-||-----⌫----|
porlame c ineappareil lier	--|-|--⌫-⌫--|--------⌫---|
quibonees toi t	--|---|--⌫---⌫|
aumalsaner	-|--|----|
qui formentuos	--|------|--|
fesoit uo sgreuer	-----|--⌫|-----|
aidiéuosaia m on pooir	-----|--|-||-⌫-|----|
sire distgr in ber tildituoir	---|---|--⌫--⌫---⌫|-|--|---|
par dieumestieruos	--|---|------|--|
siu os aior	-|-⌫-|-|-|
tropdec eu	---|---⌫-|
uos quidites qu ilam effet	--|--|----|-|-||-⌫----|
par dieune luodroit auoir fet	--|---|-||------|----|--|
mou t estuilainsq uice retret	---⌫|--|------|-⌫-|-|-----|
nobl e so ncorag e refr et	----⌫|--⌫|-----⌫|----⌫-|
grinbertfe til bienauezdit	-------|--⌫|-|---|---|--|
ia de cene serez	-|-|-|-|----|
b ienpuete st re quilma	-⌫--|---|-⌫--⌫-|-|-|||
mesmalement lemameri	--|-------|-|||---|
c estuert ezquemandai	|--|----⌫-|--|-----|
g rinbertif udemoiepa rt	-⌫------||-⌫|-|---|--⌫-|
quibien l idistq u	--|---|-⌫|---|-⌫|
acort ueni st	|---|----⌫-|
q ue iaendesdaing	-⌫-|-|-|-------|
neltenis t	-||-----⌫|
rena rtqu i	----⌫-|--⌫|
setdefa uue	--|-|--⌫--|
etdemeintefau ssepromesse	-|-|-----|---⌫--|-------|
respo ndi quebien	-----⌫--|--|---|
etqu alacortolui	-|-||-|---||--|
renartfist del	-----|---|-||
alersenbl a nt	---|-----⌫-⌫-|
tybert ua l e che minat ant	-----|-|-⌫|---⌫--|--⌫--|
quant ilfurent	----|-|-----|
aune ui le	|--|--⌫-|
renart quisotde	-----|--|--|-|
mainteguile	-----|----|
l ostelazz prouoireso t	|----||-|-------|--⌫|
qu ide l ui	--⌫|-|-⌫-|
moutfortse guetot	---|---|-|-----|
ensamesonn otnule e ntree	-|-|----||-|---|-⌫----|
forszzboiot	---|-|----|
quantestfermee	----|--|-----|
laot tendul az por	-|-|----|-⌫-|--|
renartfist	-----|---|
quepar ilecsoloit uenir	--|--|---|-----|----|
e taus gelin es	-⌫|--|-----⌫-|
ettantiasorize t raz	-|---|||----|-⌫|--|
b ienenpuetenpes treyy	-⌫--|-|---|-|---⌫--|-|
tybe rtqu idaqueuoird eist	----⌫-|--⌫--|--|---|-⌫---|
et quenul malneliqueis t	-|--|--|--|-|-|-----⌫|
touzes tendu zdedenz se	---|--⌫-----⌫|-----|-|
d egrantfol iesentremist	-⌫|----|---⌫-||--------|
que a u parti rse tint p or fol	--|-⌫|-----⌫|-|---|-⌫-|--|
lilaz lidescent sorl e col	-|--|-|------|--|-⌫|--|
sottantbou tern etrere	--|---|---⌫--|-⌫|----|
que d ilecsepoist retrer e	--||---|-|----|------⌫|
s e stoienten t remis	|-⌫------|--⌫-⌫----|
doulazten dre ouil	--|--|---⌫--|-|-|
qua ntoientq u il es t emprison	---⌫-|----|-⌫|-|--⌫|-|-----|
lun porte zzpell	|-|----|-|--||
autre zztis on	----|-|---⌫-|
et r enart se me tala uoie	-|-⌫----|-|--⌫||-|---|
quinatalent q uelenleuoi e	--|||-----|-⌫-|--|-|---⌫|
tybertbatent e tdo nentcous	-----|-----|-⌫|--⌫---|---|
lila zront oute noitlico us	-|--⌫|---|-|--⌫---|-|--⌫-|
desque tyb ert	-----|---⌫--|
se sentaterre	-|---||----|
lesgrenonsd re celesdenzserre	--|------|-⌫--⌫-|--|---|----|
si liau intbeleauenture	-|-|--⌫--|---|-------|
nauintplusbeleacriature	|----|---|---||-------|
qu e li prestr esi	--⌫|-|------⌫-||
desch au zsanzbraiese tt oznuz	-----⌫--⌫|---|-----|-⌫|-⌫-|--|
uint aty bert	---||--⌫---|
sel uolt f er ir	-||---|-⌫--⌫-|
cil guenchist q uiseuoltguerir	--|--------|-⌫-|-|---|-----|
leprestrealacoill e prent	-|------||-|-----⌫|----|
siqueilderiens ne mesp rent	----|-|-|----|-|----⌫---|
biensachee tceestla	---|----|-⌫|-|--|-|
le plusde l aco il le	-|---|-|-⌫|--⌫--⌫-|
aupr ouoire	-|--⌫-----|
meniaainzqu	----|-----|
neschapamest ybert	|------|--|-⌫----|
lapretresse esttouteesbahie	-|--------|--|----|------|
delacoillequiert perie	-|-|-----|--|--|----|
lassefe tele	----|--⌫|--|
ne serai meschieret enue	-|----|--|-----|-⌫---|
misire a perdu esa ioie	-|---||-----⌫|-|---|
porquoichi eretenue esto ie	--|---|---⌫--|----|----⌫-|
ornaur ail mes	-||---⌫|-|--|
demoic ure	-|--|-⌫--|
quantil aperd u sambleure	----|-||----⌫||-------|
o r saibienquilmen gu erpira	-⌫|--|---|-|-||-|--⌫-----|
quantil aid ier nese p orra	----|-|---⌫--|-|-|-⌫---|
m out s uioretri steet	-⌫--|-⌫-|--|---⌫--|-|
a ioieaiusémaiouen te	|---|-|---|-|-----⌫-|
ilme donoit	-|-|-----|
lesbons m engiers	--|---|-⌫------|
et les biaus dras	-|--|----|---|
p lusuole ntiers	-⌫--|----⌫-----|
faillirmi estue t	------|||-----⌫|
g rant c hosea en ferelestuet	-⌫---|-⌫---||-|---||-----|
ora perduson hardeme nt	-||----|--|-------⌫-|
l icha zl aseruimalement	-⌫|---⌫|||----|-------|
encequildemoinentlorduel	-|-|-|-|--------|--|---|
tybert senistparzz boel	-----||-|--|--|-|---|
rena rts en fupieca partiz	----⌫-||-|-|----|-----|
ain sifuli	---⌫-|-|-|
gieumal partiz	---|--|-----|
saplain te	-|-----⌫-|
tybertdesa u tresiam ainte	-----|--|-⌫-⌫---|||-⌫----|
brunsser epl ai n tquillefistbatre	----|-|-⌫---⌫--⌫-⌫|-|-|-|---|----|
elchesneo u il	-|-----|-⌫|-|
le fist enbatre	-|---|------|
que c harp entie r	--|-⌫----⌫-----⌫|
oren tou ert	----⌫|--⌫--|
e t lessi étotad escouert	-⌫|-----⌫-|--||-⌫-------|
dist liquemielauoitdedenz	---|-|--|---|----|-----|
ilicuida metrelesdenz	-||----|----|--|---|
son groing	--|-----|
i mistetambati	|---|-|-----|
renartlescoin z enaba ti	-----|--|----⌫|-|---⌫-|
onq ues des	---⌫--|--|
coinz ni lessaz z	----|||----|-⌫|
gr o i ng ret int d anbrun	--⌫-⌫-⌫-|---⌫--|-⌫-|---|
o rfu lilas	-⌫|-|-|--|
toteot perdue la co lor	---|-|-----|-|--⌫--|
renartne fist	-----|-|---|
fo rsquesorire	--⌫----|-----|
quantilleuite ntelmarti re	----|-|-|--|-⌫|--|-----⌫-|
etdistabr un	-|---||--⌫-|
men gi ezxxx	---⌫--⌫-|--|
tan tquesoi eztoz saoulez	---⌫---|---⌫-|--|------|
enu ois et	-|-⌫--|-|
a grant esle z	|----|----⌫|
m out fet o	-⌫--|--||
uo smauuesal er	--⌫|-----|--⌫-|
i anem en orrez mesparler	-⌫|-||-|----|--|-----|
iainonrenart	|-|--|-----|
biausireb run	---|---|-⌫--|
c ist gaainznest	-⌫--|-----||--|
p astotco m mun	-⌫-|--|--⌫-⌫--|
uos uoul ez totauoirsanz faille	--|----⌫-|--|----|---|-----|
i ane nfe reuer su os	-⌫||-⌫|--⌫-|---⌫|-⌫-|
uoscl ameretot	--|--⌫----|--|
ienaimestierdefereluite	-||-|------|-|---|----|
quant ramponesottraite s	----|-------|-|------⌫|
loufesetmoesfetes	-----|-|---|----|
tornez sen	-----||-|
estneuolt plusdire	--|-|---|---|---|
me s danbr un	--⌫|--|--⌫-|
not t alentde ri re	|-|-⌫----|-|--⌫-|
l e gro ing est ra int et sacheet	-⌫|---⌫--|---⌫--⌫--|-|----|-|
nelpuet auoir	-||---|----|
s ilne ldescir e	|-|-||------⌫|
nesto itpas	|----⌫-|--|
li for estier	-|---⌫-----|
u ienentaubois	-⌫-----|-|---|
yy e stoie nt	-|-⌫-----⌫-|
en l aro ut e	-|-⌫|--⌫--⌫|
quantuoient	----|-----|
loursl u nl au treboute	|---||-⌫||--⌫--|----|
zz ou rs distli premiers	-|--⌫-|---|-|-------|
oriparrafransf o restiers	-||----|----|-⌫-⌫-------|
quebien uo i qu aid ierne se	--|---|--⌫|-|---⌫--|-|-|
o rlepre nons f erelestuet	-⌫|-|---⌫---|-⌫--||-----|
qua ntbrun liours	---⌫-|---|-|---|
les ot u en i r	--|-|-⌫--⌫-⌫|
adont nesepot p lustenir	----|-|-|--|-⌫--|----|
ainzsache alide	---|----||-|-|
quetotle cuirfet	--|--|-|---|--|
dentresongr oinget deses ioes	|----|--|--⌫---|-|-|--|---|
ne nremestpointentre ses	|-⌫|-----|----|----|--|
mesaincoi squ	--|------⌫--|
il senfustost ez	-||-|---|---⌫-|
bien batuzles	---|----|--|
dema c ueset de	-|--⌫-⌫--|-|-|
i ss uzsen esta	-⌫--⌫-||-|--||
renar tlatenu porm u sart	-----⌫|||---|--|-⌫-⌫---|
arriere maingitahasart	------|---|---|-----|
enuaa longueal ai ne	-|-||-----|--⌫--⌫-|
mesaincoisot so ufe rtgrant	--|------|-|--⌫---⌫-|----|
etdantrenartqui na itconfesse	-|---|-----|--||-⌫-|-------|
nefi ne de rrerne	-|--⌫-||-⌫---|-|
tantqu a l	-----|||
entre edune	-----⌫||--|
l or sgrant	|--⌫|----|
ra mponerue	--⌫----|--|
biausire brun etque medites	---|---|---|-|--|-|----|
se estesmoin es ou hermites	-|----|----⌫-|-|-------|
etsemessechantersauez	-|-|----|------|----|
queuos si gr an tcoroneauez	--|--|-|--⌫--⌫|-----|---|
mou t p a rauez uermeil	---⌫|-⌫-⌫|---|------|
bienpertque	---|---|--|
etq uelaforcenest	-|-⌫-|-|----||--|
pasu ostre	--|-⌫----|
lipisnes t	-|--||--⌫|
p asilleque sn ost re	-⌫-|-------⌫|-⌫---⌫-|
ainsiseruirenartmon	----|----|-----|--|
parlessainzque	--|--|----|--|
le n quiert	--⌫|-----|
queiebondr oitlorenfer ai	--|-|--|--⌫--|--|-|---⌫-|
seprouerlep uisielpendra i	-|-----|-|-⌫--|-||------⌫|
l o rs re fist bric hem ersonplaint	-⌫-⌫-|--⌫---|----⌫---⌫-|--|-----|
etlamesangeseco mplai nt	-|-|------|-|--⌫-----⌫-|
quequantelele uol t besier	--|----|--|-|---⌫|-----|
uoltapoie r	---|-----⌫|
le s denzg ita por	--⌫|---|-⌫--|--|
li combr er	-|-----⌫-|
c u ida es trang ler	-⌫-⌫--|--⌫-----⌫--|
lo rs li orentseseles oes	--⌫-|-|----|--|---|--|
atantresailli ensoncru es	----|-------|-|--|---⌫-|
moutpar fesoit gra ntd esuerie	---|--|-----|---⌫-|-⌫------|
quantuersluipen soitfelonn ie	----|---|--|---⌫---|------⌫-|
mainte traisonli afet e	-----|------|-||---⌫|
prend re la	-----⌫-|-|
cuidae nsohete	----|-⌫|-----|
eleestoitenfoi	--|-----|-|--|
s ac o mmere	-⌫|-⌫-⌫----|
et sil e te noi t porcompere	-|-|-⌫|--⌫---⌫|--|------|
mesele d utsanz demo rer	--|--|-⌫-|---|----⌫--|
le comp erage compere r	-|----⌫----|-------⌫|
ligieu snefupas	-|----⌫|-|-|--|
etre nartfist que desloiaus	-|--⌫---|---|--|--------|
quisonpo il u oitnel e doit cr oire	--|--|--⌫-|-⌫--|-|-⌫|---|--⌫---|
parnatur efetamescroire	--|-----⌫|--||--------|
serest clamee	-|---|-----|
me inte gent ertamee	--⌫---|---|--|---|
desaseror d a mecoupee	-|-|----|-⌫-⌫-|-----|
querenartlia esclopee	--|-----|-||-------|
et yy mortesdesesserors	-|-|-----|-|--|-----|
dontsescue rsest engra ntdolors	---|--|---⌫-|--|-|---⌫-|-----|
gra ntm alafetamainte	---⌫-|-⌫-||--||-----|
iane por orn e p or argent	-|-|--|-|-⌫|-⌫-|-----|
neldoit on l essieraiugier	-||---|-|-⌫-----||-----|
porsesfel oni esuangier	--|--|---⌫---⌫-|------|
l i c orbiaux estacort u enuz	-⌫|-⌫------|--||---|-⌫---|
etdit quedroitlisoit te nuz	-|--|--|----|-|---|--⌫--|
deren art qui pri st	-|---⌫--|--|---⌫-|
sonfromm ag e	--|-----⌫--⌫|
e tpuisl ifistsigrant	-⌫|---|-⌫|---|-|----|
que osesd enz leuolt saisir	--||--|-⌫--|-|---|-----|
mesn enf istmie	--||-|-⌫--|--|
son plaisir	--|------|
quil sapercut qu illeuolt	-|-||------|-|-|-|---|
cilsentor na	--||-|---⌫-|
n eluoltatendre	-⌫||---|------|
ren artqu iset de tantesbu fe s	---⌫--|--⌫|--|-|-----|--⌫--⌫|
lienrachayy des plumes	-|------|-|--|-----|
bienlequ idaau oirso r pris	---|-|--⌫--|--⌫--|--⌫-⌫---|
