di reledoit	--⌫-|-|---|
quileurten oi entcompa i gnie	--|---|---⌫--⌫--|-----⌫-⌫---|
re narslihoupiexi est oit	--⌫---|-|------||---⌫--|
qui ses yy fi exoluiauoit	--|--|-|--⌫-||--|----|
male brancheotnon liaisnes	----⌫------|-|--|-|-----|
pluser tcremus	---|--⌫|-----|
nefustame ́s	-|---|---⌫-|
lisecons otnon percheha ie	-|-----|-|--|--------⌫-|
quiennul pointnau oitmanaie	--|-|--|----||--⌫--|-----|
nepited ecrasseg ueli ne	-|---|-⌫|-----|-⌫----⌫-|
e tsiifudame em meline	-⌫|-||-|---|--⌫-----|
mere asenfans femerenart	---|-|-----|---|-----|
ysengrins lileus dautrepart	--------|-|---||----|---|
sistet les	---|-|--|
l uida me her se ns	-⌫-|--⌫-|---⌫--⌫-|
etyysie nsfiexo	-|-|---⌫-|---||
limo utge ns	-|--⌫-|--⌫-|
pincha rset primausic hild oi	------⌫-|-|------|--⌫--|-⌫-|
abrebisni asaign iausfoi	|-----|-|-|----⌫---|--|
ne porte re nt enleuruiu ant	-|-----⌫--⌫-|-|---|---⌫--|
bienrena turentl i	---|----⌫-----|-⌫|
a leur p er e bru ia nsli tors	|---|-⌫--⌫|---⌫--⌫-|-|---|
cui q uesoitd roisout ors	---⌫-⌫-|---|-⌫---|-|-⌫--|
o luifubler eetmasquele e	|--|-|----⌫|-|--------⌫|
bruiansluneaimeet lautre ame e	------||--|---|-||----|---⌫|
ot litaiss o ns ifugrimbiers	-|-|-----⌫-⌫-||-|--------|
cous insrena rtetmalapers	----⌫--|----⌫-|-|-------|
sesfiexbrunsl ioursetbruniaus	--|---|----|-⌫|---|-|-------|
fie x br unquimout	---⌫|--⌫-|--|---|
p arestoit	-⌫-|-----|
sifula brichemerslichiers	-|-|-|---------|-|-----|
quifu et uis t e set apers	--|-|-|---⌫-⌫-⌫|-|----|
etlia rchepres trestimer s	-|-|-⌫--------⌫---|-----⌫|
l iasnes quines t oit auers	-⌫|----|--||--⌫-⌫--|----|
de paistr ec ard on s	-|------⌫|-⌫---⌫--⌫|
baud ui nsifuetfromo ns	----⌫--⌫-||-|-|-----⌫-|
filtimer ierent	--|----|-----|
cha scunsot seurson ch iefcapel	---⌫----|-|---|--|--⌫--|----|
decardonsa	-|------||
touteleflour	----|-|----|
qu ilesam o ientpar amour	-||--|--⌫-⌫---|--|----|
si ifulicheuaus	-||-|-|------|
et ferranslironchisisniaus	-|------|-|------|------|
sii fubauchanslisengl ers	-||-|-------|-|-----⌫--|
lipourchiausifu waneme rs	-|---------||-|------⌫-|
etdansfrob iersli	-|---|----⌫---|-|
criquelons	---------|
et espinar slihirechons	-|-------⌫|-|--------|
liesc uireus ifubosques	-|---⌫-----||-|------|
siifuponnes li f u i res	-||-|-----|-|-⌫-⌫-⌫--|
t hiebersli casses fie xraous	-⌫------|-|--|--|---⌫|----|
et unssiensfiexautre s mitous	-|--|----|---|-----⌫|-----|
tardi exiful ilimech ons	-----⌫-||-|-⌫|------⌫--|
siifu belins	-||-|-----|
limout ons	-|----⌫--|
be rnarss es f iexet cornu iaus	--⌫----|-⌫-|-⌫--|-|-----⌫---|
ch ascun sfuio nes	--⌫-----⌫|-|--⌫--|
damoisiaus	---------|
li corbaus ifu tiesselins	-|------||-|---------|
auoecroeniausl imastins	----|-------|-⌫|------|
et sifuses	-|||-|--|
freresgri ngnars	-----|---⌫-----|
etcameusaussililombars	-|-----|----|-|------|
etses cousinsli dro madaire	-|--|------|-|---⌫------|
isni ausqu imoutfu debonna ire	----⌫--|--⌫|---|-|-------⌫--|
bueset anieus	---|-|-----|
l ib u glesauoecsoumille us	-⌫|-⌫-⌫---|----|--------⌫-|
liloirsquiliuerdorti	-|----|--||---|---||
esueil lepourfu	------⌫-|---|-|
li s ingesifu co i nteriaus	-|-⌫----||-|--⌫-⌫-------|
marti ns ses	-----⌫-|--|
fiexquimout estbiaus	---|--|---|--|----|
i erts i fudame boursee	|--|||-|---|------|
fe me cointerelgal onne e	--⌫-|--------|---⌫----⌫|
ertlada meaunfildargent	--|-|--⌫-||-|--||-----|
aor fure nt si uestement	|-|----⌫-|-|--------|
siifu can tecler licos	-||-|---⌫-----|-|--|
etpintequipon t leso es	-|----|--|---⌫|--|-⌫-|
noireb la nche roussee t coupee	----|-⌫--⌫---|-----|-⌫|-----|
tite quidecocr am pronee	---|--|-|--|-⌫--⌫-----|
onqu ese stoit auoec	----⌫-|-⌫----|----|
pi nt eenfusta enuiss eneuc	--⌫--⌫|-|---||----|-⌫----|
quecestoit safillemaisnee	--||-----|-|----|------|
liplusbele etlimiex a mee	-|---|---|-|-|---|-⌫--|
li escou f les ifu	-|-----⌫-⌫--||-|
qui toudisale sg rausouuers	--|-----||--⌫|-⌫---|-----|
p o u rprendreaussic o nme on tliprestre	-⌫-⌫-⌫|------|----|-⌫-⌫--|--⌫|-|------|
p eleslirassesistadestre	-⌫---|-|--|-|---||-----|
il etquenue lisuir is	-|-|-----|-|----⌫-|
an doisesonten sanle	--⌫--|-|---|--⌫----|
fubarbu e lek ieure	-|-----⌫|-|-⌫----|
leslirepust couartle lieure	--|-|-----|-----|-|-----|
luxurieu sifuli	--------⌫||-|-|
uis o tr ou s	--|-⌫|-⌫--⌫|
siifuwautiers li oisons	-||-|-------|-|-----|
d uinsettubesli	-⌫---|-|----|-|
freregermain fu r entchildoi	----|------|--⌫-⌫--|---|--|
messagierestoi entle	--------|-----⌫--|-|
cari lestoi ent sans	--|-⌫|-----⌫--|---|
co semo ut amee	--⌫-|--⌫-|---|
siifu mehaus	-||-|-----|
quiueutbienque	--|---|---|--|
liroislesache	-|---|-|----|
pourchequili	---|--|-||-|
auoitmandee	----|-----|
di ndedediuerse contree	|-⌫--|-|------|------|
ur ediaus li papegais	--⌫-----|-|-------|
am parliers fu	--⌫-------|-|
mout sotdeplais	---|--|-|----|
de pe rseiuintl iolifans	-|--⌫--||---|-⌫|------|
fortin s moute stoi tforsetgrans	------⌫|---|-⌫----⌫|---|-|----|
etda ufriqu e iuintdesdaig neus	-||-⌫------⌫||---|-------⌫---|
liostriss es	-|-------⌫-|
desouss espie szz banquelet	-----|-⌫-|---⌫|-|--------|
po ur lecaut osta sen	--⌫-|-|---|---|--|
hardi s l ilupars	-----⌫|-⌫|-----|
liniesnoble	-|---|----|
iuintdoutrecou stantin obl e	|---||----|---⌫-------⌫---⌫|
etsef eme dameh aroug e	-|-|-⌫--|---|-⌫-----⌫|
quiun e cape auoitplus	--|--⌫|---|----|---|
uestienesoitescarl ate	-----|-|---|------⌫--|
ladamees toit lasseeet mate	-|---|--⌫---|-----|-|---|
etsiestoit m outde shaitie	-|-|-----|-⌫--|--⌫------|
encontreeusest licoursdre chi e	-------|--|--|-|----|---⌫---⌫|
noblesh ardisuryycou s sins	-----|-⌫---|--|-|---⌫-⌫---|
assist pour chequiertsescousin s	-----|---|--|-|---|--|------⌫|
leslui et harouge ensemen t	--|--|-|------|-------⌫|
a insmaisac ourt	-⌫--|---||-⌫---|
sigr ant gent	-|--⌫--|---|
ca r m alegrapeligri fon s	--⌫|-⌫-------|-|---⌫---⌫|
uinttousles	---|---|--|
co uuintenco ntrelui leuer	--⌫----|----⌫---|--|----|
po urlui plushonner er	--⌫-|--|---|------⌫-|
d eiouste luiet parlinage	-⌫------|--|-|--|-----|
le fistseoirmou t fist	-|---|----|---⌫|---|
lunicorn e rimoch erons	|-------⌫|------⌫----|
iui nt li roisliotsem ons	|--⌫-|-|---|-|-|---⌫--|
parpaisfaisantetpa racorde	--|---|------|-|--⌫|-----|
c arentreausdeusau oitdiscorde	-⌫-|----|--|---|--⌫--|-------|
euuemo u t auoitgran t tans	---|--⌫-⌫|----|----⌫|---|
ainc p uisqu e fourmé sf u adans	---|-⌫-----⌫|-------⌫|-⌫|----|
n etint mai s courtas igrant	-⌫|---|---⌫|----||-⌫|----|
maintautrei ot	----|----||-|
dontiema pens	---|-||-⌫---|
quierentbanerete tconte	--|----|------|-⌫|----|
porroitnombrer leconte	------|------|-|----|
li pluspo ures	-|---|--⌫---|
quei ai nonmés	--||-|------|
estoitquensou	-----|----|-|
dus appelés	--|-------|
empereres rois	--------|---|
nefacm entiondes	-|--|-⌫-----|--|
nedes cheualiers d unescu	-|--|---------||-|---|
licommunspule s si grans fu	-|------|----⌫|-|----|-|
ioist point d ieu tonnant	|---|----|-⌫--|------|
ainc m ais nusneuitpu letant	---|-⌫--|--|-|--|--⌫-|---|
li roisnoblesenaudie nche	-|---|-----|-|-----⌫---|
a fai turedielcri er si lle nche	|---⌫|------|---⌫-|--⌫---⌫---|
chest adire que nusne fache	-|--||---|--|--|-|----|
noisecarliroisueut c on	----|--|-|---|---||-|
ethau t et bas che	-|---⌫|-|--|--|
quilu eut dire	-|-|-⌫--|---|
toutsete urentn e mais li sire	---|-|--⌫----|-⌫|---|-|---|
li rois q u ino ble	-|---|-⌫-⌫|--⌫--|
segnieur distilabriefsermon	-------|---|-||----|-----|
uousuoei ldireca iempensé	---|----⌫|---||-⌫|-------|
auiour demenatiuite	-|---|-|-|-------|
quefair echeualier uoeil	--|----⌫|--------|----|
ache h au tiourmonfilorgueil	|--|-⌫--⌫|---|--|--|------|
trouueroitsonpareil	---------|--|-----|
seie le tru isa	-|-|-|---⌫-||
m onconseil	-⌫-|------|
chi l e st u is eussageshar dis	---⌫|-⌫-|-⌫--⌫--|----|---⌫--|
chascuns end i eson a uis	-------|-|-⌫-⌫|--|-⌫--|
to utcri erent a uneuois	--⌫-|---⌫----||--|---|
failecheu aliers irer o is	--|-|----⌫----|-⌫--|-⌫-⌫-|
li roisdecuerioians lo t roie	-|---|-|---|-----||-⌫-⌫---|
touslipa la isen br uit de ioie	---|-|--⌫--⌫-|-|--⌫--|-|---|
etliro i safait aporte r	-|-|--⌫-⌫||---|------⌫|
a rmespoursonfi ladouber	-⌫---|---|--|--⌫|------|
quenu oii esotproserpine	-|---⌫---⌫-|-|---------|
delpucdinfe rcar damour fin e	--|--||----⌫|--||----|---⌫|
amoitorgueilet orgieus li	----|------|-|------|-|
maisaplutopoint n	---||----|----||
carilenfuenial ousie	--|-|-|-|-|---⌫----|
biendro is q ueie	---|---⌫-|-⌫-|-|
qu iprose rpine lesdonna	--⌫|-----⌫----|--|----|
l ucifer squ isoienarma	-⌫------⌫|--⌫|--|-|---|
enparadisencontre crist	-|------|-------|----|
dontdiexoupuc dinf erle	---|---|-|--||---⌫-|-|
ensanle oluic he usde separt	------||--|-⌫--⌫-|-|-|---|
prionsad ieu qu ilnou s	-----||-⌫--|-|-|---⌫|
porser pinelesenuoi a	------⌫---|--|-----⌫|
orgueil qu ele de cuer ama	------|-|--|-|---|--|
p a rbeugibusetsili mande	-⌫-⌫|-------|-|-|-|----|
sa luta t el	--⌫--||-⌫-|
saintteloffrande	----|--|-------|
l iroisorgue ilsonfilarma	-⌫|---|-----⌫-|--|--|---|
d etesar m e s quem outama	-⌫|--|--⌫-⌫-⌫|--|-⌫--|--|
premi ersliuestilauqueton	-----⌫--|-|----||-------|
quiestoiten l ieudec oton	--|-----|-|-⌫--|-|-⌫---|
de des daingde despit farsis	-|---⌫----|-|-----|-----|
li auqu etons fumo utiolis	-|----⌫----|-|--⌫-|----|
apresliu estilachemise	----|-|-⌫---|-|------|
dec hartres qui erta deuise	-|-⌫------|--|--||-----|
bele sicon	---|-|--|
deuanterie	-|-------|
apreslauber c	----||-----⌫|
quifudenuie	--|-||----|
maillié s et	--------⌫|-|
l e scauch es a u ssi	-⌫-⌫|-----⌫-|-⌫-⌫--|
aprescheli rois li u es t i	----|--|-|---|-|-⌫--⌫-⌫|
de mana chesune c uirie	-|----⌫---|--|-⌫----|
ap resli roisl ia	--⌫--|-|---|-⌫||
cote aarmer de u ain egloire	---||----|-|-⌫---⌫|-----|
che nousracontelies toire	--|---|------|-|--⌫----|
deb eubanl idonna escu	-|-⌫----|-⌫|----|---|
tesnefupu isletans artu	--|-|-|--⌫-|-|---|---|
de de scorde etdetraison	-|--⌫-----|-|-|------|
ot enmyunrampantlion	-|---|-|------|---|
etsothiaum edecouuoitis e	-||-|-----⌫|-|---------⌫|
ouilotmaintepierreassise	-|-|-|-----|-----|-----|
safirs rubi setcasmahiex	-----|----⌫|-|--------|
despie rres resplendistliliex	--|---⌫---|----------|-|---|
liroysarenartap elé	-|---||-----|--⌫---|
etpui ssiliacomm andé	-|---⌫|-|-||----⌫----|
orgueilson fill	------|--|--||
esperondes tre	------|---⌫--|
cauchast ys engrinsl ese nestre	-------|--⌫------|-⌫|--⌫-----|
ens anlea ndo i s agenouille ren t	---⌫---|-⌫---⌫||----------⌫---⌫|
orgueil l esesp ero ns caucherent	------|-⌫-|---⌫---⌫-|---------|
sil est qui l e uoirendes cue ure	|-|--|--|-⌫|---|-|---⌫---⌫--|
i les toientde	-⌫|--⌫-----|-|
mauuaisoeure	------|----|
sansrepent anchem anou uré	---|------⌫----|-⌫----⌫---|
doréde p r o p re uol ente	----|-|-⌫-⌫-⌫-⌫-|---⌫---|
me sires n o blesnesefaint	-|----|-⌫-⌫---|-|-|----|
aorgueill ebra ncdach ierchaint	|------|-⌫|---⌫-||---⌫--|-----|
dehaineetd efelon n ie	-|----|-|-⌫|-----⌫-⌫-|
dinferfuorgueilenuoie	|----|-|------|-----|
etpourlamoursonfil li rois	-|---||----|--|--|-|---|
endonnaayyconrois	-|----||-|------|
quiol u iarme ́aumoustie r	--||-⌫-⌫|----⌫|-|-------⌫|
aler entpou rle die umest i er	----⌫--|---⌫|-|---⌫|----⌫-⌫-|
oirlarcheprest retimer	--||----------⌫-|----|
couuint le gra ntmessecanter	------|-|---⌫-|----|-----|
loffrande fu e tbeleetr ich e	|-------|-|-⌫|---|-|-⌫---⌫|
maintfremal d or et	----|-----||-|-|
maintafich e	----|-----⌫|
ioffrionen	|----|-|-|
ichel iour	----|---|
apres mes seoupa laismaiour	----|---⌫-|-|--⌫---|-----|
mont ali rois e tsiprinchie r	----⌫|-|---|-⌫|-|--------⌫|
etto utl ia utr e c heualier	-|--⌫-|-⌫|-⌫---⌫|-⌫-------|
liroi sleur	-|---⌫|---|
don nab iausdestrie rs	---⌫-|-⌫---|-------⌫-|
bru nset baucha ns etsor s et fiers	---⌫-|-|------⌫-|-|---⌫|-|----|
chascunsmonteo u s ienquiain sains	-------|----|-⌫|-⌫--|--|---⌫|---|
mo ntés premer ains	--⌫----|------⌫---|
ensonpoing ot def aus s ete	-|--|----|-|-|-⌫---⌫-⌫--|
lancheaunferde	-----||-|--|-|
ens onsela nche	-|-⌫-|-|--⌫---|
otunpignon	-|-|-----|
d e boisdi eo r geus a hautto n	-⌫|------⌫|-⌫-⌫---||---|--⌫|
quintaine drech ier	--------|-----⌫--|
fac helir ois sansatar gie r	---⌫-|-|-⌫--|---|----⌫---⌫|
eton sifist	-|-|-|---|
enunela nde	-|--|--⌫--|
orgeusqui plus riensne	-----|--|---|----|-|
semuetdesrenslanche seu r fautre	-|---|--|---|-----|---⌫|-----|
apreslu imonte rentliautre	----|--⌫|-----⌫---|-|----|
ale quintain ealaiouste r	|-|--------⌫|--|------⌫|
apo iquilne	|--⌫|-|-|-|
lefistuerser	-|---|-----|
li fil renart	-|--|-----|
bieniioust erent	---||-----⌫----|
si quelipl useurlesloerent	-|--|-|--⌫----|--|------|
e nfantysengrin	-⌫----|-------|
i ious terentmaintgranttatin	|----⌫-----|----|----|----|
ot le io ur	-|-|--⌫-|
pour aus la quintaine	---|--|-|--------|
chascunsdesfiextymersepaine	-------|--|---|----|-|----|
con p arau t da us lifil thi bert	|-|-⌫----⌫||-⌫-|-|--|---⌫---|
lecatisont	-|--||---|
sitres ape rt	-|---|---⌫-|
fil belinlemouto n	--|----|-|-----⌫|
chascun sibroche	-------⌫||-----|
l e gascom	-⌫|-----|
m artine s lifiex coi nterel	-⌫------⌫|-|---|---⌫-----|
simaintintcheiou r	||-------|--|---⌫|
bienetb el	---|-|-⌫-|
quif aisoitlebouche	--|-⌫-----|-|-----|
atousunelanc h eense p oe	|---|--|----⌫-⌫|-|-|-⌫-|
tint bruniaus fie xbr unet i ouster	---|-------|---⌫|--⌫-|-|-⌫-----|
alapour s oncors	--|---|-⌫-|---|
chascuns ioustalemi ex qu ilpot	-------|-----|-|--⌫-|-|-|--|
maislio nnyaus l e pr is	---|---⌫-----|-⌫|--⌫-|
r oyetlimaisnes	-⌫-|-|-|------|
en estliprisdonnés	-|--|-|---|------|
carc hefu tous limi exfa isans	--|-⌫-|-|---|-|--⌫-|--⌫----|
chascunssi prouua qu e uai llans	-------|||-----|--⌫|---⌫----|
li fil ysengrin s	-|--|-------||
ip r ouerent	|-⌫-⌫------|
poiilneconq uesterent	--|-|-|----⌫--------|
leprisorg ueil moutenfla ma	-|---|---⌫---|---|-----⌫-|
ma isn ulsanlant	--⌫-|-⌫-|------|
lanemoustra	-|-|------|
ata nte st li iouste remese	---⌫-|-⌫-|-|-----|-----|
orgeu senuaardan sconbrese	-----⌫|-|-|-----⌫|--|----|
licheu a liernouu el	-|----⌫-⌫---|----⌫-|
le sieuentleroyf umout be l	-|------|-|--|-⌫|---|--⌫|
q ue lion niaussesf is	-⌫-|----⌫----|--|-⌫-|
quintainele	--------|-|
desarmése sont enle sale	-------|-|---|-|-|---|
c hascuns contre a us ri t dansebale	-⌫------|-----|-⌫-|--⌫|----|---|
li roysaf ait	-|---||-⌫--|
liauecorner	|---|-----|
uo ntquemie xmie x	--⌫-|--|---⌫|---⌫|
lir oisse sist au	-|-⌫--|-|---|-|
p lushaut dois	-⌫--|---|---|
aunetauleque ch ert drois	|--|----|--|-|--|----|
sise nt licheu a l iernouuel	----⌫-|-|----⌫-⌫-⌫--|-----|
amengierorent bo n	|------|----|--⌫|
a utretantque dontsilsourzi st	-⌫-------|--|---||-|------⌫-|
orgueil leusensouc hiefse	-------⌫---|--|-|-⌫---|-|
delat aulea son doi t	-|-|-⌫---||--|---⌫|
renartilneli fu pas paine	-----|-|-|-|-|--|----|
quil niuenistsel idemande	-|-|||-----|-|-⌫|------|
plaistorgieus liconmande	-----|------|-|-------|
sie c heeti l li di ra	---⌫-⌫-|-|-⌫|-|--⌫-|
r ena rssassistorgieus	-⌫---⌫-||-----|------|
conseil etdistensi	------|-|---|---|
c ourechie ́ssui	-⌫--------⌫-|--|
chepoisemi	--|----|-|
chedist renars	--|---|-----|
qui a chefa it	--||--|--⌫-|
li filys engrinma lleuruai t	-|--|--⌫-----|--⌫|---|---⌫|
ch edistrenarse n quelman i ere	--⌫|---|-----|-⌫|---|---⌫-⌫--|
d ech equi lmo ntbouté	-⌫|--⌫|-|-⌫||-⌫-|-----|
parle urbienfaitre narse ntent	--|--⌫-|-------|--⌫---|-⌫----|
quelico s eaenuie tent	--|-|--⌫-⌫||----|---|
moutenfulies	---|-|-|---|
ded enssoncu er	---⌫--|--|--⌫-|
aorgueil di st a nesu nfu er	|------|--⌫-||----⌫|--⌫-|
nelaiss iésneuousen uengi és	-|-----⌫---|-|---|-|-----⌫--|
renars o remenconseilliés	-----|-⌫-||-|-----------|
uolentier scher e spontrenars	---------⌫|--|-⌫-⌫----|-----|
renarsfuplains de	-----|-|-----|-|
pourpensa core seporroit	--------||--|-|------|
uengierd y sengrin	------||-⌫------|
etdetrestoutesepourgienne	-|-|--------|-|---------|
queilha o it de gran t haine	--|-|--⌫-⌫-|-|----⌫|----|
faide orent	----|----|
longue ment	------⌫---|
es t éettout fupour	--⌫-⌫-|-|---|-|---|
fen m eysengrindo ntrenars o t	---⌫-⌫|-------|--⌫-|-----|-⌫|
sesuolentes senfisthuihot	--|-------||-|---|-----|
ysengrinqui moutl enhai	-------|--|---||-|--|
renars maintepaineensouffri	-----|-----|----|-|------|
apais iésles auoitlirois	-----⌫---|--|----|-|---|
peupluspeumains auoitunmoi s	--|---|--|----|----|-|---⌫|
siquilsemou st r oient am i	-|-|-|-|---⌫--⌫-⌫----|--⌫|
maisonq uesa	---|---⌫--||
renartnissi	-----||---|
desonc uerp ourchelih aine	-|--|-⌫--|-⌫--|--|-|-⌫---|
r enarsd estudiernefine	-⌫----||-------|-|---|
quysengri ns fustam ortli urés	-|-------⌫-|---||-⌫--|--⌫----|
dun etraison p ourpen sés	|--⌫|------|-⌫------⌫---|
sest donty se ngrinetsifil	|--|---|-⌫--⌫----|-|-|--|
seron tamortet aessil	-----⌫||---|-||----|
l iu r é sediex n	-⌫--⌫-⌫-|-|---||
ena p itie	-||-⌫---|
renarsdes cueuresonpense	-----|---⌫-----|--|----|
aorgueilet distse	|------|-|---|-|
croir eme nc onseil uousserés	-----⌫|--⌫|-⌫-----|---|-----|
de syyfiex	--⌫|-|---|
ysengrinuen giés	-------|---⌫----|
iours orsoiéshaité s	----|-|-----|------⌫|
c onmentbiausren arsdites m o i	-⌫-----|----|---⌫--|----|-⌫-⌫|
ensiunhiraut	---|-|-----|
le tournoi	-|------|
fait es chicrierama rdi	----⌫-|--|----||--⌫--|
ieleuousloet si	-|-|---|-|-|-|
uouspo rrés acompli r	---|--⌫----|-------⌫|
desfiexysengr inuodesir	--|---|------⌫-|-|----|
etdysengrin seuousuo lés	-||-------|-|---|--⌫---|
adontf ulitourn oiscrie ́s	----|-⌫|-|-----⌫--|----⌫-|
parl a ssensd e	--||-⌫----|-⌫|
n oblonler o i	-⌫----|-|-⌫-⌫|
quiempris aqua ch etournoi	--|-----||-||--⌫|------|
uaurrapre ndreas ar mes	-----|---⌫---|-|--⌫--|
lirois ato u sproié	-|---||--⌫-⌫|-----|
con munaument quepours amour	---⌫--------|--|---||----|
uo elle nttourno iier ache i o ur	--⌫----⌫-|------⌫---||--|-⌫-⌫-|
tretoutconmunaument lotrient	------|-----------||------|
et toutli cheua lieren rient	-|---|-|-----⌫---|-|----|
dechestec osee tmout	-|-----|-⌫--|-⌫|---|
leurplaist	---|-----|
desnouuiauscheualiers	--|-------|---------|
li contes etuienta	-|-----|-|----||
quicueraplainde mauuais	--|---||----|-|------|
aorgueiluientsis ag e noille	|------|----|-||--⌫-⌫-----|
etpu is liconseille ensoreille	-|--⌫-|-|--------|-||------|
quil s epouru oit de	-|-|-⌫|-----⌫--|-|
ch eualiers	--⌫-------|
carbienset quilen estmestiers	--|---|--|-|-|-|--|-------|
bi enditesdistorgieusu ouspreng	--⌫-|----|---|------|-⌫--|----|
pourmi conseill ier	---|-|--------⌫--|
ets enten g	-||-----⌫|
q ueuoyyfil sont preu et sage	-⌫-|-|-|--|---|---|-|---|
s ilesr eti engdemon	-⌫|--|-⌫---⌫--|-|--|
ets i retienglet orbruiant	-|-⌫|------|-|-⌫-|------|
etoluilesangle rbaucha nt	-||--|-|------⌫|------⌫-|
bru nl ou rs uoeil etsen filbr unel	---⌫||--⌫-|----|-|--|--|--⌫---|
siu oeill emastinroenel	-|-⌫---|-⌫|-----|-----|
cointe re lle si ngeet martin	------⌫--⌫|-|--⌫--|-|-----|
childo nrontmainttatin	---|--⌫----|----|----|
enso u tournoithieber t	--|-⌫|------|-------⌫|
et sesyyfiexchistar on t mat	-|--|-|---|----|--⌫--⌫|--|
tantostys engrinet sesfiex	------|--⌫-----|-|--|---|
letaisson grimbertquisout iex	-|------|-------|--|----⌫--|
