des criteau ons la	---⌫----|--⌫--|-|
ensensmorigerate sage	-|---|--------||---|
les sa iuesles	--|--⌫---|--|
rel igiou s	---⌫-----⌫|
oir esiure er td esirous	--||----|--⌫|-⌫------|
aceuss ae rde it	|---||--⌫---⌫-|
lesqu els plussa iueses per eit	--|--⌫--|---|--⌫---|--⌫---⌫--|
si ertnis tantpleins de l a degrace	-|--|--|---|-----|-|-⌫|-|----|
ouqiloncfu sten	-||-|--|--⌫-|-|
quelqeplace	-----|----|
q ilpotentendre e	|-|--|-------||
quanq ed essaiuespoto ir	-----⌫|-⌫-|-----|--|-⌫-|
quanqedessaiuespotaprendr e	-----|--|-----|--|-------⌫|
to t p otre te ni r e ente ndre	--⌫|-⌫-|--⌫--⌫--⌫||----⌫---|
erraumentsanzof fension	--------|---|--⌫------|
d edoutene	-⌫|----|-|
d equestio n	-⌫|-------⌫|
eporcoquant	|--|-|----|
tant parsai ueme ntsoicontint	---|--|---⌫----⌫-|--|------|
qentotlu montde	|-|--|-|---|-|
estre troué	----|-----|
nen sensneen	|-|---|-|-|
uer tuznenmou rs	---⌫--||-|---⌫-|
cart antdeuint	--|-⌫--|-----|
saiuesdoc tours	-----|---⌫----|
qeq uanqenenfanceaprisot	-|-⌫---|-|------|----|-|
en uiuesoeu res demostrot	-|----|---⌫--|--------|
quanqeinz debien ot	----|---|-|---|-|
desquan t aageereit	--|----⌫||--|----|
trestotdesp e ndit lar ge ment	------|----⌫-⌫---|---⌫--⌫---|
odgran t usureentote g ent	-|----⌫|----|-|---|-⌫--|
od grantusure di	-|----|----|-|
s ensu ait des pendant	-⌫--|-⌫--|---⌫------|
quant plus	----|---|
despentplusigaaingne	------|---||-------|
carmelzsetcoqepl us ensein g ne	--|---|--|-|-|--⌫-|------⌫-⌫-|
eue ireme n t si com	|--⌫-----⌫-⌫|-|--|
o ncnul uiuantne despe nd it	-⌫-|--|-----|-|-----⌫--⌫-|
plusbeausonter rienaueir	---|---|--|---⌫---|----|
comfis tgreg oiresonaueir	--|---⌫|----⌫---|--|----|
cartantertdouzeaima ble	--|---|--|---||----⌫--|
saiu eens adoctr inee	----⌫|-|-⌫|-----⌫--||
com s e n deu	--||-⌫|--|
meisme abitast	-----|------|
quipar misa	--|---⌫-|-|
b oucheparlast	-⌫----|------|
eu eirement conest pasdoute	|-⌫-------|-||--|--|----|
anuliq u i	|---|-⌫-⌫|
defoi eit goute	-|--|--|----|
qeq ua nqe pa rlui est escri t	-|-⌫--⌫--|--⌫|--|--|-----⌫|
neseitfaitpar	-|---|---|--|
sei nt esperit	---⌫-|------|
saueirqui enpren t cure	-----|--|-|----⌫|---|
qui garde ensasei nteesc riture	--|----|-|-|---⌫--|---⌫-----|
cartant est pleine	--|---|--|-----|
de do uco r	-|--⌫---⌫|
de diuinesauo r	-|-----|----⌫|
qerie nsalmondeneset al	-|---⌫-|-|----|-|--|-|
forsluregne celestial	---|-|----|--------|
ui mesor rezq uele e rtsentente	--⌫--|--⌫--|-⌫---|-⌫-||------|
t antos tq i lparuin t	-⌫-----⌫||-⌫|------⌫|
enfancee rttotepa ssee	------|-⌫-|---|--⌫---|
il fut iamisa le ntree	-|--|-|--|||-⌫----|
totdreitenzenla fourcheure	--|----|--|-|-|---------|
lettreed ela figure	-----||-⌫|-|-----|
l aqueleensendum ein age	-⌫|----|-|--||--⌫--|--|
trouapita gora sli	----|----⌫----⌫|-|
err an t lude streraim ch oisit	---⌫--⌫|-|--⌫---|---|--⌫----|
elusenestredeguerp it	|-|-------|-------⌫-|
carlu sec leprist a	--|-|---⌫-|----||
simist elcie l	-|---|-|---⌫|
lus ec leod to zdeliz	-|-⌫--⌫-|-|--⌫|----|
quitant sontdeceuanz e	--|---|---|-------||
guerp itde trestot son poeir	-----⌫-|-|------|--|----|
si se pristal e ntrin	-|-|----|||-⌫----|
al regnede u del cielen haut	-|----|--⌫|--|---|-|---|
quitoztens cre ist eiane faut	--|--|---|---⌫--||-|-|---|
sonquer afic hotferme me nt	--|---|----⌫--|-----⌫--⌫-|
tantdiscretement	---|-----------|
qetot eustilfermpor pos	-|--|---|-|---|---⌫--|
neporqua nton q orssoitintclos	--------⌫-|--⌫-⌫--|--|---|---|
bi e n lon gement en atenda nt	--⌫-⌫|---⌫-----|-|------⌫-|
q oncn enfistchierene	|--||-|---|-----|-|
ne muénecha ngié	-|---|-|---⌫----|
nedemoineestreencoragié	-|-|----|----|---------|
carue irement	--|--⌫------|
sicomio quit	-|--|-|---|
moi neestre e nsecule rabit	---⌫-|----|-⌫|------⌫|---|
e deuserui r priueement	|--|-----⌫|---------|
mielze sperot qeautreme nt	----|-⌫-----|-|-------⌫-|
portantson	--|---|--|
p orposrespeita	-⌫----|-------|
com cil quimelzfair ees pera	--|--|--|---|----⌫|--⌫---|
porqueqenhabit	--|--||-|----|
peustacom plirson	----|----⌫---|--|
m aisacoq einsiporlo ingnot	-⌫--||-||----|-----⌫-----|
icoqesi squers	--|-|--⌫|----|
esu osla seculere cu re	-|-⌫-|-|-------|--⌫-|
soccreistre tanta d esmesure	----------|---||-⌫-------|
deio reni ordeu ersement	-|--⌫|-|-⌫-|---⌫-------|
sorluie t a ntes pes s ement	--|--||-⌫-⌫-|--⌫---⌫-⌫----|
qestortre nep ot anu l	|-------|-|-⌫-||--⌫|
qil nifust retenude q uer	|-|||---|-----|-|-⌫--|
ouuolentiers	-|---------|
quelqi llu fus t o u uils	----|-⌫|-|---⌫|-⌫|---|
feistlongedem ere	----|----|---⌫--|
unior mourit sispere	-|--|-----|--|---|
comto z fero mquan tdeu u oudra	--|--⌫|----⌫|----⌫|--|-⌫----|
qui uifs emorz ensa meina	--|---||---|-|-|---||
gre goi reil orsrecut	---⌫---⌫-|--⌫--|----|
en tr in ementquanq	--⌫--⌫--⌫----|----|
er i tage comdr eiteir	--⌫-⌫---|--|--⌫--|--|
te rresafiemenzaueir	--⌫---|-------|----|
o ra rgentpierres	-⌫|-⌫----|------|
pr eti oses	--⌫---⌫---|
hom agespecunescoi t ouse s	---⌫---|------|---⌫-⌫----⌫|
rentesnob lescesgranzbaillies	-----|---⌫-----|----|-------|
e meintesa utresseingno ries	|------|-⌫----|-------⌫---|
domlon csereitli	--|---⌫|-----|-|
quitotes lesuousi stn umbrer	--|----|--|-----⌫-|-⌫-----|
q oncdelnumbre	|--|--|-----|
enseit dit	-|---|--|
li serfde lorsquanticouit	-|---|-|---|----|--|--|
enpotfa ire son plaisir	-|--|--⌫--|--|------|
tant os t n eso ipo t pluste nir	----⌫--⌫|-⌫|--⌫|--⌫|---|--⌫--|
qilnem ostrastt ot	|-|-|-⌫------|-⌫-|
co qenso nquert ant	-||-|--⌫|---|-⌫--|
conce lédeuant icele	-----⌫--|-----|----|
carerraument es anzdemoure	--|--------||-⌫--|------|
de l aue irquil ufut remis	-||---⌫-|--|-⌫|--|----|
ab beiessis	--⌫----|--|
enzen later redesezile	--|-|-|---⌫-|-|-----|
pues fi st	---|--⌫-|
la setme enzenlaui le	-|----|--|-|-|--⌫-|
deromeen lenourseintan dre	-|---|-||----|----|--⌫--|
deuapos treb ene ure	--|----⌫--|-⌫---⌫--|
enz en son	--|-|--|
proprepatr emo i ne	-----|----⌫---⌫-⌫-|
ouseiuestit la bitd emoine	-|--|-----||-⌫--|-⌫|----|
secle eschapatot nu	----|------|--|-|
ouain zfut enui zretenu	-|---⌫|--|----⌫|-----|
maisau antq il soirendesi st	---|--⌫--||-|--|-------⌫-|
e tant en i mist	|---|-||---|
delsoenesainzdit esiglises	--|---|-|---|---⌫-|------|
erente sasises	|-----⌫|-----|
qeto z por entso uffis saument	-|--⌫|---⌫--|--⌫-----⌫------|
deuseruirenouree ment	--|-----|-------⌫---|
toteinsiq uan qotdespendit	--|----|-⌫---⌫|-|--------|
salmeodsoncors rendit	|---|-|--|---|-----|
ent rinemen t eldeu seruise	---⌫-------⌫|-|--|------|
en celede uantdite	-|---|--⌫---|---|
f ait e enlacite	-⌫---⌫|-|-|---|
de romel nom dese in tandre	-|--|-|--|-|--⌫--⌫|----|
ensapropreposess ion	-|-|-----|------⌫--|
sugge tadanz hilarion	-----⌫||---|-------|
q uifut sisabesp re merain	-⌫-|--|--|---|-⌫--⌫-----|
e puesadan zmaxi miai n	|---||---⌫|----⌫----⌫|
quiamduif urente sprouez	--|----|-⌫----|-⌫------|
r eligiousseinz es enez	-⌫-------|----||-⌫---|
acesdeusertobeissanz	|--|---|--|--------|
od plusorsautresdeu seruanz	-|------|-----|--|------|
gregoireen ordreenpatie nce	-------|-|----|-|-----⌫--|
de ci pleplein de	--⌫--⌫--|----|-|
comcil qui n	--|--|--||
otautre desir	-|----|----|
fors qua deu	---|-||--|
soul p eus ts eruir	---|-⌫---⌫|-⌫----|
maisueireme ntpue senapres	---|-------⌫-|---⌫|-|----|
q uantd euuot	-⌫---|-⌫-|--|
qeustmairefes	|---|----|--|
iaseit ico qamastmelzest re	-|---|--||----|---|---⌫-|
de cipleobeissant qemestre	--⌫----|--------|-|-----|
maistreest repas	------|---⌫-|--|
ainceisquant deului apel a	------|----|--|--|----⌫|
parlu commun	--|-|-----|
assenteme nt	---------⌫-|
freresumb lement	-----|---⌫-----|
delor almesrecutla cur e	-|--|----|----|-|---⌫|
odconscience seineepure	-|---------|----||---|
siertpar communeeslection	-|--|--|------|--------|
abessacr e z desameison	---|----⌫-⌫|-|-|-----|
q uan tgrego ireere	-⌫---⌫|-----⌫--|--|
abessacrez	---|-----|
siainzcele horefutcelez	-|---|---|---|--|----|
moursn e nuien	----||-⌫|--||
des doncfuten ape rt q enuz	--|---|--|-|---⌫-|-⌫---|
c ar t ant prist a sa chardanter	-⌫-|-⌫--|----||-|---|-----|
p ar u eiller eparieune r	-⌫-|-⌫-----||--|-----⌫|
par estudeeparoreison s	--|-----||--|-------⌫|
par lermes e	--|-----||
parafflic tions	--|------⌫----|
epardiuersautres labors	|--|-----|-----|-----|
sanzcesserde nuzedeiors	---|-----|-|--||-|---|
einsicom la	----|--|-|
aldial oge auant descrit	-|----⌫--|----|------|
qilchaitparuiuedestresce	|-|----|--|---|--------|
uiailles ble s ce	-------|---⌫-⌫-|
celui quila	----|--|-|
grezesche gent	--------|---|
sincopin cleimepro prement	-------|-----|---⌫------|
m aldestrencheisons	-⌫-|--|-----------|
g entenp asmeisons	-⌫--|-|-⌫--------|
defeiblesceetd e uani te	-|--------|-|-⌫|----⌫-|
decestui fut li	-|-----|--|-|
qeipargrant abstinencedur e	--|--|----|---------|---⌫|
qeipartraualzdede smesu re	--|--|------|-|--⌫-----⌫-|
ate inteacoru	---⌫--||----|
qe sestre horenefust	-||----|---|-|---|
plussouentqeliautrefre r e	---|-----|-|-|----|---⌫-⌫|
tantmaz eueinsefeibles	---|--||----||------|
qenon soul pas ne	-|--|---|--|-|
ain ce isnature en	---⌫--⌫-|-----|-|
luif au dreit	--|-⌫--⌫----|
q aforce mourir lesteus t	||----|-----||------⌫|
si plussouentpeune f ust	-|---|-----|--|-|-⌫--|
se n futmoltentre pris	|-⌫|--|---|-----⌫---|
atantesuo slu	----|-|--⌫|-|
se intsab az	--⌫--|---⌫-|
d esseintes	-⌫-|------|
paskessor uenir	-----|---⌫----|
do m mol tsei pristadementir	--⌫|---⌫|--|----||-------|
por q iluoieitnis l es en fa nz	--||-|-----|--|-⌫-|--⌫--⌫-|
meismementc el ior	---------|-⌫-|--|
luicoueneitma nie r	--|-------|--⌫---⌫|
estrehoureo uparforc e	----|----|-⌫|--|----⌫|
s enfusts a chezmoltes m eu	|-|---|-⌫-⌫---|---|--⌫-⌫-|
triste s dolenz	------⌫|-----|
qu ant ape l adanzeleuthere	--⌫--|---⌫-⌫|---|--------|
di spoliteabes	|-⌫------|---|
mo ineer tdesameison	--⌫--|--⌫|-|-|-----|
icisteleuthe re parnom	----|-------⌫-|--|--|
unm ortiadis	-|-⌫--|----|
resu scita	----⌫----|
e po rita ntluamena	|--⌫|---⌫-|-|----|
acelehoure ouec	|---|----|---|
seigregoire	--|-------|
priueeme nt en l oratoire	--------⌫-|-||-------|
req uistpor	---⌫---|--|
qo r astpor	|-⌫-⌫--|--|
l uideuqicelior	-⌫-|--||---|--|
ueausnontre spas ser lu donast	----|--|---⌫----⌫--|-|-----|
qodlese nfanz	|-|--|-⌫----|
maisnedemoura forsbrefment	---|-|------|---|-------|
pu esq is orentensemble ment	--⌫--|-|----|--------⌫---|
a mdui tantcomlor	-⌫---|---|--|--|
qu an tgrego iresliamide	--⌫--⌫|-----⌫---|-|--|-|
tantfortele giersei	---|---||--⌫---|--|
qesiluou si stsan z	-||-|---⌫--⌫-|---⌫|
nulr espi t	--|-⌫----⌫|
ieuner iesqa lendem ei n	-----|---|||-----⌫--⌫|
tantsei se nt it uigro u sesein	---|--|--⌫--⌫-|-----⌫-⌫||---|
b ien lupotfairesanz nul gref	-⌫--|-|--|----|---|--|---|
delma ldeluentrenedel	--|--⌫|--|-----|-|--|
si qilsoi merueil lade sei	-||-|--|-------⌫-|-|--|
commentc opot	------|-⌫|--|
estreeparqei	----||--|--|
q ilnemang otcom il	|-|-|----⌫-|--|-|
dicopl us auant	|--|--⌫-|----|
car ilmeismeasezreconte	--|-|-----|---|------|
aqu eic ele auentureamonte	|--⌫-|-⌫--|-------|-----|
enzel tierz liurerenomé	--|-|----|----|------|
deldialoget ran sla té	--|------|-⌫---⌫---⌫--|
laoupars a raisonesclei re	-|-|--|-⌫|-----|------⌫-|
lesuertuzdel diteleutheire	--|-----|--|--|---------|
c opoetasezchasqunuoier	-⌫|---|---|------|----|
iluoilgetant trauaillier	-|-----|---|----------|
q iloec endreitludeingeq uer re	|----|-|----|-|-----|-⌫---⌫-|
mais i ce ste auant dite	---|-⌫--⌫--|----|---|
l aqueleencont re	-⌫|----|------⌫-|
iase it gra nt	-|--⌫-|---⌫-|
e nnui l u	-⌫---|-⌫|
on cporco ne f ut plusoisdif	--⌫|--|-|-|-⌫-|---|-----|
ainc eiser t tantplus enten tif	----⌫--|--⌫|---|---|-----⌫--|
d orere de	|---||-|
ou d estud ier	-||-----⌫--|
oud escri re	-||-----⌫-|
siq onqes necessanu le	-||----|-|----|--⌫-|
qeifer oieplus ded emore	--|---⌫--|---|-|-⌫----|
der econ ter co mpues u esq it	-|-⌫----⌫--|--⌫|---|-⌫---⌫-|
comn ostresirelurendit	--|-⌫----|---|-|-----|
porson s eruisesa	--|--|-⌫-----|-|
gregoir ee n c eleig lise ain zdi te	-------⌫|-⌫|-⌫--|--⌫---|---⌫|--⌫-|
lonct enstotaresiémaneit	---|-⌫--|--|------|-----|
ou dec ruleum lu pesseit	-|-|-⌫-|---|-|------|
la se i ntesilu iasamere	-|--⌫-⌫--|----⌫-|-|---|
qua nt unioren guise dunfrere	---⌫-|-|--|-|----||-|----|
l uitrouot	-⌫-|-----|
unanglees criuant	-|----|--⌫------|
quibien resemblot pars emblant	--|---|--------|--|-⌫------|
uns oemquifustdemeriet e ́	--|--|--|---|-|--|---⌫-⌫|
de peri ldemort eschapé	-|----⌫|-|---|-------|
lanef d equif us tperillee	-|--|-⌫|--|-⌫--⌫|-------|
par tempestedemerbrisee	--|-------|-|--|-----|
cistitel l uappar eisse it	---|---|-⌫|-----⌫-----⌫-|
laouparcos tumeesc r iueit	-|-|--|---⌫---|---⌫-⌫----|
silu r equi stpordeamor	-|-|-⌫----⌫-|--|-|---|
qeustmercidesa	|---|----|-|-|
pi tousem en t oduoizplorable	--⌫------⌫--⌫|-|---|-------|
grego ireqi futmerciabl e	-----⌫--|-|--|--------⌫|
dou zfrancspitousedebon eire	---⌫|-----|-----||-----⌫---|
tantostsanzdemore r eneir e	------|---|------⌫|-|---⌫|
s isdene rstrestde saumosne re	-⌫-|----⌫-|----|-||-------⌫-|
s iludo not o df ranchechi e re	-⌫|-|--⌫--|-⌫|-⌫-----|---⌫-⌫-|
ecililorsg racesrenda nt	|--|----|-⌫----|-----⌫-|
parti td e luiliezeioant	-----⌫|-⌫|--|---||----|
maisne demoraforsbr ie f ment	---|-|-----|---|--⌫--⌫-⌫---|
quant eisleuostot fresc heme nt	----|--|-|--|--|-----⌫----⌫-|
una utr eioralui uenir	-|-⌫---⌫|--||--|----|
sisepe rneit adementir	-|-|--⌫----||-------|
e s epleinst qe poiot	|-⌫|------|-|--|-|
encontreico	-------|--|
q ot molt perd u	|-|---|----⌫|
egregoireerraumentregiers	|-------|--------|------|
ludon ot sisde	-|---⌫-|--|-|
ses de nie rs	--|--⌫---⌫-|
doucement edequeruer ai	--------||-|---|---⌫-|
el iperilli ésanzd elai	|-⌫|-------⌫-|---|-⌫---|
merc izrendantsenuait	----⌫-|------||-|---|
maisel tierz	---|-|----|
iorestele uou s	--|---|-|---⌫|
totde nou elparde uant	--|-|---⌫-|--|--⌫---|
ple ingnanteplorantaennui	---⌫------||------||----|
eusttotob lié	---|--|--⌫---|
q uanq illuotainces doné	-⌫---|-|-|-|-----|----|
e dist poramo rde beausi re	|---|--|---⌫|-|---|--⌫-|
qui en sonregnelu uosmi re	--|-|--|----|-|--|--⌫-|
salu de uo streemme	---|-|--⌫---|---|
qedeuladefendede blemm e	-|--|-|------|-|-----⌫|
ededamagee de pecchie	|-|-----||-|------|
aiésmercid el perilli é	----|----|-⌫-|-------⌫-|
demamesaise	-|-|------|
e de maperte	|-|-|----|
qu it ant parestduree aperte	--⌫|-⌫--|--|--|---||-----|
aiezp orseintech ar i te	---|-⌫-|-----|--⌫--⌫-⌫-|
compassionepi ete	---------||--⌫--|
se mefai consolatio n	-|-|--|----------⌫|
dequei qese itdeu ostre don	-|---|-|--⌫-|-|-⌫----|--|
dommisdoelssei tasoua giez	--|--|----|---⌫|-----⌫---|
gregoireatants este sb rusc iez	-------|----||--|-⌫--⌫----⌫--|
com oemdechari teespris	--|--|-|-----⌫-|-----|
douzm erc iablee fran csepis	---|-⌫---⌫----||----⌫-||--|
ason chamber lenc lors	|--|-------⌫---|---|
ua tostesis deners	-|---||--|-----|
luiaportesi	--|-----|-|
sire fist s ilio nes ai pas	---|---||-|-||-|-|--|
sid eumesaut	-|-⌫-|-|---|
n or n eargent	|-|-⌫|-----|
tan tdomnegun	---⌫|--|----|
confortement	-----------|
lupeussea ces tehor e f aire	-|-----||---⌫-|---⌫|-⌫---|
lorsfutgregoireengrantaruaire	---|--|-------|-|----|------|
desqua ntsoiuitente l des treit	--|---⌫-|--|--|-|--⌫|---⌫----|
cardunepartpitouser eit	--||--|---|-----|--⌫--|
autre tristeeangoi sso us	----|-----||-----⌫---⌫-|
delpourequiuit	--|----|--|--|
soufreitou s	----------⌫|
edesa destresced eme ine	|-|-|--------|-⌫---⌫--|
neporquantala finaceine	---------||-|--|-----|
regiersson	------|--|
c hamberlenc as oi	-⌫---------||-⌫-|
silud istuato s t	-|-|-⌫--|-|--⌫-⌫|
pa r tafoi	--⌫|-|--|
sicerchep artres totlai enz	-|-----|-⌫-|----⌫--|---⌫--|
h uges almairesues timen ts	-⌫---|-------|---⌫-----⌫-|
si rienspa r auenture itruisse s	-|----|--⌫|-------||-------⌫|
dom lureconforter peusses	--|-|----------|------|
q ilne sena uttriste eplorant	|-|-||-|-⌫-|-----||------|
atantr e sponditlise ru ant	----|-⌫-⌫------|-|--⌫--⌫--|
sir esa chezq edes pieca	---⌫|--⌫---|-⌫|--|----|
enquis aitrestot	-----|-|------|
maisueirement denerne maille	---|--------|----|-|-----|
nitroefsne nule	||-----|-|---|
rien quiu aille	---|--|-⌫----|
nen robenenueisselement	|-|---||-|-----------|
estrelescueledargent	----||------||-----|
auostremaladie	|-----|------|
delegun souentreple nie	-|----|-----|-----⌫--|
u ostramet	-⌫-|-----|
uostr ebon e mere	-----⌫|---⌫|---|
d onc dist gregoire	-⌫--|---|-------|
odbeleher e	-|---|---⌫|
ua donqestost e	-|-----|---||
sila po rte	-||-⌫--⌫--|
alpoure quise desconfo r te	-|----|--|-|--------⌫-⌫-|
qiseit seueausde	|-|--|------|-|
ta n tsolaz	--⌫-⌫|----|
coqilotdit fut	-||-|-|--|--|
il lotcommandé	-||-|--------|
ecil q u i	|--|-⌫-⌫|
ert poure quid é	--|----|----⌫-|
larecut s acuill itsa	-|----||------⌫-|-|
grace srendantodmol tgran tioie	-----⌫|------|-|---⌫|----⌫|---|
maisio quitquantrepeirira	---|-|---|----|--------|
dechefrensmaesne	-|---|---|---|-|
aincei slu	------⌫|-|
