SOIGNORSor escoutezque Désuoss oit	-------|-|-------|--|---|--|-⌫--|
fuSarazinscl ame z	-|-------|--⌫---⌫|
Ne ne tr ouo it	-|-|--⌫---⌫-|
nul homesifustcrestienez	--|---|-|---|---------|
Aquiilnef e ́is t tou zle smanbrescoper	|--|-|-|-⌫-⌫---⌫|---⌫|--⌫|------|----|
Oup and reàhautes f orches	-|-⌫---⌫-|-|-----|-⌫-----|
ardoiroutraïner.	-----|-|-------||
Damedexlamai tantporlasoe bont é	------||---|---|--|-|--|----⌫-|
Que il sefistanfo nzte ni ret	--|-|-|---|-|--⌫-|--⌫--⌫|-|
ASaintDenisan France	|----|----|-|-----|
qu itantfa it àloer.	--⌫|---|--⌫-|-|---||
I cil rois Cloouis fistmoutà redoter.	-⌫--|---|------|---|---|-|------||
Desafrenche	-|-|------|
moillerout.	------|--||
IIII .fiz lib ers	---||--|-|-⌫--|
Ilfittrestoutle néFl oouantap eler	-|--|-------||-⌫--|--⌫-----|--⌫---|
Ace luiconmandaisa te r reetsonreg né	|--⌫--|--------|-|--⌫-⌫-|-|--|---⌫--|
Etqueenprès sam or en fustroisque ron ez.	-|--|------|-|-⌫-|-|---|---|---⌫---⌫-||
Por . I.mesfaitan	--||||------|-|
isima umenez	--|--⌫-----|
de. uI I.anz	-||--⌫||--|
futfors d e	--|---|-⌫|
Franc eiet ez	-----⌫|---⌫-|
iousaonques n euenir neauler	|---|-----|-⌫|----|-|----|
CefuàP anteco usteune festeenesté	-|-|-|-⌫------⌫---|--|----|-|----|
Cloouis fuàParis la cité	------|-|-|----|-|----|
. XIIII.roisi	|----||---||
furent ouec lu icoronez.	-----|---|--⌫|------||
Senec haula	-----⌫---||
l iroism eintenant	-⌫|---|-⌫--------|
.I.ducprozet puisant	|||--|---|-|------|
quideBorg oignee rt nez	--|-|----⌫----|-⌫-|--|
Entreciàuianned ura i sesduchaeez.	------|-|-----|-⌫---⌫|--|-------||
Ditliro is CloouisSenechaul	--|-|--⌫-|------|--------|
ça ̀ue nez.	---⌫|--⌫--||
commantic iFloouant àgarder	------|--⌫|-------|-|-----|
I lestanco reiunesm eschinset	-⌫|--|----⌫-|----|-⌫------|-|
baichilés	---------|
Ets in eset	-|-⌫|-⌫|--|
p asb ie nsesgarneman zporter.	-⌫-|-⌫--⌫|--|--------⌫|-----||
- Sire ditSen echaulàuost re	|---|--|---⌫-----|-|----⌫-|
Bi e niertaprisli anfes	--⌫-⌫|---|----|-|----|
de quan tquemestier e irt .	-|----⌫|--|------|-⌫--||
al i dusmetenantapelé	|-⌫|--|-------|-----|
A sonou te l lemoine tantqu il	|--|--⌫--⌫|-|----|---|-|-|
fu aiornez	-|------|
Que li dux	--|-|--|
ot men giéet béu àplanté.	-|---⌫---|-|---|-|------||
I .uerg ierentraipor	||----⌫--|-----|--|
Olui auoit men é	|--|----|---⌫-|
Floouantporioer	-------|--|---|
Anbeduimeinàma inn	------|---|-|--⌫-||
ioutp lusient mene ́	|--|-⌫--|---|----⌫|
Sorlerbeq ui futuerzse sient lez	--||---|-⌫-|--|---|-|----|--|
Lidux sest endo rmiz q uifu	-|--||--|----⌫---|-⌫-|-|
uiauzetpenez.	----|-|----||
Ilotblainch e la	-|-|-------⌫|-|
b arbeius qu eauneu doubaudré	-⌫---|---⌫--⌫|-|--|--|------|
Seignorsàicetans	-------|-|--|---|
queuo s ic ioez	--|--⌫|--⌫|--|
Adoncestoient tui tl i prodomebarbez	----|-------|---⌫|-⌫|------|-----|
Etl icle rsetli la is	-|-⌫|---⌫-|-|-|--⌫-|
l ip restes	-⌫|-⌫-----|
Et quantilestoi entapar céuz dan bl er	-|----|-|-----⌫--|----⌫----||--⌫--⌫-|
Donque sl i	------⌫|-⌫|
façoitl en lesgren ons	------||-|--|----⌫--|
Ettrestozl esforcon s	-|------|-⌫-|------⌫|
delab arbe	-|-|-⌫---|
Lor ese stoitho ntous honizet uorgondez	---⌫-|-⌫----|--⌫----|----|-|--------|
p ar ousoit entregantzconue rser	-⌫--⌫-----|----|----|-----⌫---|
Et quantilestoitpris	-|----|-|-----|---|
à mort esto itliurez.	-|---|----⌫-|-----||
s edormoit bien soué	-⌫|------|---|----|
Lia nfes Floouanzla	-|-⌫---|-------|||
for mant esgardé	---⌫---|-------|
.I .coutelo ut ou poigqui	|||-----|-⌫-|-|---|--|
mouttre nchoitso ué	---|---⌫-----|--⌫--|
desdusoità unepomeoupré	--------|-|--|---|-|---|
Doucoutel ai	--|-----|-|
labarbeà sonm aitrec opé.	-|----|-|--|-⌫----|-⌫---||
L id uxsi s esuoilai quiotdormi	-⌫|-⌫-|-||-------|--|-|----|
Regardaisesgrenonsq ue cil	-------|--|------|-⌫-|--|
li aicopez	-|-|----|
Etdesabarbeaue ́u tout a utretel	-|-|-|----||--⌫-|---|-⌫------|
Adonqueso tteldoelà po u n estfo rsanne z	-------|-⌫|--|---|-|--⌫||--|--⌫------⌫|
Deuantluia uéu sondam oisel	-----|--||---|--|---⌫----|
Quiancores	--|------|
t en oitso nco utel aceré	-⌫--⌫--|--⌫|--⌫---|-----|
Despoinzli a	--|----|-||
outéliduxp orgrant	----|-|--|-⌫-|----|
Et par .I . soulpetitquine	-|--||||---|----|-||-|
Parmou t g rantmautal antlenaar aisoné	--|---⌫|-⌫---|------⌫--||-||--⌫------|
Damoi sia u debonairesmal m a uez	-----⌫---⌫|---------|--||-⌫--|
Maudites oitorl eureque futes anga ndrez	------|-⌫--|-||---|--|----|----⌫----|
Iemanira auro i	-||-|--|-|--⌫|
uostre pere clamer	-----|---|-----|
Qui uosferailate ste	--|--|----|-|--⌫--|
etlesmanb r escoper.	-|--|----⌫-⌫-|----||
QuantFloouantl	----|-------||
antantsicomm ance	-----|-|----⌫---|
àplo rer.	-|---⌫--||
Mercifait ilbia us maitrespor Deudemaïté	----|---|-|---⌫-|------|--|--|-|------|
Ieuos anferaidr oit à uostreuelont é .	-|--|-|----|--⌫--|-|-----|------⌫-||
A upiezliest chéuzsi	-⌫|---|-|--|-----|-|
comm anceà plurer	----⌫---|-|-----|
Mou tli crie	---⌫|-|---|
mercimasne lapuettrouer .	----|--|-|-|---|-----||
Merc ifaitil	----⌫|---|-|
biausmaitres por	----|------|--|
Deule d roture r	--|-|-⌫------⌫|
Ie uos feraid roiture	-|--|----|-⌫------|
degré etuoluntiers	-|---|-|---------|
Et si uosandonrai.X XX .co ranzd e str ie ́s	-|-|--|-|-----||-⌫-||--⌫---|-⌫-⌫---⌫--⌫-|
Ettrestout	-|-------|
à.IIIc .chiualeirs	-||--|||---------|
Etde . Xu. c he tiaus	-|-||-||-⌫--⌫----|
uosancroitrai uosfiers.	--|-|-------|--|----||
Etrespondilidu xDefo lieplaidiez	-|-------|-|--⌫|-|--⌫--|-------|
orandroi t uostrepe re nonc i er	--------⌫|-----|--⌫-|----⌫-⌫-|
Q uiu os ferai ocireet lesmanbrest rainchier.	-⌫-|-⌫-|----|----|-|--|------|-⌫--------||
a ntnesttor nezne pr itàluicongié	-⌫--|--|---⌫--|-|--⌫-|-|--|------|
Doumant aidesaminenuelopesonchief	--|----⌫-|-|----|-------|--|----|
Ete stuenuzaur oiqui	-|-⌫-|----|-|-⌫-|--|
Fr anceotà ba iller.	--⌫---|-|-|--⌫----||
LI dus sanesttornez	-|--||-|--|-----|
quilecor ot iré	--|-|--|-|---|
D oum a ntaidesaminson chi ef enu elopé	-⌫-|-⌫-⌫---|-|----|--|---⌫-|---⌫-----|
Entr esioupalai sne	----⌫--|-|-----⌫|-|
sestmieareste z .	|--|--|------⌫||
Etlirois C loouisiertd edor mirliuez	-|-|---|-⌫-----|---|-⌫|---⌫--|----|
Et auloitoïr messeaumoutier saint	-|-----|---|----|-|------|----|
Où quesli dusl e uoitau piez lie st	--|---|-|--|-⌫|---|-|---|-|-⌫-|
li ab ai s ié laiam be et	-||-⌫--⌫-⌫--|-|---⌫-|-|
P ui sdescoure son chief	-⌫--⌫|-------|--|----|
siliatout mostré.	-|-||---|------||
roi s l eui t silia	---⌫|-⌫|--⌫|-|-||
Siredusd ebonnairesquiuos a	---|--|-⌫---------|--|--||
-Enlamoiefoi sir euo stre f i z li	|-|-|---|--|---⌫|--⌫---|-⌫-⌫|-|
Q uemauïésbai llei	-⌫-||------|---⌫---|
i ermatinàgard er	-⌫-|----|-|----⌫-|
E tpar .I.soulpetit queiene	-⌫|--||||---|----|--|-|-|
Qua nt li rois	---⌫-|-|---|
lentendiàp ou n estforsene ́.	|------|-|-⌫-||--|-------⌫||
cheualiersali	---------||-|
roisapele z	---|-----⌫|
Siloracommandé Aulezn	-|--||--------|----||
Icip ordeuantmoiFl o ouantmamen ez	--|-⌫-------|--|--⌫-⌫----||----⌫-|
Queparicelapostrecon quie r	--|--|---|------||-|----⌫|
an No iron	-|--⌫---|
Ieleferai detr areoules	-|-|----|----⌫--|-|--|
manbr es coper	-----⌫-|----|
grant io stise con l	----|--⌫----|--||
enserapanser.	-|---|-----||
Etcilsans ont	-|--||-|-⌫--|
tornez tant ot san dem orer	-----|----⌫-|--|---⌫---|
Quin el osent leroide sdirene uaer.	--|-⌫||----|-|--|--⌫----|-|---||
Pardeuant lui l iontFl oouan	--------|--|-⌫|--|--⌫----|
Ta ntotafait liroiss esp ée demander	--⌫---||---|-|---||---⌫--|-------|
Quant les ot laroiine ner ci li	----|-|-⌫-|-|-----|---⌫-|-|
Lepiéliab ais ié	-|---|-||-⌫---⌫--|
laianbe et le	-|----|-|-|
Sespéeli aporte	|-----|-|-----|
le chanbell a nz	-|--------⌫-⌫-|
roisl aisaisi eoùi l no queirer	---||-|-----⌫|--|-⌫|||--|---|
Douf orrea traitforst	--|-⌫---||----|----|
lebrancforbi	-|----|----|
A Floouuants on filenuout le chief	|--------|-⌫-|--|-|---|-|----|
Maslafran che	--|-|----⌫--|
roïneprist	-----|----|
le roipor lepié	-|--|--|-|---|
Deu ostrefizbaus i reprengneuosan pitié	-|-⌫----|--|--|-⌫-⌫-|------|--|-|-----|
-D amece di tli rois ieuo s an	|-⌫--|-|--⌫|-|---|-|--⌫|-|
Soren droitne forgurema terreettot mon fie r	|----⌫----|-|------|-|----|-|--|--|---⌫|
Entreciet .uII. an zmar im etrai	------|-||--||--⌫|--||-⌫----|
- Siremoult	|---|----|
uoluntersFloouam	--------|------|
re spondié.	--⌫-------||
L essainzli aporte rentniotp lusatargié	-⌫-|----|-|------⌫---|||-|-⌫--|-------|
EtFloouamiura	-|------|---|
quant sest agenoilliez	----||--|----------|
Que iln an t reraimaisenFranc elerenier	--|-||--⌫-⌫----|---|-|-----⌫|-|-----|
.an zsi lailirois iuré	|--⌫|-||-|-|---|----|
Ne na nma nraolui sergantnecheualier.	-||-⌫---⌫--||--|------|-|--------||
A doncafait liroiset	-⌫---||---|-|---|-|
cr ierethuch ie r	--⌫--|-|----⌫--⌫|
A toz ce s quideluitienentterr e ne fier	|--|--⌫|--|-|--|------|----⌫|-|---|
don as e ntne argantneo r mier	---⌫--⌫-⌫-|-|-----|-|-⌫-⌫---|
Ne armes neche uausnun soul	-|----|-|---⌫---||-|---|
ioràma ngie r	--|-|--⌫----⌫|
Etsi i llefaçoientian	-|-|-⌫|-|--------|-||
i uaud roitprier	|----⌫---|----|
Que iln eperd esant l orterr eset lor fiers	--|-|-⌫|----⌫----|-⌫-|----⌫-|-|--|----|
E tsiloren	-⌫|-|--|-|
feroit tozlesmanbre s troinchier.	-----|--|--|------⌫|---------||
At ant s an esttornez	--⌫--||-|--|-----|
Floouantoz ire z	------|--|---⌫|
onquesne prista ̀nul home con gié	-----|-|----|-⌫|--|---|---⌫---|
Nois à sachieremerequi plu s	---|-|-|-----|---|--|---⌫|
letenoitchi er	-|-----|---⌫-|
Queellenefaçoit sonso ignor d roiturier .	--|---|-|------|--|--⌫----|-⌫--------||
Chiéssonostes anu intqui	-----|--|---||-|-⌫--|--|
mo ultf itàprisi er	--⌫--|-⌫-|-|-----⌫-|
Oùsesoloit souantric hema ntabe rgier	--|-|-----|-----|---⌫----⌫-|---⌫----|
Ga ntis bor goisestoitetde paraigesf iers .	--⌫---|---⌫---|-----|-|-|-------|-⌫---||
Floouamsilan	------|-||-|
a imoulttrèsbien	-⌫|----|----|---|
Egantis out essires	|-----|---⌫-|----|
uosarmesmebailiez	--|----|-|------|
Ieuo san seruiraide gr e ́ et	-|--⌫|-|-------|-|--⌫-⌫|-|
uolenti ers .	-------⌫--||
Cer tes ian	---⌫--|-||
iperdro i sualesant.I.denier	|------⌫-⌫|-------||||-----|
Q uà.C.doubles	-⌫|-||||------|
neradeanc or esu oluntiers	-|---|---⌫--⌫-|-⌫--------|
SeDex melaise anc ores	-|--|-|----|---⌫---|
anFrance repairer.	-|-----|-------||
-Sir e moult uolentierslioutes res po nder .	|---⌫|----|---------|-|----|---⌫--⌫---||
lou aub erpuis	--|---⌫-|---|
alelmelacié	||---|-----|
Et puislici n tlespéeaupoin	-|---|-|--⌫-⌫||-----|-|---|
d ora ntailie ́	|-|-⌫-------⌫|
Auc ol li a	-|-⌫-|-||
pandu. I. es cude ca r tier	----||||--⌫-|-|--⌫-⌫---|
prèsli a. I. roitespié	----|-|||||---|-----|
ba il ie ́.	--⌫--⌫--⌫||
Puismontaioucheua l	---|-----|-|-----⌫|
lestri é.	|-----⌫-||
Etqu ant ilfu	-|--⌫--|-|-|
m ontezsiai prislocongié	-⌫----|-|-|---|-|------|
Etpuisla icommandéà	-|---||-⌫|--------|-|
Deu ledroiturier	--|-|---------|
Qu i desfande sonc ors	-||-------|--|-⌫--|
de honteetd anconbrier	-|----|-||---------|
est issus neseuostat argier	--|----|-|-|---|--⌫-----|
Damed exlou conduepor	-----⌫-|--|-----|--|
la suepiti é	-|--|----⌫-|
Ca rainçoisquisoit uespresser aiil	--⌫|-------|-||---|------|---⌫-|-|
cor rociez.	---⌫-----||
Atant es u osu enirRichierson	----|-|-⌫-|-⌫---|------|--|
De riuiere estuenuzou ̀ i lfu	-|------|--|----|--⌫|-⌫|-|
Quanto ïla n ouellemoultpa rfucorr ociez.	----|-⌫-|-|-⌫-----|----|--⌫|-|----⌫----||
Deson i unesoig norquisia	-|--|-⌫--|----⌫--|--|-||
pr is co ngie ́	--⌫-|--⌫----⌫|
Quepar celeauanture	--|--|---|-------|
comlen lia no ncié	--||-|-||--⌫----|
Es t Flooua nssessiresf ors d ou raine chaçiez.	--⌫|------⌫-|--|----|-⌫--|-⌫-|----|-------||
m eintenant en. I. corantde strié	-⌫--------|-||||-----|--⌫-----|
Damedeulepere droiturie r	------|-|---|---------⌫|
Que il ne lais erai	--|-|-|----⌫---|
porn ulhomesorciel	--|-⌫-|---|--|---|
Quaprè sson seignor naileFloo uant	-|-----⌫|--|------||---|----⌫---|
leprisié.	-|------||
Ensonpoiga sa isi. I.	-|--|---||--⌫--||||
grant pel agui si é .	----|--|----⌫--⌫-||
Qu antlamereleuit Floouant	--⌫--|-|---|-|--|-------|
lou gerrer	--|-----|
Richierena pelaisilehaesrai nié	------|-|-⌫----|-|-|-|-----⌫---|
Saisilou por la reneetpuis por	----|--|--|-|---|-|---|--|
Et sili abaisié	-|-|-||------|
les esperonsdespiez.	--|-------|--|---||
Me rcif aitilba u ssire	--⌫--|-⌫--|-|--⌫-⌫|---|
porDeu loudroiturier	--|--|--|---------|
fi z uos prangnee tmarci	--⌫|--|------|-⌫|----|
-Damec edi tRichier	|---|-⌫|--⌫|------|
pornéant enplaidiez	--|-----|-|-------|
Certes n elif audroiepor	-----|-⌫|-|-⌫------|--|
lesman brestr enchier.	--|---⌫---|--⌫------||
a n esttornez li	-⌫|--|-----|-|
gan t isescuier	---⌫-⌫-|------|
Quantilà la roïneanaiprisle	----|-|-|-|-----|-|-|---|-|
Etele lecommandeaug lorious	-|--|-|-------|-|-⌫------|
Quisonc ors	--|--|-⌫--|
li de sfandedemortet d	-|--⌫-----|-|---|-||
anconbrier	---------|
Etqu ilp ui tà sonfil s ainzet sauf	-|-|-|-⌫--⌫|-|--|--|-⌫---|-|---|
repairier.	--------||
Atantsanesttor nezsor .I .	----||-|--|---⌫--|--||||
coran tdestri e ́	-----⌫|------⌫-⌫|
dela uileneseuoutatargier	-|-|---|-|-|---|-------|
Et cheuaucha iaprès Floou antle prisi é.	-|---------⌫|-----|-----⌫--|-|-----⌫-||
F LOOuANT sanisidelater re	-⌫------||-|--|-|-|---⌫-|
d eF r ance.	-⌫|-⌫-⌫---||
Chaalonstrespasaiqu isiet enlaCha mpene	-------|--------|--⌫|---|-|-|---⌫----|
Etlechaitel	-|-|------|
dAng lersetenArdennean	|---⌫---|-|-|------|-|
Recla imeDamedeuenqui ila	-----⌫--|------|-|--|-||
Ai nçoisque ilsoit uespr esaraaucourpesance.	--⌫-----|--|-|---|-----⌫-|--|-|---|------||
corrociezremest li	--------|-----|-|
roisdeFrance.	---|-|-----||
ROISCloouisremest cor roce usetire ́	---|------|-----|---⌫----⌫-|-|---⌫|
T ots onbarnaigea n a	-⌫-|-⌫-|-------|-⌫||
metena ntapelé .	------⌫-|-----||
Seignors ce ditliroismaul eantsuimienez	-------|-|--|-|---|----⌫---|--|-----|
Floou a ns me sfizmai	-----⌫-⌫-|--⌫|--||-|
ho ni etuergondé	--⌫-|-|--------|
Qui Sen echaulmond ru	--|---⌫-----|--|-⌫-|
aisiuorgondé.	---|--------||
Ie n anousa ipas faire la ioutiseà mon	-||-|----⌫|--|----|-|------|-|--|
Monuoloiriléutlechiefdoubur	--|-----|-|---|-|----|--|--|
Ma s liclergie gan silou mai	--⌫|-|------|--|-|--||-|
Quimeditrent tr estuit quesaroie apele z	--|-|------|--⌫-----|--|-----|-----⌫|
Mortriséorsma u uaisdece caian gandré.	-----------|--⌫-⌫---|-|-||-|--⌫------||
Etquant iene	-|----|-|-|
puisfai redelumauolunté	---|---⌫-|-|-|-|-------|
Mou lt t ot me f aitesci.I. rasouraporter	---⌫-|-⌫-|-|-⌫----|-||||-----|------|
Si feraiorandr oitd ema barbeautreté.	-|----|------⌫--|-⌫|-|----|-------||
Etenliaportai	-|-|-|------|
quant ill ot	----|-||-|
Si annaise s	-|--|-|--⌫|
gr eno slirich esroiscoper	--⌫---⌫|-|----⌫-|---|----|
Soule mantpor	-----⌫---|--|
leducquisi	-|--|--|-|
e statornez	-⌫-|------|
Ettrestuit li baron	-|-------|-|----|
refirent a utretel	-------|-⌫------|
Cicommancechançon	-|-------|-------|
quila uo st esc outer	--|-|--⌫-|---⌫----|
ComFloouanslipr ouzcomma n çaià	--|-------|-|--⌫--|-----⌫-⌫---|-|
Etdestrèsgrandes	-|--|----|------|
poines qui	-----|-||
li co uitpaser	-|--⌫--|----|
Ainçois qu eil	-------|--⌫|-|
péut anFr ancer etorner .	----|-|--⌫---|-⌫------||
F LOO uANSsen isi deFrancelagarnie	-⌫---⌫---||-|--|-|-----|-|-----|
Sones cua ̀son colto	--|--⌫-|-⌫|--|--|-|
sussan comp aignie.	--|--|----⌫-----||
Reclam aiDamede u lefiz sainteMair ie	------⌫-|------⌫|-|--|-----|----⌫-|
Ahibaus sir eDex co mi estoie	--|---|---⌫|--|--⌫||-----|
ierriche s	--|-----⌫|
a uoitsifortroi iusq uanterred Egite	-⌫---|-|---|--|----⌫|-|----||----|
Qu e seilmemandastorguelnefe lenie	--⌫|-|-|-|------|-----|-|--⌫----|
Quea ̀ plene bat aillemoult	--|-⌫|----|---⌫----|----|
bienn el atandise	---|-⌫||-------|
XL .milomesas espées f orbies	-||--|---|-|------|-⌫-----|
Etoraitotp ord upor	-|-|-|--|-⌫---⌫|--|
g ran tlecherie .	-⌫---⌫|-------||
Si re Dex ienesai	--⌫-|--|-|-|--|
terremeguie	----|-|---|
g ari r por machiu alerie.	-⌫---⌫|--|-|----⌫-----||
Pui sdit antres esdanz Or	---⌫|--|----|-⌫-|---|-|
aiie ditfolie	-|-|--|----|
Porsaint DenisdeFrancei ai	--|----|----|-|-----||-|
pansé coardise .	-----|-------||
Senus franshonsmooit	-|--|----|---||---|
o restelchose di re	-⌫--|--|----|--⌫-|
Nemepriseroitmès ànuliorde	-|-|--------|---|-|--|--|-|
ai cheualierdecianTabarie	-|--------|-|-|-|------|
bie nl a tenoiedem e spé eforbi e	---⌫||-⌫-----|-||-⌫----⌫|-----⌫|
Queandouepartiestrestotneporfandise .	--|-|---|------|------|-|---------||
Dou roiFlore	--|--|----|
d A u saai	|-⌫-⌫-|-|
la noue leoïe	-|----⌫-|---|
Qui proz estet	--|---|--|-|
uail anz e tde g rantseignerie	----⌫--|-⌫|-|-⌫---|--------|
Que Sarazinsguerr oientporlorloiquaguerp ie	--|-------|-----⌫----|--|--|--|-||-----⌫-|
Seainçois	-|-------|
iu enoiequ acor dan cean fut prise	|-⌫----|-|----⌫---⌫-|-|--|----|
Gi fairroie .M. cou s	||-------||||---⌫|
dem espe ́eforbie.	-||----⌫-|-----||
A ice lle par oleasauoieacollie	|---⌫--|---⌫--||-|---|------|
Paseuau setmo ntaig nesmai nte lande	---|---⌫|-|--⌫-----⌫--|---⌫--|----|
Regard edeuant	------⌫|-----|
lui des orzunes apine	--|---⌫--|--|-⌫----|
Seu itunepucelle queS arrazinsangui ent.	-|-⌫-|--|------|--|-⌫-------|-----⌫--||
Aus espéesdesplazmultfo rmantlamaitrient	--|------|--|---|---|--⌫----|-|--------|
Et e llecr i eethueet ploreetse	-|-⌫--|--⌫-⌫|-|--|-|----|-|-|
Quelibois a nson ne	--|-|---|-⌫|---⌫-|
t ot àune bondie.	-⌫-|-|--|-----||
QuantFloouansl	----|-------||
entant quecestfammequi cr i e	-----|--||--|----|--|--⌫-⌫|
sar e st ai adonc	|--⌫-⌫--⌫-|----|
sarenetire	-|---|---|
ReclaimeDamedeuqui tot aenbailie	-------|------|--|--||-|-----|
Ahibiaurois	--|---|---|
degloireie nesai que ie	-|-----|-|-|--|--|-|
Laiuoi.III	--|--||--|
p lainsd e	-⌫----|-⌫|
gr an tfel enie	--⌫--⌫|---⌫---|
Une puceletienetq u e	--|-----|-----|-⌫-⌫|
moulton tenuaïe	----|--⌫|------|
Se iememot	-|-|-|--|
antreausieferaigran t folie	----|--|-|----|----⌫|----|
Pordu ai moncheual	----|-|--|-----|
et dot edemauie .	-|---⌫|-|-|--||
Puisdite ntre ses	---|--|-⌫---|--|
danzOraiditcouardise	---|-|-|--|--------|
Onquesh omsde ma	-----|-⌫--|-|-|
ieste ne pan saifelen ie.	----|-|---⌫--|-----⌫-||
Iene lairoi e pa spor tot lorde	-|-|------⌫|--⌫|--|--||-|-|
NeChalonslapucell eetantreausne megui e	-|------|-|------⌫|-|----|--|-|-|---⌫|
A ice leparole	|---⌫-|-----|
a i laa ntebrand ie	-⌫|-|-⌫--|-----⌫-|
Et broiche le che ualetm oultformant s	-|------|-|---⌫--|-|-⌫---|------||
Seignors lais iezlad ame	-------|----⌫--|-|-⌫--|
a n manroizmie .	-⌫-⌫------|--||
Bienuo iqueuosl	---|--⌫|--|--||
auezenblée	---|------|
Quantli Sarazinsl oentc hac unsen	----|-|-------||---|-⌫---⌫--|-|
aigrantire	-|----|--|
Il broichen t le scheuau ssiontle s a rmes	-|--------⌫|--⌫|------⌫|-|--|--⌫|-⌫---|
uersFloo uantsen u i enen tcha cunspor	---|----⌫---||-|-⌫-⌫----⌫|---⌫---|--|
Floouansenfier t.I	-------|-|----⌫|||
targeflor ie	----|----⌫-|
Desozlaboucleàor li	----|-|-----|-|-|-|
afraite et	|-----|-|
Etl a ubert desondo slider ontet	-||-⌫----|-|--|--⌫|-|---⌫--|-|
limitla lancequiquanplort	-|--|-|----|--|-|-|----|
Tantso ue ́labaitmorq uine	---|--⌫--⌫||----|--|-⌫||-|
braitnene crie	----|-|-|---|
Puisaitr ait e l espée ou	---|-|--⌫---⌫||-----|-|
liors reflanbie	-|--|--------|
Etu aireferirl autre s or	-|-⌫-|------||----|-⌫-|
Quen eliuautlacoifeu ailesantunealie	--|-⌫|-|---|-|----|-⌫-------|--|---|
Lebranclifa itc olerd ecianla	-|----|-|--⌫-|-⌫---|-⌫|-|-|-|
poitrine .	-------||
Li t ie rss enu ai	-|-⌫--⌫-||-|-⌫-|
fuan t quantuit les . II. ocire .	----⌫|----|--|--||-||----||
Lapuceleot paourc otuéule	-|-----|-|----||-|---|-|
FloouanslidemandeQuiestu	-------|-|------|--|-|-|
- Sireditlapucelle ieuossarai bien	|---|--|-|------|-|--|----|---|
Filesu i sler oiFlore qui	---|--⌫-⌫|-|-⌫-|----|--|
tintArden oisquit e	---|-----⌫--|----⌫|
A usaiset Loherei neBauuia ire et Osteri che .	-⌫----|-|-------⌫-|------⌫--|-|------⌫--||
Sarazinsleguerroi ent p orlorloi	-------|-|-------⌫--|-⌫-|--|--|
qua guerpie	-||------|
. IIII. felo n spai ensen. I .rec ot	|---||----⌫-⌫|---⌫--|-||||---⌫-|
mepritrent	-|-------|
eschapaià	-------|-|
loraberger ie.	--|-------⌫-||
. IIIl.iorsaifoï	|---||---|-|---|
pormicest e gaudine	----|----⌫|------|
C esSarazinstro uaique	-⌫-|-------|---⌫--|--|
lic orsDexma ud ie	-|-⌫--|--|--⌫--⌫-|
Senefust Deuetuos ia	-|-|---|--|-|--|-|
méussentonie .	|-------|---||
a nportezsirequant masg a rie.	-⌫------|---|----||-|-⌫-⌫--||
