a nnaschayfasetsimyneetdadannietgamaliel	-⌫---|------|-|-----|-|------|-|-------|
tou s s eus elp retroiresi	---⌫|-⌫--|-|-⌫-------|-|
a pe la ihesum.	-⌫--⌫-|-----||
tu ies rois desiuus	-|--|---|--|---|
ihesusre spondidis tucou	-----|--⌫-----|--|-|--|
de toi meisme	-|--|-----|
ul i autrelet on t	|-⌫|----|-||--⌫|
suiie dont iuis	--|-|---|---|
dist pylate.	---|-----||
ta ge nsetlipr estredelalo i t o nt	-|--⌫-|-|-|--⌫----|-|-|--⌫||-⌫-|
li ur éamoi.	--⌫--⌫-||--||
que leuras t umesfait	--|---|-|-⌫|------|
respondiihesustudiskeiesui rois .	-------|-----|-|--|-|-|--|---||
etporcouuoelioutoutcilki	-|--|--|---|--|---|--|-|
sont de uerite kil oentma	---|-|-----||-|---|-|
ke estuer ites	-|--|---⌫---|
distpy la tes.	---|--⌫--⌫--||
uerit esest	-----⌫-|--|
descen duedouci el distihesus.	------⌫--|--|--⌫-|---|-----||
ueri te kiatoi	----⌫-|-||--|
es g ardés comment	--⌫-⌫-----|------|
ciliugentlaueriteki	--|-----|-|-----|-|
p oestes ont enterre .	-⌫-----|--|-|----||
doncsenissipylate	---||-|---|-----|
forsdoupretoire	---|--|-------|
etlaissaihesumlai ens siuint a siuus silor	-|-----|-----|---⌫--|-|---|-⌫|---|-|--|
dist k il netro uoiten	---||-|-|---⌫---|-|
luiocoisonpar coi il deustmorir	--|------|--|--|-|----|----|
s i a disent li iuifnous	-⌫||-----|-|---|---|
te prions comm e	-|-----|----⌫|
a seignorcar ildist kil pooitdestruire	|------|--|-|---||-|----|--------|
le templeetdeden s	-|-----|-|-----⌫|
tro isiorslepooitrefa ire.	---⌫-|---|-|----|----⌫--||
quarante sisansmist on a ufa ire	-------|--|--|---|-|-⌫|--⌫--|
iorslerefer oit	---|-|-----⌫--|
-uou sue é s	|---⌫|--⌫--⌫|
biend i st	---|-⌫-⌫-|
pylatekensam ort n ai	-----||-|-|-⌫--||-|
liiuif respondire ntsamors etsessans soi t	-|---|----------⌫-|-|---|-|--|---|---⌫|
sornou set sorn o senf ans	--|---⌫|-|--|-⌫-⌫|---⌫--|
etpy lateap iela	-|--⌫---|--⌫---|
lesprin cesetle sseignors e tlesprestresetles	--|----⌫--|-|--⌫|-------|-⌫|--|-------|-|--|
diakene sdela loiet s ilordistseignor ne	-------⌫|-|-|--|-|-⌫|--|---|------|-|
faitesm ie ensi .	-----|-⌫-|---||
uousn acusés miecesthomed ecos e	---||------|--|---|---|-⌫|---⌫|
decoi onle doiue ocirrene	-|--|-|-|----|-----|-|
delcurement de smala desnedeluiolement	--|-------|--⌫|----⌫--|-|--|--------|
delsa bbat .	--|--⌫---||
a mesparléenuersde u	|--------|-----|--⌫|
et kiamesparléenuersdeulen	-|-||--------|-----|--|--|
led oito c irre.	-|-⌫--|-⌫-⌫---||
dontcom mandaliprouo s ai ssi rlesiuus	---|---⌫----|-|-----⌫||-⌫---⌫|--|---|
forsdo up retoiresiapela ih esumsi lidistke	---|--⌫|-⌫------|-|----|--⌫---|-|-|---|-|
fer ai iou	---⌫-|--|
- sicomtudo is	|-|--|-|--⌫-|
di stihesus	--⌫-|-----|
moyses etli autre	-----|-|-|----|
prophetedeu inerent	-------|---⌫------|
demamo rtetde ma	-|-|--⌫-|-|-|-|
resurrectio n.	-----------⌫||
disent liiui f uelst u oirgre gnor	-----|-|---⌫|---|-⌫|--|---⌫---|
mesparlement	-----------|
et pylates lordis tse	-|------|--|---⌫|-|
uo usditesk	--⌫-|----||
ilait mesparlépre nésleet	-|--|--------|---⌫---|-|-|
s i le menésauostresynag oge etsile	-⌫|-|-----||-----|-----⌫--|-|-|-|
iugie ́s seloncuostre lo i.	-----⌫-|-----|-----|--⌫||
liiufrespondirentki uersdeu	-|--|-----------|-|---|--|
mespale il doites tre l apidés.	------|-|---|--⌫--|-⌫------||
uol ons kilso it	---⌫--||-|--⌫-|
crucefiiez.	---------||
- cenest pre u dist	|-||--|---⌫|---|
i lreg ar de ue rs lage nt si	-⌫|---⌫--⌫-|--⌫-|-|--⌫-|-|
enuitmol tplorer por lui .	-|--|---⌫|-----|--|--||
moltlorpesoit k il	---|--|-----||-|
leueoientsifaitementmen er	-|------|-|--------|---⌫-|
silordistpo r coi	-|--|---|--⌫|--|
morra cist	----|---|
et liiuifsidisent porcoumorra	-|-|---|-|-----|--|--|----|
ilsefaitdeu	-|-|---|--|
ets i dist ke il estoitd exet rois.	-|-⌫|---|-|-|-----|-⌫-|-|---||
nich odemusuns	----⌫-----|--|
iuiskiestoitdeuan t	---|-|-----|-----⌫|
leprouostsi d istparton commandement uoeliedire	-|------|-|-⌫--|--|--|-----------|---|-|---|
u ne pa role.	-⌫-|--⌫---||
ke t uuelsdi stli prouos.	-|-⌫|---|--⌫-|-|-----||
nicodemussi	--------|-|
dist iedemandai as iuusseignors etas	---|-|-------|-|---|-------|-|-|
prestres eta s	-------|-|-⌫|
diakenesdelaloi	-------|-|-|--|
et ato utlepu epledelasynag oge	-||--⌫-|-|--⌫---|-|-|-----⌫--|
keil demandoie ntacest home kitant	-|-|---------⌫-||---|---|-|---|
fais oitde	----⌫--|-|
sign eset deglo ri e u smiracle s	----⌫-|-|-|---⌫--⌫-⌫-⌫|-------⌫|
ett eu s ke	-|-⌫--⌫|-|
nu snefaisoi tsi	--⌫|-|------⌫|-|
priailorki lleleaissent etnelifeisse nt	----|--||-⌫|-|--------|-|-|-|------⌫-|
s ilestoitdex sesenseigne sdeuoientbien	|-|-----|--|--|--------⌫|-------|---|
s ilestoit hom	|-|-----|--|
laissasse ntlempais.	---------⌫-||-|---||
etnauoitm oyses	-||----|-⌫----|
sesens ei g ne sdedeukil f istenegy pte	--|---⌫--⌫-⌫--⌫|-|--||-|-⌫--|-|---⌫--|
d euantpharaonle roi	-⌫----|------|-|--|
etiamneetmanbresfire nte nseignesautr esi	-|----|-|------|----⌫-|-⌫-------|----⌫--|
maisl orensei gne snepo rent	---|-⌫-|-----⌫---⌫|-|--⌫---|
miedurer ca reles nestroientmie dedeu.	--|----|--⌫|---||--------|--|-|--||
s il est de xlais si é s leempais	|-|--|--⌫|----⌫--⌫--⌫|-|-|---|
ilne doit p asmo r ir .	-|-|---|-⌫-|--⌫-⌫-||
quan tnicodemusotdi te celepar ole	----⌫|--------|-|--⌫-|---|---⌫--|
fontliiuif .	---|-|---||
se sdesciples	--⌫|--------|
tuparolesporlu i.	-|------|--|--⌫||
-seignordist nicodemus l iprouosparolepor	|------|---|--------|-⌫|-----|-----|--|
lu i etsin	--⌫|-|-||
estmie ses disciple s.	--|--|--|--------⌫||
-setuie sdisciple s tu	|-|-|--⌫|--------⌫|-|
aiespartenlui	---|---|-|--|
distnicodemusamen	---|--------|---|
apresseleuaun siuis	----|-|---|--⌫|---|
leprouostk il	-|------||-|
lilaissastd ireunepa role.	-|-------|-⌫--|--|--⌫---||
ditostdistliprouos.	-|---|---|-|-----||
trent e uitan s	-----⌫|--|--⌫|
ilkei ouai ieuenmon liten	-|-|-⌫-|-|--|-|--|--|-|
peril d emortetengrant	----|-⌫|---|-|-|----|
doleurquant il o tgari moltdelangerous.	-----|----|-|-⌫|---|---|-|--------||
portésdeuantihesum etilmeuit siot	------|-----|-----|-|-|-|--|-|-|
mer chid e	---⌫--|-⌫|
ilmed istlieuesuspr entton	-|-|-⌫--|----|--|--⌫--|--|
litsi ten ua.	--|-||-|-||
ieme leuai s us isnielemen tetm onlit en	-|-|----|-⌫-|----------⌫|-|-⌫-|--|-|
p ortaisim enalai.	-⌫----|-||-|---||
disent liiuif a luique lio r fua dont	-----|-|---||--|---⌫|--⌫|-|-⌫---|
cilre spo ndisab bat.	--|--⌫---⌫--|---⌫--||
uou s disonsbie nfontliiuifkil ne	---⌫|-----|---⌫|---|-|---||-|-|
wardoitmie lesabat.	------|--|-|----||
unsautrei uissaut sus.	--|----|-⌫--|---|--||
iegiso ied is tilempre s uneuoie si ne	-|----⌫-|-⌫--⌫|-|-----⌫|--|---|-|-|
ueoie goute.	----|----||
ihesuspassa	-----|----|
sili priaimer ci .	-|-|----|---⌫-||
i lmists a	-⌫|---|-⌫|
mainsor m es ielx.	---|--|-⌫-|---||
ieuilorsbien et	-|-|---|---|-|
cler si com u osueez.	---|-|--|-⌫-|---||
apresparla unsautressi distieestoie deb risiez	----|----|--|-----|-|---|-|-----|---⌫-----|
ettous bocus	-|---|----|
il me f istdroital e r .	-|-|-⌫--|----|--⌫-⌫||
apresdistunsautre s	----|---|--|-----⌫|
ie est oie mesiaux	-|---⌫--|------|
il megar i	-|-|---⌫|
ap ressai ll is us une femeet dis ti e	--⌫--|---⌫--⌫|-⌫-|--|---|-|---⌫|-⌫|
estoiemal adeetlef uiyyans	-----|---⌫--|-|-|-⌫-|-|--|
me g a rie n uneeure .	-|-⌫-⌫-|-⌫|--|---||
etmaint a ut r eleuerents uski	-|----|-⌫--⌫-⌫|-------|-⌫-|-|
tuit crioientque ihe sus estoitura isprophet es.	---|-------|--|---⌫--|-----|---⌫-|-------⌫-||
neissorlesdiablesauoitil	---|--|--|------|----|-|
poestema islimai stresnepuetauoir	-----|--⌫-|-|---⌫----|-|---|----|
poestesor lesdiables.	-----|--|--|------||
cistre suscitalazarum k iyyiors	---|--⌫------|------|-⌫|-|---|
au oitieu enlat erremors.	--⌫--|--|-|-|-⌫---|---||
quant liprouosoitant de t esmoignage s signor	----|-|-----|-|---|-|-⌫----------⌫|-----|
di s t ilil m esam ble kecis t	--⌫-⌫|-|-|-⌫|---⌫--|-|---⌫|
co upes kildoie morir.	--⌫---||-|---|----||
p orcoile uolésuousa	-⌫-|--|-|-----|---||
to rt ocir re	--⌫-|----⌫-|
ilmes amblekil est preu dom e t	-|-|-⌫----||-|--|----⌫--|-⌫|
dontapi elali prouoz	---|---⌫--|-|-----|
nicodemusetlesyyautres kitesmoignoient lebien	--------|-|--|-|-----|-|------------|-|---|
deihesusdem andalordeceke	-|-----|---⌫---|--|-|-|-|
feraiie seignor de	----|-|------|-|
ceke ceste	-|-|----|
gens est siesmeue	---|--|-|-----|
ci lrespondire n tnosnesauons .	--⌫|----------⌫-⌫|--|-|-----||
laislescouenir.	---|--|------||
do n t ap iela li prouoztoutle peule desiuus	--⌫-⌫|--⌫---|-|-----|---|-|----|--|---|
seignordist	------|---|
estcostume auior	--|------|-|--|
d elapasquek elenseu tlaisieralerzzprisonier	-⌫|-|-----|-⌫|--|---⌫|------|---|-|--------|
quitehorsdelachart re .	----|---|-|-|-----⌫-||
enlacha rt re enazzkiportraison	-|-|---⌫--⌫-|-||-|-|--|------|
etpo romecide f up ris.	-|--⌫|------|-⌫|-⌫--||
co semesfait .	--⌫-|------||
le queluolés uouskeie uosla is	-|---|-----|---|-|-|--|--⌫-|
liiuif respondirentlaisiés	-|---|-----------|-------|
no usquit e	--⌫-|----⌫|
-et deces tuiihesuqueferai	|-|-|---⌫--|----|--|----|
disentli iui fs i le	-----|-|---⌫|-⌫|-|
metésenlacro is.	-----|-|-|---⌫-||
setule laisses al er	-|-|-|------|--⌫-|
tu n iespasamis	-||--|--|---|
cesairecaril	------|--|-|
distkilestoitroisetes toit f iux deu.	---||-|-----|---|-|--⌫---|-⌫--|--||
etest re puetketuauroi splu s chierkei l	-|---⌫-|---|-|-|-----⌫|---⌫|----|-|-⌫|
fustroiskec esar .	---|---|-|-⌫---||
dontdistli prouoz p armaut alanttous tan sfuste s	---|---|-|-----|-⌫-|----⌫----|---|---⌫|-----⌫|
uousf elon etesred éen uers celskibienuo us ont	---|-⌫---|-|-----⌫-|--⌫---|---|-|---|--⌫-|--|
uostredex uo sietafors dous erua ge degypte	-----|--|--⌫|---|---|--|-⌫----⌫-||-----|
iluou s m enafors	-|---⌫|-⌫--|---|
dela ro uge mera s echeterre	-|-|--⌫--|--||-⌫---|----|
iluosp eutde lamannedouciel	-|--|-⌫--|-|-|----|--|---|
il uosfistlia w e	-|--|---||--⌫-⌫|
saillir dela pie rre poruousa beure r	------|-|-|---⌫--|--|---|-⌫-----⌫|
iluos dona loi.	-|--|---|--||
etuousnele	-|---|-|-|
uausistest enirne	--------|-⌫---|-|
ainsfondistes unueel dem e tal si	---|--------|-|---|-|-⌫-⌫--|-|
enfeist esdeusi laorastes .	-|-----⌫-|--|-||-------||
u autuo stredex o cirre.	-⌫--|--⌫---|--|-⌫----||
et moyses uou sre spitake mortfuissiés	-|-----|---⌫|--⌫----|-|---|--------|
tu i ts ilnef ust.	--⌫-⌫||-|-|-⌫--||
orditeskeuosle	-|----|-|--|-|
adontsel euapy l ates	----|-|-⌫--|--⌫-⌫---|
u autale rdou preto ire .	-⌫--|---⌫|--|-----⌫--||
dont crieren t li iuyfsorluik eihe sus	---|-------⌫|-|---|--|--|-⌫|---⌫--|
nestoitmieroismaiscesar .	|-----|--|---|---|----||
uinr entalui	----⌫--||--|
siliaporter entyyoffr and e saussicoms ilf ust	-|-|-------⌫--|-|----⌫---⌫-⌫|----|--||-|-⌫--|
qu ant ce sot herod essi	--⌫--|-|--|-----⌫-|-|
fis t ocirre tous lesen fansdeyyanse t	---⌫|-----|---|--|--⌫---|-|-|--|-⌫|
de mai nsporcou keil quida ocirre	-|---⌫-|--|--|-|-|----|-----|
q ua ntpylates u it k il ne po roitmi e	-⌫--⌫-|------|-⌫-||-|-|--⌫---|--⌫|
lanoiseabatre sidem andaliawea lauerses	-|----|-----|-|---⌫---||---||----|--|
lenli aporta	--|-|-----|
i l leslaua .	-⌫|--|---||
seigno rdistilen	------⌫|---|-|-|
cestui nai i e coupes.	-----||-|-⌫|-----||
dont disent	---|-----|
morse tses sans s oitsor	---|-⌫|--|---|-⌫--|--|
no usetso rno se nfa ns.	--⌫-|-|--⌫|--⌫|-⌫---⌫-||
dontlecomman dap y latesaamenerdeuant	---|-|------⌫-|-⌫-⌫----||-----|-----|
luisilem istensentenceet	--|-|-|-⌫--|-|-------|-|
i hesusdistilla gen sde	-⌫----|---|-|-|---⌫|-|
ta loietli	-|--|-|-|
princetont iugié .	-----||--|-----||
cecommanc selonc	-|------|-----|
le sc oustu mes deuos anc issor ske le nte bate	--⌫|-⌫-----⌫--|-|--|---⌫-----⌫|-|--⌫|-|---|
one m pr es toi	-|-⌫-⌫--⌫-|--|
lundune par tetl	|-||--|---⌫|-||
autred au tr e .	----||--⌫--⌫||
ceseront di g nasetgestas.	-|-----|--⌫-⌫--|-|-----||
dont menere nti he su m	---|------⌫-|-⌫--⌫--⌫|
horsdupretoire etlesyyl arron s	---|-|-------|-|--|-|-⌫-----⌫|
silesdepoill ierent	-|--|-------⌫-----|
etihesumcainsentdeuantdun	-|-----|-------|-----||-|
e s cor ce letun ecoron e despin eslim is ent	-⌫-⌫---⌫--⌫|-|--⌫|-----⌫||-----⌫-|-|-⌫--⌫--|
ensonci e f	-|--|--⌫-⌫|
larrons pe ndirentl	------|--⌫------||
lautr e delalunadestr e e tl a utre	|----⌫|---||-||-----⌫|-⌫||-⌫---|
asenestre.	|-------||
pere distiesus	---|---|----|
pard on ele ur carilneseu ent kei l fon t	----⌫--⌫|--⌫-|--|-|-|---⌫--|-|-⌫|---⌫|
don tieterentso rt	---⌫|-------|--⌫-|
por auoirle uest ementih es u.	--|----|-|----⌫----|--⌫--⌫||
pri nce de la	---⌫--|-|-|
lo iiestoientsilega boient	--⌫||-------|-|-|--⌫-----|
et dis oientquelesau tres auo it	-|---⌫----|--|--|--⌫---|---⌫-|
il sau u ésorsa uuast soi m eism e.	-|---⌫-⌫--|-|--⌫----|--|-⌫----⌫||
et se ilestoit fiuzd eudescen dis tde	-|-|-|-----|---|-⌫-|------⌫---⌫|-|
etlich eual ierk ilaestoient	-|-|--⌫----⌫--|-⌫|-|-------|
legaboient etsili donoientaisilet	-|-------|-|-|-|-------|----|-|
f i ela boiur eet	-⌫-⌫-||-----⌫|-|
diso ientse tuiesro i sdesiuisdeliuretoi.	----⌫---|-|-|--|--⌫-⌫|--|---|------|--||
dontpristlo ngis uns	---|----|--⌫---|--|
cheualierslance si	---------|----|-|
l eferi elcostesi e nis si	-⌫|---|-|----|-|-⌫|--⌫-|
sanset ia we.	---|-|--⌫-||
aprescecom mand aliprouoz ke	----|-|---⌫----⌫|-|-----|-|
lensor luiescrisisten	--|--|--|--------|-|
gri uet en ebriu u nsd esde us	---⌫|-|-|----|-⌫-|-⌫-|--⌫-|
larron ski lae stoitpendus	------⌫|-|-|-⌫----|-----|
gesta s auoitnon	-----⌫|----|--|
liesc ria setuies	-|---⌫--|-|-|--|
fi uxdeusa uueto ietnous.	--⌫-|--|--⌫--|--⌫|-|---||
etxmliautresre s pondi tuies c i	-|-|-|-----|--⌫-⌫----|-|--|-⌫|
auiuis ede ta	-|----⌫|-|-|
necri ensdeu	-|---⌫--|--|
ab on droitsoufronsnou sce kenossoufrons	|-⌫-|----|-------|---⌫|-|-|--|-------|
mais cist n eforfist on ques riens .	---|---|-⌫|------|--⌫---|----||
deu ers ihesum	---⌫--|-----|
ihes udistil aie smerchi	----⌫|---|-|---⌫|-----|
demoi quanttu	-|--|----|-|
uendrasenton regn e.	------|-|--|----⌫||
ihesusliresp ond i poru oir tedih ui	-----|-|----⌫---⌫|--|-⌫--|-|-|-⌫-|
sera sauoecm o ien	----⌫|----|-⌫-⌫|-|
adontestoitentoreu r edemidi	----|-----|----|--⌫-⌫|-|---|
adon tc ommenca	----⌫|-⌫------|
lisoleus a oscurcireta perdr esaclarte	-|-----||-------|-||-----⌫|-|-----|
et tene bresa	-|----⌫---||
uenirsorter reiusques a eu redenoune.	----|--|---⌫-|------||--⌫-|-|----||
lacor tine	-|---⌫---|
doutem p ledesciraparmi lunch ief	--|---⌫-⌫-|------|----||-|--⌫--|
iusquenl autr e .	----|-||----⌫||
et i hesuscriaahaute	-|-⌫----|---||----|
uoisce senef iesire en	---|-|-----⌫-|---|-|
tes mai nscommancm on espe rit.	--|---⌫-|------|-⌫-|----⌫--||
dontissilamede	---|---||--|-|
quantceuit	----|-|--|
uns co nestable su nsriche s hom ki	--|--⌫--------⌫|-⌫-|-----⌫|--|-|
molt auoit d	---|----||
o umesenseignoriekei he su sauoitfait	-⌫---|-|--------|-|-⌫--⌫--⌫|----|---|
f a iti l comilestoitbons ho m	-⌫-⌫-|-⌫|--|-|-----|---|--⌫|
etli granspeuleski	-|-|----|-----|-|
laest oit qu antiluitke	-|---⌫--|--⌫--|-|--|-|
ilauoitfait si b ele	-|----|---|-|-⌫--|
fi nbatirent lorpis si	--⌫|-------|--|--|-|
sentornere nt.	|-|-------⌫-||
liconestabl e suintauprouostsili conta comment la	-|---------⌫-⌫|---|-|------|-|-|----|------|-|
coseesto it a lee	---|----⌫-|-⌫--|
eta uenuedel afin ihesu m .	-|-⌫----|-|-⌫|--|-----⌫||
li prouoz e n ot	-|-----|-⌫|-|
tel d u elkilne	--|-⌫-⌫-||-|-|
manianenebutde tout	----|-|-|--|-|---|
ainsdistpylat esas	---|---|-----⌫-|-|
iuisauezu eucomm ent	---|---|-⌫-|----⌫--|
ilestauenu	-|--|----|
-oildise nt	|--|----⌫-|
li iuifli solaux	-|---|-|-----|
f a illiet	-⌫-⌫---|-|
la es toient liparent etliami ihesuet	-|--⌫-----|-|-----|-|-|--|----|-|
