de rime rmestuet	-|----⌫||-----|
lesmaluaisquipar	--|------|--|--|
nefontade sselemal	-|---|---⌫|-|-|--|
ne lorcha utq	-|--|---⌫-||
ai t malne cuinon	--⌫|--|-|--|--|
ma isquil aientloruolentei	--⌫---|-|----|--|-------|
etquilsoient si	-|-|-|-----|-|
hautmontei	---|-----|
qu ilsoien t se g no r	-|-|-----⌫|--⌫-⌫--⌫|
en cestmo nde	-|---|--⌫--|
raisonsestqueie uo uzesponde	------|--|--|-|--⌫-|------|
li mal uais	-|---⌫---|
q uil e malues	-⌫-|-⌫|-----|
saue izu ous que ilen desert	----⌫-|-⌫--|--|-|-|-----|
i lenaurateil guerredon	-⌫|-|---|---|--------|
qu il ensera en	-|-|-|---|-|
d oudi able quest deuer s bise	-⌫-|--⌫---|-|--|-----⌫|---|
chasc unsdetei l seruise	-----⌫--|-|---⌫|------|
mais pr en gnegarde aubon	---|--⌫--⌫--|----|-|--|
quiloiauments ertson segno r	--|--------|-⌫--|--|-----⌫|
s enauraioie parmenable	|-|---|---|---------|
ceste parolenest pas fab l e	----|-----||--|--|---⌫-⌫|
dituousail a sen efiance	--|---|-|-⌫|---⌫------|
oistoret la demoustrance	-----|-|-|-----------|
uoildireet	---|---|-|
la u eriteisansfausconter	-|-⌫-----|---|---|-----|
dunarbre quicedresa non	|-|----|--|-----||--|
en lat inleclaimon	-|---⌫-|-|------|
ouila grantmoral itei	-|-||----|-----⌫---|
si en orrez laueritei	-|-|----|-|------|
c edres estzz	-⌫----|--|-|
arbrescla mez	-----|---⌫--|
quimo ltes tgenset bienra me z	--|--⌫-|--⌫|---|-|---|--⌫--⌫|
deg ransbrances etde	-|-⌫---|------|-|-|
en q uexila	-|-⌫--|-||
moltdemecines	---|-|------|
degransuertus sonttoutesplaines	-|----|-----|---|-----|------|
iors etnuis et	---|-|---|-|
sema i n es	----⌫-⌫-⌫-|
cilarbr essiet en	--|----⌫-|---|-|
zz hautmont	-|---|---|
etleclaimentlagent dou mon t	-|-|-------|-|---|--|---⌫|
libane si comdistdauid	-----|-|--|---|----|
en psautiersi comestauid	-|-------|-|--|--|---|
entendeizquecesen efie	--------|--|-|---⌫---|
queraconte laprophetie	--|------|-|--------|
c i l arbres	-⌫-⌫|-----|
q uic edres a non	-⌫-|-⌫----||--|
quisih autsietcomdita uon	--|-|-⌫--|---|--|--|-⌫--|
s enefiele roi ce lestre	-⌫-----|-|--|--⌫-----|
q ui enparadis	-⌫-|-|------|
sie tenfaudestuef commerois	---⌫|-|---------|----|---|
e tensa main	-⌫|-|-|---|
tientdemenois	----|-------|
zzrainsel d u nef lorde lis	-|------||-⌫-|-⌫--|-|--|
coron eiz d orestpardeu is	-----⌫--||-|--|--|---⌫-|
toutoittoutuoi tto ut	---|--|---|---⌫|--⌫-|
aperc o it	-----⌫-⌫-|
enqu elconquelieuqueonsoit	-|--⌫-------|---|--|-|---|
quanquesaiu sonpenseet	------|-|--⌫|-|----|-|
soit enapertsoiten	---|-|----|---|-|
co mmed iexquiregn e partout	--⌫--|-⌫--|--|----⌫|--|---|
cilarbressiafueille s	--|-----|-||-------⌫|
gransetbelesagrantmes u re	----|-|----||----|---⌫-⌫-|
etmoltsontde ge nte	-|---|---|-|--⌫--|
dede ns celarbre lorni	----⌫-|--|----|--|-|
lipasserelqui pe titsont	-|-------|--|--⌫--|---|
oiseletetdegrantafaire	------|-|-|----|-----|
dedensl arbre	-----||----|
fontlor repaire	---|--|------|
cistsen efientet	---|---⌫-----|-|
demon strent	-----⌫-----|
lespredicatoursquidemonstrent	--|-----------|--|----------|
la parole de ih esu cr ist	-|-----|-|--⌫--|--⌫--|
et cequiltr ueuent en escrit	-|-|-|-|--⌫-----|-|-----|
souentesfoispa rs ainteegli se	-------|---|--⌫|-⌫----|----⌫-|
ent ente i	---⌫---||
s iqueparlor enseg nemen t	-⌫|--|--|--|-----⌫-----⌫|
etpa rl orb one n ortemen t	-|--⌫|-⌫-|-⌫-|-⌫-⌫-------⌫|
se ra u oi entli pecheor	-|--⌫-⌫--⌫--|-|------|
etsi aimentlorsauueor	-|-|-----|--|------|
ga rdentpuisdem al faire	--⌫----|---|-|-⌫-|----|
oi auezc estessamplaire	-|---|-⌫--|----------|
souretenezsi ferezbien	|-|------|-|----|---|
ca r ienenai me ntide	--⌫|-||-|-|--⌫--|-|
dou libane dontie	--|-----|---|-|
ra mentudeuantuo usdirai	--⌫----|-----|--⌫-|----|
qui monses tetquisietsi	--|---|--⌫|-|--|---|-|
lassu sen ciel outant faitchaut	-----⌫|-|---|-|---|---|----|
para dissenefie	----⌫--|------|
compl usest	--|--⌫-|--|
hauspluss ume lie	---|---||---⌫--|
e nsicomdiex fistliur aisrois	-⌫--|--|---|---|-|--⌫--|---|
quitantfu piteusetcortois	--|---|-|-----|-|------|
comecilqui det out	---|--|--|-|-⌫--|
ettantestoit grans	-|---|-----|----|
ses empi res	--|----⌫--|
ethaus siseuolstabaiss ier	-|---|-|-|----|------⌫--|
enuersterre	-----|----|
ethumilier	-|-------|
queil se degna conuer ser	--|-|-|----|------⌫--|
e nu nefame et reporser	-⌫|-⌫-|---|-|-------|
enflanzala	-|----||-|
u irg e mar ie	-⌫---⌫|---⌫-|
mort agra nthaschie	---||---⌫-|------|
pornous t ouzqueilfais auoit	--|---|-⌫--|--|-|---|----|
sachiezdeuoirtr opnou samoit	------|-|---|--⌫-|---⌫|----|
maisnousne lamonsmie tant	---|---|-||----|--|---|
et ceuo ntadespreescha nt	-|-|--⌫-|---|--------⌫-|
l isaint home pa r	-⌫|----|---|--⌫|
tro pme mer ueil et	---⌫|-|---⌫---|-|
q uen ousn	-⌫-|-⌫--||
en prenon s	-|------⌫|
plusgrantc ure	---|----|-⌫--|
neregardon s	-|--------⌫|
pas la natur e	--|-|-----⌫|
et quece senefie	-|--|-|------|
nedou libanequeq ondie	-|--|-----|---|-|--|
nedesp asseronespet is	-|--|-⌫--------|---⌫-|
qu iencel arbrefontlornis	--⌫|-|--|----|---|--|--|
maissebie nipreniiensgarde	---|-|---⌫||--------|----|
desbonsmorseausqueonsilarde	--|---|-------|--|-|-|----|
n au ri iens p as	|--⌫--⌫---|-⌫-|
si g rant desir	-|-⌫---|----|
orest esir	---|-⌫---|
maiscilqui	---|--|--|
sonniuol dra faire	--|-|---⌫--|----|
enh autc edrede bo n afaire	-|-⌫--|-⌫---|-|--⌫|-----|
sicomeli pass erelf ont	-|---|-|----⌫---|-⌫--|
quidedensl arbrelornis f ont	--|-----||----|--|--|-⌫--|
sel isouiengnede lamo r	-|-⌫|--------|-||---⌫|
quedex nous f i st	--|--|---|-⌫-⌫-|
qantilenterresacli na	---|-|-|----||----⌫-|
e tpornoustants umilia	-⌫|--|---|---||-----|
queildengnarecoiuremo r t	--|-|-----|-------|--⌫-⌫|
ce fusans raisonetatort	-|-|---|-----|-||---|
pl usbelechoseesta ueo ir	--⌫-|---|----|--||---⌫-|
monterqu eaualer poruoir	-----|--⌫|-----|--|---|
etplussut is	-|---|---⌫-|
et plusseu re	-|---|---⌫-|
siuo usendi r ailamesure	-|--⌫-|-|--⌫-⌫-|-|-----|
qantlucife r squianglesfu	---|------⌫-⌫|--|-----|-|
etquien hautparadisfu	-|--|-|---|------|-|
sibiaussiclers coml esoleil	-|----|-|----|--|-⌫|-----|
et quil s e uolstfai rep are i l	-|-|-|-⌫|----|---⌫-|-⌫---⌫-⌫|
a deup arsontres grantorguei l	|--|-⌫-|--|---|----|------⌫|
onne ustpasc lug nié z z ueil	-||-⌫--|--|-⌫---⌫---|-⌫|---|
quilchei ius ensen	-|-|---|--|--|-|
e nlamaisond enfermeime	-⌫|-|-----||----|----|
lae stetla	-|-⌫-|-|-|
seratouzior s	---|---|---⌫|
etenmiseres etenplors	-|-|------|-|-|----|
raisonsquille deserui	------|-|-|-|------|
biens onni	---|-⌫-|-|
ausiuos didaucu neg ent	---|--|-||----⌫-|-⌫--|
oretdargen t	-|-||-----⌫|
e t d autresa u oirsafoi s on	-⌫||-----|-⌫-⌫---||---⌫-⌫-|
aquiset amal eraison	----|-||---⌫|-----|
de nobl eparag e	-|----⌫|-----⌫|
oubelsi ontitelcorag e	-|--|-|--|---|-----⌫|
qades tendent	|---|------|
amon ter haut	|---⌫--|---|
siorgu eillex sont	-|----⌫-----|---|
nelor chaut	-|--|----|
depour es gensneriens	-|----⌫-|---|-|----|
nes prisent	|-|------|
m ais qan queilfont	-⌫--|---⌫--|-|---|
tout de spis en t	---|--⌫----⌫--⌫|
cefait or guex qu en eaus abo nd e	-|---|--⌫---|-|-|---|---⌫--⌫|
etsauezq onenuoitau	-|----||-|-|---|-|
tex estmontezengrant riche sce	--|--|-----|-|----|-----⌫--|
etquieste nsigrantlees ce	-|--|--|-⌫|-|----|----⌫-|
etenabondancedauoir	-|-|--------||----|
q uilnecui de	-⌫|-|-|---⌫-|
iamaisauoir	-----|----|
poureteipor chosequiso it	-------|--|----|--|--⌫-|
etcuidea des	-|----|-⌫--|
uiure etquilsoit	----|-|-|-|---|
tousiorsencele	---|---|-|---|
g ranthautesc e	-⌫---|-------⌫|
enl auoirete n lari chesce	-||----|-|-⌫|-|--⌫-----|
nese donegarde q u	-|-|---|----|-⌫|
et qu e siuilmentlimes chiet	-|--⌫|-|------|-|---⌫----|
quepre m iers pertt outsonauoir	--|---⌫-⌫---|---|-⌫--|--|----|
et enapres pa restouoir	-|-|----|--⌫|-------|
lest uetmorir	|---⌫--|----|
engrantdolor	-|----|----|
engrant mi sereet engrant plor	-|----|--⌫---|-|-|----|---|
lestuet alerpar son orgueil	|-----|---|--|--|------|
iert crieid ueil	---|----|-⌫---|
cipoezentendrelag l o se	-|---|-------|-|-⌫-⌫-⌫-|
qued it uousaide cest echose	--|-⌫-|---|-|-|----⌫|----|
tuit deuezestre chastie ́	---|----|----|-------⌫|
s ontmie legier es	-⌫--|--|------⌫-|
q uicuern i met	-⌫-|---|||--|
pui squedo u dir e	---⌫---|--⌫|---⌫|
me ntremet	|-⌫------|
ieluousdiraitoutmot	-||---|----|---|--|
nenmentirai sipuis d emo t	|-|-------|-|---|-⌫|--⌫|
lipoonshydeusementchante	-|----|----------|-----|
de sonchantautruie spoante	-|--|----|-----|-⌫------|
e ts i passemoltcoiement	-⌫|-⌫|----|---|-------|
e tmo lten p ais et si mplement	-⌫|--⌫-|-|-⌫--|-|--⌫-------|
lates teas amb lanz	-|---⌫-||-⌫---⌫---|
au serp ent	-|----⌫--|
m ais le corsailbelet	-⌫--|-|---||-|--|-|
etlepi sa bel	-|-|--⌫||--|
bloet resamb lan ta a zur	--|-|------⌫---⌫||-⌫--|
rousses panesaense seiles	------|----||-|--⌫|----|
nesai oiselquiles ait	-|--|----|--|--|--|
m olt alacoe merueilleuse	-⌫--||-|--|-----------|
etmoltgente etmolt glorieus e	-|---|----|-|---|--------⌫|
estde tres grantbiautei	--|-|---|----|------|
qantuoitqueon laregardei	---|---|--|-|||-------|
silalie ue	-|-|---⌫-|
hauts en fait ro e	---||-|---|--⌫|
cu ide q onleloe	--⌫--||-|-|--|
mais quant il regarde sespiez	---|----|-|------|--|---|
d esesiex quil	-⌫|--|--|-|-|
uersterresi lalaitc heoir	---|----|-|-|---|-⌫----|
qant i luoitqueil sont	---|-⌫|---|--|-|---|
oilafaiture	-|-|------|
dou poon s elonc lecrit ure	--|---|-⌫----||-----⌫--|
oruousredira ien partie	-|---|------⌫|-|-----|
cequestet quecesegnefie	-|-|--|-|--|-|-------|
lipoo nsquilai de men tchante	-|---⌫-|--|---⌫--⌫---⌫|-----|
etqui s i les gen sespoante	-|--|-⌫|--|---⌫|-------|
ces tli p res chierres	|--⌫|-|-⌫---⌫-------|
qui sermone	--|------|
etq ui b ons es s ample s nous done	-|-⌫-|-⌫--|--⌫-⌫-----⌫|---|---|
quicruelmentd eff entet di st	--|--------|-⌫---⌫--|-|--⌫-|
que necorreciens	--|-|---------|
ihesu crist	----|----|
nos tresegno retnostrep ere	---⌫--|-----⌫|-|-----|-⌫--|
nesatresglorieu se mere	-|-|---|-------⌫-|---|
nene faconschose quilh ace	-|-|-----|----|-|-|-⌫--|
neq uiasame redespl ace	-|-⌫-||-|--⌫-|-----⌫--|
en p rendroitgrantuenia nce	-|-⌫-------|----|-----⌫--|
e nenferlaidepeniten ce	-⌫|----|----|-------⌫-|
atousiorsma is ensoufer iens	|---|---|--⌫-|-|------⌫---|
auoecl esdeab le s se riens	----|-⌫-|----⌫--⌫|--⌫----|
sicremons etmetons aoeure	-|------|-|-----||----|
ceq ueli p resch ierre sdescueure	-|-⌫-|-|-⌫-----⌫-----⌫|--------|
si noustenonsde	-|---|-----|-|
pechiefa ir e	-----|--⌫--⌫|
et retenons	-|-------|
cestessa mplaire	---|----⌫------|
lipoonsquiua i tcoiement	-|----|--|--⌫-⌫|-------|
nou sdemonstrequ e simplem ent	---⌫|--------|--⌫|-------⌫--|
deuonsaler asainte	-----|---||-----|
po r escouterledieuseruise	--⌫|-------|-|---|------|
et quesimpleme nt nous	-|--|--------⌫-|---|
entrelagentetcont engn iens	----|-|---|-|----⌫----⌫---|
ne nedeuons metre	-|-|-----|----|
maleuoi enes ente	---|---⌫|-|-⌫---|
oun ostre malpreupuissien s	-|-⌫----|--|---|--------⌫|
mais en t el lieuq onpuist re t ra ire	---|-|-⌫-|---||-|----|--⌫-⌫--⌫--|
grant bienetquechasc unsen die	----|---|-|--|-----⌫--|-|--|
q uecilh o m maine bone uie	-⌫-|--|-⌫-⌫|----|---|--|
la tierces enef i anceest	-|-----|-⌫----⌫-⌫---|--|
qou liuredemoustr eem	|-|----|--------⌫-||
dela teste	-|-|----|
quelipo ons	--|-|--⌫--|
asamblantau	|-------|-|
ser pent oions	---⌫---|----|
quec este chosesen e fi e	--|-⌫---|----|---⌫-⌫--⌫|
oirenp oezgrantpartie	--|-|-⌫--|----|-----|
unera i sondireuousuoil	--|--⌫-⌫--|---|---|---|
q ueenla tes tes ontl ioil	-⌫-|-|-|---⌫-|-⌫--|-⌫|--|
quiregardent	--|--------|
en moltdediuers	-|---|-|-----|
q ant lih omseuoitbel et gent	-⌫--|-|-⌫-|-|---|--|-|---|
etquilplaistaaucun eg ent	-|-|-|-----||-----⌫|-⌫--|
e t s i hauce sa co e	-⌫|-⌫|----|-|--⌫|
co mli poonsqui en fai t roe	--⌫|-|----|--|-|---⌫|--|
et quantasacoeleuee	-|----||-|--|----|
etm i ssentente	-|-⌫-⌫||------|
etsapensee	-|-|-----|
noblement acesmer	--------|------|
d erichesdrasqu	-⌫|-----|---|-|
il puetesmer	-|---|----|
etqu esiriche s est dauoir	-|--⌫|-|-----⌫|--||----|
si s apense degrantsau oir	-||-----|-|----|---⌫--|
a troplonge mentes tei	|---|-----⌫---|--⌫--|
entela i seet ente lplentei	-|--|-⌫-⌫-|-|-|--⌫|------|
et quil neuitpasadroiture	-|-|-|-|--|--||-------|
si s eprentgardea	-|-⌫|----|----||
lescritu r e	|-------⌫-⌫|
la test eba is seetuoit ses	-|----⌫|--⌫--⌫-|-|---|--|
s estmaintenantses	|--|---------|--|
cuers changiez	----|-------|
laioied ecestmo nde	-|---|-⌫|---|--⌫--|
porl a i o iequi pl u s est monde	--|-⌫|-⌫-⌫-|--|--⌫-⌫|--|----|
renten re ligion	---|-|--⌫-----|
oumain te pe r secuti on	-|----⌫-|--⌫-⌫------⌫-|
suefretousles iorsdesauie	-----|---|--|---|-|-|--|
p orestreenl a grant	-⌫-|----|-|-⌫|----|
c om pengnie	-⌫--⌫------|
depa radiso u s on tli	-|--⌫----|-⌫|-⌫--⌫|-|
etliapostreet l i arc hangl e	-|-|------|-|-⌫|---⌫-----⌫|
cist abienb aissie s a coe	---||---|-⌫-----|-⌫|--|
quid euanta uoitfait	--|-⌫----|-⌫---|---|
ausicomme lipoonsfait	---|----|-|----|---|
quecideu antuousai	--|-|---⌫--|---|-|
doupisdoupoonuoil retraire	--|--|--|---|---|-------|
zze ssa mplequ ibien doitplaire	-|-⌫---⌫---|--⌫|---|---|-----|
atouscexquil escouteront	|---|--|--||----------|
etl entente metrei uolront	-||------|----||------|
lipoonsque ie	-|----|--|-|
u ousdeu is	-⌫--|---⌫-|
a aazurle pis	||---|-|--|
etdedensle pisest li	-|-----|-|--|--|-|
e tl apl umeres tp a rd efuers	-⌫|-⌫|--⌫--|---⌫|-⌫-⌫|-⌫-----|
cedem onstreieuousdi	-|---⌫-----|-|---|-|
chascuncre st ien	------|---⌫--⌫--|
quid oitauoir bonep e nsee	--|-⌫--|----|---|-⌫-⌫---|
etse ur e etbienorde nee	-|--⌫--⌫|-|---|----⌫--|
e tbien establee tb ien certai ne	-⌫|---|------|-⌫|-⌫--|------⌫-|
tre stoutlesiorsde la semaine	---⌫----|--|---|-|-|------|
quil pui st	-|-|---⌫-|
enpa radis	-|--⌫----|
aui or quillestourafenir	-|-⌫-|-|-||------|----|
qu itante st beaus	--⌫|---|-⌫-|----|
c lersetluis ans	-⌫---|-|----⌫--|
plusquenushom	---|--|--|--|
qu isoit uiuans	--⌫|---|-----|
ne porro itensoncue rpenseir	-|-----⌫-|-|--|---⌫|------|
etatant menuoilortense ir	-|----||-|---|-|-----⌫-|
doupo onestteile	--|--⌫-|--|----|
molt longe	---|----|
etgranse tbele	-|----|-⌫|---|
quemol t d ie xi ait	--|---⌫||--⌫||--|
ieu ous dir aitoutentresait	-|-⌫--|---⌫-|---|--------|
segne fiance	-----⌫-----|
loncmo n sensetla d emonstran ce	---|--⌫|---|-|-|-⌫---------⌫-|
ch ascuns crestie ns doit auoir	--⌫-----|-------⌫-|---|----|
cuerparestouoir	---|--|-------|
quedou poonn aite nla	--|--|---||--|-⌫|-|
debeau so illes qu ant	-|----⌫|-⌫----|--⌫--|
fa it laroe	--⌫-|-|--|
lioil sontlesbone suertus	-|--|---|--|----⌫|-----|
queieuousai	--|-|---|-|
ci ramentus	-|-------|
qui e n chascuncuerd oiuent	--|-⌫|------|---|-⌫-----|
si que sauie ettoutson	-|--|-|--|-|---|--|
do it y yfois leio rregarder	--⌫-|-⌫|---|-|--⌫|-------|
etsoi d e tous	-|--|-⌫|---|
pechiezgarder	------|-----|
auo i telxyym i l e	---⌫-⌫|--|-|-⌫-⌫-⌫|
s icom tesmongneleuuan gile	-⌫|--|--------||-----⌫---|
nesepo rro i t iltropgarder	-|-|--⌫---⌫-⌫|-|---|-----|
netrobbiensa uieesgarder	-|---|---|-|--|-------|
qu il nepec hastd auc unec hose	-|-|-|---⌫---||---⌫--|-⌫---|
entendrepoezc est eglose	-------|---|-⌫---⌫|----|
tiengnechascunsdroite sa	------|-------|-----|-|
ne facepas	-|---|--|
pisd ela po e	--|-⌫|-|--⌫|
q ui l alaist	-⌫-|-⌫|----|
cheoir cont r ete rre	-----|----⌫-⌫|--⌫--|
mais ladroiteuoieetbo ner re	---|-|-----|---|-|--⌫|--⌫-|
peustadescha scunscrestiens	----|---|---⌫----|--------|
aamer dieu p orlesgr an s	----|---|-⌫-|--|--⌫--⌫|
et porlaioieparmenable	-|--|-|---|---------|
quechascuns auranestpas fable	--|-------|---||--|--|----|
qu icaiu slauradesserui	--⌫|-|--⌫||---|-------|
et cil quima lau raseru i	-|--|--|--⌫|--⌫-|----⌫|
en cestmondeno stresegn or	-|---|----|--⌫---|----⌫-|
seraen grant dolor	---|-|----|----|
en enfe r demorra touzdis	-|----⌫|------|---|--|
ta ntcomdiexert enparadis	--⌫-|--|---|--|-|------|
lorsiertbiencheue	---|---|---|----|
ausicom dou	---|--|--|
po onla roe	--⌫-|-|--|
dexnous en gartparsapitie	--|---|-|---|--|-|----|
ancoi snous doinst parsamistie	-----⌫|---|-----|--||------|
fairecho sequilip uist	----|---⌫-|--|-|-⌫---|
a mensicombienlepuetfai re	-⌫--|-|--|---|-|---|---⌫-|
doulatinat raitceste rime	--|----||-⌫---|----|---|
omons li clersparsoi meisme	----|-|----|--|--|-----|
p roiezporlui si fe rezbien	-⌫----|--|--|-|--⌫--|---|
quilneuousament ide	-|-|-|---||----⌫|-|
