Monsieurl arc euesquede	-------||---⌫------|-|
yfeust nul nendeuroitauoir meill e ure	|----|--||-|------|----|-----⌫-⌫--|
souu ena ncequemoyetaussipourles pertesetdoul eurs	----⌫---⌫--|--|--|-|----|---|--|-----|-|----⌫---|
receuesdepuissontr espasqui estbienpo u r e stre	------|-----|--|--⌫----|--|--|---|--⌫-⌫|-⌫---|
reuenu àmamemoi r eles	-----|-|-|-----⌫-⌫|--|
g ra ces queiayreceues deluy combien quec	-⌫--⌫--|--||-|------|-|--|------|--||
est chos e acou stumé e	--|----⌫|----⌫------⌫|
le de c ès	-|--⌫-⌫--|
desigrandet pu issantp rincel es mutationssoyentg randes	-|-|----|-|--⌫-----|-⌫----|-⌫-|--------|-----|-⌫-----|
ety ontlesun gspertesetles autresgaing	-||--|--|--⌫-|-----|-|--|-----|----|
Car lesbiensne l e s honn eursnese despart en t po in t	--|--|----|-|-⌫-⌫|----⌫---|-|-|-------⌫--⌫|--⌫--⌫|
àl appetitde ceulxqui les	-||------|-|----|--|--|
d ema ndent	-⌫---⌫----|
Etp ouruousinformerdu tempsdont	-|-⌫--|---|-------|-|----|---|
ayeu co n gnois s ance dudit	-|-|--⌫-⌫-----⌫-⌫---|----|
seigneurdont	-------|---|
faictesdemand e	------|------⌫|
decommancer auan tle	-|--------|----⌫|-|
tempsque ie ueinseensonseruice et pu ispar	----|--|-|-----|-|--|------|-|--⌫-|--|
ordreie suyuraymonp rop os iusques	----|-|------|--|-⌫---⌫-|------|
àlheureque iedeuinsso n seruite ur	-||----|--|-|-----|--⌫|-------⌫-|
etcontinu eray iusquesàson	-|-------⌫---|------|-|--|
trespasDébutsde	------|------|-|
Commynes a use ruicede	-------|-⌫|--⌫----|-|
Charles leTéméraire	------|-|----------|
Ausail lir de	-|----⌫--|-|
mone n fanceeten	--|-⌫-⌫----|-|-|
laagedepouo irmonter	|---|-|----⌫-|-----|
à cheual fusamené à	-|-----|--|-----|-|
Lisl e d euersleduc	----⌫|-⌫----|-|--|
Charles de	------|-|
Bour g oigne lors	----⌫-⌫----|---|
appellé cont e de	-------|----⌫|-|
Charroloysl equelme printen	---------|-⌫----|-|----|-|
sonseru ice et futlan	--|----⌫--|-|--||-|
milquatrec ensso ixan te quatre	--|-----|-⌫--|--⌫----⌫-|-----|
Qu el q uetroisio ursaprèsarriuèrent au dit	--⌫--⌫-⌫-|----|--⌫--|-----|----------|--⌫--|
Lisleles embassa de urs	----|--|-------⌫--⌫--|
du ro yoù	-|--⌫|--|
esto itle cont e	----⌫-|-|----⌫|
Eulechance llierde	-|-|------⌫----|-|
Franceappe lé	-----|----⌫--|
Morui lieret leu esque de	-----⌫---|-||--⌫----|-|
Narbonneetenl a presenceduduc	-------|-|-|-⌫|-------|-|--|
Philippe de	-------|-|
Bourgong neetduditconte de	--------⌫-|-|----|----|-|
Charroloy settout	---------⌫|-|---|
leurconseil	---|------|
à huysouuertsfuren t	-|---|------|-----⌫|
o u yslesditsem bassadeursetparlaledi c t	-⌫-⌫-|------|--⌫---------|-|----|----⌫-⌫|
Moruillie r fortarrogamme ntdi sant que ledict co nte de	---------⌫|---|---------⌫-|--⌫---|--|-----|--⌫--|-|
Charroloysa uoit fa it prendr e luyes tanten	---------|-⌫---|--⌫-|------⌫|--|--⌫---|-|
H olland e ung petitnauirede gue rr e	-⌫------⌫|--|----|-----|-|---⌫--⌫|
Dieppeauquelestoitu nbastardde	-----|-----|-----|-⌫|------|-|
Rube mp ré e tlauoitfaic temprison ner luy d onnant	----⌫--⌫--|-⌫||----|----⌫|--------⌫--|--|-⌫-----|
c harge qui lestoitlàue nu	-⌫----|-|-⌫|-----|--|--⌫-|
pre nd re et queai nsi lauoit faitpublier	---⌫--⌫-|-|--|--⌫--||----|---|------|
partout et pa respecialà	------|-|--⌫|-------|-|
Brugesoùhan tenttout esnations degens	-----|--|---⌫---|----⌫-|------|-|---|
estranges parung c heu ali er	--------|--|--|-⌫---⌫---⌫-|
Bourgongne a p pellém essire	---------|-⌫-⌫-----|-⌫-----|
Oliuierdela	------|-|-|
Pourlesquellescau sesledi troysoytrouu antchargé d ece	---|---------|---⌫--|----⌫|--|--|-----⌫--|------|-⌫|-|
cascontre ueri té commeildisoitr e quer oit	--|-----|----⌫--|----|-|-----|-⌫-⌫----⌫--|
a udit duc	-⌫---|--|
Philippequec em essire	-------|--|-⌫|-⌫-----|
Ol iuierdela	--⌫----|-|-|
Marche luy	-----|--|
fust enu oy éprisonnierà	---|---⌫--⌫-|---------|-|
Paris pouren	----|---|-|
fa ire lapugni tion	--⌫--|-|-----⌫---|
telle queleca s lerequeroitA	----|--|-|--⌫|-|--------||
cepointleur	-|----|---|
responditle d uc	--------|-|-⌫-|
Philip pesquemessire	------⌫--|--|------|
Oliuierdela	------|-|-|
March e estoit ne ́ d ela	-----⌫|-----|--⌫|-⌫|-|
Bourgongneetsonmaistred hos teleten	---------|-|--|------||---⌫--|-|-|
rienssu bgect a ̀lacouron ne t outesfois	----|--⌫----|-⌫|-|------⌫-|-⌫--------|
quesilauoit	--||-|----|
dit nefai ctcho se	--|-|---⌫-|---⌫-|
contrel h onneur duro yet	-----||-⌫-----|-|--⌫|-|
que ai nsile trouuast par informati on qu il en	--|--⌫--|-|-------|--|---------⌫-|-|-|-|
feroit la pugnition tellequeo ucasappartiendro it et que	-----|-|--------|----|--|-⌫|--|------------⌫-|-|--|
auregard du ba s tar d de	-|-----|-|--⌫-⌫---⌫|-|
Rubempré ilest uray q ui l	--------|-|--|---|-⌫|-⌫|
e s toi t prinspour lessignes et contenancesque auoyentledict	-⌫-⌫---⌫|----|---|--|-----|-|----------|--|------|-----|
sesg ensàl en uiron	--|-⌫--|-||--⌫----|
Holandeoùpour	------|--|---|
lors estoit sondictfilzcont ede	---|-----|------|---|----⌫|-|
Charroloysetqu e siledict conte	---------|-|--⌫|-|-----|----|
estoitsuspessonneux	-----|------------|
le tenoi t	-|-----⌫|
il nele fut	-|-|-|--|
oncquesmai sletenoit de sam è requi	------|---⌫|-|-----|-|-|-⌫--⌫-|--|
auoitestélapl ussuspessonneusedame	----|----|-|--⌫-|-------------|---|
qu ileust i amais	-|-|---|-⌫----|
congneuemai s nonobstant	-------|---⌫|---------|
commedit estn eust iamaises té sus pessonne ux	----|--|--||---|-----|--⌫--|---⌫--------⌫-|
si lsefust tro uué aulieude	|-⌫|-|---|---⌫---|-|---|-|
sonf i lzàlhe u re	--|-⌫-⌫-|-||--⌫-⌫-|
quecebastardde	--|-|------|-|
R ubembrér egnoit	-⌫-------|-⌫-----|
e ̀senuiro n s	-⌫-|------⌫-⌫|
q uill eustf aitpre n dreco mmeil auoit esté	-⌫|-||---|-⌫--|---⌫-⌫--|--⌫--|-|----|----|
et q ue se ledictbastardne se	-|-⌫-|-|-----|------|-|-|
tr ouuoit poi ntchargéd	--⌫-----|---⌫-|------||
auoiruoul uprendre s onf ilzcommel ondisoit	----|----⌫|------|-⌫-|-⌫--|----||-|-----|
queincontin e nt le feroi tdeliureretle renuo yeroitauroy	--|--------⌫-⌫-|-|-----⌫|-------|-|-|-----⌫-----|-|--|
comme ses e mb assadeurslerequeroyent	----|--|-⌫--⌫--------|-|----------|
Ap rèsrecommenc ̧a led ict	--⌫---|---------⌫-|---⌫--|
Moruillieren donnantgrandesetdeshonnes tes ch argesau duc de	---------|-|------|------|-|---------⌫--|--⌫----|-|--|-|
Bretaign eappellé	--------⌫|-------|
F ran ç oisdisant quele di ct	-⌫---⌫--⌫--|-----|--|--⌫--⌫-|
ducetledic tconte	--|-|-----⌫|----|
Cha rroloyslàpre sen t	---⌫------|--|---⌫---⌫|
est antle d ict contede	---⌫--|--⌫-⌫--|----|-|
Charro loysà	------⌫---|-|
Tours deuersler oylà	----|-----|-|-⌫-|--|
oùil lestoitalléueoirauoyentbaillés eelléz	--|-||-----|----|----|------|------|-⌫------|
lung à lautreens efaisant	|--|-||----|-|-⌫|------|
Etsestoientbai ll e ́z	-||-------|---⌫--⌫-⌫-|
lesdi ctzseelléz	-----⌫--|-------|
par la m aindem ess ire	--|-|-⌫--|-|-⌫---⌫--|
Tannn e guydu	-----⌫-⌫--|-|
Chaste lqui depuisaesté gouu erneurde	------⌫|--|-----||----|----⌫-----|-|
Roussillon e ten auctorité enceroy aulme	---------|-⌫|-|---------|-|-|---⌫----|
Etfa is oit	-|--⌫--⌫--|
Moru ilierce ca s si	----⌫----|-|--⌫|-|
enormesicrimineuxque nu llechose quise pe ultdire	-----|-|--------|--|--⌫--|----|--|-|--⌫--|---|
àcepropos pou rfairehonteetuitu p ère	-|-|-----|---⌫|----|----|-|----⌫-⌫---|
àung princeil nedist	-|--|-----|-|-|---|
Aquoyledi c tcont e	|---|----⌫-⌫|----⌫|
Cha rroloyspar	---⌫------|--|
plusieursfois	--------|---|
uoulutrespo ndrecommefortpa ssio nné	-----|-----⌫---|----|---|--⌫----⌫---|
de cesteiniu r e qui	-|----|----⌫-⌫|--|
s e disoitde	-⌫|-----|-|
sonam y et	--|--⌫|-|
Maisledict	---|-----|
Morui llierl uy rompoit tousi ourslaparolledisantcesmots	-----⌫----|-⌫-|------|-----⌫---|-|------|-----|--|---|
Charroloys i enesuyspas uenu po u r par ler	---------|-⌫|-|---|--|---|--⌫-⌫|---⌫--|
a ̀uous m aisà mo nsr	-⌫|---|-⌫--|-|--⌫--|
uos tr epère	---⌫--⌫|----|
Ledict co ntesuppliapar plu sieurs foysà	-----|--⌫--|------|--|---⌫-----|---|-|
son pèrequ il peu st respondrele quel	--|----|-|-|---⌫-|--------|--⌫---|
ay re spo nd u p ourtoyc omme	-|--⌫---⌫--⌫|-⌫--|--|-⌫---|
ilmesembleque	-|-|-----|--|
pèredoit respond rep o u rfil z	----|---|-------⌫-|-⌫-⌫-⌫|---⌫|
T outes foyssi t uena ssi grandenuie penses	-⌫-----⌫---|-|-⌫|-|-⌫|-|----|----|-----|
yauiourduy etde maindy cequetuuouldras	|--------|-|--⌫---|-|-|--|-|-------|
Encore sdisoit	------⌫|-----|
Mor u illierq uiln epouoi tpenser	---⌫-⌫-----|-⌫|-|-⌫|-----⌫|-----|
qui auoitmeu	--|----|--|
led ict contedep rendrecesteallianceauecquesled ict	---⌫--|----|-|-⌫-----|----|-------|-------|---⌫--|
Bretaigne sino n une pensionqu ele	--------|----⌫|--|------|--⌫|-|
royl uyauoitdonnéauec leg ouue rnementde	--|-⌫-|----|-----|---|-|-⌫----⌫------|-|
Normandiequeleroyluy	--------|--|-|--|--|
a u oit o ste ́	-⌫-⌫--|-⌫---⌫|
Lelen demainàla ssemble ́e	-|---⌫-----|-||-⌫-------⌫-|
etenlacompagnie	-|-|-|--------|
d esdessusdic tsledictcontede	-⌫-|---------⌫-|-----|----|-|
Charr oloyslegenouil e n terre	-----⌫----|-|------|-⌫|----|
surungcarreau de	--|--|------|-|
uel o ux parla à	---⌫-⌫-|----|-|
sonpèrepremieret commençade	--|----|------|-|--------|-|
cebastar dde	-|------⌫|-|
Rubemprédisan tlescauses estre	--------|-----⌫|--|-----|----|
iuste s etraiso nnablesde sa pr inseet	-----⌫|-|-----⌫------|-|-|--⌫---|-|
qui lse monstrer oitpar	-|-⌫|-|--------⌫--|--|
Toutes foisie croy q ui l	------⌫---|-|---|-⌫|-⌫|
ne sen trou u aiamais	-||-|----⌫-⌫|-----|
es toyentl essuspesson sgrandz et leueydeli urer	--⌫-----|-⌫-|---------⌫|-----|-|-|--|----⌫---|
d une pris onoùil auoitest é	|--|----⌫-|--|-|----|---⌫-|
Aprèsce pr opos commença àdesch arge rleducde	-----|-|--⌫---|--------|-|-----⌫----⌫|-|--|-|
Bretaign eetl uyaussidi santqu	--------⌫|-|-⌫-|----|--⌫---|-|
i l estoitu ra yqu e l edict	-⌫|-----|-⌫--⌫|--⌫|-⌫----|
Bretaigneet luy au oyentprins alliance	--------|-|--|--⌫----|----|-------|
etami tiéensem b l eet qu	-|---⌫---|-----⌫-⌫-⌫|-|-|
i lzses toien tfaitzfr èresdarmesmais en riens	-⌫-||--⌫-----⌫|----|--⌫----||----|---|-|----|
n entendoyent cett ea llianceauprei udicedu r oyetde	|----------|----⌫|-⌫------|-|----⌫----|-|-⌫-|-|-|
sonr oyaulm emaispourle	--|-⌫------⌫|---|---|-|
se ruiret s oustenirsebesoi ng	--⌫---|-|-⌫-------|-|-----⌫-|
enauoite t	-|----|-⌫|
qu etou chantlapension q ui	--⌫|---⌫----|-|------|-⌫-|
luy a uoite sté o stéequeiama is nen auoit eu	--|-⌫---|-⌫---|-⌫----|--|----⌫-||-|----|-|
que ungquartier m ontantneuf mil	--|--|-------|-⌫-----|---|--|
francsetqueiamaisn a uoitreq uisladictep ension ne	-----|-|--|-----||-⌫---|---⌫--|------|-⌫-----|-|
le gouuernementde	-|-----------|-|
No rmandieetquemoyennant q uileust	--⌫------|-|--|--------|-⌫|-|---|
lagracedeson p èrei l sepouoit bien	-|----|-|--|-⌫---|-⌫|-|-----|---|
pas serde tousautre sb iensfaictz	---⌫--|-|---|-----⌫|-⌫---------|
bienquesineustestél acraincte	---|--|-||---|----|-⌫|-------|
desondict pèrequ ilàe stoi tpresent	-|------|----|--⌫|--|-⌫----⌫|------|
etauquelil adressoitsa parollequil	-|-----|-|--------|-|------|-|-|
eustbeauco upplus asprementpa rlé	---|------⌫-|---|--------|--⌫---|
La conclusiondudit duc	-|---------|----|--|
Philippesfutfort humbleet saigesuppli a ntauroy	--------|--|---|-----|-|----|------⌫-⌫-|-|--|
ne uouloirlegierementc roirecontre luynesonfilz et	-|------|----------|-⌫----|-----|--|-|--|---|-|
tousi o ursensabonne	-----⌫-⌫--|-|-|----|
Aprèsfutapportél euinet le s	-----|--|-------|-⌫|--|-|--⌫|
espiceset prindrent lesembassad e urscongié	------|-|--------|--|--------⌫-⌫--|------|
dupèr eet	-|----⌫|-|
Etquant ce	-|----|-|
uint qu ele	---|--⌫|-|
Euetchancelliereurentpr insco ngiédud itco nte de	-|-|----------|-----|--⌫--|--⌫----|---⌫-|--⌫--|-|
Charr oloysqui estoitassezlo ing	-----⌫----|--|-----|----|--⌫--|
deso n pe ̀re il dist	-|--⌫|--⌫--|-|---|
àleuesquede	-||------|-|
Narbonnequil u eitleder nier	-------|-|-|-⌫--|-|---⌫---|
Recomma ndez moytrèshumblementà la	-------⌫---|--|----|---------|-|-|
bone graceduroyetluydictesqui l	---|----|-|--|-|--|-----|-|-⌫|
m abienfa ictlaue r i cipa r	||---|--⌫--|----⌫|-⌫-|--⌫|
c e chan cellierma isquea uantquil soitungan	-⌫|----⌫------|--⌫-|--|-⌫---|-|-|---|--|-|
Ledict euesq uede	-----|-----⌫-|-|
Narbonnef eitcemessaigeauroyquandil fut	-------|-⌫--|-|-------|-|--|----|-|--|
c omme uous entendrez cyaprès	-⌫---|---|--------|-|-----|
Ces paroll es engendrèrent	--|------⌫-|------------|
grandhayne dudi ct co nte de	----|----|----⌫-|--⌫--|-|
C harroloysauroy au ec	-⌫--------|-|--|--⌫-|
c e quil nyauoitguèresquele	-⌫|-|-|||----|------|--|-|
rachaptéles	--------|--|
ui llesdedess usla riuièrede	--⌫---|-|----⌫-|-|-------|-|
Sommecomme	----|----|
Quen tinetau tresbaillée sparle	----⌫--|-|--⌫---|--------⌫|--|-|
uiièaudictdu c	----|-----|--⌫|
Phi lippede	---⌫----|-|
Bourg ongne par	-----⌫----|--|
le tr aictie ́quifutfaità	-|--⌫------⌫|--|--|---|-|
A rraspourenioy rparl uyetses hoirs	-⌫---|---|-|---⌫|--|-⌫-|-|--|----|
mas le s au rachaptdequ atrec ensmillee sc us	---⌫--⌫|-|------|-|--⌫---|-⌫--|----|-⌫--⌫-|
Toutesfo is ledit ducse trouuanten saui eil l esse furent	--------⌫-|----|--|-|-------|-|-|--⌫---⌫-⌫---|-----|
conduyctztous ses	--------|---|--|
affairesparmonsr	-------|--|----|
Crouy et de	----|-|-|
Chimayfrèresetautresd e leurm aiso n	-----|------|-|-----|-⌫|---|-⌫----⌫|
r ep rints on ar gentdu royetresti tualesdic tes	-⌫--⌫---|-⌫-|--⌫---|-|--|-|-----⌫--|------⌫--|
terresdontledictconte	-----|---|-----|----|
sonfilzfut fort troublécar	--|---|--|---|-------|--|
cestoientles frontières et lim ytesde leur sseigneuries	|-------|--|----------|-|---⌫---|-|----⌫|----------|
ety perdoient beaucoupde subiectzbonnesge ns	-||--------|-------|-|-------|-----|--⌫-|
pour lag uerre	---|-|-⌫----|
Il do nnoitcharged eceste matière à	-|--⌫----|-----|-⌫|----|-------|-|
cestemaisonde	----|-----|-|
Crouyetuen antson	----|-|---⌫--|--|
pèreleduc	----|-|--|
Philippesàl extrè meuieill essedonti a	--------|-||------⌫-|------⌫---|---|-⌫|
es toi t prèsilchassat ous	--⌫---⌫|----|-|-----|-⌫--|
le sdictzde	--⌫-----|-|
Crouyhorsdupaysde s on pe ̀reetleur osta	----|---|-|---|-|-⌫-|--⌫--|-|---|---|
toutesl esplacesetc hosesqu ilzteno yententre leurs	-----|-⌫-|-----|-|-⌫----|-|--|----⌫---|----|----|
Les débutsde	--|------|-|
la guerr edu	-|-----⌫|-|
Bienpeudeiours	---|--|-|----|
après lepartem entdes embassade ursdessusdictsuint	-----|-|------⌫--|--|---------⌫--|----------|---|
Lisleleducde	----|-|--|-|
Ieh andernie rmort faign a ntue nir ueoir son	---⌫-|------⌫|---|-----⌫-⌫-|--⌫--|----|--|
onclelequelentre touteslesm ai sons du	----|-----|----|-----|--|-⌫--⌫---|-|
mo ndeaymoit cette	--⌫--|-----|----|
Cedi ctduc	-|--⌫-|--|
Bourbo nestoitfilzdela se urdudictduc	------⌫|-----|---|-|-|--⌫-|-----|--|
Phil i ppeslaquellesestoitueufuelon gt emps	----⌫-⌫---|--------|-----|-----|---⌫--⌫---|
auoitet es toi tla ̀ auec	----|-|--⌫---⌫|--⌫|---|
led ictducsonfrèreet plusieursde	---⌫--|--|--|-----|-|--------|-|
sesenfans commetroy s	--|-----|----|----⌫|
fillesetungfilz	-----|-|--|---|
Toutesfoislo ccasionde lauenue dudictducd e	---------||-⌫------|-|-|----|-----|--|-⌫|
Bou rbon estoitpourg aigner	---⌫---|-----|---|-⌫-----|
etconduyrele dictducd e	-|-------|--⌫---|--|-⌫|
Bourgongnedecons enti r	---------|-|----⌫----⌫|
mectres us une arme ́eenson paysetque	-----|-⌫-|--|----⌫-|-|--|---|-|--|
semblablementferoientt ouslesautresprincesde	------------|-------|-⌫--|--|-----|------|-|
France pour	-----|---|
remons trerau	------⌫---|-|
royle mauuais	--|-|------|
o r dreet i usti ceq uilfaisoitensonroyaulme	-⌫-⌫--|-|-⌫----⌫-|-⌫|-|------|-|--|-------|
etuouloiente stref o rspourl eycontraind re	-|--------|-⌫---|-⌫-⌫-|---|-⌫||---------⌫-|
uou loitrenger	---⌫---|-----|
et futcesteguerrede puisappellée le	-|--|----|-----|--⌫---|--------|-|
bienpublicque pource	---|--------|---|-|
quellesentreprenoits oubzcouleur	-|---||-----------|-⌫---|------|
dedireque c estoit pourlebien p ublicq ue	-|---|--||-----|---|-|---|-⌫------⌫-|
duroyaulme	-|-------|
Ledictd uc	-----|-⌫-|
Phi lipp es quidepuissa	---⌫----⌫-|--|-----|-|
mortaestéappellé le	---||----|-------|-|
Phi lippes consentit que	---⌫-----|--------|--|
onmistsusdes	-|---|--|--|
gens mais len eudece ste	---|---|-|-⌫-|-|--⌫--|
matièreneluyfut iamais	-------|-|--|--|-----|
descouuertny ne	---------|-|-|
satte ndoit pointque les	|----⌫----|----|--|--|
chosesui nssent	-----|--⌫-----|
i us quesà lauoyed efaict	-⌫--⌫---|-|-|---|-⌫|----|
Incon tinents e commencèr entà mectresus le sgenset	-----⌫-----|-⌫|----------⌫--|-|-----|--|--⌫|---|-|
uintle conte de	---|-|----|-|
Po ldepuis connestable de	--⌫|-----|----------|-|
Fr ance deuersledictcontede	--⌫---|-----|-----|----|-|
Charrolo ysa ̀	--------⌫-|-⌫|
Cambrayoùpour lo r s est oit ledict duc	------|--|---|--⌫-⌫|---⌫--|-----|--|
P hilippesetluyio inctaudictlieuetle	-⌫-------|-|--|--⌫---|-----|---|-|-|
mareschal de	--------|-|
Bourg ongnequie stoit delamaison de	-----⌫----|--|-⌫----|-|-|-----|-|
Neu fc hastelledict contede	---⌫--⌫-----|-----|----|-|
C har ro loysfeist une grandeassembléedegensd ec onseil	-⌫---⌫--⌫---|----|--|-----|---------|-|---|-⌫|-⌫-----|
etautresde sgensdes o n	-|-----|--⌫|---|-|-⌫-⌫|
pèreenl hostelde l	----|-||-----|-||
Cambra y etl àde cl ai ratous ceulxd elamaison	------⌫|-|-⌫-|--⌫--⌫--⌫-|---|----|-⌫|-|-----|
Crouyenn emys mortelzde	----|---⌫---|------|-|
sonpèreetde luy nonobstant que le	--|----|-|-|--|---------|--|-|
P ol eustdonné	-⌫-|---|-----|
safille en maria geau seigneurde	-|----|-|-----⌫-|-|-------|-|
Crou ylongtempsauoit	----⌫|--------|----|
maisildisoit yauo ire stéforcé	---|-|-----||---⌫-|-⌫---|-----|
E nsommeilfaillutqu e tousfuys sentdes sei gneuries	-⌫|----|-|------|--⌫|---|----⌫---|--|---⌫-------|
Bo urgongne etperdirentbeauc oup demeub les	--⌫-------|-|--------|-----⌫--|-|----⌫--|
D etoutcecydespleu t	-⌫|---|---|-------⌫|
