enl ennordelatrinite	-||----|-|-|------|
cece lec hos e	-|--⌫-|-⌫---⌫|
seussent francois dedenz entréneussent	-------|-------|-----|-----||------|
mesquiafr ancois deuz pies donn ede pren d requat re	--|--||--⌫-----|---|---|----⌫|-|----⌫-⌫-|----⌫-|
sa band onne	|-⌫----⌫---|
ettelcoustumef rancoisontque	-|--|-------|-⌫------|--|--|
guerrep ren drontue rs erlefontqu	-----|-⌫---⌫----|--⌫--⌫-|-|---|-|
ennir euelec	-|||-⌫----||
est c oustu m equines tnouuele	--|-⌫-----⌫-⌫|--||--⌫|------|
at oulouse etdedensrouenbienpertet perra	|-⌫------|-|-----|----|---|---|-|----|
mes encoref la menssit iennentl eursforteressese t maintien nent	--|-----|-⌫--⌫---|-|-⌫------|-⌫---|----------|-⌫|--------⌫---|
etancoisq uenule encheoitle comperr al equ el que	-|-------⌫-|---|-|-----|-|-------⌫|-⌫|--⌫-|--|
enamo ureten	-|---⌫-|-|-|
amistie deflorencecele cite pa r ti	------|-|-------|---|---|--⌫-⌫-|
charlesagran t ho nn or	------||----⌫|--⌫--⌫-|
et lennorerent com	-||---------|--|
sein gnor.	----⌫---||
delauint alauiellesainneou len li	-|-|---||-|-----|-----|-|--|-|
fistlafest eplainne	---|-|----⌫|------|
ett restuitencontreliu inrentles	-|-⌫------|-------|-|-⌫-----|--|
seinnelir en dirent .	-----|-|-⌫--⌫-----||
nonquesmesilnauoient	|-----|--|-||------|
fet tel e festecom	--|---⌫|----|--|
ne si largenes i pl eniere nef u	-|-|----|-|-⌫|--⌫-----|-|-⌫|
fa iteca enarri ere .	--⌫--|-|-|----⌫--||
etpar leur stres g ranz	-|--|----⌫|---|-⌫---|
acointan cele mp e reris ade mourancela dem oura quant	--------⌫-||-⌫--⌫-⌫----||--⌫-------|-|---⌫---|----|
en fantotetsiotqu an que leauoir uot .	--⌫---|-|-|-|-|--⌫--⌫-|-⌫-|----|--||
ason uouloirfu	|--|------|-|
siseruie qu	-|-----|-|
il enf urent	-|-|-⌫----|
toute l eurui etenu z porbon s	----|-⌫--|--⌫|----⌫|--|---⌫|
ep o urloiax et	|-⌫-⌫-|----|-|
amez d eto uzle sro iax	---|-⌫|--⌫-|--⌫|--⌫--|
puislo nt esprouué et	---||-⌫-|--------|-|
aprisc arquantles lo mbars furent	----|-⌫-|----|--|--⌫----|-----|
priselr oy a ume duroy defrance il	---|-|-⌫--⌫-⌫--|-|--|-|-----|-|
or enttos t lordeliurance	--⌫--|---⌫|--|---------|
ca rcelui quibie nsertpa rdr oitsonlouie r en	--⌫|----|--|---⌫|---|--⌫|--⌫--|--|-----⌫|-|
ainsilefi rentli lombart	----|-|--⌫---|-|------|
eng i netpartelarten	---⌫-⌫|-|--|--|--|-|
sontilamésoiretmainbiauseruisetrai t p ain	---|-|---|---|-|---|---|------|----⌫|-⌫--|
d e la citela uiellesai nne	-⌫|-|---|-|-----|---⌫--|
mi strentilu negrantsemainneancois qu il	--⌫-----|-|-⌫-|----|-------|------⌫-|-|
fus sent dedensromme.	---⌫---|-----|----||
de leursdespensne	-|----|------|-|
fasiesomme	--|-|----|
mesquantentrera rommedurenttuitcil	--|----|-----||----|-----|---|--|
derommesisesmurentchascunendroitsoicefu	-|----|-||-------|------|------|--|-|-|
uoi rpormon	---⌫|--|--|
s ourcharle receuoir.	-⌫--|-----|-------||
m eism es tant f ist que	-⌫----⌫-|---|-⌫--|--|
de sonpale zenissisteten la	-|--|----⌫|-|-----|-|-|-|
bouchele besaetioingnant	-----|-|---|-|--------|
del uiassisl a	-|-⌫-|----|||
nefu pasdecuer finsicomappa ru st	-|-|--|-|---|--|-|--|----⌫--⌫-|
e n la fin.	-⌫|-|--||
l emal queilauoitou c orscaco it	-⌫|--|--|-|----|-|-⌫--|----⌫-|
etmi stlebiau	-|--⌫-|-|---|
mesirechar le en	-|---|----⌫-|-|
saco mpaingneauoit	-|--⌫-------|----|
main tfi lz de c hastelaingnela i	----⌫|--⌫-|-|-⌫-----------|-||
fu le conte	-|-|----|
daucoirr e ausintlecontede sa ncoirre et	|-------⌫|-----|-|----|-|--⌫------|-|
mon seingno rdechasteillono mainttref etm a int	--|-------⌫|-|----------||----|---|-|-⌫-⌫--|
paueillone t le conteaus intd armingnart	--------|-⌫|-|----|---⌫--||---------|
omainte saete et maintarc a usint	|-----|----|-|----|--|-⌫----|
de io ingni.	-|--⌫----||
delaalernese f aingnisi	-|-|---|-|-|-⌫-----|-|
main tenoitmolt belecou rt	----⌫-----|---|---|---⌫-|
m onseingnori ehandehare co urtes toi tleme stre	-⌫-|-------|-⌫---|-|----⌫--⌫--|--⌫---⌫|-|--⌫---|
connestableetsire do stel et	----------|-|---||-⌫---|-|
maintesfoizc harles secouru st	------|---|-⌫-----|-------⌫-|
mesauretorner	--|-|-------|
ilm ourust.	-|-⌫-----||
fudamagec ari lestoit etpre uzetsage	-|-----|-⌫-|-⌫|-----|-|---⌫-|-|---|
ch alle le bo nroy d e	--⌫---|-|--⌫|--|-⌫|
cezilleuint a	------|---||
rommededenslauilleet	----|-----|-|----|-|
aueclui songran t barnage ouiltr ouua de son	---|--|--|----⌫|------|-|-|--⌫---|-|--|
puisalasisiesmeiorn eefulac hose	---||-|-------|----⌫-|-|-|-⌫---|
siatournee quelesfrancois fi rent lormoustrea	-|-------|--|--|-------|--⌫---|--|------||
saintiehandu	----|----|-|
latranoustre.	-----|-----||
la c ompaingni e si fu grantcarfran coise stoient	-|-⌫---------⌫|-|-|----|--|----⌫---|-⌫------|
en grant demesire	--⌫----|-|-|---|
charle honnorfere.	-----|-----|---||
sifurent a l a	-|-----||-⌫|
mo ustref ereh ui t	--⌫----|-⌫--|-⌫--⌫|
milefrancoi s touzen a rmes .	---|-------⌫|---|-|-⌫---||
sen fu rent	|-|--⌫---|
faitesm aintesler mes de pi tieparles	-----|-⌫-----|---⌫--|-|--⌫--|--|--|
ex geteesdesgens qui les ont	-|-----|--|---|--|--|--|
regard ees	------⌫--|
dela n oblecela trouueeauoitchascunioi edoublee.	-|-|-⌫-----|-|------|----|------|---⌫|------||
aud epartirdelamoustr ee	-|-⌫------|-|-|------⌫-|
fu l achose apareilli ee mon seingnor rogi e rd elori e	-|-⌫|----|---------⌫-|--|-------|----⌫-⌫|-⌫|----⌫|
mer lache ualerie	--|-|---⌫------|
ens ontemp s si	-|-⌫-|----⌫|-|
bienil le f istque par	---|-|-|-⌫--|--|--|
lui fur entdes confist	--|---⌫--|---⌫------|
ceulzpar mera	----|--|--||
qu is eprenoit telfortune	--⌫|-⌫|------|--|------|
liauenoit .	-|------||
mesirecharle s	-|---|------⌫|
etsagent t ui t	-|-|---|-⌫--⌫|
armé acesmeementpa rterre uotson c he minprendre - a	----|----------|--⌫|----|--|--|-⌫--⌫--|------|||
nagier enmer	-----|-|--|
ne uottendre- mestanten hui t	-|--|-----||--|---|-|---⌫|
ala quenterre d eguer re aualaen cezile	--|-|-|----|-⌫|----⌫-|----|-|-----|
contrefedri	-----|----|
uoirssicommeledi	----|-|----|-|-|
delignagecousinsesto ient	-|------|------|----⌫---|
etensemblesi guerreoi e nt	-|-------|-|--------⌫-⌫-|
fairele f es oitlapostoileque cuidoitauoir	----|-|-⌫--⌫--||--------|--|------|----|
lamere le.	-|----⌫-||
m esdie ume rci	-⌫-|---⌫|--⌫--|
ce pasn auint nediex n el u olt	-|--||----|-|---|-⌫||-⌫--|
car ie diuoirquantie m apense	--|-|-|---|----|-||-----|
molt remaintde ceq ue	---|------|-|-|-⌫-|
folpense .	--|----||
en l a f in mescheu car en cuidan t	-|-⌫|-⌫-|------|--|-|------⌫|
fudeceuquipluscou uoiteetplus	-|----|--|---|---⌫----|-|---|
per tle nl euoitsouuenten	---⌫|--⌫|-⌫|---|------|-|
bon ifa ceencouuoita nt l	---⌫---⌫-|-|--------⌫-||
a rgent en lafinenfis t tantque	-⌫----|-|-|--|-|---⌫|---|--|
ilperdicor setauo i r.	-|----|---⌫|-|---⌫-⌫||
ils e pen sac ommentauoirpoui st le tresor de s prelas	-|-⌫|---⌫-|-⌫-----|----|----⌫-|-|-----|--⌫|-----|
e tlesuoltauoir	-⌫|--|---|----|
enses las.	-|--|--||
ar ommeunconcilemandaeta touz prelaz comm anda	|-⌫---|-|------|----|-||---|-----|----⌫---|
qua lui uenissent sanzd esr o y.	-||--|--------|---|-⌫---⌫-⌫||
mesdefrance len ostreroyd esespr el azsi	--|-|-----|-|-⌫----|--|-⌫|--|--⌫--⌫-|-|
or denaque arom menul	--⌫---|--||---⌫-|--|
etquanttou t ceuit	-|----|---⌫|-|--|
bonifacenesot pasbi enlorsq ueilfacetantque	-------|-|--|--|--⌫-|---|-⌫-|-|---|------|
r eligi onsafetse samonit ions	-⌫-----⌫--||--|--⌫|------⌫---|
a ses prelasco mmentquil aut quiluiengnenta	|--|-----|--⌫------|-|--|-|-|--------||
luisanz d efaut	--|---|-⌫----|
so itacheualou soitapie.	--⌫-||-----|-|---||--||
lesprel az ne nfurent	--|----⌫-||-⌫|-----|
pasl ieq uia pri s o nt etmonsetuax	--|-⌫-|-⌫-|-⌫---⌫|-⌫-|-|---|-|--|
a cheuau chierles gra z cheuax	|------⌫----|--|---⌫|-----|
mes decene firen tilf orce	--|-|-|-|-----⌫|-|-⌫---|
le grain lessiere ntpor lescorce.	-|----|--------⌫-|--||------||
a lapostoilecontre direntetau	||--------|------⌫-----|-|-|
roytrestouzo beirent- la	--|-------|-⌫------||-|
char r ue deuan t lesbeus-c om	----⌫-⌫-|-----⌫|--|---||-⌫-|
ded ieuetdeleur	-|-⌫--|-|-|---|
foy cre usetau	--|---⌫-|-|-|
temp ore lseretindrent	----⌫---⌫|-|---------|
lesperituel deguerpirente trenierentlor seingnordontil	|---------|-----------|-⌫|--------|--|-------|---|-|
fire ntlord eshonnor	----⌫-|--|-⌫-------|
meslor foy n estoit	--|--|--||-----|
p assormotenesorp ierre	-⌫-|--|---|-|--|-⌫----|
nepierreflotededen z paris lo r	-|-----|----|-----⌫|----|--⌫|
s ermonnaquice	-⌫------|--|-|
bo nconseillor donn ae t sil estraita	--⌫|------|--|----⌫|-⌫|-|-⌫-|----||
sacordel equi lessierentl or apostoi le.	-|------⌫|-||---------|-⌫-|-------⌫-||
firentunepom me	-----|--|---⌫-|
si firentdeparislor	-|-----|-|----|--|
saintpierreonquesnesist	----|-----|-----|-|---|
leurmauuezcuer ferelorf istquan til	---|-----|---|---|--|-⌫--|----⌫|-|
renierentl orpere	--------|-⌫-|---|
quidet ouze st mer e.	--|-|-⌫--|-⌫-|---⌫||
q uant charl esentraencez ilemaintc hastelprist	-⌫---|-----⌫-|----|-|---⌫--|----|-⌫-----|----|
etmainteuille ca rdant	-|-----|----|--⌫|---|
fedriquilaes toit adeffen se po semetoitp or	----|--|-|--⌫---||------⌫-|-|-|-----|-⌫-|
cequed eson	-|--|-⌫|--|
lignageiere.	------|---||
mou uoir n	---⌫---||
e nuos t auantnariereainzli mendaque	-⌫|---⌫|----||-----|---|-|----|--|
ilfeis t tout oupais	-|----⌫|---|-|---|
queiluousistqueia contreluiil n	--|-|------|--|-|-----|--|-||
iroitnede riens nele desdiroit	----|-|-|----|-|-|--------|
porce iu squau	--|-|--⌫--|-|
f a rtdemeschinesfu rent lale suill e suois inesrenduesa	-⌫-⌫-|-|--------|--⌫---|-|--⌫|----⌫-⌫|----⌫---|------||
mon seingnorchallessanzfereguerres nebatailles.	--|-------|------|---|---|------|-|--------||
e tfedrizquimals	-⌫|-----|--|--||
iconti nt ens es	|-----⌫-|-|-⌫-|
forterecesse tintetlessa to u t s on	---------|-|---|-|----|--⌫-⌫|-⌫-|
paiscorreneenriens neleuostrescorre.	---|----|-|-|----|-|-|---|-------||
quan tmesirek arle sceuoitconseilaprisqu e	----⌫|-|---|-⌫----⌫|-|---|------||---|--⌫|
ilenuoita uroyfedricunsienmes age quiil	-|-----|-⌫|--|-----|-|---|---⌫--|--|-|
sienmesage.	---|-----||
lem esagea fedricuintc arainsintfereli couuint	-|-⌫----||-----|---|-⌫-|------|---|-|------|
robertotn onpet it de	-----|-|-⌫-|---⌫-|-|
corssageennon	---|---|-|--|
etauecleconte d aucoirreestoitale zencelle	-|---|-|----||-------|-----|---⌫|-|----|
limesagier fistson d euoir et	-|-------|---|--|-⌫----|-|
distfe dric	---|--⌫---|
ilestbienuoirquemesagen edoit	-|--|---|---|--|-----|-⌫|---|
auoirm a l de nul u i ne	----|-⌫-⌫|-|---⌫-⌫|-|
re ce uoir.	--⌫--⌫---||
si teuueilmonmesa gedired e parcelui q ui	-|-|----|--|----⌫-|---|-⌫|--|----|-⌫-|
est monsirechar ledefrance et	--|--|---|----⌫-|-|-----|-|
sonb arnagequ it erequiertsontreuage detoute	--|-⌫-----|--⌫|-⌫|-------|--|------|-|----|
cestere gio n	----|--⌫---⌫|
caratoil a succession n est pasnene	--||--|-⌫|---------||--|--|-|-|
pue tauenir.	---⌫|-----||
de sfranc oisl a t	--⌫|-----⌫--|-⌫||
estuettenir quipieca	-----|----|--|----|
lont par gue rre a quiseducommandement s aintey glise	|--|--|---⌫--|-⌫----|-|-----------|-⌫----|-⌫----|
aeulzena p arti entl onneur .	|---|-|-⌫-⌫----⌫--||-----||
francoisen sont li droit xxx	-------|-|---|-|----|--|
droi tauoir i cuides	----⌫|----||-----|
ilco uuientque ses c hastiaxwi des	-|--⌫-----|--|--|-⌫------|--⌫--|
etquees chans	-|--|-|----|
combatreuiengne s etcom	-------|-------⌫|-|--|
cheualier temaintiengne snonpascomhom e nprisonn é.	--------|-|-----------⌫|--|--|--|--|-⌫--------⌫-||
einsilenain laresonnéetrequis	----|-|---|||-------|-|-----|
debataillefer e oupar forcele feront	-|-------|---⌫|-|--|----|-|-----|
trer e deces chastiaxdecesmesonscartrop	----⌫|-|--|-------|-|--|-----|--|---|
degrans seisonsdemourécomme	-|----|------|-------|----|
biendroizquet e r emuespourlai rauoir	---|----|--|-⌫|-⌫----|---||--⌫|----|
nouueletprend re et	-----|-|-----⌫-|-|
quet e uiengnes akarl	--|-⌫|-------||---|
fe d ricquantlemesageoui ilnefu pasmolt	--⌫-⌫--|----|-|-----|--|-|-|-|--|---|
esiouine ne se	-----|-|-|-|
potten irde r ire.	--|---⌫-|-|-⌫--||
aunaimacommancie ́adire dont	-|---||---------⌫||---|---|
fustunezet dequiexgenz	--|-|--|-|-|----|---|
est ucheualiersou	-|-⌫|---------|-|
ch arlesqui ici t	--⌫----|--|--||
e nuo ia sonte mpsmalemen t emploi a quantpartel personne despite	-⌫---⌫-|--|--⌫--|-------⌫|------⌫|----|--|--|-------|------|
maesté sauolente dite .	||----|-|------|---||
setouzcelzquisont	-|---|---|--|---|
ensaide t e resemblentdi	-||---|-⌫|---------|-|
il widet ostle	-|---|-⌫--|-|
paisetl acont reecardemaleurei f ist	---|-|-⌫|----⌫--|--|-|--|---||-⌫--|
et honteenauraet	-|----|-|---|-|
uergoingn e- quantil	---------⌫||----|-|
aempristelbesoingnecomd	|-----|--|--------|--||
encontre s o n sanc	-------|-⌫-⌫|---|
s i liuausist	-⌫|-|------|
miex reculerquepluscauenir	---|------|--|---|-|----|
en auant .	-|----||
molttostliertmué le u e nt	---|---|-|--|---|-|-⌫-⌫-|
asdeprosperite	-|-|---------|
enmeschiefetaduersi tel ifo lnedoute	-|-------|-|-------⌫-|-⌫|--⌫|-|----|
i usqui prent	-⌫---||----|
porf olti engceluiqui	--|-⌫-|--⌫--|----|--|
e mprentlachose qu il	-⌫-----|-|----|-|-|
ne puet fo rnirmiexne	-|---|--⌫---|---|-|
sepuetho nsparhonnir .	-|---|--⌫-|--------||
c harlessi	-⌫-----|-|
ala ch o s eemprise mesauparf air e	|-|--⌫-⌫-⌫|------|--|-|----⌫---⌫|
mestrise .	-------||
en droitde moi	--⌫----|-|--|
ienen aiso ing	-||-|-|--⌫--|
mesceulzli	--|----|-|
faudro ntaubes oing	------⌫-|-|---⌫---|
quil onten cestafairemiscar	--||--|-|---|-----|--|--|
ilnesont p a surais	-|-|---|-⌫-⌫|----|
sinapasci b onseiour nercarquantcu ider a	-|||--|-|-⌫-|------⌫--|--|----|--⌫----⌫|
r e t or nerdetoutespars ier t siencl os	-⌫-⌫-⌫--⌫--|-|-----|---|---⌫|-|----⌫-|
quendurerne p orra lescops.	-|------|-|-⌫---|--|---||
a mesire challesdiras	|-|---|------|----|
qua seingnorletieng e t cousinsi lirequi er	-||-------|-|----|-⌫|-----|-|-|-----⌫-|
uoisi nnason am i chose ne facedont	-----⌫|||--|--⌫|----|-|---|---|
enuer smoi de	-----⌫|--|-|
rie nsmefface	---⌫-|------|
bienleleraiesbanoier	---|-|----|--------|
lui neueilguerroier	--|-|---|--------|
uoitetu iengnepa rle pai sie n ese raiia	---|-|-⌫-----|--⌫|-|---⌫|-|-⌫|--⌫--|-|
esbatrese n uoitparlescha nscar s agessommes	------||-⌫|---|--|--|---⌫-|--|-⌫---|-----|
etsac ha nspornosfor tere ces garder.	-|---⌫--⌫-|--|--|---⌫----⌫--|-----||
diliq u iporrabien tarder	-|-|-⌫||----|---|-----|
dere torneren d oucefr anc e.	-|--⌫-----|-|-⌫---|--⌫---⌫||
orl idinaim que	-|-⌫|-|---|--|
ilsauance .	-||-----||
cedist fedr iz e n	-|---|----⌫-|-⌫|
auenture mesi l di st	-------|--|-⌫|--⌫-|
laueritepure	-|-----|---|
carancoi squil futreto urnéfu rent fra n coismala torné	--|-----⌫--|-|--|----⌫----|--⌫---|---⌫-⌫---|--|-⌫-----|
a court raydo ntpartensf e ron	|-----⌫--|--⌫-|--|---|-⌫-⌫--|
mention quant	------|----|
e n point seron.	-⌫|----|----||
l ena imdoure to urnerpensaetfedriz de bien	-⌫|--⌫-|--|--⌫--⌫----|----|-|-----|-|---|
sapensac ar il	|-----|-⌫-|-|
a le n a im	|-|-⌫-⌫-|
miexmontéquetel	---|-----|--|--|
estsire deconteet donné de richesioiaxcar	--|---|-|----|-|-----|-|-----|----|--|
lenaintro uuailloiax en son mesageet	-|---|---⌫--|-|----|-|--|-----|-|
ensonfait.	-|--|---||
etp o rcefedr izliafet	-|-⌫-⌫|-|----⌫-|-||--|
et co urtoisi eet honnor etplusencor porson	-|--⌫-------⌫|-|-----|-|---|----|--|--|
seingnor .	-------||
lendistque	--|---|--|
porlecheual ier baise	--|-|------⌫--|----|
e tporc e que	-⌫|--|-⌫|--|
fedrizt ro uuale naimsageet	-----|-⌫--⌫--|-|---|---|-|
es pr ou uaalui	--⌫--⌫--⌫-||--|
hon orerentendist.	---⌫---|--------||
lendoit enten dre cequ ildis t non	--|---|-----⌫--|-|-|-|---⌫|--|
pasquic ile stquiparol e	--|--|-⌫-|-⌫-|--|-----⌫|
carmolts ouuent uneparoledist	--|---|-⌫-----|--|-----|---|
u nbiaxh onsquinest pas	-⌫|---|-⌫--|--||--|--|
a ussi depetitepersonneot lensouuentbiengran tsens	-⌫---|-|-----|-------|-|--|------|---|----⌫|---|
lenne pue t paslesensd escriredu nhons	--|-|---⌫|--|-|---|-⌫------||-⌫|---|
silest biaxpard e horscar le sens	|-|--|---|--|-⌫-⌫---|--|-|---|
e st d edenslecors	-⌫-|-⌫----|-|---|
etlecuerestsa mansion sanz	-|-|---|--|-|------|---|
auo irnuleacep tion.	---⌫-|---|----⌫---||
einsinqueslenai m sen reuin tet tou t	---------|-|---⌫||-|-----⌫|-|---⌫|
ainsi c ommeilcouui nt	----|-⌫---|-|-----⌫-|
a so nmesageraconté	|--⌫|-----|-------|
siselouadel a bo ntequed an fedricfe te	-|-|---|-|-⌫|--⌫--|--|-⌫-|-----|--⌫-|
etquant m esire	-|----|-⌫|---|
cha rle lotaguerroi ersa	---⌫--||-||-------⌫-|-|
gen tensaing ne	---⌫|-------⌫-|
mespetitiot degaaingnecarlescha s tiax	--|----||-|-|-------|--|--|---⌫-⌫---|
carnisestoient et	-----|-------|-|
les cite zr iensnedoutoientd ont	--|----⌫|-⌫---|-|--------|-⌫--|
len lesp eustase gier	--|--|-⌫---|---⌫---|
sinesto itpas mo ltde legie rprendr ecarfortune	-||----⌫-|--|--⌫-|-|-----⌫|------⌫|--|------|
clochoit et l	-------|-||
iuer ausintaprouchoit.	---|-----|---------||
l anneeyye t	|----|-|-⌫|
zz defrancefurentlicom munes me u	-|-|-----|-----|-|---⌫--|--⌫--⌫|
poraleren fland res.	--|---|-|-----⌫--||
fupa sliro ys	-|--⌫|-|--⌫-|
tendresauprumier me s au	------|-|------|--⌫|-|
derrenieren	--------|-|
fuil lasc hes etlanier.	-|-|----⌫--|-|-----||
droizqueilsenplaingnecar	----|--|-||-|-------|--|
ila uoiten s a compaingnefran ce	-|-⌫---|-|-⌫|---------|----⌫-|
poito etpicardi eaniouchampaingneetnormendi ebretai ngne	----|-|-------⌫|----|----------|-|--------⌫|------⌫---|
thoreingneborgoingnetoutela te r redegascoingne .	---------|---------|----|-|--⌫-⌫-|-|---------||
mes toute ic este compaingnie ni fistqui	--|----|--⌫---|----------|||---|--|
uausistune alie carl oy sliquens d enneuers	------|--|---|--|-⌫--⌫|-|----||-------|
l esamisauro ymi stenue rspar donset	-⌫-|---|-|--⌫|--⌫-|----⌫-|--|---|-|
enautremanieresi com meilfu ca	-|----|------|-|---⌫-|-|-|-|
en arriere	-|------|
tr ou uéparplusorsgenti l zhomme s	--⌫--⌫--|--|------|-----⌫-⌫|-----⌫|
quiledirent co mme	--|-|-----|--⌫--|
preudommesauroyetencore enap ertmalse queuure	---------|-|--|-|-----|-|--⌫--|--|-|------|
et ai nsintnosgens ri e nsnefirentmesqu epar	-|--⌫----|--|---|--⌫-⌫-|-|-----|-----⌫|--|
lesc hanssededuirent	--|-⌫---|-|--------|
e t l i ro ys si	-⌫|-⌫|--⌫-|-|
sonnoitsesc orspar lesfor ez chacan zles	------|--|-⌫--|--|--|---⌫-|------⌫|--|
porset leso i siaxquisontuol ages .	---|-|--|-⌫-⌫---|--|---|---⌫---||
et flamensprenoie ntostages	-|------|-------⌫-|------|
leursuilles	----|-----|
serr entetr estr aingnent a mor t	----⌫--|-|-⌫----⌫-------||---⌫|
metent quan qu ilataingnent	-----|----⌫-|-|---------|
cine le stient	-|-|--⌫|----|
onpasporfolx.	-|--|--|---||
iaqu es de saintpolx sifucause de	----⌫-|-|----|---|-|-|----|-|
cestoutrage pa r coustume par	---|------|--⌫|-------|--|
malusagequiluot e nflandres	--|----|-|-|--|-⌫|-------|
cefistlesfl amensesleuer.	-|---|--|--⌫----|------||
p arauarice e tcouuoitise	-⌫-|------|-⌫|---------|
laguerrefu	-|-----|-|
