ce stlel ay	|-⌫-|-|-⌫-|
lad ameengr anttrist o r	-|-⌫--|-|--⌫--|-----⌫-⌫|
delermesde sou pir	-|-----|-|---⌫--|
sa biau tepert	-|----⌫-|---|
e ntelmesure	-⌫|--|-----|
conm e celequi n ena cure	----⌫|---|--||-||---|
des oimeismesmiex uosist	-|-⌫-|------|---|-----|
que lamortt ozior sla preist	--|-|---|-⌫-|---⌫|-|-----|
mois d auril entran t	---||----|------⌫|
quantci loi sel mainent lorchant	----|--⌫|--⌫--|------|--|----|
l isires fu	-⌫|----|-|
matin leuez	----|----|
d aleraillorsest	|---|------|--|
lauielleafetleuer sus	-|-----||--|----|--|
etapreslui fermerles hus	-|----|--|-----|--|--|
c elea sonconmandement fet	-⌫--||--|-----------|--|
enuneautrechambresenuet	-|--|----|------||-|--|
ma inportesonsauti er	--⌫-|----|--|-----⌫-|
uoloit uersei llier	-----|------⌫----|
ladam e empleuretenes ueil	-|---⌫|-|----|-|-|--⌫---|
cho isi laclartedu souleil	---⌫--|-|-----|-|------|
d elau ielle sestparceue	-⌫|-|-⌫----||--|------|
quedela chambreestoitissue	--|-|-|------|-----|----|
moltseplaingnoi tetsou pir oit	---|-|---------⌫|-|---⌫---⌫--|
etemplora nt se	-|-|-----⌫-|-|
d eme ntoit	-⌫---⌫----|
lasse fetele mar fui nee	----|--|--|--|--|--|
moltestdur e m adestin ee	---|--|---⌫|-⌫|------⌫-|
en cest e t orsui	-|----⌫|-⌫-|--|
enistraise	-|-----|-|
pormortnon	--|---|--|
ces tu iel	---⌫|-⌫--|
ia losdequoile cri ent	--⌫--|-|---|-|---⌫--|
q uiensigrant	-⌫-|-|-|----|
p ri so nme	-⌫--⌫--⌫|-|
molt parest fol etesbaiz	---|--|--|--|-|-----|
ilcuideestr etoz iors trahiz	-|----|----⌫|--|---|-----|
ie nepuisaumestieruenir	-|-|---|-|------|----|
ne l eser uise dieuoir	-|-⌫|---⌫---|---|--|
segepeusse a gentparler	-|-|-----||---|-----|
neen aucun deduit al er	-|-|----|-----|--⌫-|
pluslimostrasse	---|-|--------|
bonsemb lant	--|----⌫---|
ianeu sseietalen t	-||--⌫--|-|-----⌫|
ma looitsoie nt tot miparen t	--⌫----|----⌫-|--|-|-----⌫|
e tliautreconm unement	-⌫|-|----|----⌫------|
qu iacestialo sme donnerent	--⌫||---|----⌫|-|--------|
et ason cors	-||--|---|
me m arierent	-|-⌫-------|
af ortecor detraiet	|-⌫---|---⌫-|---|-|
ilneporra iamesmori r	-|-|----|-|--|----⌫|
d ur sontli nerduresles uaine s	-⌫-|---|-|--|----|--|-----⌫|
q ui deuifsancsont t otes pla innes	-⌫-|-|--|---|---|-⌫---|---⌫----|
moltaioi souentconter	---|-|-|-----|-----|
queonsoloi t	--|-|-----⌫|
iadi strouer	----⌫|-----|
auenturesen ces t	--------|-|---⌫|
qu i rehetoientl espensis	--⌫|---------|-⌫-|-----|
cheualierstrouoient	---------|--------|
a l or talenz	|-⌫-|-----|
gentes etbeles	-----|-|----|
et da m estr ouoie ntama nz	-|--⌫-⌫-|--⌫-----⌫-|---⌫-|
biausetcortoispreuze tuaillanz	----|-|------|----|-⌫|-------|
siquellesblasmeenestoient	-|-|----|------||-------|
n enus forsellen	-⌫|--|---|---||
se cepuet e street ce uoi rfu	-|-|---|-⌫---|-|-|---⌫|-|
etsa nu luiestauenu	-|||--⌫--|--|----|
dieuxquide tot a	----|--|-|--||
sienfac e mauo l ente	-|-|---⌫|-|--⌫-⌫---|
quanteleotfet s a p lainte ainsi	----|--|-|--|-⌫|-⌫-----|----|
lombre d u ngrant oiselchoisi	|----||-⌫|----|----|-----|
parmi uneestro ite fenestre	----|--|-----⌫--|-------|
el ene sot quecepot estr e	--⌫|-|--|--|-|--|----⌫|
enlachambre uolantentra	-|-|------|-----|----|
g iezotes piez osto rsemb la	-⌫--|-|-|---|----⌫|----⌫-|
iles t de u ant	-|--⌫|--⌫-⌫--|
l adameasis	-⌫|---|---|
ot p e u esté	-|-⌫-⌫|----|
etelelab ien	-|--|||-⌫--|
cheualierbeletgent	--------|--|-|---|
merueill eletint	--------⌫|-|---|
li sans li	-|---|-|
remue etfremi	----|-|----|
gr an tpoorot	--⌫--⌫|---|-|
son chiefc our i	--|----|-⌫---⌫|
moltfuc or toi slicheualiers	---|-|-⌫--⌫---⌫|-|---------|
illenare sonnapremier s	-||-|---⌫----|-------⌫|
dam efetil n	---⌫|--|-||
g enti loiselaenostor	-⌫----⌫|----||-|----|
seli segre nossonto scur	-|-|----|--|---|-⌫---|
gard ezquesoiona s seur	----⌫-|--|----|-⌫|---|
si f etes de	-|-⌫---|-|
moiuos treami	--|---⌫--|--|
por c efe t	--|-⌫|--⌫|
ilui ng ieici	-|--⌫-|-|--|
ieuosai long uement	-|--|-|----⌫-----|
et e nmoncuermol t	-|-⌫|--|---|---⌫|
onques fame fo r s	-----|---|--⌫-⌫|
ne ia mesautr e namer ai	-|-|--|----⌫||----⌫-|
nefor sd e mo npais	-|---⌫|-⌫|--⌫|---|
seuosn emeussiez	-|--|-⌫||------|
orp uisbi e n estre uostreamis	-|-⌫--|--⌫-⌫|----|-----|---|
ladames erase ura	-|---|-⌫|----⌫--|
son chi efdescourisiparla	--|---⌫-|-------|-|----|
aucheualiera	-|--------||
etditquele	-|--|-|--|
enferaso n dru	-|---|--⌫|--|
se end ieucro itet iss i fust	-|-|-⌫--|---⌫-|-|---⌫|---|
queloramor e strepeust	--|--|---|-⌫---|----|
car estoit degrantbiau te	--|-----|-|----|----⌫-|
onqu esnuli or	----⌫-|--|-⌫-|
de son a e	-|--|-⌫|
cheual i er nesgarda	------⌫-⌫-||------|
neiames sibeln euerra	-|-|--|-|--|-⌫|----|
damefetilu osdites bien	---|--|-|-⌫-|----|---|
neuoudroiepornulerien	-|-------|--|---|---|
quede moiiait achoison	--|-|--||--|-------|
mescrea ncene sou pecon	-------⌫--|-|---⌫----|
se uosdeceneme screez	-|--|-|-|-|--⌫-----|
uostrechapela i ndeman dez	-----|-------⌫-⌫|-----⌫--|
ditesquem alu os	----|--|-⌫-|-⌫-|
asorp rise	|----⌫---|
s i uolezauoirle ser uise	-⌫|----|----|-|---⌫---|
que dexaelmont e stabli	--|--||-|---|-⌫-----|
dontli pecheorsont g ari	---|-|------|---|-⌫--|
las em blance deuo spran drai	-|-⌫--⌫-----|-|--⌫|----⌫---|
le corsdame de ureceura i	-|---|----⌫--⌫|-------⌫|
m acreanceuo s dirai	-⌫|------|--⌫|----|
iam ardec eserez en doute	-|-⌫-|-|-⌫|----|-|----|
elli respontbienauezdit	-|-|------|---|---|--|
s est couchi ez ellit	|--|------⌫-|-|--|
meseln eu oltalui touchier	--|-|-⌫|-⌫--||--|-------|
n edacolernedebesier	-⌫||-----|-|-|-----|
atantlauielle	|---|-|-----|
estre periee	--|--⌫-----|
ettrueue ladameesueil lie e	-|-----|-|---|------⌫---⌫|
dit liquetensestdeleuer	--|-|--|---|--|-|----|
l es dras li uol oit	-⌫-|---|-|---⌫--|
la dame d it	-|---|-⌫-|
queleestmalade	-|--|--|-----|
du ch apelains epra ign e	-|--⌫------|-⌫|---⌫---⌫|
s i fa ce tostali u enir	-⌫|--⌫-|---||-|-⌫---|
cargrant poor ade morir	--|----|---||-|----|
ditor uosso ffrez	--|-|--|--⌫----|
mess ires estel boisal ez	--|-⌫---|--|-|---|--⌫-|
nusnen tre ra ceanzforsmoi	--||--⌫---⌫-|----|---|--|
moltfuladame en grantesfroi	---|-|-|---|-|----|-----|
semblantfi stquelese pasm a	-------|--⌫-|-|--|-|----⌫|
lauie lleuoitsisesmaia	-|---⌫--|---|-||-----|
luisdelacham brea	|--|-|-|----⌫--||
sialeprestr e	-||-|------⌫|
dem and é	---⌫---⌫-|
etcil iuintcomplustostpot	-|--||---|--|---|---|--|
licheu al ierl ar eceu	-|----⌫--⌫--|||-⌫---|
leu in du g alice beu	-|-⌫-|-|-⌫----|--|
li chapelain s senest a lez	-|---------⌫||-|--|-⌫--|
etl a u ielle	-|-⌫|-⌫----|
ales huis ferm ez	|--|---|----⌫-|
la dameiutlez	-|---|--|--|
on que ssi	--⌫---⌫|-|
belco uplene ui	--|--⌫---|-|-|
quantasse z o t	----|----⌫|-⌫|
rise t ioé	--|-⌫|---|
etdelor pri uete parlé	-|-|--|---⌫---|-----|
lec heualier acong iepris	-|-⌫-------||----⌫-|---|
ral ersen uelt en	---⌫-||-|---|-|
p ri e douce me nt	-⌫--⌫|-----⌫--⌫-|
la uoiebiensouu ent	-|---|---|----⌫--|
dame f et i l	---|-⌫-|-⌫|
qu antuospl era	--⌫--|--|--⌫--|
netrespassera	-|----------|
mestelmesureenesgardez	--|--|-----|-|-------|
quen osne soions	--|-⌫-|-|-----|
en combrez	--⌫------|
c esteuiellenos	-⌫---|-----|--|
et nuit et io rnosgai ter a	-|---|-|--⌫|--|---⌫---⌫|
ele parc eura nostre amor	--|----⌫---|-----|---|
s el co nter auostreseignor	|-|--⌫----⌫|-----|------|
sei nsintauient com ieuos	|--⌫----|-----|--|-|--|
que nossoion s ainsitr ai	--|--|-----⌫|----|--⌫-|
n e menpuis	-⌫||-|---|
miedepartir	--|-------|
qu ilnemen e st u i ss e m o rir	-|-|-||-|-⌫--⌫-⌫-⌫--⌫|-⌫-⌫--|
licheualiersatantsen uai t	-|---------||---||-|---⌫|
a g rantio ie s	|-⌫---|--⌫-||
eld emainli euetotesain ne	-|-⌫----|--⌫--|---|----⌫-|
moltfuhaitié	---|-|------|
lasemainne	-|-------|
sonco rstinten grantchierte	--|--⌫-|---|-|----|------|
totereceueuresabiaute	---|--------|-|-----|
plestplus le seiorner	----|---|-|-------|
quennulautrededuitaler	-|-|--|----|-----|---|
s onamiuelts ouentueoi r	-⌫-|--|---|-⌫----|----⌫|
ets aioiede lui	-|-⌫|---|-|--|
desqu esson sire	-----⌫-|--|---|
etiorettostetta rt	-|--|-|---|-|--⌫-|
toutasonplaisir	---||--|------|
orle n dointd exlong u esioir	-||-⌫|----|-⌫-|----⌫-⌫-|---|
por lagrant ioie ouele fu	--|-|----|---|-|--|-|
q ue souent otolui sondru	-⌫-|-----|-||--|--|--|
so ns emblantest oitt ot changié	--⌫|-⌫------|---⌫--|-⌫-|-------|
sonseignorestmoltuezié	--|------|--|---|-----|
en soncorage s aparcoit	-|--|-----||-------|
q autrementertqu e lne soloit	|--------|--|-|-⌫|-|-----|
dece sestoitapa rceue	-|-||-----|---⌫----|
don tl a l isi res	---⌫|||-⌫|--⌫--|
par foifet il ie	--|--|--|-|-|
cuitie bi en	---|-|--⌫-|
oruos estuetfere unerien	-|--|-----|---|--|---|
aumatinqu ant gi ereleu ez	-|----|--⌫--||-⌫--|---⌫-|
au rezl e s huis	--⌫--|-⌫-⌫|---|
fetess emblantdefors issir	----|-⌫------|-|---|----|
silalessi ez	-|-|-----⌫-|
seule ge si r	----|--⌫--⌫|
leuuos metez	--|--|----|
etsiueezetesga rdez	-|-|---|-|----⌫---|
quec epuetestreetdont ceuient	--|-⌫|---|----|-|---|-|----|
quiensigrantio ie	--|-|-|----|--⌫-|
sontdepart i	---|------⌫|
haila s comi er ent ma ubail li	-----⌫|--|-⌫--⌫--|--⌫-----⌫-|
ceusqueonueu ts i aguetier	---|--|-|---⌫|-⌫|-------|
por eustrair et enng ingnier	--|--|----|-|----⌫------|
t ierziorapr e s coiconter	-⌫---|--|---⌫-⌫||-|-----|
fistlisires	---|-|----|
semb l ant d er rer	----⌫-⌫--||--⌫--|
asa fameaditetconté	|-|---||--|-|-----|
queliro is l	--|-|--⌫-||
a pa rbrief mande ́	|--⌫|----|-----⌫|
meshastiuementreuendra	--|----------|-------|
chambreist et luisferma	------|--|-||--|----|
dontsestoitl auielleleuee	---||-----|-⌫|-----|----|
t riersu necortineestalee	-⌫----|-⌫-|------|--|---|
bienporra oiretueoir	---|----|--|-|----|
c equelecouoit eaueoir	-⌫|-|--|------⌫||----|
ladame iu t pasne	-|---|--⌫|--|-|
carmoltdesi rre sonami	--|---|----⌫--|--|--|
es tplus n i demeure	--⌫|---|||------|
n etrespassetermeneeure	-⌫|--------|----|-|---|
ensemble fo ntio ie	-------|--⌫-|--⌫-|
moltgr a n t	---|--⌫-⌫-⌫|
etparparoleet pa rsemblant	-|--|-----|-|--⌫|-------|
desiquetens fudeleuer	------|---|-|-|----|
card ont lecou e noit de aler	--|-⌫--|-|---⌫-⌫---|-|---|
celeleuoitsil esgarda	---|-|---|-||------|
comme nt iluitcommentala	-----⌫-|-|--|------|--|
de ce otele	-|-|-|--|
homfuprime s	--|-|-----⌫|
etpuisostor	-|---|----|
quant lisiresf u	----|-|----|-⌫|
reparri ez	-------⌫-|
estoitgueres esl oingniez	-----|-----|---⌫-------|
cele liaditet	---|-||--|-|
ducheualie rla uerite	-|--------⌫|-|-----|
etilen estformentpensis	-|-|-|--|------|-----|
des enginsferefu hastis	--|-----|---|-|-----|
aoc irr eleche ualier	|--⌫---⌫|-|---⌫-----|
b rochesdeferfist gran z forgier	-⌫-----|-|--|---|----⌫|------|
et asere rle chiesde uant	-|-----⌫|-|----|--⌫---|
sozcieln a	--|---|||
ras o ir plustrancha n t	---⌫-⌫-|---|-------⌫-⌫|
quantil le s	----|-|--⌫|
ot apare illiez	-|-----⌫-----|
etdetoutesparzacui siez	-|-|-----|---|----⌫---|
so r lafenest r e les a mis e s	--⌫|-|------⌫-⌫|--||---⌫-⌫|
b ien serreesetbien assises	-⌫--|------|-|---|------|
paroule che ua lierpassoit	--|-|-|---⌫--⌫---|------|
quanta lachambrereperoit	----||-|------|-------|
dieux que ne setlat raiso n	----|--|-|--|-|-⌫-----⌫|
quapareillent lif elon	-|----------|-|-⌫---|
elde maina la m atinee	-|--⌫---||-|-⌫-----|
lisirelieue al	-|---|----|||
i lue lta lerchacier	-⌫|--⌫-|-⌫--|------|
lauiell ele	-|-----⌫|-|
ua conuoier	-|-------|
pu isserecouche	--⌫-|-|-------|
carnepooit	--|-|----|
leior d ormir	-|--|-⌫----|
ladameueilleetsia te nt	-|---|-----|-|-|-⌫--⌫-|
cel uiqu eleainme l oia ument	---⌫-|-|--|----|-⌫---⌫----|
e tdit corpuet bien	-⌫|--||-|---|---|
et estre o lui tout alo isi r	-|----||--|---||--⌫---⌫|
conmeellotdemand é	----|-||-|------⌫-|
ni a puis guere sdemoré	|||---|-----⌫|------|
fenestreuintuolant	-------|---|-----|
me slesbroches	--⌫|--|------|
furentdeuan t	-----|-----⌫|
lu nelenfiert	|-⌫-||-|----|
parmileco rs	----|-|--⌫-|
le sanc uermeil len saill ifors	-|---|------||-|-----⌫|---|
q uant ilsesen t	-⌫---|-|-|---⌫|
amortn auré	|---|-⌫----|
sisedesferreenzestentré	-|-|-------|--|--|-----|
deuan tladameellitdescent	-----⌫|-|---|-|--|------|
quetuitlidr ap	--|---|-|--⌫-|
fure nts anglent	----⌫-|-⌫------|
moltangoisseusementsesmaie	---|--------------||-----|
quanteluitlesan cde s a	----|-|--|-|---⌫|-|-⌫|
ma douce amie	-|----|---|
po ruostr eam orp ertiela	--⌫|-----⌫|--⌫-|-⌫--|-|-|
bien uosdis q ainsincauendroit	---|--|--||------|--------|
uostre semblan tn osoc irroit	-----|-------⌫|-⌫-|--⌫-----|
qu antceoidon tch iet pa smee	--⌫--|-|-|---⌫|--⌫--|--⌫---|
toutefumortune loee	----|-|---|--|---|
conforte dou ceme nt	-------|---⌫----⌫-|
qued uelniuaut noient	--|-⌫--|||---|-----|
deluiest enceinted enfan t	-|--|--|-------||-----⌫|
fi lau rapreuet uaillant	--⌫|--⌫-|---|-|-------|
celui l a reco nfo rte ra	----|-⌫|----⌫---⌫---⌫-|
yonetnomerlefera	----|----|-|---|
il ueng era	-|----⌫--|
etlui etlui	-|--|-|--|
il o cir r as on a nemi	-|-⌫---⌫-⌫|-⌫-|-⌫---|
ilnipotplus	-|||--|---|
demorermes	------|--|
carsaplaiel isainneades	--|-|----|-⌫|-----|---|
agr antdolorsen	|--⌫--|----||-|
est partiz	--|-----|
elelesieut am olthauzcriz	--|-|----||-⌫--|---|---|
pa runefe nes tresenist	--⌫|--|--⌫---⌫--||-|--|
cestmerue ille	|--|-----⌫---|
que l nesocist	-|-⌫|-||----|
carbienauoit	--|---|----|
pi ez de haut	--⌫-|-|---|
il lecloueleprist	--⌫--||-|--|----|
e leesto it nue ensachemi s e	-⌫-|----⌫-|--|-|-|-----⌫-⌫|
alatra cedusancsestmise	|-|---⌫-|-|---||--|---|
qui du cheualierdec oro it	--|-|--------|---⌫---⌫-|
sorlecheminoueleestoit	--|-|-----|-|--|-----|
icel sent ier erraett int	---|----⌫--|---|-|-⌫--|
desiqu aunecau euint	-----||--|---⌫|---|
uneentr e e	--|----⌫-⌫|
de c elf u	-|-⌫-|-⌫|
te inte ensanglentee	--⌫---|-----------|
deua ntsemet agrante sploi t	----⌫-|-|--||----|-⌫-----⌫|
dont c u ideeleb ien	---|-⌫-⌫--|--|-⌫--|
que sesamis entrezi	--|--|---|-----||
metnoient niuoit	--|-----|||---|
quelnitrouanulecl arte	-|-|||----|---|--⌫---|
tantaledro it chemin erré	---||-|---⌫-|-----|----|
ca uee stoitissue	--⌫-|-⌫----|----|
etenmolt biaupreue nue	-|-|---|---|--|--⌫--|
du sanctr ouu a l erbemoillié	-|---|--⌫---⌫||---|-------|
don tsestelemo ltesm a i é	---⌫||--|--|--⌫-|---⌫-⌫-⌫-|
l at racee n s ieutpa r mi le p re	-⌫|-⌫---|-⌫|-⌫---|--⌫-⌫-|-|-⌫-|
assezpres uitune cite	----|---|--|--|---|
fuc losetot entor	-|-⌫---|--|----|
n i otme son salenetor	||-|--⌫--|---|-|--|
qu ine paruttote	--⌫|-|----|---|
molt s ontricheli mand eme nt	---|-⌫--|----|-|----⌫---⌫-|
deu er s le bois	---⌫--⌫|-|---|
sontlimaroi s	---|-|-----⌫|
et les fo rezetles	-|--|--⌫--|-|--|
de l a utrepart	-||-⌫---|---|
l ezledonion	-⌫-|-|-----|
euetot enuiron	--|--|------|
illecariuoi en t lesnes	----|------⌫--⌫|--|--|
plusiauo itde tres	---||---⌫-|-|---|
laportea ualfudesfermee	-|----|-⌫--|-|--------|
ladameest en lauile entree	-|---|--|-|-|---|-----|
t otiorsa pre s	-⌫-|---|-⌫---⌫|
les an c nouel	-|-⌫--⌫|----|
parmile bor ciusqu auchaste l	----|-|---⌫|----|-|------⌫|
onqu esnus	----⌫-|--|
n omene fame n i troua	|--|-|---|||----|
elpalesuient elpau ement	-|----|----|-|---⌫----|
des ancletrueuetot san glen t	-|-⌫--|-|-----|--|---⌫----⌫|
enun ebelechambreent ra	-|--⌫|---|------|---⌫-|
cheualierdormanttroua	--------|------|----|
si uint auant	-|---|----|
enu neautre c hambreplusgrant	-|-⌫-|----|-⌫-----|---|----|
lit trueueetnoient	--|-----|-|-----|
cheualierdormant	--------|------|
eles en est outr epassee	--||-|--|----⌫|-----|
en la tiercechambreest	-|-|-----|------|--|
lipecolsontd oresmeré	-|----|---||-|------|
n esai miel esdras proier	-⌫|--|--|-⌫-|---|-----|
lic ierg e	-|-⌫----⌫|
chand elier	-----⌫----|
e t nui tet	-⌫|---⌫|-|
iorsont alumé	--|---|-----|
ual entto t l ord	---⌫--|--⌫||-||
sitostco n meelelaueu	-|---|--⌫-⌫-|--|||--|
le cheualieraconneu	-|--------||-----|
a u antalatoutee sfraee	-⌫-⌫--|--|----|-⌫-----|
d e desus li c haipasmee	-⌫|----|-|-⌫--|-----|
d ou cement confortee	-⌫--⌫-----|--------|
l amolta monestee	||---|-⌫-------|
b el eamiepor	-⌫--⌫|---|--|
dieu uos pri	---|--|--|
a l ezuos en f u iez	-⌫-⌫-|--|-|-⌫-⌫--|
sempr esmo rraideua nt	-----⌫-|--⌫---|----⌫-|
caienzaura	-----|---|
si grantdolor	-|----|----|
se uosiesti ez tro uee	-|--||----⌫-|---⌫--|
m olt en seriez tormentee	-⌫--|-|-----|--------|
bienest ent re	---|--|---⌫-|
magents eu	-|---|-⌫-|
quil m o ntp oruo str e amorperdu	-|-||-⌫-|-⌫-|--⌫---⌫|---|----|
poru os suido lenz et pensis	--|-⌫-|--|--⌫---|-|-----|
ladame li a dit	-|---|-||--|
miexuoil ensembleo	---|---|-------||
quomon seig norpainnesoufrir	-||--|----⌫--|-----|------|
sa luine uoi s il	||--|-|---⌫|-|
li cheu aliersl a seur a	-|----⌫-----||-⌫----⌫|
an eletdor li	--⌫---||-|-|
abail l ié	|----⌫-⌫--|
s iliadit eten sai ngnie ́	-⌫|-||--|-|--⌫---⌫-----⌫|
son seignornen	--|------||-|
iat ant conmeellegard era	-|-⌫--|----|-|-|----⌫--|
de nulerien	-|---|---|
quifer esoit	--|---⌫|---|
nelat endr aendestroi t	-|-|-⌫----⌫|-|-------⌫|
sesp ee lico nmand eetr ent	|---⌫-|-|--⌫-----⌫|-|-⌫--|
puislaconiureetdesfent	---|-|------|-|------|
qu e i ames	--⌫|-⌫|--|
ensoit s esiz	-|---|-⌫---|
mes bi e nlagart a oes	--|--⌫-⌫|-|---||--|
sera creuz	---|----|
etcheual ie rspreuzetuaillanz	-|------⌫--⌫-|----|-|-------|
aune festeou elle ira	|--|----|-|---|--|
sonsei gno ret lu iimenra	--|---⌫---⌫|-|--⌫||----|
enuneabaieuendro nt	-|--|----|------⌫-|
par une tombeq uiluerront	--|--|----|-⌫|-|------|
orront renouel er s amort	-----|-------⌫-|-⌫|---|
et con meilf uocisa to rt	-|---⌫-|-|-⌫|---||--⌫-|
illecl ibaill e roizsespee	----|-⌫|-----⌫-⌫---||----|
l auenturelisoitcon tee	|-------|-|---|---⌫--|
conmeilfunez qu il e ng e ndra	----|-|-|--|--⌫||-⌫--⌫-⌫---|
mai nt l e uerron t que ilfera	---⌫-|-⌫|------⌫|--|-|---|
quanttoutlia ditet	----|---|-||--|-|
chie r bl iaut li adonné	----⌫|--⌫---|-||-----|
silic on mande	-|-|-⌫--⌫----|
puis la fetde lui d epartir	---|||--|-|--|-⌫------|
elesenual an elemp orte	--||-|-||--⌫-|---⌫---|
etlespeequi la	-||----|--|-|
alissuede lacite	||----|-|-|---|
n eno tpa su neliue alé	|-|-⌫|--⌫|-⌫-|---|---|
qua nte leoiles sai nzsonner	---⌫-|-⌫-|-|--|---⌫-|-----|
et ledue lel chastelmener	-|-|---⌫|-|------|----|
dolorqueeleena	----|--|--|-||
quatr efieessep asma	-----⌫|----|-|-⌫---|
etquan tde pasmoisonreuin t	-|----⌫|-|--------|-----⌫|
droituerslacauesauoieti nt	----|---|-|---|-|---|--⌫-|
deden z entra outree stp assee	-----⌫|----|----|-⌫-|-⌫----|
sisenre uet ensa contree	-||-|--⌫--|-|-|------|
e nsemble uintosonseignor	-⌫------|---||--|------|
d emoramaintdiet maintior	-⌫----|----|-|-|----|--|
quedece fetnelareta	--|-|-|--|-|-|---|
nenemesdit ne	-|-|-----|-|
len fanzfu	|--⌫---|-|
nez etbienchieriz	--|-|---|------|
et bien gardez et bienno rriz	-|---|-----|-|---|--⌫---|
ionetlefirentnomer	----|-|-----|----|
el r eg n enepot ontrouer	-|-⌫--⌫-⌫|-|--|-|-----|
sipreune siuaillant	-|---|-|-|-------|
si la r ge etne sides pendant	-|--⌫-⌫-|-|-|-|---⌫------|
etquantfuue nuz enae	-|----|-|--⌫--|-|-|
a cheu al i erlontadoube ́	|----⌫--⌫-⌫-||--|------⌫|
en meismeque cefu	-|-----|--|-|-|
oiezcomme nt est auenu	---|-----⌫-|--|----|
ala fe stesaint aaron	|-|--⌫--|----|----|
c o n ce lebroit acarli on	|-⌫|--⌫------||-----⌫-|
et emplu sorsautrescitez	-|-|---⌫---|-----|----|
lisir esie s to itmande z	-|---⌫-||-⌫-⌫--⌫-|-----⌫|
ialast osesamis	|----||--|---|
ala costumedu pai s	|-|------|-|---⌫|
saf ameetson filamenast	-|-⌫--|-|--|--|------|
et ric hem ents	-|---⌫---⌫--||
apareillas t	----------⌫|
ein sintaui nta lez i	---⌫---|---⌫-|-⌫--||
mesi lneseuentou	--|-⌫|-|-----|-|
ensemble o e usot mes chin	-------||-⌫-|-|---⌫---|
qui sa menezd roit	--|||----|-⌫---|
tantqueilu indren t au chast el	---|--|-|-⌫------⌫|-|-----⌫-|
e nto t le si ecle	-⌫|--⌫|-|--⌫---|
uneabaieauoitdedenz	--|----|----|-----|
r eligie usesgenz	-⌫------⌫---|---|
leual letlesiherberia	-|---⌫--|--||-------|
chambrequi fu	------|--|-|
bien so nt ser uiet ano ré	---|--⌫-|---⌫-|-|---⌫--|
eldemainuont la	-|-----|---|-|
e nuo loien td epa rt ir	-⌫|--⌫-----⌫|-⌫---⌫--⌫-|
liabesuait	-|---|---|
aeusparler	|--|-----|
moltle sprie deseiorner	---|--⌫|---|-|-------|
si lormostrerason dort oir	-|--|-------|--|----⌫--|
son chap it reets onr effe toir	--|----⌫--⌫-|-|-⌫-|-⌫----⌫---|
siconmeils ont bien herbergié	-|----|-|-⌫--|---|---------|
li sires loraotroia	-|----|--||-----|
leiorqua ntil	-|--|---⌫-|-|
orentdisné	----|-----|
aso ffici nessont	-|-⌫-----⌫--|---|
elcha pitr e	-|---⌫----⌫|
uindre nt auant	------⌫-|----|
