#META#TextURIIugAm D	-----|------|-----⌫|
#META# DEAFhttp//www.deaf-p age.de/bi bl/bib99i.php#IugAmD	-----|---|----------------⌫---------⌫-------------------|
#ME TA#ARLIMA	---⌫--|-----|
Fors d u uergier se n sontissue s	---|-⌫|------||-⌫|---|-----⌫|
Nesai queuou s en deïsse el	-|--|--|---⌫|-|------|-|
C hascuneuaita s on	-⌫------|---||-⌫-|
Le ioru intqueles orent	-|--|-⌫--|-|---|----|
Dontniotp ointde	---|||-|-⌫---|-|
con tredit	---⌫-----|
Q ue ne uoise ntaui u gement	-⌫-|-|-----⌫-|-|-⌫-⌫-----|
Lor sse lieuentisn element	---⌫|-|------|---⌫------|
Pageu01P13 0	----------⌫|
Toutm aintenantque sontleu ees	---|-⌫--------|--|---|---⌫--|
Ric he ments esont a tornees	---⌫--⌫---|-⌫|---|-⌫------|
D uns garnem ensric h esetb iaus	|--|------⌫--|---⌫-⌫-|-|-⌫---|
Ai nsnus homn euit lor para us	--⌫-|--|--|-⌫|--|--|----⌫-|
Cotesor ent derosespures	----|--⌫--|-|----|----|
Et de uioletes cein tures	-|-|-------|----⌫----|
Que par solazfirentamo rs	--|--|----|-----|---⌫-|
Sorentmantiaus	|----|-------|
de i aunes fors	-|-⌫----|---|
A deux besier s damors tailliez	|---|------⌫||----|-------|
Deflorsdel isontcueu urechiez	-|----|-|-⌫-|--|----⌫-------|
Sorentporplussoeffl erier	|----|--|---|---|--⌫----|
C hapi au sde mugue etdaiglent ier.	-⌫----⌫--⌫|-|----|-||-------⌫---|
Quantainsif ur entatornees	----|----|-⌫--⌫--|-------|
Sordeuxpalefroi ssontmontees	--|---|--------⌫|---|------|
Q u iestoi entplusbl anc que nois	-⌫-⌫|-----⌫--|---|--⌫--|--|---|
Etmolt sontrich e lorharnois	-|---|---|----⌫|--|------|
Lifrainfurentd	-|----|-----||
o rtozmassis	-⌫|--|-----|
Quisor lespalefroiz son t mis.	--|--|--|--------|---⌫|---|
De teleoeu resontli	-|---|---⌫-|---|-|
Lipo itr ail nesontpas uilain	-|--⌫---⌫--|-|---|--|-----|
Pageu01 P131	-------⌫---|
Clochesi adoretdargen t	------||||-|-||-----⌫|
p arenchantem e nt	-⌫-|---------⌫-⌫-|
am o rs unso nnouel	--⌫-⌫-|-|--⌫|----|
AinzDiexnefis ttelcrid	---|---|-|---⌫|--|--||
El monttantco m lis o lauscueure	-|---|---|--⌫|-|-⌫-⌫---|-----|
Qui ausclochetesfeistoeure	--|--|--------|----|----|
Nesthomtant eust	|--|--|---|---|
Si lo iSt cele m elodie	|-⌫|-⌫--|---|-⌫-----|
Q ueilt antosthaitiez nefust	-⌫-|-|-⌫-----|------|-|---|
L es selesne	-⌫-|----|-|
sontpas defust	---|--|-|---|
Ainz sont d yuuiresororees	---|---||-----|-------|
A esche quiers	|-----⌫-----|
d amors o uurees.	|----|-⌫------|
Quantcheuauc hié o rent	----|-------⌫---|-⌫---|
Tantque miedisf upassez	---|--|-----|-⌫|-----|
Latoruir ent et	-|--|---⌫--|-|
Quinestoitpas	--||-----|--|
d e pierref ais	-⌫|-----|-⌫--|
Pageu01P13 2	----------⌫|
Laout int cort	-|-|-⌫--|---|
l i dieusd am ors.	-⌫|----||--⌫---|
Ilfut couuers de blanches fl or s.	-|--|------|-|-------|--⌫--⌫-|
Rosesi ote ntremeslees	----||-|-⌫----------|
Leslates resontbien	--|----|-----|---|
Aclo us degirofle	|---⌫-|-|------|
Quide canel e son ttai llies	--|-|-----⌫|---⌫|---⌫----|
Desicamorso ntli cheuron	-|------|--⌫-|-|------|
Etlimur quisont	-|-|--|--|---|
Sont lidartde	---|-|---|-|
quoia mors trait	---|-⌫---|----|
Et bi en sachie ztout entres ait	-|--⌫-|------⌫|---|------⌫--|
postizniaur acl os	-----|||---⌫|--⌫-|
Ne iauilainsn e n ertta nt os	-|-|------||-⌫|--|--⌫-|-|
Quelep ostizpast	--|-|-⌫----|---|
n ela porte	-⌫|-|----|
Sele seeldamorsn	-|-|---||----||
lespuceles uenues	--|------|-----|
S ouzla sale sontdesc end ues	-⌫--|-|---|---|----⌫---⌫--|
Desouz unpin en unprael.	-----|-|--|-|-|-----|
Du pind e scendentduioisel	-|--|-⌫-⌫-------|--|----|
Pageu01P133	----------|
Quiles puceles a dest rerent	--|--|------|-⌫----⌫-----|
A mont elpalaislesmenerent	-⌫---|-|-----|--|-------|
La ou li diexd amors es toit	-|-|-|---||----|--⌫---|
Qu i enu nbiaulitse gisoit	--⌫|-|-⌫|---|--|-|-----|
Quiestoitfezde	--|-----|--|-|
flo rs noueles.	---⌫-|-------|
Quantil uit ueni rles	----|-|--|----⌫|--|
D ulitselieue	-⌫|--|-|----|
isnelement	---------|
reçut mo ltgen tement	-----|--⌫-|---⌫-----|
Andeus lesa	-----|--||
parles mains	--|--|----|
Deioste soilesa assis es	------|--|--||-----⌫-|
Puislorde mande	---|--|--⌫----|
Estcebesoing	--|-|------|
Qu estesuenue s desi	-|----|-----⌫|-|-|
Bla ncheflor qui b ienfuapris e	---⌫-------|--|-⌫--|-|-----⌫|
Etdelamorauclerc esprise	-|-||---|-|----|------|
LidistS irei euos dirai	-|---|-⌫--|-⌫|--|----|
A uantie rparun iour	-⌫---|--⌫|--|-|---|
Enunuergiernouse n	-|-|------|---|-⌫|
D enos a morsandeusparlames	-⌫|--|-⌫---|-----|-------|
Tantqueparauenturedis	---|--|--|-------|--|
Issicom il me sto it auis	---|--|-||-⌫---⌫-|---|
QueClerssetplusde cort oisie	--|----|--|---|-|----⌫----|
Etque miexdoitau oiramie	-|--|---|---|--⌫--|---|
Pageu01P134	----------|
Queautregentnecheualier .	--|----|---|-|---------⌫|
Celeneleuoutotroier	---|-|-|---|------|
A inzrespo nd i par	-⌫--|-----⌫--⌫|--|
Etdi st queclerc ne seu entm ie	-|--⌫-|--|----|-|---⌫--|-⌫-|
uer s ch eualiersuntoutseulas	---⌫|--⌫-------|-|---|---|-|
Ne deded uitne desolas	-|-|---⌫--|-|-|----|
uenonsquer re iugement.	-----|----⌫-|--------|
Liro islorrespondi	-|--⌫-|--|-------|
br ief ment	--⌫---⌫---|
Iassamb lera itozm esbarons	|------⌫----⌫|--|-⌫-|-----|
L aueri téuous en dirons.	-⌫|----⌫--|---|-|------|
LiroisasaCortassamblee	-|---||-|---|--------|
Laquerel eloraco ntee	-|------⌫|--||--⌫---|
P uis lor aditNelcelezmi e	-⌫--|--||--|--|----|--⌫|
Liquelsdoitmiexauo irami e	------|---|---|---⌫-|---⌫|
OuliClersoul icheua liers	-|-|----|-|-⌫|-----⌫----|
Pr e miers parla	--⌫-⌫----|----|
liespreuiers	-|---------|
Sirefet-ilieuous dirai	---|-----|-|---|----|
Lauerité quarbienlaS ai	-|------|---|---|-|-⌫-|
Iesai d amors	-|--||----|
toutes le s l ois	-----|--⌫|-⌫--|
Sidiquas sezso nt	-|-|-|--⌫--|--⌫-|
plu s cortois	---⌫|------|
Licheualierque cl ercne sont.	-|--------|--|--⌫--|-|----|
Lirousin gnolslor slire spont	-|------⌫----|---⌫|-|--⌫----|
uous iment ezd ansespreu iers	---||----⌫-|-⌫--|------⌫---|
Pageu01P1 35	---------⌫-|
Ianesauratant cheua liers	-|-|----|---|-----⌫----|
Dededu i tne de corto isie	-|----⌫-⌫|-|-|-----⌫---|
Comeli Cl ersqui aamie.	---|-|--⌫--|--||----|
Li fauconssestenpiezle uez	-|------||--|-|---|--⌫--|
chieffe til	----|--⌫|-|
Da ns rousin gnolscenepuetest re	--⌫-|------⌫----|-|-|---|---⌫-|
Quetantsache ntneclercne	--|---|-----⌫-|-|----|-|
Neaut regentc om cheualier	-|---⌫-|---|-⌫-|--------|
Toutenapert	---|-|----|
osbieniuger	-|---|----|
Deuantcontes etdeuantrois	-----|-----|-|-----|---|
Q uec heu aliersont p lus cortoi s	-⌫-|-⌫---⌫----|---|-⌫--|------⌫|
Queclercneson tne aut re	--|----|-|---⌫|-|---⌫-|
uous menteztropapertement	---|-----|---|---------|
aloe sirefaucons	---|---|------|
Ie diOiant tozcesb arons	-|-|----|--|--|-⌫----|
Cunehauteamor se ignorie	|--|----|---|--⌫------|
Seroiten clercmieusemplo ie	-----|-|----|----|-----⌫-|
Quencheualiernen d ucne nroi .	-|-|--------||-|-⌫-||-⌫|---⌫|
uousment ezenlamoiefoi	---|----⌫-|-|-|---|--|
li gaysrespont	-|---|------|
Quesortoutesles genz quis ont	--|--|-----|--|---|--|-⌫--|
Sontcheualier preuetu aillant.	---|--------|---|-|-⌫-------|
P ageu01P136	-⌫---------|
Li cha rdonereus sau tauant	-|---⌫--------|---⌫|----|
Dansgays fet	---|---|--|
il uousi mentez	-|---||-----|
Molt estesoresfors enez	---|----|---|----⌫---|
Fols etfelscruelsetestous	---|-|---|-----|-|-----|
Quicimentez	--|-|-----|
oiantnoustous	----|---|---|
Tuit cild umondeseuent bie n	---|--|-⌫|----|-----|---⌫|
Que chCA•alier n e seuentrien	--|---------|-⌫|-----|---|
Ne de d edu it	-|-|-⌫---⌫-|
ned efranchise	-|-⌫|--------|
nel ont d e cle rc aprise.	-||--|-⌫|---⌫-|------|
Pa rmonchief	--⌫|--|----|
distliorieus	---|-|-----|
uous m ente z dans cha rdone reus	---|-⌫----⌫|---|---⌫-----⌫---|
Ianauendra comen t	-||------|-----⌫|
quilpraingne	-|-|-------|
Q ueclera c h eu a lier s epraingne	-⌫-|---||-⌫-⌫--⌫-⌫---|-⌫|-------|
Dede d uit nede corto isie	-|--⌫-⌫--|-|-|-----⌫---|
Clers n edoitpasauoirami e	----|-⌫|---|--|----|---⌫|
A inzdoitauoirun grant	-⌫--|---|----|-|----|
Ouilpuistlire et uerseillier	-|-|----|---|-|----------|
Li Cle rs do itproierpour l esames	-|---⌫-|--⌫-|-----|---|-⌫-|---|
Etcheualiersdoit	-|---------|---|
auoirdames	----|----|
Et puce lesa sonuoloir.	-|----⌫--||--|------|
Pageu01P137	----------|
Quaril s euent tot le poo ir	---|-|-⌫----|--|-|---⌫-|
Dededuit plusqu eautreg ent.	-|-----|---|--⌫|----|-⌫---|
uousm en teztropapertem ent	---|-⌫--⌫--|---|-------⌫--|
Dan s oriex fetli mauuis	---⌫|----|--|-|-----|
De he z ai tlico rse t liuis	--⌫--⌫|--⌫|-|--⌫-|-⌫|-|--|
Quisiuousapr istaiugi er	--|-|---|---⌫--||----⌫-|
Ia n aue ndr aquech eualier	-||---⌫---⌫|--|--⌫------|
Sachentenue rs	------|----⌫-|
Cl ersnulerien	--⌫--|---|---|
De c ortoisienedeb ien	-|-⌫-------|-|-|-⌫--|
Clercson tcortoisetpreu	----|---⌫|------|-|---|
Dec he ualiersplai neunebarge	-|-⌫--⌫------|----⌫-|--|----|
u autuns clersceu osdiie bien .	-⌫--|--|----|-|-⌫-|-|-|----⌫|
sepren taeusde r ien .	-|----⌫||--|-|-⌫---⌫|
Li estorniaus	-|---------|
Sire mauuisto rtenau ez	---|-----|--⌫-|-|--⌫-|
siaueziugié.	-|---|------|
Ch eualierson tmol ten seignié	--⌫------|---⌫|---⌫|--⌫-------|
S agee tcortoispr eu	-⌫--|-⌫|------|--⌫-|
et uaillant	-|-------|
seuentuail lantunga nt	-----|----⌫---|-|--⌫-|
ue rscheua lierd e n ul d eduit.	--⌫-|-----⌫---|-⌫|-⌫-|-⌫-----|
Ai nsip a r lasaletrestuit	--⌫--|-⌫-⌫|-|---|-------|
S entretenoient quimieu smieus	|------------|--|----⌫|----|
Pa geu01P138	--⌫--------|
Lor s seleuali	---⌫|-|---|-|
ro u singne us	--⌫-⌫------⌫-|
Li r ousingnols lo rsse leua	-|-⌫---------|--⌫-|-|---|
Sei gnordistile ntendez ça	---⌫---|---|-|-⌫------|--|
Am orsmontfetlor	--⌫--||--|--|--|
conseill ier	--------⌫--|
En cort roialosb ieniugie r.	-|---|----|-|-⌫--|-----⌫-|
Seloncmapenseeetmon	-----|-|-----|-|--|
E ndiraiie ceq ue	-⌫|----|-|-|-⌫-|
Iediquilnest nushomme	-|-|-|-||--|--|----|
Qui en uersclercp rendr esep uist	--|--⌫---|----|-⌫-----⌫|-|-⌫---|
Ne desolazn e de	-|-|----|-⌫|-|
Ian auendraquenu s pra ingne.	-||------|--|--⌫|---⌫-----|
Naturelor done etensaingne	-----|--|---|-|--------|
Tou tb ienettoutecortoisie.	---⌫|-⌫--|-|----|---------|
Cheu alierne se pa inentmie	----⌫----|-|-|--⌫----|--|
Enu ers clersd	---⌫--|----||
amors main tenir	----|----⌫----|
Etsi u ousdi bien sans	-|-|-⌫--|-|---|---|
Q uamorsf ustgrantpie çaperdue	-⌫|----|-⌫--|----|---⌫--|-----|
Se p ar clercne	-|-⌫-|----|-|
f ustmain tenue.	-⌫--|----⌫-----|
Deuantuostozlo s iebi end ire	-----|--|--||-⌫|-|--⌫-|-⌫--|
nusmenu oloit	--||-|-⌫----|
Parbat aillele prouero ie	--|---⌫----|-|-------⌫-|
E tcor s acors m en	-⌫|---⌫||---||-|
combatroie .	----------⌫|
P ageu01P139	-⌫---------|
Lipapeg aus sesttostleuez	-|-----⌫--||--|---|----|
Seignordi stiloezoez	------|--⌫-|-|--|--|
I e dique l irousi ngnolsment	-⌫|-|--|-⌫|-----⌫-----|---|
Delab ataille mepresen t	-|-|-⌫------|-|------⌫|
Ielen ren drai ou	-||-|---⌫---|-|
mortoupris.	---|-|----|
Songaget entlirois	--|---|-⌫--|-|---|
Etlirousingnols sa utaua nt	-|-|----------|--⌫-|---⌫-|
Ila au roibai llésongant	-||-|--|---⌫---|--|---|
Pourlab a tailleco nfermer	---|-|-⌫-⌫-----|--⌫------|
fait armer	---|----|
Sansplusatendre	---|---|------|
nulechose .	---|-----⌫|
L orhaubertsontd e passer o se	-⌫-|------|---|-⌫|----|-⌫-⌫-|
Et lorhiaum ede primeuo ire	-|--|-----⌫|-|-------⌫--|
gambiso n[s] so nt	-------⌫---|--⌫-|
Lesue ntaill eso r en t la cies	--|--⌫------⌫-|-⌫-⌫--⌫|--⌫---|
A clo usdegirofle atachies	|---⌫-|-|------|-------|
De Horsdeg enoiures ouurees	-|---|-|-⌫-------|------|
Etde ros esorent espee s	-|-|---⌫-|----|-----⌫|
Moultpar utbien	----|---⌫-|---|
aus garnemenz	--|--------|
Qu esuass aux	-|-|----⌫--|
otg ranzhardemenz.	-|-⌫---|---------|
