kicest secletrop	-|---|----|---|
atioi e etre p os e n cuid eu s u u ltmano ir	-|---⌫|-|--⌫-⌫-|-⌫|--|-⌫--⌫|-⌫-⌫-|----⌫-|
mai sonkes n	---⌫|----||
estsi sai ntene	--|-|---⌫--|-|
de sigran t pooir	-|-|----⌫|----|
ked eupuistencest sieclesi cumil	-|-⌫-|----|-|---|-----|-|--|-|
est ue oir	--|--⌫--|
keles en estpartie doncl i	|--||-|--|-----|---|-⌫|
quan tlanrmedel	----⌫||----|--|
sainthommelosecl eetloc or slait	----|----|-|----⌫|-|-|-⌫--⌫|---|
et to tede s combreieuersp aradi s	-|--⌫-|--⌫-⌫-------|---|-⌫-----⌫|
n u l angelen atenciel	-⌫-⌫|-----||-|-|---|
quigr ant ioi enenait	--|--⌫--|---⌫||-|--|
dela sueue nuedeusm im m esliet	-|-|--|--⌫--|---|-⌫--⌫-⌫-|---|
pie m ent lar ezoitet	---⌫-⌫--|-|-⌫----|-|
dulcem entlapelet	------⌫--||-----|
ueneiz fait	-----|---|
ammie amu rs de turterele	----|---⌫-|-|--------|
n aten uos	|-|-|--|
keblameiruoseste s totebeele	-|------|--|----⌫|---|----|
entreizen no strecambrela u ioiereuele	------|-|--⌫---|-----|-||---|-----|
l acambreuliangelene	-⌫|-----||-|-----|-|
fine ntde chanteir	----⌫-|-|-------|
nuzhom n epuetlaioiekila est	--|--|-⌫|---|-|---|-|-|--|
rac on teir	---⌫--⌫---|
la ioienepuetdire boche	-|---|-|---|---|----|
n ecuerspen ssei r	-⌫|----|---⌫----⌫|
bienaur ont es ploitiét	---|---⌫--|--⌫--------|
quilaporontent reir	--|-|-----|---⌫---|
mais laneuien tlo mmiesi	---|-|-|----⌫||-⌫|--|-|
cumiequiddorm an t	--|-|---|----⌫--⌫|
i seron t u eu tpr ec eos r ecr eant	|-----⌫|-⌫--⌫|--⌫--⌫--|-⌫---⌫---|
ne cilquialuxuresoi uuntabba ndonant	-|--|--||-----|--|---|----⌫------|
tre mmelorle cheorne glot	---⌫-----|--⌫----|-|---|
ne b euerant	-|-⌫------|
la neserontlarro nn ero b eor	-|-|-----|-----⌫|-⌫|--⌫-⌫--|
quip rendentl e susures i a niserontcon nut	--|-⌫------|-⌫-⌫|-----|-⌫|||-----|---⌫--|
nequi la pouregent	-|--|-|----|---|
apr essentreceut	---⌫-----|-----|
t uitserontforschaciéttot seront	-⌫--|-----|---|-------|--|-----|
cilquitant soi	--|--|---|--|
o st oirset	-⌫--⌫---|-|
d esperu iers	|------⌫---|
qui sigrantioie mainn ent	--|-|----|---|-----⌫--|
de le urie r s	-|--⌫----⌫-⌫|
p u iske li	-⌫-⌫---|-|
seclesplus ke deusles atch iers	-----|---|-|---|--|-|--⌫---|
ia nulnen coni stratsaizpierres li portiers	-|--||-|----⌫----|---|------|-|-------|
mutpo riens an kordired e s	--|--⌫----|--⌫--|---|-⌫-⌫|
altrespeche or s	-----|-----⌫--⌫|
m aisciles laironsoress enpa rlerons alho rs	-⌫--|-|--|------|---||-|--⌫------|----⌫-|
cantnosdironsde n ferles maz	---|--|-----||-⌫-⌫--|--|--|
etlesd olors	-|--|-⌫----|
orreturn on s arri er e siparlons	-|------⌫--⌫|----⌫--⌫|-|------|
de s m el ho rs	--⌫|-⌫--⌫--⌫-|
lib onshomqui deu atet	-|-⌫--|--|--|--|-|-|
lasu eamurchiere	-|--⌫|---|-----|
c antqu ilfai til es ga rdetetdeua ntet	-⌫----|-|---⌫|-|--⌫--⌫---|-|----⌫-|-|
il neuultcont re	-|-|---|----⌫-|
deufaire en nulemani er e	--|----|-|---|----⌫--⌫|
p a rcoi caril redotekedeus	-⌫-⌫|--|--|-|-----|-|---|
n e lirequiere	-⌫|-|-------|
bienseit de quantqu il f aitde	---|---|-|------|-|-⌫--|-|
q a nt kilatouré	-⌫-⌫--⌫|-|-|----|
ke totestdeuantdeuescrit etsaelé	-|--|--|-----|--|-----|-|-----|
dequantco mcimesfaitse ci	-|-----|-⌫|-|------|-|-|
nestamendé	|--|------|
totiertenlaltre s ecl edurementcompareé	--|---|-||----|-⌫---⌫|-------|--------|
teizh omestquibien faitc aril	---|-⌫-|--|--|---|---|-⌫-|-|
nosemal faire	|--|--|----|
porpoo r d elenfierqui siartqui	--|---⌫|-⌫||-----|--|-|--|--|
dolirosploreir	------|------|
crieiretbraire	-----|-|-----|
cefait maintpecheordesonpechiet	-|---|----|------|-|--|------|
etcenedoit om miede tot e n	-|-|-|---|-|--|-|--|-⌫|
totblamei r	--|------⌫|
carenssipuetlih omlobien	--|----|---|-|-⌫-|-|---|
ac o nstumeir	--⌫-⌫-------|
d eiorsenio rs en l amurdeufe rmeir	-⌫|---|-|--⌫-|-||---|--|--⌫----|
der rai n s neneuultnenesen puet	---⌫---⌫-⌫|-|-|---|-|-||-|---|
se uo l entei ta uiezd	-|--⌫-⌫-----⌫|-⌫---||
escolteiret loisir	--------|-|-----|
etauosmaparolenedeuoit	-||--|-|-----|-|-----|
desplaisir	---------|
ie uos reco n t eroiechosebeleaoir	-|--|----⌫-⌫-⌫----|----|---||--|
k egranzbi ens	-⌫|----|--⌫--|
estlom al laissieret deuseruir	--|-|-⌫-|-------|-|--|-----|
d eus aimmet mut cel hommeq ui	-⌫--|-----|--|--|----|-⌫-|
ne g air esmoinsceluiquidelmals oi	-|-⌫---⌫-|----|----|--|--|--|-⌫-|
carilauient	--|-|-----|
s oue ntcil	-⌫---⌫-|--|
qui lopechietlait	--|-|------|---|
plus sertdeu et plu s l ai mmetquecil	---|---|--|-|---⌫||--⌫---|--|--|
quimal n atf ait	--|--||-|-⌫--|
a ce keiedir ai	|-|-|-|---⌫-|
se bienuolieze ntendre	-|---|-----|-⌫------|
gecuituos ipor ei zalques	-|---|--||---⌫--⌫|-----|
debiena pren dre	-|---|-⌫----⌫--|
bonconfortipue t h ome bon	--|------||---⌫|-⌫-||--|
e x emp lepre ndre	-⌫-⌫---⌫-|---⌫---|
commentliho m soi doit	------|-|--⌫|--|---|
de lanemidefendre	-||----|-------|
uns h om futdetyope	--|-⌫-|--||-----|
quimo y s es otnom	--|--⌫-⌫-⌫-|-|--|
ne dip asdecel ui quifut	-|-|-⌫-|-|---⌫-|--|--|
fr eresa aron	--⌫---|-⌫---|
unkesnul zhomneuitplu scuiluert	----|---⌫|--|-|--|---⌫|-------|
si musdretraitorsi bo scagela rron	-|-----|------|-|--⌫----|--⌫---|
p orsagrantfelo nielo deietat sessi re	-⌫-|-|----|----⌫--|-|------|--|--⌫-|
t antpareret ma luaiskenuznel	-⌫--|--|---|--⌫----|-|--|-||
u ospuetdire	-⌫-|---|---|
plains astoitdelux uredem altalente t d	-----|-----|-|---⌫--|-|-⌫-------|-⌫||
cesuntauer series d ont lihomtoste mpire	-|---|----⌫-----|-⌫--|-|--|---|-⌫----|
olisacompanie rentt r a itor	|-||---------⌫---|-⌫-⌫-⌫---|
parcekileretfors senfisent	--|-||-|---|---||-|-----|
eazneust sa niorn e	--||---|--⌫---|-⌫|
princeseluinon	-----|-|--|--|
com male companiec estde malcompa nnion	--|---|-------||--|-|--|-----⌫----|
plusauoirpuent limaluais de posteit	---|----|----|-|------|-|------|
tantfuntilplusde	---|---|-|---|-|
plus d auer siteit	---||----⌫-----|
tantseront plusparfont	---|-----|---|------|
el foud enfier ieteit	-|--||-----|-----|
l a brairontladiront	-⌫|-------|-|-----|
chaitifmarfummesneit	------|--|-----|---|
quantm oyses	----|-⌫----|
futfaizdesl arronsliprinciers	--|---|--|-⌫-----|-|--------|
a l toliral	-⌫|----|-|
tuei r f uttozi orsli promiers	----⌫|-⌫-|--|-⌫--|-|-------|
card e lcors ere t fo rs etdesmemb res legiers	--|-⌫-⌫|---|---⌫|--⌫-|-|--|----⌫--|------|
o roie zdeabliekefist	-⌫|---⌫|------|-|---|
liauersiers	-|--------|
i lhtrespassat noiantune	-⌫-|---------|-----|--|
aigueforteet	----|----|-|
del uneriue	-||--|---|
alatreauoituneliweie	||---|----|--|-----|
se sdras ot sors onchiefentre ses	--⌫|---|-|--|-⌫-|----|----|--|
den z saspeie	---⌫|-|----|
sidroitsenal atolt requepo i	-|----||-|--⌫-|---⌫-|--|--⌫|
fi stdaual eie	--⌫-||----⌫--|
ankorn astoitaterreque li	----||-----||----|--|-|
pas treslouoit	---⌫---|-|---|
qui la gardoitberbis qu e	--|-|------|-----|--⌫|
moyses queroit	-----|------|
lor ssoi pr enta	---⌫|--|--⌫--||
lafuieca rbi en lo conissoit	-|---|--⌫|--⌫-|-|--------|
e tateilbarbarin	-⌫||---|-------|
qu isoi co mb ate roit	--⌫|--|--⌫--⌫---⌫---|
kant moy ses ne uitlo pastor	---|---⌫--|-|--|-|-----|
q uefist il	-⌫-|---|-|
quatremultons ae r tsi r epassetlonil	-----|------|--⌫-⌫|-|-⌫------|-|--|
ensiauoit nomlaiweniredotet peril	---|----|--||---|||------|----|
lau so u entnoiét	-||--⌫-⌫--|-----|
sunth om mec entetmi l	---|-⌫--⌫-|-⌫--|-|--⌫|
pui sma nioitdela	---⌫|--⌫----|-|-|
chart antquil	---|-⌫--|-|-|
achatetuinetblancpain	------|--|-|----|---|
defr ome n t	-|--⌫---⌫-⌫|
dise tuit hanasbiutd e	--|-⌫|--|----|---|-⌫|
uintot err anment	--|--|---⌫-----|
etpuiscinqu a ntesliwescor ut isnelement	-|---|-----⌫-⌫---|----|---⌫-|---------|
toten uni oretpu issi	--|-|-|-⌫-|-|--⌫-|-|
lauill atendoien ta seshommesrala t	-||-||---------⌫||--|-----|----⌫|
iteiluieetpeorparmaint ior	----|--|-|---|--|----|--|
ord ir omesauan tcomment deus lo salua t	-|-⌫--⌫---|----⌫|------|---|-|-----⌫|
un i or oit	-|-⌫-|--|
de deuunsainth om mepa rl eir	-|--|-|----|-⌫--⌫-|--⌫--⌫--|
oitdeparadisla	--|-|------|-|
ioie d euiseir	---|-⌫------|
les gr a nzdolo rs d enfieretl es tormenz nomer	--|--⌫-⌫-|----⌫-||-----|-|-⌫-|------|----|
maintenantlicommencetsescorages	---------|-|--------|--|------|
eei lasfait ilpechie reset tresmal e ur os	--|--|---|-|------⌫--|-|---|---⌫-⌫--⌫-|
par k es tu sid e sperset si	--||-|-|-|-⌫-⌫----|-|-|
malizio us	-------⌫-|
as oitc um es t laize nfers	-|--|-⌫-|--⌫|---|-⌫----|
e t pouros	-⌫|-----|
merc it beazs irep eres	----⌫-|---|-⌫--|-⌫---|
ihesudeus glorious	----|---|-------|
kaitismal euros po rcoi fui geenge n dr eiz	-----|---⌫----|--⌫|--|--|-|----⌫-⌫--⌫--|
pa r coifuigenu rriz parcoi fuige	--⌫|--|--|-|--⌫---|--|--|--|-|
s amoie stlitormenz	||--|-⌫-|-|------|
delen ferdestineiz	-||--⌫--|--------|
u raie mentporaidirechai tiskemarfui	-⌫----⌫---|----|---|----⌫--|-|--|--|
ged enfer m aisd eusest merciables	-||----|-⌫--|-⌫--|--|---------|
ses matalenz nestmie s	--|-------||--|--||
onsoi repent du rables	-|--|-----|--⌫-----|
piusdeusfaik ente soures	---|---|--||-|--⌫|----|
d esor mais soi est abl es	-⌫-|-|---|---⌫|--⌫---⌫-|
keman rmen assorb i sset en abismediab les	-||--⌫--||------⌫-⌫---|-|-----|----⌫--|
alcons eildeprodomm esuolentiersmamendr ai	-|----⌫--|-|-------⌫-|---------||------⌫-|
etazp echiezdel secl e iamais ne returrai	-|-|-⌫-----|--|----⌫|-|---|-|-------|
soluncla tu eai u e	-----|-|--⌫|--⌫-⌫|
u olentiers toi serurai	-⌫--------|--|------|
se ietoirele nqui s	-|-|--|----⌫----⌫|
iamer citne	-|---⌫--|-|
apresiteiz	----|----|
parole sdelasoidepart i	------⌫|-|-|--|------⌫|
uaitcria nt etpl orantmercisir emerci	---|----⌫-|-|--⌫----|----|---⌫|----|
tozlesde l izdel	--|--|--⌫-⌫-|--|
seclemaintenantrel enqui	----|---------|---⌫----|
en un encl ostreamoines mainamai nse	-|-|----⌫----||-----|---||---⌫|-|
deus cumdoithompri sier	---|--|---|--|---⌫---|
bonh ommeprecheor	--|-⌫---|-------|
n u z hom nepuet f a ireour een cestsec le	-⌫-⌫|--|-|---|-⌫-⌫--|---⌫|-|---|---⌫-|
keconuertiretfair e iu stedepecheor	-|--------|-|----⌫|--⌫--|-|------|
et returneira uoieceaz qui sunt en er ror	-|--------||---|---|--|---|-|--⌫--|
cilsainzhomfist loiorbonneoeureet	--|----|--|---|-|--|----|----|-|
gran t uertut	----⌫|-----|
parcuiparoled eumoyses reconut	--|--|-----|-⌫-|-----|------|
m aislibonprecheor	-⌫--|-|--|-------|
k esunt or deuenut	-⌫|---|-|------|
par foitde sb onsn est gu aires	--|---|--⌫|-⌫--||--|--⌫----|
maisdes altresestmu lt	---|--|-----|--|--⌫-|
cantm oyses	---|-⌫----|
uerdeu otsa uie tu rnei e	--|--|-|-|--|--⌫----⌫|
ilhauoit sic ummoines	--|----|-|-⌫-|-----|
uestue coteleie	-----|---|---|
neman io itmie	-|---⌫--⌫-|--|
mutdesa lmonape ure ie	--|-|--⌫---||--⌫---⌫-|
nenel icri ut	-|-|-⌫|---⌫-|
engroslico lz	-|---|-|--⌫-|
n elauentreie	-⌫|-|-------|
lo cuirn auo itilmiedel iet	-|---||---⌫-|-|--|---⌫--|
etrosela nt	-|------⌫-|
ne naloitpassesuentr es	-||----|--|--|-----⌫-|
pardeuan tluic ro lant	--|-----⌫|--|-⌫--⌫---|
homnesoloitiamiegras	--|-|-----|-|--|---|
deuenir iuna nt	------|----⌫-|
nestpasmeruellel i secles uaitmuant	|--|--|-------|-⌫|-----|---|----|
anzqu ildeueni stmoinessasto itil	----|-|------⌫-|-----||----⌫-|-|
g ros et gras	-⌫--|-|---|
mais ne demoratguaires se fut	---|-|------|------|-|--|
maigresetla s	------|-|--⌫|
l espechiez k	-⌫-|------||
au oitfaizce aznoblioit	--⌫--|---|--⌫-||------|
beazdeuscum	---|---|--|
tos t samen dedec ui tumercitas	---⌫||----⌫-|-|-⌫-|-|-----|-|
puisf ist un habitacleut oz io rs demora	---|-⌫--|-|--------||-⌫-|--⌫-|-----|
onke s plussa inteuiehermitesnemena	----⌫|---|--⌫---|--|-------|-|---|
ce keil auoit	-|-|-|----|
fa itn uleorenoblia	--⌫-|-⌫--|--||----|
segur ssoitqui	-----⌫|---|--|
samendetk e me rcittrouera	|------|-⌫|--⌫---|------|
ui n renta	--⌫-⌫---||
lu iarm eitq ua trelarro n	--⌫|---⌫--|-⌫--⌫--|-----⌫|
con i ssoien tbriserent s amaison	---⌫-⌫------⌫|--------|-⌫|-----|
m a is il ne l potsoffrir oroi ezdelba ron	-⌫-⌫-|-|-||--|------|-|--⌫-|--|--⌫--|
tozles loiatensemb l esolz senz	--|--|----|------⌫-⌫|---|---|
nulcompanion	--|--------|
kan tb ienle sot loiez ensoncol le sl euat	---⌫|-⌫--|--⌫|-|----|-|--|--|--⌫|-⌫---|
en en le n clostre asesf r ere stozq uatreles	-|-||-⌫-⌫------||--|-⌫-⌫---⌫|--|-⌫----|--|
sicumunfaisde	-|--|-|---|-|
s traindeuanteaz lesruat	-⌫----|-----|--|--|---|
tuitenontgrant meruelle oi ezcum il	---|-|--|----|-------|--⌫-|--|-|
sani ortresque iusui tur nei zal	----⌫-|------|-|--|---⌫---⌫|-|
d eu seruis e	-⌫-|------⌫|
nierthompar moitueiznefemm	|---|--|--|--|----|-|---|
ensicum uos s au eiz	---|--|--|-⌫--⌫--|
et la letredeuise	-|-|----|-----|
cezhommesdemeneiz a uostre comandise	--|-----|-------||-----|--------|
nelorfistplusdemal	-|--|---|---|-|--|
can tmoyse n connurent mutsen suntmeruillit	---⌫|-----⌫|--------|--||-|---|--------|
totmaintenantgue rpiren tlomal et lo	--|---------|---⌫------⌫|-|--|-|-|
cum bonelarrenie	--|---|-------|
do n t il on tde ugua n iét	--⌫-⌫|-|--⌫|--⌫|---⌫-⌫---|
gr an tdesieratli ho m debie n ourer	--⌫--⌫|-----|-|-|--⌫|-|---⌫|----|
etlianemisuoit k es anrme	-|-|-----|---|-⌫||----|
uult s alueir	---|-⌫-----|
doncsoipoineli feldeluia	---|--|----|-|--|-|--||
e nco mbreir	-⌫---⌫-----|
pens erli fait	----⌫-|-|---|
folie s e p lus nel puet gr eue ir	----|-⌫|-⌫--|-||---|--⌫---⌫-|
ilhliremet de uantcekef airesoloit	--|-|----|--⌫---|-|-|-⌫---|-----|
plussouent	---|-----|
li a m ainetto tcekeplusamoit	-|-⌫-⌫----|--⌫|-|-|---|----|
l aseplus do n t plussoidelitoit	-⌫--|---|--⌫-⌫|---|--|-------|
lab atall ed e lanrme	-|-⌫-----⌫|-⌫||----|
neseit quicene	-|---|--|-|-|
c ant a l aboneuoie fut	-⌫--||-⌫|---|---|--|
mo ysesturneiz	--⌫---|------|
diteiztemptatio ns	|----|---------⌫-|
fut maintesfoiztemptei z	--|------|---|-------⌫|
sisouentfu tloior e t la nuit	-|-----|--⌫|-|--|-⌫|-|---|
p lusasseiz	-⌫--|-----|
k epa rpoiqu il	-⌫|--⌫|--|-|-|
rat urnei z	---⌫-----⌫|
de la plan teit	-|-|----⌫---|
de l uin souen	--⌫|--|----|
lisouen oit	-|-----⌫--|
kar mu tenso loit bo iurecant	--|--⌫|-|--⌫---|--⌫---|---|
il alsecleastoit	-|-|----|-----|
luxuresenzmesure nuite t iorl	-----|---|-----|---|-⌫|--||
as salloit	--⌫------|
temptations quimutloto rme ntoit	----------|--|--|-|--⌫---⌫----|
mais prodomke	---|-----|-|
doit fairecantilsenttel batal le	---|----|---|-|---|--|-----⌫-|
forment soi	------|--|
doitcombatrequelzmalzquiluiassalhe	---|-------|----|---|--|--|------|
auoirdotancekeia ihe susli	----|------|-|-|---⌫--|-|
celluine fautilunke ski p ar	-----|-|---|-|----⌫|-|-⌫-|
luisoitraualle	--|--|-------|
k ant limaluaisdesiersuient lomme	-⌫--|-|------|------|----||---|
ensonco r age	-|--|--⌫-⌫--|
etlif eld anemisli con se llela	-|-|-⌫-||-----|-|---⌫--⌫--|-|
endepar te gart	-|-----⌫-|---|
q uil ne siatarge	-⌫|-|-|||-----|
iltrop idem ore	-|---||---⌫--|
tostiaurat da mmage	---||----|--⌫----|
iteil batallemainetmoyse sm utsou e nt	----|------|-----|-----⌫|-⌫-|---⌫-⌫-|
enc ontrego leniepa r ieunerse	---⌫----|--⌫----|--⌫|-----|-|
kan tluxurel assat	---⌫|-----||----|
altrauillier s e p rent	-|---------|-⌫|-⌫---|
l or e irnoblioi t on kesce l i aidatforment	|--⌫-⌫-||------⌫|--⌫--|-|-⌫|----|------|
laidementli faisoitses anem is songier	--------|-|------|--|----⌫-|------|
porceneseuoloitunkes dormir culchier	--|-|-|-|-----|----|-----|-------|
quant i lplusn epooitendurerlouoilier	----|-⌫|---|-⌫|----|------|-|------|
e n es tantse soloit	-⌫|--⌫---|-|-----|
belleas toi tsaconstum medensi	----|--⌫---⌫|-|-------⌫-||---|
arepos eir	|-----⌫--|
cunpoiauoitd ormitreco me zoitloreir	|-|--|----|-⌫----|----⌫--⌫---||----|
unkes lianemisnelpotuisoust rou eir	----|-|-----|-||--|-----|-⌫---⌫--|
karu iserie	--|-⌫-----|
estchose quimutfaitablameir	--|----|--|--|---||------|
lianemisestmutcuilu ersetartilhos	-|-----|--|--|-----⌫--|-|-------|
cant iluoit et des mainsetdelcu erl	---|-|---|-|--|----|-|--|--⌫-||
ommeu isous	---|-⌫----|
plus tost li fait lemalpenseir cum plusest	---|---|-|---|-|--|------|--|---|--|
maisci encontreastoitdans	---|-|-------|-----|---|
moyses uisous	-----|-----|
quar elgrantermitage teilzermitesauoit	---|-|----|-------|----|------|----|
qu iplus pre sde cinc	--⌫|---|---⌫|-|---|
l i wesgotesda iwe	-⌫-⌫--|----||-⌫--|
danz moyse s parnuit ason	---|-----⌫|--|---||--|
col lorportoit	--|--|------|
sif a isoitil	-|-⌫-⌫----|-|
casconquimestie r en	-----|--|------⌫|-|
oroiezg ranzmeruellekedeusnozsires	-|---|-⌫---|-------|-|---|--|----|
ca r ceazquiplu slo	--⌫|---|--|---⌫|-|
seruen t plustrauilierle s l ait	------⌫|---|--------|--⌫|-⌫--|
c umpuetq uidierkeilnule cure	|-|---|-⌫-----|-|-|---|---|
maispo rcequ iluiaimet de	---|--⌫|-|--⌫|--|----|-|
luine soiretrait	--|-|--|------|
tant dulce et bonecho seest de deu	---|----|-|---|---⌫-|--|-|--|
quiluiatena meitnesenpuet departir	--|--|-|---⌫---|-||-|---|-------|
demesaise negrant	-|------|-|----|
paineasoff rir	----||----⌫--|
maissolementaluipuista	---|-------||--|----||
derra insuenir	-----⌫--|----|
cesteparoleest	----|-----|--|
cumuos pui smostre r	--|--|---⌫|------⌫|
qu a r quan t licu lue rtuitqu	--⌫-⌫|----⌫|-|--⌫---⌫-|--|-|
u oltturneir	-⌫--|------|
ded e ud anzm oyses	-|-⌫-⌫|-⌫--|-⌫----|
nealui ra turneir	-||--|--⌫------|
demaltalentdenuie dedu elquidatcreu eir	-|--------||----|-|--⌫-|-----|----⌫--|
uitqu il uerde usiaffermei z	--|-|-|--|--⌫|-|--------⌫|
kenesune soleore de	-|--|--|---|--|-|
lu i nese partoit	--⌫|-|-|------|
tresk e lauolenteitchangierneli pooit	-----⌫|-|--------|-------|-|-|----|
pensatk e deson corscom parei rli	-----|-⌫|-|--|---|---⌫-----⌫|-|
deceka uoit	-|-||-⌫---|
esteitses ser ianzetses	-----|--|---⌫---|-|--|
etorlauoitl aissiétastoitmutir ascuz	-|-||----|-⌫-------|-----|--|--⌫----|
maisuencuznepuet estre	---|-----|-|---|----|
cuideusuultest rees cuz	--|---|---|---⌫-|--⌫--|
contre laf orcede u n eualt n uleuertuz	-----|-|-⌫---|--⌫|-⌫|---|-⌫--|-----|
li gentizmoysessol oi t lanuit to z	-|-----|-----|---⌫--⌫|-|---|--⌫|
porteir l aiwe as hermites quilsauo it	------||---|-|-------|-|-|----⌫-|
teluiaq uatreliwes te luitroi s	----||-⌫----|----|--⌫--|----⌫|
tel uidous	---⌫-|---|
dec e auoit	-|-⌫|----|
granten uieli felmalici os	----|--⌫--|-|--|------⌫-|
deuoit delaiweal puc puisier	-----|-||---|-|--|------|
qu antliculuers	--⌫--|-|------|
sedoit e ncli ni er	-|---|-⌫----⌫--⌫-|
ungranttineil	-|----|-----|
parmilesrai ns	----|--|---⌫-|
sikeparm o rtlo ruetemmilocanp	-|-|--|-⌫-⌫-|-|---|---|-|---|
sainte marieihesu rois	-----|----|----|---|
gl or ious	--⌫--⌫---|
ke tu faisdem eruel les	-|-|---|-|-⌫-----⌫--|
ket u esmeruilho s	-|-⌫|-|--------⌫|
sigr antposteit s or tesangnieazli	-|--⌫--|------|-⌫-|--|-------|-|
celu itormentei lplusquidetoi	----⌫|-------|-⌫|---|--|-|--|
estsoni ou s	--|----⌫--⌫|
m utestd emaluaisho mmes quionkesnefontbin	-⌫-|--|-⌫|------|--⌫---|--|----|-|---|--|
altru itolent	-----⌫|-----|
leloret poidonentdel si en	-|--|-|--|-----|--|--⌫-|
souentdie ntz ado neonke s	-----|---⌫-|-⌫|--⌫-|----⌫|
nedien ttien	-|----⌫|---|
n equedentil nesoffrequillordesplace	-⌫-------|-|-|-----|-|-|--|-------|
ta nt ontdelor delizd au oir	--⌫-|--|-|--|----||--⌫--|
n unt del orpe chieznulereconissa n ce	|--|-|-⌫-|--⌫----|---|---------⌫-⌫-|
tropfunt d auer serie s et p echent afiance	---|---||----⌫-----⌫|-|-⌫-----||-----|
