talentmeprist	-----|-|----|
che uoizebarbesdetr aherent	---⌫---||-----|----⌫------|
entre eusesteitlido elsc onmuns	----|--|-----|-|--⌫--|-⌫-----|
sursun escu fumischescun s	--|--|---|-|--|-------⌫|
enla citele sun t	-|-|---|--⌫|--⌫|
desqueele sot celea uenture	-----|--|--|---|-⌫------|
pau meechi et at eredure	---⌫--|---⌫-||-⌫--|---|
quant ele uientdepaumeisun	----|--|----|-|--------|
chescun regretteparsun nun	------|-------|--|--|--|
lass e fetelequ eiferai	----⌫|--|--|--⌫-|----|
ia meshaiti éneserai	--⌫--|-----⌫-|-|----|
cesquatreche ualiersam o ue	--|-----|---⌫------|--⌫-⌫-|
echescunpar seicuu eit oue	|------|--|--|---⌫---⌫--|
mut paraueit eneu sgranzbien s	--|--|----|-|--⌫|----|----⌫|
ilmamoent surtute riens	-||-----|--|---|----|
purlurbe autepur	--|--|--⌫---|--|
lurp ruesce	--|-⌫-----|
pur lurualur	--|--|----|
pur lur largesce	--|--|-------|
mei entendre	--|-------|
nesuo iltuzperd re purl un	-||--⌫-|--|----⌫-|--||-|
queil ieodeipluspleindr e	----|--|--|---|-------⌫|
m es n e puis	-⌫-|-⌫|---|
cour irnefeindre	----⌫-|-|------|
l un ueinafr éli	|-|--|----⌫-|-|
treiss untmort	----|-⌫--|---|
nairienel mundki mecon fort	|-|---|-|---|-|-|---⌫---|
les morzfera iense uelir	--|---|----⌫|----⌫----|
esilinafr e z poeit	|-|-|----⌫-⌫|----|
uo lentersmentr ame terai	--⌫------||-|--⌫---⌫----|
e bonsmire sli baillerai	|---|----⌫|-|--------|
enseschambr es le fetporte r	-|--|------⌫-|-|--|-----⌫|
puisfist lesautr esc unreer	---|---|--|----⌫-|-⌫-----|
a gr ant amurenoble ment	|--⌫--|---||-----⌫---|
lesaturnat erich ement	--|------||----⌫----|
enunemut r iche	-|--|--|-⌫---|
f i stgrantoffr endreegrant	-⌫-⌫-|----|----⌫----||----|
lauilfurent enfui	-||-|-----|----|
deus lur f acebone merci	---|--|-⌫--|---|----|
sagesmire saueitmande z	----|----⌫|----|-----⌫|
alcheua lier liurez	-|-----⌫---|-----|
kien sachambre iut nafrez	-|-|-|------|--|-----|
tantque agarisunest t ur nez	---|--||------|--|-⌫--⌫--|
alo t ueersouent	---⌫|---|-----|
e c unfortout mut bonement	|-⌫--------|--|-------|
mesles autrestreisregretot	--|--|-----|----|-------|
egrantdolurpureusmenot	|----|----|--|--|----|
uniur desteapr esmangie r	-|--||---|---⌫-|------⌫|
parlotlad ame alcheualer	-----|-|-⌫--|-|-------|
des u ngrant doelli rem e mbr ot	-|-⌫-⌫|----|---|-|---⌫-⌫---⌫-|
sun chiefuis enbai sso t	--|----|--|-|---⌫---⌫|
forment come nc eta pen er	------|----⌫--⌫-||---⌫-|
bie naparceit queelepenso t	---⌫|-------|--|--|-----⌫|
auenaument lareisu no t	---------||------⌫--⌫|
da me uusestes enesf rei	--⌫-|--|----|-|---⌫--|
queipensez uusdi t esle mei	---|-----|--|--⌫-⌫-|-|--|
le ssezuostredolur	--⌫---|-----|----|
bie nuusdeuezco nforter	---⌫|--|----|--⌫------|
am is f eteleieo pensoue	--⌫-|-⌫-|--|--|------|
e uozcumpainunsr emembroue	|--|---------|-⌫--------|
iames d ame	----|-⌫--|
de munparage	-|--|-----|
tan tn ier tb elepru zne	---⌫||---⌫|-⌫--|---⌫|-|
teusquat r eensemb lenamera i	---|----⌫-⌫|------⌫-||-----⌫|
un iur sine	-|--|-|-|
s per drai	|---⌫---|
fo r s u ustut sulkinafrezf ustes	--⌫-⌫|-⌫-|--|--|-|-----|-⌫----|
gr antpour	--⌫--|---|
e n eustes	-⌫|-----|
purceo quetantuus aiamez	--|--|--|---|--|-|---|
uoilquemis do elsseitre membrez	---|--|--|--⌫--|---|--⌫------|
d euusquatre	-⌫|--|-----|
feraiunlai	----|-|--|
eq uatredo ls uusnumer ai	|-⌫----|--⌫-|--|-----⌫-|
licheualierslires pu ndi	-|---------|-|---⌫--⌫--|
hast iuementquant illoi	----⌫------|----|-||-|
damefetes lela i nouel	---|----|-|--⌫|----|
silape lezlechaitiuel	-||---⌫--|-|--------|
ei eouusuoilmustrerreisun	|-⌫-|--|---|------|-----|
issi auer nun	---|---|--|
li autresuntpieca finé	-|----|---|----|----|
e tutlesecleunt usé	|--|-|----|--|---|
lagrantpeinekilensuff reien t	-|----|----||-|-|----⌫-----⌫|
delamu rqu il uer s uusauei ent	-||---⌫|-|-|---⌫|--|----⌫--|
mesio ki s uieschap é u if	--|-|-|-⌫-|------⌫-|-⌫-|
tutesg ar éettutch eitif	--|---⌫--⌫-|-|--|--⌫----|
sec lep uisp lusamer	---⌫-|-⌫--|-⌫--|---|
ueisouentuenir ealer	--|-----|----||---|
parlerodmeim a tine	-----|-|--|-⌫-⌫--||
puis nul e	---|---⌫|
i oieaueir	-⌫--|----|
nede baisierned acoler	-|-|------|-||-----|
bienfors de parler	---|---|-|-----|
teus cent mausme	---|---|---|-|
fe tes suffrir	--⌫--|------|
meuz meua udr eit lamort	---|-|--⌫---⌫--|-|---|
purceo ert li	--|--|--|-|
lais de mei no mez	---|-|--|--⌫--|
le chaitiueliert	-|--------|---|
k i quat re dols lenumera	-⌫|----⌫-|---|-|-----|
s unpropr enunl ichan gera	-⌫-|-----⌫|--|-⌫|----⌫---|
parfei fetele ceom estbel	--|--|--|--|--||--|--|
orelapel um lechaiti u el	--||----⌫-|-|------⌫-⌫-|
issifu lilaiscomenci ez	---|-|-|---|-------⌫-|
epuisparfaizea nunciez	|---|------||-⌫------|
icilkil porter e ntauant	---|-||------⌫-⌫-|----|
quat redo lsl ap elent alquant	----⌫-|--⌫-||--⌫----|------|
chescundesnunsbien	------|--|---|---|
le c haitiu el adn un	-|-⌫------⌫-|-|-⌫-|
icifini st niad plus	--|----⌫-|||-|---|
oiplusnensai	-|---||-|--|
neplusneu usne cunterai	-|---|-|-⌫-|-|-------|
