Qiuoetoyrchaunzondamur	-|---|--|-------||---|
Siuousgardez deglo tonie	-|---|-----|-|---⌫----|
A mezbienuostresei gnur	-⌫--|---|-----|---⌫---|
Nesoffrezqileitdeshonur	-|------||-|--|-------|
deuezamour	----|----|
C ar bienadam éuous	-⌫-|---|-|--⌫-|---|
Atantsesu ntentrebeysés	----|-|--⌫-|-----------|
Plurent e crientde pit é .	------||-----|-|---⌫--⌫|
S uzceln adhomequelafust	-⌫-|--||-|---|--|-|---|
Qedolur delapiténeneust.	-|----|-|-|----||-|----|
Paumezsuntchaeuza	-----|---|-----||
Nestho meqimeuousis tc rere	|--|--⌫-|-|-|------⌫|-⌫---|
Siieodeiss e la moyt é	-|--|-----⌫|-|----⌫-|
Deldo el q entreeu sount d emen é.	--|--⌫-||----|--⌫|---|-⌫----⌫--|
senu a uerson	|-|-⌫|--|--|
Liautre srem einttristes epe nsifs.	-|-----⌫|---⌫---|------||--⌫-----|
QuantAmis depa lmisounleuoit	----|---|-|--⌫------|-----|
uerslacourtse iretorney t	---|-|----|--⌫|--------⌫|
Sitostco menla porteen tra	-----|--⌫|-|-|----|--⌫--|
Lisenesch allie n contra	-|-------⌫-|-|-⌫-⌫-----|
Qe s em launtdamu r	-|-⌫--⌫----||---⌫|
Mes dequ erp oylia me it .	--|-|--⌫-|-⌫-|-|-⌫--⌫--⌫|
Sire Amisditil	---|---|--|-|
bie nueign ant	---⌫|-----⌫--|
De uoussuyorealépe nsan t	-|---|--|--|---|--⌫----⌫|
Edem isir eAmilliou n	|-|-⌫----⌫|--------⌫|
Qiauousertlealcompaignon.	-||---|--|---|----------|
Ne uol ezunke nulautreamer	-|---⌫-|---|--|----|---|
Nesemblant anul mustrer	-|-------||--|------|
Mes q uan t sen	--|-⌫---⌫||-|
estdeparti	--|------|
Requer qe so ye z	-----|-|--⌫--⌫|
mon amy[f.69ub]	--|----------|
M on ami e mon bienuoilant.	-⌫-|--||--|---|-------|
Amis respountaitant	---|-------|-----|
Si resenesc haluostreami s té	--⌫-|------⌫--|-----|---⌫-⌫--|
Enmoy nestsienploié	-|--||--|-|-------|
Qenepuissenul autreamer	-|-|-----|--|----|---|
Qua nt ta le nt medoin t e	---⌫-|--⌫--⌫-|-|----⌫||
S i Amilli ounsso it alé	-⌫|------⌫---|--⌫-|---|
meest aband oné	-|--|-----⌫---|
lyaym e ameray	-|--||-----|
Pur nu l autrene	--|--⌫|----|-|
Parceoquilest	--|--|-|-|--|
choseespr oué	----|----⌫---|
Pur promesses aunzseurté .	--|-------|-⌫---|-------⌫|
Mesdetauntmepoezcrere	--|-|----|-|---|----|
Qesi uo u seiezdemoyaffere	-|-|--⌫-⌫|---|-|--|-----|
fr ay od gra untdouçour	--⌫-|-|---⌫--|-------|
Sauueches cuny honur.	----|----⌫---|-----|
Lisen eschala tauntsetint	-|---⌫-----|-⌫----|-|---|
Qedanguissepaledeuint	-||-------|---|-----|
Pu r pen seseiqil se uengereit	--⌫-⌫---⌫-|--||-|-|--------|
Sitostc omson	-----|-⌫-|--|
leuuerreyt.	--|-------|
Ami slessaletempsaler	---⌫|----|-|----|---|
fists o nmester	---|-⌫-⌫|-----|
c ountecomilsoleyt	-⌫----|--|-|-----|
Elecountemoutliamoyt	|-|-----|---|-|----|
letintplusp riué	-|---|---|-⌫----|
Qenulautrede same isné.	-|--|----|-|-|--⌫-----|
Oreuous dirraide sir Amilloun	--|---|-----|-|--|-------|
Quantuinta s aregio un	----|---||-⌫|-----⌫-|
La gentqe desa terrefurent	-|---|-|-|-|----|-----|
O dgrantn obleylireceu rent	-⌫|----|-⌫----|-|-----⌫---|
Tresto u zlifirenthomage.	------⌫-⌫|-|-----|------|
Orepoet il men e rgrantbaronage	--|---|-|---⌫-⌫|----|-------|
Nustod lyi a	|--|-|-|-⌫|
chiual er sdemaisné.	------⌫--⌫|-|-------|
Tant fui t de	---|---⌫|-|
s a ge nt amé	-⌫|--⌫-|---|
El o ur ad trestouzdo né	|-⌫-⌫-|-|-------|--⌫--|
Bonscheuausedeners	---|------||-----|
E robesasesesquiers.	|----||--|--------|
E il memes	|-|----|
si belesto yt	-|--|----⌫-|
Qe tutle pays ledisoyt	-|--|-|---|-|-----|
mesmesleeus tpurtret	-----|-|---⌫|------|
Plusbonnemeuznese rra fet.[f. 70ra ]	---|--|-|---|-|--⌫--|-------⌫----⌫|
dur ementl amerent	---⌫----||------|
Afemmeprendreliconsaillerent .	|----|------|-|-------------⌫|
P arlourconsail s e maria t	-⌫-|---|------|-⌫|-----⌫|
Un e gentile femm eesp osat	--⌫|------|----⌫|---⌫---|
Q efilleduncounte e stoi t	-⌫|----||-|-----|-⌫----⌫|
mereperdu auoit	---|----|----|
Pur h eritage lamoyté	--|-⌫------|-|-----|
Lifuit escheu de l	-|---|-----|--⌫|
Debe autéauo itle pris	-|--⌫----|---⌫-|-|---|
Sourtouzlesdame sdu pays.	---|---|--|----⌫|-|----|
Bi enfurent entre	--⌫-|-----|----|
euxcoupl és	--|-----⌫--|
Deparageed e	-|-----||-⌫|
Orele r ray	--|--⌫-⌫--|
deAmyllioun	-|--------|
E desirAm ysuu s	|-|--|--⌫-|--⌫|
uoil cou nter	---|---⌫---|
Qefuitdem oréodsons eygnur	-|---|---⌫---|-|--|-⌫-----|
Emeuzli serui	|---|-|----|
dei oureniour.	-|-⌫--|-|----|
Tau nzcomAmismeuzliseru eyt	---⌫-|--|---|---|-|----⌫--|
Le sene sc halplusli ha eit	-|----⌫--⌫--|---|-|--⌫--|
Desonbe n fait auoite nuie	-|--|--⌫-⌫---|----|-⌫---|
MesAmysnelapar ceust mye .	--|---|-||----⌫----|---⌫|
L iquen sun edameaueit	-⌫|----⌫|--⌫|---|----|
Qilcome saui e	|-|---|-|--⌫|
Une filleauoitladame	--|----|----|-|---|
amoit co mesalm e.	----|--⌫-||---⌫-|
M outf ut genti lela	-⌫--|-⌫-|-----⌫-|-|
damoys ele	------⌫--|
realmeneou tplus bel e.	-----|-|--⌫|---|---⌫-|
Deuscounte slade sirent	---|------⌫|-|--⌫-----|
Eesposer la uoliren t	|------|-|-------⌫|
M eseleatrestouz	-⌫-|--||-------|
Neuon t uncore	-|---⌫|-----|
aue rmary.	---⌫|----|
Ag rantcher tél etyntle	|-⌫---|----⌫--|-⌫|---|-|
Emoutlama a uxi	|---|---|-⌫--|
la me r e.	-|--⌫-⌫-|
L adamoyselefu itbiengardé	-⌫|--------|--⌫-|---|-----|
C ompaignesoutagr a ntpl einté	-⌫--------|--||--⌫-⌫-|--⌫-----|
Desdames elesdelpais	--|-----⌫---|--|---|
Ensa chambr e	-|-|------⌫|
Qetouz fesoientsauolunté	-|---|-------|-|-------|
Dec o un tredit n enad parlé.	-|-⌫-⌫--⌫-----||-|-|------|
auenturea uin t	-------|-⌫---⌫|
Qe li quens unefestetynt	-|-|----|--|----|---|
Paruniourde	--|-|---|-|
l Ascensioun	|---------|
La fu itas semblémaintbaro un.[f.70rb]	-|--⌫-|--⌫------|----|----⌫----------|
Es t u euzlimestrebotiler	--⌫|-⌫--|-|-----|------|
Amysqibiensoutsonmester	---|-|---|---|--|-----|
drapuestuesteit	---|----|-----|
Lac oupedeuantl i quens	-|-⌫---|-----|-⌫|----|
Mo utfubeals	--⌫-|-|----|
Des chiualer s fuitmoult prisé.	--|--------⌫|---|----|------|
Entre euxcommuneme nt	----|--|---------⌫-|
Qeunquesi bel	-|----|-|--|
cheualerneueient	-------|-|-----|
E liquens meme le	|-|----|---|-|
Qeonqe sibelchiualerneuist.	-|---|-|--|-------|-|----|
Touz ceusqe enlas al ees toi e nt	---|---|-|-|-|-⌫--⌫|--⌫---⌫-⌫-|
bea uté m atire a ueient.	---⌫---|-⌫----|-⌫------|
Estuenuz l anouele	--|----|-⌫|-----|
Enlachaumbrea ladamois ele	-|-|-------||-|------⌫--|
Delbotil er	--|-----⌫-|
qe t ant ertbe aus	-|-⌫--|--|--⌫--|
Etresgentildameys eals	|---|-----|------⌫---|
E qil fuit	||-|---|
tantbo n chiual er	---|--⌫|------⌫-|
Qenla court no ut	|-|-|----||-⌫-|
Lapu celeenpristten drour	-|--⌫---|-|----|---⌫----|
Qe tantu ersliad getté s a mo ur	-|---|-⌫--|-|-|-----||-⌫--⌫-|
Siforment comensaaamer	-|------|------||---|
Qe lenepout boyure	|-⌫-|-|---|-----|
Lesdamoysel e sqe od lierent	--|--------⌫-⌫|-|-|-|----|
Purqueiceofu ylydemaunderen t.	------|--|--⌫|-|-----------⌫-|
Eeleditquemaladefuit	|--|--|--|-----|---|
dontcelma llyauenut.	---|--|--⌫|-|------|
Elecomaundaqe e us	--|-------|-|-⌫-|
Ed au trechosesenueysent.	||--⌫--|----||---------|
En cellangur demora	-|--|-----|-----|
Tantqueliquens senala	---|--|-|----||-|--|
Aboysiuwer en uen erie	|---|----|-|---⌫---|
Od lytot esachiualri e.	-|-|---⌫|-|--------⌫-|
io ut nulremis	|-⌫-|--|----|
Des cheualersforsireAmis	--|--------|--|---|---|
Eilremist purm aladie.	|-|-----|--|-⌫------|
Elad amesele	|-|-⌫------|
neta rgamye	-|--⌫--|--|
Des adamepris tcong é	-|-⌫|---|----⌫|----⌫-|
Eele tantost	|--|------|
liaddoné .	-|-|-----⌫|
Nomeruou s	----|---⌫|
dey la puc ele	--|-|---⌫--|
Sond re it noun estMirabele	--|-⌫--⌫-|---|--|-------|
MesF lorief ust apele ́	--|-⌫----|-⌫--|-----⌫|
qefurentdesa meisne ́. [f.70ua]	-|-----|-|-|------⌫--⌫-------|
Florieq uantlecongéeneu st	-----|-⌫---|-|-----|-|--⌫-|
Sahas té a	||---⌫--||
plusqueelepu st	---|--|--|--⌫-|
O ueunesoulechamb ere	-⌫-|--|----|-----⌫--|
Ala parcongédesa mere	--|--|-----|-|-|---|
Pa rleraAmysque	--⌫---||---|--|
Tantparlaeta untdem ora	---|----||--⌫--|---⌫--|
Qetot s oncorage	-|--|-⌫-|-----|
descou ery	------⌫--|
a mur de luy	-⌫--|-|--|
Morustsilne ustd elipite ́	-----||-||-⌫--|-⌫|-|----⌫|
Equeelefustde	|--|--|---|-|
de lyamourneauoit	-|-|----|-|----|
Iaméshome neamereit.	-----|---|-|-------|
Amisquantla d esco té	---|----||-⌫|----⌫--|
Quideitqu e	------|--⌫|
elefuit deuee	--|---|----|
Qeelepoutpur houn tedes couerir	-|--|---|--|----⌫-|---⌫------|
Sauolunté e son	-|-------||--|
De respoundre sepurpensoit	-|---------|-|---------|
Comcel iqi t alentn e	--|---⌫|-|-⌫----|-⌫|
Qil mesprist uersson	|-|-------|---|--|
E stezuous Flor iep ar g rant	-⌫---|---|----⌫-|-⌫-|-⌫---|
Elelirespo ndied istComen t	--|-|-----⌫--||-⌫--|-----⌫|
uousayamécelement	---|-|---|-------|
Qeieo uu s aydone ́	-|--|--⌫|-|----⌫|
Iaen ma uieapré s ceoiour	-|-|-|--|-----⌫|--|---|
enmon que rheytez	-|--|---⌫|-----|
Siieon esoye deuou suengez	-|--|-⌫|---|-|---⌫|-----|
Certes o r esuy ieobienhonye	-----|-⌫-⌫|--|--|---|----|
Quan t uou sm e dedeignezauere amye	----⌫|---⌫|-⌫|--------|----|---|
Tantg en tilsh omme s mount	---|-⌫--⌫---|-⌫----⌫||---|
E trestouzaiie	|-------|-|-|
Certesn estespas cheualer	-----||----|--|-------|
Mescreau sesteselaner	--------⌫|----||----|
bienduruus	---|--|--|
Amonperele co n teray	|--|---|-|--⌫-⌫----|
Qe uers liestes emoyforfet	-|---|-|----||--|-----|
Eserr e ́sd eschiual s	|----⌫-⌫-|-⌫-|------⌫|
Donques serr a ydeuousueng é	------|----⌫-⌫|-|---|----⌫-|
AtantsestFlorier et orné.	----||--|-----|-⌫--⌫-----|
Amismoutse	---|---|-|
l autremoutdota.	|----|---|----|
Cor teisementlyrespundi	---⌫--------|-|-------|
Damoiselpu r Deu me rcy[f.70ub]	-------|--⌫|--|--⌫----------|
uos treamy	---⌫--|--|
suyeserray	--||-----|
Euostreser i anttantcom ieo uiueray.	|-----|---⌫-⌫--|---|--|--|-------|
uers uousne mesprendr oiem ye	---|---|-|---------⌫--|-⌫-|
Pa rqueiuousen	--⌫|---|---|-|
auerezuilenye	-----|------|
uostr e corpsh ontage.	-----⌫|----|-⌫------|
IeoprengDeuentesmoignage	--|----|--|-|----------|
Siceo poet	-|--|---|
estre aparceu	----|------|
Q edemoyfeissez uostre	-⌫|-|--|------|-----|
Neserrioms nous	-|-------|---|
e nf ynho nye	-⌫|-⌫-|--⌫--|
Host e zhostez	----⌫-⌫|-----|
ceoditFlorie	--|--|-----|
Nouslefromssi p riuém ent	---|-|----|-|-⌫------⌫--|
Touzdeus a nostretalent	---|---||-----|-----|
Nel saueraho m e dem erenee.	--|-----|--⌫-⌫|-|-⌫--|---|
Tantli addit e	---|-|-|--||
undecel affere	-|-|--|-----|
Doun t deuisentla me nere	----⌫|-------|-|--⌫---|
Comentequant sassembl erun t .	-----||----||-------⌫----⌫-⌫|
Alla sQencusése r rou nt	----⌫||------|--⌫-⌫---⌫-|
Qe trestotoyun	-|------|-|-|
Dela m eisnee lese neschal .	-|-|-⌫-----|-|--⌫-------⌫|
A s on seignur lealacounter	|-⌫-|------|-|--|------|
il poetespleiter.	-|---|---------|
Leseneschalfutmo lt l ee	-|--------|--|--⌫-|-⌫-|
O r equideit bien estreueng é	-⌫-⌫|------|---|----|----⌫-|
D eu o strecorteis botiler	-⌫|-⌫-⌫---|------|------|
T ot lour estrefis tespier.	-⌫-|---|----|---⌫|------|
Qant uintleterm eq	---|---|-|----⌫||
auoi nt di t	----⌫-|--⌫|
Ilensemble ront	-|--------⌫---|
odgr ant del it	-|--⌫--|---⌫-|
Pargrantduçou rs e ntr ebeise rent	--|----|------⌫||-⌫---⌫------⌫---|
parlerent eiuwerent.	--------||--------|
Deautrechosenedirr ai	-|----|----|-|----⌫-|
Necr oy pas qil	-|--⌫-|--||-|
yauoit uilayn ie.	|----|------⌫--|
Les enes chalquantsout	-|-⌫----⌫---|----|---|
Entre Amis ela	----|---||-|
mesc hin e	----⌫---⌫|
Lendemainuint totahounte	|-------|---|--||-----|
Acoun téest tot	-----⌫--|--|--|
alc ounte.	-|-⌫-----|
Liquensf udeire enflé	-|----|-⌫|-|--|-----|
N e parlamotuneluwe ́.	-⌫|----|--|--|----⌫-|
Adonk ed it ilD eum ercy	-----⌫|-⌫-|-|-⌫-|-⌫---|
Si ceotraitour m ad	-|--|-------||-|
Que t antameyeta nt ti ng c her	--|-⌫--|---||--⌫-|--⌫-|-⌫--|
En q im e p orr ai affier[ f.71ra]	-|-⌫|-⌫|-⌫---⌫-|-------⌫------|
Siestgrantdesertuen u	-|--|----|-----|---⌫|
Mafil l e e st putedeuenu.	-|---⌫-⌫|-⌫-|---|------|
E le e sthonie ieosuy	-⌫-|-⌫-|----|--|--|
Celfeltraitrem	--|--|------||
ad icy ser uy.	-|--|---⌫--|
Atou ziou rs	|---⌫|---⌫-|
au era reprouer	--⌫--|-------|
Si ieone mepuisse de	-|--|-|-|-----|-|
liue ng er.	-|--⌫--⌫--|
Estceouoirsire se ne schal	--|--|---|---|--⌫--⌫----|
que l au ezdit purma l.	--||--⌫-|--|--|--⌫-|
Sire l ese neschalrespound	---|-⌫|--⌫------|-------|
qefistlemou nd	-|---|-|---⌫-|
S illeueltdenie r	|-|-|---|-----⌫|
Comlealcheuale r leuoilprouer	--|---|-------⌫|-|---|-----|
Ecilquede nou ses t	|--|--|-|---⌫|--⌫|
Soitdetrete puispendu	---|-----||---|----|
Editli quens Or e	|--|-|----|--⌫|
Ces teplay mest	---⌫-|---||--|
la chambre	-|------|
Lad ames urunlitt ro uat.	-|-⌫--|-⌫-|-|--|-⌫--⌫---|
Dame dit ilne sauez	---|--|-|-|----|
Que lefille	---⌫-|----|
E leesti a femmedemester	-⌫-|--|-⌫|----|-|-----|
faitnostre botiler .	---|-----|-------⌫|
Purnostrebien ho unte nous rend	--|-----|---|--⌫---|---|---|
Traynousadmalemen t	---|---|-|-------⌫|
Qe no st refille adtrahyeaff olé.	-|--⌫--⌫-|----|-|----||---⌫----|
doin tmaledesti né	----⌫|---|-----⌫--|
ieo ui ue tant	--|--⌫-|---|
Ne liertnul	-|-|--|--|
d emalga rrant.	-⌫|--|--⌫-----|
Tut ertd etretepuis	--|--|-⌫----||---|
Ela pute arseen fu	|-|---|---|-|-|
Ladamenesoutquoydire.	-|---|-|---|---|----|
Lecountedemalarde d	-|-----|-|--|--|||
Deuintplusnoyr ke	-----|---|---|-|
Tost s ailli hors	---|-⌫----|---|
dela m ayson	-|-|-⌫----|
Siencontraleboti l er.	-|-------|-|----⌫-⌫--|
Alisoleitt r op b e alparler	|-|-----|-⌫-⌫-|-⌫-⌫-|-----|
Lesoilssur	--|---|--|
ly formentroylla.	-|------|------|
Ami smoult seme rueilla.	---⌫|----|-|--⌫-------|
Felfaiti lDeu uousmaudie	--|---|-⌫|--|---|-----|
Ma filleestpa ruo ushon ye.	-|----|--|--⌫|--⌫-|---⌫--|
Mesuousneirrez	--|---|-|----|
Lamortuousuaiaapprochaunt	-|---|---|-|-|----------|
Si r edist Amysuus ditesmal.[f.71rb]	--⌫-⌫|---|---|--|----|-----------|
Ieosuyuostrechiualerleal	--|--|-----|-------|---|
Sinul uousaddem oycounté	-|--|---|-|-|-⌫-|------|
Forquedreita ue rit é	--|--|----||--⌫---⌫-|
Mo ul tb ien medeffenderay	--⌫--⌫|-⌫--|-|----------|
Deuantqeieodeniera y .	-----|-|--|-------⌫-⌫|
L eseneschalatantseuint	-⌫|--------|----|-|---|
Esong a u nt	|--|-⌫-⌫-⌫-|
ensonpoing tint	-|--|----|---|
E tend isten nounde gage	|----⌫--|-|---|-|---|
Com homedegrant uasse lage	--|---|-|----|-----⌫---|
Editqueo dli c omba te reit	|--|--|-⌫|-|-⌫----⌫--⌫---|
Elaue ritépro u ereit.	|-|--⌫----|---⌫-⌫-----|
Es tueus t o tela courtensemblé	--⌫|---|-⌫-⌫-|-|----|--------|
L yc hiualerse la mei sné.	-⌫|-⌫-------||-|---⌫----|
Liun cou ntrel au tretendi	-|-|---⌫---||--⌫--|----|
Eli q uens les resceust atant.	|-|-⌫---|--|-------|-----|
E donqeiugga le baronag e	|----|----|-|-------⌫|
Que plegges	--|------|
tro uere nt enhostage.	---⌫----⌫-|-|-------|
Les eneschaladtaunz	-|-⌫-------|-|----|
Kel e c ounte futbienpayé .	-|-⌫|-⌫----|--|---|-----⌫|
li sene s chaldoté	-|----⌫-⌫---|----|
QeAmysun souln e nadtroué	-|---|-|---||-⌫|-|-----|
Quoypurdoutequoypurpour	---|--|----|---|--|---|
E tre st ouz u irentqelese ignur	|---⌫--⌫--|-⌫----|-|-|--⌫----|
Ha istAmys	--⌫--|---|
dreit fust ce o	----|---|--⌫|
Nu lne oseit pu rlipa rler	--⌫|-|----|--⌫|-|--⌫---|
E lecou nteliu eltuenger.	|-|---⌫--|-|-⌫--|------|
Quantne pouttrouer	----|-|---|-----|
Pausmé ch eila mei s chine.	------|--⌫-|-|---⌫-⌫-----|
Enl a p lace estoitAmis	-|-⌫|-⌫---|-----|---|
Co m esgarréecompe nsifs	--⌫|-------||--|--⌫----|
Nesoutlequ el ilpouteslire	-|---|----⌫-|-|---|-----|
Mort ouuienesout ke dire .	---|-|--|-|---|-|----⌫|
Pl u sors aueientd e lypité	--⌫-⌫---|------|-⌫|-|----|
Meslisirefusttant yrré	--|-|---|---|---|----|
taun th ardi	----⌫|-⌫---|
unmotparler pur ly.	-|--|-----|--|--|
Ladamenesepou t	-|---|-|-|---⌫|
Nepuruiuerene pur	-|--|-----|-|--|
Deuantleco unte	-----|-|--⌫---|
E lechiualerd emaunda	|-|-------|-⌫------|
En hostagepur	-|------|--|
Enson pleggedeuendrei t.[f.7 1ua]	-|--|-----|---------⌫------⌫---|
uoir dit liquens uolezensy	---|--|-|----|----|---|
Ei e o lealment uus	|-⌫-⌫|-------|--|
Q es ildefauta labataille	-⌫||-|-----||-|-------|
Le iuggementa uerezsa unzfail le	-|--------|-⌫----|--⌫--|----⌫-|
Qeuostrefillefustdestiné	-|-----|----|---|-------|
le rmi stpurpite ́	--⌫---⌫-|--|----⌫|
Pris tAmisenpl eui ne	----⌫|---|-|--⌫---⌫-|
Moultfu dolent elam eschine.	----|-|------⌫|-|-⌫-------|
Amis seretretepurpen sa	---|-|-----||------⌫-|
Comce liqegrantmeste re n a.	--|--⌫-|-|----|-----⌫|-⌫|-|
De sonf rere lisouynt	-|--|-⌫---|-|-----|
Tantosta lacountesseuynt	------||-|--------|---|
Co ngéliala demau nder	--⌫---|-|--|-----⌫---|
s onfr ere uel taler	-⌫-|--⌫--|---⌫|---|
Sonenuy monstrer liuo ut	--|---|-------|-|--⌫-|
Eala qem ultse	|--|-|-⌫--|-|
E lelidistBeausirAmys	-⌫-|-|---|---|--|---|
Traihirmeuolezmes tauy s	------|-|----||--⌫|---⌫|
Si uousneuenez at eliour	-|---|-|----||-⌫-|---|
uouss auezbien	---|-⌫---|---|
qe monsei gnur	-|--|---⌫---|
P uruousad ma mort	-⌫-|---|-|-|---|
Damedist ilparmalealté	---|---|-|--|-|------|
Pur madefautene murre z mie	--|-|------|-|-----⌫|--|
Ta ntcom iepuisse	--⌫-|--|-|-----|
Ata nt co ngély d ona	---⌫-|--⌫---|-|-⌫--|
Eunpalefroymounta	|-|-------|-----|
Saunz g arsoune saunzesquier	----|-⌫-----||----|------|
Na lap ascomchiualer	|-⌫-|-⌫-|--|-------|
