CO N STANTIN OPLE	--⌫-⌫-------⌫---|
Foukesdontchefumoltgran sdamagesauec	-----|---|--|-|---|----⌫|------|---|
lescroisiés	--|--------|
Quantlicroisiéseurent que licuensde	----|-|-------|------|--|-|----|-|
Cha mpai ngneleursires fumorse t	---⌫----⌫---|---|----|-|---|-⌫|
Foukesausis ien furent moltdo lent et	-----|---|-⌫|-|-----|---|--⌫---|-|
moltcorchie ́ e t	---|-------⌫|-⌫|
mo l te s mariets	--⌫-⌫|-⌫-⌫---|-||
asanleren t aun iour tout a	---------⌫||-|---|---||
Ses sonsetpris ent	---⌫---|-|----⌫--|
conselentra us que ilferoi entet de	-----|---|-⌫-|--|-|-----⌫--|-|-|
qui ilferoie nt ki euetaine etseig neurd aus tant	--|-|------⌫-|--⌫-------|-|----⌫---||--|---|
acorderent entr	---------|---|
ausq u ilen uoieroie ntpour	--|-⌫|-|--⌫--------⌫-|---|
l emarchisde	-⌫|------|-|
Monferras en	--------|-|
Il ienuoierent molt	-||---------|---|
boinsmessage spo ur lui	----|-------⌫|--⌫-|--|
L imessag esapareillierentsi	-⌫|------⌫||-------------|-|
sen al e rentaumarchis	|-|--⌫-⌫---|-|------|
Q uant iluinrent las iparle renta umarchiset	-⌫---|-|------|-|-⌫|-----⌫---|-⌫|------|-|
silidisentque l i baronde	-|-|-----|--|-⌫|----|-|
F ra nchelesaluoi ent	-⌫--⌫---|-|------⌫--|
et q uilli	-|-⌫|-|-|
mandoientetprioientpour	--------|-|-------|---|
Dieuque i luenistparle r a aus a unior	---|--|-⌫|-----|-----⌫||--||-|--|
qu ill inomm erent	-|-|-⌫|----⌫----|
Quantli marc his oïchesisemerueilla	----|-|----⌫--|--|--|-|-|--------|
moltdechou que libaronde	---|-|---|--|-|----|-|
Franche lauoientmand é si respondi as	------||------|----⌫-|-|-------|-|
mesag es qui ls enconseilleroitet l	-----⌫-|-|-⌫||-|------------|-||
endem ain leur	-----⌫--|---|
lair oitsauo irqu	----⌫--|----⌫-|-|
ilen uaurroitfair eet fistmo lt feste	-|-|-------|----⌫|-|---|--⌫-|----|
desmessages	--|-------|
Quantcheuintl endemain sileur distlimarch is	----|--|---||-------|-|---|---|-|-----⌫-|
iro itpa rl er	---⌫-|--⌫--⌫-|
Se ssonsatel	--⌫----||--|
iorcommeilli auoientnommé	--|----|-|-|------|-----|
Ado ntl i messageprisentcong iésis enreui nrentet	---⌫-|-⌫|------|------|----⌫--|-||-|----⌫----|-|
limar chisl euroffr idesescheuaxet d e	-|---⌫---|-⌫--|----⌫|-|--|-----|-|-⌫|
sesi o i ausmaisilnen uaurrent	--|-⌫-⌫-⌫--|---|-||-|-------|
nul prendre	--|------|
Etquant i lfure ntreuen us ifisent	-|----|-⌫|----⌫-|-----⌫|-⌫|-----|
sa uoi ras baronsqu il au oientfait	--⌫---⌫|-|-----|-|-|--⌫----|---|
Adont a tira li marchissen	----|-⌫---|-|------|--|
oirreet pass a l es mons de	----|-|----⌫|-⌫-|---|-|
Mon giuetsen uint en	---⌫--|-||-|---|-|
Fra nc hea	---⌫--⌫-||
Sessons et fistsauoir	------|-|---|-----|
asbaro nspardeuantquei luenoitetlibaron	-|----⌫-|--|-----|--|-⌫|-----|-|-|----|
furentlaencontrel uiet fis entmoltgrantfe stede	-----|-|-------|-⌫-|-|---⌫--|---|----|--⌫--|-|
Qu a n tlima rchis fuuenu s a	--⌫-⌫-⌫|-|--⌫----|-|----⌫||
Sessonssi d emanda asbarons	------|-|-⌫-----|-|-----|
po urcoiill auoient	--⌫-|--|-||------|
Et li ba ron fu rent co ns elliéselidisent	-|-|--⌫--|--⌫---|--⌫--⌫-----|-|-|-----|
Sire n ousuo usauon s m andé po u r che que li cuens	---|-⌫--|--⌫-|----⌫|-⌫----|--⌫-⌫|--|--|-|----|
Ch ampai ngnenos	--⌫-----⌫---|--|
siresquiestoitnos maistresest mors etno us	----|--|-----|--|-------|--|---|-|--⌫-|
uousmandamespou rleplus preu dommequenoussauiemes et	---|-------|---⌫|-|---|----⌫----|--|---|-------|-|
quile greigneurcon selpooit metre e nnostreafaire	--|-|--------|---⌫--|----|----|-⌫|-----|-----|
Siuous proionstout pour	-|---|------|---|---|
Dieuque uous s oiésnossiresetqueuous pour	---|--|---|-⌫----|--|----|-|--|---|---|
Damedi eupregniéslecrois	------⌫-|--------|-|----|
chespar olessa g e noull ie re nt libarondeuan tlui	---|---⌫---||-⌫-⌫-⌫-----⌫--⌫--⌫-|-|----|-----⌫|--|
etselidirentquil nese smaias t	-|-|-|-----|-|-|-||-⌫------⌫|
mie dauoir pourca chierque illidourroient	--||----|------⌫----|--|-|-|---------|
g rantpartie del auo i rquel icuens	-⌫---|-----|-||---⌫-⌫|--|-⌫|----|
C ham paingne auoitlaissié as croisiés	-⌫---⌫------|----|-------|-|--------|
Lim archisdis tque il	-|-⌫-----|---⌫|--|-|
conselleroit et quant	-----------|-|----|
ilsefu conseilliéssirespond i	-|-|-|-----------|-|-------⌫|
quepourl amou rde	--|---||----⌫|-|
D ieuetpoursecorre letere	-⌫--|-|---|------|-|---|
doutremerpr endroitillecro is	|----|--|--⌫------|-|-|---⌫-|
Etli uesquesde	-|-|------|-|
Sess onsfuta n tostap areilliéssi l idonnale cro is	----⌫--|-|--⌫-⌫---|--⌫---------|-|-⌫|----|-|---⌫-|
Et qua ntilleut	-|---⌫-|-||--|
pris esil i donna	----⌫|-|-⌫|----|
ondelauoir q ueli cu ens	-|-||----|-⌫-|-|--⌫--|
Ch ampaing neauoit laissié ascro isiés.xxu .mi le liures	--⌫-------⌫-|----|-------|-|---⌫-----|----⌫|--⌫-|-----|
Aprésq uant li marchisfu	-----|-⌫---|-|------|-|
croissiés si dista sba ro ns	---------|-|---|-⌫|--⌫--⌫-|
Seigneur fistli m archisou u aurrésuouspasserne	-------|---|-|-⌫-----|-|-⌫------|---|-----|-|
enqueltere de	-|---|---|-|
Sar rasi nsuaure ́s	---⌫----⌫-|-----⌫-|
r espon direntqu eenle te re	-⌫-----⌫-----|--⌫|-|-|--⌫-|
Su riene uoloient il	--⌫--|-|-------|-|
miea lercaril n	--|-⌫--|--|-||
i porroi entri e n sforfa iremaisilauoientpourposé	|------⌫--|--⌫-⌫-⌫|-----⌫--|---|-|------|--------|
Baby loin e o u e n	----⌫----⌫|-⌫|-⌫|
A l exandr e tres	-⌫-⌫------⌫|---|
illeur pe u sse ntplus	-|---|--⌫-⌫---⌫-|---|
forfair eetauoientpourposementd e	-------⌫|-|------|-----------|-⌫|
liwe r esto irequi touse nsanle l es y pass ast	----⌫|----⌫--|--|---|-⌫-----|-⌫-||----⌫--|
Adontd i s tli mar chis quechestoit boinsconsaus	----|-⌫-⌫-⌫|-|---⌫---|--|-|-----|----|------|
etq ueilsiacordoit	-|-⌫-|-|||-------|
bienet q ue onyenuoiastbonsme ssages	---|-|-⌫-|-||-------|---|--⌫-----|
desp lussagescheuali ersd aus ou	--|-⌫--|----|-------⌫--||--|-|
Genureouen	-----|-|-|
uenicea chestcon saus sacorde nt tot libaron	-----||----|---⌫---||------⌫-|--|-|----|
A do ntsi atir ere ntl eursmessages	-⌫--⌫-|-|----⌫---⌫-|-⌫---|-------|
Siatirerenttou tq uemesires	-|--------|---⌫|-⌫-|------|
Qu enes de	--⌫---|-|
Betune yal aet li ma re schausde	-----||--⌫|-|-|--⌫--⌫-----|-|
Ch a mpaingne p u isquant ileurentatiré leurmessages si	--⌫-⌫-------|-⌫-⌫-|----|-|-----|-----|---|-------|-|
sedepartirent li	-|----------|-|
baronet limar chiss enenala	----|-|-|---⌫---||-|-|--|
ensonpaïset li autre	-|--|----|-|-|----|
a usicasc un s	-⌫--|----⌫--⌫|
S ikemanda on	-⌫|------|-|
as m essages q ueil liuaiss e nt w ai ssiausa	-|-⌫------|-⌫-|-|-------⌫-⌫-|-⌫--⌫-----||
p asser .i iii.	-⌫----|--⌫---|
m.m.che ual iersetleurharnas	-|-|---⌫---⌫---|-|---|-----|
et.c.m.hom mesapi e ́	-|----|---⌫--||--⌫-⌫|
Li mes s ageato rnerent leur	-|---⌫-⌫--|---⌫------|---|
ena lerent to ut	-|-⌫-----|--⌫-|
dr oit tantqu	--⌫--|---|-|
iluinren t	-|------⌫|
Genur e setparler enta	-----⌫-⌫|-|------⌫--||
Ge ne uoi s etdise ntleurc hou qui l	--⌫--⌫---⌫|-|----⌫-|---|-⌫--|-|-⌫|
quer oientetli	----⌫----|-|-|
Geneuoisdi se ntqu iln el eur	-------|--⌫--⌫-|-|-|-⌫|-⌫--|
enp o rroientn ie ntaidier	-|-⌫-⌫------|-⌫--⌫-|-----|
Il senalerentapr és	-||-|------|---⌫--|
Piseetparl er en ta chiax	---|-|----⌫--⌫--⌫||----|
Piseetilleu rresp ondirentquil	---|-|-|---⌫|----⌫-------|-|-|
naroie nt mietantdeuaissaus et qui lne	|-----⌫-|--|---|-|-------|-|-|-⌫|-|
porro ientn ient faire	-----⌫---|-⌫---|----|
Apréssi s ena lerent en	-----|-||-|-⌫-----|-|
ue nice siparlerentauduc de	--⌫---|-|--------|-|--|-|
ueniceetd isentch e qu	-----|-|-⌫----|--⌫|-|
il e sto ie nt q uis	-|-⌫---⌫--⌫-|-⌫--|
que ilqueroientp assage a	--|-|--------|-⌫-----||
l iwe ra.iiii. m.cheualiers et	-⌫---⌫||------⌫-|---------|-|
leursharnaset a.c. m. hommesapié	----|-----|-||---⌫-|-----||---|
Quantli duxoï chesidist qu	----|-|--|--|--|-|---|-|
il senconseille r oitquedesi	-||-|---------⌫-⌫--|--|-|-|
grantafair esedeuoit on	----|-----⌫|-|-----|-|
b i enconsei llier	-⌫-⌫-|------⌫----|
Adontsimand a lidux	----|-|----⌫|-|--|
tous le s hausconsausde le	---|--⌫|---|------|-|-|
uile etparlaa ausetleurmonstra	---|-|----||--|-|---|------|
chouqueonliauoitrequis	---|--|-|-|----|-----|
furent bi enc o nseill iésires pon diliduxas	-----|--⌫-|-⌫-⌫------⌫--|-|---⌫---⌫-|-|--|-|
messagese tleurdist	-------|-⌫|---|---|
Seign eur nous	-----⌫--|---|
feronsuo lentiers markié a uous siuoustroueronsassés	-----|--⌫-------|------||---|-|---|--------|-----|
nauie pour.c.m. mars seuous uolés	----|---|----|---|-|---|-----|
par t elconuenantquegira i	--|-⌫-|--------|--||---⌫|
le moiti équiarmes porrontporte r	-|-----⌫-|--|----|------|-----⌫|
uinice et parsi que n ous	-----|-|--|-|--|-⌫--|
aion slemotiéde t oteslesconquestesque ony	----⌫|-|-----|-|-⌫---|--|---------|--|-||
c onquerrae ts iuous mesrons chinquante	-⌫-------|-⌫|-⌫|---|------|---------|
gal iesanocoustetd e	---⌫--||-|----|-|-⌫|
chu iou rquenousnommeronsenun	--|---⌫|--|---|--------|-|-|
annousu ousmesrons enquele ter e	-|---|-⌫--|------|-|----|---⌫|
q ueuousuaurrésueuillés	-⌫-|---|-------|--------|
Babyloineueulli ésen	--------|------⌫--|-|
Alex an d re	----⌫--⌫-⌫-|
Qua ntli messageo i ̈rent	---⌫-|-|------|-⌫-⌫----|
chousi r espondirentquecheseroittrop	---|-|-⌫----------|--|--|-----|---|
mar s ettantp arlerentensa nl eq u il	---⌫|-|---|-⌫-------|----⌫--⌫|-⌫|-|
fi sentm a rkiépar.lxxx.m.mars et . uii. sique li	--⌫---|-⌫-⌫----|--|-------|---|-|-⌫---|-|--|-|
ue n i cie netlimes sage	--⌫-⌫-⌫---⌫|-|-|---⌫---|
iur erent atenir chumarkié	---⌫----||----|--|------|
Aprés distliduxquiluoloitauoir. xx u.m.ma rs	-----|---|-|--|-|-|-----|----|-⌫--⌫---|--⌫-|
deresacommenchierlenauieetli	|---||----------|-|----|-|-|
mes sagere spondirentqu il enuoi as tmessag esaueca usen	---⌫---|--⌫---------|-|-|-----⌫--⌫|------⌫-|---|-⌫-|-|
Franc heet illeur feroientuolent iers paierles.xxu.m.	-----⌫-|-|-|---|-------|------⌫---|----|--|------|
messageprisent congiési senreui nr ent etli dux	------|------|------|-||-|----⌫--⌫--|-|-|--|
enuoia auec	-----|---|
hauthommede	---|----|-|
uenicepour recheuoirlesheres	-----|---|--------|--|----|
Apréssifistlid uxcriersenbanp artote	-----|-|---|-|-⌫-|----|--|--|-⌫-|---|
uenicequenus	-----|--|--|
ueni cien s nefust sihardis	----⌫----⌫|-|---|-|-----|
qu il al a st	-|-|--⌫-⌫-|
ennulemarkaandiseainsaidaisse ntto uta	-|---|----------|---|--------⌫-|--⌫-||
fairelenauieet il sifisent	----|-|----|-|-|-|-----|
Sicommen chier e ntleplu s	-|------⌫-----⌫-⌫-|-|---⌫|
rikenauieq ueonquesfustu eue	---|----|-⌫-|-----|---|-⌫--|
Qua ntlimessageuin r ent	---⌫-|-|------|---⌫-⌫--|
Franchesifisent	------|-|-----|
sauoir quiles toientuen u	-----|-|-|--⌫-----|---⌫|
Puissi manda ontousles	---|-|----|-|---|--|
baronscroisiésquiluenissen t	-----|--------|-|-|--------⌫|
Etquant ily	-|----|-||
f urentuenutoutensanlesi dis ent	-⌫----|---|---|------|-|---⌫--|
limessagechouqu	-|------|---|-|
ila uoienttro uu é	-|-⌫-----|---⌫--⌫-|
baro n loïrent sienfurent mo lt	----⌫||------|-|-|-----|--⌫-|
liéetmoltloerentcho uqu ilauoient fai tet	---|-|---|------|---⌫|-|-|------|---⌫|-|
f isentmo lt honne ur	-⌫----|--⌫-|-----⌫-|
asmessagesle	-|-------|-|
ueniceetsi leur	-----|-|-|---|
baill aon desdeniersle contede	-----⌫|-|--|------|-|----|-|
Champaing nee t d es denier s q ue	---------⌫-|-⌫|-⌫-|------⌫|-⌫-|
Foukes auoit	-----|----|
pourch achiéset siimistliquensde	------⌫------|-|-||---|-|----|-|
Fla ndres desesdeniers tant quil	---⌫----|-|--|------|---|-|-|
eni e ut.xxu .m.	-||-⌫-|----⌫--|
Sil esballa onau	-|-⌫-|----|-|-|
messageleducde	------|-|--|-|
uenicee ts ibailla on b oinconduita	-----|-⌫|-⌫|-----|-|-⌫--|------||
aleraueclu i dusque sen	---|---|--⌫|------⌫|-|
P uisman da ont ousle scro isiés partoutes les	-⌫--|---⌫-|-|-⌫--|--⌫|---⌫-----|--|-----|--|
te resquilmeus s ent	--⌫--|-|-|----⌫-⌫--|
Pa squetoutaa ler en	--⌫---|---||-⌫--|-|
ue nice e ntre le	--⌫---|-⌫---|-|
Pen tecouste etl	---⌫-------|-||
aoustsan s	----|---⌫|
nu lef ail leetil sif isent	--⌫-|-⌫---⌫-|-|-|-|-⌫----|
Pa squefu pas seesiy	--⌫---|-|---⌫--|-||
uinrenttresto ut	------|------⌫-|
As sés yeutperes e tmeres se reurs	--⌫---||--|----|-⌫|----|--⌫----|
etf reresfemmeset enfansqui	-|-⌫----|-----|-|-----|--|
grantdu el fisent deleuramis	----|--⌫-|-----|-|---|---|
Quantlipelerin furen tt otasanlé en	----|-|------|-----⌫|-⌫-|------|-|
ueniceetiluirrent le rikenauie quifai teesto it	-----|-|-|------|-|---|----|--|---⌫-|----⌫-|
n es lesgrans	-⌫-|--|----|
dromo ns etles	-----⌫-|-|--|
uissiers amenerlescheuaxetlesgalies	-------||----|--|-----|-|--|-----|
sisenmerueill ierentmoltet	-||-|--------⌫-----|---|-|
delegrantriqueche que iltrouerentenleu il e	-|-|----|-------|--|-|--------|-|-|-⌫--⌫|
u irrent qu il	-⌫-----|-|-|
pooi ent mietout	----⌫--|--|---|
herbegierenleu i lesise consell i erententr	--------|-|-|-⌫-⌫-|-|-|-------⌫-⌫----|---|
au squ ils	--⌫|-|-||
iroientlog i eren l is le	------|---⌫-⌫-|-||--⌫-|
Nicho laiq uitote	-----⌫--|-⌫-|---|
estoitenclosede m erqui estoitaunel iwede	-----|------|-|-⌫-|--|-----||--|-⌫--|-|
La s en ale rent	-||-|---⌫---|
lipele rinetdrechierentleurtentes et	-|----⌫--|-|----------|---|-----|-|
se log ierent au miexquil peuren t	-|---⌫-----|-|---|-|-|------⌫|
Quant li duxde	----|-|--|-|
ueniceuitque	-----|--|--|
to tlipelerinfurentuenu sima nd atous chiaus	--⌫|-|------|-----|---|-|--⌫--⌫|---|-----|
de seterre de	-|-|----|-|
Etqu antilfurent	-|--⌫--|-|-----|
to ut uenusikema nda liduxque lemotiéd	--⌫-|---|-|----⌫--|-|--|--|-|-----||
aus satornaissen tet	--||-----------⌫|-|
apar ellaissent aal er	----⌫---------||--⌫-|
enlestoire	-||------|
uenici enoi ̈ren t chousisesioii rent li unliautre	------⌫-|--⌫----⌫|---|-||------⌫---|-|-|-|----|
di sentquil ni	--⌫---|-|-|||
pooient ale rnenese	------|---⌫|-|-|-|
pooie ntacorder ensanlecommentle m oitiédausypeu st	-----⌫-|------|------|------|-|-⌫-----||--||---⌫-|
Et tantqu il fis entun sort queilfaisoient	-|---|-|-|---⌫--|-|---|--|-|--------|
doietd oiensanl edeusno iaus dechire	--|-|-⌫-|------⌫|---|--⌫---|-|----|
