nepuetue nirtroptart aoeure	-|---|--⌫--|---|---||----|
grant f estefirentcelenuit	----|-⌫---|-----|---|---|
mesc ele outantotde	--|-⌫--|-|---|-|-|
deg euet de	-|-⌫-|-|-|
senalapar mi la	|-|--|---⌫-|-|
ne samblapas	-|-----|--|
estrerec luse	----|---⌫---|
re garde par	--⌫----|--|
tout m use	---|-⌫--|
porc onnoist reliquelsont fol	--|-⌫-------⌫-|-|---|---|--|
n elicouien t sone tea	-⌫|-|------⌫|----⌫-||
bi e n fistsamb lantque leestoitf ole	--⌫-⌫|---|----⌫---|-|-⌫-|-----|-⌫--|
quepar samblantquepa rparole	--|--|-------|--|--⌫|-----|
quar son abitetsa samblance	---|--|---|-|-|--------|
demoustroient saconnoi ss ance	------------|-|------⌫--⌫---|
s eleotf etm al	|--|-|-⌫-|-⌫-|
deuantassez	-----|----|
sonmes fe tne	--|---⌫--⌫|-|
fupasp asse z	-|--|-⌫----⌫|
pisf is tqu ede uant fet	--|-⌫--⌫|--⌫|--⌫---|--|
fist quelesauo it	---|-|--|----⌫-|
a legl ise	||---⌫--|
saloitmoust rer	|----|-----⌫--|
por le s iou en cia usencontr er	--|--⌫|---⌫--⌫---⌫-|-------⌫-|
etlessiuo it iusqu a	-|--|----⌫-|----||
an emislaporte	--⌫---|-|----|
liior s uintde l ac en ssion	-|---⌫|---|-||--⌫--⌫----|
lagenta grant	-|---||----|
porcessi on	--------⌫-|
aloitaorerla croizsainte	----|----|-|----|-----|
qui dusancihesucrist	--|-|---|----|----|
c elepen ss a	-⌫--|---⌫--⌫|
en soncora ge	-|--|----⌫-|
cel i o r leroit son la borage	--|-⌫-⌫|-----|--|--⌫-----|
etporcelu isaintisme	-|--|----⌫|--------|
ser o itde pe chi er aseior	---⌫-⌫-|-|--⌫---⌫-||----|
uenuesen esten	----||-|--|-|
la press e	-|-----⌫|
l aouelefu plus	-⌫|-|--|-|---|
por alerlacroizaorer	--|---|-|----|----|
quen iuoloitpl us demorer	--|||-----|--⌫-|------|
uenueen est	----|-|--|
iusqu a leglise	----|||-----|
ele n epot e nnule guise	--|-⌫|--|-⌫|---|----|
m et re le pie so r le degre	-⌫--⌫-|-|--|--⌫|-|----|
mestout aus si comdeso ngre	--|---|---⌫-|--|-|--⌫|--|
e t uo l entiersuenistarrie re	-⌫|--⌫-⌫------|-----|-----⌫-|
setroua alagentpremiere	-|----||-|---|-------|
r esmu et et uie ntauant	-⌫----⌫-|-|---⌫-|----|
m es ne ua lutneque deuant	-⌫-|-|--⌫--|-|--|-----|
ladameuo it	-|---|--⌫-|
bienetentent	---|-|-----|
est noientaq uele	--|-----||-⌫|--|
compl us dentrer leenzsengre s se	--|--⌫-||-----|----||-----⌫-⌫-|
etpluslarec ulelapresse	-|---|-|---⌫--|-|-----|
ordist l a da measoimeism e	-|---|-⌫|--⌫-||--|-----⌫|
la s semoi c ompetitd ai sme	--⌫-⌫-|--|-⌫-|----|-⌫--⌫--|
com f o ltreu co m fie r p aiage	--|-⌫-⌫|---|--⌫|---⌫|-⌫----|
air en dudieudemon	-|-⌫--⌫-|---|-|--|
onquesnul iordieuneser ui	-----|--|--|---|-|---⌫-|
aincoisa ilecorsass er ui	------|-⌫|-|---|---⌫--⌫-|
apechier por l ameconfondre	|------|--||--|--------|
terredeu roitdes ouz mo ifondre	----|---⌫---|---⌫--|--⌫|-----|
biaus dou zdiexbienuoipartessignes	----|---⌫|---|---|--|--|--|-----|
q uelim i ens corsnest passidignes	-⌫-|-|-⌫-⌫--|---||--|--|-|-----|
q uei lentree ns idigne	-⌫-|-⌫|----|-⌫|-⌫|----|
pec hie qui	---⌫--|--|
si me nlace	-||-⌫----|
hadiexsire du firm ament	-|---|---|-|----⌫----|
ertau ior duiugement	--|-|--|-|-------|
q uetuiug erasmorset	-⌫-|-|---⌫---|---|-|
par m on cors quiestors et uils	--|-⌫-|---|--|--|--|-|---|
seraenenferm	---|-|----||
monpech ie	--|----⌫-|
mert e lfrontescriz	|--|-⌫|----|-----|
comme ntpuetcesser	-----⌫-|---|-----|
brais nec r is	----|-|-⌫-⌫-|
comme nt puetcesser plorsnelermes	-----⌫-|---|-----|----|-|-----|
lasseia estpetizli termes	----|-|--|----|-|-----|
li iustesnoseramotdire	-|-----||----|--|---|
et ci lqui	-|--⌫|--|
aduol tire	-----⌫---|
quelpar tse	---|---⌫|-|
porrailre pondre	----|-|--⌫-----|
qu a dieune	-||---|-|
respon dre	------⌫--|
ain sisecom plaint et demente	---⌫-|-|---⌫-----|-|------|
etse cla imm elassedolen te	-|-|---⌫---⌫|----|-----⌫-|
l assefeteleque ferai	-⌫---|--|--|--|----|
las semoicommentoserai	---⌫-|--|------|-----|
mercicrier aur oideg loire	----|----|-|-⌫-|-|-⌫----|
qui tantai misle corsen foire	--|---|-|--|-|---|-|----|
mesp orceque	--|-⌫-|-|--|
die x ui nten terre	---⌫|--⌫-|-|----|
por lesiust esquerre	--|--|----⌫-|-----|
mesporpe cheorsapeler	--|--|--⌫-----|-----|
monmesfetnelidoi cel er	--|-----|-|-|--|---⌫-|
lor sgarde	---⌫|----|
uneymagepa rgr a ntdeuise	--|----|--⌫|--⌫-⌫-|-----|
en lonorde	-||---|-|
lad am e fete	-|-⌫--⌫|---|
p arquitene bro rfudesf ete	-⌫-|--|----⌫---⌫|-|----⌫--|
cefulagl orieusedame	-|-|-|--⌫------|---|
a donc semistla	-⌫---|-|---|-|
b onefa me	-⌫--|--⌫-|
genouz eta nuzcoutes	-----|-||--|-----|
le pauement moille d egoutes	-|-------|-----|-⌫|-----|
quide sie x li	--|--⌫|--⌫|-|
chieent aual	------|---|
moillenttoutcontreu al	-------|---|-------⌫-|
le uiset lafaceu ermeil le	-|--|-|-|---|-⌫------⌫-|
ausiracontesa meru eille	---|------|-|----⌫----|
pe chieaceley m age	--⌫---||---|-⌫-⌫--|
comme auns aintpreudommesage	----||-|-⌫---|--------|---|
enplorantd istuirge	-|------|-⌫--|----|
qui de dieufusmereetancele	--|-|---|--|---|-|-----|
quiportastonfi l	--|-----|--|--⌫|
ettufu ssa filleets amere	-|-|--⌫|-|----|-|-⌫|---|
setaporteurene	-|-|-------|-|
quifum i se	--|-|-⌫-⌫-|
en la croiz	-|-|----|
enenf erfussons	-|---⌫-|------|
cieustpereilleuse	-|---|----------|
po rt ondouzs alu	--⌫|-⌫-|---|-⌫--|
nousa geté	---||----|
de nfer qu i	|-⌫---|--⌫|
est uils et obscure	--|---|-|------|
uir gepucele nete etpu re	---⌫-|-----|---|-|--⌫-|
sicomla roseistdel espine	-|--|-|---|--|-||-----|
is sisglorieuseroine	--⌫--|--------|----|
deiue ri equestpoingnan z	-|---⌫--⌫|-|--|--------⌫|
es souef etoi ngnanz	-|----|-|--⌫-----|
tu esros eettonf ils fruis	-|-|---⌫|-|--|-⌫--|----|
en ferfupar t on fr uitdestruis	--⌫--|-|--|-⌫-|--⌫--|-------|
da met uamas to na mi	--⌫-|-⌫|---|--⌫|-⌫-|
etiaiamémon anemi	-||-|---|--|----|
ch a steeamasetieluxure	--⌫-⌫---|---|-|-|-----|
b iensons dedi uersenatu re	-⌫--|---|-|--⌫----|----⌫-|
ieet tuqui auonsunno n	-|-|-|--|----|-|--⌫|
letienestdesi douz	-|---|--|-|-|---|
quenus n elotnesided uie	--|--|-⌫||-|-|||---⌫--|
limiensest p lusamers q uesuie	-|----|--|-⌫--|----|-⌫-|---|
nos tresirestonco rsa ma	---⌫--|----|--|--⌫-|-⌫-|
bieni pertquecors	---||---|--|---|
soi en s onhabit acle	--|-|-⌫-|-----⌫---|
afetm aintbiau miracle	|--|-⌫---|---|------|
portoi honoreil tou tefame	--|--|-----|-|---⌫-|---|
portoia i lsauué m a intea me	--|--||-⌫|-----|-⌫-⌫---|-⌫-|
porto i po rtiereetpor to i	--|--⌫|--⌫-----|-|--|--⌫|
por toi bris ad enfer la	--|--|----⌫||----|-|
p ort o i etp ort umilite	-⌫-|-⌫-⌫|-|-⌫-||------|
porto ip ortabenignite	--|--⌫|-⌫-|-|--------|
sefistserianz	-|---|------|
qu i sires iere	--⌫|----|---|
p or t oiest oile etl umiere	-⌫-|-⌫-|---⌫---|-|-⌫-----|
acelsquison ten tozpe rilz	|---|--|---⌫|-|--|--⌫---|
daignali tiensg loriexfilz	-----|-|----|-⌫-----|---|
anous fereceste bonte	|---|---|----|----|
e t plusassezq ue	-⌫|---|----|-⌫-|
naicon té	|-|---⌫--|
quantceotfet	----|-|-|--|
liroisdumonde	-|---|-|----|
parquitozbie ns habonde	--|--|--|---⌫-|------|
monta esciex auoecsonpere	----|-|---|----|--|---|
dameortepr iquea	---|-|-|--⌫|--||
cequil a pecheorspr omist	-|-|-||-------|--⌫----|
quan tlesaintespir lor t ramist	----⌫|-|----|----|--|-⌫-----|
ildistque iaden ulpechie	-|---|--|-|-|-⌫-|-----|
dontpechierres fu st entechié	---|---------|--⌫-|--------|
puisquedece s erepentist	------|-|-|-⌫|--------|
etd olor aucuerensentist	-|-⌫---|-|---|-|------|
lesreco rderoitpuis	--|----⌫------|---|
dameie qui suimi se elpuis	---|-|--|--|--⌫-|-|---|
par ma grantmesprison	--|-|----|--------|
g etez moi de ceste prison	-⌫---|--|-|----|-----|
souiegneuou sde cestelasse	-------|---⌫|-|----|----|
qui de pec hier	--|-|---⌫---|
tou tea utrepass e	---⌫-|-⌫---|----⌫|
quantu ous le zuostrefil serez	----|-⌫--|--⌫|-----|--|----|
queuou s toutegentiugerez	--|---⌫|----|---|------|
n euoussouie gne dem es	-⌫|---|-----⌫--|-|-⌫-|
nedesgranzpe c hiez	-|--|----|--⌫-⌫---|
messi co muouslepoez fe re	--|-|--⌫|---|-|---|--⌫-|
pr enez encure mon	--⌫---|-|---|--|
quesa nzuous	--|--⌫-|---|
fortberele	---|-----|
ai perdumaquerel e	-|----|-|------⌫|
sicomcestuoi rsetie	-|--||--|---⌫-|-|-|
etpar espoir e tpare ssai	-|--|-----|-⌫|--|-⌫---|
sia iezuousdemoimerci	-|-⌫--|---|-|--|----|
le cue rpa le etnoirci	-|---⌫|--⌫-|-|-----|
demespec hiezdont	-|--|---⌫---|---|
nesa inombre	-|--⌫|-----|
set adouceurnemen	-|-⌫|------|-||-|
de scombre	--⌫------|
ad oncs est	--⌫--||--|
le uee m a rie	--⌫--|-⌫-⌫--|
pre slisa mbleque	---⌫|-|--⌫---|--|
sialalacroiz aorer	-|--|-|----|----|
que tozlimonsdoit	--|--|-|---|---|
qu antotoile	--⌫--|-|-|-|
dieuseruise	---|------|
sis estpartie d el eglise	-||--|-----|-⌫||-----|
deuantl y mageestreuen ue	-----||-⌫---|--|-----⌫-|
d erechief dist	-⌫-------|---|
sa couuenue	-|-------|
commentelesecontendra	------|--|-|--------|
si demandeque	-|------|--|
ne en quelleupo rraganchir	-|-|---|--|--⌫--|------|
mestiera d elamefranch ir	------||-⌫||--|------⌫-|
t r opaestéapechie	-⌫-⌫-||----||-----|
desorueutq ue l icor s de serue	--|-|---|-⌫-|-⌫|---⌫|--⌫----|
par quoi lamenait dampnement	--|---||--||--|---------|
quantcertauiorduiugement	----||--|-|--|-|-------|
etdistdame	-|---|---|
enpleges uousm et	-|-----|---|-⌫-|
ets iuou sc reant e tpromet	-|-⌫|---⌫|-⌫----|-⌫|-----|
iames enp echie nencharra i	----|-|-⌫----||--------⌫|
entrezii euous engarrai	-----||-⌫|---|-|-----|
enseigniezque l pa rtie fuie	---------|---⌫|--⌫-|-|---|
lemonde quiputetanuie	-|----|--|--|-|----|
acelsquiuuel e ntch aste	|---|--|----⌫-⌫-|--⌫---|
u ne u oizoi	-⌫-|-⌫--|-|
quili distdeci	--|-|---|-|-|
a umoustiersaint	-⌫|-------|----|
ie haniras	--⌫--|---|
puis pass era s lefl uniorda in	---|----⌫---⌫|-|--⌫-|-----⌫-|
etenp enit ancetenioin	-|-|-⌫----⌫---||-----|
quauantsoies confessefete	-|----|----|-------|---|
decequadieut es	-|-|-||---||-|
quant tua urasl euepassee	----|-|-⌫---||--|-----|
unefores tespesse etlee	--|-----⌫|------|-|--|
delaleflue ue trouera s	---|-|----⌫-|-------⌫|
e nce l e f orestenterras	-⌫|--⌫-⌫|-⌫----|-------|
il uecfera sta penitance	--⌫--|----⌫|-|--------|
detes pech iezde t	-|--|----⌫--|-||
ingnoran ce	--------⌫-|
iluequesfenirasta uie	-------|------|-|--|
tantqu ess a inzciex	-----|-|-⌫-⌫--|---|
serasrauie	----|----|
quantlada me ot	----|-|--⌫-|-|
durement enfuesioie	-------|-|-|-----|
leua samai nsise	---|-|---⌫|-|-|
cefis tq uela uoiz enseigna	-|---⌫|-⌫-|-|---|-------|
qu adieuo tle	-||---|-⌫|-|
cuerenteri n	---|------⌫|
lorsencontra	---|-------|
unpe lerin	-|--⌫----|
t roismaaille s c e di stlestoir e	-⌫---|-------⌫|-⌫|--⌫-||------⌫|
lidonap or lero i degloire	-|---|-⌫-|-|--⌫|-|-----|
troispetizp ainsen	----|----|-⌫---|-|
dec elsuesqui plusnenporta	-|-⌫--|-----|---||------|
toute sasous tena nc e	----|-|----⌫----⌫--⌫|
tant comme	---|----|
elfuen p enitance	-|-|-|-⌫-------|
au flun ior dain enu int m arie	-|---|---⌫---|-|-⌫--|-⌫---|
la n uit iprist herbrege rie	-|-⌫--||----|--------⌫--|
d umoustier saintiehanfu	-⌫|-------|----|----|-|
s or lariuedontdoitapr es	-⌫-|-|---|---|---|---⌫-|
passerlefl u na	-----|-|--⌫-⌫||
lendema in	|------⌫-|
menia lamoitie	----|-|-----|
d unsienp ain	|-|---|-⌫--|
deleuebutsaintefie e	-||--|--|---------⌫|
quantbeulot	----|--||-|
moulten fuliee	----|-|-|---|
de l eu ea	-||--⌫||
laueesateste	----|-|----|
mo ultenfis tgrantioie et	--⌫--|-|---⌫|----|---|-|
grantfeste	----|----|
lassesesent	----|-|---|
ettra uaillie	-|---⌫------|
notpoint decouche	|-|----|-|-----|
appareillie	----------|
linne o reillier	--|-|-⌫-------|
estu tsommeillie r	----⌫|----------⌫|
cen efugai res	-|-⌫|-|---⌫--|
notpas toz iorz g euen aires	|-|--|--|---|-⌫-|-|----|
parmati nladamesel ieue	--|----⌫|-|---|-|-⌫---|
aumoustier uientet neligrieue	-|-------|----|-|-|-|-----|
larecutle cors ihesu crist	-|----|-|---|----|----|
sico mnoust rouo nsenescrit	-|--⌫|---|-⌫----⌫-|-|-----|
quant el eot receule cors	----|--⌫|-|----|-|---|
ce lui quide nfernous	--⌫--|--||-⌫---|---|
l ors separtdeiher usalam	-⌫--|-|---|-|----⌫-----|
enentra enunchalan	-|----|-|-|-----|
le flunpassa el bois	-|---|----|-|---|
souentdecele li souuint	-----|-|---|-|------|
que ele auoit	--|--|----|
aleglise de uant l ym age	||-----|--⌫---||--⌫--|
souentpr ie quellagariss e	-----|--⌫-|-|-|-|------⌫|
te mp temen tneguer pisse	--⌫--⌫-----⌫|-|----⌫----|
cesteuieiu squalamort	----|--|--⌫--||-|---|
qua rlautrel a me	---⌫||----||-⌫-|
elecorsm or t	|-|---|-⌫--⌫|
orna quedeus pai n setdemi	-|||--|---|---⌫-⌫|-|---|
mestierestdieu aita ami	------|--|---|--||--|
decel sne uiu raelemie	-|---⌫|-|---⌫-|--|--|
sedi exnelifeta utreaie	-|--⌫-|-|-|--|-⌫---|--|
parmile boissen uala dame	----|-|---||-|-|-|---|
amis soncorset sam e	|--|--|---|-||--⌫|
touteior ua toute	----|--|-|----|
t antq uelanuit	-⌫----⌫-|-|---|
ue ni rcouient	--⌫--⌫|------|
e nlieudebiauspalais de	-⌫|---|-|----|-----|-|
couchiedesouz	------|-----|
u n a rbre	-⌫|-⌫---|
unpetitmeniadesonpain	-|----|----|-|--|---|
p uissendormiiu sq u	-⌫--||------|--⌫--⌫|
l endemainau cheminse me t	|-------|-|-----|-|--⌫|
etduche mine r s	-|-|---⌫----⌫||
uersoriantla dr oite uo ie	---|-----|-|--⌫---|--⌫-|
tantch emina	---|--⌫----|
queuousdiroie	--|---|-----|
tou tedeuintel boissauuage	---⌫-|-----|-|---|------|
souentreclaimesonostage	-----|-------|--|-----|
quel eotdeuant lymage	-|--⌫|-|-----||----|
mestier est	------|--|
l adamef u en	-⌫|---|-⌫|-|
mesquedenuitne prentares t	-----|-|---|-|----|----⌫|
sarobe derontet	-|---|-----|-|
chascunsrainsemporteun e	-------|----|------|--⌫|
q uartan tot e n	-⌫--|---⌫|-|-⌫|
son dos esté	--|--|----|
et pa r yuer etpareste	-|--⌫|---|-|--|---|
deplu iedechaut etde ua nt	-|---⌫-|-|----|-|-|--⌫-|
toutee stderoute pardeuant	----|-⌫-|------|--|-----|
nire m estm escous tureentiere	||--⌫-⌫--|-⌫-|----⌫---|------|
ne par deuantne par derr iere	-|--|-----|-|--|----⌫---|
si cheueil	-|------|
sont parsesepaules	---|--|--|------|
lors n ottalentdemenerbaul es	---||-|-----|-|----|----⌫-|
apeinedeistc e	|----|----|-⌫|
qui l eust	--||---|
ueuda mo isele	--|--⌫--⌫----|
quarne paroite nlinulsigne	---|-|-----|-⌫|-|--|----|
char otnoirecom piedec igne	---|-|----|--|--|-|-⌫---|
sapoitrine	-|-------|
deu int mossue	---⌫--|-----|
tant fudepl uiedebatue	---|-|-|--⌫--|------|
lesbrazleslonsdois etlesmains	--|---|--|---|---|-|--|----|
a uoit plus	-⌫---|---|
n oirset cert du mai ns	-⌫---|-||--|-|---⌫-|
quenestoit	--||-----|
pois nearreme nz	---|-|------⌫-|
sesongle srooingno itaus	--|-----⌫|--------⌫-|--|
nesamb leq uele	-|----⌫-|-⌫|--|
aitpoint de uentre	--|----|-|-----|
po rcequeuian de nien tr e	--⌫|-|--|----⌫-|||--⌫--⌫|
lespiezauoit creuezde sus	--|---|----|-----|--⌫--|
desous n aure z quenepo tplus	-----|-⌫----⌫|--|-|--⌫|---|
quantuneespinelapoingn oit	----|--|-----|-|------⌫--|
