#MET A#T e xt URI	----⌫-|-⌫-⌫--⌫--|
#M ETA #DEAFhtt p//ww w.d e a f-page.d e/bibl /b ib99m.php# Meraugis F	--⌫---⌫|---|---⌫-----⌫---⌫-⌫-⌫--------⌫------⌫--⌫----------⌫--------⌫|
#META#ARLIMAhttps// www.arl ima.net/qt/raoul_de_houd enc .h tmll#mer	-----|-----|-------⌫-------⌫------------------------⌫---⌫--⌫-------|
#META#Auth orRaoul	-----|----⌫-|----|
de Houdenc	-|------|
Plu ssorque pen esdoriuel	---⌫|--|--|---⌫-||-----|
Lefrontothaut cler etbienfet	-|----|-|---|---|-|---|--|
Etsinef ure ntpoint mesfet	-|-|-|-⌫---⌫-|----|-----|
Lisorcil quiestoient brun	-|-----|--|-------|---|
Ainz esto ient si	---|----⌫---|-|
bel chascun	--|------|
Comsilfu ssentde	--||-|--⌫----|-|
mai nportret	---⌫|------|
Si es toientcontremonttret	-|--⌫-----|---------|---|
Pa r resonetlarget en tr u e il.	--⌫|----|-|-----|--⌫--⌫-⌫-⌫--|
seiement irn enuueil	-|-|----⌫-||-|----|
F urentde siso til es gart	-⌫----|-|-|--⌫--|--⌫---|
Quela moredesonr egart	--|-|---|-|--|-⌫----|
Passastbie nparmi.u.escuz	------|---⌫|----|--|----|
Etrendistmatez e tuaincuz	-|------|----|-⌫|------|
Lecuer quifust	-|---|--|---|
de denzle uentre.	--⌫---|-|------|
Dourega rtd oeil	--|----⌫-||---|
qu ieinsi entre	--⌫|----|----|
uosd i qu il	--|-⌫|-|-|
senfet bonga rder	|-|--|--|--⌫---|
peüstesgarder	-----|-------|
Quinefust alu me zdeli.	--|-|---|---⌫--⌫|-|--|
Por c equet antloerloï	--|-⌫|--|-⌫--|---||--|
uueilraco n teru n e m erueill e	----|----⌫-⌫--|-⌫-⌫|-⌫-------⌫|
Eleotplus fresc heet	--|-|---|-----⌫-|-|
plus uermeille	---|--------|
La faceque rosedepre ́	-|---|--|---|-|---⌫|
beausenseta tre mpé	---|---|-|-⌫---⌫---|
Qu ic o mpassa tel c rea ture.	--⌫|-⌫-⌫-----|--|-⌫---⌫----|
Sigrantlar gece	-|----|---⌫---|
i mist nature	|---|-----|
Quo nq uesgre ignorne fista	-|-⌫--⌫--|---⌫----|-|---||
Eleotle nes tre tizetd roit	--|-|-|--|---⌫--|-|-⌫---|
Etbelebocheet cleres d enz	-|---|----|-|-----|-⌫--|
Qu antlalangu eparloit dedenz	--⌫--|-|-----⌫|------|-----|
L identr esembloi ent	-⌫|---|-⌫--------⌫--|
Etpormi euz deçoiurelagent	-|--|--⌫--|--------|-|---|
Otune g orge espe r ital	-|--|-⌫---|----⌫-⌫---|
Plu s blan chequenoif ne cr is tal	---⌫|----⌫--|--|---|-|--⌫--⌫--|
ot loncetblancetdroit.	-|---|-|----|-|-----|
Seielaueoie	-|-|-|----|
A pertementdeuan t mesieuz	-⌫--------|-----⌫|--|---|
p or r o iemiemieuz	-⌫--⌫-⌫-⌫-|--|----|
Labea utéde li	-|---⌫---|-|-|
Nusnelapeüstauiser	--|-|-|-----|-----|
Desesieuzq u itan tlauisast	-|--|---|-⌫-⌫|---⌫||------|
Que ia mesm ieuz la deuisast	--|-|--|-⌫---|-|-------|
Forsmoitotso l qui la deui s.	---|--|--|--⌫|--|-|----⌫-|
Sele fub ien	|--|-|-⌫--|
f etedeuis	-⌫--|-|--|
Etpl esanza	-|--⌫----||
totela gent	---|-|---|
S i otelelecors pl usgent	-⌫|-|--|-|---|--⌫-|---|
Lorete de Breb raz.	-----|-|----⌫---|
Beles es p aules et be aus braz	----|--⌫-⌫----|-|--⌫--|---|
Otlapucele	-|-|-----|
etbelesma i ns	-|----|--⌫-⌫-|
Q uinecoroientpasdou	-⌫-|-|-------|--|--|
Pordoner quantlieusenestoit.	--|----|----|----|-|------|
Ladamoise lequi estoit	-|-------⌫-|--|-----|
Si plainede totesbon tez	-|-----|-|----|---⌫--|
Q u iunefo izfust ac o lez	-⌫-⌫|--|--⌫-|---|--⌫-⌫--|
Desesb razquit antere ntblanc	-|--|-⌫--|--|-⌫--|---⌫-|----|
eüst lagoteelfl anc.	----|-|---|-|--⌫---|
S enladamoiseleotb eauté	|-|-|--------|-|-⌫-----|
P lusio t sen s	-⌫--||-⌫|---⌫|
et plus bonté	-|---|-----|
Qu elefu d ou totsi cortois e	-|--|-|-⌫-|--|-|-------⌫|
Que nuiron lia unetoise	-|-⌫-----|-||--|----|
Nauoit se cortoisi enon.	|----|-|--------⌫|---|
Puc elee stoitdegran t	---⌫--|-⌫----|-|----⌫|
Et escoledebienapren dre.	-|-----|-|---|-----⌫---|
En uironlipeüstl enprendre	--⌫----|-|-----||-|------|
honorsap lainpoing	-----||-⌫---|----|
Etl espucelesdem out	-|-⌫-|------|-|-⌫--|
De Cornoaill e	-|---------⌫|
etdEngleterre	-||---------|
Lauenoientpar nonrequerre	-|-------|--|--|-------|
Porueo iretoïrp arler.	--|---⌫-|-|---|-⌫-----|
Toz li m onzis oloitaler	--|-|-⌫--||-⌫----|---|
Asicortoispe lerina ge	|-|------|--⌫------⌫-|
Carlap uceleestoit si sage	--|-|-⌫----|-----|-|---|
Queiasicortoisn	--|-|-|------||
Quiplus cortoisnes enalast	--|---|------|-||-|----|
Sil uousist sesdiz	|-|------|--|--|
Ace l tenslasieutl	|--⌫|---|-|----||
Porlapl us	--|-|--⌫-|
ge ntild amoisele .	--⌫---|-⌫--------⌫|
Seleertgen tiz	|--|--|---⌫--|
etpreuzetbele	-|----|-|---|
Pa r mitot cefu el	--⌫-⌫-|--|-|-|-|
Carquide li ueoirse digne	--|--|-|-|----|-|----|
Ialeiornelimescheïst	-|-|--|-|-|---------|
chief nessi l cheï st	----|--||-⌫|-----⌫-|
D autresi haut com	|------|---|--|
unclochie r	-|-------⌫|
Ia porcenesteüs t	-|--|-||-------⌫|
cl o chier	--⌫-⌫----|
Puis quilleüst le ior	---|-|-||----|-|--|
Tozli m onzsauo itaueüe	--|-|-⌫--|----⌫-||----|
Queleauoits i grantdig neté.	-|--|----|-⌫|----|---⌫-----|
A la puceleenuer ité	|-|-----|-|---⌫---|
Auintques esperefum orz.	----|--|-⌫-|---|-|-⌫---|
C enelifumiedeporz	-⌫|-|-|-|--|-----|
Q u a po i que nesen	-⌫||--⌫|--|-||-|
quepointne sempira	--|----|-||-----|
Doubienouestoit se s pensez.	--|---|-|-----|--⌫|------|
Quantses perefutrespassez	----|--|---|-|---------|
Sit intlate rre	-|-⌫--|-|--⌫--|
et cefuuoi r s	-|-|-|---⌫-⌫|
pere nauoitplusdoirs	---||----|---||---|
Que li cuisa terre	--|-|--|-|----|
Et ieuosdi	-|-|--|-|
quillic heï	-|-|-|-⌫---|
Ei nsibie nde te nirs a terre	--⌫--|---⌫|-|--⌫--|-⌫|----|
Q uonquesne lasemonstdegu erre	-⌫|-----|-|-|------|-|--⌫---|
Necis t necestene	-|---⌫|-|----|-|
Einsitintterre s anzan ui.	----|---|----|-⌫--|--⌫--|
Quantelel ot	----|--||-|
.III.anztenue	----|--|----|
Elese fusimain tenue	--|-|-|-|----⌫----|
Quetozlimondesl	--|--|-|-----||
Ettant queses	-|---|--|--|
al astdeua ntLindesores	--⌫--|----⌫-|---------|
Oula damedeLandemores	-|-|---|-|---------|
Auo itfet.I.	---⌫-|--|--|
tornoi crïer	-----|-----|
Oueleferaescrïer	-|--|---|-------|
Mainte enseignee t	-----|-------|-⌫|
maintcopfe rir	----|--|--⌫--|
Cuilonor porraaueni r	--||---|----|-----⌫|
D e uaintrele	-⌫|------|-|
torn oieme nt	----⌫-----⌫-|
Sienporteraquitement	-|-|------|--------|
U nc isnequ ielpi n s era	-⌫|-⌫---|--⌫|-|--⌫|-⌫--|
Et si u os	-|-|-⌫-|
Lapucelede	-|-----|-|
La ndemore	--⌫------|
Quinestm ieledene more.	--||--|-⌫-|---|-|----|
Quantlicisne ssera donez	----|-|-----⌫|---|----|
Mainte nant ie rt.I.corsson ez	------⌫---|--⌫-|--|---|---⌫-|
Ala fon tai ne	|-|---⌫---⌫-|
Sus unelancedesap in	--|--|----|-|---⌫-|
Serauns esperuiersmuëz	---|--|---------|----|
Quii an ie rtpris ner emu ëz	--|-⌫||--⌫-|---|-|-⌫---⌫--|
Deua nt l aquecelelepreigne	----⌫-|-⌫|--|---|-|------|
Qu iparueüelo r	--⌫|--|----|--⌫|
Queleso itplusbele queto tes	-|--|--⌫-|---|---|--|--⌫--|
Selarobe ertpercieeascot es	-|-|---|--|------|-|---⌫-|
Por tantqu ecefustl aplusb ele	--|---|--⌫|-|---|-⌫|---|-⌫--|
au railia damoisele	--⌫-|-|-|--------|
Quiaitlesperuierse li non	--|--||--------|-|-|--|
Cari ls erad on ez parnon	--|-⌫|-⌫--|-⌫--⌫-|--|--|
q uiiertes leüe	-⌫-|---|--⌫----|
Destre la plusbelea	|----|-|---|---||
lorslitorn ois p r i s.	---|-|----⌫--|-⌫-⌫-⌫-|
Libachelerd amorespri s	-|-------||---|-----⌫|
Lamainentchasc unss	|-------|-----⌫--||
Litornoisn eremaindramie	-|------|-⌫|--------|--|
Quetuitlierra ntb ach eler	--|---|-|----⌫-|-⌫---⌫---|
DeLogresiuo udrontaler	-|-----||--⌫-----|---|
Autornoi porleprisconqu erre.	-|-----|--|-|---|-----⌫----|
EtLidoine siafetque rre	-|------|-||--|---⌫--|
Bienius qu a.XXX.	---|---⌫-||----|
dam oiseles	---⌫------|
Lesplusge ntiz etl esplusb eles	--|---|--⌫---|-|-⌫-|---|-⌫---|
Qu elp uisttroueren s aco ntree.	-|-|-⌫---|-----|-|-⌫|--⌫-----|
que cuide estre encontre e	--|----|----|--------⌫|
Le sfistrichement	--⌫|---|--------|
Nemistpas termeau	-|---|--|----|-|
Mesau mouoirlesfistuestir	--|-|-----|--|---|-----|
Desplusriche s pailesdeTir	--|---|-----⌫|-----|-|--|
Qu enpeüsttrouerporargent.	-|-|-----|-----|--|------|
Ladamoisele	-|--------|
fistsa gent	---|-|---|
E tt otesles dames monter	-⌫|-⌫---|--|----|-----|
Ne saipastozce us aconter	-|--|--|--|--⌫-|------|
Quileiorensar ote m urent	--|-|--|-|-|-⌫--|-⌫----|
Mestantcheu auch ent qu e le sfu r e nt	--|---|----⌫----⌫--|-|-⌫--⌫|--⌫-⌫-⌫-|
Es p laines deu antLindesores	-|-⌫-----|---⌫--|---------|
Etlito rnoiemen zf ulores	-|-|--⌫--------⌫|-⌫|----|
T oz prezcomed elasse mbler.	-⌫-|---|---|-⌫||----⌫-----|
El es comencentaa mbler	--⌫-|--------||-⌫----|
Siuirentpres d un	-|-----|---||-|
e s tandart	-⌫-⌫------|
.I.h irautquitenoitunda rt	--|-⌫----|--|-----|-|--⌫-|
Ensamain mout t renchant d	-|-|---|---|-⌫-------||
Sale cheriee rtde lancie r	-|--⌫-----|-⌫-|-|------⌫|
litornois a ssemblo i t	-|------|-⌫-------⌫-⌫|
Mesta nt es t o itlezquilsemble oit	--|--⌫-|--⌫-⌫-⌫-|--|-|-|------⌫--|
Q uil f ustou rez abesaguë	-⌫|-|-⌫--|--⌫--||-------|
auoit beslongeet ague ̈	----|-------|-|----⌫|
et totle corsmal	-|--|-|---|--|
Mes iaparm oi n iertplusretre t	--|-|--|-⌫-||---|---|-----⌫|
S es corsou D eus na uoit que fere	-⌫-|---|-|-⌫--||-⌫---|--|---|
porr oiedesfere	----⌫--|------|
La granthidorqueilauoit .	-|----|----|--|-|-----⌫|
Ilseregardearrier siuoit	-|-|------|-----|-|---|
Lesdames qui ui ndrentam b lant	--|----|--|--⌫-----|--⌫-⌫---|
Se s conut mes n en	--⌫|----|--||-|
f istsembla nt	-⌫--|------⌫-|
Qu illesueïstai nçoissenco r t	-|-|--|-----|--⌫-----||-|--⌫-⌫|
Aladame quitintlac ort	|-|---|--|---|-|-⌫--|
Quiestoit sorune bretesche.	--|-----|--|--|---------|
Namiefete longue tres che	||--|---|-----|----⌫--|
Dame fetilsanz	---|--|-|---|
contredi t	--------⌫|
Sachiez quelada me estuenue	------|--|-|--⌫-|--|----|
Acui lonorest auenu e	|--||---|--|-----⌫|
Delesperuierquitem ent prendre.	-||--------|------⌫--|-------|
I cefisteleuueilaprendre	-⌫-|---|--|----|-------|
Quiele est doncqui	--|--|--|---|--|
siestbe le.	-|--|--⌫--|
Damefe t ilcestlapucele	---|--⌫|-||--|-|-----|
Fil le le roi de Caualon.	---⌫-|-|--|-|-------|
DistladameDoneaualon	---|-|---|---|-----|
C ontreliius de	-⌫----|-|--|-|
l eschafaut.	|---------|
Lidoine sorcui	------|--|--|
riensnefaut	----|-|---|
Qui aboneoeuresoitconte e	--||---|----|---|-----⌫|
Asoz lescha fautencon tree	|--||-----⌫---|-----⌫---|
Lad amequiletorno itint	-|-⌫--|--|-|-----⌫|---|
Quilasaluaet retint	--|-|----|-|-----|
Etlidist Dame	-|-|---|---|
bie n ueig niez	---⌫|----⌫---|
prique u os	--|--|-⌫-|
C est ebretesc he qu iestci.	-⌫---⌫|-------⌫-|--⌫|--|--|
Damel a uostre grantme rci	---|-⌫|-----|----|--⌫--|
Lidoinequifusage	------|--|-|---|
Ieret ien guolo ntiersle st age	-|---⌫---⌫|----⌫-----||-⌫--⌫--|
P ar c ouen tqueuosiuendre z	-⌫-|-⌫----⌫|--|--||------⌫|
Sel retieng	--|------|
etuos le prendrez	-|--|-|-------|
C omunaumen t puisquilestnostr e.	-⌫---------⌫|---|-|-|--|-----⌫-|
Plo rentetuo n tcriant	---⌫---|-|--⌫-⌫|-----|
s a nzreuenir	-⌫-⌫-|------|
Etcelequisen ue tamblant	-|---|--||-|--⌫|------|
Escoute mesn en fet se mb lant	------|--||-|--|--⌫--⌫---|
Qued elordue ila	--|-⌫|--|---⌫-||
rienslisoit.	----|-|----|
Licheualier s de cequ il uoit	-|---------⌫|-|-|-|-|---|
Sesme rueille e tne set qu edire	|----⌫------|-⌫|-|--|--⌫|---|
Fors tantqui lditpar	---|---|-|-⌫|--|--|
moutgrant ire	---|----|--|
D eus tantm	-⌫--|---||
enpoiseCes tparmoi	-|----||--⌫|--|--|
Quecil di euses tn e iene u oi	--|--|--⌫--|--⌫|-⌫|-|-|-⌫-|
Parquo iien	--|---⌫||-|
puisseoï rnoue les.	-----|---⌫|----⌫---|
Ha fetila s. II . da moi seles	-|--|-|-⌫|-⌫--⌫|--⌫---⌫----|
Quir emainent dames	--|-⌫-------|----|
Ainçois quemeparte de ci	-------|--|-|----|-|-|
Ca rmeditesse uossauez	--⌫|-|----|-|--|----|
Dontc istdieus estqueuos auez	---|-⌫--|----|--|--|--|---|
Par siqueieuoscouenanz	--|-|--|-|--|-------|
Coment quelimeschiéssoit gran z	-----|--|-|--------|---|----⌫|
ielpuis se ame n der	--|----⌫-|---⌫-⌫--|
Queie nfe rais anzdemore r	--||-⌫|--⌫--|-⌫--|------⌫|
Tot monpooiroutreement	--|--|----|---------|
poisedur ement	----|---⌫----|
De uostredueil si nen	-|-----|----|-||-|
Etcel esresp ondent aprés	-|---⌫-|----⌫-----|-----|
D anzcheua liers ce stc hoseoutree	-⌫--|-----⌫----||-⌫-|-⌫---|-----|
Queiaparuosn	--|-|--|--||
i ert amen dee	-⌫--|----⌫--|
Nonporpo oi r	--|--|--⌫--⌫|
queuos a iiez.	--|--|-⌫----|
Mes ditant ne u os	--||----|-|-⌫-|
dame unpetit plore	---|-|----|----|
Pornosen coruendrau nehore	--|--|--⌫--|-----|-⌫-|---|
Qu ele plorramesc iertporuo s.	-|--|-----|--||---|--|--⌫-|
Li dieusqui or li muetpor	-|----|--|-|-|---|--|
L iatorn e raau tre ment	-⌫|-----⌫-⌫-|--⌫---⌫---|
aforscomencemen t	|---|----------⌫|
Deplorersiplo ronei nsi	-|-----|-|---⌫--|--⌫--|
Elepornosetnosporli.	--|--|--|-|--|--|--|
Li cheuali ers sestco rrociez	-|-------⌫--||--|--⌫------|
Etdit Orsu i ie m a neci e z	-|--|-|--⌫|-|-⌫-⌫----⌫-⌫|
cu inepor quoi.	--⌫|-|--|----|
H uimesn e me tendra iie coi	-⌫-|--|-⌫|-|------⌫|-|--|
Carcoardies emble roit.	--|------|-⌫-----⌫----|
q uiau f resnependoit	-⌫-|-|-⌫----|------|
Reprentasma ins selgiete loing	------|-|--⌫--|--|----|----|
Etdit Dames .I.donuosdoin g	-|--|----|--|--|--|----⌫|
gerraiceenza nuit	-----|----||---|
po istmes quauos	--⌫--|--|-||--|
folio 107 c	-----⌫---⌫|
Lors siuerrezquen au e nd ra	---|-|-----|-|-|--⌫-⌫--⌫-|
Sempresquant meshostesuend ra.	------|----|--|-----|----⌫--|
Et celesrespondent Beaussire	-|----|---------|----|---|
Pasneuos uolone scon d ire	--|-|--|----|-⌫----⌫-⌫--|
Lost el i te lcom noslauon.	|---⌫-|-⌫--⌫|--|--||----|
Sanzce iagréneuossauron	---|-|-|---|-|--|-----|
De l alernedou	-||---|-|--|
n e nuolon gré auoir.	|-⌫|----|---|-----|
Se m aus oubiensuo sen	-|-⌫--|-|----|--⌫|-|
Nedites pas	-|----|--|
N onferaiieien enquierplus	-⌫-|----|-|-||-|----|---|
Qu euostre gréLorsdescentius	--⌫|-----|---|---|------|--|
E tditCee n z estmesh osteus.	-⌫|--|---⌫-⌫|--|--|-⌫------|
Ci uerrai iequiserateus	-|-----|-|--|---|---|
Quile meuueille	--|-|-|------|
contredire	---------|
Auoif et Lidoinebeaus si re	---|-⌫-|------|----|--⌫-|
Teneznos pes-Sifaziedame.	----|--|--||-|--|-|----|
A ta nt s assie tet dit	|--⌫-||-----⌫|-|--|
C omentqueli iaainzaitnon	-⌫----|--|-|-----|--|--|
Ie nedemant	-|-|-----|
s eguerren on.	-⌫|-----|-⌫--|
El trefremestla	-|---|-----|-|
Li ch eualie rsmout lontse ru i	-|--⌫------⌫-|---||--|--⌫--⌫|
Les .I I. dam es	--|--⌫-|---⌫-|
alor pooir	|--|----|
De quanquelesporent	-|---|-|---|-----|
Lo norer entmes siauint	|-⌫-----⌫--|--|-|----|
Quonqueslanuit autrefne	-|-----|-|---|-|---|-|
Cheualiersnusde nulepart.	---------|--|-|---|----|
E tlorsquant la nuitse	-⌫|---|----|-|---|-|
Se puet Mer augis	-|---|---⌫----|
merueill ier.	--------⌫---|
Si fetil plusquilnef is thie r	-|--|-|---|-|-|-|-⌫--⌫|---⌫|
Et ditquantaut re fne	-|--|----|-|-⌫--⌫|-|
Que cinegueter ailp lus .	--|-|-|------⌫|-|-⌫---⌫|
uient simetla	----|||--|-|
Quant monteeo tladamoi sele	----|-----|-⌫|-|-----⌫---|
A sdamesuientetprent	-⌫|----|----|-|----|
Etd i tD amesor	-|-⌫-⌫|-⌫---|-|
nesai gié	-|--|---|
Qued ire q uantnusnerepe re	--|-⌫--|-⌫---|--|-|----⌫-|
A ce st tr ef.Ien	|--⌫-|--⌫--|-||
en pu is plu sfere	-|--⌫-|---⌫|---|
Ainzmenuois	---||-|---|
et sachiez deuoir	-|------|-|---|
Queuostresuia	--|-----|--||
Par tozleslieus ouie	--|--|--|----|-|-|
Mes encoreuosproieroie	--|-----|--|--------|
Quemedei ̈ssiez	--|-|---⌫-----|
Porquoi cistdi eusa ciesté	--|---|---|--⌫--||-|----|
Etquiestsire d e çaie nz.	-|--|--|---|-⌫|-----⌫--|
Celes resp ondentC est noienz	----|----⌫-----||--|-----|
Ia p lusne uos endiron	-|-⌫--|-|--|-|----|
u oslesaurezassezencore .	-⌫-|-|-----|----|------⌫|
Et quantli cheualie rslent ent	-|----|-|--------⌫-||---⌫--|
A Deufetil	|--|--|-|
p lusni atent	-⌫--|||----|
en uetet s amieo lui.	-|--|-||---||---|
Einsi ch euauchentambedui	----|--⌫--------|------|
Par milag rantforestoscure	--|-|-|-⌫---|-----|-----|
a.I.g uéparau enture	|--|-⌫--|--|--⌫-----|
Ont .I.cheualier encontré	--|--|--------|--------|
Qui uetdisantOh é-Ohé	--|--|-----|--⌫-||---|
uoire siuosdirai por quoi.	----|-|--|----|--|----|
E i nsi au guéioste .I .au no i	-⌫-⌫--|-|---|----|--⌫|--⌫--⌫|
Liunsuerslautre sadreça.	-|--|---||----||-------|
Linostrecheual iersdeça	-|-----|------⌫---|----|
Semerueilledece	-|--------|-|-|
qui l uoit	-|-⌫|---|
Quecil qui	--|--|--|
istdougue ́n	--|--|---⌫||
cheuestre nesperon	--------||------|
Nene tientuergenebaston	-|-|----|----|-|-----|
Forsl e scu	---||-⌫--|
Me sdes i g rantbeautéestoit	--⌫|-|-⌫|-⌫---|------|-----|
Quenulplus bel	--|--|---|--|
ne steüstquerre	|-⌫------|-----|
N on quesne fuen nule terre	|--⌫---|-|-|-|---|----|
