kiuoltoïrcha ncun debeausemblant	-|---|---|---⌫---|-|---|-------|
fizacelreir usse lde	--||--|--|-⌫----⌫|-|
nat plusprodomentutepaienie	|-|---|-----|-|---|------|
nequetant eitlosdecheua l erie	-|--|---|--|--|-|-----⌫-⌫---|
me u zferg eod	--⌫-⌫|----⌫|-|
espeefur b i e .	----|---⌫-⌫-⌫||
cil tendra fr a nc equite ens a baillie.	--|-----|--⌫-⌫--⌫|----|-|-⌫|------||
d i stl emperereissin	-⌫-⌫-||-------|---||
ken diteuus	|-|---|--|
ma meisnenurie	-|-----|----|
barnagea uneuoiz	------||--|---|
dr ei ze mperere	--⌫--⌫|-⌫------|
nusne l suffrummie	--|--⌫|------|--|
que ia paien eie nt	--|-|----|---⌫-|
fran c eenbaillie	----⌫-⌫|-|------|
mesfai u enir tagrant cheualerie	--|--|-⌫---|-|----|---------|
p uisse tuuolsdes ke la	-⌫--|-|-|---|---⌫-|-|
nus g ui e	--|-⌫--⌫|
uerru mlaput egent	-----⌫|-|---⌫|---|
batailletro uumle	-------|---⌫--|-|
distoti n e l oreoi grantbrico nie .	---|---⌫-⌫-⌫|--|-|----|-----⌫--||
orelem perurgarsie	--||--⌫----|-----|
kil ma terae tol dra lauie.	|-|--⌫---||---⌫--|-|--||
qu antil uerr asa grantcheualerie	--⌫--|-|----⌫|-|----|---------|
lip lushard ina u era	-|-⌫--|----⌫||-⌫-⌫--|
ta lent qui l rie	--⌫---|-|-⌫|--|
meu zuoldreitestredelanormendi e.	---⌫|-------|----|---|--------⌫||
ç o di st	--⌫|--⌫-|
du xna imesa la	--⌫|--⌫---||-|
barbe florie	----|-----|
sicharles mandes agr antcheualerie	-|------|----|-⌫|--⌫--|---------|
il celrichere igarsie	-|--|----|--⌫|-----|
combate rei tseiasa grant comp ai ng nie .	-------⌫---⌫|--||-|----|----⌫--⌫--⌫--||
distotin el	---|----⌫-|
oreo igrantbriconie .	--|-⌫|----|-------||
parset feiz setcenzmile	--|--|---|--|---|---|
as blancs hal bercsasenseingnesd esir e	-|-----|---⌫----|-|---------|-⌫|---⌫|
kunquesne fuirent purpoürdelur uie	|-----|-|------|--|----|-|--|--|
uneci téontf eteenlum b ardie	--|--⌫--|--|-⌫--|-|---⌫-⌫----|
e ntred ouseweslontf ermée b astie	-⌫---|-⌫--|---||--|-⌫----||-⌫----|
paien e gent	-----⌫|---|
l apel e nt atelie.	|----⌫-⌫-|-----||
deu ne fisthummequilurtolsist essie	--|-|---|----|--|--|------|----|
ne lurpescherne	-|--|------|-|
l urgaa nerie	-⌫-|---⌫----|
sic h arlesi uenistod labarbeflurie	-|-⌫-⌫----||-----|-|-|----|-----|
laconuistrumki aueraamie	-|---------|-|----|---|
k ime uzfe rrad espeefurbie .	-⌫|--⌫-|--⌫--||----|-----||
meisdanuileinniuenezuus mie	---|--|-----|||----|--|--|
parmun cunseil	--|--|------|
gar derez par islauile	---⌫----|---⌫-|-|---|
n ientre necorneile nepie	||----|-|-------|-|--|
uusn ertmesfait echeualerie.	--||--|--|----⌫|---------||
teluerg oineat	--|----⌫---|-|
liducnesetquildie	-|--|-|--|-|-|--|
lid ucrodlantses tenp ie zleue z	-|-⌫-|------||--⌫|-|-⌫--⌫|----⌫|
maltalentata	--|-----|-||
poin e s t	--||-⌫-⌫|
fo rse nez -	--⌫---⌫--||
uersle paen s	---|-|---||
enesttreis pas alez	-|--|----|--|---|
siliaditc uluert	-|-||--|-⌫-----|
desm esurez	----⌫-----|
tasui eprisez	|-|-||-----|
detaparole deu antfranceislöez	-|-|-----|---⌫--|-------|----|
m esp arceluik	-⌫-|-⌫-|----||
encroiz fupenez	-|----|-|----|
i amur rïez ne fuissez af ïez	-⌫|---⌫----|-|------|--⌫---|
en bataillepuiss ezestreencunt r ez	-|-------|-----⌫-|----|------⌫-⌫-|
telte dor raidemespeede l ez	--|-|---⌫--|-||----|-|-⌫-|
iapuis de teinert franchumme	-|---|-|--||--|----|----|
encumbrez.	--------||
d ito tinel ialesauum	-⌫-|-⌫----|-|-|----|
bataillea uer as	-------|-⌫---⌫-|
sifeire lo sez.	-|----||-⌫--||
demain m atinuussumunsen cesprez.	-----|-⌫---|--|-----|-|--|---||
edit rodlantkar lem	|--|------|--|-||
aseür e z.	------⌫-⌫||
fetlepaenl amei e	--|-|---|-⌫|---⌫|
crean ceetutesmes lealtez	-----⌫-||----|--|------|
par kiremaine seitcuardpr uuez	--|-|------|---|----|--⌫---|
l espurun luiseit des pie z	|------|--|---|--|---⌫|
iamésencu rtne	-----|-|--⌫-|-|
seitmeshonurez .	---|--|------||
lurfeizendonent ores unt	--|---|-|-----|--|-⌫--|
asseürez .	--------||
ço distlire is char le	--|---|-|--⌫-|----⌫-|
deseint de nis	-|-----⌫--⌫--|
sarazinfrereparla leid unt	------|----|--|-|--|-⌫--|
pa rage est uen	--⌫---|-|-⌫|-|
cum asanun	--|-||--|
par taleikar	--|-|--|--|
otinelsireçodistli	-----|---|--|---|-|
sara z in s	----⌫-⌫--⌫|
reigal ï enalfier uis	--|---⌫--⌫-|-|---|--|
plusa morthummes	---||---|-----|
ede ses mainsocci s	|-|--|----|----⌫|
t rouereitentrestutces tpaïs .	-⌫-------|-|------|---⌫|----||
lireisgarsie est m is	-|---|-----|--|-⌫-|
germei nscusins	------⌫-|-----|
mi s uncle fu fernagulihardis	--⌫|----|-|------|-|-----|
n azrequerodlant	-⌫---|--|------|
demai nen ert enfiercalenge	-----⌫|-|--|-|---|------|
e ditlireistuesassezge n ti lz	|--|-|---|-|-|----|--⌫-⌫--⌫-|
marfutis corsque	--|-|--|---|--|
ba ptesm en atpris .	--⌫-----⌫||-|---||
lireisa pele	-|---|-⌫---|
sun cham berlencreine r	--|----⌫------|-----⌫|
uenez auantpernezcest messagier	----|----|-----|---|--------|
sil me men ez a	--|-|---⌫-||
lamaisungar ner	-|-----|---⌫--|
dun ezal hostecenz s ouz	---⌫-|-|----|---|-⌫--|
p u rson mangier	-⌫-⌫|--|------|
ealtretant done zpurson destrier	|----|---|----⌫|--|--|-------|
pui ssiapeleleui elz chanu richer	---⌫|-|----|-|--⌫--|----|-----|
galterde liunselideneis oger	-----|-|----||-|-----|---|
pe r nezfeitil gardedelcheu aler	--⌫-⌫--|---|-|----|--|----⌫---|
sil seruezbiende	--|-----|---|-|
ila tmes te r.	-|-⌫|---⌫--⌫||
cele nuitluntleissé i ssi ester	---|---||--|------|-⌫--|----|
iesk al demeinqueli	---|-|-----|--|-|
i urparut cler.	-⌫-|----|---||
charles s el ieuesifait r odl a ntman der .	------|-⌫|-⌫---|-|---|-⌫---⌫-⌫-|---⌫--||
enlachapelesunta lé pururer	-|-|------|---|-⌫--|--|---|
lamessechantelabes	-|----|-----||---|
deseintomer .	-|----|---||
u nhanap dorfait lireis	-⌫|----||-|---|-|---|
depar esinssilatbienfetcumbler	-|---⌫----|-||-|---|--|------|
offr endefun til e liduzepier .	----⌫---|---⌫|-||-|---|---||
rodlant offridurendal	------|----|-------|
albrantcler	-|----|---|
purra nçuni feitsetmars	--|--⌫----||---|--|---|
apresla messe funtlesu re schanter .	----|-|----|---|--|-⌫--⌫|------||
delm u stier eis sent	--|-⌫-⌫----|---⌫---|
puissiuon t esgarder	---|-|---⌫|-------|
le sarazinq uiuientalre iparler .	-|------|-⌫-|----|-|--⌫|-----||
lisarazinuient orguillusem ent .	-|------|----|-----------⌫--||
ap ele silidit fierment	--⌫--|-|-|--|-------|
charl es fa itilu esto r erodlant	-----⌫-|--⌫-|-||--|-⌫-⌫|------|
liuostreni és	-|-----|--⌫--|
que u uspar amez tant	--|-⌫-|--|---|---|
pa r kifrance is	--⌫|-|------⌫-|
se uontasseürant	-|---|---------|
defeimentil ap elcumrecreant	-|--|----||--⌫-|--|-------|
se il ne tient uersmeimuncouen ant	-|-|-|----|---|--|--|-----⌫--|
keerfeïmestute lacurtueant.	-|-|------|---|-|---|----||
a cesparole s se treit liquons	|--|------⌫|-|----|-|----|
tre stut irré e pleindemaltalant	---⌫---|----||----|-|--------|
par c el ap ostlekique rent	--|-⌫-|--⌫----|-|---⌫---|
ione l ar re iepurn ulhumme	-|-|-⌫--⌫--⌫-|--|-⌫-|----|
k e ioencuine t e	-⌫|-|----|-|-⌫|
rendeteis ant	----|----⌫--|
matuuencumorturecreant.	--||----|---||-------||
d istotinelfeite s	-⌫--|-----|-----⌫|
duncitant .	---|----||
pernezuos armespar itel couenan t	-----|--|----|--|---|-------⌫|
siiouusfailp endez moi ioluusgrant	-|-|--|---|-⌫----|--|--|--|----|
faitoliuermultparlezhaltem ent	---|-----|---|-----|------⌫--|
neuosparoles n ab eï ssent	-|--|------||--⌫---⌫----|
grant merueilests ibi enuusa u ient.	----|------|--|-⌫|--⌫-|--|-⌫-⌫---||
l unze per en ontamen érodlant	|---|--|-|--|----⌫-|------|
eldosli ue stentun halberciacer ant	-|--|-|--⌫----|-|------|-----⌫--|
grosseestlamailled erere ede uant	-----|--|-|-----|-⌫----||--⌫---|
e lchieflilacentun uert healmeluisan t-	-⌫|----|-|-----|-|---|-----|------⌫||
ço fu lehealme golias	--|-|-|-----|-----|
charleslepr istquant il oc cistbrachant-	------|-|--⌫--|----|-|--⌫---|-------||
puisliaportentdurendal l etre nchant	---|-|-------|-------|-⌫|---⌫-----|
iadel es pe e nestoetdireneant	-|--|--⌫--⌫||-----|---|----|
bienlaconuissent lipetit	---|-|---------|-|----|
e l igran t	|-⌫|----⌫|
kenasibone ies kenori ̈ent .	-|||-|---|---⌫|-|---⌫---||
l iquonslaceint	-⌫|----|-|----|
quilapar aimetant.	--|-|--|---|---||
el collipendentunfo rtescup esa nt	-|--|-|------|-|--⌫-|---|-⌫---⌫-|
peintaaz ura ialne a orpiment	----||--⌫-||----||-------|
en uirun lur le current liquatre uent	--⌫----||--⌫-|------|-|-----|---|
l i duzesigne e	-⌫|---|----||
limeisensement	-|---|-------|
sicum chas cunuersal tresecun tient	-|--|----⌫--|---|--⌫--|-|---⌫----|
edelabismei estlefundem ent	|--|-----||--|-|------⌫--|
e cieleterrefaitp arcumpassement	|---||----|---|-⌫-|-----------|
sol eilmis par g ra n testudiement.	---⌫--|--|--|-⌫--⌫-⌫|----------||
laguig efudunp aile escarimant	-|----⌫|-||-|-⌫---|---------|
ela fuille es t	|-|-----|--⌫|
feiteduna lmant	----||-|-⌫----|
aport e ntun	-----⌫-⌫-|-|
f ort espé	-⌫--|----|
tren ch ant	----⌫--⌫--|
salanceredde	-|----|----|
esu n gunfanungent	|--⌫|-------|---|
uermaileei ndetre skapo in zl it ent	-------||-⌫--|---⌫-||--⌫--⌫|-⌫|-⌫--|
liquons gerins	-|----|-----|
li chalceigne lem e nt.	-|-----|----⌫---⌫-⌫-||
laplacel im einel umbruiant	-|----|-⌫|-⌫---||-|------|
kiplusto st	-|---|--⌫-|
uaitq uequarel nedesten t	---|-⌫-|-----|-|------⌫|
deusnefistb estek i tantu oiste smuuant	---|-|---|-⌫---|-⌫|---|-⌫---|-⌫------|
k alu i setenist adreitcurs	||--⌫|-|-----||----|---|
unar pent.	-|--⌫---||
laselefud ecristale	-|---|-|-⌫|------||
e l a suzc eledunpailed orïent	|-⌫|----⌫--||-|----||------|
l i estr iudoro uere ́ menuement .	-⌫|----⌫-||-|-⌫----⌫|--------||
liquonsimuntetan tascemeem ent	-|----||----|---⌫|--------⌫--|
kilnastriu nearçun ne sepre nt	|-|||----|-|-----|-|-|---⌫-|
fistunesl eis uea nttut el age nt	---|-|---⌫--|---⌫-|---⌫|-⌫|--⌫-|
sisenret u rneuerscharlerïant	-||-|---⌫-⌫--|---|-----|-----|
s irefai tille cungé uusdema nt.	-⌫--|---⌫|-|-|-----|--|----⌫-||
sili paenuienc par	-|-|---|----|--|
mienescïent	---|-------|
iade mortue rsmoin auera garant.	-|-|---|--⌫-|--||----|-----||
niésd it li	----|-⌫-|-|
celu ite comant	----⌫|-|-----|
tutlemundsi	--|-|---|-|
leues a mai n si aseinié rollant.	---|-⌫|---⌫|-||------|------||
liq uons sen uaitasespurunsfi chan t	-|-⌫---||-|---|-|-------|--⌫----⌫|
a présluiuuntpu cel eseemfant	-⌫----|--|---|--⌫---⌫-||-----|
kituitlidie nt a ihesu te co mant .	-|---|-|---⌫-||----|-|--⌫---||
se i nte mariet e seit demortgarant .	--⌫-⌫--|----|-⌫|---|-|---|-----||
li unzepermuntentdemeinten ant	-|---|--|------|-|-------⌫--|
entredous eweson t menér od lant	----|---|---|--⌫|----|-⌫--⌫---|
luneestseinel altre	|--|--|----||----|
marne lagrant.	----|-|----||
deu antlerei	---⌫--|-|--|
uintlemessag ie restant	---|-|------⌫--⌫|-----|
lemperereapelefi erement	|-------|----|--⌫------|
charl e fait ilun	-----⌫|---|-|-|
h alb ercte	-⌫---⌫--|-|
esc u e healme eune espeetrenchant	---⌫||-----||--|----|--------|
destr eraiiob onecurr ant	-----⌫-|-|-|-⌫-||----⌫--|
n ena meillurdesk enbet li ̈ant	|-||------|---|-|---⌫--⌫---|
edemespee taillebi enle tre n c hant.	|-||----|-----|--⌫-|-|---⌫-⌫-⌫---||
de surma f eite	-|--|-|-⌫-|-|
promet lealment	-----|-------|
aincure d e primecurc erair oll ant.	---|--|-⌫|----|----⌫---|-⌫---⌫--||
ch arlesloïapoi dire	--⌫----||--||--||--|
pa ienditil deu delcieltacrauen t	--⌫--|--|-|--|--|---||-------⌫|
karmultmas feitcur ecé	--|---||-|---|---⌫---|
e d olent.	|-⌫----||
reg uard euer s	---⌫----⌫|---⌫|
sa fillebe lisent	-|----|--⌫-----|
quedela cham breeis s eitelpauement.	--|-|-|----⌫--|---⌫-⌫--|-|-------||
tu tlepaleis de sa	--⌫|-|-----|-|-|
bealtéresplent	------|-------|
li r e isl	-|-⌫-⌫-||
aceinede sun g uant	-----|-|--|-⌫---|
fillef a itil	----|-⌫-⌫-|-|
cest paientec omant .	---|----|-|-⌫----||
armezlebient osteigne le ment -	----|-|---|-⌫--||----⌫--⌫---||
bataillea priseamunn eu u	-------||----||--|-⌫--⌫|
k epurles a rmes nenertde cheement	-⌫|--|--|-⌫---||-|--|--⌫-------|
ele tuta uostre t alen t	--|--||-----|-⌫----⌫|
li sa raziniertarmége n teme n t	-|--⌫----|---|----|--⌫-⌫----⌫-⌫|
iaparlesarmesni perdera	-|--|--|----|||------|
beli sentapeleflan drinede m untbel	----⌫---|----|----⌫----|-|-⌫-----|
elapu celerosettederimel	|-|--⌫---|------|-|----|
ces treis danceles	--|----|-------|
ameinentotinel.	-------|-----||
aldosli u este ntlehalberclerei	-|--|-|-⌫----⌫-|-|------|-|--|
el aue nta ille aung entilfresel	|-⌫|--⌫---⌫---||-|-⌫----|-----|
celuilifermefla ndri ne demuntb el.	----|-|----|---⌫----⌫-|-|-----⌫-||
el chief l ilacent	-|----|-⌫|-----|
f eitaq uarter s aflurse a	-⌫--||-⌫------⌫||----|||
n asel enfu rmeduno isel.	-⌫---|-|--⌫--||-|-⌫---||
lafillecharlequ iout	-|----|-----|--⌫|--|
liceintl espeealf ort reiaka el	-|----||----|-|-⌫--|--|---⌫-|
çoest curçusetailla ntcu m	--|--|-------|------⌫-|--⌫|
cest e muuerate ncuiarolla nt leceruel	----⌫|------|-⌫---||-----⌫-|-|-----|
duntalreicharle	---|-|--|-----|
nenert gu eresbe l	|-|--|--⌫---|--⌫|
el c ollipendentunfor tescunouel	-|-⌫-|-|------|-|---⌫|---|----|
bl anccumn eifdesuz a un	--⌫--|--|-⌫--|----||-|
la bu c leestd	-|--⌫-⌫-|--||
argentlic lauel .	-----|-|-⌫----||
feriout b on eg u nfanunnouel	--||--|-⌫-||-⌫-⌫-----|----|
blan c cumflur peinti outu n	----⌫|--|---|----||--|-⌫|
entreses pi ezpo rtoutund ragunc el.	----|--|--⌫-|--⌫----|-|-⌫------⌫-||
tre sk aspoi nz	---⌫-|-|---⌫-|
li penecel.	-|------||
unsesperuns	--|-------|
qui ual ent	--|---⌫--|
liatchalcérosett ede riuel.	-|-|------|------⌫|-|----||
laseeleest m isee n mi grad os lignel	-|----|--|-⌫--|-⌫|--⌫----⌫-||----|
q ui plusto st curtkene	-⌫-|---|--⌫-|---|-|-|
destentquarel	------|-----|
libon destrier aueüle danzel	-|--|-------||---|-|-----|
henisteg rat ebien	-----||-⌫---⌫|---|
conuistotinel	------|-----|
cillisalt su re ki plus s e tdecenbel	--|-|---|--⌫-|-|---|-⌫-⌫|-|-----|
e debata ille quefeu erede	|-|----⌫---|--|---⌫--|-|
lisaraz inestel des t rer	-|-----⌫-|--|-|---⌫-⌫--|
faituneslai s si sen	---|-|-----⌫|-||-|
estr eturnez	--|-⌫------|
ue rs belise nts	--⌫-|------⌫-||
enest tut dreit a lez	-|--|--|----|-⌫--|
pucelegente mul t	-----|----|---⌫|
suibienadubez	--|---|-----|
rollantmorze s tua folez.	------|---|-⌫-⌫||-⌫----||
dist lapuce lede dur endaluus	---|-|----⌫-|-|---⌫----|--|
sidecurçusebienneuusdefendez	-|-|-------|---|-|--|-------|
uu smeis nenerttenu citez .	--⌫|---||-|--|---|----||
aicel mot li messagierest	|---|--|-|--------|--|
ogier lameinelidaneisalosez	----||-----|-|-----|-----|
e liduc naimes es t	|-|--|-----|--⌫|
