liuila insdist	-|----⌫--|---|
siseremetensontrain	-|-|----|-|--|----|
bien atenulodroitc hemin	---||---|-|----|-⌫----|
uenuze stoit	----|-⌫----|
a l aual eeu inttot dro it	|-⌫|---⌫-|-⌫--|--|---⌫-|
ou trouala pute	-|----|-|---|
decheuauchieronquesnefine	-|----------|-----|-|---|
tot droitparmitantquil fu fors	--|----|----|-----|-|-|---|
sifuilmoutdoilla n z	-|-|-|---|------⌫-⌫|
et de brisi ezetdebatuz	-|--⌫-----⌫-|-|------|
en la f orests estenb atuz	-|-|-⌫----||--|---⌫---|
olesbestes sauuages son t	|--|-----|-------|---⌫|
encontreuenuesli	-------|-----|-|
tantos tco n eles l	------⌫|--⌫|---||
a parcurent	-⌫--------|
partelairuers luicoururent	--|--|--|---|--|--------|
q ueiequitbienquil	-⌫-|-|---|---|-|-|
lo men iasse n t	-|---⌫-----⌫-⌫|
se porlamure n	-|--|-|---||
oulai ssasse nt	-|---⌫------⌫-|
por toie nta nor	---⌫----⌫-|-⌫--|
etkeusenaeup ao r	-|---|-||-|-⌫--⌫|
si gra nd e quepor d is	-|---⌫--⌫|--|--|-⌫-|
neuousistestreob oisentre z	-|------|----||-⌫--|-----⌫|
ne por t otlauoirdepauie	-|--|-⌫-||----|-|----|
forsdoboise n lapraerie	---|-|---|-⌫|-|------|
e st entrez deua ntlocha ste l	-⌫-|-----|----⌫-|-|---⌫---⌫|
liroisartuzcui fu	-|---|----|--|-|
decequereue nirlouo it	-|-|--|----⌫--|-|--⌫-|
asfenestresue nuzestoit	-|--------|--⌫--|-----|
etgauuainsetg ueheriez	-|-------|-|-⌫-------|
etmessireyuains etgirflez	-|--|---|-----|-|------|
etautrescheualiersassez	-|-----|---------|----|
queili a uoitapelez	--|-||-⌫---|-----|
quantloseneschaluenuuoient	----|-|--------|---|-----|
po r lapucelequerre enuoient	--⌫|-|-----|-----|-------|
damoisele fontilue nez	--------|---|-|--⌫--|
uostrefra incorendroitaurez	-----|---⌫--|--------|----|
quekeus estiabi enaprochiez	--|---|--|-|--⌫-|--------|
loufrainc bienlo sachie z	--|-----|---|-|------⌫|
mesilmententq ui l	--|-|------|-⌫|-⌫|
ha uteuoizsescrie	--⌫--|---||-----|
certessilauo irlo deu st	-----||-|---⌫-|-|---⌫-|
reuenu znefu st	------⌫|-|--⌫-|
lo rsrontses	--⌫-|---|--|
cheuousetdetire	------|-|-----|
quilorsuei st logra nt	--|---|---⌫-|-|---⌫-|
qu eledemoinneetlo	-|--|-------|-|-|
morte seroieia mon	----|-----|-|--|
etgauuainsen	-|-------|-|
riant lidist	----|-|---|
damoiseleundon me	--------|-|--|-|
s irequel que mes	-⌫--|---|--|--|
n eplore z	-⌫|-----⌫|
ainzmengiezetsi soie zliee	---|------|-|-|----⌫|---|
ia m arenseroiz deshaitiee	-|-⌫-|-|-----|---------|
que ieuostr efr ainuosre ndre	--|-|-----⌫|--⌫--|--|--⌫---|
etdeboncue ru o saiderai	-|-|--|---⌫|-⌫-⌫|------|
si r e diteledite su o s	--⌫-⌫|--|--|----⌫|-⌫-⌫|
que mo nfra incauraia est ros	--|--⌫|---⌫--|----||---⌫--|
o iluoir etiemenger ei	-⌫-|---|-|-|------⌫-|
etto te hai tieese rai	-|--⌫-|---⌫---|--⌫--|
conue nan tle	-----⌫---⌫|-|
lors sen estg auuainsafichiez	---||-|--|-⌫------|-------|
quese ia nusauoir loudoit	--|-|-|--|----|--|---|
illouraura ouq ueilsoit	-|--|----|-|-⌫-|-|---|
estlapucelee sm eue	--|-|-----|-⌫--⌫--|
aupiede la	-|--|-|-|
salees tuenue	---|--⌫|----|
a s amulee tkeuses t	|-⌫|---|-⌫|---|--⌫|
a sonoste lt oz a dolez	|--|----⌫|-⌫-|-⌫----|
mout tri stes etmoutangoisseus	---|---⌫---|-|---|---------|
et liro is	-|-|--⌫-|
n o tientmie aie us	||----|--||--⌫-|
quant dit e l ifu et	----|---⌫|-⌫|-|-|
lama luaistie	-|--⌫-------|
qu ekeusotfete	--⌫|---|-|---|
et porcenosea c ort uenir	-|--|-||--||-⌫--|----|
laparole plus maint enir	-|-----|---|-----⌫---|
aluia c estefoiz	|--||-⌫---|---|
ladamoiseleorroiz	-|--------|-----|
conm entelee st aur o i uenue	----⌫--|--|-⌫-|-|-⌫-⌫|----|
ta nt a l a	--⌫-||-⌫|
paroletenue	-----|----|
quegauuainsli	--|-------|-|
a c reanté	|-⌫------|
quelifrainsse ra	--|-|-----|--⌫-|
et di st quillaportera	-|--⌫-|-|-||-------|
iaensi fort leunes era	-|-|-|---|--|-|-⌫--|
sonf rainc	--|-⌫----|
ait l ocongie	--|-⌫|-----|
mou tuolentiers li otr oigie	---⌫|---------|-|---⌫-|--|
outroient ellorencline	--------|-|--|------|
e tsifetm o utgauuainhast er	-⌫|-|--|-⌫-⌫-|------|----⌫-|
mesgauua in s lauial t a coler	--|-----⌫--⌫|-|----⌫|-⌫----|
p rimes ancoisq uil s en alast	-⌫----|-------⌫|-||-|----|
ilfubiendroizquil	-|-|---|----|-|-|
elemout uolonti e rslobese	--|---|-------⌫-⌫-|-|---|
orestla pucelemoutais e	-|--|-|-----|---|---⌫|
carelese tbi en totsanz	--|--|--⌫|--⌫-|--|---|
quel lou r aura c onmentquilaille	-|-|--|-⌫---|-⌫-------|-|----|
doncplusse splai z	---|---|--⌫|----⌫|
gauuainsalamuleest	-------||-|---|--|
s isailli dedenzlesa rcons	-⌫|-----|-----|--|-⌫----|
plusdetren t e beneicons	---|-|----⌫-⌫|--------|
liala damoiseleoré	-||-|--------|---|
ettuit l ontadieu conmandé	-|---||--||---|--------|
gau ua insilu ecpl usne seiorne	---⌫--⌫--|---⌫-|--⌫-|-|------|
mes diluecmain tenantsen	--||----|----⌫-----||-|
messespeenilaissamie	--||----|||-----|--|
e ntrezesten la pra erie	-⌫----|--|-|-|---⌫---|
ma inneuers la	--⌫---|---|-|
ol esbeste ssontar ecet	|-⌫-|-----⌫|---||-⌫---|
etlil io netliliep art	-|-|-⌫--⌫|-|-|----⌫--|
maintenant sen uetce le	---------||-|--|--⌫-|
laogauuai ns pas ser	-||------⌫-|---⌫--|
alencontreli	||-------|-|
uo nttotdroit	--⌫-|--|----|
tot maintenantque	--|---------|--|
il reuoient	-|-------|
laque ilcon oissoient	-|--|-|---⌫--------|
les de usgenouz	--|--⌫-|-----|
a terre plie n t	|----|----⌫-⌫|
u ersloucheualier sumelient	-⌫--|--|--------||-------|
paramoretpar	--|---|-|--|
conoissa nce	--------⌫--|
la senefiance	-|---------|
que afo rce	--||--⌫--|
l ou fra in craura	-⌫-|---⌫--⌫|----|
i aensi for t	-⌫|-|-|---⌫|
mesqua n tgauua insles b e ste suoit	--|---⌫-⌫|-----⌫--|--|-⌫-⌫---⌫|---|
siquidebien	-|----|---|
et aparcoit	-|-------|
quepeor otqua nt ilpas sa	--|---|-|---⌫-|-|---⌫-|
etke usporcesen retorna	-|--⌫-|--|-||-|------|
riants enestoutrepa ssez	----||-|--|----|--⌫---|
oupe tit sentierest	-|--⌫--|------|--|
quidr oit loumoinnea	--|--⌫--|--|-----||
quisiestoit enu en imee	--|-|-----|---⌫--⌫---|
e nuasanzarest ement	-⌫|-|---|-----⌫----|
red otenoient	---⌫--|-----|
tantquedaut repar testuenuz	------||---⌫-|---⌫|--|----|
en milaplai nne es t descenduz	--⌫-|-|----⌫--|--⌫|--------|
ouestoitla fontai nn ebele	-|-----|-|------⌫--⌫|---|
asa muleaostéla sele	|-|---||----|-|---|
sila torc hee tsila ratorne	-|-|----⌫-|-⌫|-|-|------|
il u equesg a ires neseiorne	--⌫-⌫----|-⌫-⌫---|-|------|
que tropliestg rie ue	--|---|-|--|-⌫---⌫-|
gauu ai ns chemine to te uoie	----⌫--⌫-|------|--⌫-|---|
uint aleuenoire	---|||--|----|
quiestoitplusbruianzqueloire	--|-----|---|------|--|----|
delitantuo il di re sanzpl us	-|-|---|--⌫-|--⌫-|---|--⌫-|
conques si laide neu i t	|-----|-|----|-|-⌫-⌫|
sior rib lenesi cruel	-|--⌫---⌫-|-|-|----|
nesaique uose nd eisse	-|--|--|--|-⌫|-⌫----|
disanz nu lefa ble	-|---|--⌫-|--⌫--|
queceestl iflunsau	--|-|--|-⌫|----|-|
parsanblantet	--|-------|-|
parauis on	--|----⌫-|
ni uoitlensede ablesnon	||---|--|-|--⌫----|--|
e tn iam ie d epassage	-⌫||||-⌫-|-⌫|------|
tantes talez par lo riuage	---|--⌫|---|--|-|-----|
queil alaplanchetrouee	--|-||-|------|-----|
quin estmie dund or	--||--|--||-|-⌫-|
mes eleestoit	--|--|-----|
def ertr e s tote	-|-⌫-|--⌫-⌫-⌫---|
auque s lou	-----⌫|--|
pas sage redote	---⌫---|-----|
et parceu oitbienet entent	-|--|-|-⌫--|---|-|-----|
quekeusnosaaler aua nt	--|---||--|---|---⌫-|
et q ue diluecestre to rnez	-|-⌫-||----|--|--⌫--⌫---|
gauuainssestad ieuconmande z	-------||--||-⌫--|--------⌫|
lamuleetelesaut	-|---|-|--|---|
sorla planche quipas nefaut	--|-|------|--|--|-|---|
m esassez souen t a uenoit	-⌫-|----|-----⌫|-⌫-----|
quel amoitiezdopie	--|-⌫|------|-|--|
forslaplanchep arde	---|-|------|-⌫-|-|
nestmeruelle silapeor	|--|-------||-||---|
mesplusgrantpaorlifa i soit	--|---|----|---|-|--⌫-⌫---|
c equela planchelipleioit	-⌫|--|-|------|-|------|
p assezest outre aque lquepainne	-⌫----|--|----||---⌫---|-----|
me s icees tchose ce rtai nne	--⌫|--|--⌫|----|--⌫----⌫--|
lamulene seust	-|---|-|----|
lauoiequecheoiz ifust	-|---|--|-----||---|
aceste foizsenestgar dez	|----|---||-|--|---⌫--|
maintenan t sest acheminez	---------⌫||--|--------|
quifortu neotr o ieetpromet	--|-----⌫-|---⌫-⌫-|-|-----|
enun petits ent i er	-|-|----|-⌫---⌫-⌫-|
moinne uersun	-----|---|-|
mout bienseante tfortetbel	---|---|----|-⌫|---|-|--|
l i chasti auss i tresforz estoit	-⌫|------⌫--|-⌫|---|---|-----|
quenul a saltnered otoit	--|--|-⌫---|-|---⌫----|
q ueclos est oita lareonde	-⌫-|---|---⌫--||-|-----|
dune euegrant	|--|--|----|
etsies toittotentor	-|-|--⌫---|--|----|
degranzpieusbiena guz	-|----|----|---|-⌫--|
chascundespieusa uoit	------|--|----|-⌫---|
mesquen un seu louil failloit	--|-|-|-|---⌫|-|-|-------|
u net ested echeual i e r	-⌫-|-⌫---|-⌫|------⌫-⌫-⌫|
gauu ainsneuost mie	----⌫---|-|---|--|
ne huisneporteni auoit	-|---|-|----|||----|
lichastiaussifort to r noioit	-|--------|-|---|--⌫-⌫-----|
con mue ledemo linqui	--|---⌫-|-|--⌫--|--|
quelensuet	--|--|---|
ala corgiee d emener	|-|------|-⌫-----|
totades li couient	--|---|-|------|
m esmoutdurem ents emeru ell e	-⌫-|---|-----⌫--|-⌫|----⌫---⌫|
meismesse conselle	------|-|-------|
que senef ieet	--|-----⌫-|-|
que puet est re	--|---|---⌫-|
mo u tenuoudroitbiens auoi rlestre	--⌫-⌫|-|-------|---|-⌫----⌫||----|
estmierecreant	--|--|-------|
atantsor louponttornoi ant	----|--|--|---|------⌫--|
estarestez deuantla porte	--|------|-----|-|----|
ethardementmoutlie norte	-|--------|---|-|-⌫----|
qu edebien fere ne r ecroi e	--⌫|-|---|---|-|-⌫-----⌫|
lichastiausto tadestornoie	-|--------|--⌫|---|------|
m es il d is tque ta nt i	-⌫-|-|-⌫--⌫|--|--⌫-||
quelquepainne	------|-----|
celir euient agrant a nui	-|-|-⌫-----||----|-⌫--|
que laportee std euan tlui	--|-|----|-⌫-|-⌫----⌫|--|
que ele lamout	--|--|||---|
tost passé	---|-----|
biensonpointesgardé	---|--|----|-------|
et dit qu ilientrera	-|--|-|-||------|
quantla porteendroitl uisera	----|-|----|------|-⌫-|---|
doieauenir	---|-----|
atant uoitlaporte	----|---|-|----|
s ipoint lam ulederandon	-⌫|----|-|-⌫--|-|-----|
et elesautp orlespe rron	-|--|---|-⌫-||----⌫---|
sisestenla porte ferue	-||--|-|-|----|----|
mes ele ie sts iconseue	--|--||-⌫-|-⌫|------|
parderrierssique delaqu eue	--|-------|-|--|-|-|--⌫--|
pres de la moitielidesne ue	---|-|-|-----|-|-----⌫-|
e nsi estentrez enla p orte	-⌫--|--|-----|-|-|-⌫---|
etlamulemo uttost	-|-|---|--⌫-|---|
rues doc hast el	---|-|-⌫----⌫-|
cele quido	---|--|-|
ueo irfubel	---⌫-|-|--|
etdeceestauque sdola nz	-|-|-|--|-----⌫|----⌫-|
queilnenatrou é laienz	--|-|--||----⌫-|-----|
femenehomeneenfant	---|-|---|-|-----|
t otd roitparde sozun auuant	-⌫-|-⌫---|--|--⌫--|-|-----|
dune ma isonsen	|--|--⌫---||-|
mesancoisquil	--|-------|-|
