quiweultoirsarm on	--|----|--|----⌫-|
emparad is meslisathan	-|-----⌫-|--|-|-----|
d elapomme nosfi stengan	-⌫|-|----|--|--⌫-|----|
deparadis furentgeté	-|------|-----|----|
dontilestoientherité	---|-|-------|------|
p orrestor ercelh eritage	-⌫-|------⌫-|--|-⌫------|
a euzetatoutlorlignag e	|--|-||---|--|------⌫|
e nterre de c har meuesti	-⌫|----|-|-⌫--|-|----|
encroizf ui mortp uissepel i	-|----|-⌫-|---|-⌫--|-----⌫|
iors resussitai	---|---------|
apostresmemonstrai	-------|-|-------|
quantcen entendiplacidus	----|--|------|-------|
ter re cha i ius	---⌫-|---⌫|--|
e t dis t itan t	-⌫|---⌫|----⌫|
sireiecroi	---|-|---|
encenier tmestouzdis maf oi	-|--|---⌫|--|---|--|-|-⌫-|
bie ncroiqueste sdetout	---⌫|---|-|----⌫|-|---|
ets auoi ez lesfolloienz	-||----⌫-|--|--------|
oplaci deseas e nmoi	|-----⌫-|-|-|-⌫|--|
detoutentoutmisetaf oi	-|---|-|---|---|-|-⌫-|
ketu uoilles po r moilai ssi er	-|-|------|--⌫|--|---⌫---⌫-|
asydolessacr efier	-|-----|----⌫----|
alenu esq uedes	||---⌫---⌫-|--|
quie stmestreetga rde	--|-⌫-|-----|-|--⌫--|
san zde morancete niras	---⌫|--⌫------||-⌫|---|
ethum blementli requerras	-|---⌫------|-|--------|
kei lt ew oi lle	-|-⌫|-⌫|-⌫--⌫--|
b apti ssier	-⌫----⌫----|
etenmonno nsaintefier	-|-|--|--⌫|---------|
etqu iltoi gne duilleetde cresme	-|-|-||--⌫--||----|-|-|-----|
afi ertause in t	---⌫--|-|--⌫--⌫|
sire ce nlidistplacidu s	---|--⌫|-|---|-------⌫|
cennemepuet defe ndre	--|-|-|---|----⌫---|
f ache uostrecommant	-⌫---|-----|------|
tant con dur r aimesen	---|--|---⌫-⌫-|--|-|
mesita nts ireditesmoi	--|---⌫-|-⌫--|----|--|
seuosuo llez	-|--|--⌫---|
quecestsecrei	--|---|-----|
d ie m afame	-⌫-|-⌫|---|
ouie larrai	-|-|-----|
etsea mes filzledirai	-|-||--|---|-|----|
i esusresponttulordir as	-⌫---|------|-|--|---⌫-|
etensem ble o	-|-----⌫--||
toilesmesras	--|--|-----|
alen uesquep orbaptissier	||--⌫-----|-⌫-|---------|
poreulz lauer e t e spurgier	--|---|----|-⌫|-⌫-------|
delamalice et	-|-|-----|-|
delpe chie	--|--⌫---|
decen qu auezsacrefiee	-|--|-|---|--------|
alidoleetfauss eetwain ne	||----|-|-----⌫|-|----⌫-|
quiplusfa itmalquele	--|---|--⌫-|--|-|--|
puis quetu	----⌫--|-|
s erasbaptis ié	-⌫---|------⌫--|
eten mo nnonsa i ntef iee	-|-|--⌫|--|--⌫-⌫----⌫--|
eteslaué en la	-|------|-|-|
seinteon d e	-----|--⌫-⌫|
parqu oiseras de pechie monde	--|--⌫-|----|-|-----|----|
si reuen dras pa rleramoi	-|-----⌫---|--⌫---||--|
et ie m e par irai a	-|-|-⌫|---⌫---||
tewoilenseigni er	-|---|--------⌫-|
quedoizteniretque	--|---|----|-|--|
etdemaintechosegarnir	-|-|-----|----|-----|
qui est en cor	--|--|--⌫--|
demes secrez te	-|--|-----|-|
woil mons trer	---|----⌫---|
etenur aie foi confr emer	-|-|--⌫--|--|-----⌫---|
em presicen sine dist plus	--⌫---|---|-|-|---|---|
si que bien l e	-|--|---|-⌫|
uitplacidus	--|-------|
contremontlai r s enestalé	---------||--⌫||-|--|---|
elcie lsenen treo	-|---⌫||-|--⌫--||
grantclarte	----|-----|
e t placid us	-⌫|------⌫-|
pensisetmorne	-----|-|----|
a sonost elsoulsenretorne	|--|---⌫-|---||-|------|
qu ant il se fu	--⌫--|-|-|-|
etilsesonttouza c oiee	-|-|-|---|---|-⌫-⌫---|
ketouzdormentpar lamaison	-|---|------|--|-|-----|
asa f emme sauision	|-|-⌫---|-|-----|
reconteis s i commeil lauit	------|--⌫-⌫|----|-|-|--|
ettot motamotli a dit	-|--|--||--|-||--|
laf rance da mequ antloi	-|-⌫----|--⌫-|--⌫--||-|
ameruei lless	|------⌫---||
ioiep orladou chor	---|-⌫-|-|---⌫---|
enha ute scriee	-|--⌫-|-⌫-----|
ason s eignor	|--|-⌫-----|
meface bien	-|---|---|
dieu que crestien	---|--|-------|
s eruent etc reent etaoren t	-⌫-----|-|-⌫----|-|-----⌫|
et entou tes man ieresho nor ent	-|-|---⌫--|---⌫----|--⌫---⌫--|
ce est ledieude parreis	-|--|-|---|-|------|
quisapar istasesami s	--||----⌫--||--|---⌫|
qu ilen cro isfupor	-|-|-|---⌫-|-|--|
pornosgar rir	--|--|---⌫--|
dele nferte	-||-⌫-----|
keauion sde l p remier	-|-----⌫|--⌫|-⌫-----|
e tdenostrepre mi eremere	-⌫|-|-----|---⌫--⌫--|---|
par lafoisirequeuosdoi	--|-|--|---|--|--|--|
ierdeuant iorpa rlaa moi	--|-----|--|--⌫--||--|
cemefuuis en m ondormant	-|-|-|--|-|-⌫-|------|
etenn apert me d ist itant	-|--|----|-|-⌫--|----|
i e et nos deuzfix	-⌫|-|--|---|--|
ser ion so	---⌫---⌫||
luimestou z dix	--|--|---⌫|--|
