enla m arche de	-|-|-⌫----|-|
qantaramonz ui tqueclauda sli reneoitsaseignor iepa r	---|------|--⌫|--|------⌫|-|------|-|-------⌫-|--⌫|
forcede romai nssilacoilli	----|-|-----⌫-|-||------|
degu erre .	-|--⌫---||
etcilotenai de lor oi	-|--|-|-|--⌫-|-|-⌫-|
siperdimoutaramo nze nla	-|----|---|-----⌫-|-⌫|-|
guerre q uitropdura .	-----|-⌫-|---|---||
lorsuint a ut erpandragon	---|---||--⌫----------|
quiro ises toit degrant b re tai gnesi de uint	--|--⌫-|--⌫---|-|----|-⌫--⌫---⌫--|-|--⌫---|
seshompa r couantque	--|--|--⌫|-----|--|
illim enastsa gue rre ensi.	-|-|-⌫----|-|---⌫--|---||
ute rpan dragonspassa meratots on po o ir	---⌫----⌫------|----|--|---|-⌫-|--⌫-⌫-|
nou elesque	---⌫---|--|
li seignoraigesde gaule sest oit torne z	-|-----------|-|----||---⌫--|-----⌫|
deuersc lau das	-----|-⌫---⌫--|
enco ntrear amont qui uenoit	----⌫---|--⌫----|--|-----|
en tre luiet uterpandragon.	--⌫--|--|-|------------||
lorscorrurentan duiso rclau dass i	---|--------|--⌫--|--⌫|----⌫--|-⌫|
lodesconfistrent et	-|-------------|-|
lito lirenttotesaterreet orslo	-|--⌫-----|---|-|----|-|--|-|
chaciere nt .	--------⌫-||
et fulaterredetozsens	-|-|-|----|-|--|---|
sioutreementdestru i t e q ue	-|---------|------⌫-⌫-⌫|-⌫-|
onques niremestenforter ecepierr e	-----|||-----|-|------⌫--|-----⌫|
sorautreforsanlacite	--|----|---|-|-|---|
d eb ohorge squi fu gardeede destru ireparlo	-⌫|-⌫------⌫|--|-|-----|-|------⌫--|--|-|
comandementuterpan dr agon porceque i lserecordaque il	----------|-------⌫--⌫---|--|-|--|-⌫|-|------|--|-|
iauo it estez	|---⌫-|----|
apre sc ese nretornaute rpand ragonsam	----⌫|-⌫||-⌫|------|---⌫-----⌫-----|-|
b retaign ela me nore tqantili	-⌫-------⌫|-|--⌫--|-⌫|---|-||
ottant demoré come luiplots is	-|---|------|---|--|---|-⌫||
enlagrant bre taigne.	-|-|----|---⌫-----||
etdeslo rsen auantfu	-|--|--⌫-|-|----|-|
l a menorsbretaignedesouzlor eiaume de logres	-⌫|-----|--------|-----|-|-⌫-----|-|-----|
q uan tli ro isaramonzf u morzet	-⌫---⌫|-|--⌫-|------|-⌫|---|-|
uterpan drago ns et	-------⌫-----⌫-|-|
l a te r rede logresfu anla	-⌫|--⌫-⌫-|-|-----|-|-|-|
mainlo roiar t ur si s ordirent guerres anbretaignela	---|-|--|--⌫-⌫-|-|-⌫-------|------|-|--------|-|
grant en pluseurs	----|-|-------|
guerroierentlor oiartuliplus	-----------|-|-⌫-|---|-|---|
et cefu elcomancem ent d eson	-|-|-|-|--------⌫--|-⌫|--|
regnem entne n auoitencores	------⌫--|-||----|------|
lare ign e g anieureencores ga ires	-|--⌫---⌫|-⌫------|------|--⌫---|
tenuesiotmout	----|-|-|---|
afaire de t otes parz	|----|-|-⌫---|---|
lo rsrepr is tclaud as saguerrequi tantauo ites té	--⌫-|----⌫--⌫|-----⌫-|-|-----|--|---|---⌫-|--⌫--|
ent relaissi ecarilauoit sa	---⌫--------⌫|--|-|----|-|
terre toterecoureesi	----|---|-------|-|
tostcommel i rois	---|----|-⌫|---|
aramo nzfu	-----⌫-|-|
lorsrecomancaaguerroie r loroi	---|--------||--------⌫|-|--|
bandebenoy cporceque alui	--|-|-----⌫|--|-|--||--|
marchissoitet por cequ ehomauoi testéaramont par	----------|-|--|-|--⌫|--|----⌫|----|------|--|
cuiilauoi tsaterreeue perdues i	--|-|----⌫|-|----|--|-----|-⌫|
longuementetquemoutliauoitneu	---------|-|--|---|-|----|--|
ta n t con ilauoit esté	--⌫-⌫|--|-|----|----|
a udesou z.	-⌫|-----⌫||
a ce t ans est oitu enuzde romeunsconses	|-|-⌫--|---⌫--|-⌫---|-|---|--|-----|
degrant r enonpoinces	-|----|-⌫---|------|
ant hoi ne ssiai d a	---⌫---⌫--⌫|-|--⌫-⌫|
ac laudasetli baillatotlo	|-⌫-----|-|-|-----|--|-|
pooird egauleet des contre esqui	----|-⌫|----|-|--|------⌫-|--|
desou zestoie ntsiconreerent silo roiban	-----⌫|------⌫-|-|---------|-|-|--|--|
li tol irent	-|---⌫----|
sacitedebenoicet	-|---|-|-----|-|
totesautreterre forsun	---||----|----|---|-|
suen chastel qu iauoitnontrebe siest oitel	---|------|--⌫|----|--|----|-|---⌫--|-|
chief desat erreetest oitsiforz	----|-|-|-⌫---|-|---⌫--|-|---|
queriennule	--|---|---|
autan sde lorsfors	-|---⌫|-|---|---|
afame rotrai son.	-----⌫||----⌫--||
maisu n iorpri strentsia n emi	---|-⌫|--|---⌫-----|-|-⌫-⌫--|
un su enchastelaforce	-|--⌫-|------||----|
q uiestoit amainsde trois liuespre sde	-⌫-|-----||----|-|----|----|---⌫|-|
ce luietill	--⌫--|-|-||
aloit secorreetse uoloit metre ded a nz.	----|------|-|-|-----|----|---⌫-⌫-||
etqan t il uitqueci lde fors	-|---⌫|-|--|--|--⌫|--⌫---|
estoient iadedanza forc esi	-------|-|-----||----⌫|-|
se f erien	-|-⌫--|-|
il etsicheualierdon tilauoitmou tdepreuz	-|-|-|--------|---⌫|-|----|---⌫|-|----|
et ilmees mesauoit este z r e n omezde	-|-|----⌫--|----|----⌫|-⌫-⌫-⌫---|-|
proe sce merueilleuse	----⌫--|-----------|
ocistr ent mo utdecesd el	------⌫--|--⌫-|-|--|-⌫||
tantles firent a	---|--|-----||
el santandrequetoz	--⌫|-------|--|--|
li asauzremest etcorruttot e	-|----|-----|-|-----|---⌫|
l ozp or a ncombrerlo roiban etses	|-|-⌫-|-⌫-------|-|--|--|-|--|
g e nztotes.	-⌫-⌫-|----||
etles mistrent a lauoiemaistrop	-|--|-------||-|---|---|---|
iorentdemore ́	|----|------⌫|
carpoinces	--|------|
anthoi nes a totessesgenzquide uers	------⌫--||----|--|---|--|--⌫---|
laforest s	-|-----||
es toienttraitloruintaudeuan t	--⌫-----|----|--|---|-|-----⌫|
siot te l faisd e g e nzqu elir ois	-|-|--⌫|---|-⌫|-⌫-⌫-|--⌫|-|-⌫--|
b ansn elisien nelo	-⌫--|-⌫|-|---|-|-|
porentsoffrir	-----|------|
si fur en ttuitsic ompaignonquemort	-|---⌫--⌫|---|-|-⌫--------|--|---|
que pr is forsseul ement	--|--⌫-|---|----⌫----|
maisdetantse uanch alirois bans qu il	---|-|---|-|-----⌫|-|---|---|-|-|
lorocist po inconanth oine lor seignor	--|----|--⌫----|----⌫---|--|------|
e tfi stt antd armespuisqu ilne fu	-⌫|--⌫-|-⌫--||----|-----|-|-|-|
quesoiquar zquetoz les	--|--|----⌫|--|--|--|
romainsmistenuoieet leschaca	------|---|-|---|-|--|----|
assez tan t quecla ud asiu int poignanttotad esro id euant	----|---⌫-⌫--|---⌫--⌫-||-⌫--|-------|--||-⌫----⌫|-⌫----|
lesautres.	--|-----||
q antlir oisbans lou itsidistune	-⌫--|-|-⌫--|---|-|-⌫-|-|---|--|
parol equi	-----⌫|--|
bienapartint ah o me desherité.	---|-------||-⌫-⌫-|---------||
dexdi stil geuoici monan emimortel .	--|--⌫-|-|-|--|-|--|--⌫--|-----||
siredexquih o norsmauez donees	---|--|--|-⌫-⌫---||---|-----|
otroiez moique gel	------|--|--|-||
etancoismu ireg eauoc l uibi axsire dex	-|-----|--⌫--|-⌫|---|-⌫-|--⌫-|---|--|
quil enautuiscar lors	-|-|-|--|--|--|---|
sero ie nttotesme sdolorsasoagiees	----⌫--⌫-|----|--⌫|-----|--------|
ata nt i osterent ansenblesilabatieli rois	---⌫-|-⌫-------|-------|-||-----|-|---|
banse t fu m outli ez car	---|-⌫|-|-⌫--|--⌫-|--|
biencuid oitque saproiere fust	---|----⌫--|--|-|------|---|
s ifer ritan t des esperons qu il uinta	-⌫|---⌫-|---⌫|--|-------|-|-|---||
quartiorfu p rislich astiax	----|--|-|-⌫--|-|--⌫-----|
oc laudas seoit	|-⌫-----|----|
etlors u intausoirlirois bansdedanz	-|---|-⌫--|-|---|-|---|---|-----|
ilsotqu ecil n est oit	-|--|--⌫|--||---⌫--|
miemorzsenotsigrant	--|---||-|-|-|----|
q eonquespuisfors	-⌫|-----|---|---|
fu puis aparissant .	-|---|---------||
claudassistdeuant	------|---|-----|
tre be mout	---⌫-|---|
longuement.	---------||
etliroisb ansauoitpluseurs foiz	-|-|---|-⌫--|----|-------|---|
enuoiépor	------|--|
sec orsauroi	---⌫--|-|--|
artumais il	---|---|-|
a uoit tanta fairedemaintespar z quil	-⌫---|---||----|-|------|---⌫|-|-|
nesepooitpaslegieremen tent r emet redautruibesoigne.	-|-|----|--|----------⌫|---⌫-⌫----⌫-||-----|-------||
etliroisbohorzsesfrer esqu imo ut li	-|-|---|-----|--|----⌫-|--⌫|--⌫-|-|
auoit aidiégisoitdomaudela	----|-----|-----|-|--|-|-|
mort etcha scuniorli	---|-|---⌫---|--|-|
forrierparmisaterre	------|----|-|----|
carelemar ch is soitala	--|--|---⌫--⌫--⌫---||-|
terre de ben oycpardeuer s trebe.	----|-|---⌫--|--|-----⌫|----||
qantclaudasu i t que	---|------|-⌫-⌫|--|
il n epa nroit m ielo chastell egierem entsipristu n	-|-⌫|--⌫----|-⌫-|-|------|-⌫-------⌫--|-|----|-⌫|
p arlementa u roi banet d onerent	-⌫-------|-⌫|--|--|-|-⌫------|
seurteliuns	-----|-|--|
etli aut res	-|-|---⌫--|
de saufaleret des aufuenir .	-|---|---|-|-|-⌫--|----||
bansuint a uparlement	---|---|-⌫|--------|
so itierzsanzplussifusessenes cha usliu ns	--⌫|----|---|---|-|-|--|-----⌫---⌫-|-|-⌫-|
des deusetunssuensche u a liers	--|---|-|--|----|---⌫-⌫-⌫----|
a u ocques.	-⌫-⌫-----||
etau tresinsi	-|--⌫------||
uintclaudasso i tierzsa nzplus.	---|------|--⌫|----|--⌫-|---||
parlem enztresde uantla porte do cha st el.	------⌫--|---|--⌫---|-|----|-|---⌫--⌫-||
lichastiausse oitenhautet	-|--------|--⌫--|-|---|-|
ilsesto it desozlogie z	-||----⌫-|----|-----⌫|
moutroisteset mou tani eus a	---|------|-|---⌫|---⌫--||
q ant cl audasuitloroibansi se	-⌫--|--⌫----|--|-|--|--|-|-|
plaintde poinconan thoinepremierementqu il liauoit	-----|-|------|--⌫-----|-----------|-|-|-|----|
etcilseplaint	-|--|-|-----|
desaterreque il	-|-|----|--|-|
liauoit tolue sanz	-|----|----|---|
ge nel a uos	-|-|-⌫|--|
to limie faitclaudas porchoseque	--⌫-|--|---|------|--|----|--|
uos m aiez faitene porhaine quei	--||---|----|-|--|----|--||
mais po rloroi artu	---|--⌫|-|--|---|
queuosteneza	--|--|----||
seignor cars es p eresuterpandragonme	------|--|-⌫-|-⌫---|------------|-|
mais seuos uoliez ge uos feroiebiau plait.	---|-|--|-----|-|--|-----|---|----||
saisisiezmoi	--------|--|
decestch as t elet g e lu osrandraimaint enant par	-|---|--⌫--⌫-⌫-|-|-⌫||-⌫-|------|-----⌫----|--|
telc ouant	--|-⌫----|
que tan tost d eu a ndroi z	--|---⌫---|-⌫--⌫-⌫-----⌫|
ta nr o iz de moi	--⌫--⌫-⌫-|-|--|
toteuostre terre.	---|-----|----||
ce nefera igemiefaitl iroisb anscar	-|-|----⌫|-|--|---|-⌫|---|-⌫--|--|
geme pariureroie enuers loroi artu	-|-|----------|-----|-|--|---|
cu ih uemgesui li ges .	--⌫|-⌫--|-|--|--⌫--||
diraidonquesfaitclauda s queu os feroiz .	----|------|---|------⌫|--|-⌫-|-----||
anuoiezau roiartuque il	------|-|--|---|--|-|
uossecor re dedanzq uaranteiorz et	--|-----⌫-|-----|-⌫------|---|-|
sededanzceltermineneuosase corr eu	-|-----|--|------|-|--||--⌫----⌫-|
ra ndezmoi	--⌫---|--|
loc hasteletdeu enezmes hom	-|-⌫-----|-|---⌫---|--|--|
d etote uostreterre et	-⌫|---|-----|----|-|
gel a uo sacroistraderiches fie z .	-|-⌫|--⌫|--------|-|-----|---⌫||
ditquils en conseilleraet	--|-|-||-|----------|-|
lomatinlis auraa direo man derl oquel	-|----|-|-⌫---||---||---⌫--|-⌫|---|
iluoudra fa ire olo	-|-----|--⌫--||-|
randreoulocontreten ir.	-----|-|-|---------⌫-||
atant sanpartili roisb ans	----||-|----|-|---|-⌫--|
etsesseneschaxfu re mesun	-|--|--------|-|--⌫--|-|
poari e ressi parla claudas	-|---⌫-⌫--|-|----|------|
se neschaxfai t	--⌫------|---⌫|
i lgesaibienque cist	-⌫|-|--|---|--|---|
chait isest	-----⌫-|--|
malaureuxca ria	--------|--⌫|-|
delroi artusecors naur a s iperd ra	--|--|---|-----||---⌫|-⌫|----⌫-|
t otparfoleatan t e.	-⌫-|--|---|----⌫-⌫||
etmoi poi s emoutq antuosie stes	-|--|---⌫-⌫|---|-⌫--|--|--⌫---|
antortelhomed ontbiensn euospuetuenir	----|--|---|-⌫--|----|-⌫|--|---|----|
aioidirebiens deuos	-|-|---|----|-|--|
etporceuo sl oero i egequeuos en	-|--|-|--⌫|-⌫----⌫-⌫|-|--|--|-|
ue nissiez amoi.	--⌫------||--||
et sauezq ueiefe rai deuos	-|----|-⌫-|-|--⌫--|-|--|
geuos afierailei au ment	-|--|------|---⌫--⌫---|
uos d onrai cestregne	--|-⌫----|---|----|
s i tost com	-⌫|---|--|
ge laurai conquis et to zser oizsires d e	-||----|------|-|--⌫|---⌫--|----|-⌫|
u ospr e ignaforcecepe seramo i	-⌫-|--⌫-⌫--||----|-|--⌫---|--⌫|
qu antil co uan raquegeuosfac e mal	--⌫--|-|--⌫---⌫-|--|-|--|---⌫|--|
asse z car	----⌫|--|
iurésorsainzqueia	----|--|----|--|-|
nus n iertaf orce	--||---||-⌫---|
pri sdeceste guerre quilne	---⌫|-|----|-----|-|-|-|
o uem prisonezsanz issi r forsia maisa nulior	-⌫|--⌫-------|---|----⌫|---|--⌫---||--|--|
parlée nsemble que	-----|-⌫------|--|
li seneschax l i	-|--------|-⌫|
fianceaaid ierdesonpooir s anz lo	-----||---⌫--|-|--|----|-⌫--|-|
c orssonseignort r air	-⌫--|--|------|-⌫-⌫--|
etclaudaslifiancemain tenan tque	-|------|-|-----|----⌫-----⌫|--|
comil au roittreb e queillira ndroittote la	--|-|--⌫---|----⌫|--|-|-|--⌫-----|---|-|
t erreet andeuandroitses	-⌫---|-|-|---------|--|
ata ntdepartent s i	---⌫-|--------|-⌫|
senretorneclaudasase s genz et li	|-|------|------||--⌫|---|-|-|
seneschax loroi ba nreuientatrebeet	--------|-|--|--⌫|------||----|-|
d itauroiba nq ue claudasamou tparléa	-⌫-|-|--|--⌫|-⌫-|------||---⌫|-----||
lu ietq ue tropuoldr oitsamorauo ir.	--⌫|-|-⌫-|---|-----⌫--||---|---⌫-||
et qu e ma nloez uos	-|--⌫||-⌫|---|--|
f aitli roisbans	-⌫--|-|---|---|
l o miauzquege uoi e siest	-⌫|----|--|-|---⌫|-|--|
queuosmeesme s ailliezcrierm er ci auroi	--|--|------⌫|------|----|-⌫--⌫-|-|--|
bien se r agardéiusqa uostrereuenuece	---|--⌫-⌫|-----|---||-----|------|-|
queuosauez	--|--|---|
lors uientli	---|----|-|
rois a lareine sili contecomentc laudas li	---||-|----|-|-|----|-----|-⌫-----|-|
a uoit requisare n dres o n chastel .	-⌫---|-----||--⌫-⌫--|-⌫-⌫|------||
etme uiautf ai tiliurer	-|-|----|-⌫--⌫|-|----|
queta nt ost comillau ra m e	--|--⌫--⌫--|--|-||--⌫-|-⌫|
r euestiraetde	-⌫-------|-|-|
cestui etdetot e lautret erre	-----|-|-|---⌫||----|-⌫---|
mai s gesai ces tuia	---⌫|-|--|---⌫--||
si desl eia lque seilauoit	-|----⌫---⌫|--|-|-|----|
orescestchast el ilneme	---|---|-----⌫-|-|-|-|
randroitiamai snecestui ne	-------|-----⌫|-|-----|-|
d e lautr eterrepoi nt.	-⌫||----⌫|----|---⌫-||
mais gel a ndoirespondre demain q u eg	---|-||-⌫|--|--------|-----|-⌫-⌫||
en fe rai carilmerequiertqu e	-|--⌫--|--|-|-|-------|--⌫|
ge e nuoiamon seig no rloroiartu et	-|-⌫---||--|----⌫--⌫|-|--|---|-|
il medonra	-|-|----|
triuesdecestc ha stel desiquea quara nte iorzetse	-----|-|---|-⌫--⌫---|------||-----⌫--|---|-|-|
iusq a quaranteiorz messireslirois	---||-------|---|--|----|-|---|
etseilnemesecort ge loreue stira de	-|-|-|-|-|-----|-|-|----⌫----|-|
ces t c ha stel	---⌫|-⌫--⌫---|
lareine qui mout crientlodeseri tementl eloe	-|----|--|---|-----|-|------⌫-----|-⌫|--|
que issilofacecar	--|---|-|---|--|
quantliroisartus uos ser afailliz quiu ousai d era	----|-|---|----|--|---⌫|------|--|-⌫--|--⌫-⌫--|
damef ait ilpuisqueuos	---|-⌫--|-|------|--|
u osiacordezgelo	-⌫-||------|-|-|
etsaue zuosque gea ienpensé a	-|----⌫|--|--|-|-⌫|-------||
ge meesmes iraiamonseignorloroi	-|------|---||--|------|-|--|
e ts il icri eraimerci	-⌫|-⌫|-⌫|---⌫---|----|
deserite ment	--------⌫---|
etilen auragreigno rpitiequese ge	-|-|-|---|-------⌫|----|--|-|-|
n iestoiecar i l	||-----|--|-⌫|
meuer ra e npr esantcar	-|---⌫-|-⌫|--⌫----|--|
segeienueoie autre messagerien neualdroitcar	-|-||------|----|------|---|-|-------|--|
ests ibie ncreuz	--|-⌫|---⌫|----|
demales n o uel escomme	-|----|-⌫-⌫---⌫-|----|
cil anseignesapa risanz.	--|--------|---⌫-----||
oruosapar eil lezcar	-|--|----⌫---⌫--|--|
uosne uenroiz au ecmoiet	--|-|------|--⌫-|--|-|
nma nronsdenu lesge nzquemon f ilet un	|--⌫----|-|--⌫--|--⌫-|--|--|-⌫-|-|-|
seulesc uierqui	---|---⌫---|--|
nosferace queilnosseramestiers c ar	--|---|-|--|-|--|---|-------|-⌫-|
g e uoilquegranzpitiezpraigne	-⌫|---|--|----|-----|------|
monseignorlo	--|------|-|
magrant dolor	-|----|----|
etsachiezquenosmouronsencorannuitetgar dez	-|------|--|--|------|----|-----|-|---⌫--|
queuospreignieztot	--|--|--------|--|
por roizcaianztrou eretsau oir et deioiax	---⌫---|-----|----⌫-|-|---⌫--|-|-|----|
etdeuaisselementee tsi mete z	-|-|------------|-⌫|-|----⌫|
tota nmesgranzcoffr es	--|-⌫|--|----|-----⌫-|
cargenesa ique xchose esta au eni rde	--|-|-|--⌫|---⌫|----|--||--⌫---⌫|-|
monc hastel	--|-⌫-----|
ainzquegereueignequep or	------|-|-------|--|-⌫-|
nuleriengene	---|---|-|-|
u ouroiequeuosremansisiezenauenture nemie	-⌫-----|--|--|----------|-|-------|-|--|
po rceque genai miepaorde	--⌫|-|--|-||-|--|---|-|
ce stc ha stelquilsoit ia	--⌫-|-⌫--⌫---|-|-|---|-|
pris a forcemaisnusne	---||----|---|--|-|
se puetgar derdetraison.	-|---|---⌫--|-|------||
ensicommeliroislade uise ́	---|----|-|---|||--⌫----⌫|
s aparoill elareine	|--------⌫|-|----|
e tqan t ele aso noi rre ap arellié	-⌫|---⌫|--||--⌫|--⌫--|--⌫-------|
elelidistque tote estpr este.	--|-|---|--|---|--|--⌫---||
lorseslit li	---|----|-|
roisdetoz ses	---|-|--|--|
uallezcelu i oil pluss efioitetlidi t	-----|----⌫||-|---|-⌫|----|-|-|--⌫|
queilgartque	--|-|---|--|
riensnefa illeason	----|-|--⌫---||--|
ronci ncar ch euauchie rlo couen draenco r anuit	-----⌫|--|--⌫--------⌫|-|-----⌫--|----⌫|----|
l iu allez	-⌫|-⌫----|
amamout son seign orsifistmout tost	--|---|--|-----⌫-|-|---|---|---|
son comandementeti lauoitroncin grante t	--|----------|-|-⌫|----|-----|----|-⌫|
tost alantetbie naparei lliédetotes chose s.	---|----|-|---⌫|------⌫----|-|----|-----⌫||
etlorsuie nt liroisa	-|---|---⌫-|-|---||
sonseneschalsi l id esc ueureson	--|--------|-|-⌫|-⌫---⌫----|--|
co r a ge c omen t il	--⌫-⌫-⌫-|-⌫----⌫|-|
uiau ta la cortloroi artua leret	----⌫||-|---|-|--|---|-⌫--|-|
plus enuosqueannulhom e	---|-|--|--|-|--|---⌫|
car moutu osai to ziorzamési	--|---|-⌫-|-|--⌫|---|---|-|
uoscoman tmonc has tel	--|-----⌫|--|-⌫---⌫--|
agar derautres i come	|---⌫--|------⌫|---|
locuerde monue ntr e.	-|---|-|--|--⌫---⌫||
etdemainme diro i zau roiclaudas	-|-----|-|----⌫-⌫|-|--|------|
queg e a ianuoiéamonseignorlo	--|-⌫|-⌫|------||--|------|-|
roiartuetli fer oiz tel	--|---|-|-|---⌫--|--|
seurte coniluoudra q ue segene	-----|--|-|-----|-⌫-|-|-|-|
suiparm on seignor	--|--|-⌫-|------|
loroiartu se corruz dedanz	-|--|---|--⌫-----|-----|
quarante iorzdelchastel	-------|---|--|------|
lo reuestir aias on plaisir.	-|--------⌫-||-⌫-|------||
maisgardezqu eilnesacheia	---|-----|--⌫|-|-|----|-|
quegesoieh ors	--|-|---|-⌫--|
dec aianz meuzcarpetitpri seroitpu is	-|-⌫----|---|--|----|---⌫-----|--⌫-|
l oten ementdel	-⌫|---⌫----|--|
chastelque geseroiehors.	------|--|-|-----|---||
si refaitlitraitesn	--⌫-|---|-|------||
auez gardezcar	---|-----|--|
gea npens erai	-|-⌫|----⌫---|
moutbiencelenuitsecouchali	---|---|---|---|-|-----|-|
r ois auquesp ar	-⌫--|-----|-⌫-|
tanscarle s	---|--|--⌫|
nuiz e st oientco rtes.	---|-⌫--⌫----|--⌫---||
licontesla	-|-----|-|
nuit delamiaoustaunuenredia	---|-|-|-|----||-|------||
li roi s fueneffroide lueageq ueil	-|---⌫|-|-|-----|--⌫|----|-⌫-|-|
au oit a fairecar	--⌫--||----|--|
mout liesto i t s or lo col	---|-|----⌫-⌫|-⌫-|-|--|
sisel ieue b ientrois liues ainz loior	-|-|-⌫---|-⌫--|----|----|---|-|--|
etqantlesseles f urent mises ettotat orné si	-|---|--|----|-⌫----|----|-|--|--⌫----|-|
commanda a	-------||
de usons enes chal	--⌫|--|-⌫----⌫---|
ettot eslesautres g e nz .	-|---⌫-|--|-----|-⌫-⌫-||
et lors s e n is t	-|---||-⌫|--⌫|
liroispa runp etitponceldecloiesqu i	-|---|--⌫|-|-⌫---|-----|-|-----|--⌫|
estoitsorlapet iteriui ere quidesou z lech astel corroit	-----|--|-|---⌫--|----⌫--|--|-----⌫|-|--⌫----|------|
neli chast iaxn	-|-|-----⌫--||
estoitasisque d une part	-----|---|--||--|---|
etsiestoit li si egeslopl us det rois arc h iees	-|-|-----|-|--⌫---|-|--⌫-|-|-⌫---|---⌫-⌫---|
loign laoil estoit	----|-||-|-----|
p l us prescarpardeuers lotert reiauoitet	-⌫-⌫-|---|--|--|-----|-|----⌫-||----|-|
monzetuax et mo ut male sauenuesque	---|-|--|-|--⌫-|----⌫|------|--|
parlariuier e del autrepartnenules	--|-|------⌫|-||----|---|-|----|
genzseoircarli marelz i estoitgr anz etparfonz	---|----|--|-|-----||-----|--⌫--|-|------|
ne ilniauoitdetotesuoiesque	-|-|||----|-|----|----|--|
un epetitechaucieees troitequidu roitdelonc	--⌫|-----|-------|--⌫-----|--|--⌫---|-|---|
plusde deusbo en esliues .	---|-|---|--⌫--⌫-|----||
par celecha uciees anuali	--|---|---⌫----||-|-|-|
anmaines af amesor unp alefroigr antet	-|----|-⌫|-⌫--|--|-|-⌫------|--⌫--|-|
b eletanblant soefet	-⌫-|-|------|---|-|
un sescuierspreuzet degran t	--⌫|-------|----|-|-|----⌫|
seruis equilanfantenportoit	------⌫|--||-----|-|------|
deuantluisorungrant ron cinenun	-----|--|--|-|----|---⌫--|-|-|
brecu el .	-----⌫-||
li rois c heu au cho it un palef r oi quebie nauoitesp roué	-|---|-⌫---⌫--⌫---⌫-|-|-----⌫-⌫-|--|---⌫|----|---⌫----|
