#META#TextUR IAlexisPQ	-----|------⌫|-------|
#M ETA#DEAFhttp//www.deaf-page.de /fr/bi bl/bib99a.php#AlexisP	--⌫---|---|----------------------⌫------⌫--------------------|
#META# FEW	-----|--|
#META#ARLIMAhttps/ /www.arli ma.net /no/114	-----|-----|------⌫---------⌫------⌫------|
# META#Au tho r	-⌫----|--⌫---⌫|
#META#Auth orB orn	-----|----⌫---⌫--|
#META#AuthorB ornAmb	-----|-------⌫-----|
# META# Au t horDied	-⌫----|--⌫-⌫------|
#META# AuthorDiedAm b	-----|------------⌫|
#META#Aut h orF l1	-----|---⌫-⌫---⌫-|
#META #A u thorFl2	-----⌫|-⌫-⌫------|
# M ETA#TextTitleLa uie	-⌫-⌫---|--------|-|--|
saintA lexi s	----|-⌫----⌫|
Duuil pechié duc ors car tropia	-|--|------|-|-⌫--|--|---|||
Carla s ainteEscri turesi nousd itet tesmoigne	--|-|-⌫----|-----⌫---|-|---|-⌫-|-|--------|
aper sonnepourtan tq uelle seioigne	|---⌫----|---|---⌫|-⌫|---|-|-----|
Aupechié del uxureque Diablenenpoigne	-|------|-|-⌫----|--|-----||-------|
Ded ensle puisd	---⌫--|-|---||
enfer.Fosest qu ine lressoigne.	-----|--|--|--⌫|--⌫|---------|
SaintAlexisainsi	----|-----|----|
la pucele chastie	-|-----|------|
Iusquà tantquelagueteduch ast elfust	----|-|---|--|-|----|-|--⌫---⌫-|---|
c o uchie.	-⌫-⌫-----|
L epuce lelouïmezneliplezoi tm ie.	-⌫|----⌫-||---|--|-|-|------⌫|-⌫--|
Alexis so uspiroitet	-----|--⌫-------|-|
lidis tDouce	-|---⌫|----|
Carme montrez	--|-|------|
lanel dontu ous aiespousée.	|---|---|-⌫--|-|---------|
Ce l lee n ploura ntli baile et	--⌫-⌫-|-⌫|------⌫-|-|----|-|
iltret lorsse spée	-|---|---||-⌫----|
Delanelfist d eus parsl uneen	-||---|---|-⌫--|---||--|-|
ap reze ntée	|-⌫----⌫----|
A lagentil puce lemezl	|-|-----|----⌫-|--||
autr eabiengard ée	----⌫||---|----⌫--|
Puis lidist Douceseurgardez	---|-|---|----|---|-----|
De lanel. Dieuuousueulle deffend redepe chié.	-||----|---|---|-----|-------⌫-|-|--⌫-----|
Ene ssilueulallerpour la	-|-⌫---|---|----|---|-|
D ieu amitié.	-⌫--|-------|
Quantcele lentendisili	----|---||------|-|-|
chei ̈aupié	----⌫|-|---|
Pageu01P 352	--------⌫--|
Etlidist Chier s	-|-|---|-----⌫|
amist antestezbiau s et dous	---|-⌫--|----|----⌫|-|---|
Quantmau ez espousée pourcoyde partonnous	----||--⌫-|--------|---|--|--⌫-----|---|
Ilserareprouéanozamis tre stous.	-|---|-------||--|---|---⌫-----|
AlexisrespondiB el e suersouf rez uo us	-----|-------|-⌫--⌫|---|----⌫--|--⌫-|
Etd u delitchar nel ostez uostre p en sée.	-|-⌫|----|----⌫--|----|-----|-⌫--⌫----|
La susserauost re ameessains	-|--|---|----⌫-|--|-|----|
cieu xcouronnée .	----⌫|----------⌫|
Enessil ueul al le renestrangecontrée.	-|----|---|--⌫--⌫|-|-------|--------|
Quantel lel entendia te rre chiet	----|--⌫-||------||--⌫--|----|
Al exislaleuapuisli adistainsi	--⌫---|-|---|---|-||---|----|
Suerles sesmenaller chascun estendo r mi .	---|---⌫--||-|----|------|--|----⌫-⌫--⌫|
Lacourtoisepucel l e enplou ra nt re spondi	-|--------|-----⌫-⌫|-|----⌫--⌫-|--⌫-----|
AmisalezaD ieupuisq ue	---|---||-⌫--|---|-⌫-|
ilestainsi	-|--|----|
Mezgrant pech iéf er ezcardou lour tropamére	--|----|----⌫--|-⌫--⌫-|--|---⌫---|---|-----|
Menront demainmatin	------|-----|----|
uospére etuotremére.	--|----|-|----|-----|
L ase la ioiedi ertourr aag ra nt	-⌫--|-|---||-⌫-|-----⌫||-⌫--⌫-|
homs respondi tou tba setauoisclére	---|-------|---⌫|--⌫--||---|-----|
nenpuis mezDieuuous	|-|---|--|---|---|
ueu lle garder.	---⌫--|------|
Pageu0 1P353	------⌫----|
S ireditla pucellecar melessi ezaller	-⌫--|--|-|------|--|-|-----⌫-|----|
S i luousplest auecuous u oura ymon	|-⌫|---|----|---|---|-⌫----⌫|--|
q uier auous charne lme nt adezer.	-⌫---||---|------⌫---⌫-|------|
Tondreferay mez tressessires il uo uses t bon	-----|----|--|------|---||-|--⌫-|--⌫|--|
Pouruo strea mour	---|--⌫---|-⌫---|
prenray le sche rpeet	------||-⌫----⌫--|-|
u osdras u o uslauerayquant enserasesson.	-⌫-|---|-⌫-⌫-|------|----|-|---|------|
Alexi sre sp ondidouceme nta basson	-----⌫|--⌫--⌫---|-------⌫-||--|--|
Masueruous	-|---|---|
demour rezpour	------⌫--|---|
uos tre o nne urga rder	---⌫--|-⌫---⌫-|--⌫---|
Ie uo rai lapenance po u r nousdeus endurer.	-|--⌫--|-|------|--⌫-⌫|---|---|-------|
Ihesu Cristuousdointgracedeuost re	----|----|---|----|----|-|----⌫-|
ame sa u uer.	--|--⌫-⌫---|
Lorsisydela	---|--|-|-|
iuoutplusdemourer.	|---|---|--------|
Endr oitlezcoschantansa s on	-|--⌫--|--|--|-------||-⌫-|
ordr eguerpie .	----⌫|-------⌫|
Son chi e rpére	--|---⌫-⌫|----|
etsamérenelesa uoient	-|-|----|-|-|--⌫-----|
Bienc uidoientqu il	---|-⌫-------|-|-|
fustcou chiés auecs	---|---⌫-----|---||
Mez ta nt erra l enfantenicele nuitie	--|--⌫-|---||-----|-|----|-----|
mer uint hast iuementcourant.	--|---|----⌫------|-------|
Ilt roua une nef	-|-⌫---|--|--|
conaloitaprestant	|-|----|--------|
Pageu0 1P354	------⌫----|
marchiéetpoiatoutauant.	-------|-|---|---|-----|
Quant lanefd esri uamouto utlecuerioiant	----|-|--|-⌫----⌫-|---|-⌫-|-|---|-----|
de zir au oitdesl ongnierla co n trée.	--⌫--|--⌫--||---⌫------|-|--⌫-⌫-----|
Quantseui nt l andem ainque laubefucre ue ́e	----|-|--⌫-||-----⌫--|--||---|-|---⌫--⌫-|
Lors laméreAlexis	---|-|----|-----|
estenlachambr e	--|-|-|------⌫|
Lapucele trouaquimout	-|-----|----|--|---|
fuesplourée	-|---------|
outgrantdestraiceet mout	--|----|--------|-|---|
se re pen toit	-|--⌫---⌫---|
Cauec quezson mari	|----⌫---|--|---|
all éenen	---⌫--||-|
La damedemanda	-|---|------|
douceme ntquelleauo it	-------⌫-|-----|---⌫-|
Lorsli distenplourantcomment	---|-|---|-|-------|------|
la c h ose	-|-⌫-⌫--|
all o it .	---⌫-⌫--⌫|
Qu antladame	--⌫--|-|---|
ent endi que sonenfantsen ua	---⌫---|--|--|-----||-|-|
Au cuerout teldest raic e qu	-|---|--|--|----⌫----⌫|-|
a terre se pama	|----|-|---|
Et lagenti lpuceleunsigrantcr igeta	-|-|-----⌫|-----|-|-|----|--⌫|---|
Que le compteloy	--|-|-----||-|
pl ustostquilpoutuintla.	--⌫-|---|-|-|---|---|--|
Dugrantdeul quiltrouafuforment	-|----|---|-|-|----|-|------|
esba hi s.	----⌫--⌫-|
Lap ucelelidist Chiersi reuos trefis	-|-⌫----|-|---|----|--⌫-|---⌫--|--|
Quimauoitesposéesest de moy departis	--||----|-------||--|-|--|-------|
Pou r Di euseru ir s	---⌫|--⌫-|----⌫-||
en uaen estr ange païs.	-|-|-|----⌫---|-----|
Ilemporte une pieche delan e lde	-|------|--|-----|-||--⌫-⌫|-|
Dontie fu z espou s ée	---|-|--⌫|-----⌫-⌫--|
lautre p armafoy.	|----|-⌫-|-|---|
Pageu01P355	----------|
Ia mezho mme q ui uiuenabi teraa	--⌫--|--⌫--|-⌫-|---||---⌫---||
Sener euientarr ier e.Lepé re	-|-|-⌫-----|---⌫---⌫---|---⌫-|
otgra ndennoy.	-|---⌫-|-----|
Laméredaut repartsestenhautesc riée	-|----||---⌫-|---||--|-|---|---⌫----|
Héc hierfi sAlexis dontt euinttelpensée	--|-⌫---|--⌫|-----|---|-⌫|---|--|------|
Qu aslessié pe ́re et	-|-|------|--⌫--|-|
méreettafameespousé e	----|-|-|---|--------⌫|
che rtét auo iebel eetbonnedonne ́e	---⌫---||---⌫-|---⌫|-|----|-----⌫-|
Biaufiexi ai sigrant duel quebienmo u r ir	---|---||-|-|----|---|--|---|--⌫-⌫-⌫-|
Carentoi estoittou tmons ou lase tmaioie	--|-|--|-----|---⌫|--|-⌫--⌫--|-⌫|-|---|
I estoie moutioieuss e quantie te	|-----|---|-------⌫|----|-|-|
regardoie.	---------|
Lorsparlalapucele etd ist Damei otroi e	---|----|-|-----|-|-⌫--|---||-----⌫|
Autrezdous IhesuCri stqueiame z	-|---|---|----|---⌫-|--|----⌫|
Narayahommenul soulasne compagnie	|---||----|--|-----|-|--------|
Ain s uiuréchasteme ntquantu ofismalessie.	---⌫|-----|--------⌫-|----|-⌫|--|||------|
Qu antlecom teloyestroitla embrac hie	--⌫--|-|---⌫-||-|------|||------⌫--|
Etlia dit ainsi Suer puisque uousu oulez	-|-||--|----|---|---|--|---|-⌫----|
Por te ra mon enf antsi loia usamitez	---⌫--⌫||--|---⌫--|-|----⌫-|-----|
I amez amonuiuantde	-⌫---||--|-----|-|
m oyne part irez.	-⌫-|-|----⌫----|
Ilserasi Dieupletencore	-|---|-|---|---|-----|
E tpourl amourdel i	-⌫|---||----|-|-⌫|
uousfera y g arantie .	---|----⌫|-⌫-------⌫|
Pageu01P356	----------|
Lapuceleala	-|-----||-|
dam epar laia mbe embracie	---⌫|--|-|--⌫--|-------|
Enp lour ant li adi t Quantuo fiexm a	-|-⌫----⌫--|-||--⌫|----|-|---|||
PourDieu r eten ezmoyen	---|---|-⌫----⌫-|--|-|
uostrecompagnie.	-----|---------|
L a d amel ezgardaest roitla	-⌫|-⌫--||------|---⌫---|||
aco llée.	---⌫-----|
La grantd oulourque	-|----|-⌫-----|--|
firentne peu tes trecontée.	-----|-|---⌫|--⌫--|-------|
La chambrequ	-|------|-|
agrantio ie	|----|--⌫-|
Futendueleten ploursceiourd escourt inée.	--|-|---|-|-|-----|-|---|-⌫-------⌫-----|
Lor spristEuphe miensse smes agierserra nt	---⌫|----|-----⌫----|--⌫|---⌫-----|----⌫-|
Pardiu ersescontréezfistquérir	--|---⌫----|--------|---|------|
sonenfant.	--|------|
— D Alexisuousuoudrayparlerdore enauant	||-----|---|------|-----||--|-|----|
Q uiestoite n	-⌫-|-----|-⌫|
la nefauecma intmar cheant.	-|--|---|--⌫--|---⌫------|
Droita une c hi técuidiérent	----||--|-⌫--⌫--|----------|
ConapeleLal i ce q uisiet desuslamer	|-|----|---⌫-⌫-|-⌫-|---|----|-|--|
Mezun sigrant oraige co me ncha a	--|-|-|----|-----|--⌫--⌫---||
Q uep lus de	-⌫-|-⌫--|-|
trois censli euezlez fist	----|---|--⌫---|--|---|
ensu sal er.	-|--⌫|--⌫--|
L ezm estrezdela neffurentfort	-⌫-|-⌫-----|-|-|--|-----|---|
Doucementreclamérent leroy d eparadis.	--------|-----------|-|--|-⌫|-------|
Mouttendrement	---|---------|
plouroit lienfezAle xi s	-------|-|----|---⌫--⌫|
Q u icuidoit m o ut bienestrededens la	-⌫-⌫|------|-⌫-⌫-|---|----|-----|-|
merp er is.	--|-⌫--⌫--|
Mez le dousIhesuCrist ne l eu outc on sentir	--|-|---|----|----|-|-⌫|-⌫--|-⌫--⌫-----|
Pageu01P357	----------|
Ca r la fo rceduuentfistle uessel uertir	--⌫|-|--⌫--|-|---|---|-|-----|-----|
D roit auneiournéec esachiez sans	-⌫---||--|-------|-⌫|------|---|
De la sai nte chi téouDieu	-|-|---⌫--|---⌫--|-|---|
uoutmortsou ffrir.	---|---|---⌫-----|
Quantau p or tse	----|-|-⌫--⌫|-|
trouuérentch a c u n en	----------|--⌫-⌫-⌫-⌫|-|
out grant ioie	--|----|---|
I hesuCristmerciérentq uitouslesbie ns	-⌫---|----|----------|-⌫-|---|--|---⌫-|
Alexis q ui duto uta	-----|-⌫-|-|--⌫-||
bienfaires ot r oie	---|----||--⌫-⌫--|
D ro it e nI herusalemaa quelisauoie.	-⌫--⌫-|-⌫|-⌫--------||-⌫----|-|----|
Enlasaintechitéuintle nfant	-|-|-----|-----|---||-⌫----|
Ouledou sIhesuCris t fuuendu s et traïs.	-|-|---⌫|----|----⌫|-|-----⌫|-|------|
Quantiluitlesepucre ou Dieufumors	----|-|--|-|------|-|---|-|---|
Anusgen ous semistetfist croissusson	|--|---⌫--|-|---|-|---|----|--|--|
Puisdi st DousI hesuCristqui enceste chité	---|--⌫-|---|-⌫---|----|--|-|----|-----|
u o usite zmor ts oufrir pournotresauueté	-⌫-⌫-----⌫|---⌫|-⌫-----|---|----|-------|
Etence st saint Sepucr e fu tezres usité	-|-|--⌫-|----|------⌫|--⌫--|---⌫-----|
ue ulliezr ec onforter trestoutmon	--⌫-----|-⌫--⌫-------|-------|--|
Car biensayq ue pourmoy	--|---|--|-⌫-|---|--|
ont grant doulo ur menée.	--|----|-----⌫-|------|
gentilp ucel e que i auoieespousée	-----|-⌫----⌫|--||----|--------|
ueulliezgarder d e mal haute dameclamée	-------|-----|-⌫|--|----|---|------|
Etmotriez f a ire	-||-----|-⌫-⌫--|
euuredon tmamesoit s auuée	----|---⌫||--|---|-⌫-----|
Alex isf ist	----⌫-|-⌫--|
sof rende puisse uotilre traire	|--⌫----|---|-|--|-|--⌫-----|
P ageu01P358	-⌫---------|
N uscoute znus ge nous uint	-⌫-|-----⌫|--|--⌫---|---|
aum ontde Calu aire	-|-⌫--|-|----⌫---|
La pierrequifendiuit	-|-----|--|----|--|
lenfantdebon na ire	|-----|-----⌫--⌫--|
Pu is uintauflun Iourdeinpouraconplirl	--⌫-|---|-|---|-------|---|-------||
Par trois fo iss	--|----|--⌫-||
Alexis trestoutnu.	-----|-------|--|
Puisprist la saintepalm eet le	---|----|-|-----|----⌫|-|-|
bourdonagu	------|--|
Corn pelerin paumiersestd ouc eme nt u estu	---|------|------||--|-⌫---⌫---⌫-|-⌫---|
M e zdeusiou rs etdeu s nuisquen Ih erusalem	-⌫-⌫|---|---⌫-|-|---⌫|---|-|-|--⌫-------|
Ieünali sains hons conqueznuleligour	-----|-|----|---||-----|---|-----|
N emistdeden s sabouche.AD ieuou t	-⌫|---|-----⌫|-|------||-⌫--|--⌫|
Qu ilnelisouuenoitde	-|-|-|-|--------|-|
terrienonno ur .	------|----⌫--⌫|
Ho r sde Iherusalem	--⌫-⌫|-|---------|
s epartiau t ie rsiour	-⌫|----|-|-⌫--⌫-|---|
Tant chemina l	---|------||
enfant qui	-----|--|
dutoutaDieu	-|---||---|
en uintaLalicetoutlecheminbatu	-|---||-----|---|-|-----|---|
L e trezdous Ihesu	-⌫|---|---|----|
Cris t liprestateluertu	----⌫|-|-----|--|----|
Conqu ezpa rlennemi	|----⌫-|--⌫||-----|
n epout es tre	-⌫|---|--⌫--|
Etquan t lesaintprodom me d	-|----⌫|-|----|------⌫-||
ileucseremua	----|-|----|
EnAlphis la	-|-----|-|
chitétrestout droit se n	-----|-------|----||-⌫|
Pour lamourdun	---||----||-|
i ma ge quel e nlien sengna	-⌫--⌫-|--||-⌫|-|--⌫-----|
Quel angre Gabrie l (sediston)	--||----|------⌫|--|---|--|
L image resemblo ital a uiergepucele	|----|--------⌫-||-⌫|-----|-----|
Q ui le dousIh esu Cri s tnouri	-⌫-|-|---|--⌫--|---⌫-⌫|----|
d e samemmele.	-⌫|-|-------|
Pageu01P359	----------|
