qu antdesei neporrarendire	--⌫--|-|--|-|----|--|---|
bru neealiseemot	---⌫-||----||--|
clerscheuos e mellez	----|-----||-----|
cil respontald ucdexxx	--|------|-|-⌫-|-|--|
mesq u anti l uetque tui t xx x	--|-⌫-⌫--|-⌫|--|--|---⌫|--⌫|
tornei rareire tendent	------⌫|-----|------|
conti ntseiel conm ensame nt	-----⌫-|--|-|----⌫------⌫-|
siparlamol t tempree ment	-|----|---⌫|-------⌫---|
sirefaitilalm ien	---|---|-|-|-⌫--|
uosditessen	--|----|--|
pesque nos uint telxx x	-----|--|---|--|--⌫|
de lretorner est	--⌫|-------|--|
mes siuos plaist n idites ioi	--|-|--|-----|||----|--|
l aissez mi	-⌫-----|||
ame nderunpo i	---⌫---|-|--⌫|
siu osdiraiq ue g en	-|-⌫-|----|-⌫-||-|
siu os estuis	-|-⌫-|--|--|
queg ifolei	--|||----|
diequimelz ensaradire	--|--|---|-|---|---|
ia deue snen	-|----⌫||-|
sor dra ir e	---⌫--|--⌫|
d anphiaras	|--------|
quisiest mort	--|-|--|---|
creugransdes c onfort	---|----|---⌫-⌫-----|
poe t ue nirce	---⌫|--⌫--|-|
domage f ors	-----|-⌫--|
afetso nconm andament	|--|--⌫|----⌫-------|
recour ame nt	------⌫---⌫-|
e de nosfera	|-|--|---|
quore quelui	-|--|--|--|
uo seng r ecefoir	--⌫|-|-⌫-⌫--|---|
uporrunuerslui gandir	|-----|---|--|-----|
nosuoltf ere	--|---|-⌫--|
garrun laplusqueici	-----|-|---|--|--|
uol dracon fundre	---⌫--|---⌫-----|
s eporra u er s luirepondr e	-⌫|----|-⌫--⌫|--|-------⌫|
creirelemi en los	-----|-|--⌫-|--|
torneronissile sdos	-------|---|--⌫|--|
de noseuesquesesleson	-|--|-------|------|
grant esgarteparreson	----|-----||--|----|
sen zeuesqueesanz	---⌫|------||---|
d euonno s longamentestre	-⌫---|--⌫|--------|----|
no stre meisteire	--⌫---|--------|
ente ndunforment a eesleire	----⌫---|------||-------|
debone d oc trine	-|---|-⌫--⌫----|
neporamorne po r	-|--|---|-|--⌫|
r icheseneaparatg e	-⌫-----|-||------⌫|
entendunpa sneaatge	-------|--⌫|-|----|
bachalerpas nedeitlom	-------|--|-|---|--|
ilest prodo m	-|--|-----⌫|
peisqueleuesque ertleuez	------||------|--|----|
e limestre ert	|-|-----|--|
e pr etporse i	|--⌫-|--|--⌫|
epor lepople	|--|-|----|
e porlerei	|--|-|--|
comant e ester	-----||----|
lost al m o nesf ere	|--|--⌫-⌫-⌫--|-⌫--|
quantligeuness e runtcompl it	----|-|-----|-⌫-⌫---|-----⌫-|
al iornquesera establit	-|---|--|---|-------|
ila u tauante	-|-⌫-⌫|----||
denos pechet s i um c onfe s	-|--|-----|-⌫-⌫-|-⌫----⌫|
a lsosiquies t enlaplace	-⌫|---|--|--⌫|-|-|----|
esacrifise	|--------|
silisosi tiduncr eclot	-|-|----⌫|----|-⌫----|
poet sauer qu edexnosot	---|----|--⌫|--|--|-|
lisaiuehomecil q u i	-|----|---|--|-⌫-⌫|
dexcrement	--|------|
cestconsell oentebienlement	---|-----|-⌫---||---||----|
mesensuntdeues queq uerre	--|-|---||----⌫--|-⌫----|
quisei t prodometdelor	--|---⌫|-----|-|-|--|
unspoetesuelzeantis	--|-----|---||----|
bois este ́	---|----⌫|
ede se ruir	|-|--⌫---|
aesleite les mist de dos	|------|--|---|-|--|
sisenmonta soru nperron	-||-|----|--|-⌫|-----|
silor a fait unbrefsermon	-|--||---|-|---|-----|
prime sco nmandeau er sile n ce	-----⌫|--⌫-----|--⌫-|----⌫-⌫-|
e illun ten g rant	|-||--⌫|-|-⌫---|
peisqueille	------|-|-|
ui rent enestant	--⌫---|-|-----|
tuits enp et itegrant	---||-|-⌫--⌫-||----|
quarbensoren	---|--|----|
qu e en sa uie	--⌫|-|-|--|
n otmaluestenetriche rie	|-|-------|-|------⌫--|
i lceest grant dre it	-⌫|-|--|----|---⌫-|
