seulementde son eage etsil	--------|-|--|---|-|-||
entrelamer e t	----|-|--|-⌫|
zz palukilaestoit	-|---|-|-|-----|
mo utespaont ablel i u	--⌫-|-------⌫---|-⌫-⌫|
orib le ne	----⌫-|-|
ne m a ngoit	-|-⌫-⌫----|
outrestre scatantqueli	-----|---⌫-|-------|-|
estoitcouciéset donc	-----|-------|-|---|
mol tpoure uiandecar	---⌫|----|-----|--|
m angoitadonkes	-⌫-----|------|
escaloignestant	----------|---|
se ulem ente t	--⌫----⌫--|-⌫|
qantli diab les u it	---|-|----⌫--|-⌫-|
queliioue nenc iaus estoit	--|-|----⌫----⌫---|-----|
arestés enliuouonqu esm aisn	-------|-|--|-|----⌫-|-⌫--||
hom habité il fu	--|------|-|-|
mou t dolansne	---⌫|-----|-|
nesauoitqu ilpe ust	-|-----|-|-|--⌫--|
fairecarilu eoitqueilestoit	----|--|-|-⌫---|--|-|-----|
parlui uain c usainsq ueli	--|--|----⌫-⌫-|-----⌫-|-|
enfeseuste agedepechier	----|---|-⌫--|-|------|
m ortelmentparcoi ilpeust	-⌫--------|--|--|-|----|
sousduireetdeceu oir i lestoitmout	--------|-|-----⌫--|-⌫|-----|---|
dole ns etle	----⌫-|-|-|
malkilpo oitfairen	--||-|--⌫--|----||
ilm ie ca reli ouencel	-|-⌫-|--⌫|-|-⌫------|
met oitil penseesdont i l	---⌫--|-|------|---|-⌫|
estoitmieacoustume ́ squi mout	-----|--|---------⌫-⌫|--|---|
ene stoitetmoutt ristres et	-|-⌫----|-|---|-⌫------|-|
que fais s oi tlibons enf e s	--|----⌫-⌫--⌫|-|---|---⌫-⌫|
d e cestecosse il est oit	-⌫|----|----|-|---⌫--|
coureciésaluim eisme squant	---------||--|-⌫-----⌫|----|
il pensoitanuldelitterestredonc	-|------||--|----|-------|---|
sefe roitdelping elpis	-|--⌫---|--|---|-|--|
tout ausicom silp eust	---|---|--||-|-⌫---|
lesmalespensees	--|----|------|
fors descuerm etrepar celebateureet	---|--|---|-⌫---|--|---|------|-|
disoit asacar	-----||-|--|
meisme quillecarceroitd el	-----|-|-|-|--------|-⌫-|
faisdefamineetde seine	---|-|-----|-|-|----|
tantquelenauero it	-----|--||-----⌫-|
curedereueler	---|-|------|
etqueil le	-|--|-|-|
ius tic ero it	---⌫---⌫---⌫-|
siparcauresetpar fami nesetpar	-|--|-----|-|--|----⌫--|-|--|
froidure setpar	--------⌫|-|--|
lonstrauaus	---|------|
kele p e nseroitancois a	|--|-⌫-⌫------|-----||
c alaioueneceneaf olie	||-|-------|-||-⌫---|
d ontconmencalisains	-⌫--|-------|-|----|
iouenenciausa	-----------||
menera m ener sainte uie	----||-⌫---|-----|--|
a direqu il	|---|-|-|
ne mangero it	-|-------⌫-|
tierc iour non etauquarttant	----|---|--|-|-|----|---|
seulementpoursoustenirsauiededens	--------|---|--------|-|--|-----|
sonco rs et	--|--⌫-|-|
mang oitil	----⌫--|-|
seius nonderbeset	-|--|--||----|-|
petit d es cal oignes	----||--⌫---⌫-----|
adi ese rt enorisons et loo it	---⌫-|-⌫-|-|------|-|---⌫-|
nos t resi gn our	---⌫-⌫-|--⌫--⌫--|
etsifouo it	-|-|----⌫-|
et labouroiten	-|--------|-|
terrepourherbes	----|---|-----|
fa ire etpourcou	--⌫--|-|---|--|
quelitraua us	--|-|-----⌫-|
de sueuredoubl as t lat rauai l	-||----|-----⌫--⌫|-|-⌫-----⌫|
ieu nese t	---⌫--|-⌫|
s i faissoi t	-⌫|-------⌫|
uaisseles d e	--------|-⌫|
ioinspourensiu ir la	----|---|-----⌫-|-|
sentensesdesapos tles ki	--------|--|----⌫---|-|
ki nient nue urenelabeu re	-|----||--⌫--|-|-----⌫-|
nientneman gut	----|-|---⌫--|
cip aroleconm entsains yl ai res	-|-⌫----|----⌫--|----|--⌫--⌫--|
esto it uniour en sacele	----⌫-|-|---|-|-|---|
k il auoit fai tede io inssi	|-|----|---⌫-|-|--⌫--|-|
uit uenirde uant	--|----|--⌫---|
compaigni edediableskiestoient	---------⌫|-|------|-|-------|
mo nte ́sour ceu austous ardans	--⌫---⌫|---|---⌫--|---|-----|
en cest em aniereet par geunes s	-|----⌫|-⌫-----|-|--|-----||
ato urnalisa insio uenenciaus	---⌫---|-|--⌫--|--⌫---------|
qui estoitplusmaigres	--|-----|---|------|
adontauintun e nuit qu il	----|----|--⌫|---|-|-|
conmencha a	--------||
oir criemensd enfan s	--|-------||-----⌫|
etbaailleme ns de besteset mueme n sde	-|---------⌫-|-|-----|-|-----⌫-⌫|-|
buesetplaignemens	---|-|----------|
ausiconmede	---|----|-|
femes etpl uisours	----|-|--⌫------|
manieresde	-------|-|
d iuersesu oi s	-⌫------|-⌫--⌫|
ioue nenciaussot b ien et	----⌫-------|--|-⌫--|-|
e ntendiquec ou e stoient	-⌫-----|--|-⌫-|-⌫------|
encant em ens dediab led ont s	------⌫--⌫--|-|----⌫-|-⌫--||
agenoilla a t erreetfist	--------||-⌫---|-|---|
lesingnedela sainte croisnostre	-|-----|-|-|-----|----|-----|
si gnourihesu	--⌫----|----|
cristen m i	----|--⌫-⌫|
sonfront e tpuis co nmenca a	--|----|-⌫|---|--⌫-----||
regarder etde	-------|-|-|
toutemuiro n	---|------⌫|
luipo ur couqu	--|--⌫-|--|-|
desiroitmoutaueiren	-------|---||---|-|
aucunes maniereslesuoisquil	------|-------|--|---|--||
espaontoient	-----------|
lalune luisoitclereet	-|---|------|----|-|
r esplen dissanta donqu e set	-⌫------⌫------|-⌫-----⌫-⌫|-|
lors rewardasou dainement	---|------|---⌫--------|
uenirde u antluiun ecompaignie	----|--⌫-⌫--|--|--⌫|---------|
dediablesmoutlaid eet	-|------|---|----⌫|-|
moutnoir e	---|----⌫|
etmout orible	-|---|-----|
sourceuaus	---|-----|
tousardanset	---|-----|-|
droitement	---------|
etl iiouenenciausconmen ca tantost	-|-⌫|-----------|------⌫-|------|
ahu ch iernostre	|--⌫--⌫--|-----|
signour ihesucrist poursecourse taie	------|----|----|---|------|-⌫|--|
ettantost c on m	-|------|-⌫--⌫|
il otapelénostresig nourfucele	-|-|-----|-----|---⌫---|-|---|
compa ignie e sparsse	-----⌫----|-⌫------|
e tesuanuiedontconmencali	-⌫|-------|---|-------|-|
iouenenc ia u s aloern ostre	--------⌫--⌫-⌫||---|-⌫----|
sig n ou r et grassesarendre nene	---⌫-⌫--⌫|-|------||-----|-|-|
a roieapiececontétn e	-⌫---||----|------|-⌫|
dit touslesag aisnelespai neskeli	--|---|--|--⌫--|-|--|---⌫--|-|-|
diaul esfiss entet	-----⌫-|----⌫--|-|
n eietoutes ces	-⌫|-|-----|--|
cosse suousuol oie	-----⌫|---|---⌫--|
direliliures	---|-|-----|
enseroit mout	-|-----|---|
tresgrans etla	---|----|-|-|
conment lidi abl es	------|-|--⌫---⌫-|
aparurent asaint ylaire	--------||----|-----|
en sacele enhu ise defe m estoutes	-|-|---|-|--⌫--|-|--⌫-⌫-|-----|
nuespourlui	---|---|--|
dec eu o iretensamblancesde b esteset	---⌫--⌫-⌫-|-|-|---------|-|-⌫----|-|
t ous arme ́s	-⌫--|----⌫-|
a usicorsetse la iso ientcair	-⌫--|---|-|-|--⌫---⌫---|---|
sespi es comme mort	--|--⌫-|----|---|
haquantes foislaouilse g isoi t	-|------|---|-|-|-|-|-⌫----⌫|
damoiseles li ap arurent	---------|-|--⌫------|
toutesnuesbiel esetg ente	-----|---|----⌫-|-|-⌫---|
e t c esto it lidiables	-⌫||----⌫-|-|------|
e nceles amblancee tpar	-⌫|---|-⌫-------|-⌫|--|
quant esfois	-----⌫-|---|
belesuian des	----|----⌫--|
liap arur ent deuan t la ouil	-|--⌫----⌫--|-----⌫|-|-|-|
estoitde stroisde grant	-----|--⌫-----|-|----|
fa mine a l afoiel i couroi e ntleu	--⌫---||-⌫|---|-⌫|------⌫-⌫-|--|
deuantlaou il	-----|-|-|-|
ourl oie ntetgoupil	----⌫---⌫-|-|-----|
deuant luietdont uenoitli	-----|--|-|---|-----|-|
unsetde ua ntlui	--|-|--⌫--⌫-|--|
trespassoient	------------|
si sambloient	-|---------|
que genstoutesarm ees	--|---|-----|---⌫--|
trespassaisent deuantluietdon t	-------------|-----|--|-|---⌫|
unstosarmésausiconferus	--|--|-----|---|--|----|
pa rmile cors	--⌫--|-|---|
sisa mbloitquildeust lues	-|--⌫-----|-|-|----|---|
morir et seet selaissoit cair	----|-|-|-|-|-------|---|
deu antles	---⌫--|--|
piesle sainthomeet	---|-|----|---|-|
p rioitkilidonn ast sepulture	-⌫----|||-|----⌫--|--------|
li sainsiouen enciausne	-|----|-----⌫------|-|
deguerpisoit miep ourcouse s	-----------|--|-⌫--|--|--⌫|
a insauoitad e s se ciereuerst ere	-⌫--|----|--⌫-⌫|-|----|---|-⌫--|
abaissieet quantil	-------|-|----|-|
auen oitquesapens eeli	----⌫--|--|-|----⌫-|-|
t res tournoitaautrecossepar	-⌫---⌫-------||----|----|--|
auenturesic onmi lauient a nature	-------|-|-⌫--|-⌫|-----||-----|
dehumaine ilsaloit sus	-|------|-|-----|--|
e tacol oit	-⌫|----⌫--|
celuiquisis e	----|--|-|-⌫|
faissoitmaladesil e batoit	-------|-----|-|-⌫|-----|
uergesmoutdurementtantque	-----|---|-------|------|
cilsesu aunuissoit e tli	--||---⌫---------|-⌫|-|
ausi siestoitdeliu rés	---|-|-----|-----⌫---|
ens ie stoit	---⌫|-⌫----|
liiouen enc iaus	-|-----⌫---⌫---|
tentésdel diablepar pluisours	------|--|-----|--|--------|
ma niereset endi uerses figurese t	--⌫-----|-|-|--⌫-----|------|-⌫|
saciésquetres le	------|--|---|-|
sissimeandusca	------|-|---||
sousfri il lesca lours e tles	------|-|--|--⌫----|-⌫|--|
froidureset	--------|-|
lespluiesetles	--|-----|-|--|
kiliuen oienten	-|-|---⌫----|-|
ca hutedeio ins q uil	--⌫---|-|--⌫--|-⌫|-|
auoit f aite	----|-⌫---|
etauwitis meanfistil	-|-|-----⌫-|-|---|-|
une necelet ekiius ca	--|-|-----⌫|-|---⌫||
huic estiour	--|-⌫--|---|
encor dure	----|---|
cele c eleotyyp ies	---|-⌫--|-|-|-⌫--|
ipooit ildreci er mais un	|----|-|-----⌫-|---|-|
poiestoit plus l onge	--|-----|---|-⌫---|
e tseuous le uei ssiés	-⌫|-|---|-|---⌫-----|
sanl as tmieux sepulture	----⌫--⌫|----|--------|
kemaisoncele	-|---------|
neneiutonq ues	-|-|--|---⌫--|
m ort fors sorunlitde	-⌫--|---|--|-|--|-|
fais alapureterrelauesture que	---||-|---|----|-|------|--|
sai ns anstoi nesli	---⌫-|------⌫--|-|
auoitdonneenel au ail onq ues	----|-----|-|-⌫--⌫|-|---⌫--|
carildissoit	--|-|------|
bienquehaire	---|--|----|
ne deuo it mieest relauee etles	-|----⌫-|--|---⌫-|----|-|--|
sa intesescri ture sr etenoitli	--⌫----|-----⌫----⌫|-⌫------|-|
iouene nciause nsememoireetensa	------⌫-----|-⌫|-|------|-|-|-|
penseeetquantilauoit	-----|-|----|-|----|
faitsesorisons etd itesil	---|--|------|-|-⌫---|-|
uersilloitetd isoit ses	---------|-|-⌫----|--|
toute s autre sicom me	-----⌫|-----⌫-|---⌫-|
sen ostresires	-|-⌫----|----|
fustensa pensee	---|-|-|-----|
pourcou k elonge cosse se ro ita	---|--|-⌫|----|----|--⌫--⌫-||
ra conter toutesses	--⌫-----|-----|--|
enordenes icommeles auinrent u ous	-|-----|-⌫|---|---|-------|-⌫--|
contera i iouunpoiplus	-------⌫|--|-|--|---|
briem entsiquecilqui	-----⌫--|-|--|--|--|
entend erapourasa u iereten ir	------⌫--|----|-|-⌫-|-----⌫-|
seluipl a ist	-|--|--⌫-⌫--|
apres couqueli iouene nciausot y y	----|--|--|-|------⌫-----|-|-⌫|
anstressiautrenti sme	--|---|-|-|------⌫--|
manialisainshom e nce s	----|-|----|--|-⌫|--⌫|
decesy ydemi	-|--|-⌫|---|
feri nedont ilfais soitpurement	----⌫-|---|-|----⌫---|-------|
uiesousteni r etesautes	--|--------⌫|-|-|----|
yy ans nemangailsepain	-|--|-|----|-|-|---|
etseletaigueet tres	-|--|-|----|-|---|
leuinte si s imes antr e sc autre ntisme	-|-----⌫--⌫-⌫---|-|--⌫-⌫-|-|---⌫-----|
soustint il	-------|-|
sauie derbeset d eracines	-|--||----|-|-⌫|------|
trentisme an trusc au	--------|-|----|-|
tr entecuinquisme ne	--⌫-------------|-|
m aniaonques	-⌫---|-----|
cascuniour queyyonces	-----|---|--|-|----|
paindorgeet	---||---|-|
erbesquitesenmaniere	----|-----|-|------|
deporeeetsansoille adon t se nti	-|----|-|---|----|----⌫|--⌫--|
o rc oinsoient e ts i conmencaa	-⌫--⌫--------|-⌫|-⌫|-------||
estredestrainsparune	----|--------|--|--|
maladiedontmist e nsauiande oile	------|---|---|-⌫|-|-----|---|
pour luirecon forteet pour	---|--|-----⌫----|-|---|
son c orss oustenirensitrespassa	--|-⌫--|-⌫-------|---|--------|
il tr escausi san tismean	-|--⌫--|-|--⌫---⌫----|-|
conkesne mang a depoume	|----|-|----⌫|-|----|
depuiment n edaute	-|------|-⌫||---|
cossekeieuousaiecontee	----|-|-|---|--|-----|
ap rescouqu il	--⌫--|--|-|-|
ui tquesescors	--⌫|--|--|---|
esto it alas sésde lagra nt	----⌫-|----⌫---|-|-|---⌫-|
u i ellece quelimors aprocoit si	-⌫-⌫-----|--|-|---|-------|-|
conm illisambloit sesoustint	---|-|-|-------|-|-------|
iltruscatantquil otyy ans	-|----|------|-|-|-|--|
miede pain	--|-|---|
c ard ontert	-⌫-|-⌫--|--|
i lensigran t cal ourde	-⌫|-|-|----⌫|---⌫--|-|
penseesde f aire boines	------|-|-⌫---|-----|
oeu res conme	---⌫--|----|
uenistpri me sau	-----|---⌫--⌫|-|
ser uichenostre s ignor	---⌫----|-----|-⌫----|
ainsdonquesmangoitun euiandeque	---|------|------|--⌫|-----|--|
fa iss oitde fe ri ne	--⌫---⌫--|-|--⌫--⌫-|
etd erbes taillies e nsamble	-||----|-------|-⌫------|
et entresomboire	-|----|--|----|
e tson mangier	-⌫|--|------|
auoi tapainesl e iour	----⌫||-----|-⌫|---|
onces ent el	----|-|-⌫-|
manieremenailsauie	------|---|-|-|--|
toutson e age et biensac iés	---|--|-⌫--|-|---|---⌫---|
en iour defestenepour	-|---|-|----|-|---|
greu ance quileus t rompi	----⌫---|-|-|---⌫|----|
nenenfraints a geuneq uil onque s	-||-------|-⌫|----|-⌫|-|-----⌫|
mangast deuant	------|-----|
er tcoukié sde nul euiand e	--⌫|-------⌫|-|---⌫|-----⌫|
la ironscoueste r si	--⌫----|--|----⌫|-|
reuenronsauconmencemen tdela	--------|-|-----------⌫|-|-|
ciparole c onmen t li laron	-|-----|-⌫-----⌫|-|----|
aleren tquer re s aint ylaire	------⌫|----⌫-|-⌫---|-----|
to ut e nuit pour lui	--⌫--⌫|---|---|--|
de sreuber et oc ire	--⌫------|-|--⌫--|
siletrou erentqant il	-|-|----⌫----|---|-|
fuiou rsil espreccata ntsai ns	-|---⌫|-|-⌫-|-----|--⌫-|---⌫-|
il aire s qu	--⌫----⌫|-|
il crurent en	-|------|-|
nostre signor	-----|-----|
quantliiouenenciaus habitoit	----|-|-----------|-------|
encore enlachahutel equil	-----|-|-|--------⌫|-|-|
auoitde ioins tissue	----|-|----|-----|
etfaite et	-|----|-|
ilna uois que yyansde	-||-⌫---|--|-|--|-|
soneag edont	--|---⌫|---|
uinrentlaronal ui	------|----||-⌫-|
unenuitpourc ouqu il	--|---|---|-⌫-|-|-|
quidoient quileustaucun e	--------|-|-|---|-----⌫|
cosse quilli	----|-|-|-|
peussent tolir	-------|----|
ou pour cou quil q u idoientqueli	-|---|--|-|-|-⌫-⌫------|--|-|
iouenenciausfust illo ec	-----------|---|----⌫-|
u e nus si solement habite r	-⌫-⌫--|-|-------|------⌫|
despi tdeusetquil	-----⌫||--|-|-|-|
de us cre mor nedoutanchepo urcoule	|-⌫-|---⌫--|-|--------|--⌫-|--|-|
conmencierenta quere	------------||----|
toutent relemeret l e	---|---⌫-|-|--|-|-⌫|
palut quies toitenl adeser tine	----|--|--⌫---|-|-⌫|-----⌫---|
tresleuespr edusca la	---|-|-----⌫|---||-|
onkesleliu ou ilhabitoi t	----|-|--|-|-|-------⌫|
trouernepo rent	-----|-|--⌫---|
mai nsquant ilfucler siourset	---⌫-|----|-|-|----⌫|----|-|
let rouerentettantos t	-|-⌫-------|-|------⌫|
illeui r en t i lli	-|-|--⌫-⌫--⌫|-⌫|-|
demand er en t	------⌫--⌫--⌫|
a usicompariu keferoi stu	-⌫--|--|--|-|-|-----⌫|-|
selaronuenoienta toi	-|----|-------||--|
ioue nen ciauslorrespondi	----⌫---⌫----|--|-------|
etdi stcil kinus	-|--⌫-|--|-|--|
nu leco ssen anecrient	--⌫-|--⌫--|||-|-----|
mie kelaronle d es poillentli	--|-|----|-|-⌫--⌫-------|-|
laronli dissentse	----|-|------|-|
t u nasn ule cosse touteseureste	-⌫||-|-⌫--|----|-----|----|-|
por oitom bienoc ire	---⌫--|-|---|--⌫--|
sainsylariiens	----|--------|
lourrespondi	---|-------|
uoire mentmeporoientli laron	-----⌫---|-|-------|-|----|
oc iremais pourcene lescr ie n	--⌫--|---|---|-|-|--|--⌫--⌫|
miecariesui tou s	--|--|-|--|---⌫|
tans aparelliés	---|----------|
de morirtouts	-|----|---||
esm eruillierent mout	---⌫-----------|---|
lilarondela gr andeseurte et d ela	-|----|-|-|--⌫---|-----|-|-⌫|-|
gr ande f oifermek il	--⌫---|-⌫-|----||-|
uirentetente ndirentel	-----|-|----⌫------|-|
iouenenc elsi	--------⌫-|-|
li ie hirent	-|--⌫-----|
conm entill a uo ie nt toute n uitquis	----⌫--|-||-⌫--⌫--⌫-|----|-⌫--|---|
et esréquet rouuerne le	-|----|--|-⌫-----|-|-|
porent siestoientil	-----|-|-------|-|
de lor eus	-|--|--|
sai nsylair eslesconmenca	---⌫-|-----⌫-|--|-------|
do ctr in e reta amonne sterque	--⌫---⌫--⌫-⌫|-||------⌫---|--|
lemallaissais sentafair e	-|--|--------⌫---||----⌫|
biensete nissentetcil l	---|-|--⌫------|-|--||
orenten couene nt quetresdon t en	----|-|------⌫-|--|---|---⌫|-|
a uan t amenderoientl o ruie	-⌫---⌫|-----------|-⌫-⌫|--|
quantliio uenenciaus	----|-|--⌫---------|
encelli uquilot	-|--|--⌫|-|-|-|
yyan sde son eage laboinerenomeede	-|--⌫|-|--|---|-|----|------|-|
et seuepartoutesles citesde	-|---|--|-----|--|----|-|
cont reed e palestine	----⌫--|-⌫|--------|
adont ui nta lu iune quito ut	----|--⌫-||--⌫|--|--|--⌫-|
prem ierem ent lal a	----⌫-----⌫--||--⌫|
requerrepourcou ke	-------|---|--|-|
sesbarons le	--|-----|-|
despissoitpourcou kil	---------|---|--||-|
ne pooitauoirfr ui tdeli dedens	-|----|----|--⌫--⌫|-|-|-----|
yyanskeleauoit esté	-|--||--|----|----|
ensaconpaignieceleuintasaint	-|-|---------|---|---||----|
ylairesise laissaca oir	-----|-|-|-----|--⌫--|
as ses piess i quil n es	-|--|---|-⌫|-|-|-⌫||
cip aroleconment uneda me u int	-|-⌫----|------|--|--⌫-|-⌫--|
sai nt ilai re ensacele	---⌫-|----⌫-|-|-|---|
e tselaissaca irases piesetli	-⌫|-|-----|--⌫-||--|---|-|-|
cr iamerchipourco k ele	--⌫-|-----|---|-||--|
n e pooit auoiren fan tde se m b aron	-⌫|----|----|--⌫---⌫|-|--⌫|-⌫---|
ylairesproiaaa	------|----|||
signorkeleeustenfant	-----||--|---|-----|
etsidis tbiaus s ire pard onemoi	-|-|---⌫|----|-⌫--|----⌫--|--|
l e hardement queiou	-⌫|--------|--|--|
aif aitdeuenir	-|-⌫--|-|----|
chaatoicar	--||--|--|
besoig nemi	------⌫-|||
afait uenir	|---|----|
sains ylairesne l regarda	----|------|-||------|
ainss en uautfui rari er e	---||-|---|---⌫|---⌫--⌫|
et eleli distbiaussire	-|--|-|---|----|---|
meregardetuet	-|------|-|-|
pourquoitu fuir c eluiqui	---|---|-|---|-⌫---|--|
merchitecrie	-----|-|---|
et bia usdoussiresnemeregarde	-|---⌫-|---|----|-|-|------|
m ie ausi conmefemem ais	-⌫-|---|----|---|-⌫--|
ausi com eunechaitiue et	---|---⌫|--|-------|-|
n epourquant	-⌫---------|
femedoitonregar der	---|---|-|-----⌫--|
end roit bien carfeme portale	---⌫---|---|--|---|----|-|
s au u eourdou mo ndecilqui	-⌫--⌫-⌫---|--|--⌫--|--|--|
sain sont ethaitiénont	---|---|-|------||--|
cu redemire m aisci lqui	--⌫-|-|---|-⌫--|--⌫|--|
enfermsontet maladeen	-----|---|-|-----|-|
ont b ienmestier	--|-⌫--|------|
sainsylai resare staetsil i	----|----⌫--|---⌫--|-|-|-⌫|
demandapourquoiel e plouroi t	------|---|---|--⌫|-------⌫|
et l okis onp ourquoieleestoi ta	-||----⌫-|-⌫--|---|--|-----⌫||
lui uenuecel eliconta	--|----|---⌫|-|----|
e tdists icom	-⌫|---|-⌫|--|
ieleuousai	-|-|---|-|
cont é s ideuantet lisainshom	----⌫-|-⌫|-----|-|-|----|--|
re gardaue rsl ecielsid ists	--⌫----|--⌫-|-⌫|---|-|-⌫--||
orisonanost re s i gnourihesus	-----||----⌫-|-⌫-⌫----|-----|
crist etpuissidista lafemme	----|-|---|-|---||-|----|
elesenralast ariereet	--||-|-----|-----|-|
si eust bo ine fiancheen nostre	-|---|--⌫--|------|-|-----|
signour cele	------|---|
sem pa rti	|-|--⌫--|
desai ntyla ireets enuinta som	-|---⌫-|---⌫--|-||-|---||--|
baron e tfurent ensambl e	----|-⌫|-----|-------⌫|
etapres pas sali	-|----|---⌫-|-|
aconpliset pasés	-------|-|-----|
elereuinta	--|-----||
sain tylaireatoutun	----⌫|-----|----|-|
bel fil que n ostre	--|--|--|-⌫----|
auoitdoné	----|----|
pourl a proiere del	---|-⌫|------|--|
s aint homes iqu	-⌫---|---|-⌫|-|
en estoit m outioiouse	-|-----|-⌫--|------|
ce fulipremiere	-|-|-|-------|
miraclequen o stre	------|--|-⌫-⌫---|
fistpour sainti lairekiseuefu et	---|---|----|-⌫----|-|---|-|-|
conneueapres auint	------|----|----|
enceltansmeisme qu e lifemea un	-|--|---|-----|--⌫|-|---||-|
hauthomereuenoitunior	---|---|-------|-|--|
entreliet somba ro net	----|-|-|--|--⌫--⌫|-|
yy fieux que	-|----|--|
ele au o it de mon sign eu r	--|--⌫-⌫-|-|--|----⌫--⌫|
s aintans toinelao uilhabitoiten	-⌫---|---⌫----|-|-⌫|-|-------|-|
l e rm itage	|-⌫--⌫----|
ci paro leconmentunefemeuint	-|----⌫-|------|--|---|---|
sa intylaireoudes ert	--⌫--|-----|-|---⌫--|
siliproia quil uenista	-|-|----|-|-|-----||
enfansquilg i soientm alade	-----|-|-|-⌫-⌫-----|-⌫----|
et k il le urdonnas tsanteetil	-||-|--⌫-|------⌫|----|-|-|
alasileswari	--|-|--|---|
quantla dameuint e nlacited egasse	----|-|---|---|-⌫|-|---|-⌫|----|
unetr esgrantenfremetes	--|--⌫-|----|---------|
enfansparcoi il li	-----|--|--|-|-|
demou r eren	-----⌫-⌫-|-|
cen e sai iousel am aladie prist	-|-⌫|--|--|-|-⌫|-⌫-----|----|
lesenfansparlaco rusion	--|-----|--|-|--⌫-----|
delacite oup our ce quenostre sires	-|-|---|-|-⌫--|-|--|-----|----|
uautdemoustrerlaglore	---|---------|-|----|
sai ntylaire sonserfd e cuiuous	---⌫-|-----|--|---|-⌫|--|---|
poiésauanto i r l ueuure	-----|----|-⌫-⌫||-----|
lienfantes toient	-|-----|--⌫-----|
que tuit li	--|---|-|
mire qui aeus	---|--||--|
ueno i entd esesperoi en t lepere	----⌫-⌫--|-⌫---------⌫--⌫|-|---|
etle mereet loruie	-|-|---|-|--|--|
demenoit gran t	-------|----⌫|
dolour etgrief	-----|-|----|
tristreceetaloit alun	--------|-|----|||-|
autre nenesauoit le	----|-|-|-----|-|
que l e le deus t	---⌫|-⌫-|----⌫|
dolouserne plaindretantdemena l a	-------|-|-------|---|-----|-⌫|
meresatresgrant	---|-|---|----|
que nonc ié li fuet dit cuns	--|----⌫--|-|-|-|--||--|
sainsmo ineshabitoitpre s	----|--⌫---|-------|---⌫|
di loec enunher mit age	|-⌫---|-|-|---⌫---⌫--|
ladame pr ist mainte nantsergans et	-|---|--⌫--|------⌫---|------|-|
mescinesetoubliatote	-------|-|-----|---|
sahauteco mpaigni equ ele au oit	-|----|--⌫-------⌫|-|--|--⌫--|
conmericedame	----|---|---|
si queleni	-|-|--|||
mena cheu aliersne	---|----⌫-----|-|
dame s po rla	----⌫|--⌫|-|
grantha s te sisemist	----|--⌫-⌫-|-|-|---|
aleuoieet amalespaines l	|-|---|-||----|-----||
tant ses bar onsq ueele	---|--|---⌫--|-⌫-|--|
montas our un	----|-⌫--|-|
as ne pour	--⌫-|---|
le trauail	-|------|
delalongheuoie	-|-|-----|---|
alatantquele	--|-----|--|
uintasaintylaire	---||----|-----|
qui moutestoit iouene	--|---|-----|-----|
daa ge quant	|--⌫-|----|
ele leuitsilidist	--|-|--|-|-|---|
homdieuietecon iur	--|---|-|-|---⌫--|
ih esu crist nostresi gnou r etde	--⌫--|----|-----|--⌫----⌫|-|-|
parlecroisouil fu	--|-|----|-|-|-|
