enu nedespartie sdegrecequi	-|-⌫-|--|------⌫|-|----|--|
sachesuraiementque	-----|--------|--|
moltme s bonsamis	---|--⌫|---|---|
et mielz t	-|----||
aing que to zles	---|--|--⌫|--|
homesdoumonde . etsetu p oaie stan t	----|--|----||-|-|-|-⌫----⌫|---⌫|
fairep ar forceoupar	----|-⌫-|----|-|--|
e ng ing oupar au o irq u e	-⌫--⌫--|-|--|--⌫-⌫-|-⌫-⌫|
conquerree taporterla	--------|-⌫|------|-|
tois ondou mostond	----⌫-|--|-----||
orqui es ten l	-|--|--⌫|-||
illedeco lcoxd equoi	---|-|--⌫---|-⌫|---|
ilestsigrant ren om ee en	-|--|-|----|---⌫--⌫-|-|
te rrestuauroi e s	--⌫---|-|-----⌫-⌫|
con q uislagreignor proesc econq u es	---⌫-⌫--|-|-------|------⌫||---⌫-⌫-|
mais homsfe istetmolt	---|---|--⌫--|-|---|
en c roistroitteslos.	-|-⌫--------|--|--||
uueil que tusach espo r	----|--|-|----⌫-|--⌫|
la grant amordontge taing	-|----|---|---|-||---|
tei ur sortoz	-|-⌫-|--|--|
lesdexq ui	--|--|-⌫-|
tuicele t oiso nm e pue zaporterge	-|----|-⌫----⌫|-⌫|---⌫|------|-|
tefaz hoir d e	-|--|---|-⌫|
toutmon royaum eet	---|--|------⌫|-|
u iua n tten	-⌫---⌫-⌫||-|
sezire et me tree n	-----|-|--⌫--|-⌫|
laseignorie .quantiasonoy cele	-|--------||----|----|-|---|
promesse que ses oncl es	-------|--|--|----⌫-|
li fesoit sienfumoltliez	-|-----|-|-|-|---|---|
quar ilni entendoit	---|-|||--------|
pointd engingnenule deceuancesi	----||-----|-|---|--------|-|
dis ts ir e	---⌫|-⌫--⌫|
mo ltgranzmerciz dec eque	--⌫-|----|-----|-|-⌫|--|
dites.ge s aibi en que	----||-|-⌫-|--⌫-|--|
uosm amez et bienm	--||---|-|---||
enf ai tes	-|-⌫--⌫--|
lesemb lan tasi	-|----⌫---⌫||-|
hautecho seet	----|---⌫-|-|
s ig ran tdo n comm e	-⌫|-⌫---⌫|--⌫|----⌫|
prom e tez.	----⌫-⌫--||
et geuos promet et iu r so rtoz	-|-|--|-----|-|--⌫|--⌫|--|
lesdexquege croi	--|--|--|-|---|
e taourquegeireenco lcox	-⌫|---|--|-|--|-|--⌫---|
quer relatoizond o u	----⌫-|-|-----|-⌫-⌫|
mostondorla ouuo sme	-----||-|-|-|--⌫|-|
ap ortereo uge	--⌫-----|-⌫|-|
ia mais ne	--⌫---|-|
reue nre. etquantl i	----⌫--||-|----|-⌫|
cesien fumoltliezquaril	-|-|-|-|---|---|---|-|
c u idoitbien que iamais	-⌫-⌫----|---|--|-----|
nendeust re torner.	|-|----|--⌫-----||
home q uimoltestoits ages	---|-⌫-|---|-----|-⌫---|
etpl ains de g r ant sostille t e et	-|--⌫---|-|-⌫-⌫--|--------⌫-⌫|-|
com man daque illifeis t	---⌫---⌫-|--|-|-|----⌫|
la p lusbelenefet la pl u sf ortque	-|-⌫--|---|--|-|-|--⌫-⌫|-⌫--|--|
ilporr oitqui bi en se	-|----⌫--|--|--⌫-|-|
desfendreenmerd et oztormen z.	--------|-|--|-⌫|-⌫-|------⌫||
to ut c edisoitilpor	--⌫-|-⌫|-----|-|--|
cequeilneu oloitpasque	-|--|-|-|-⌫----|--|--|
a perceustlagrant	-⌫-------|-|----|
quil auoitensoncuerenuersia son	-|-|----|-|--|---|-----|--⌫--|
sonn eue u.	--|-⌫---⌫||
etaprescommanda	-|----|-------|
quequ antele	--|--⌫--|--|
s eroitfa it e	-⌫----|--⌫--⌫|
que ele feust	--|--|----|
garnieet e stof feede t retoutceque	-----|-|-⌫----⌫--|-|-⌫-----|-|--|
ilco uient	-|--⌫----|
a un grantue ag efornir.lo rs	|-|----|--⌫--⌫|-----||--⌫-|
re spondi argus etdist	--⌫-----|----|-|---|
siresach iez quege uosrend re	---|----⌫--|--|-|--|----⌫-|
dedenzun mois	-----|-|---|
e s toffeedeto zpoinz porsigle r	-⌫-⌫-----|-|--⌫|----|--|-----⌫|
seurementpa rmer. et cesnouueles	--------|--⌫|--||-|--|-------|
espandirentpar tote	----------|--|---|
toutl epa isque li roys	---|-⌫|--⌫-|--|-|---|
f aisoit un e nefde	-⌫-----|--⌫|--|-|
m ol tgrant	-⌫--⌫|----|
estoffe ou iason	------|-|----|
entreren mer	-----|-|--|
quer r ela	----⌫-⌫|-|
doumost ondor .	--|----⌫-||-||
lor s s enu inth ercules	---⌫||-|-⌫--|-⌫------|
a iasonetli	|----|-|-|
distbia x cosins	---|---⌫|-----|
se iluospl estgeu ueilaler	-|-|--|--⌫--|-|-⌫---|---|
auecu osencestueage	---|-⌫-|-|---|----|
etainsi distrent maint autre	-|----|-------|----|----|
q uipreuz hardizet	-⌫-|----|-----|-|
corageusestoient.et	-------|-------||-|
ias o nles	---⌫-⌫|--|
en merciamoltet	-|-----|---|-|
les retinstet lordist qu il	--|------|-|--|---|-|-|
feussentpre stet	-------|---⌫-|-|
appareilli é	----------⌫-|
aukalandesd e	-|-------|-⌫|
distr entque siseroient	-----⌫--|--|-|-------|
i lm oltuol entiers.	-⌫|-⌫--|---⌫------||
qu an t uintautans	--⌫--⌫|---|-|---|
nouuel iason	-----|----|
hercule set tuitsiau tre	-------⌫|-|---|-|--⌫--|
compaignonmonterentenlanefqui	---------|--------|-|-|--|--|
argoestoita pelee por	---|-----|-⌫----|--|
cequear gusla uo itfa iteet	-|--|--⌫--||-⌫--⌫-|--⌫--|-|
firentle uoile drecier	-----|-|----|------|
et sepa rtirentdou r iuag eetli	-|-|--⌫------|--|-⌫----⌫|-|-|
ferio uuoileq uim olt	---|-⌫|----|-⌫-|-⌫--|
bonsl orfu sicheminerenttant	---|-⌫-|-|-|----------|---|
parlelarge	--|-|----|
me rl ase maine	--⌫|-⌫|--⌫----|
pa rt irent qu e	--⌫--⌫----|--⌫|
il arri uerentauportde	-|----⌫-----|-|---|-|
troyel a grant et de scendirent	----|-⌫|----|-|--⌫---------|
ou sablona gr a nt ioie	-|-----||--⌫-⌫-|---|
e t renou elerentloreues et	-⌫|-----⌫------|--|---|-|
afresch iren tlor uia nde s quiia	-------⌫----⌫|--|---⌫---⌫|--|-|
enpireespo rlamer	-------|--⌫|-|--|
nore ntmi e	|---⌫-|--⌫|
gra ntm entesté au port	---⌫---⌫--|----|-|---|
quan t ilfu tnon ciéauro y	----⌫|-|--⌫|---⌫---|-|--⌫|
laomedon quetie x g enzestoient	-------|--|---⌫|-⌫--|-------|
arriu e ́aupo rt et quese ilne	-----⌫-⌫|-|--⌫-|-|--|-|-|-|
mestoitbon hastif conseilque	------|--|-----|------|--|
senalasse ntque toutelacontree	|-|------⌫-|--|----|-|------|
seroi tarse etdestruite	-----⌫|---|-|--------|
et toutperduquancqueilau oi ent	-|---|----|-------|-|--⌫--⌫--|
quar moltes toi ent	---|---|--⌫---⌫--|
grantgentetfort.quantli	----|---|-|---||----|-|
moltcorroci e zetdistor	---|-------⌫-⌫|-|---|-|
q uegeenuoiereto ut	-⌫-|-|-------|--⌫-|
m aintenanta	-⌫--------||
au x.lors a p ela	--⌫||---|-⌫-⌫--|
sienmessageenquiilsefi o it	---|------|-|--|-|-|--⌫-⌫-|
et lidi st tu	-|-|--⌫-|-|
ir as ai ason qui	--⌫-||-⌫---|--|
esta rriuezaupor t etli	--|-⌫-----|-|---⌫|-|-|
d iz depar moi quemar a	-⌫-|-|--|--|--|--||
arriuezne entrez	------|-|-----|
en ma terresanzcongie	-|-|----|---|-----|
uuidehastiuementlui	----|----------|--|
e t tozcels qu io	-⌫|--|---|--⌫||
luisont et se	--|---|-|-|
fe ti o stic e	--⌫|-⌫-⌫----⌫|
serafai tedeluiettoz les	---|---⌫-|-|--|-|--|--|
sie nsmisal	---⌫-|--|||
espee .etcil	----||-|--|
mo n tamaintenan tet menayy	--⌫-⌫-|---------⌫|-|---|-|
compaignonso lu ituit	----------||--⌫|---|
bien monté	---|-----|
ala faireson	--|----|--|
messages icom m e li	------|-⌫|---⌫-⌫|-|
roy sliotenchargié.ma i n tenantqu	---⌫|-|-|---------||--⌫-⌫-⌫-------|
ilui nta uportsitr ouua iason et	-|--⌫-|-⌫|---|-|--⌫---|----|-|
herculeset	-------|-|
maintaut re	----|---⌫-|
et distaiasonce qu e li	-|---||----|-|--⌫|-|
ma ndoit.etquantiasonet	--⌫----||-|----|----|-|
hercules ettuit liautrecompai gnon	-------|-|---|-|----|------⌫---|
o yr entces	-⌫--⌫--|--|
nou u elessif urent moltc orrocié.	---⌫-⌫---|-|-⌫----|---|-⌫-------||
iasonuraiemen t	----|--------⌫|
seigno rgrizois granth ontenos	------⌫|------|----|-⌫---|--|
f et l ame don q ui ainsi	-⌫-|-⌫---⌫--|-⌫-|----|
nosrecoite n sa	--|-----|-⌫|-|
terre carquant nos	----|--|----|--|
iueni mese tentrames	|----⌫--|-⌫|-------|
nosnauionspenseene coraged e	--||-----|-----|-|-----|-⌫|
mallui fai re	--|--|---⌫-|
. certes seil uenist	|-----|-|-|-----|
en nozc ontrees nos le	-|--|-⌫------|--|-|
rece ussions	----⌫------|
plus co rtoisementque	---|--⌫---------|--|
fetnosetnos de ussion sce	--|--|-|--|--⌫------⌫|-|
es t auisaussies t re	--⌫|---|----|--⌫-⌫-|
tuith onore ́	---|-⌫-----⌫|
de lui etdessiens	-|--|-|--|----|
ioie. m esil	---||-⌫-|-|
atala ntsisai	|----⌫-|-|--|
bienq uecest af aireseraencore n	---|-⌫-|---|--⌫---|---|----|-⌫|
maintlieus.lor spa r la	----|----||---⌫|--⌫-⌫-|
herculeset dis taumessage biax	-------|-|---⌫|-|------|---|
laomedonquehuiou demainnos	-------|--|--|-|-----|--|
departi rons decestriuage	-------⌫---|-|---|-----|
e t quea inzqueyyanz soien t	-⌫|--|-⌫-----|-|--|-----⌫|
nos i arriuerons	--||---------|
et sanzson	-|---|--|
co ngieeti seiornerons	--⌫---|-||----------|
quiq ue ndoi e	----⌫|-⌫|---⌫|
lorsdistli	---|---|-|
messagesseign or	-------|-----⌫-|
grizois laid echoseestde	------|----⌫|----|--|-|
menacieretm olt estquoarzqui	-------|-|-⌫--|--|-----|--|
menaciernoze me s bien	-------||--|--⌫|---|
mest aui squegeai	|--|---⌫|--|-|-|
messa gesi comgedoi	-----⌫-|-|--|-|--|
etuosfacoizce queuo s	-|--|-----|-|--|--⌫|
cuide roi z quemeillor	-----⌫---⌫|--|------|
uosso i t ca rge	--|--⌫-⌫|--⌫|-|
ainsid auxetuint di re etcontera	----||--|-|---|--⌫-|-|-----||
laomedonlerespons	-------|-|------|
quilauoittrouué eniason etes	-|-|----|------|-|----|-|-|
quant li roysot	----|-|---|-|
toutoy e t e ntendu	---|-|-⌫|-⌫-----|
si dist nos	-|---|--|
uerronshu iet dem ainque	------|--⌫|-|---⌫--|--|
il fer ont .quantuintlesoir	-|---⌫--||----|---|-|---|
meismesiasonetcelsquio	------|----|-|---|--||
l uies toiententre rentenlor	-⌫-|--⌫-----|-----⌫---|-|--|
nef et siglerent et	--|-|--------|-|
forment parmeretmoltsouuent	------|--|--|-|---|------|
r egretoien t lauill enie	-⌫---------⌫|-|----⌫---|
que ilauoi enttrou uéouro y	--|-|----⌫--|----⌫--|-|--⌫|
laomed on. ettantont	------⌫-||-|---|--|
etsigléque	-|-----|--|
il sont arriuéen	-|---|------|-|
uneislemoltplanteurose	--|---|---|----------|
detozbiens presd	-|--|----|---||
unecit equi	--|---⌫|--|
non iaconite fo rt et	--|-------|--⌫-|-|
beleet b ien fermeee tab itan t	---|-|-⌫--|-----|-⌫|--⌫----⌫|
moltde bones genz.	---|-|----|---||
lorsissirentde	---|-------|-|
l an ef ia son	-⌫|-⌫-|--⌫--|
hercule set tuit li	-------⌫|-|---|-|
autr ec om paignonet sen	----⌫|-⌫--⌫------|-||-|
a lerent en	-⌫-----|-|
la citedeiaconite	-|---|-|-------|
poresbenoier et pordemander	--|--------|-|--|-------|
d ecequ il queroient	-⌫|-|-|-|--------|
la trou uer entl eroy oest es	-|----⌫---⌫--|-⌫|--|----⌫-|
tenoitcei our	-----|-|-⌫--|
u n molt grant	-⌫|---|----|
pa rlemen te tmolt dehal z	--⌫------⌫|-⌫|---|-|---⌫|
auoi t. quan tli	----⌫||----⌫|-|
roys lesuitou	---|--|--|-|
palaissiles	-----|-|--|
fist apeler	---|-----|
e tlordemanda	-⌫|--|------|
qui ilestoientet	--|-|-------|-|
uenoientetquil qu er oi ent	-------|-|-|-|--⌫--⌫--⌫--|
etiasonet herculesli en	-|----|-|-------|-|-|
dist rent totela uerite etq uant	----⌫---|---|-|-----|-|-⌫---|
sotqu iil estoiente tqu	--|--⌫|-|-------|-⌫|-|
ilqueroient si	-|--------|-|
agrantio ie et	|----|--⌫-|-|
molt l e shonoraet	---|-⌫-⌫|-----|-|
festoi a deg ra nt	------⌫|-|-⌫--⌫-|
enu oiaqu erremede asa fille qui	---⌫--|--⌫---|----⌫|-|----|--|
estoitlune de splus	-----||--|--⌫|---|
be les puceles et des plussagesqui	--⌫--|------|-|--|---|----|--|
ennul eterreet	-|---⌫|----|-|
qui pluss auoitde	--|---|-⌫----|-|
lartdenigromance.	|--|-|---------||
u intaumandementson	-⌫--|-|--------|--|
appareilliee	-----------|
desplus biaux aorne m enz	--|---|----|-----⌫-⌫--|
qu eleeus t.	-|--|---⌫||
quantmedea e ntrao u palaiset	----|----|-⌫---|-⌫|-----|-|
eleuitiasonde	--|--|----|-|
eleauoi tparmaint es foizt antoy	--|----⌫|--|-----⌫-|---|-⌫--|-|
parleret elesot	-----|-|--|--|
iluen oitetqu il	-|---⌫--|-|-|-|
mai ntenantlientra ou cueret	---⌫------|-|----|-|---|-|
merueillosem ent deg rant amorlama	------------⌫--|-|-⌫---|---||--|
etqueplu s le	-|--|---⌫|-|
rega rdoit	----⌫----|
li ab elis soitsi pensa	-|--⌫----⌫---|-|----|
en so n cuer quepoi	-|--⌫|---|--|--|
sepris eroitet ameroitsee le	-|----⌫----|-|------|-|-⌫-|
nefesoittantq ueleeu s t	-|-----|-----⌫|--|--⌫-⌫|
toutsonuoloirdelui par ma riag e	---|--|-----|-|--|--|--⌫----⌫|
uintliroys oestes	---|-|---|-----|
etcommandaamedea sa fille queel e	-|-------||----|-|----|--|--⌫|
feistfesteetioie	----|----|-|---|
detoutsonpooirai asoneta	-|---|--|----||-⌫---|-||
car molt li	--|---|-|
sembloientgen tde bonlieu	---------|---⌫|-|--|---|
grantafaireetele	----|-----|-|--|
s iremoltuolentiers . lors s	-⌫--|---|---------||---||
et l ec onioy moltdurm entpuisle	-|-⌫|-⌫----|---|----⌫--|---|-|
mi s ta resonet	--⌫-⌫||----|-|
li distnos sauo nsbien q ueuos	-|---|--|----⌫-|---|-⌫-|--|
est es uenuz	---⌫-|----|
encestpais porauoi r	-|---|---|--|----⌫|
lat oisondou	-|-⌫----|--|
m ost o ndor mes	-⌫---⌫-⌫||-|--|
sachiezque	------|--|
de folieuosest es	-|----|--|---⌫-|
entremiscarse	-------|--|-|
tou z cels	---⌫|---|
de uostre pais i	-|-----|---||
estoient uos	-------|--|
ne l aporriésmie auoir	-|-⌫|-------|--|----|
bo ne pers onei sont	--⌫-|----⌫--||---|
alé dont onques	---|---|-----|
n ulnenreuin t .	-⌫-||-|-----⌫||
carlesd exs ouurains i	--|--|-⌫-|-⌫-------||
ontmi sleurgardeslidexmar z	--|--⌫|---|-----|-|--|---⌫|
darainqu itoutadesgi e tent	|----|--⌫|---|---|--⌫-⌫---|
pa rm ilaboch e	--⌫--⌫|-|----⌫|
lenesfe uard ant	-|--|--⌫|---⌫--|
et lidexiupiter	-|-|--|------|
ia mis un trop	||--|-|---|
merueille ux serpentquientourlemos ton	---------⌫-|------|--|-----|-|---⌫--|
uet totadesuola nt	--|--|---|----⌫-|
nereposeradenuitn ede ior	-|-------|-|---|-⌫|-|--|
etg iete p a rmi	-|-⌫---|-⌫-⌫--|
labo c h e	-|--⌫-⌫-⌫|
meruei ll ox grantfeua rda nt	------⌫--⌫-|----|--|-⌫---⌫-|
queilnes t	--|-||--⌫|
nu s oumonde qui	--⌫|-|----|--|
puis se adesernetant	----⌫-|-----|-|---|
nequantpres	-|----|---|
.eturaiementgrantpitie	|-|--------|----|----|
meprentdetoi	-|----|-|--|
cargepense setu	--|-|----|-|-|
iam ais nen reuenras	---⌫--||-|-------|
mes t ant uoi l	--|-⌫--|---⌫|
gebienqu e tu	-|---|--⌫|-|
s achesque segeestoie	-⌫----|--|-|-|-----|
certaineque tume pr eissesa	-------|--|-|-|--⌫-----||
fame et aespouse	---|-||------|
enseign eroie biencomment tu	-------⌫----|---|------|-|
aheueroiesta	---------|-|
cargesai tantde	--|-|--|---|-|
ni gromance que ge faz	--⌫-------|--|-|--|
en partie cequegeuueil et	-|-----|-|--|-|----|-|
son t greuables aautre	---⌫|--------||----|
faire mesont	----|-|---|
legieresafaireetpor ce p r i e	-------||----|-|--|-|-⌫-⌫-⌫|
ge que tum	-|--|-||
toncor agedamedis t	--|---⌫--|---|---⌫|
iasongeuos	----|-|--|
iurr ai sor	----⌫-|--|
touz lesdex	---|--|--|
qu isontqueseuos	--⌫|---|--|-|--|
ma ydiezde	|-⌫----|-|
mabesoignequeg equ ier	-|-------|--|-⌫|--⌫--|
queg e uospanre a fa meeta espou se	--|-⌫|--|----||--⌫-|-||-----⌫-|
etferetozlesiorz	-|---|--|--|---|
pooiruozuolentezet	----|--|-------|-|
uosamereloi a ument et uos	--|----|---⌫-⌫----|-|--|
enmen reo mo ienmacontree	-----⌫-||--⌫|-|-|------|
ouuosse r oiz molthonoreeme nt	-|--|--⌫-⌫--|---|---------⌫-|
rece ueetchie r tenue	----⌫-|-|----⌫|----|
lorsdistmede aorlesso nsduques	---|---|----⌫|-|-----⌫-|-----|
aenque nu i tqu e	|-----⌫--⌫-⌫|--⌫|
mesperes ser a	--|----|---⌫|
cou chiezet geuos	---⌫----|-|-|--|
en u oierequerre par	--⌫-⌫----|-----|--|
moi epriueeet uosue nroiztout	---⌫|-----|-|--|--⌫----|---|
apenr eseula	-----⌫|---||
chambr e comment	------⌫|------|
uosuosgarantir oizdesyy b ues	--|--|--------⌫--|--|-|-⌫--|
commentuos tueroiz	------|--|------|
leserpente t apresce p orroizpanre	-|------|-⌫|----|-|-⌫-----|----|
al e nseignement que geuosdire	||-⌫----------|--|-|--|---|
latoiso n doumosto ndo r	-|-----⌫|--|-----⌫||-⌫|
enco mbr ie r.e til dist	----⌫---⌫--⌫||-⌫|-|---|
dameet gel os troiet ai nsi	---|-|-||--⌫---|-|--⌫--|
fin erenta	---⌫----||
lor parole. qu ant uintlanuit	--|-----||--⌫--|---|-|---|
pere smedea	----⌫|----|
fu cochiez ett ui tliautrepar	-|------|-|-⌫--⌫|-|----|--|
l ean z la	-⌫---⌫|-|
pu celesecocha en	--⌫---|-|----|-|
la soech ambre	-|--|--⌫----|
ensonl itqui mol tr ichement	-|--|-⌫-|--|---⌫|-⌫-------|
estoitparez etc e lequita nt	-----|----|-|-⌫-⌫-|--|--⌫-|
estoites prizedelamor	-----|--⌫----|-||---|
iasonqueplusn epooi tapela	----|--|---|-⌫|----⌫|----|
un e soemestres sequila	--⌫|--|-------⌫-|--|-|
g ardo it e t	-⌫----⌫-|-⌫|
lidistale zen	-|---|---⌫|-|
celechambrela et	---|------|-|-|
dites aias onqu e	----||---⌫-|--⌫|
geli m antqu	-|-|-⌫--|-|
i luiei gne	-⌫|----⌫--|
parleramoiet lem	-----||--|-|-||
a m eneztout	-⌫-⌫---|---|
s euletpuisu os	-⌫--|-|---|-⌫-|
a lezcochier etcele dist	-⌫--|------|-|---|---|
uol entiers.	---⌫------||
e le l ot amené a lu i sde l a	-⌫-||-|-----|||-⌫-⌫|-|-⌫|
chambremedeaele lemist	------|----|--|-|---|
enz puis s en tornad	--|---||-|----||
a u tre par t.	-⌫-⌫--|---⌫||
quan t me dea leuit	----⌫|--⌫--|-|--|
si fistsemblant de	-|---|-------|-|
dorm iretcil	----⌫-|-|--|
lieuelecouuer to er	----|-|------⌫--⌫-|
eteletressa ult.et iason	-|--|------⌫--||-|----|
damegesu is	---|-|--⌫-|
uostres atoz iorzetmem et	------||--|---|-|-|-⌫-|
t outen uost re	-⌫--|-|----⌫-|
merc ineiamesnesera	----⌫|-|----|-|---|
faceto utuostre	---|--⌫-|-----|
pl esir ormedites uostreuol ente.	--⌫---|-|-|----|-----|---⌫---||
lors dist lapu c ele	---|---|-|--⌫-⌫--|
assez en dit esseu os tenez	----|-|---⌫-|-|-⌫-|----|
maintenan t	---------⌫|
ens onliten s eant	-|-⌫-|--|-|-⌫---|
uesti sa chemize	----|-|------|
moltr ichepelice e talaquer reu ne	---|-⌫---|-----|-⌫|--|----⌫-|-⌫-|
ymagedou dieu iupiter	----|--|---|------|
q ui esto it ens a chambreet	-⌫-|----⌫-|-|-⌫|------|-|
porta auantet dist	----|----|-|---|
po r ce quegesoieplu s	--⌫|-|--|-|---|---⌫|
deuoset quela semb le e	-|--|-|--||-⌫----⌫--⌫|
de nosyynesoit miefai te a	-|--|-|-|---|--|---⌫-||
lam ai nsor cestymageetiur e zsor	-|-⌫--⌫|--|---|----|-|---⌫-⌫|--|
ledieuiupiter	-|---|------|
tozaut resdexquefoi	--|---⌫--|--|--|--|
des orem ais	--|--|-⌫--|
meporte roizetm epenro iz a	-|-----⌫---|-|-⌫|-----⌫-||
fame et a espose . dame	---|-||-----||---|
di stilainsi	--⌫-|-|----|
le uosiure geet	-|--|---|-|-|
creant.ilecm ent i	-----||---|-⌫---⌫|
ia son etse pariuradontilli	--⌫--|-|-|------|---|-|-|
me sauintesp oir	--⌫-----|---⌫--|
puis .quant	---||----|
cefufet sise	-|-|--|-|-|
cochierent ensemble	---------|-------|
parac ortnuan u	--|--⌫--|-||-⌫|
etcelenuit ladesp ucela	-|---|---|-|----⌫----|
quant uint	----|---|
io r sidistiason	--⌫|-|---|----|
maisq ueuosmetez	-----⌫-|--|----|
conseilenma	------|-|-|
beso ignee teledist	----⌫---|-⌫|--|---|
li co nsaux	-|--⌫----|
lors seleuerent	---|-|-------|
ambed uietseue stirent puis	-----⌫-|-|-|--⌫------|---|
mede aunesc rindor	----⌫|-|---⌫--||-|
queleauoit	-|--|----|
etlouur ideu ant iason	-||----⌫|---⌫--|----|
e t prinstdedenz	-⌫|-----|-----|
unef igurefaitepa r	--|-⌫----|----|--⌫|
a rtet p arconiu remen z	-⌫-|-|-⌫-|-----⌫-----⌫|
e tlibailla e tdistiason	-⌫|-|-----|-⌫|---|----|
tie nceste figu reetbien	---⌫|----|----⌫-|-|---|
sachesque iatant comt u l	-----|--|-|---|--|-⌫||
au ras s ortoinule rien s	--⌫--|-⌫-|--|---|----⌫|
nedouterasquite	-|-------|--|-|
puistnu ire.	----|--⌫--||
apresli ba illa unoig ne ment	----|-|--⌫---|-|---⌫--⌫---|
merueillo se men tbonet li dist	---------⌫--⌫---⌫|--|-|-|---|
de cestoi gn ementtoindrasetia	-|---|--⌫--⌫----||------|-|-|
puisque tu	------|-|
oinzde nul feunaiesdoutance	---|-|--|--||---|-------|
t epuistderiens	-⌫|----|-|----|
greuer.puisli bailla	-----||---|-|-----|
unmoult bon	-|----|--|
et ric heanel	-|---⌫-|---|
etlid is tuez	-|-|-⌫--⌫|--|
cic estanel dont	-|-⌫--|---|---|
delap ierre est	-|-|-⌫----|--|
detelforcequ e	-|--|----|--⌫|
tant c om tuau rasen	---|-⌫-|-|--⌫--|-|
tondoi lan e l	--|--||--⌫-⌫|
mistu ne do uteras	--|-|-|--⌫-----|
nu lenchan te ment	--⌫|------⌫--⌫---|
puistnuire n efeugrizoisne ue nim	----|----|-⌫|--|------|-|--⌫--|
deserpent.en cora	-|------||--⌫--||
ilautreuertuquarsetuue l s que	-|----|----|---|-|-|--⌫-⌫|--|
lennete uoie	--|-|-|---|
mez la pierre deh ors	--|-|-----|---⌫--|
ta mains ine	-|---|-⌫|-|
s erasia u euzderiens	-⌫---|-|-⌫--|-|----|
quieulz aientetquant t u	--|---|----|-|----|-⌫|
uol dr asestr eueuzde	---⌫--⌫-|----⌫|---|-|
entonpoingsise r as	-|--|----|-|--⌫-⌫-|
ueuzplainem ent .ices tui	---|-------⌫--||----⌫--|
anel megardesbien	---|-|-----|---|
puetestreprisiezde	---|----|------|-|
bon tenedeualorneil	---⌫-|-|-|----|-|-|
l ui quiden ulmal	-⌫-|--|-|-⌫-|--|
apres tout celibailla	----|---|-|-|-----|
un escritetli dis t	-|-----|-|-|---⌫|
gardes quant tuuerras	-----|----|-|-----|
lemostonquetune ma rches plus	-|-----|--|-|-|--⌫----|---|
auantdeuantquetu	----|--------|-|
ai essac refié	--⌫-|---⌫-----|
que li dieunese	--|-|---|-|-|
corrocassent etendementres que	-----------|-|-----------⌫--|
t usacrefierasdizc estescrit	-⌫|----------|--|-⌫--|-----|
t out belement	-⌫--|-------|
desdexy yfoiz etai nsiles	--|--|-⌫|---|-|--⌫--|--|
apeserasetbienque	-------|-|------|
tunoblies ice afaireque il t	-||-----|--||----|--|-||
enporro itbien	-|-----⌫-|---|
mesauenir.tienencoredistele	--------||---|-----|---|--|
cestegluzquiest	----|---|--|--|
maniereque riensne la	------|--|----|-|-|
