equanttelhomem	|----|--|---||
comeisme mefis ttispere	-|-----|-|---⌫|--|---|
acestesurseuioodlui	|----|----||-|-|--|
oread sismeissicumi o	--|-|--|---|-|--|-⌫|
equei purcolilusad dit	|---|--|-|-|--|-|--|
ia mefaizt u	-|-|---|-⌫|
ore con traire	--|---⌫-----|
ketumedeiz fa i r e	-|-|-|---|--⌫-⌫-⌫|
duncprist li	---|----|-|
lus l ainelet petit	--||------|----|
as denz lestrangle	-|---||--------|
c o funtliricherobeu r	-⌫|---|-|----|-----⌫|
liuescunt eeli i ugeur	-|-------⌫||-|-⌫----|
dec euski lunt	-|-⌫--||-⌫|--|
enlu r iusti se	-|--⌫|-----⌫-|
falseacha is un parco ueit is e	----|----⌫--⌫-|--|--⌫----⌫--⌫|
tr ouentasezpur els	--⌫----|---|--|--|
souentles funtapla itsumundre	-----|--|---||---⌫-|-------|
lach arlurt olen t ela pel	-|--⌫-|--|-⌫----⌫||-|--|
l il usfistalainel	-⌫|-⌫-|---|||----|
sulu ncla let tr edes escr iz	----⌫-|-|---⌫--⌫|--|----⌫-|
uus mustrai	--|------|
kiparpurchazeparengin	-|--|------||--|----|
aueituiandeenunmulin	----|-----|-|-|----|
paressamplec unter	--|-------|-⌫----|
iors asistsur	--||----|--|
s es gernu nsapareilla	-⌫-|-----⌫-|--------|
e desespiez	|-|--|---|
deuan t lipas se un eraine	-----⌫|-|---⌫-|--⌫|----|
sicumauenture lenmei ne	-|--|-------||-|---⌫-|
demanda li ensaraisun	------|-|-|-|-----|
ertd amedela	--|-⌫--|-|-|
dunt e lesi	---|-⌫-|-|
sefaseitmai stre	-|-----|---⌫---|
siliacuntast de s unestre	-|-|-------|-|-⌫-|----|
respunt amie	------|---|
pieza kenoilaseignurie	----||-|-|-|--------|
bieneste nmasubiectiun	---|--|-⌫|-|---------|
quantes pertustutenuir un	----|-|-----|--|-----⌫-|
p ui sherbergiere io renu i t	-⌫--⌫|---------||--⌫||--⌫-⌫|
iuer efaire mundeduit	---||----|--|-----|
ore reman ez anui t odmei	--|-----⌫-|----⌫|-|--|
iouusm errai pardreite fei	-|--|-⌫----|--|-----|--|
surla m e iem ol et utaaise	--|-|-⌫-⌫-|-⌫--⌫|-⌫-||---|
n ia u riezr ien kiuusdeplaise	||-⌫-⌫---|-⌫--|-|--|-------|
asez aurezf eri nee grei n s	---|----|-⌫---⌫-||----⌫-⌫|
re maint asuilains	--⌫----|-|------|
la raine iuait pa r sa p reiere	-|----||---|--⌫|-|-⌫-----|
and eus s asientsurla	---⌫--||-----|--|-|
multtr ouerentamanger	---|--⌫------||-----|
senzcontredit esenz danger	---|--------||---|-----|
lasur iz par amu rdemande	-|---⌫-|--|---⌫|------|
rain ede sa u ian de	----⌫|-|-|-⌫---⌫-|
kelise mbleu eriteli die	-|-|--⌫---|-⌫----|-|--|
nementireiefaitelemi e	-|--------|---|--|--⌫|
multpar estbien apareillie	---|--|--|---|---------|
sien eweeustestému illie	-|-|--|---|----|--⌫----|
enmi ce stpree nunwascel	---|--⌫-|--|-⌫|-|-----|
seriumsoreambeduisurunmu ncel	------|--|------|--|-|--⌫---|
meiemansiuns	---|-------|
beleamiek arialuns	---|---|-⌫-||----|
tant iau erezioiee deduit	---||--⌫---|---||-----|
iamesn aurez talent coquit	----||----|-----|-|---|
derepairer acestmulin	-|-------||---|----|
ta ntlipramet par sun	--⌫-|-|-----|--|--|
el ela blandistp ar sa parole	--⌫|-|-------|-⌫-|-|-----|
keleiala si	|--||--|-|
fistkefole	---|-|---|
ense mbleod lui s enestalee	----⌫---|-|--||-|--|---|
lipr ez futsipl ein der ose e	-|--⌫-|--|-|--⌫--|-|-⌫---⌫|
ke tutestlasurizm uillie	-|--|--|-|----|-⌫-----|
dun cquidat bi enestre neie	---⌫|-----|--⌫-|----|---|
ari ereuol eit returner	---⌫--|---⌫--|-------|
karnepo eitauant aler	--|-|--⌫--|----|---|
mes larainelad	--|-|----||-|
forcelenad menee	----||-|-|----|
tant paramur tantparpreiere	---|--|---|---|--|------|
tantkeleuint a l ari uere	---||--|---||-⌫|--⌫---|
duncnepoutla	---|-|---|-|
surizauant	----|----|
ala rei n e dist e n p lurant	|-|---⌫-⌫|---|-⌫|-⌫-----|
cine puisiomiepasse r	-|-|---|-|--|-----⌫|
nesoi un kes	-|--|--⌫--|
pre n faitlar aine cestfi let	---⌫|---|-|-⌫---|---|--⌫--|
sillie fer ma	-||--|---⌫||
eiol atacheraialmien	|-||--------|-|---|
lariuere passerumbien	-|-----|-------|---|
lasurizses td elfil	-|----||--⌫|-⌫-|--|
larai ne se st atac hee	-|---⌫-||-⌫-|----⌫--|
quante les uindrent elp arfunt	----|-⌫--|-------|-|-⌫-----|
s il auoltlareineneie r	-⌫|-⌫|---|-|----|----⌫|
odlicomencea	-|-|------||
la s urizpipeeen	-|-⌫---|---||-|
kiquidattut	-|-----|--|
estreperie	----|----|
uns es cufle suintroant	--|--⌫-----⌫|---|----|
uitlasurizki	--|-|----|-|
ua itpipant	--⌫-|-----|
l eseles clot auantde scent	-⌫-|---|---|----|--⌫----|
liela raineense mblep r ent	-||-|----|----⌫---|-⌫-⌫--|
emduisf urent alfilpen dant	-----|-⌫----|-|--|---⌫---|
larainefucorsu eg r ant	-|----|-|----||-⌫-⌫--|
li escuflespar c ou eiti se	-|-------|--|-⌫--⌫----⌫-|
la surizlaitlar aineadprise	-|----|---|-|-⌫---|-|----|
mangielade deuoree	-----||-||------|
ela suriz estdeliure e	|-|----|--|-------⌫|
siest desueziez feluns	-|--|--|-----|-----|
iana urunt si bons	-||-⌫----|-|---|
compa ignuns	-----⌫-----|
tant l urfa ce ntbie nnehonor	---|-⌫-|--⌫--⌫-|---⌫|-|----|
silurdeitcusterriend e lur	-|--|---|-----|---|-⌫|--|
k edurementnesei ent liez	-⌫|-------|-|---⌫--|---|
elsseien t	--|-----⌫|
mes ilau ien taseizsouent	--|-|--⌫---⌫|----|-----|
que demeim e le turment	--|-|----⌫|-|------|
keasau tres quideintpurchacer	-|-|--⌫---|-------|--------|
aui entlurco rsaperiller	---⌫--|--|--⌫-||-------|
cicunte dunchien	-|----||-|----|
de malesguischestricheur	-|----|-------|-------|
k i une be rbizenplai da	-⌫|--|--⌫---|------⌫-|
deuantiusti ce	-----|-----⌫-|
siliadunpain	-|-|-|-|---|
killia ueitco dit pre sté	|-|-|-⌫---|-|--|---⌫---|
laber bizt ut	-|---⌫--|-⌫-|
e d itkenulne l i	|-⌫-|-|--|-|-⌫|
lii ugesalchien	-|-⌫---|-|----|
siilnul testemoineen a	-|-|--|---------|-||
illirespuntkil	-|-|------||-|
enadd o us	-|-|-⌫-⌫-|
cestlie s cufleselilous	|--|-|-⌫-⌫-----||-|---|
cilfu rentauan t ame né	--|--⌫---|----⌫|---⌫--|
par serementu ntafermé	--|-------|-⌫-|------|
k ecofu ueirskelichiens	-⌫|-|-|----|-|-|-----|
sauezpur q uei chascu n	----|--|-⌫--|------⌫|
k il enatendent pa rtie	|-|-|-------|--⌫---|
silabe rbiz perdistsauie	-|-|--⌫---|------|-|--|
l iiugiereduncdema nda	-⌫|------|---|----⌫--|
alaberbizki l	|-|-----||-⌫|
p urqueioutle	-⌫-|---|--|-|
p ainreneié	-⌫--|------|
kelichie nsli aueit bai llié	-|-|----⌫-|-|----|---⌫----|
outpur poi depris	--|--|--|-|---|
orlirendist ainz k ilfust	-|-|------|---||-|---|
l achaitiue nel	-⌫|-------|-||
out duntrendre	--|---|-----|
duncli couient sa leine	---|-|------|-|----|
iu ernesteit defreitfu dmorte	--⌫--|-----|-|----|--⌫|----|
li chi ensi uient	-|---⌫--||----|
sa par teenp orte	-|---⌫-|-|-⌫---|
eliesc uflesd elaut repart	|-|---⌫----|-⌫||---⌫-|---|
epuisli lustropli	|---|-|--|---|-|
kelacharfust en trels detra ité	-|-|---|---|--⌫-|--|-----⌫---|
kardeui andeorentsuffreité	--|-|--⌫---|----|---------|
nelaber biz	-|-|---⌫--|
plusneuesqui	---|-|-----|
si restutlaperdi	--⌫--|--|-|----|
cestessa mple	---|----⌫---|
uusuoilmustrer	--|---|------|
demei nthome le puis	-|---⌫-|---|-|---|
k i par m entir	-⌫|--|-⌫----|
e partrichier	|--|-------|
fun tlespoure ssouentplaide r	---⌫|--|-----⌫|-----|------⌫|
fals tes ti moin es a uant tr aient	---|---⌫--⌫----⌫-|-⌫---|--⌫----|
de lauer a spoureslesa paie nt	-||---|-⌫|-----|--|-⌫----⌫-|
nelurcha utk eli lasdeuie ng e	-|--|---⌫-|-⌫|-|--|-----⌫--⌫|
meske chascu ns sap arten tie nge	--|-|------⌫-|-|-⌫--|-|---⌫--|
au nef eiz conu srecunt	|-⌫-|-⌫--|-|--⌫|-----|
p as sout unchie ndesu runp unt	-⌫--⌫---|-|----⌫|----⌫|-|-⌫--|
unformag e en sabuchetint	-|------⌫|-|-|----|---|
quan tenmilepunceluint	----⌫|---|-|-----|---|
elgueuitlum bredelformage	-|--|--||--⌫--|--|------|
purp ensatseien suncorag e	----⌫----|--|-|--|-----⌫|
ke auer le suolt ambed eus	-|---|--⌫|---|-----⌫--|
t r opcoueitus	-⌫-⌫-|-------|
enle wes altl a bocheouri	-||-⌫-|-⌫--|-⌫|----|---|
elifrom agelichai	|-|----⌫--|-|---|
e um bre uiteumbrefu	|--⌫--|--||----|-|
esu n formageoutilperdu	|--⌫|------|--|-|----|
pur co s edeiuent	--|-|-⌫|------|
cil kitr opuolentcoue itier	--|-|--⌫-|-----|----⌫----|
c oueite ke sun dr eit	-⌫-----|-|--|--⌫--|
p arsei m eismeserecreit	-⌫-|--|-⌫----|-|------|
kilpe rt souent	|-|--⌫-|-----|
edelautr enad il	|-||----⌫||-|-|
paressamplefa itci entendre	--|-------|--⌫-|-|-------|
kelisol eiz	-|-|---⌫--|
u o ltfemmeprendr e	-⌫-⌫-|----|------⌫|
a tote cr eaturele dist	|---|--⌫-----|-|---|
ekechascune	|-|-------|
se purueist	-|-------|
le s creaturess asemble ren t	--⌫|--------||-------⌫---⌫|
aladest i nee enalere nt	|-|----⌫-⌫--|-|-----⌫-|
s i li mustrerentdel	-⌫|-|---------|--|
ki de femmerequiert c onseil	-|-|----|-------|-⌫-----|
la destineelurde ma n de	-|-------|--|--⌫--⌫-⌫-|
keueirdientde lademande	-|---|----|-|-|------|
ecokeauislur	|-|-|---|--|
celeparla ki m iel zs au eit	---|----|-|-⌫---⌫|-⌫--⌫--|
qu ant lis oleil zfaitele est chalz	--⌫--|-|-⌫-----⌫|---|--|--|----|
el tens deste e issihalz	-|---||---||---|---|
k il ne laist	|-|-|----|
rein f ructifier	---|-⌫--------|
eherbef ait se chi er	|----|-⌫--|--⌫---⌫-|
e s iladesforcement	||-|-|----------|
ecompaigneasun	|--------||--|
n ule reins nelpurra suf frir	-⌫--|----|-||----|---⌫---|
desuz luiui ureneg uarir	----|--|--⌫--|-|-⌫----|
la destineerespu n di	-|-------|-----⌫-⌫-|
ueirauezditleisumlesi	---|---|--|-----|-|-|
c umilade s tég r ant ten s	-⌫-|-|-|-⌫-⌫--|-⌫-⌫--|---⌫|
kariapar mei nesforce ra	--|-|--|--||-------⌫-|
icichas tiele splusurs	--|----⌫--|--⌫|------|
elsuntlesmals	--|--|--|---|
kepasnesdeiu entesforci er	-|--|-||----⌫--|-------⌫-|
napl usfortd els acomp a ignier	||--⌫-|---||--|-----⌫-⌫-----|
parlu r sens ne	--|--⌫|---|-|
parl u raueir	--|-⌫-⌫|----|
mes destu rb ier alu rpoe r	--|-----⌫--⌫--||--⌫|---⌫|
cumplus esfor ce	--|---|-----⌫-|
pislurfait	--|--|---|
tuzi orzlur estamal aguait	--|-⌫--|--|--||--|-----|
issiau int	---|--⌫--|
ke unslu s runga	-|--|--⌫|----|
unoskielcolli uola	-|-|-|-|--|-|---|
q uantelcollifudentrez	-⌫---|-|--|-|--|-----|
multdu rem entenfudgreuez	---|--⌫---⌫--|-|--|-----|
tuteslesbe st esasembla	----|--|--⌫--⌫-|------|
el e s oiselza sei ma nda	|-⌫-⌫|-----||--|--⌫--|
puisadfaitatuzdemander	---|-|---||--|-------|
sinusle setmediciner	-|--|-|--|--------|
entr e lsenun t lurcons eil pris	---|-⌫-|-|--⌫|--|----⌫--|---|
chascun dit l esuen	------|--|-⌫|---|
forslagru eco dient bien	---|-|---⌫|-|----|---|
nul d elskisache	--||--|-|----|
lecol adlunc	-|--|-|---|
ele becgros	|-|--|---|
ele lep urreitbientraire hors	--|-|-⌫-----|---|-----|---|
liluslenpramistgrantlui er	-|--||-|------|----|---⌫-|
purco kele	--|-||--|
len u olsist aider	|-|-⌫-----|----|
lagruelancebec auant	-|---|----|--|----|
dedenz lagulealm alfesant	-----|-|---|-|-⌫-------|
los enadt rait p u is l irequist	|-|-|-|-⌫---|-⌫-⌫-|-⌫|------|
kese pramesse lirendi st	-|-|-------|-|-----⌫-|
li luslidi tparmal talent	-|--|-|--⌫|--|---⌫-----|
eaferma parse rement	|-----|--|--⌫-----|
ke l i semblot	-|-⌫|------|
e u e ritefu	|-⌫-⌫---|-|
kebonloerau eiteu	-|--|---|--⌫--|-|
quantsatesteensa buchemist	----|-|----|-|-|----|---|
estrang l asteoscis t	-------⌫-⌫--||-----⌫|
tuesfait il	-|-|---|-|
fole pro ue e	---|---⌫--⌫|
qu a ntdemeiesuiueescha p ee	--⌫-⌫-|-|--|-|---|-----⌫-⌫-|
que turequiersautr e louer	--|-|-------|----⌫|----|
detach arai	-|-|--⌫-|-|
grant desirer	----|------|
meikis ui lu st ien c	--|-|-⌫-|--⌫|-⌫---⌫|
keod mesdenznetrencha ituncol	-|-|--|---|-|-------⌫|--|--|
altre sies t	-----⌫-|--⌫|
dema lseig nur	-|--⌫|----⌫--|
sipoures homlifait	-|-----|--|-|---|
epuisdem andegueredun	|---|---⌫---|-------|
ianena u rasi malgrenun	-||-|-⌫-⌫-|-|--|--|--|
k eseit en	-⌫|---|-|
s abaillie	-⌫|------|
mercierledeitde s au ie	------|-|---|-|-⌫|-⌫-|
d unelisseuus uoil c unte r	|--|----|--|---|-⌫----⌫|
esteitachaeler	-----||------|
mesnesoutu estre peust	--|-|---||----|----|
ne usechaelsauerdeust	-||-|-----|---|----|
aun e autre lisse	|--⌫|----|----|
sunosteletlasoffrist	--|------|-|-------|
tant keleust chaele e	---||--|--|------⌫|
mult lensa ureit	---||-|--⌫----|
t antlad requi se e	-⌫--||-|-----⌫-||
kec eleo dluil a dh erb erg ie	-|-⌫--|-⌫|--||-⌫|-⌫---⌫---⌫-|
puisq uantele otchae lee	---|-⌫---|--|-|----⌫--|
eesp el drizifurentebeals mult	|---⌫--⌫---||-----||----|---|
celek eliostelsesteit	---|-⌫|-|-----|-----|
souentdama geaueit	-----|----⌫-|----|
desamaisunlesroueeissir	-|-|-----|--|---|-----|
l au tre sepristadementer	|--⌫--|-|----||-------|
kele neseitualer	|--|-|---||---|
iueresteitpurl afreidur	---|-----|--|-⌫|------|
murrei en tdeforsagra ntdolur	------⌫--⌫|-----||---⌫-|----|
duncli requistpa rcharit e	---|-|------|--⌫|------⌫|
herb ertdesk aleste	----⌫--|---|||---|
celeoutdeli multg rant	---|--|-|-|---|-⌫---|
adiss iot rié	-|---⌫|--⌫---|
q uan t le bel t ensuitreuenir	-⌫---⌫|-|--|-⌫--|--|------|
dun clirouefors	---⌫|-|---|---|
lau trecomenceaiurer	|--⌫--|------||----|
siiameis lenoeit	-|-----||-|---|
kes ichael la detra r eient	-|-⌫|----|-|-----⌫-⌫----|
huslabotereient	--|-|---------|
enl ama isun	-|-⌫|--⌫---|
senzraisun	---|-----|
pa r cestess amplepo ez sauer	--⌫|---|---⌫----|--⌫-|----|
eparmeinthomeueeir	|--|----|---|----|
qui parbunte	--|--|----|
de suncorag e	-|--|-----⌫|
estchacié desun	--|------|-|--|
homeod luiacuilt	---|-|--|-----|
n e s enist	-⌫||-|--|
ni equ ant i luoi l t	--⌫|--⌫--|-⌫|---⌫-⌫|
dunesurizu il eine	|--|----|-⌫--⌫---|
une uilepr osceine	--|---|--⌫------|
uolei t alerpurdeporter	-----⌫|---|--|-------|
par miunbois l estuitaler	---⌫-|-|---||-----|---|
dede nz lebois lianu it a	----⌫-|-|---|-|---⌫--⌫|
une hul et te	--|---⌫--⌫-|
iluectroua	----|----|
keunesurizde lboisoutfaite	-|--|----|--⌫|---|--|----|
esauiande i	|-|-----||
outatr aite	--|---⌫---|
las uriz deuiledeman de	-|-⌫---|-|---|-----⌫-|
seleout iluecpoint deuiande	|--|--|----|----|-|-----|
celerespuntio en aiasez	---|------|-|-|-|---|
uenez a uantsiueez	----|-⌫---|-|---|
pluscompaig ni e	---|-------⌫--⌫|
serrezbienseruie	-----|---|-----|
outpiec ei l uecesté	--|----⌫|-⌫-⌫--|----|
a sa compaigne	|-|--------|
en ad parlé	-|-|-----|
s e s est res	-⌫-⌫|---⌫--|
e stmalueis	-⌫-|------|
iuoltdemurer meis	|---|------|---|
ui engesi uerra	--⌫---|-|----|
riches saleskele	-----|----||--|
beles des pense sbels celiers	----|---⌫-----⌫|---|------|
e bonsbeiures ebons mangiers	|---|------||---|-------|
celela crut odl isenua	---|-|---|-|-⌫||-|-|
es ri ches salesla mena	-|--⌫---|----|-|---|
sili adm u strésessolier s	-|-|-|-⌫-⌫----|--|------⌫|
sesdespens es esessce liers	--|-------⌫-||--|---⌫----|
plente deferine	-----|-|-----|
celequidabien e stre	---|----|---|-⌫---|
ui ndrent liboteillier	--⌫-----|-|---------|
ki entrerd urentel	-|-----|-⌫----|-|
sitostc um	-|---|-⌫-|
ilourirentl es	-|-------|-⌫-|
lessurizfuientes	--|----|-----|-|
laboscagefu esbaie	-|------|-|-----|
kilurestre ne saueitmi e	-|--|----|-|-----|--⌫|
quant c il eissirent	----|-⌫-|--------|
lessur izreuindrent man ger	--|---⌫-|---------|---⌫--|
el efumurne ee ndolur	--⌫|-|----||-⌫|----|
kiouteude mortpour	-|--|-|-|---|---|
sacompa inelaregarda	-|-----⌫--|-|------|
p ar grant	-⌫-|----|
ducurlidemanda	----|-|------|
quelsemb lantfaitmaduceamie	---|----⌫---|---|-|---|---|
iosuifait ele malbaillie	-|--|---|--|---------|
p ou r keai	-⌫--⌫|-|-|
m ultmerepent ketaicreue	-⌫--|-|-----|-||-|----|
tumeconto u estut tun	-|-|-----⌫-⌫-|--|--|
mes de tunm al n eme de isrie n	--|-|--|-⌫-|-⌫|-|--⌫-|---⌫|
d oiselstu t	|-----|--⌫|
ense me nt	----⌫--⌫-|
e des engins	|--|-----|
faitpur tei	---|--|--|
mielzaimeestreel	----|---|----|-|
boisparmei	---|--|--|
ase urteesenzdestresce	|--⌫---||---|--------|
gr anzsales en tristesce	--⌫--|----|-|--------|
cestefableestditpur	----|----|--|--|--|
chascunsaimtm ielzlesue npe tit	-------|---|-⌫---|-|---⌫|--⌫--|
pa isesenzdutanc e	--⌫-||---|------⌫|
ke altru irich esc e odmesestanc e	-|-----⌫|----⌫---⌫|-|---------⌫|
dungupilcunte	|-|----|----|
lama ner e	-|--⌫---⌫|
eissuzde lateisniere	-----|-|-|--------|
od s es enf anz deu a ntiua	-|-⌫-|---⌫--|---⌫-⌫-||-|
un s aigle suintlunenpo rta	--⌫|-----⌫|---||-|-|--⌫--|
ligup i lzuaitapr escri ant	-|---⌫-⌫-|---|---⌫-|---⌫--|
rende sunenfa nt	----|--|----⌫-|
luoltmiee sculter	|---|--|-⌫------|
silenco uintareturner	-||-|--⌫---||-------|
untisun pristdefuardant	-|----|----|-|-|-----|
esechebuscheuaitcuillant	|----|-----|---|-------|
enturle ch eine le me t teit	----|-|--⌫---|-|--⌫-⌫---|
uliaiglessun ni	|-|-----|--|-|
liaigles uit	-|-----|--|
lef uespris	-|-⌫|-----|
algu p ilcrieedit	-|--⌫-⌫-|---||--|
esteinlefuprentunchael	-----|-|-|---|--|----|
ia serrunt arstuit	-|------|--|---|
icestess am pleente ndum	----|---⌫--⌫--|----⌫---|
ke s iestd el richeorguillus	-|-⌫|--|-⌫-|----|--------|
pourenauramerci	----||---|----|
pursapleinten epursun cri	--|-|------|-⌫|--|--|--|
mes secils	--|-|--||
enpeustuengier	-|----|------|
duncleuerr eitass u ple ier	---|-|----⌫--|---⌫-⌫---⌫--|
iadi s est e i t c ustum eleis	----⌫|---⌫-⌫-⌫|-⌫----||---|
leuns dut estrereis	----|--|----|---|
surtu teslesbestes ki	--|--⌫--|--|-----|-|
ekiconuersent	|-|---------|
e ncestmu nt	-⌫|---|--⌫-|
de lb ugleotfaitsun s enescha l	--⌫|-⌫---|-|---|--|-⌫-------⌫|
k eaprou zl etinte leal	-⌫||----⌫|-⌫|---||---|
bai l esa proueste	---⌫-⌫|-|-------|
tu t treisuntel boisalé	--⌫|---|---|-|---|---|
trouerent echacier en t	--------||-------⌫--⌫|
quan tpri slorentsilescor cierent	----⌫|---⌫||----|-||-----⌫------|
li lusalbugl edemanda	-|--|-|----⌫|------|
come nt lecerfde partira	----⌫-|-|---|--⌫------|
coestfaitilen mun	-|--|---|-|-|--|
d euumpo rter honur	-⌫---|--⌫---|----|
lileunsa d dit eiuré	-|----|-⌫|--||----|
ke tuzse ue nt pu ruerit e	-|--|--⌫--⌫-|--⌫|-----⌫|
kelapr e mierepartaureit	-|-|--⌫-⌫----|---|-----|
elautr epar t purleg uain	||----⌫|---⌫|--|-|-⌫---|
purcokeeirtrois edreitestei t	--|-|-|---|---||----|-----⌫|
kil outestélurcompain	|-|--|----|--|------|
l aut repar tie aura codis t	|---⌫-|---⌫--|---|-|---⌫|
re sune steit karillocist	--⌫--|-⌫----|--|-||----|
senule bestela perneit	-|---|----|-|------|
se s ene mi smo rtelss e rreit	--⌫|---⌫--⌫|--⌫----|-⌫-⌫----|
duncn io sanulsatucher	---|||-⌫-|---|------|
tutlu restu st lecerf laisser	--|--⌫|----⌫-|-|---|------|
un autrefeizo utlileuns	-|----|---|-⌫-|-|----|
plu scompaignuns	---⌫|----------|
la chie u re elaberbiz i	-|----⌫-⌫-||-|-----||
uncerfu ntpriseretenud	-|---|-⌫-|---||------|
parz uolentpa rtir	---|-----|--⌫---|
lileunsditi o	-|----|--|-⌫|
uoissaisi r	---|-----⌫|
lagrei nnur partdeit	-|----⌫---|---|---|
kariosui rei s	--|-|--|---⌫|
l autreaurai karioicuru i	|----|----|--|-||----⌫|
p artkar ioplus fortsui	-⌫--|--|-|---|---|--|
laquartepartaiiosi deui sé	-|-----|---|-|-|-|----⌫--|
ke nuls neaura	-|---|-|---|
senz meslee	---|-----|
sic om paignun	-|-⌫--⌫------|
tutlelaisserentsi	--|-|---------|-|
sen fui rent	|-|---⌫---|
altre s ies tned utez mie	-----⌫-⌫|--⌫|-|-⌫---|--|
s ip oureshomprentcompaignie	-⌫|-⌫----|--|----|---------|
a plu sforthomek ilneseit	|---⌫|---|---||-|-|---|
ia del guainn	-|--|----||
auratespleit	----|------|
liri ches u oltaueirhonur	-|--⌫---|-⌫--|----|----|
u lipoure s	|-|-----⌫|
pe r drasam ur	--⌫-⌫--||--⌫-|
esinulguainde iuentpartir	|-|--|----|--⌫----|-----|
l i riches uo lttu tretenir	-⌫|-----|--⌫-|--⌫|------|
ciditke unsaigles u intuolant	-|--|-|--|-----|-⌫--|-----|
i uste lamerpessunquerant	-⌫---|-|--|-----|------|
un e we lk e	--⌫|--⌫--⌫|
t rouaentiere	-⌫---|------|
mesnesoutenqu ele ma niere	--|-|---|-|--⌫--|--⌫----|
peustl es ca le depescier	----||--⌫--⌫-|--------|
quant a sunni	----||--|-|
d utrepeirer	-⌫-|-------|
unec orneille lencon tra	--|-⌫-------||-----⌫--|
si dit kele li	-|--||--|-|
ense ig nera	----⌫--⌫---|
cumleschalepurr a ourir	--||------|----⌫|----|
siel ealpessumpeust pa rtir	-|--⌫|-|-----|----|--⌫---|
puisli rouaamuntuoler	---|-|---||---|----|
tantha lt cu m	---|--⌫-|--⌫|
pluspurreitmunt er	---|------|----⌫-|
qua ntilserramuntélasus	---⌫-|-|----|-----|-|--|
silaist l a welke chair iu s	-|----|-⌫|----|----|--⌫|
su rduret erre	--⌫|---|-⌫---|
u surro chier	|--|--⌫----|
sila purrabien depesci er	-|-|----|---|-------⌫-|
liaigles ad g rant	-|-----|-|-⌫---|
d ela w e lkek	-⌫|-|-⌫-⌫--||
halt la porte chaerlalait	---|-|----|----|-|---|
lacornaillefudenaguai t	-|--------|--|-|-----⌫|
auantala del bec feri	----|--|--|--|---|
s ike l eschal e unpoi	-⌫|-||------⌫|-|--|
lepeis unet dede nzmang a	-|----⌫---|----⌫-|----⌫|
lesch aleleit si s	|----⌫--|---|-||
e inzke liaiglesfu st	-⌫--|-|-|-----|--⌫-|
fustaparceuz	---|-------|
le pertusetot faitpetit	-|-------|-|---|----|
que aigles ni	--|-----|||
parcele fable	--|---|----|
de lpeis sun	--⌫|----⌫--|
nus mu strees sampl e	--|--⌫---|--⌫-----⌫|
del fel un	--|---⌫-|
