cilquiseuent	--|--|-----|
oraiicigemmetro ue ie	-|-|--|----|---⌫--⌫-|
moi neniertrem ueie	--||-|---|---⌫---|
se un srich e	-|--⌫|----⌫|
homeu ostroua s t	---|-⌫-|-----⌫-⌫|
b ie nsa iquedor	-⌫--⌫|--⌫|--||-|
uoshonor as t	--|-----⌫--⌫|
siacroisist uostreclartei	-|--------|-----|------|
orqui molt agrant	-|--|---||----|
uolenteina i detoi	-------||-⌫|-|--|
eur n aur aspar	--||---⌫-|--|
autr esiest	----⌫--|--|
demaintegen t	-|-----|---⌫|
lu rt alent	--⌫|-⌫----|
comedelcocetdelagemme	---|--|--|-|-|-|----|
ueulaomdomme e tde	--|||-||---|-⌫|-|
bienneeu rnientnepris ent	---|-|--⌫|----|-|----⌫--|
lepisprennent le miexdespisent	-|--|-------|-|---|--------|
c idist de lle u et	-⌫|---|--⌫|--⌫|-|
de l a ingniel	-||-⌫------|
quibeu oien t	--|---⌫----⌫|
l ileuse nlas orse beuo it	-⌫|---|-⌫|-|-⌫---|----⌫-|
etliaingnie laualestoit	-|-|-------⌫|---|-----|
ire ementparlali leus	---⌫----|----|-|---|
quimoltestoitcontrarieus	--|---|-----|----------|
parm alta l en tpar laa lui	--|-⌫----⌫-⌫--⌫|---⌫-||--|
tu mefais faitil granta nnu i	-|-|---|---|-|----|-⌫---⌫|
tu mascesteeiwesitorbl ee	-||-|----|---|-|-----⌫-|
boirema saolee	----|-|-----|
ar i erem enira ice	--⌫-⌫--||-|---⌫|-|
cumie uincch a	--|-|---|--⌫|
morantd esoi	-----|-⌫|--|
li ain gnele s	-|---⌫-----⌫|
du nclirespu nt	--⌫-|-|-----⌫-|
b euei z uosa mont	-⌫----⌫|--|-⌫---|
deuosm oiu ient	-|--|-⌫-|-⌫---|
ce qu aibe u	-|-|-|--⌫|
quo if aitl ileusmaldis moi tu	---⌫|-⌫--|-⌫|---|-----|--|-|
ci z lirespontnenai	--⌫|-|------||-|-|
lileus respo n tg en	-|---|-----⌫-⌫||-|
sai leu oir	--|-|-⌫--|
ce meis memoifisttespere	-|----⌫-|--|---|--|---|
a cestesourseou	|----|-----|-|
oratzz m ois	-|-|-|-⌫--|
que rettei zchoufait il	--|------⌫|---|---|-|
n e fuidonc nezsicumiequit	-⌫|--|---|--|-|--|-|---|
etq uedech oul i leusat	-|-⌫-|-|--⌫-|-⌫|---|-|
iamefaist u orecon traire	-|-|---|-⌫|--|---⌫-----|
etchoseq ue	-|----|-⌫-|
doncprist lileuslaingnelpetit	---|----|-|---||------|----|
azdenslestranglasi	-|---||--------|-|
lir iche signor	-|-⌫---|-----|
liuisconteliiugeor	-|-------|-|-----|
de ceus qu	-|---|-|
lu r iustice	--⌫|------|
paroquoison parconuoi tise	--|-------|--|------⌫---|
souent lesfunt alplaitsomo ndre	-----|--|---|-|----|----⌫---|
trueue nt raison poreus	------⌫-|-----|--|--|
c onf ondre	-⌫---⌫----|
lacharlurtollent	-|---|--|------|
sicomli leu s	-|--|-|---⌫|
fistalaingniel	---|||-------|
lettredesescris	-----|--|-----|
uosco nterai dune	--|--⌫-----||--|
quiporch acha que	--|-----⌫---|--|
par engi n	--|----⌫|
au oi t mesageaunmolin	--⌫--⌫|-----||-|----|
par exemple conteruos	--|------|-----|--|
uniorsasistsurlesuel	-|--||----|--|-|---|
sesgernunes a parilha	--|-------|-⌫------|
etdeses piesespeluscha	-|-|--|---|---------|
deuantli p assa une	-----|-|-⌫---|--|
s icumaue n ture la	-⌫|--|---⌫-⌫---|-|
deman daliensa raison	-----⌫-|-|-|-|-----|
selleertdamede lam aison	|---|--|---|-|-|-⌫----|
dont ellesoifaitissimaistre	---|---|--|---|---|------|
siliaco nt astdeso n e stre	-|-|---⌫--⌫--|-|--⌫|-⌫---|
la soris lirespont	-|----|-|------|
en oilasignorie	-|-|-|-------|
en masubiestion	-|-|---------|
q uantespertuistote nuiron	-⌫---|-|------|--|-⌫-----|
p uisher bigi eret i oret nuit	-⌫--|---⌫----⌫-|-|-⌫-|-|---|
iueretfa ire mondes dui t	---|-|--⌫--|--|---⌫---⌫|
orr emaneis annuitod moi	-|-⌫------|-----|-|--|
mosteraiuosen droitefoi	-------|--|-|-----|--|
su rlamuel eserrezaais e	--⌫|-|----⌫|-----||---⌫|
n iar e iz	||--⌫-⌫-|
riens qui uosdesplaise	----|--|--|--------|
assezare z far in e	----|---⌫|---⌫--⌫|
qui remaintdelblei	--|------|--|---|
larainneuint porsa priiere	-|-----|---|--|-|------|
amdeus sa s istrentsur la p ie re	-----||-⌫-⌫------|--|-|-⌫--⌫-|
molttroue rentamangier	---|-----⌫---||------|
sensc ontreditet sensdangier	---|-⌫-------|-|---|------|
lasor isparamordemande	-|---⌫-|--|---|------|
a la rainned es a	|-|-----|-⌫|-⌫|
quelisem bleuer teil i	--|-|---⌫--|---⌫--|-⌫|
n en m ent irai faite l emie	|-|-⌫---⌫---|---|-⌫-⌫|--|
moltp arfui stbie n aparilhie	---|-⌫-|---⌫-|---⌫|--------|
s eneiwe eu stest ei	|-|---|--⌫-|---⌫-|
enmicelp reienunwac e l	---|--|-⌫--|-|-|---⌫-⌫|
fuiss onsorequemolt	-----⌫--|--|--|---|
laestl amoiemansion	-|--|-⌫|---|------|
belleamiec ar i a lom	----|---|-⌫-||-⌫--|
tant i arezioi e	---||---|---⌫|
nare ziamais t alentceq uit	|---⌫|-----|-⌫----|-|-⌫--|
d e repairier a c estmolin	-⌫|--------||-⌫--|----|
tantl ipromet par sonengin	---|-⌫|-----|--|--|----|
e tl ablandistparsap ar ole	-⌫|-⌫|-------|--|-|-⌫--⌫--|
quelle la croitsifist qu e fol le	-|---|-|----|-|---|--⌫|---⌫-|
ensembl e odl i sen estalee	-------⌫|-|-⌫||-|--|---|
liprezfusipl ain zde	-|---|-|-|--⌫---⌫|-|
etlasorisfu si muilhie	-|-|----|-|-|------|
qubiencuidoitestrenoie	-|---|------|----|---|
ar iere u oloitretorner	--⌫---|-⌫----|-------|
carne p oo it auant aler	--|-|-⌫--⌫-|----|---|
m aisl arainnelata pellee	-⌫--|-⌫|-----||-|-⌫-----|
q ui a forc e	-⌫-||----⌫|
lenamene e	|-||----⌫|
amortantpa rpriiere	---|---|--⌫|------|
tant quelleuintalariuier e	---|-|---|---||-|------⌫|
doncne pout	---|-|---|
las or isauant	-|-⌫--⌫-|----|
ala rainnedistenplor ant	|-|-----|---|-|----⌫--|
ienientpass er	-|----|----⌫-|
nesoi onque s	-|--|-----⌫|
prenfaitla raine	---|---|-|----|
silenoes ato n garet	-|-|---||--⌫|----|
et ie lataicheraial mien	-|-||---------|-|---|
l ariu iere passeronsbien	-⌫|---⌫---|--------|---|
lasorisestdelfil liie	-|----|--|--|--|---|
alarainnesestatachie	|-|-----||--|------|
elguezsoi mettentsi	-|---|--|------|-|
quan telles uin dr ental parfont	----⌫|----|---⌫--⌫--|-|------|
silauout larainne	-|-|---|-|-----|
odlicom enchaaplo ngie r	-|-|---⌫----||---⌫----⌫|
lasor is pipe en hautet	-|---⌫-|---|-|---|-|
qui bi encuido itestr e perrie	--|--⌫-|-----⌫-|----⌫|-----|
unsescofl es iuintroant	--|------⌫-||---|----|
uitlasorisquiuapipant	--|-|----|--|-|-----|
lese i le s clotaualdes ce nt	--|-⌫-⌫--⌫|---|---|---⌫--⌫-|
l iet lar ainne en sem bleprent	-⌫|-|-|-⌫----|--⌫---⌫--|----|
anduifurent alfilpendan t	----|-----|-|--|------⌫|
larain ne fu	-|----⌫-|-|
corsuweet grant	------|-|----|
liescofl espar conuoitise	-|------⌫-|--|---------|
l aso rislait lar ainneapr ise	-⌫|--⌫--|---|-|-⌫----||--⌫--|
mangielatetdeuoreie	-----||-|-|-------|
et lasori sestescap eie	-|-|----⌫|--|-----⌫--|
sies td es uoiziies fellons	-|--⌫|-⌫-|-------|------|
ianaruntsi boensc onpaingnons	-||----|-|----|-⌫----------|
ia tant ne	-|---|-|
lurfacenthonnor	--|-----|-----|
s eriens lesdoit couster	-⌫|----|--|---|------|
quedurem e ntne soient liés	--|-----⌫-⌫-|-|-----|----|
se pareuspu e testreengig nie ́s	-|--|--|--⌫-⌫|----|-----⌫---⌫-|
auientass es	-----|---⌫-|
que deme i smeslur	--|-|--⌫-⌫---|--|
quasautrescuidentporchachier	-|-|-----|------|----------|
auient lu r cor saperrilhier	-----|--⌫|---⌫|----------|
un chienm en teor	-|----|-⌫--⌫---|
de maleguisc hes	-|---|-----⌫--|
quiun eberbisem plaida	--|--⌫|-----|--⌫-----|
de uan ti ustiselamena	--⌫---⌫|-⌫-----|-|---|
siliad unpai ndemandei	-|-|||-|---⌫|-------|
qui lli auoitce distpr estei	-|-⌫|-|----|-|---|--⌫----|
laberbistotlere nea	-|-----|--|-|--⌫--|
et distconque sne li presta	-|---||-----⌫|-|-|-----|
li iug e s	-|---⌫-⌫|
al c iendemanda	-|-⌫--|------|
seil nultesm oingnage en a	-|-|--|----⌫-------|-||
respontquilena	------|-|-|-||
escoflesetlileus	-------|-|-|---|
ci lfurentauanta menei	--⌫|-----|----|-⌫----|
par sair em entlunt afermei	--|----⌫--⌫--||--|------|
quece fuuoirs que	--|-|-|----|--|
lichiens dist	-|-----|---|
saueiz por	-----|--|
quoichascunslefist	---|-------|-|---|
qu ilate ndoientpartie	-|-|---⌫------|-----|
berb isperdistla uie	----⌫-|------|-|--|
liiuge sdon quesdemanda	-|----⌫|---⌫---|------|
alaberb isq u il	|-|----⌫-|-⌫|-|
po r quelleo tlepainreneiét	--⌫|-|---|-⌫|-|---|-------|
queli chiensliauoitbailhie ́t	--|-|-----|-|----|-------⌫-|
mentie not porpoide	----|-⌫|-|--|--|-|
orl irendist ains qu	-|-⌫|------|---|-|
il fuistpis	-|----|--|
l achaitiu en	-⌫|-------⌫||
e n ot don trendre	-⌫|-|---⌫|-----|
d oncliestutsalaineuendre	-⌫--|-|----|-|----|-----|
yuerestoitdefroit	---|-----|-|----|
lichiens iuintsapart	-|-----||---|-|---|
etl iescoflesd	-|-⌫|-------||
li leus trop	-|---|---|
que la charfuistentr eus d etraité	--|-|---|----|---|--|-⌫-------|
car de uiandeorentsofrait é	--|-|-----|----|-------⌫-|
n elaberbis p lusneuesqui	-⌫|-|-----|-⌫--|-|-----|
ses siresdeltotla perdi	--|----|--|--|-|----|
ce ste x empleuos	--⌫-|-⌫-⌫----|--|
uuel most re r	---|----⌫--⌫|
dema int h o me le	-|--⌫--|-⌫-⌫-|-|
puisprouer	---|-----|
car parment ire tpartrichier	--|--|----⌫-|-⌫|--|-------|
font lespour es	---|--|----⌫-|
so uen tplaidi er	--⌫---⌫|------⌫-|
f auztesmoingnage ssouent traient	-⌫--|------------⌫|-----|------|
de lauoirazpoure slesp aient	-||----|-|-----⌫|--|-⌫----|
nelurchautqueli	-|--|----|--|-|
lasde uiengne	--|--⌫------|
m aisqu echa s cuns sa	-⌫--|--⌫|---⌫-⌫---|-|
part detiengne	---|--------|
aune fo isce	|--|--⌫-|-|
u osr ecunt	-⌫-|-⌫----|
pa ssoitun chiens	--⌫----|-|-----|
un fromageen	-|------|-|
sabuichetint	-|-----|---|
quantenmil ieu del	----|-|---⌫--|--|
po nceluint	--⌫---|---|
uitl umbre del f romag e	--||----|--|-⌫-----⌫|
porpensa soi	-------|--|
enson corage	-|--|-----|
quauo irlesu oloit	-|---⌫-|--|-⌫----|
ambed e us	-----⌫-⌫-|
ilucfuiltropc onuoiteus	---|-|-|---|-⌫--------|
eiw esaut labuicheou ri	---⌫|---|-|-----|--⌫-|
fromagesl ichei	-------|-⌫|---|
etumbreui t	-|----|--⌫|
etumbref u	-|----|-⌫|
etsonfromageotilperd u	-|--|------|-|-|----⌫|
porcesedoiuent chast iier	--|-|-|------|-----⌫---|
ci lquitrop uuelentconuoitier	--⌫|--|---|------|---------|
qu i plusco nuoite qui ln edoit	--⌫|---|--⌫-----|-|-⌫|-⌫|---|
saco nuoitise	-|--⌫-------|
carcequil atp ertil	--|-|-|-|-|-⌫--|-|
et del autre n ail nient	-|-||----|||-|----|
p arexemple faisci e ntendre	-⌫-|------|---|-|-⌫------|
qu ili sol eluou tfemmeprendre	--⌫|-|---⌫-|---⌫|----|------|
toutecreaturele dis t	----|-------|-|---⌫|
etquechascuns s oi	-|--|-------|-⌫-|
les creature s sasembleren t	--|--------⌫||----------⌫|
ala destineeenalerent	|-|-------|-|------|
silimostre rent	-|-|------⌫---|
d efemme pren drequiert c o nsel	-⌫|----|----⌫--|-----|-⌫-⌫---|
la destineelur comande	-|-------|--|------|
dientdelad emande	----|-|-|-⌫-----|
ch equea uisl uren	--⌫|--|-⌫--|-⌫-|-|
celeparla qui miexsauoit	---|----|--|---|-----|
quantlisol i a usf ai telleest c haus	----|-|---⌫-⌫-⌫-|-⌫--⌫|---|--|-⌫---|
elt ens dest eisiest si chaus	-|-⌫--||---⌫-|-|--|-|----|
quil ne lai trie nsfructefiier	-|-|-|---⌫|---⌫-|----------|
etterre eterbe faitsecier	-|----|-|---|---|-----|
ets eil at enforc ement	-|-⌫|-|-|------⌫----|
etconpaingn i e a	-|---------⌫-⌫||
son talent	--|-----|
nulleriens	----|----|
nelporasoffrir	-||---|------|
d esusluiui u renegarir	-⌫---|--|--⌫-⌫-|-|----|
la desti nee respondi	-|-----⌫--|-------|
uoirauei zditlaisonsle y ssi	---|----⌫|--|------|-|-⌫--|
cumila este ilonc tensa	--|-||----⌫|---|---||
queiaparmoi	--|-|--|--|
efforn aura	----||---|
issi chastieles pluisors	---|------|--|-------|
quisureusontlesmaussign or s	--|--|--|--|--|---|----⌫--⌫|
sdoiuentesforcier	|------|--------|
naplu sf ortdeus acompaingnier	||---⌫|-⌫--||--|------------|
parlursensnepa rlurauoi r	--|--|---|-|--⌫|--|----⌫|
maisdestorberalur pooir	---|--------||--|----|
issiauint c unsleusroingna	---|----||--|---|------|
un osqui elcolli	-|-|--|-|--|-|
etqu a ntelcollifu entre z	-|--⌫-⌫-|-|--|-|-|-----⌫|
moltdurementfuag reueiz	---|-------|-|--⌫-----|
toutes lesbestesasem bla	-----|--|-----|----⌫--|
etlesoisiasaso i ma nda	-|--|-----||--⌫|--⌫--|
puisatfaitatousde mand er	---|-|---||---|--⌫----⌫-|
senusle seustmedeciner	-|--|-|----|--------|
enont lur consel	-|--|--|-----|
chascunsend istles ienauis	-------|-|-⌫--|-|-⌫--|---|
fo rslagruwec ed ientb ien	--⌫-|-|----|-⌫|-⌫---|-⌫--|
deusquensaicherien	|--|-|-|-----|---|
lecolat lon cetlebec	-|--|-|---⌫|-|-|--|
celle li puettr aire los	----|-|---|--⌫---||-|
l ileuslipromist	-⌫|---|-|------|
grantlo uier	----|--⌫---|
por ch ouqueliuosist aidier	--|--⌫-|--|-|-----|-----|
lagruwelance be cau ant	-|----|----|--⌫|--⌫--|
enla lagoule	-|-|-|----|
al malfaisant	-|---------|
l osena traitpuisl irequist	|-|-||----|---|-⌫|------|
que sapro messeli rendi st	--|-|---⌫----|-|-----⌫-|
li leus li	-|---|-|
d istp armatalent	-⌫--|-⌫-|-------|
e taffer maparsair ement	-⌫|-----⌫-|--|----⌫----|
quillisem b loitetuertei fu	-|-|-|---⌫-⌫---|-|-----|-|
qu an tsat este	--⌫--⌫|-|-⌫---|
en sabuic he m i s t	-|-|----⌫-|-⌫-⌫-⌫|
quilne l es tranglae t	-|-|-||--⌫------|-⌫|
tuesfaiti lf ol e	-|-|---|-⌫|-⌫--⌫|
qua nt demo i	---⌫-|-|--⌫|
esuiueescap ee	-|---|-----⌫-|
que ture quiersautrelouier	--|-|--⌫-----|----|-----|
car de tachar	--|-|-|---|
ai d esirier	-|-⌫------|
moi meismet ienge p or fol	--|-----|-⌫--|-|-⌫-|--|
q uadensneuostr enchai	-⌫||---|-|--|--⌫-----|
autre est delmal signor	----|--|--|--|-----|
sepoureshonslifa i thonor	-|-----|---|-|--⌫-⌫|----|
etp uisdemandegerredon	-|-⌫--|------|-------|
en arasemal grein on	-|--|-|--|---|-⌫-|
ilsoitensabailhie	-|---|-|-|------|
grantmerci li	----|----|-|
doit desa uie	---|-|-|--|
l isceuosuuel conter	-⌫---|--|---|-----|
quipreste estoi t de ch aeler	--|-----|-----⌫|-|--⌫----|
maisne sout ouestrep eu st	---|-|---|-|----|-⌫--⌫-|
chaiausauoirpeus t	------|----|----⌫|
au neautre	|-⌫-|----|
l iscerequist	-⌫---|------|
q uen s on	-⌫|-|-⌫-|
osteletles offri st	------|-|-⌫-----⌫-|
elleeust c ha elei	---|---|-⌫--⌫---|
mol tlen saroitcedist	---⌫||-|-----|-|---|
tantlarequis eetpri ie	---|||------⌫|-|---⌫-|
quecelleliaher bigie	--|----|-||---⌫----|
puis quante lleoteucha ia us	---|----|-⌫--|-|-|---⌫--⌫-|
et e spannis	-|-⌫------|
furent e tbiaus	-----|-⌫|----|
celle aqui li	----||--|-|
host ez estoit	----⌫-|-----|
pareu ssouentdamage auo it	--|--⌫|-----|-----|---⌫-|
de sam aisonles	-|-|-⌫----|--|
rueueissir	----|----|
nesiuoloit p lus consen tir	-|||-----|-⌫--|------⌫--|
lautresoi pristad em enter	|----|--|----||-⌫--⌫----|
etdistneseit quelpart aler	-|---|-|---|---|---|---|
iueres toitp orlafroidor	---|--⌫---|-⌫-|-|------|
moroitla hors ag ran t dolor	-----|-|---||-⌫---⌫|----|
donc li requistp ar charitei	---|-|------|-⌫-|-------|
lherbig ast	|------⌫--|
cel leotde	---⌫-|-|-|
grantp itiet	----|-⌫----|
issi otri iét	---|----⌫---|
quant l ebel tensuitreuenir	----|-⌫|--|---|--|------|
dunclescoma ndaforsissir	---|--|----⌫--|---|----|
la utr e comencha	|-⌫---⌫|-------|
seiamaislenoitparler	-|-----||-|--|-----|
que sichaellad etra iroient	--|-|----|-|-⌫----⌫------|
ethorsal u islaboute roient	-|---|||-⌫-|-|-----⌫-----|
laforc eertlur	-|----⌫|--|--|
e tlauigor	-⌫|-|----|
horsleno n tm iseadesho no r	---||-|-⌫-⌫|-⌫--||-----⌫--⌫|
cest exemplepueton	---|------|---|-|
maintpreudomeueoir	----|-------|----|
qui parbon teide son corage	--|--|---⌫--|-|--|-----|
estc h achiésde soni retag e	--|-⌫-⌫------|-|--|-⌫-----⌫|
celuiqu ifellonhomeaquet	----|--⌫|-----|---|----|
nese n partm iequa ntiluuet	-||-⌫|---|-⌫-|---⌫-|-|---|
cidistdun e	-|---||--⌫|
sorisuilainne	----|-------|
quia uneuilep ro chainn e	--||--|---|-⌫--⌫------⌫|
uoloit alerpordeporte r	-----|---|--|-------⌫|
parmiun boislestut	----|-|---||----|
dedenslebois	-----|-|---|
une hull etteil luc tro ua	--|----⌫---|--⌫--|---⌫-|
cune soris	|--|----|
duboisotfa it e	-|---|-|--⌫--⌫|
etsa uiande iotatraite	-|-|-----||-|------|
la sorisdeui le demande	-|----|-|--⌫-|------|
selleeutillucpo intde u iande	|---|--|----|--⌫--|-|-⌫----|
cellerespunti enaia ssez	----|------||-|-|-⌫---|
uenezauantet siueez	----|----|-|-|---|
eussiez co mpaingnie	------|--⌫--------|
siseriesu osb ienseruie	-|-----|-⌫-|-⌫--|-----|
qua ntelleotpieceillucestei	---⌫-|---|-|----|----|----|
asaconp aingne	|-|----⌫-----|
a do ncparlei	|--⌫-|-----|
queliestson e strem auais	--|-|--|--|-⌫---|-⌫----|
e lniuue tdemo rer	-⌫|||---⌫|----⌫--|
senuieng ne siaura	|-|-----⌫-|-|---|
rich es salles qu ell i	----⌫-|-----|-|-|-⌫|
be lles despens e s etbias cel iers	--⌫---|-------⌫-⌫|-|---|---⌫---|
etboens boireset boens mangiers	-|----|-----|-|----|-------|
celle la croit odsenua	----|-|----|-||-|-|
salleslamena	-----|-|---|
siliamostrez s esc elliers	-|-||------|-⌫-|-⌫------|
ets esdespensesetse s s oliers	-|-⌫-|--------|-|--⌫|-⌫-----|
pl a nteidefarineet demiel	--⌫-⌫---|-|-----|-|-|---|
cel lequida bi en e stre e lciel	---⌫-|----|--⌫-|-⌫---|-⌫|---|
maisoruindr ent libo t elhier	---|-|-----⌫--|-|--⌫-⌫-----|
qu i e ntrerd ur ente l	--⌫|-⌫----|-⌫--⌫--|-⌫|
sitos t c um	-|---⌫|-⌫-|
ilourirentlu is	-|-------||-⌫-|
lasori sfuitensespertuis	-|----⌫|---|-|--|------|
laboscage fuesba hie	-|------|-|----⌫--|
quilurestr enesa uoit mie	--|--|----⌫|-|--⌫---|--|
quant cil i ssirentdelcelier	----|--|-⌫------|--|-----|
lessoris re uin d rentmangier	--|----|--⌫---⌫-⌫---|------|
celle fu mor neet en dol or	----|-|---⌫-|-|-|---⌫-|
quidemorte uteupo or	--|-|---|-⌫-|-|--⌫-|
saconpaingnela regarda	-|---------|-|------|
pargrant doucho rli demanda	--|----|------⌫|-|------|
que l semblantfaitmadouceamie	---⌫|-------|---|-|----|---|
ies uis fa itelle	-|-⌫--|--⌫-|---|
malbailhie	---------|
porlapoorqueiai	--|-|---|--||-|
molt merepentquet	---|-|-----|--||
tumeconta s trestottonbien	-|-|-----⌫|------|--|---|
maisdetonmalne deis rien	---|-|--|--|-|---|---|
orastupoord elagent	-|-|-|---|-⌫|-|---|
d echasdes oisi asensement	-⌫|---|--|----⌫-|-------|
etd e sengienz confaitporto i	-|-⌫-⌫|------||-|---|--|--⌫|
m iexuuel ge estre	-⌫--|---|-|----|
el b ois parmoi	-|-⌫--|--|--|
aseurteiet	|------|-|
sensdestrece	---|-------|
que entessall e s odtr is tece	--|-|--|----⌫-⌫|-|--⌫--⌫---|
cestfablie lestditparrespit	---|------⌫|--|--|--|-----|
c hascunsaintmiexl e	-⌫------|---|---|-⌫|
sien petit	---|----|
paisetsensdot ance	---|-|---|---⌫---|
quatrui riche ceod mesestance	-|----|-----⌫-|-|---------|
d ungo upil uoscunt laman ie re	|-|--⌫---|--|---|-|---⌫--⌫-|
i s sus desatainiere	-⌫-⌫--|-|-|-------|
odse schaiazi lluc	-|--⌫|-----|-⌫---|
unaigles u int	-|-----|-⌫--|
l unenporta	|-|-|----|
li gou pi lua	-|---⌫--⌫|-|
apre s criant	----⌫|-----|
quecilli ren de sonenf ant	--|--|-|---⌫-|--|---⌫--|
mais cilneluoutmieesc outer	---|--|-||---|--|---⌫----|
silen con u intariere aler	-||-|---⌫-⌫--|-----|---|
un tisonpristdefeuardant	-|----|----|-|--|-----|
etsecheleingneu acui lhant	-|----|------|-⌫|---⌫----|
en torlechainelesmettoit	--⌫--|-|-----|--|------|
o uliaigles son nitauoit	-⌫|-|-----|--|--|----|
liaiglesuitsonnit espris	-|-----|--|--|--|-----|
algou pilcrie etdistamis	-|---⌫--|---|-|---|---|
es tain slefeuprenston	--⌫----⌫|-|--|----|--|
ia ser unttuit arsm ioi sel	-|---⌫--|---|--|-⌫|--⌫--|
cestexem plee nten do mes nous	---|----⌫--|-⌫----⌫--⌫--|---|
siest delricheho meorgu ilhou s	-|--|--|----|--⌫-|----⌫-----⌫|
po rsapl aintenepo r son cri	--⌫|-|--⌫----|-|--⌫|--|--|
ma issi ci l soi p oist	--⌫-|-|--⌫|--|-⌫---|
uerroitlomso pp loier	------||-|--⌫--⌫----|
iadisestoitcoust ume et	----|-----|-----⌫--|-|
quel ilionsdut e str ero is	--|-⌫|----|--|-⌫---⌫|--⌫-|
sor toteslesbestes q uisunt	--|----|--|-----|-⌫-|---|
et quicon uerse nten cestmont	-|--|---⌫-----⌫-|-|---|---|
delbugleotfaits on senescal	--|----|-|---|-⌫-|-------|
ti ntetaloaul	--⌫-|-||----|
allubailha	-|-|-----|
sapreuostei	-|--------|
sen suntalboisalei	|-|---|-|---|---|
uncerftroiuent	-|---|-------|
sile chacherent	-|-|---------|
quantprislore nt silescorcer ent	----|---||---⌫-|-||--------⌫--|
liliunsalbugledema n da	-|----|-|----|----⌫-⌫-|
c oment lecerfdepartira	-⌫----|-|---|--------|
chou estfisti len mon	---|--|---|-⌫|-|--|
quinosdeuumporter honor	--|--|----|-----|----|
liliuns ad dit et	-|----|-|--|-|
q u et otertsi en enueritei	-⌫-⌫|-⌫-|--|--⌫-|-|------|
qu illa premie re partaur oit	-|-|-|------⌫-|---|---⌫--|
porcequertroisest oitet droit	--|-|-|--|---|---⌫--|-|----|
lautre p ar tiep or le gain	|----|-⌫--⌫--|-⌫-|-|---|
queil estoit li ti ers	--|-|-----|-|--⌫--|
partiearoit ced ist	-----|----|-|-⌫--|
raisonestoit	-----|-----|
carill o ci st	--|-||-⌫--⌫-|
l aquartepart	-⌫|-----|---|
prendroi t	--------⌫|
sesennemismo rteizseroi t	--|------|--⌫----|-----⌫|
dunc ni osanusatou chier	---|||--|--|----⌫----|
tozlurcoui n tle cerf laisi er	--|--|----⌫-⌫|-|---|-----⌫-|
