sul felunad	--|----|-|
suspirs etlermesildespe nt	------|-|-----|-|-----⌫-|
suuentl encl ineet	-----||----⌫--|-|
apele sadamedrue	----|-|---|---|
d amedistilmereetpu cele	-⌫--|---|-|---|-|--⌫---|
ketei clamesla	-|--|-----|-|
e tessample	-⌫|-------|
dehume lite	-|----⌫---|
mireur deu irginite	-----|-|-⌫-------|
dech ast et ekee stesflur	-|--⌫---⌫--⌫|-|-⌫---|---|
funtai ned e tute	------⌫-|-⌫|---|
m ise ricorde	-⌫---⌫------|
bienestdreitetbie nsacorde	---|--|----|-|---⌫||-----|
ke dechastesse ez serui e	-|-|------|--⌫-|-----⌫|
et deg entdehon este	-|-|-⌫--|-|---⌫---|
dame dist i lmun pu cel age	---|---|-⌫|--|--⌫---⌫--|
uu s uoiltenirtrestut munage	--⌫|---|----|------|--|--|
munquermacha renchas t ete	--|---|-|---⌫|-|----⌫-⌫--|
ce s tpresentpri uus	--⌫-⌫|------|--|--|
ue ngeagre	--⌫--||--|
il uus u entapl eisir	-|--|-⌫--||--⌫----|
uusam eretuous seruir	--|--⌫-|-|---|-----|
munseruiseuusai promis	--|------|--|-|-----|
en chastetetantcum sui	-|-------|---|--|--|
pucele puceusmegardez	-----|-----|-|-----|
fauceruus prine melesez	-----|--|--|-|-|----|
a tant uaed m und alimage	|---|-|--⌫-⌫--|||----|
ufetun noue lmariag e	|--|-|----⌫|------⌫|
par leausemblantle fust	---⌫-|-|-------|-|---|
cummeimeslamer e deufust	--|-----|-|---⌫|--|---|
unaneletlu i	-|-----|--⌫|
enseignesprené td em afei	--------|------⌫|-⌫|-⌫|--|
priuo uscheredame pr e i gnés	--|--⌫-|----|---|--⌫-⌫-⌫----|
telesde munuuenseignes	----|-|--|-|--------|
d ecestanel	-⌫|---|---|
oruus espus	-|--|----|
e spuseseetge liespu s	-⌫----|---|-|-|----⌫|
tend rai tuziursquegeuusai promis	----⌫--|--|---|--|-|--|-|-----|
amieseet egetiensa mis	---|---||-|----|-⌫--|
lanelaueir au de i lile st	|---|----|-|--⌫|-|--⌫-|
kepeireka r urer	-|----|--⌫|---|
alpartiruoutlanelreprendre	-|-----|---||---|--------|
semblantle fetceleneuo ut	-------|-|--|---|-|--⌫-|
edmund s eforce n ad	-----||-----||-|
celereten tsonpropredun	---|-----⌫|--|-----|--|
edmun dseienme rueilliemut	-----⌫|--|----⌫-------|--|
danguis etressuetut	|------⌫|------|--|
le ym a ge mort ke estfust	-|--⌫-⌫-|---|-|--|---|
co mentl anel tenirpust	--⌫---||---|----|---|
le anellargealdei petit	-|---|----|-|--|----|
cis t se purpensee nson querdist	---⌫|-|-------|-⌫|--|---|---|
meest auis	-|--|---|
damecestcuuen ant	---|---|-----⌫--|
adeuetauus	|--|-||--|
estple isant	--|---⌫----|
uusplese il tuz	--|----|-|--|
i urz tenir	-⌫--|----|
amei saunzrepeir ir	|--|----|------⌫-|
de lanel ne	-||---|-|
saiplus dire	--|---|---|
mestant o y	--|---|-⌫|
cu nter etlire	--⌫---|-|---|
sipusdel de i	-|--|--|--⌫|
l erepr eist	-⌫|----⌫---|
nesaiu laremeist	-|--||-|------|
d eu kilesseselizauance	-⌫-|-|--|--|---|-----|
edmundfi s ttant e n sa enfance	-----|--⌫-⌫|---|-⌫|-|------|
pus keedmu ndiu ue nceus	--|-|----⌫-|--⌫--⌫----|
tant fusenez	---|-|----|
tant de uertu	---|-|----|
trou isétprelat	----⌫----|-----|
ka tei ndr epustasonesta t	|-⌫---⌫---⌫|---||--|----⌫|
c hastes simplescelestiene	-⌫-----|------|---------|
cumunangelsa uie	--|-|----|-|--|
li se i nzcuuent deha bindune	-|--⌫-⌫-|-----|-|--⌫------|
lu ramistezli abandune	--⌫|------|-|-------|
fame del bon	---|--|--|
edmund surt	-----|---|
n i adprudumke nehonu r t	||-|-----|-|-|----⌫-⌫|
e nscienceet	-⌫|------|-|
en doctrine	-|-------|
e n estudie quene f ine	-⌫|------|--|-|-⌫--|
t anti metcureetentente	-⌫--||--|---|-|------|
ketuz pased esaiuue n te	-|--|---|-⌫|-|----⌫-⌫-|
altensdeste qua nt	-|---||---|---⌫-|
s un tli i u r	-⌫--⌫|-|-⌫-⌫|
lu ngetpleisantla uerdur	--⌫-|-|-------|-|-----|
enp re zi ue rliescholer	-|-⌫--⌫|-⌫--⌫|-|-------|
uu ntiu er etes banier	--⌫-|--⌫-|-|--⌫-----|
edm und k ede	---⌫--|-⌫|-|
conoutsoing	-||--|----|
pensifsul uaunepartlo ing	-----|--|-|--|---|--⌫--|
neuouta lur	-|---||--|
dedutenten dre	----|-----⌫--|
enuapensantde sonap re ndre	-|-|------|-|--|--⌫--⌫---|
siasgardee ntres autresu n	-|------|-⌫----|-----|-⌫|
a grant delitflurirbuss un	|----|----|-----|----⌫-|
neu itu nke sen main enau ril	-|-⌫-|-⌫---⌫|-|--||-|--⌫--|
sibien fluri runentre mil	-|---|-----⌫|-|----|--|
mutse merueilliedel busson	--|-|---------|--|-----|
flurinun pas	----|--|--|
enfluri su n	-|-----⌫--⌫|
d unkesnefuse sun s ne tens	-⌫----|-|-|--⌫---⌫|-|---|
afl eir erc um bam ededens	|--⌫---⌫-|-⌫-|---⌫||----|
deflursdoduret tut ensemble	-|----||---|-|--|-------|
edmundgrant merueil liesemble	-----|----|-------⌫--|-----|
deu t utpu issantki amoysi	--|-⌫-|--⌫-----|-||----|
aparustese nm u ndd esynay	--------|-⌫|-⌫-⌫-|-⌫|----|
uuspr ike ce st e	--|--⌫|-|--⌫--⌫|
am al meseit salu atiun	||--⌫-|---|----⌫----|
ata ntadfetuneoraisun	|--⌫-|-|--|--|------|
at erre chet le	|-⌫---|---|-|
lorsdec ent a tantair	---|---⌫--||---|--|
plusclere keflammeuesclair	---|----|-|-----||------|
uns e nfesdemutgrant beute	--|-⌫---|-|--|----|----|
aparut enceleclarte	-----|-|---|-----|
ki leco nforteen grant ducur	-|-|--⌫-----|-|----|----|
et distae dmund naeezpou r	-|---|--⌫----||---|---⌫|
ihesusdelmundsaluere	-----|--|---|------|
tu espuses machereme re	-|----|-|-|----|--⌫-|
keliportesleuteetfey	-|-|-----|----|-|--|
iesai edmundt uttun	-|--|-----|-⌫-|--|
de uostreanguseet	-|-----|-----|-|
uostreennoi	-----|----|
uusser umss ecursetrefoi	--|---⌫--|-⌫----|-|----|
kant erstutsu lsges uio u	---|--|--|--⌫-|-|-⌫-|-⌫|
magrac eetm a bene icun totrei	-|----⌫|-|-⌫|----⌫---||----|
s a b eneicun liduneata n t	-⌫|-⌫------|-|---||--⌫-⌫|
cunt red iable kies t	----⌫-|-⌫----|-|--⌫|
bi enentende z cesmo z ques unt	--⌫-|-------⌫|--|--⌫|--|-⌫--|
ceo signefa i	--|----|--⌫|
en fac eet frunt	-|---⌫|-|----|
unco rea teitenge	----⌫-||--|----|
et tei demei suuent	-|--|-|--|-----|
ed mund k auantfuabaiz	--⌫---||----|-|----|
par tantest	--|---|--|
iamutes baudiz	-|--|--⌫-----|
une oraisunadfetetdist	--|------|-|--|-|---|
aiedebone ireihes u	--|------⌫--|----⌫|
ki es ueraiescience	-|-|-----|------|
dekituztenssurte tcu mence	-|-|--|---|---|-⌫|--⌫----|
doi nez meit e us sensaprendre	---⌫--|--|-⌫-⌫-|---|-------|
ke auuspuse lam erend re	-||--|---||--⌫|----⌫-|
keenteusenestudie	-|-|--|--|------|
keie a ipardurableuie	-|-|-⌫|---------|--|
atant desparutla	|---|-------|-|
kedeclarte dubla	-|-|-----|----|
et de buissun	-|-|------|
ketantoutbe ute et odur	-|---|--|--⌫--|-|---|
idu ncuenentsicump aignu n	---⌫-|-----|-|----⌫-----⌫|
laclartekentur	-|-----||----|
le buissun	-|------|
demandent effreement	--------|---------|
ueuaper tement	--|----⌫-----|
mescitneluruout	--|--|-|--|---|
descuur ir	-------⌫-|
k eadeuuintferea ple sir	-⌫||--|---|---||---⌫--|
maisles ig nacl e i hesu cri st	---|-|-⌫--⌫----⌫|-⌫---|---⌫-|
etlesmoz ke liapris t	-|--|--|-|-|-----⌫|
mat ine tseirfesoutedmund	---⌫-|-⌫|---|-----|-----|
enbucheenoils	-|----|-|---|
eten frund	-|-|----|
de lorsm unta cu m par degrez	-|---|-⌫---|--⌫|--|-----|
endouns et e nau tresbunte z	-|----|-|-⌫|--⌫---|-----⌫|
lesuertu zke	--|-----⌫|-|
ilout au ant	-|--|--⌫--|
de lors les ala du blant	-|---|--|--|--⌫----|
iuneamonesetprieres	---|-----|-|------|
et bienskesunt	-|----|-|---|
aut remaneres	---⌫-|------|
neparla iasi	-|----|-|-|
kant ke ildis tf u bon sermun	---|-|-|---⌫|-⌫|--|-----|
deleaute d affetement	-|-----||---------|
deq uan tkeatuz biensapent	-|-⌫---⌫|-||--|----|----|
ne serreit desabucheoie	-|------|-|-|----|--|
ia fau se te ne u ilenie	-|---⌫--⌫-|-|-⌫-----|
de pechesegarde etuic e	-|----|-|----|-|---⌫|
etde sacharf etsacri fice	-|-|-|---|-⌫-|-----⌫---|
lachar te ndreestreint et	-|---|--⌫---|-------|-|
par du re hei re	--|--⌫-|---⌫-|
k a pe ineplie	||--⌫--|---|
cilne ladancelemie	--|-|-|------|--|
bienl a danteetlamestrie	---|-⌫|----|-|-|------|
eture e t uei ll ie	-|--|-⌫|---⌫--⌫-|
kedels uffri rfugrantm erueillie	-|--|-⌫-----⌫|-|----|-⌫--------|
edmundc h ascun iurdeasise	-----|-⌫-⌫----|--|-|----|
p lenereme nto ut	-⌫--------⌫-|-⌫-|
sunseruise	--|------|
seluncles usde salis bire	-----|--|-|-|-----⌫---|
emsoutchant ere tlire	-|---|-----⌫-|-⌫|---|
asezfusec uler	---|-|---⌫---|
et sanz hab i tmo nialmoine	-|---|---⌫-⌫|--⌫---|----|
aenueisurs	|--------|
etgieu s ueins	-|----⌫|----|
d untle mund	-⌫--|-|---|
i olife stpleins	-⌫---|-⌫-|-----|
hurdizlutesba res k aroles	-----|----|--⌫--|-⌫-----|
eschuicumfunzde gaholes	-----|--|---|-|------|
ueineg loireetlos d h um m e	----|-⌫----|-|--||-⌫--⌫-⌫|
neprisa uaillant unepume	-|----|-------|--|---|
r o man zd og erude	-⌫-⌫---⌫||--⌫-||-|
c harlemeine	-⌫---------|
nepre isailune c has teine	-|---⌫--|-|--|-⌫---⌫----|
dedez ches e tdepelo te	-|--|---|-⌫|-|----⌫-|
faun flue t	----⌫--|-⌫|
tuteustlitacureetaplume	--|---|--||---|-||----|
iadelcucher neout	-|--|-----|-|--|
deuantsonlit agenulgist	-----|--|--||----|---|
aterrenu e ure ulist	|----|--⌫|--||---|
c einzapres kilout	-⌫---|----||-|--|
estudiét an t cumilplou t	-------|-⌫--⌫|--|-|----⌫|
ceof istilases	--|-⌫--|-||--|
decustumetrente esis	-|------|-----||--|
etpluspurueir	-|---|--|---|
ke uus pusdire	-|--|--|---|
cefutas ezpensantmartire	-|--|--⌫-|------|------|
simaladie perilluse	-|------|--------|
neldesturbatetanguisu se	-||--------|-|-------⌫-|
apain et ewesuuent iune	|---|-|--|-----|---|
ler emena nta poueresdune	-|-⌫-----⌫-||------|---|
deuant lagentmesnepurquant	-----|-|---|--|---------|
haitése fetaclers emblant	-----|-|--||---|-⌫------|
ilo utc omence ́	-|-⌫-|-⌫------⌫|
deartfuduntmut alosé	-|--|-|---|--|-----|
c h ascuniur deu antlescun	-⌫-⌫----|--|---⌫--|-----|
messe outoudeuoti un	----|--|-|------⌫-|
ke enyuernet	-|-|----|-|
enesteleue	-|---|---|
matin auant kela ub ee s creue	----|----|-||-⌫--⌫|-⌫-⌫----|
etceokilfe istsanz des t urber	-|--||-|--⌫--|---|---⌫-⌫----|
unech apelefet leuer	--|--⌫----|--|----|
enlaparoc heu	-|-|-----⌫-||
fu mana nt	-|----⌫-|
etpres tr eiltruuechan tant	-|----⌫--⌫|-|----|----⌫---|
u lemfet solem pnement	||-|--|-----⌫------|
seruisepardu rableme nt	------|-----⌫-------⌫-|
me streedmu ndp ara s ise	--⌫---|----⌫-|-⌫-|-⌫-⌫--|
messe ilou ten	----|-|--⌫|-|
sun ser uise	--|---⌫---|
ne desturbemalad ie	-|-------|-----⌫-|
kesun seruisenoieu die	-|--|------||--||--|
nunpasdestrei nt	--|--|-------⌫-|
par be nefi ce	--|--⌫----⌫-|
kardu ncse te n dre i t fol etn ic e	--|--⌫-|-|--⌫-⌫---⌫-⌫|--|-|-⌫--⌫|
mes treedmundmuttintg rant uice	---⌫--|-----|--|---|-⌫---|---|
lestuchemensdauerice	--|--------||------|
neouti acured au er	-|--|-⌫|---||--⌫-|
s ilnifeist suiurn atent	|-|||----|----||----|
ke lem apele re sidence	-||-|----|--⌫------|
laraisum fudesa senten ce	-|-----|-|-|-|------⌫-|
ne uou tenueinles biensdespendre	-|---⌫|-|---|--|----|--------|
duntcuuinade ureisunrendre	---|----||--⌫|-----|-----|
n esaidire	-⌫|--|---|
deceus kiunt	-|---|-|--|
rentes p lu sur sforc e nenfun t	-----|-⌫--⌫---⌫|----⌫||-|---⌫|
despi ritalsuste ne ment	|----⌫----|-----⌫--⌫---|
des almes nedepouere gent	--|----|-|-|-----|---|
pastursemblentkedelmutun	-----|-------|-|--|----|
nerequerentfors char et	-|--------|---|---|-|
kidesirent	-|-------|
etq uere ntp rimes	-|-⌫----⌫-|-⌫----|
paranq uei	--|-|-⌫--|
uale ntle s dimes	----⌫-|--⌫|----|
l honur leisen t l esein t deleglise	|----|------⌫|-⌫|----⌫|-||-----|
ki l nume rsaceraue nulnepr ise	-||----⌫|---|---|--|-|--⌫--|
a peineseuent d auernumbre	|----|-----||---|-----|
des rentes	--|-----|
d unt humles	-⌫--|--|--|
nepur chalerkartutde rom e	-|---⌫-----|--|--|-|---⌫|
depr endr e huntcunge sigrantsum e	-|--⌫----⌫|---|----|-|----|---⌫|
mesqua ntuen draacuntes	--|---⌫-|---⌫--||-----|
ne sau eruntq u e lcunse ilprendre	-|---⌫----|-⌫-⌫-⌫|-----⌫-|------|
quidumpargiser	-----|--|----|
cenbanieren charneus delices	|-------|-|-------|------|
enoreargent e nrob es en cheu al s	-|-||-----|-⌫|---⌫-|-|----⌫--⌫|
sanzdese rteset	---|----⌫---|-|
san ztrauals	---⌫|------|
a u erla ioiequeate nt	-⌫-⌫-|-|---|--|---⌫-|
l e sseinzkil urent par	-⌫-⌫|----|-||----|--|
emir umedmund d habind une	----⌫-|-----||------⌫--|
kapertens ampl enusendune	|----|---⌫----⌫|--|-|---|
kies t ia enc els	-|--⌫|-|-|-⌫--|
le cor s en	-|---⌫|-|
terrehonurez	----|------|
amideusanz fin clamez	--|--|---|--|-----|
ceouaut le mund etplusasez	--|---|-|---|-|---|---|
neuout auersanz	-|---|---|---|
rent m esquegeseme nce	---|-⌫-|--|-|----⌫--|
nese m ine parquecumenc e	-|--⌫-⌫--|--|--|------⌫|
tencunmem ein en tencilence	-----|-|-⌫---⌫--⌫|-|------|
aceopoint neuoilplu sdire	|--|----|-|---|---⌫|---|
ein zr epeir al m atire	---⌫|-⌫----|-|-⌫----|
tutsei ted m undde	--|---⌫|--⌫-⌫--|-|
mut aprendbie n et e studie	--|-----|---⌫|-|-⌫-----|
enudiues ceten s	-|------⌫-|---⌫|
pointnepert	----|-|---|
en naturespres t	-|------|----⌫|
estetcer t	--|-|---⌫|
de arslis tses lesciuns	-|--|---⌫|--|-------|
mu tet soutf orsquesti uns	--⌫|-|---|-⌫--|------⌫--|
det e rminasidu cement	---⌫-⌫----|-|--⌫-----|
ke chascun keoutbienlesentent	-|------|-|--|---|--|-----|
n aueitsonperbie nu usrecord	|----|--|--|---⌫|-⌫-|-----|
ne a paris ne a	-||----|-||
oxenefor d	--------⌫|
tantparest il	---|--|--|-|
qoi nteset sage	---⌫---|-|---|
ketrestuz p assa	-|------|-⌫---|
engramarieet en r etori ke	-|-------|-|-|-⌫-----⌫-|
en e sputantdedialektike	-|-⌫------|-|---------|
k ar la une d e ces	-⌫-|-|--|-⌫|--|
nusenseign e la tine p ar s	--|-------⌫|--⌫---|-⌫--⌫|
retorikeabie np arler	-------||---⌫|-⌫----|
diale ktike de	-----⌫----|-|
fa us guarder	--⌫-|------|
et quidap rendreneselas se	-|--||--⌫-----|-|-|---⌫-|
ed munda qu adriui ep asse	--⌫---||--⌫------⌫|-⌫---|
umet tentegr ant	|--|----|--⌫--|
g eometr iek e	-⌫------⌫-|-⌫|
aritm etike ke t utnumb re	-----⌫----|-|-⌫-|----⌫-|
kecere setli gnesnumbre	-|----⌫|-|--⌫---|-----|
p ar peri mpermildis	-⌫-|--|-⌫---|--|--|
musikeka ce l	-----|||--⌫|
a rt apent	-⌫-|----|
notesk a prentcoplerensuns	----||-⌫----|-----|-|---|
par duce propo sitiuns	--|---|-----⌫------|
astrenomiekeaprent	---------|-|-----|
cum citsolai	--|--|----|
m un tee tdecen t	-⌫--⌫-|-⌫|-----⌫|
enz odiacetdesesteiles	-|-⌫----|-|--|-------|
curset poerset merueill es	---|-|----|-|--------⌫-|
d esse tar ssunttr eise mpa role	-⌫-|--⌫|--⌫|---|--⌫--|-⌫|--⌫---|
cu me nus ditraisu n descole	--⌫-|--|--|-----⌫||-----|
lesquatre parfiteme nt	--|-----|---------⌫-|
sustanceske sunta prent	--------|-|---|-⌫----|
en ceo mi stsentente	-|--|--⌫-||------|
tant enapr istke il enlu t	---|-|---⌫--|-|-|-|--⌫|
tensmurut sa mere	---|----|-|---|
ketantl outchere til	-|---||--|---|-⌫|-|
pur lamere sen do ut	--|-|---||--⌫--⌫-|
kepurlimortbienes tre uout	-|--|-|---|---|--⌫--|---|
etmutesteitlada mepl eint e	-|--|-----|-|--⌫-|--⌫----⌫|
kar curtai s efuetsainte	--|------⌫-⌫|-|-|-----|
etsonfiz l	-|--|--||
ke mis leust depurgatoi re	-|--||---|-|--------⌫-|
prieres distamones dune	------|---|-----|---|
poueres dhabindune	------||--------|
etcelefumuttost deliue re	-|---|-|--|---|------⌫-|
p arraisunlepus es criu ere	-⌫-|-----|-|--|--⌫----⌫--|
kar sa intefusa uie tute	--|--⌫---|-|-|--|---|
pa r quei s auuee fusanzdute	--⌫|---|-⌫----|-|---|---|
edmundaprentetest udie	-----|-----|-|---⌫---|
ets utilede cle regie	-|-⌫----|-|---⌫----|
ettriang le setsercles	-|------⌫--⌫|-|------|
diuerses figur es fet	-------|-----⌫-|--|
purfere e n tendreapertement	--|---|-⌫-⌫-----|---------|
la sc i enceke ilaprent	-|--⌫-⌫---|-|-|-----|
liapertsamere	-|----|-|---|
cumesauu e	---|----⌫|
beleet cler e	---|-|----⌫|
dist b eufizedmund	---|-⌫-|--|-----|
ces cerclesketufai skesunt	--|------|-|-|---⌫|-|---|
mutimeteit curee ten tente	--||-----|---|-⌫|--⌫----|
gastezlesiursd etai uue nte	-----|--|---|-⌫|-|-⌫---⌫--|
